map_0900#373	何て言うか、お前がいるだけで、オレが一番になれない気がしてたんだ。
map_0900#452	おかげでオレは団結してからかってくる二人を相手にする羽目になってる。
map_0900#453	……でもまあ、お前らのことは嬉しいぜ。
map_0900#454	からかい合いは置いといて、お前ら二人とちゃんと話せるのは嬉しいことだ、
map_0900#455	ほら、いちいち喧嘩腰にならずにさ。
map_0900#456	ファーン: オレ様も同感だぜ。
map_0900#457	四天王、か……マジでイケてるよな。
map_0900#458	ティタニア: シェリーはいい子だよ。
map_0900#459	面倒見てやろうと思ってたけど、あたしがあの子に影響与えた分、あたしもあの子から影響受けちまった。
map_0900#460	だからあの子の四天王になる話には飛びついたのさ。
map_0900#461	タカ: ああ、そういえば。
map_0900#462	会った時、その影響がはっきり分かったよ。
map_0900#463	リーグの部屋を歩いた時、絶対ティタニアの部屋だと思ったもん。
map_0900#464	ティタニア: 剣はあの子のアイデアだよ!
map_0900#465	ハーディ: シェリーはすごいチャンピオンだぜ。
map_0900#466	もちろん\PNに悪気はないけどな。
map_0900#467	でもこの二人を丸くできるやつなんて、オレの中じゃそうそういねえよ。
map_0900#468	タカ: みんな元気そうで良かった。
map_0900#469	二人とも四天王おめでとう。
map_0900#470	それとハーディの音楽も……
map_0900#471	な、相棒?
map_0900#472	ハーディ: ……昔、姉貴がもっと愛想良けりゃなって思ってた頃を思い出すぜ。
map_0900#473	知らない方が良かったな。
map_0900#474	あの頃の幸せな無知よ……
map_0900#475	イライアス: ああ、こんにちは。
map_0900#476	ティタニア: よう、あんた。
map_0900#477	あんたが消えた後、リーグにあった部屋、じっくり見せてもらったよ。
map_0900#478	めちゃくちゃ凝ってたね。
map_0900#479	美しかったし。あんたの注文通りにするのに相当な手間がかかったろうね。
map_0900#480	イライアス: それは……
map_0900#481	ええ、実際そうです!
map_0900#482	私は建築が好きなので、必ず――
map_0900#483	ティタニア: あたしは今四天王でね。
map_0900#484	あんたの部屋、あたしがもらったんだ。
map_0900#485	全部ぶっ壊してやったよ。
map_0900#486	イライアス: 私は……
map_0900#487	ティタニア: 中の物は倉庫にしまい込んどいたよ。
map_0900#488	でも今のその顔、見れて結構スッキリしたね。
map_0900#489	ギルガルドを家に置いてきたあたしにできる仕返しなんて、これくらいのもんさ。
map_0900#490	あんたらもやりたい?
map_0900#491	ハーディ: いや、いいぜ。
map_0900#492	ベネットへの仕返しはもう何年も前に済ませたし、また同じことするのは芸がねえ。
map_0900#493	ファーン: オレ様は多分あいつに仕返ししたい側じゃなくて、される側だからな。
map_0900#494	ティタニア: 好きにしな。
map_0900#495	イライアス: ……そういえば、リーグで初めてチャンピオンの部屋に入った時、あなたの部屋かと思いました。
map_0900#496	命の危険を感じましたよ。
map_0900#497	ということは、まだ軽く済んだ方のようですね。
map_0900#498	あれほど怖がる理由はなかったのかもしれません。
map_0900#499	ファーン: 今でも十分怖えよ、あいつが言った通り、
map_0900#500	刺し殺し要員のギルガルドを連れてきてないだけでな。
map_0900#501	変わったのはあいつだけじゃねえけど、他に何か気付かねえか?
map_0900#502	イライアス: 十年も経てば、皆さんずいぶん様子が変わって見えます。
map_0900#503	もっとも、以前からそれほどよく知っていたわけでもありませんが。
map_0900#504	ファーン: ああ、そりゃ見た目は変わったぜ、確かに。
map_0900#505	実際、最高にキマってるしな。
map_0900#506	イライアス: 皆さんとても仲がよろしいようですね。
map_0900#507	ファーンがリーグの立派な一員というのは、どういうことでしょう?
map_0900#508	イライアス: これは、ファーンさんもですか?
map_0900#509	十年前からあなたの戦闘の腕前は存じ上げています。
map_0900#510	これほど強力な四天王とチャンピオンがいれば、リボーンは安泰のようですね。
map_0900#511	オレが「ふてくされてる」のはさ。
map_0900#512	二人が同じ仕事に就いて、つるむようになったってところだぜ。
map_0900#513	ハーディ: ああ、シェリーはすごいチャンピオンだぜ。
map_0900#514	イライアス: 私たちが見た限りでも、とてもうまくやっているようでした。
map_0900#515	ハーディ: ああ、色々うまくいってるぜ。
map_0900#516	お前らの時代でも同じくらいうまくいくはずだぜ。
map_0900#517	ティタニア: メテオの一件があった後、バトルなんてもう全部やめようと思ってたんだ。
map_0900#518	別の人生だったらそうしてたかもね。
map_0900#519	でもあたしはバトルがめちゃくちゃ得意だし、シェリーは支える価値のある子だからさ。
map_0900#520	話が逸れたね。
map_0900#521	あんたの時代でも頑張りな。
map_0900#522	シェリーの十分の一くらいのチャンピオンにでもなれれば、
map_0900#523	リボーンは安泰さ。
map_0900#524	ハーディ: お前は今時間旅行の冒険を終えたばかりだって分かってるけどな。
map_0900#525	オレの人生もなかなか慌ただしかったぜ。
map_0900#526	ライブに世界中を回ったり……
map_0900#527	なかなかイケてる話だろ。
map_0900#528	アヤがずっと一緒にいてくれるのも大きいけどな。
map_0900#529	……マジで、色々うまくいってるぜ。
map_0900#530	でもみんなお前がいなくて寂しかったんだ、戻ってきてくれて嬉しいぜ。
map_0900#531	アドリエンヌ: ヴィクトリアがアポフィルに専念するためにグランドホールの手伝いをやめた時ね、
map_0900#532	まだニューワールドの後始末に追われてる最中だったのに?
map_0900#533	書類の山に埋もれて溺れるかと思ったわ。
map_0900#534	でもみんなが手伝ってくれて、今ではちゃんと息抜きもできるようになったの!
map_0900#535	でも本当に、大丈夫?
map_0900#536	未来に飛ばされるなんて大変だったでしょう、分かるわ。
map_0900#537	わたしも昔に戻れたらってよく思ってた……
map_0900#538	今でも時々そう思うわ。
map_0900#539	でも大抵は、ここで自分の人生を築けたことを嬉しく思ってるの。
map_0900#540	でもあなたが自分の時代に戻れるのは嬉しいわ。
map_0900#541	みんなと過ごすこれからの十年を大切にしてね。
map_0900#542	それと、さっきも言った通り、リボーン史上最高のチャンピオンになりなさい。
map_0900#543	アークライト: よう、二人とも会えて嬉しいぜ!
map_0900#544	紅茶は切れてるし、ブラウニーもひどい味だけどな。
map_0900#545	でもこのカフェはやっぱりいい感じだぜ。
map_0900#546	それにお前らは今、自分の時代じゃ絶対見られないすごいものを目撃できるんだ。
map_0900#547	単調の君主にして行政の執政官、その陛下、
map_0900#548	アドリエンヌが腰を下ろして休憩してる姿をな。
map_0900#549	アドリエンヌ: アーク、もう。
map_0900#550	そこまでひどくなかったわ、ちゃんと休憩は取ってたもの。
map_0900#551	まあ、少なくとも人に無理やり休まされた時は……
map_0900#552	タカ: 前よりずっとストレス少なそうだね……
map_0900#553	アドリエンヌ: そうね、あんなに優秀で行動的なチャンピオンがいてくれると助かるもの。
map_0900#554	\PNが十年チャンピオンをやってくれれば、わたしも同じくらいのんびりできるはずよ。
map_0900#555	アークライト: 二十人分の仕事を一人で抱え込むのをやめて、ちゃんと人に任せられるようになったのも大きいけどな。
map_0900#556	アドリエンヌ: あなたが目の前にいたら、それを自分の手柄にはできないわね。
map_0900#557	ニューワールドの騒動への対応を、あたしたちがどう調整してたか見てたでしょ、
map_0900#558	ナイトクラブを拠点にしてたの、覚えてる?
map_0900#559	実はアークライトってそういうことにすごく才能があったのよ。
map_0900#560	アークライト: ああ、まあまあやれてると思うぜ。
map_0900#561	外に出りゃ色々いいことができるって気付いたんだ。
map_0900#562	地域活動にどっぷり関わるようになって、結局アドリエンヌの仕事の大半を引き受けることになった。
map_0900#563	おかげであいつも時々ちゃんと休めるようになったんだ。
map_0900#564	公共政策とかについて話す時、みんなどれだけ乗り気になるか、信じられねえだろうな。
map_0900#565	テレビやラジオに出てるイケてる兄ちゃんだとよ。
map_0900#566	タカ: それはすごいね……
map_0900#567	本当に世の中を変えてるみたいだ。
map_0900#568	……もっとも、前からそうだったと思うけど。
map_0900#569	ラジオとか、いつも聞くの好きだったよ。
map_0900#570	行きたくない場所に閉じ込められてても、少し気が楽になったんだ。
map_0900#571	アドリエンヌ: 気を付けて、褒めすぎると調子に乗るから。
map_0900#572	アークライト: おいおい、静かにしてろ。ファンからの称賛には慣れてるさ、それでうぬぼれるなら何年も前に問題になってるぜ。
map_0900#573	でも力になれて嬉しいぜ。
map_0900#574	その気持ち、お前らの時代でも持ち帰って、人助けしてやってくれ。
map_0900#575	話し相手がいるってだけで、助かる人は大勢いるからな。
map_0900#576	タカ: ありがとう……本当に、二人とも。
map_0900#577	全部に対して。
map_0900#578	シェリーがどれだけすごいチャンピオンか、色々聞いたよ。
map_0900#579	でもこれだけうまくいってるってことは、支えてる仲間もすごいってことだよね。
map_0900#580	アドリエンヌ: 精一杯やってるつもりよ。
map_0900#581	まだ問題は色々あるけど。
map_0900#582	大きなプロジェクトに取り組むたびに、くだらないことに同じくらいの時間を取られてる気がするわ。
map_0900#583	そのくだらないことって、大抵また別のロコンの部屋を見つけることなんだけど。
map_0900#584	本当にあちこちに隠してたんだから……
map_0900#585	アークライト: おいおい、文句言ってねえよ。
map_0900#586	歴代チャンピオンが隠してた秘密の部屋に出くわすなら、
map_0900#587	リンがやらかしたことに比べりゃ、ロコンのぬいぐるみだらけの部屋の方が全然マシだぜ。
map_0900#588	アドリエンヌ: それには反論できないわね。
map_0900#589	ねえ、\PN。
map_0900#590	シェリーはチャンピオンとしてすばらしい仕事をしてくれてるわ。
map_0900#591	あなたの時代に戻ったら、それ以上の仕事をしてね。
map_0900#592	選んだ人が間違ってたら、わたしの立場がないもの!
map_0900#593	タカ: 二人みたいな人が行政側にいてくれるなら……
map_0900#594	誰がチャンピオンになっても、リボーンは安泰だと思うよ。
map_0900#595	イライアス: あなたにもお会いできて何よりです。
map_0900#596	お久しぶりですね、アドリエンヌ。
map_0900#597	アドリエンヌ: わたしにとってはもっと久しぶりよ。
map_0900#598	でも無事で良かったわ。
map_0900#599	色々起きて大変だったけど、大抵の人はただ、
map_0900#600	自分なりに最善を尽くそうとしてただけだって分かってるわ。
map_0900#601	イライアス: そう言っていただけるのはありがたいですが、私は事あるごとに間違いを犯していたように思います。
map_0900#602	あなたには当てはまらないようですが。
map_0900#603	あの頃に比べてずいぶん落ち着いて見えますし、うまくいっているようですね。
map_0900#604	イライアス: あなたについては、テレビやラジオをそれほど見聞きしていたわけではないので、詳しくは存じません。
map_0900#605	メテオとの戦いやその後始末に尽力されたことは別として。
map_0900#606	ですが、長い間人助けを続けてこられたようですね。
map_0900#607	おそらくこの十年だけの話ではないのでしょう。
map_0900#608	でもそう言っていただけるのは嬉しいわ。
map_0900#609	あなたの時代でも同じことをしてみてね、いい?
map_0900#610	メテオの一件は色々ひどかったけど、確かに。
map_0900#611	十年経って気持ちの整理がついたここの人たちに比べたら、あなたの時代の人たちはずっと不満に思うでしょうね。
map_0900#612	でも善いことをする人を尊敬するなら、その人たちに倣って自分でも同じことをすればいいのよ。
map_0900#613	イライアス: もちろん、賢明な言葉です。
map_0900#614	私にできるのは最善を尽くすことだけです。
map_0900#615	あなたが明らかにそうしてこられたように。
map_0900#616	そもそも、シェリーがどれほど才能あるチャンピオンか、色々耳にしていますから。
map_0900#617	ですがこれほどうまくいっているということは、彼女を支える有能な仲間もいるに違いありません。
map_0900#618	イライアス: あなたのような方が行政側で働いているのであれば、
map_0900#619	誰がチャンピオンであろうと、リボーンは安泰だと思いますよ。
map_0900#620	アドリエンヌ: ありがとう。
map_0900#621	その信頼、嬉しく思うわ。
map_0900#622	あなたもね。
map_0900#623	アークが言った通り、あなたならきっと世の中を変えられるはずよ。
map_0900#624	また会いましょう。
map_0900#625	アークライト: ああ、またな。
map_0900#626	パーティー楽しめよ、
map_0900#627	こんな急な話だったのに、シェリーは全力を尽くしたんだからな。
map_0900#628	アークライト: お前らに任せて……
map_0900#629	まあ、要するに災害対応をオレのクラブでやらせただけだけどな、
map_0900#630	それがこんなことにつながるなんて、誰が思っただろうな。
map_0900#631	そのせいで時間を飛ばされる羽目になって悪かったな、
map_0900#632	少なくとも、そんなに長くなかったことを願うぜ。
map_0900#633	戻ったら、そっちでもきっとうまくやれるさ。
map_0900#634	ああ、それと戻ったら伝説のポケモンには気を付けろよ。
map_0900#635	何体か、対応がえらく妙なことになったって聞いたぜ。
map_0900#636	カイン: よう、お前さん~
map_0900#637	また話したくなるくらいオレが恋しかったってか?
map_0900#638	責められねえよなあ、オレみたいに可愛いやつからは目を離せねえもんな。
map_0900#639	なあ、マジで会いたかったぜ。
map_0900#640	シェリーはいいやつだし、すごいチャンピオンだ。
map_0900#641	お前よりすごかったかもな? まあ知りようがねえけどよ。
map_0900#642	……でもお前はオレの友達だったし、色んなことに関わってたんだ。
map_0900#643	お前がまだいてくれたらって思うのも無理ないだろ。
map_0900#644	で、お前がまたここにいるってことは、言うべきことは一つだけだよな……
map_0900#645	お前のこれからの十年が、オレたちのこの十年みたいに幸せで楽しいものになるといいぜ。
map_0900#646	ぶちかましてやれよ、\PN。
map_0900#647	グランドホールで御三家をもらったあの日、
map_0900#648	本物のすごいトレーナーがリボーンで旅を始めたんだって、みんなに知らしめてやれよ。
map_0900#649	……まあ、お前とヴィクトリアもそうだったんだよな?
map_0900#650	……冗談はさておき、お前ならきっとうまくやれるぜ。
map_0900#651	頑張れよ。
map_0900#652	カイン: よぉよぉよぉ~
map_0900#653	お気に入りの妹と話してたと思ったら、
map_0900#654	お気に入りの時間旅行者まで登場かよ?
map_0900#655	今日はオレのラッキーデーってやつか?
map_0900#656	アヤ: カイン、そんな限定の付け方したら何でもお気に入りになるでしょ。
map_0900#657	カイン: それが狙いだぜ。
map_0900#658	みんなに愛を分け与えるってことさ~
map_0900#659	アヤ: ねえ\PN、タカも。
map_0900#660	二人とも無事に戻ってきて良かった。
map_0900#661	タカ: カイン、アヤ……やあ。
map_0900#662	二人とも元気そうだね、会えて嬉しいよ。
map_0900#663	カイン: 「元気」なんて言葉じゃ全然足りねえぜ!
map_0900#664	お前は今、この地方で一番有名なミュージシャンの一人と話してるんだ。
map_0900#665	それに、彼女の魅力的で優秀で、とにかくイケてる兄貴ともな。
map_0900#666	アヤ: 相変わらず謙虚ね、カイン。
map_0900#667	でもまあ、あたしとハーディのバンドはかなりうまくいってるわよ。
map_0900#668	こんなにファンがいるんだから、何か正しいことやってるってことよね?
map_0900#669	まあ、ファンがいなくたって、うまくいってるって言えるけど。
map_0900#670	あたしたちの音楽は最高なんだから。
map_0900#671	タカ: 作ってる本人がそんなに好きなら、きっといい音楽なんだろうね。
map_0900#672	愛情とか丁寧さとか、そういうものが込められてるってことだし……
map_0900#673	カイン: その調子だぜ!
map_0900#674	何事も全力でやりゃ、うまくいくもんだ。
map_0900#675	うまくいかなくても、少なくとも楽しめてるはずだしな!
map_0900#676	アヤ: そんな必要ないことにまで全力を注ぐ王様に言われると、なおさら真実味があるわね。
map_0900#677	それより、これ聞いたら二人とも面白がると思うわよ。
map_0900#678	数年前、リボーンシティで誰もやりたがらない検査官か何かの公職に空きが出たの。
map_0900#679	選挙で選ばれる仕事なんだけど、前任者が四十年くらいずっとやってて、
map_0900#680	その間ずっとひどい仕事ぶりだったらしくて、
map_0900#681	だから誰もその後始末をやりたがらなかったのよ。
map_0900#682	結局候補者は一人だけで、不戦勝で当選したの。
map_0900#683	とにかく、その結果、今リボーンシティの公職にはメガニウム夫人が就いてるってわけ。
map_0900#684	カインはそれを見て、きれいになったばかりのビクスビジョン地区の区長選挙が近いことを思い出したの。
map_0900#685	それで、ダストダスをその選挙に出したら面白いだろうなって思いついたわけ。
map_0900#686	カイン: おい、ビグルスワースはただの「ダストダス」じゃねえ、友達だぜ!
map_0900#687	喋れるし、ちゃんとバトルもできるんだからな。
map_0900#688	タカ: ポケモンって、その、みんな……
map_0900#689	元からバトルの仕方くらい知ってるんじゃ?
map_0900#690	カイン: いや、そうじゃなくて、モンスターボールとか使ってな。
map_0900#691	ポケモンじゃなくてトレーナーみたいにってことだ。
map_0900#692	喋れるんだから、そんなに無茶な話でもねえだろ。
map_0900#693	タカ: それは……面白いね。
map_0900#694	アヤ: とにかく、こんなくだらないことにまで、カインは全ての時間と労力を注ぎ込むわけ。
map_0900#695	それで実際、予算ゼロですごく説得力のある選挙運動をやってのけたのよ。
map_0900#696	手短に言うと、ビグルスワース区長は支持率が過去最高でね?
map_0900#697	去年、住みやすい地区の世論調査でビクスビジョンがラピスを抜いたのよ?
map_0900#698	カイン: ああ、それでオレは今政界で働いてるってわけだ。
map_0900#699	なかなかイケてるだろ。
map_0900#700	アヤ: 謙遜してるけど、本当にすごく上手いのよ。
map_0900#701	カイン: そうか?
map_0900#702	じゃあお前はすごくいいミュージシャンで、可愛い妹だな。
map_0900#703	そういうことだ。
map_0900#704	アヤ: 分かってるわよ、あたしはすごいの。
map_0900#705	アヤ: ねえ、ビグルスワースの選挙スローガンが何だったか、カインに聞いてみて。
map_0900#706	タカ: えっと……
map_0900#707	ねえカイン、選挙スローガンって何だったの?
map_0900#708	カイン: 聞いてくれて嬉しいぜ!
map_0900#709	「これだけゴミみたいな候補者が立候補してる中、
map_0900#710	ゴミ以下には入れるな。
map_0900#711	ゴミ箱に入れろ。
map_0900#712	ビグルスワースに一票を。」
map_0900#713	タカ: それは……すごく覚えやすいね。
map_0900#714	カイン: そう思ってもらえて嬉しいぜ、今やそれがオレの仕事だからな!
map_0900#715	……とはいえ、大変なこともあるけどな。
map_0900#716	シェリーは最初冗談で始まったって知らないし、もうここまで来ちまうと、今さら言う気にもなれねえんだ。
map_0900#717	あいつはオレがビグルスワースの適性を見抜く天才的な洞察力を持ってたと思ってるからな。
map_0900#718	だから他のポストにも良さそうな候補を探してくれって頼まれてよ……
map_0900#719	手伝うのは構わねえけど、あれはただのまぐれだったって気がしてならねえんだ……
map_0900#720	タカ: まあ、どっちにしても、二人とも本当に得意なものを見つけたみたいだね?
map_0900#721	しかも楽しんでる?
map_0900#722	それってすごくいいことだと思うよ。
map_0900#723	アヤ: そうね、陰気でとんがった毒タイプ好きな女の子が、結局すごいミュージシャンになったってわけ。
