map_0356#0	テントのあちこちにバーがあるだろ?
map_0357#179	カイン: 行き遅れ。
map_0357#180	アヤ: クソ女。
map_0357#181	カイン: それ、もう言っただろ。
map_0357#182	アヤ: 知らないし!
map_0357#183	カイン: 愛してるぜ。
map_0357#184	アヤ: ……わたしも愛してる。
map_0357#185	たまにはね。
map_0357#186	サムソン: で、お前が挑戦者だってか?
map_0357#187	リボーンのバッジシステムは知ってるよな?
map_0357#188	順位は決まってるが、挑戦者は自分が持ってない一番低い順位のバッジから、4つ以内のリーダーとなら戦えるんだ。
map_0357#189	たいていのやつは順番通りにバッジを取らないから、そのおかげで均等になるんだよ。
map_0357#190	で、お前はどのバッジがないんだ?
map_0357#191	どうせ3個くらいしか持ってないんだろ?
map_0357#192	……おっと、へえ。
map_0357#193	もう9個か。
map_0357#194	こりゃ参ったな。
map_0357#195	間抜けに見えちまったな、俺。
map_0357#196	シエル: いつものことですわね。
map_0357#197	サムソン: チッ、まあな、でも普通はせめて二回目のデートまでは、そういうところ隠しとくもんだろ。
map_0357#198	サムソン: チッ、まあな、でも普通はそういうところ、あんまり見せないようにしてるんだけどな。
map_0357#199	サムソン: とにかく、俺たちと同格の挑戦者が来てくれてうれしいぜ!
map_0357#200	簡単すぎないように、気合入れてかからないとな!
map_0357#201	シエル: あら、でもあなたにはいつも楽勝ですものね〜
map_0357#202	サムソン: 『こうかはばつぐんだ』の野次馬席から茶々入れんなよ。
map_0357#203	シエル: あはは〜
map_0357#204	野次馬席かもしれませんけど、悔しがってるのはわたしじゃありませんわ〜
map_0357#205	シエル: アゲートシティが早く元に戻るといいのですけれど。
map_0357#206	ショーを重ねるごとにお客さんが減っていくのを見るのは、がっかりですもの。
map_0357#207	残念ながら、アゲートのみんなが眠ってしまう理由は、誰にもよくわかっていませんの。
map_0357#208	とはいえ、調べてくれている者はおりますわ。
map_0357#209	誰だと思います? きっと信じられませんわよ。
map_0357#210	サムソン: 恐怖のテラが、実はパソコンに強いってことがわかってな。
map_0357#211	シエル: ええ、アゲートシティ上空に何らかの信号が流れているのを検知できてるそうですわ。
map_0357#212	もう少しで、その発信源も突き止められるとのことですの。
map_0357#213	サムソン: それが分かり次第、乗り込んで、昔ながらのゲンコツをお見舞いして、それで終わりだ。
map_0357#214	シエル: なんとも不用意な計画ですこと……
map_0357#215	でも、それが狙いなのでしょうね。
map_0357#216	サムソン: いい仕事はちゃんとわかるお嬢さんだな。
map_0357#217	シエル: そんなこと知りませんわよ、野蛮人。
map_0357#218	サムソン: お、いい考えってのがわからないのか?
map_0357#219	そりゃいろいろ納得だな。
map_0357#220	シエル: ちょっと! そういう意味じゃないの、わかってるくせに!
map_0357#221	カイン: なあ、アヤ。あれこれ押しつけたこと、悪かったと思ってるんだぞ?
map_0357#222	アヤ: 本当に悪いと思ってるなら、最初からやってないでしょ。
map_0357#223	〜 心臓は時計みたいに時を刻んでる、
map_0357#224	刻まれる時間は 止まりはしない〜
map_0357#225	〜 進化はいつも起きていて、世界は毎日回って変わっていく〜
map_0357#226	〜 名前のあるものは何だって
map_0357#227	この世に ずっと同じままのものなんて ひとつもない〜
map_0357#228	アヤ: もうやめて。
map_0357#229	その馬鹿みたいな歌のせいで、わたしたちのこと頭から追い出せてたわけ?
map_0357#230	カイン: そんなわけないだろ。
map_0357#231	でも、あれは自分のために選んだことだから、罪悪感を感じても仕方ないんだ。
map_0357#232	お前にそんな重い責任を背負わせるつもりはなかったけど、もう母さんに耐えられなかったんだよ。
map_0357#233	アヤ: ふうん。
map_0357#234	あんたが出てったあと、母さんがちょっとはマシになったとでも思ってる?
map_0357#235	今じゃ、あんたの存在なんてほとんど無かったことにしてるよ。
map_0357#236	怒鳴り声も、ずっと止まってない。
