map_0824#135	この現実でノストラに残されたわずかな力じゃ、できることもそんなに多くない……
map_0824#283	自分は同じことしないって言ったとしても、それって結局、自分に嘘ついてるだけじゃないの??
map_0824#284	てかさ、知ってる??
map_0824#285	あたしがここにいる理由も、あんたと同じだよ。
map_0824#286	面白いから。
map_0824#287	これはゲームだったんだから!
map_0824#288	それに、面白くなかったら、あんただって今頃ここにいないでしょ、そうでしょ!?
map_0824#289	そんなに難しくなかったでしょ??
map_0824#290	それがなんでだと思う????
map_0824#291	何、まさか主人公みたいな「選ばれし者」だからとか、そういうくだらない理由だとでも?
map_0824#292	まあ、アンナがあんたにプロットアーマーか何かくれたのかもしれないけど、
map_0824#293	でも、そもそもあんたが勝てるように仕組んだのが誰だと思ってるの?
map_0824#294	急所に当てる必要すらなかったでしょ。
map_0824#295	それに、あんたが通り抜けるどのエリアにも、都合よく出口があるって、便利すぎない?
map_0824#296	あちこちに置いてあった光の欠片、あれ誰が置いたと思う?
map_0824#297	あれ、なんだかアルセウスの一部みたいに見えるでしょ???
map_0824#298	さぁて、どうだろうね!!
map_0824#299	あんたがやってきたこと全部が無駄だったとか、そういう話をしてるんじゃないよ。
map_0824#300	ただ、ちょっとくらい感謝があってもいいんじゃない、って言ってるだけ。
map_0824#301	あたしたち、最初からずっと一緒にこのゲームをプレイしてきたんだから。
map_0824#302	リンはただの操り人形だった……
map_0824#303	ゲームの中のAIみたいなもんだよ。
map_0824#304	そんなに喋らなかったけど、肝心なときには動いて、他の誰にもできないことをやってのけた……
map_0824#305	それって、なんか聞き覚えない????
map_0824#306	わかるよね??
map_0824#307	あんたみたいな無口な主人公なんて、他の誰かが遊ぶための器でしかないんだよ!
map_0824#308	で、そのほかの誰かって言うのは……
map_0824#309	\v[571]とか、そういうくだらないこと言わないでよね!
map_0824#310	最初からずっと、あたしに決まってるでしょ!
map_0824#311	は?
map_0824#312	でも、自分のおもちゃにこんな風に話しかけて時間潰すなんて、頭おかしい女の子くらいなもんだよね……
map_0824#313	あ、そうだった、ひひひひ……
map_0824#314	なんであたしと戦っても無駄なのかって????
map_0824#315	だってあんたがあたしに勝ったら、あんたはどうなっちゃうと思う???
map_0824#316	一緒に遊ぶ相手がいなくなる、うわぁ大変!
map_0824#317	ゲームは終わりってことか、そろそろ帰らないとね!
map_0824#318	それに、誰も終わってほしいなんて思ってないでしょ。
map_0824#319	もし本気でそう思ってるなら、今すぐここから立ち去ればいいだけだもん。
map_0824#320	でもあんたはそうしない!
map_0824#321	とろんとした目で、口をぽかんと開けて、「こいつ何言ってんの????」って顔。
map_0824#322	ゲームが終わってほしいのは、それが他の誰かの責任になるときだけ、でしょ?
map_0824#323	これはただ、あんたが座って聞き流すことに決めた言葉ってだけ、でしょ?
map_0824#324	本当に何かするように促されるその次の瞬間まで、でしょ?
map_0824#325	わかった、そこまで言うなら!
map_0824#326	そんなにゲームを終わらせたいなら!
map_0824#327	アルセウスと、まだまだたっぷり遊べるからね!
map_0824#329	リン: マジで??????
map_0824#330	アルセウス????
map_0824#331	あんたのこと、いじりすぎちゃったかな……
map_0824#332	ねえ……
map_0824#333	起きて？
map_0824#334	神様なんでしょ？
map_0824#335	あたしたちがもう悲しくならないようにしてくれるはずだったよね？
map_0824#336	あたしたちが幸せでいられる世界を作るはずだったよね、
map_0824#337	誰にも忘れられない、誰にも怖がらせられない、やりたくないことをやらされない世界を、
map_0824#338	あんたならできるでしょ？
map_0824#339	なのになんで、あたしたち自身のおもちゃをあたしたちに逆らわせるの???
map_0824#340	やめてよ、ね？
map_0824#341	もうそれ、全然面白くない。
map_0824#342	このゲームを続けるつもりなら、あたしの言うこと聞いてくれないと。
map_0824#343	あたしたちだけがお互いを理解し合ってるはずだったよね、そうでしょ？
map_0824#344	じゃなきゃ、あたしたちだけの世界を作った意味なんて、なんだったの????
map_0824#345	だから、ちゃんと聞いて、ちゃんとしてれば大丈夫だよね、そうでしょ？
map_0824#346	あんたはあたしのもので、これからもずっとそう。
map_0824#347	そして、あたしはあんたのもの。
map_0824#348	お互いに、ちゃんと大切にし合うものでしょ、人ってそういうものなんだから、そうでしょ？
map_0824#349	あたしたちにはいつだって、お互いがいる――
map_0824#350	永遠に、
map_0824#351	そうでしょ？
map_0824#352	リン: ああ。
map_0824#353	そんな風に感じてたんだ……
map_0824#354	だったら……
map_0824#355	結局、あんたもあたしと同じなんだね。
map_0824#356	リン: はぁ？
map_0824#357	それだけ？？？
map_0824#358	ここまで来て、結局ここで負けるためだけだったってわけ。
map_0824#359	それって本当に、驚くほど、
map_0824#360	バカみたい。
map_0824#361	あはっはは！
map_0824#362	アンナのあのスピーチとか色々あった後で、まさかあんたが負けちゃうとはね？？？
map_0824#363	うわぁぁぁぁぁぁぁ
map_0824#364	でも、これでよくわかったでしょ、
map_0824#365	アンナとあたし、二人であんたをここまで育てたのに……
map_0824#366	あんたみたいな役立たずのおもちゃなんて……
map_0824#367	……誰にも必要とされてないんだよ。
map_0825#0	アマリア: あら、あんたじゃない!
map_0825#1	リンと駆け落ちしたって聞いてたけど、結局戻ってきたんだ?
map_0825#2	すごいじゃない。
map_0825#3	今度はこっちの手伝いに来てくれたってこと?
map_0825#4	ほら、見て。
map_0825#5	この石板、点字だらけなの。
map_0825#6	最初は自分の家のすぐそばだから自分でなんとかしようとしてたんだけど……
map_0825#7	この量の文章を手作業で翻訳しようとしても、正直無理があるのよね……
map_0825#8	もうしばらくここにいるのに、ほとんど進んでなくて。
map_0825#9	正直、もう投げ出しかけてるところ。
map_0825#10	一番いいのは、点字に詳しい人を見つけることだと思うんだけど……
map_0825#11	目の見えない人って聞いたことあるの、四天王のあのおじいさんだけなんだけど、リンが消えてからその人の話も全然聞かないし。
map_0825#12	多分、他の誰かを探さなきゃいけないと思うけど、誰にすればいいか全然わかんない……
map_0825#13	もしかして、これを翻訳できそうな人、他に知らない?
map_0825#14	とりあえず、あたし戻ろうと思う。
map_0825#15	ターニアと二人で、他に手伝えることないか見てみるかも。
map_0825#16	それじゃ、またね～
map_0825#17	アマリア: あら、戻ってきたのね。
map_0825#18	ジュリアが、あんたがターニアと駆け落ちしたって言ってたけど。
map_0825#19	あんまり面白いジョークじゃないって言っといたわ。
map_0825#20	あんたが残していった後始末をしに来たの?
map_0825#21	結局、あんたって全然変わってないのね?
map_0825#22	アマリア: まあ、これはあんたの頼りになる手にお任せするわ。
map_0825#23	うちのすぐそばだから、何のトラブルか見に来ようと思ったんだけど、
map_0825#24	ここにあるのは、点字だらけのでかい石板ばっかりみたいね。
map_0825#25	それを全部手作業で翻訳しようとするなんて?
map_0825#26	遠慮しとくわ。
map_0825#27	自然に読める人を見つけた方が、多分早いと思うわよ。
map_0825#28	目の見えない人で聞いたことあるの、四天王のあのおじいさんだけなんだけど、リンが消えてからその人の話も全然聞かないし。
map_0825#29	多分、他の誰かを探さなきゃいけないと思うわ。
map_0825#30	頑張ってね～
map_0825#31	そのうちナイトクラブで会うかもね。
map_0825#32	アマリア: 会わないかもね。
map_0825#33	ダニエール: あら、遅かったじゃない。
map_0825#34	もうだいたい全部、目を通し終わったところよ。
map_0825#35	あんたにとって幸運なことに、これ、結局わたくしたちの言語に訳せるのよね。便利じゃない?
map_0825#36	さて、ここに書かれている情報を、どう行動に移すかという問題だけど……
map_0825#37	あそこの石板には、前に進む道を開くには、演者が特定の儀式を行わなければならないと書いてあるの。
map_0825#38	そしてこっちの石板には、その儀式に必要な動作が並んでいるわ。
map_0825#39	ここに書かれていることをただ教えてあげてもいいのだけれど……
map_0825#40	障がいのある人をわざわざ連れてきて、翻訳の道具として使うだけって、少し人間性を欠くと思わない?
map_0825#41	まあ、あんたはそうは思わないでしょうけど。
map_0825#42	でも、わたくしとしては、この一件でただの受動的な仲介役に甘んじるのは不満なの。
map_0825#43	だから、こうしましょう。
map_0825#44	「サイモン・セズ」ってゲーム、知ってるでしょう?
map_0825#45	ダニエール: そう言うけれど、以前わたくしが誰かのために通訳したときは、知ってるって言った人が、そのゲームの肝心な部分をすっかり忘れていたのよね。
map_0825#46	特に「サイモン・セズ」って言わなかったら、その動作はしない、覚えておいて。
map_0825#47	でも、それがわかっているなら、わたくしが何をしようとしているかもわかるでしょう。
map_0825#48	ダニエール: 本当に? あら、まあ、思っていたよりも世間知らずな人がいるものね。
map_0825#49	心配しないで。ちゃんと親切に説明してさしあげるわ。
map_0825#50	「サイモン・セズ」では、リーダーが一度に一つずつ、指示を出すの。
map_0825#51	その指示の前に「サイモン・セズ」というフレーズがついていたら、プレイヤーはそれを実行する。
map_0825#52	そのフレーズがついていなければ、プレイヤーはそれを無視するべき。
map_0825#53	サイモンが言ったことをしなかったり、逆に言ってもいないことをしたりしたら、負け。
map_0825#54	簡単すぎるくらいでしょう? 子供だって完璧に勝てるわ。
map_0825#55	というわけで、わたくしがあなたに儀式の指示を読み上げながら、このゲームで進めましょう。
map_0825#56	目もちゃんと見えているあんたなら、こんな初歩的なことで失敗するはずないでしょう?
map_0825#57	さあ、準備ができたら、また話しかけて。
map_0825#58	ダニエール: もう一度やってみる?
map_0825#59	それとも、この簡単な指示があんたには手に負えなさすぎたかしら?
map_0825#60	ダニエール: 始めましょうか?
map_0825#61	結局のところ、人をゲームでいじめるのって……いえ、人とゲームをするのって、とても好きなの。
map_0825#62	ダニエール: よろしいわ。
map_0825#63	さあ、あそこの真ん中のエリアに立って。それから始めましょう。
map_0825#64	ダニエール: 緊張する必要なんてないわよ。
map_0825#65	わたくしはただ、あんたを審査してからかうためにここにいるだけだもの。
map_0825#66	ダニエール: ……何？
map_0825#67	ダニエール: 失敗したのね?
map_0825#68	自覚があるだけましだわ。
map_0825#69	じゃあ最初から、準備ができたらどうぞ。
map_0825#70	ダニエール: 何、子供のお遊戯くらい、あんたには荷が重すぎる?
map_0825#71	わたくし、ここでは別に優しくしてるわけじゃないの――それだと退屈でしょう。
map_0825#72	でも、あんたが本当にどうしてもって言うなら、代わりに解いてあげてもいいわよ。
map_0825#73	ダニエール: がっかりだわ。
map_0825#74	でも、手伝わないってわけじゃないの。
map_0825#75	じゃあ下がってて、あっという間に片付けるから。
map_0825#76	ダニエール: あんたがいじめられるのに付き合ってくれる姿勢、心から嬉しいわ。
map_0825#77	でもタイミングがおかしくなっちゃったから、最初からやり直しましょう。
map_0825#78	ダニエール: あら、まるっきりのたわ言ってわけでもなかったのね。
map_0825#79	驚いたわ。
map_0825#80	まあ、あんたに感謝されるとも思ってないし、褒めてあげるつもりもないから、もう行っていいわよ。
map_0825#81	ダニエール: 心配しないで、まだ消えるつもりはないから。
map_0825#82	だって、これがあんたがわたくしを必要とする最後になるとは思えないもの。
map_0825#83	それに、あんたも、わたくしたちのちょっとしたゲームを見逃すのは嫌でしょうしね。
map_0825#84	Kzzzzzztttt--
map_0825#85	ポケモンはさらに奥へと逃げていった!
map_0825#86	石板には、独特な模様で細かい突起が一面に広がっている……
map_0825#87	ダニエール: なるほど、やっぱりもっとあったのね。
map_0825#88	もちろん、わたくしはとっくに知っていたけれど、あんたから発見の喜びを奪いたくはなかったの。
map_0825#89	わたくしを、ケチな人間だなんて思わないでね。
map_0825#90	さあ、下がって。読んだら準備ができたと伝えるわ。
map_0825#91	ダニエール: また一枚、ね?
map_0825#92	わたくしがいなかったら、あんたどうするつもりだったのかしら?
map_0825#93	さあ、これを読んでいる間、また少し脇に寄って役立たずでいてちょうだい。
map_0825#94	ダニエール: そして、また。
map_0825#95	これ以上あったら、あんたに料金を請求し始めるところよ。
map_0825#96	しないけど――できなくはないの。
map_0825#97	だから、わたくしに優しくしておいた方がいいわよ、とか何とか。
map_0825#98	とにかく、やり方はわかってるでしょう。動いて。
map_0825#99	ダニエール: よし、わかったわ。
map_0825#100	準備ができたらどうぞ。
map_0825#101	ダニエール: あとはやるだけよ。
map_0825#102	ああ、それと一つ提案。今回は失敗しないようにしてね。
map_0825#103	任意だけど、おすすめよ。
map_0825#104	さあ、始めましょうか?
map_0825#105	ダニエール: 踊る準備はいい?
map_0825#106	ダニエール: よし。
map_0825#107	中央の岩の左から始めて。それから行くわ。
map_0825#108	ダニエール: 焦らずに。芸術は急いじゃいけないっていうものね。
map_0825#109	ダニエール: さあ、進んで。
map_0825#110	ダニエール: あら、結局やってのけたのね。
map_0825#111	残念だわ。
map_0825#112	さあ、進んで。
map_0825#113	ダニエール: 簡単な指示に従う能力、本当に見事だわ、\PN。
map_0825#114	レジロック: ガリガリガリッ!
map_0825#115	ダニエール: 全部終わったわ。
map_0825#116	準備ができたら話しかけて。
map_0825#117	ダニエール: あの割れた氷、少し待てば元に戻るはずよ。
