map_0359#150	ティタニア: 何とかするわ。
map_0361#2	……あと、まあ、お兄ちゃんにも。
map_0361#3	^ カルセノンシティ
map_0361#4	カイン: \PNが来たぞ〜
map_0361#5	ハーディ: よし!
map_0361#6	カルセノンはこの階段のすぐ上だから、時間を無駄にせずいこうぜ。
map_0361#7	カイン: だな、みんなが俺たちを頼りにしてるんだから!
map_0361#8	カイン: うおっ!
map_0361#9	アヤ: カイン! 大丈夫?!
map_0361#10	カイン: 大丈夫……ああ、大丈夫だ!
map_0361#11	今のレーザー、ぎりぎり外れただけで……
map_0361#12	おい、やっぱ心配してくれてるんじゃん。
map_0361#13	アヤ: 何?
map_0361#14	馬鹿言わないで。
map_0361#15	ハーディ: 今の攻撃、ラブラドラシティの真上から来たぞ。
map_0361#16	何かが起きてるな。
map_0361#17	アヤ: それより――何かが落ちてくる!
map_0361#18	サファイラ: みんな無事?!
map_0361#19	ハーディ: こっちはギリギリだけど無事だ!
map_0361#20	状況はどうなってる?
map_0361#21	サファイラ: チームメテオがラブラドラシティを占拠して、PULSEマシンでこの一帯を支配しようとしてるの。
map_0361#22	ハーディ: ああ、PULSEバリヤードのことはニュースで聞いて、助けに来たんだ。
map_0361#23	サファイラ: それはもう問題じゃないの。
map_0361#24	また来た!
map_0361#25	アヤ: あれは何?
map_0361#26	サファイラ: PULSEブロスターよ。
map_0361#27	遠くからカルセノンを攻め立ててるの。
map_0361#28	できる限り攻撃をそらしてるけど、どこかには落ちちゃうのよ。
map_0361#29	巻き添え、ごめんなさいね。
map_0361#30	カイン: 大したことないさ、走馬灯が見えただけだから。
map_0361#31	アヤ: つまり、コンマ一秒のエロ動画を見たみたいな感じ?
map_0361#32	カイン: セリフはもうちょっとマシだったけどな。
map_0361#33	ハーディ: やめてくれよ?
map_0361#34	サファイラ: わたしは戻るわね。
map_0361#35	街に入るなら、東の入口を使って。
map_0361#36	アヤ: すぐそこって話、どうなったのよ……
map_0361#37	ハーディ: 大丈夫大丈夫!
map_0361#38	3番道路は昔きつかったけど、カルセノンとラブラドラの両方の街が時間をかけて橋を整備して、通りやすくしてくれたんだ。
map_0361#39	一直線で行けるから、問題ないぜ!
map_0361#40	行こうぜ!
map_0361#41	アメトリン周辺はすごく寒くてじめじめしてるんだ……そこを抜けるにはあのわざマシンを見つけないとな。でも、その前に肩慣らしといくか!
map_0361#42	アイク: いい肩慣らしになったな! さあ行こう!
map_0361#43	アメトリンは基本的に氷と水でできた巨大な石の円柱なんだ。すごい挑戦しがいがあるぜ!
map_0362#0	ぐっすり眠り込んでいる。
map_0362#1	ティタニア: ひとつはっきりさせておくわ。
map_0362#2	あなたはわたしを1番道路で見ていない。
map_0362#4	ティタニア: よろしい。
map_0362#5	ティタニア: あなたって本当に、できる限り厄介者になろうとしてるのね。
map_0362#6	このメテオの件は、彼女とは切り離して対処するのが一番いいの。
map_0362#7	あなたが彼女をこの件に巻き込むことは許さない。
map_0362#8	アマリアはただでさえ、いつも鬱と自傷に苦しんでるのよ。
map_0362#9	それに輪をかけて厄介事を背負わせる必要なんてないし、
map_0362#10	それに、この厄介事はすでに彼女を狙ってる。
map_0362#11	あなたが彼女を追い詰めて、迫り来る危険の中に突き落とすのを、黙って見過ごすつもりはないわ。
map_0362#12	あなたはここに来た用事を済ませたら、彼女には関わらせないこと。
map_0362#13	さあ、行きなさい。
map_0362#14	ハーディを起こせるのは、神の御業か暴力くらいのものだ。
map_0362#15	ティタニアのめざましビンタが決まった!
map_0362#16	ハーディ: いってぇ……
map_0362#17	何が……
map_0362#18	うーん……
map_0362#19	眠い……
map_0362#20	ティタニア: ……
map_0362#21	ハーディ: いてて、わかった、わかったから、もう起きてるって! うわっ!
map_0362#22	……あれ? よう、姉貴。
map_0362#23	この痛みで気づくべきだったな、姉貴だって。
map_0362#24	それと……\PNだよな? よう。
map_0362#25	ティタニア: 地面に倒れてるあなたを見つけたのよ。
map_0362#26	ハーディ: は?
map_0362#27	ああ……
map_0362#28	なあ、アヤはどこ行った?!
map_0362#29	え? サーカスにいるのか?
map_0362#30	ティタニア: アヤ?
map_0362#31	ハーディ: ああ、新しいどくタイプのリーダーだよ。
map_0362#32	俺のジムを見せに連れて行こうとしてたら……
map_0362#33	何が起きたのか分かんねえんだ。
map_0362#34	気づいたらここにいたってわけ。
map_0362#35	ティタニア: とんでもない初デートね。
map_0362#36	ハーディ: おい、やめろって、そういうんじゃねえよ。
map_0362#37	アヤは大丈夫なんだよな?
map_0362#38	探しに行かねえと!
map_0362#39	ハーディ: うう、なんか知らんが全身痛えな……
map_0362#40	ティタニア: 土の上にうつ伏せで寝てたことと、何の関係もないでしょうね。
map_0362#41	ハーディ: ここで寝てるよりマシだな。
map_0362#42	必要以上に姉貴の世話になる気はねえし。
map_0362#43	ティタニア: 同感ね、行ったほうがいいわ。
map_0362#44	ティタニア: 彼についていくの、どうするの?
map_0362#45	アマリア: \PN!
map_0362#46	久しぶり、会えて驚いたわ!
map_0362#47	ようこそ、ようこそ――くつろいでいってね!
map_0362#48	来てくれてうれしいわ! やっとターニャに会えるわね!
map_0362#49	あら、それは何?
map_0362#50	サーカスから、アゲートについての知らせがあるの?
map_0362#51	何が起きてるかは聞いてて、少し調べてみようかと思ってたんだけど……
map_0362#52	その、ブラックスチーム工場での襲撃から、まだ回復中だったのよ。
map_0362#53	でも、そろそろ本格的に動く頃合いかもしれないわね。
map_0362#54	それで、その手がかりって?
map_0362#55	コードネーム「ティタウィン」というメテオの工作員……
map_0362#56	ああ、それエースが教えてくれた「T」のことね!
map_0362#57	エースの言ったことが本当なら――
map_0362#58	まあ、あの人のことだから、どうだか分からないけど――
map_0362#59	ティタウィンが加入したのは、わたしがボレアリスを調べていた後だから、まだ何も見つけられてないと思うわ。
map_0362#60	でも、この近くで活動してるらしいの?
map_0362#62	うーん。
map_0362#63	面白いと思わない?
map_0362#64	ティタウィンって、ティタニアにすごく似てる響きよね……
map_0362#65	でも、たぶん、ただの偶然よね?
map_0362#66	???: 何が偶然なの?
map_0362#67	アマリア: あら、ターニャ!
map_0362#68	ターニャ、この子が話してた\PNよ。
map_0362#69	\PN、こちらティタニア〜
map_0362#70	ティタニア: もう会ってるわ。
map_0362#71	ティタニア: どうも。
map_0362#72	ティタニア: 散らかっててごめんなさい、お客さんが来るとは思ってなかったから。
map_0362#73	それで、わたしの話をしてたの?
map_0362#74	アマリア: あなたがどれだけわたしの面倒を見てくれてるか、\PNに話してただけよ!
map_0362#75	それに、わたしたちが話したことも、これからちゃんと考えていくつもりだから、
map_0362#76	その、療養のこととか、色々ね。
map_0362#77	ティタニア: ……そう。
map_0362#78	今日は驚くようなお客さんが続く日みたいね。
map_0362#79	アマリア: そうそう、ついさっきもターニャの弟に偶然出会ったのよ!
map_0362#80	わたしが綿菓子を買ってきてってお願いしたら、ターニャが帰り道で見つけたの。
map_0362#81	彼女がその子を運んできて、わたし「わあ、ずいぶん大きい綿菓子ね!」って言っちゃったわ。
map_0362#82	ティタニア: 土の上にうつ伏せで寝てたのよ。
map_0362#83	ハーディは昔から寝つきが深いけど、これは新記録ね。
map_0362#84	アマリア: あら? ハーディを探してたの?
map_0362#85	それなら、上の階にいるわよ!
map_0362#86	さあ、行きましょう!
map_0362#87	ティタニア: だめ、あなたはここにいなさい。
map_0362#88	休まないといけないんだから。
map_0362#89	アマリア: あはは……分かったわ〜
map_0362#90	ソラリスとの一件で、ろっこつを何本かひびが入ったかもしれないの……
map_0362#91	でも大丈夫! すぐにまた動けるようになるはずよ!
map_0362#92	ティタニア: こっちよ、\PN。
map_0362#93	アマリア: ターニャは少しよそよそしいところもあるけど、本当は優しい子なのよ〜
map_0362#94	アマリア: サムソンはかくとうタイプのリーダーよ。
map_0362#95	でも、あなたはもうバッジを次々集めてるんでしょう?
map_0362#96	きっと問題ないはずよ!
map_0362#97	わたしたちが戦える日も楽しみにしてるわ!
map_0362#98	お互い、目標に向かって頑張りましょうね?
map_0362#99	ティタニア: お先にどうぞ。
map_0362#100	ティタニア: それで、彼についていくの、どうするの?
map_0362#101	ティタニア: マシンを渡すのは、サムソンを倒してからよ。
map_0362#102	テレビ: さあ、それでは!
map_0362#103	ゴシップ・サーナイトによる緊急ニュースです!
map_0362#104	サーナイト: こんにちは、リボーンのみなさん! わたくしは今、カルセノンシティのドラゴンタイプリーダー、サファイラのもとにおります。突然の対決が今まさに繰り広げられているんです!
map_0362#106	しかし突然の蜂起により、悪の組織チームメテオがラブラドラシティを完全に掌握してしまいました!
map_0362#112	サーナイト: そうなんです! チームメテオは特殊な技術を用いていて……
map_0362#116	街の中でもう一台のPULSEを準備中であることが分かっており、さらに周辺地域にもあと二台あるとのことです。
map_0362#120	続報にご期待ください!
map_0362#121	XOXO 〜 ゴシップ・サーナイトより
map_0362#122	アマリア: PULSEって……
map_0362#123	あのベトベトンの時と同じね。
map_0362#124	ハーディ: 俺たちもあっちに行って、抵抗運動に力を貸すべきじゃないか。
map_0362#125	ティタニア: だめ。
map_0362#126	ハーディ: 「だめ」ってどういうことだよ?
map_0362#127	チームメテオの好き放題にさせておくわけにいかねえだろ!
map_0362#128	ティタニア: 関わらないで。
map_0362#129	そのほうがいいの。
map_0362#130	ハーディ: 姉貴がそう言うならな。
map_0362#131	俺はアヤを探しに行くよ。
map_0362#132	じゃあな!
map_0362#133	アマリア: 本当に好き放題にさせておいていいの?
map_0362#134	ティタニア: あなたが関わらないほうがいいの。
map_0362#135	アマリア: あなたがくれたサファイアのブレスレットを狙ってるのは分かってるわ……
map_0362#136	絶対に渡したりしないから!
map_0362#137	でも、どうしてそれを欲しがるの?
map_0362#138	ティタニア: わたしが知るわけないでしょう。
map_0362#139	アマリア: どこで手に入れたの?
map_0362#140	ティタニア: 数年前、クリソリア地方をハイキングしてて、隠れた湖を見つけたの。
map_0362#141	地面が灰で覆われてて、近くで山火事でもあったんだと思ったわ。
map_0362#142	ブレスレットはその灰の中に埋まってたの。
map_0362#143	偶然見つけたから、持ち帰ったのよ。
map_0362#144	ティタニア: でも、それはどうでもいいことよ。
map_0362#145	大事なのは、あなたがそれを離しておいて、目立たないようにすることだから。
map_0362#146	アマリア: ……じゃあ、代わりに\PNに行ってもらいましょうか!
map_0362#147	彼はこれまでもメテオを倒すのに欠かせない存在だったし。
map_0362#148	彼女はこれまでもメテオを倒すのに欠かせない存在だったし。
map_0362#149	この子はこれまでもメテオを倒すのに欠かせない存在だったし。
map_0362#150	ティタニア: ……好きにすれば。
map_0362#151	アマリア: カルセノンシティに行くなら、アメトリン山を通らないといけないわね……
map_0362#152	つまり、「なみのり」が必要ってことよ!
map_0362#153	偶然にも、そのマシンならここにあるの!
map_0362#154	ティタニア: バッジがなければマシンを渡しても意味がないでしょう。
map_0362#155	アマリア: ああ、そうだったわ、使うにはサーカスのリーダーのバッジが必要よね!
map_0362#156	たしか、郵便で宣伝が届いてなかった?
map_0362#157	ティタニア: 届いてたわ。
map_0362#158	ティタニア: なぜわざわざジムリーダー二人にバトルパスを送ってきたのか分からないけど。
map_0362#159	とにかく、これよ。
map_0362#160	ティタニア: はい、どうぞ。
map_0362#161	アゲートサーカスは独自のルールがあって、このパスがないとリーダーとは戦えないの。
map_0362#162	それはサムソン用のパスよ。
map_0362#163	彼を倒したら戻ってきて、そしたら「なみのり」を渡すわ。
map_0362#164	アマリア: 頑張って、\PN!
map_0362#165	あなたならできるって信じてるわ!
map_0362#166	わたしも話したこと、ちゃんと頑張るから!
map_0362#167	ええと、つまり、休むってことよ!
map_0362#168	ティタニアの日記
map_0362#169	本当に読んでいいのだろうか?
map_0362#170	メモの寄せ集めのようだ。
map_0362#171	「……呪いを鎮めるため、偽りのおとぎ話の恋人として、家庭を営むパートナー……」
map_0362#172	「……物語の始まる前に、霊に取りつかれ……」
map_0362#173	「……主人公は、彼女を傷つけないためにうそをつき続け……」
map_0362#174	「……本当の試練は、姫を救い出すことではなく、彼女とともに生きること……」
map_0362#175	「……彼女を愛しているふりをするという状況と重なり合い……」
map_0362#176	「……自らの秘密によって、彼女自身が囚われの身となる……」
map_0362#177	「……何か目に見える比喩がまだ要る――癒えない傷? 逆さの木の人形?」
map_0362#178	「……存在しない解呪の方法を探し続け……」
map_0362#179	「……唯一の出口は、彼女を手放すこと。」
map_0362#180	ティタニア: バッジを手に入れたのね。
map_0362#181	アマリアは散歩に出てるから、わたしがマシンを取ってくるわ。
map_0362#182	奥がごちゃごちゃしてるから、見つけるのに少し時間がかかるかもしれない。
map_0362#183	ここで待ってて。
map_0362#184	アマリア: \PN、戻ってきたのね?
map_0362#185	ターニャはどこ?
map_0362#186	ああ、「なみのり」を取りに行ってるのね……
map_0362#187	アマリア: なら、今のうちに調べたことを伝えておこうかしら。
map_0362#188	というより、見つからなかったこと、というべきかしら。
map_0362#189	ティタウィンについて調べ始めたんだけど、何も出てこないの。
map_0362#190	アゲートやラブラドラの件を除けば、この辺りで不審な人物の報告はないのよ……
map_0362#191	それに、アメトリンシティへの道は、なぜかほとんど完全に封鎖されてるみたいなの。
map_0362#192	アゲートサーカスの人たちに話を聞きに行ったんだけど、話しぶりからすると、ティタウィンは本当にこのすぐ近くにいるらしいの……
map_0362#193	アマリア: どうしても振り払えない感覚があって――
map_0362#194	もし、認めたくないくらい近くにいるのだとしたら、って考えてしまうの。
map_0362#195	目の前にあるうそと偽り、自分で見ないふりをしてきたものが……
map_0362#196	ターニャって、話をはぐらかすくらいよそよそしいところがあって……
map_0362#197	それに、チームメテオへの関与を頑なに拒むところも、変じゃない?
map_0362#198	それに、あの名前のこともあるし……
map_0362#199	直接聞いてはいないの、勘づかれたら厄介なことになるかもしれないから、
map_0362#200	でも、もし彼女だったとして、わたしがどうすればいいのかも分からない……
map_0362#201	何か確かめる方法さえあれば……
map_0362#202	アマリア: ……あら?
map_0362#203	これは何かしら?
map_0362#204	アマリア: これ、彼女の字だわ……
map_0362#205	「……彼女にうそをつき……」
map_0362#206	「……自らの秘密に囚われ……」
map_0362#207	「……偽りのおとぎ話の恋……」
map_0362#208	ティタニア: はい、約束通り。
map_0362#209	ティタニア: ……何してるの?
map_0362#210	二人でわたしの日記を読んでたの?
map_0362#211	ティタニア: それは個人的なものよ。
map_0362#212	ティタニア: しかも、それについてうそまでつくのね。
map_0362#213	個人的なものなの。
map_0362#214	首を突っ込まないで。
map_0362#215	二人とも。
map_0362#216	アマリア: ターニャ……?
map_0362#217	これ……一体何なの?
map_0362#218	……ただのメモよ。
map_0362#219	物語のための。
map_0362#220	あなたには関係のないことだけど。
map_0362#221	アマリア: ああ、ただの物語なのね……
map_0362#222	それならよかった……
map_0362#223	じゃあ、この「彼女にうそをつく」とか「愛してるふりをするだけ」っていうのも……
map_0362#224	ティタニア: ……登場人物のための設定よ。
map_0362#225	アマリア: そうよね、もちろん……
map_0362#226	ねえ、ターニャ?
map_0362#227	「ティタウィン」って名前、あなたに何か心当たりある?
map_0362#228	なんで?
map_0362#229	アマリア: 別に理由なんてないわ……
map_0362#230	ただ気になっただけ……
map_0362#231	……あなたがうそをつく時の顔、どんなふうかって。
map_0362#232	ティタニア: 何ですって?
map_0362#233	アマリア: やっと分かったわ。
map_0362#234	あなた、本当はわたしを愛してなんかいなかったのね?
map_0362#235	ティタニア: 何を言ってるの?
map_0362#236	また同じ話を繰り返すつもり?
map_0362#237	この会話、何回目だと思ってるの?
map_0362#238	アマリア: あなたは何回わたしにうそをついたの?
map_0362#240	アマリア: さあ、数字で答えて。
map_0362#241	ずっと正直だったなんて、言えるの?
map_0362#242	本当に、わたしの目を見てそう言えるの?
map_0362#243	アマリア: やっぱりね。
map_0362#244	あはははは〜……
map_0362#245	わたし、あなたの言うことを何もかも、うのみにしてきたのよね。
map_0362#246	本当は分かってるつもりの時でさえ、
map_0362#247	あなたから離れるなんて耐えられなくて、自分に信じ込ませてた。
map_0362#248	あなたを愛してた――
map_0362#249	今もまだ、こんなに愛してる。
map_0362#250	あなたがいなかったら、わたしが誰なのかも分からない。
map_0362#251	ティタニア: やめて。
map_0362#252	アマリア: 一緒にいた時、あなたはいつも、ガラスでできたわたしの心のかけらを拾い集めて、そっと元通りにしてくれてる気がしてた。
map_0362#253	ティタニア: 「やめて」って言ったわ。
map_0362#254	アマリア: それが今、また粉々になっただけ。
map_0362#255	ティタニア: アマリア、いい加減に――
map_0362#256	ティタニア: エイミー!
map_0362#257	チッ。
map_0362#258	さあ、追いかけましょう。
map_0362#259	彼女、明らかにそれを望んでるから。
map_0362#260	ジュリア: よし、防衛作戦の話をしよう!
map_0362#261	あたし的には、ここにおびき寄せて、目の前でこの場所ごとドッカーンして、裏からこっそり無傷で逃げるってのがいいと思う!
map_0362#262	ティタニア: 物的損害は最小限に抑えないといけないわ。
map_0362#263	アマリアが怪我をしてるの。
map_0362#264	動かせないわ。
map_0362#265	ジュリア: え待って誰がどうしたって――
map_0362#266	彼女、大丈夫なの!?
map_0362#267	ティタニア: あの子が大丈夫だったことなんて、あった?
map_0362#268	奥で意識を失ってるわ。
map_0362#269	でも、ここまで来て、彼女を諦めるつもりはないから。
