map_0036#3	退屈だな。
map_0036#95	この話者はここに留まり、さらなる急変に備えて状況を監視する。
map_0036#96	ヴィクトリア: つまり、「かいりき」を持ってる人を探せばいいんですね? どこにいるんですか?
map_0036#97	フロリニア: 協力者の最後の消息では、この区域内の別の不審人物についての噂を調査していたとのことである。
map_0036#98	この話者の見解では、彼女は直近、当該区域の南側を捜索していたはずである。
map_0036#99	対象名:アマリア。
map_0036#100	ヴィクトリア: あ、名前は聞いたことあります!
map_0036#101	たしか、リーダーですよね? 長い明るいティール色の髪の?
map_0036#102	ヴィクトリア: よし、それじゃあ、この南側でアマリアさんを探しましょう。
map_0036#103	手分けしたほうが早く見つかりそうなので、わたしは先に始めますね。
map_0036#104	頑張ってください!
map_0036#105	フロリニア: 協力する者は、アマリアを探し出し、「かいりき」を入手すること。
map_0036#106	対象の最後の消息では、この区域の南側で別の不審人物についての噂を調査していたとのことである。
map_0036#107	この話者は残り、事態の推移を監視する。
map_0036#108	フロリニア: この話者の把握では、あなたは「かいりき」のマシンの入手に成功したようだ。
map_0036#109	準備ができ次第、先へ進むとしよう。
map_0036#110	アマリア: ……ああ!
map_0036#111	やっと息ができる!
map_0036#112	いやー、ちょっと恥ずかしかっただけで済んだかな!
map_0036#113	さらっと命を救ってくれてありがと、\PN!
map_0036#114	あとどれくらい持ちこたえられてたか、分かんなかったよ……
map_0036#115	フロリニア: この話者もまた、あなたの支援に感謝すべきである。
map_0036#116	作戦により多くの支援を提供できなかったことは、遺憾である。
map_0036#117	アマリア: あのマシンに近づいた途端、ツタが飛び出してきてあたしたちを捕まえたんだ!
map_0036#118	フロリニア: その行為は、当該マシンの精密動作能力の限界を試すものであったと見られる。
map_0036#119	その後、モジャンボは異常な挙動を見せ始めた。
map_0036#120	仮説:連結されたポケモンへの精密な制御が、制御システムに大きな処理負荷をかけている。
map_0036#121	アマリア: たった1匹のポケモンに、あんなことまでさせられるなんて……
map_0036#122	チームメテオって、いったい何ができるんだろう?
map_0036#123	つーか、ヴィクトリアはどこ行った?
map_0036#125	ボレアリスに、連れ去られた?!
map_0036#126	つまり、あいつはずっとここにいたのか……
map_0036#127	最初にちゃんと捕まえられてさえいたら……
map_0036#128	フロリニア: 理論上の結果に意味はない。
map_0036#129	この状況においては、測定可能な制御の範囲内にあるものに集中すべきである。
map_0036#130	提案:確認済みの情報をすべて大ホールに報告すること。
map_0036#131	市の資源を活用し、ヴィクトリアの捜索を支援できる。
map_0036#132	アマリア: 賛成。
map_0036#133	すぐそこに向かって、状況を伝えたら、できるだけ早くボレアリスを追いかけるよ!
map_0036#134	ヴィクトリアのためにもね!
map_0036#135	とりあえず、手伝ってくれて本当にありがとう、\PN!
map_0036#136	あんたがいなかったら、マジで無事じゃ済んでなかったよ!
map_0036#137	また後でね、リニ~
map_0036#138	フロリニア: 目下の危機が解決した以上、この話者はオニキスワードの持ち場に戻る。
map_0036#139	すでにご存じかもしれないが、この話者の役職には、オニキストレーナー学校の校長とジムリーダーの両方が含まれる。
map_0036#140	リーグ挑戦を続ける意思があるならば、都合の良い時に来訪することを期待する。
map_0036#141	さらばだ。
map_0036#142	<>- メインストリート\n^ - 9番通り
map_0036#143	こんなとこで何してんだ?
map_0036#144	まあ、行けよ。
map_0036#145	ここを仕切ってるのが誰か、忘れんじゃねえぞ。
map_0036#146	ちくしょう……
map_0036#147	公園がめちゃくちゃになっちまった。
map_0036#148	どこで寝りゃいいんだよ?
map_0036#149	???: あ、あの、ごめんなさい、そこにいるの気づかなくて――それに……あ――あ……
map_0036#150	ハックション!!!
map_0036#151	???: すみません! この粉のせいで、作業中に落としてしまって――
map_0036#152	何かかかりませんでした? これは香水の調合で、忌避効果があったり、あるいは――あ――
map_0036#153	???: あるいは、誘引したり――ハックション!――野生ポケモンを……
map_0036#154	……ちょうど――ハックション!――この子たちみたいに……
map_0036#155	待って、ちょっとだけ――ハックション!
map_0036#156	取り出さないと――ハックション!
map_0036#157	わたしのポケモンが――ハックション、ハックション!!!
map_0036#158	ただ――ハックション!
map_0036#159	待って――ハックション!
map_0036#160	違う、待って――ハックション!
map_0036#161	助けて――ハックション!!!
map_0036#162	プラ、パ、パ?!?
map_0036#163	???: わあ、本当に助けてもらっちゃいました!
map_0036#164	もう大丈夫だと思います……
map_0036#165	何かお返ししないといけませんね。うーん……
map_0036#166	それなら、これはどうでしょう? あなたのために、特別な香水の調合を作りますね!
map_0036#167	できあがれば、野生ポケモンをどれだけ引き寄せるか、自由に調整できるようになりますよ!
map_0036#168	あ、ただ……さっき落としてしまった粉と合わせて、もう少し花粉と香りの材料が必要になりそうです……
map_0036#169	もう少し、手伝っていただけたりしませんか?
map_0036#170	何匹か、ポケモンを見せていただければ十分です。体に花がついているポケモンなら、どんな子でも構いません!
map_0036#171	必要なのは……あと3種類くらいでしょうか?
map_0036#172	見つけるのを手伝ってくださったら、後悔はさせません、約束します!
map_0036#173	ローラ: わたしのために、花のポケモンを見つけてくださったりは、しませんよね?
map_0036#174	???: あ、失礼しました! 自己紹介、まだでしたね?
map_0036#175	わたしの名前はローラです。はじめまして!
map_0036#176	……というより、誰かに会うこと自体、久しぶりです。
map_0036#177	その、一人で外出を許されたのも、久しぶりで……
map_0036#178	正直に言うと、この街は少し圧倒されてしまいます……
map_0036#179	人でいっぱいなのに、どこか孤独で、
map_0036#180	清潔さについては……言うまでもありません……
map_0036#181	わたしのために、花のポケモンを見つけてくださったりは、しませんよね?
map_0036#182	ローラ: 体のどこかに花がついているポケモンが、あと3匹必要です。そこから先の調合は、わたしが仕上げますね。
map_0036#183	まだ開いていないつぼみや球根では駄目です。香りを捉えるには、しっかりと咲いたものが必要なんです!
map_0036#184	そういえば、キュワワーを連れた男の人が通りかかるのを見かけました。
map_0036#185	あまり似合ってなかったので、頼めば貸してもらえるかもしれません。
map_0036#186	たしか、北ペリドットワードに向かうって言ってた気がします。
map_0036#187	ローラ: あら、フシギソウですか?
map_0036#188	まだ、きちんとした花はついていませんけど……
map_0036#189	その始まりは、もうありますよね?
map_0036#190	フシギバナがどれだけの花粉を出すか考えると、まだつぼみが閉じているのは、ありがたいことです……
map_0036#191	ご存じでしたか? フシギソウの球根は、日光をたくさん浴びることで膨らんで花開くんです――ほんの少しの世話と優しさで。
map_0036#192	人も、同じだと思いませんか?
map_0036#193	強く育つのよ、この子。
map_0036#194	ローラ: あら、フシギバナの花の香りは、昔からずっと大好きなんです。
map_0036#195	雨上がりの土の匂いに似てるって聞きますけど、人によって少しずつ違うそうです。
map_0036#196	これだけの花粉を出すので、これ以上力強いハートノートは他にありません。まさに――
map_0036#197	たくさん――あ――
map_0036#198	あら……普段はアレルギーなんてないのに――
map_0036#199	ハックション!!! でも、さっきの粉が――
map_0036#200	ハックション!!! きっと反応してしまって――
map_0036#201	ハックション!!! この香りが――
map_0036#202	ハックション、ハックション!!!
map_0036#203	止めてください……
map_0036#204	ローラ: あら、クサイハナ!
map_0036#205	たいていの人は、クサイハナを見ると鼻をつまんでしまいますけど、この子が作る蜜は本当に驚くべきものなんです!
map_0036#206	蜜は普通むしタイプのポケモンから採れるものですが、花の生き物から採れる場合は、独特な酵素の性質をたくさん持っていることがあるんです!
map_0036#207	わたしたちには、いつも甘く香るとは限りませんけど……不当に悪く言われすぎだと思います。
map_0036#208	その刺すような匂いの奥を見てあげれば、認められるのを待っている、素敵な甘い香りがちゃんとあるんです。
map_0036#209	ねえ、クサイハナ?
map_0036#210	あなたも、本当に大切にしてくれる誰かを、ずっと待ってたんでしょう?
map_0036#211	ローラ: あら、ラフレシア。こんなに強烈な子を連れてくるなんて、\PN、もしかしていたずらのつもりですか?
map_0036#212	でも、しっかり応えてみせるつもりです!
map_0036#213	こういう花が、どうしてこんなに強く香るのか、不思議に思ったことはありませんか?
map_0036#214	わたしたちにとっては不快な匂いですから、忌避剤にぴったりだと思うかもしれませんが……
map_0036#215	でも実際には、他の生き物を惹きつけるために、こういう香りを放っているんです!
map_0036#216	これは、魅惑的な調合の素敵な仲間になりますね!
map_0036#217	ローラ: キレイハナですか? 一匹一匹に違った香りがあって、まるで咲きたての庭の花束のようです。
map_0036#218	一番美しいキレイハナは、一番匂いのきついクサイハナから生まれるって言われてるんですよ。
map_0036#219	それって、素敵なことだと思うんです。
map_0036#220	何があっても、自分に正直でいなくちゃいけないってこと――たとえ他の人に理解してもらえなくても、遠ざけられても。
map_0036#221	この子が最後にはこんなに花開いてくれて、本当に嬉しいです。じっくりと、アンフルラージュを作りましょう。
map_0036#222	ローラ: あら、メガニウムはとても大きな花をつけてますね――ええ、これは完璧です!
map_0036#223	色もとても鮮やかで。
map_0036#224	とても香り高くて、まるで朝露のよう――かすかに、サクランボの香りもするでしょうか?
map_0036#225	サクランボのハートノートが、甘く落ち着いた香りを作り出しますね……
map_0036#226	少しそばにいるだけでも、心が落ち着きます。
map_0036#227	妹にも一匹、見つけてあげようかしら。
map_0036#228	よく見ると……ちょっとドラゴンみたいに見えますね……?
map_0036#229	ローラ: 故郷では、ポポッコが空高く風に乗っているのを、よく見かけたものです。
map_0036#230	ワタッコもですけど、進化する頃には、もう使える花が残っていないんですよね。
map_0036#231	生涯のうち、たった一段階しか花を咲かせないなんて、不思議です。
map_0036#232	刈りたての草のような香りで――珍しく、お気に入りのヘッドノートです。
map_0036#233	実際に見たことはないんですけど、気温に反応することが多いって聞きます。
map_0036#234	暑さや寒さで、香りの強さが変わったりするのかもしれませんね。
map_0036#235	あ――でも心配しないでね、あなたに効果ばつぐんの技なんて使いませんから!
map_0036#236	ローラ: あら、キマワリって本当に大好きです~
map_0036#237	香りはほのかで、蜂蜜と夏のそよ風の余韻が残ります。
map_0036#238	とても明るくて優しくて――いつも太陽の光を追いかけています。
map_0036#239	それにしても、こんなにかわいい顔で怒っていても、わたしたち分かるのかしら?
map_0036#240	苛立ちを笑顔で乗り越えるのが、この子の本当の得意技なのかもしれませんね。
map_0036#241	あ、待って……聞いた話では、それはただの接客業みたいなものだそうです。
map_0036#242	ローラ: あら、チェリムですね。曇りの日でも、満開の時と変わらず甘く香ります……
map_0036#243	きっと力強いヘッドノートになりますね――桜の香り、本当に大好きなんです。
map_0036#244	でも、このままだと同じようには香りを捉えられないので、顔を出して「こんにちは」って言ってもらわなくちゃ!
map_0036#245	日光そのものの次に、明るい気性のぬくもりを受け入れてもらえたりしませんか?
map_0036#246	あ――こんにちは、かわいい子! 協力してくれてありがとう!
map_0036#247	とってもきれいですね! すぐに終わりますから。
map_0036#248	ローラ: あら! それは花、ですよね?
map_0036#249	こんな型破りな環境を住処にしているポケモンでも、ちゃんと自分なりの花の咲かせ方があるんですね。
map_0036#250	とはいえ、トゲには気をつけたほうが良さそうです……
map_0036#251	砂漠では、きっと危険なんでしょうね。
map_0036#252	栄養がたっぷり詰まっているから、種を大事に守らなくちゃいけないんでしょうね。
map_0036#253	スイカズラのような香りがしますね。ベースノートにできるくらい、強い香りなのかしら?
map_0036#254	刺されないように気をつけて――痛っ!
map_0036#255	……その――さ、刺されちゃいました……
map_0036#256	ごめんなさいね! あなたも、きっと気まずいわよね!
map_0036#257	ローラ: あら……ロゼリアには、どうしても心を奪われてしまいます。
map_0036#258	興味深い子たちです――トレーナーがどれだけポケモンの世話をしているか、よく分かる指標になるんです。
map_0036#259	ロゼリアが健康であればあるほど、香りは強く、豊かになります。
map_0036#260	この子はとても心地良い香りですね……晩春の朝のバラのようです。
map_0036#261	ここまでしっかり進化しているなんて、きっと大切に育てられたんですね。
map_0036#262	もちろん、当然です!
map_0036#263	だって、スボミーみたいなかわいい子のお世話、誰だって好きになりますよね?
map_0036#264	これからも、同じように大切にしてあげてくださいね?
map_0036#265	ローラ: ロズレイドですか……優雅で甘い、でも扱いを誤れば命取りになります。
map_0036#266	ちょっと、うらやましくなっちゃいますね、ふふ~
map_0036#267	この誇り高いポケモンを育てるには、確かな技術が必要です――それに、毒を避ける注意も。
map_0036#268	この子の場合、毒性は香りと比例していて……
map_0036#269	香りが心地良ければ良いほど、毒はより強くなるんです。
map_0036#270	この子はとても甘く香るので……
map_0036#271	気をつけますね?
map_0036#272	ローラ: フラベベは、花から直接力を得ているって、ご存じでしたか?
map_0036#273	世話をして大切にする花を見つけるまでは、あまり多くのことができないんです。
map_0036#274	でも、花そのものにその力があるわけでもなくて……
map_0036#275	本当の魔法は、二つの間で育まれる関係そのものにあるんでしょうね。
map_0036#276	そういうことを考えながら、笑顔で眠りにつけそうです。
map_0036#277	フラベベを見せてくれて、ありがとうございました!
map_0036#278	ローラ: あら、わたしたち、けっこう似てますね、フラエッテ?
map_0036#279	わたしも、自分の花をいつも持ち歩いてるんです――手ではなく、髪に挿してますけど。
map_0036#280	すっかり枯れてしまった花でも、また元気に咲かせられるって聞きます。
map_0036#281	そういう意味でも似ていたら、良かったんですけど……
map_0036#282	ローラ: あら! 花が1本や2本、3本どころじゃなくて――まるごと花束ですね!
map_0036#283	色の違いと、花束の中の花の多さを考えると、この子一匹だけで、ほとんど無限にアンフルラージュが作れそうです。
map_0036#284	人も、そういうところがあると思うんです。
map_0036#285	しっかり目を向ければ、いつだって別の角度から――別の感じ方を見つけられます。
map_0036#286	この子については、そんなに苦労しなくてもよさそうですけど、サンプルはもっとあったほうがいいですね!
map_0036#287	わたしに、絵の具の色を増やしてくれるようなものだと思ってください。
map_0036#288	そのほうが、ちょっと楽しいですよね?
map_0036#289	ローラ: え……シェイミ、ですか?
map_0036#290	こんな子、いったいどこで見つけたんですか、\PN?
map_0036#291	実物を見たことはなくて――物語や伝説の中だけの存在でした。
map_0036#292	でも、花はちゃんとありますね――それも、かなり有名なものが。
map_0036#293	これを主役の香り以外に使うなんて、きっと失礼にあたると思います……
map_0036#294	ありがとうございます、\PN。
map_0036#295	手伝ってくださったことへの感謝は、もうお伝えしていましたけど、もう一度伝えても、いいですよね?
map_0036#296	ローラ: ……そうですね、花ではありませんけど……
map_0036#297	この子となら、難しいことにはならなそうです。
map_0036#298	「香りポケモン」が、わたしたちの香り作りを手伝えないなんて、残念だと思いませんか?
map_0036#299	フレフワンはとても柔軟で――自分の香りを気ままに変えて、忌避にも誘引にも役立てられるんです。
map_0036#300	それを再現できるか、試してみましょう!
map_0036#301	ローラ: あら、これはさっきのキュワワーですか?
map_0036#302	こんにちは、あなた。あの男の子たちに、大変な思いをさせられたんでしょう?
map_0036#303	あの子たち、追い詰められて、必死な様子でした、
map_0036#304	もうすべて分かっているべきだと言われる世界の中で、助けや逃げ場を探していたんですね……
map_0036#305	男の子でいるのも、きっと大変なんでしょうね。
map_0036#306	わたしの姉はいつも、選べるなら迷わず違う道を選ぶって言ってました。
map_0036#307	でも、わたしには無理でした。
map_0036#308	彼らを恨まないでいてくれると、嬉しいです。
map_0036#309	あの子たちは、あなたが与えられないものを、あなたに求めていたんです。
map_0036#310	みんながみんな、そうじゃありません。このトレーナーが、これからはもっと大事にしてくれますからね?
map_0036#311	……はい、これで終わりです。
map_0036#312	ただ、ひとつだけ気になることが。
map_0036#313	キュワワーが持つ花は、何を拾うかによって自然と変わるものです。
map_0036#314	さっきのあの子たちの様子を見て、このキュワワーは何か酷いものを集めさせられたんだろうと思っていたんですけど、これは……
map_0036#315	ただの、普通の花ですね。
map_0036#316	いったい何が、あの子たちをあんな行動に駆り立てたんでしょう?
map_0036#317	もしかすると……
map_0036#318	あまり深く考えないほうが、良いのかもしれません。
map_0036#319	ローラ: あら、さっきのキュワワーとは、違う子ですよね?
map_0036#320	それにしても、あなた、花を見つける目がありますね!
map_0036#321	とてもきれいで――しかも、こんなにたくさん!
map_0036#322	きっと、とても幸せなキュワワーを育てているんですね、\PN。
map_0036#323	使える種類がたくさんあって――ユニークな香りを作るのにぴったりです。
map_0036#324	キュワワーの研究には、ずっと興味があったんです――一度花を身につけると、その花は決して枯れることも萎れることもないそうで。
map_0036#325	そこから学べることが、きっとありそうですよね?
map_0036#326	ローラ: あの、\PN……
map_0036#327	「花をつけたポケモン」って言ったのは、その、こういう意味では……
map_0036#328	あ、いえ、いいんです。そういえば、この子も霧を作りますよね?
map_0036#329	以前、ムシャーナの夢のけむりを使ってみたことがあるんですけど、
map_0036#330	どれだけ薄めても、その、副作用を完全に取り除くことはできませんでした。
map_0036#331	でも、この子でなら、もしかすると……
map_0036#332	試してみましょうか?
map_0036#333	ローラ: ヒメンカの花粉は、香水よりもお茶として人気ですけど、優しいハートノートには十分なりそうです……
map_0036#334	でも、ヒメンカって本当にすごい子たちなんです。
map_0036#335	小さい頃、姉妹みんなでひどい風邪をひいたことがあって。
map_0036#336	鼻をすすりながらも、姉は気合いを入れて、入り江から野生のヒメンカを捕まえてきたんです。
map_0036#337	それで回復のお茶を作ろうとしたんですけど、みんな子どもだったので、薬草のブレンドなんてまるで分かっていなくて……
map_0036#338	夜が終わる頃には、台所は花粉だらけ、誰もくしゃみが止まらなくて、みんな間違いなく外出禁止にされました。
map_0036#339	でも結局、大事なのはお茶そのものじゃなかったんです。
map_0036#340	花粉症の大惨事という形であっても、回復の効果はちゃんと伝わってくるんですね!
map_0036#341	ただ……お茶にしたほうが、ずっと心地良いですけど。
map_0036#342	ローラ: あら、シキジカ!
map_0036#343	毛並みが季節に合わせて変わるって聞きますけど、間近で見たことはなかったんです。
map_0036#344	まあ……本当に優しい子たちですね。
map_0036#345	放つ香りと同じくらい、繊細で甘い子です!
map_0036#346	とはいえ、庭に入り込んで好き放題食べちゃうくらい、大胆だとも聞きますけど!
map_0036#347	でも、単に、わたしと同じくらい花が好きなだけなのかもしれません……
map_0036#348	……それとも、食べるのが好きなだけなのかも……
map_0036#349	それを責めるわけにも、いきませんよね?
map_0036#350	ローラ: これは、春のメブキジカ、ですよね?
map_0036#351	季節に合わせて移動する子たちなので、故郷では夏のメブキジカしか見たことがなかったんです。
map_0036#352	でも、4番道路まで移動することもあるって聞きます!
map_0036#353	角についた花が、とても甘く香ります――見た目通り、まるで桜のように……
