map_0895#95	フロリニア: それは論理的に筋が通りません……
map_0895#136	ああいうのを見た人は、誰もちゃんと教えてくれないんだよね。
map_0895#137	とにかく独り言言わせてよ。
map_0895#138	この辺じゃみんなそうするもんでしょ、知らなかった?
map_0895#139	とにかく、言いたいのは、あいつはあたしを救うために自分を犠牲にしたわけでしょ?
map_0895#140	まあ、「あたし」ね。
map_0895#141	だから今度は、あたしが同じことをする番。
map_0895#142	たとえそれで、あんたたちみんなが熊手とたいまつ持ってあたしの家に押しかけてくることになったとしても、まあ……
map_0895#143	少なくとも、すごいパーティーにはなるよね!
map_0895#144	あいつっぽく言うなら、少なくともあんたたちが笑える理由を一つは作ってあげたってことになるかな。
map_0895#145	下がってて。
map_0895#146	こいつには、力が満ちてるはずだから。
map_0895#147	ファーン: ……
map_0895#148	アア、ブジ　ナンダネ。
map_0895#149	ヨカッタ。
map_0895#150	マタ　オレタチノ　チャンピオンヲ　ウシナッタラ　ミンナ　ドウスルンダヨ?
map_0895#151	フロリニア: ファーン、本当に大丈夫なのですか……?
map_0895#152	ファーン: ……ナア、マタ　ナイテタ　ミタイダナ。
map_0895#153	ドウシタンダ?
map_0895#154	ダレカニ　イジワル　サレタナラ　アニキガ　ナントカ　シテヤル。
map_0895#155	イツモ　ソバニ　イテヤレナカッタケド　コレハ　ホンキダ。
map_0895#156	ダレニモ　カゾクニ　テダシハ　サセナイ　ワカッタカ?
map_0895#157	フロリニア: 妹がいることさえほとんど否定していたのに、今さらそんなことを言うのですね。
map_0895#158	フロリニア: 今になって、そんなことを……
map_0895#159	ファーン: なあ、ホンキ　ナンダ。
map_0895#160	イママデノ　コト　ゼンブ　ワルカッタ。
map_0895#161	オマエノ　ソバニ　イテヤルベキ　ダッタ　ニア。
map_0895#162	フロリニア: あなたがわたしをそう呼んでくれなくなってから、どれくらい経つでしょうか。
map_0895#163	ファーン: コドモノ　コロ　イライ　ダヨナ?
map_0895#164	ソウイウノ　ナンカ　テレクサクテサ。
map_0895#165	オマエッテ　ソモソモ　ナニモ　キニシテナイ　ミタイデ　ソノウエ　カンジョウヲ　ゼンブ　ステチマッタシ。
map_0895#166	フロボットッテ　ヨビハジメタノダッテ　ジブンカラ　キョリヲ　オクタメ　ダッタンダ。
map_0895#167	オマエニ　デキナイ　コトヲ　オモイダス　トキニ　スコシデモ　イタミガ　ヘル　ヨウニッテ……
map_0895#168	アイトカ　ジョウトカ　ナンテ　ヨンデモ　イイケドサ。
map_0895#169	コワカッタンダ、
map_0895#170	デモ　ソレハ　オレノ　タイドノ　イイワケニハ　ナラナイ。
map_0895#171	ソレニ　オマエヲ　マスマス　トオザケチマッタッテ　コトモ　ワカッテル。
map_0895#172	ソレダケハ　ゼッタイニ　ノゾンデ　ナカッタノニ。
map_0895#173	オレハ　バカ　ダッタ。
map_0895#174	ダイバカ　ヤロウダ。
map_0895#175	ホントウニ　スマナカッタ　ニア。
map_0895#176	ユルシテ　モラエルナンテ　オモッテナイケド　コレカラハ　チャント　オマエノ　ソバニ　イラレル　ヨウニ　セイイッパイ　ガンバルカラ。
map_0895#177	フロリニア: そう望まない方が賢明だと、わたしにはわかっています。
map_0895#178	それを言わせているのは、このオーラなのですから。
map_0895#179	ファーン: ……マア　ソウカモナ。
map_0895#180	ワカラナイ　ママカモナ。
map_0895#181	\PN、タシカメヨウゼ。
map_0895#182	オマエニモ　サンザン　イヤナ　オモイヲ　サセテキタカラ　イマ　イッテオク――
map_0895#183	オマエノ　コトガ　ズット　イチイチ　ネタマシカッタンダ。
map_0895#184	ワカルカ?
map_0895#185	オマエノ　ウデマエモ　ウンモ　ユウジョウモ　ゼンブ　ホシカッタ……
map_0895#186	ミンナガ　オマエト　ハナス　ミタイニ　キガルニ　オレトモ　ハナシテ　ホシカッタ。
map_0895#187	ミンナニ　ワラッテ　ホシカッタ。
map_0895#188	オマエガ　タヨレル　ソンザイニ　ナッテ　ドウドウト　コノ　チホウヲ　イッショニ　スクイタカッタ――
map_0895#189	ナノニ　オレハ　クソ　ミタイニ　ヨワカッタ。
map_0895#190	スマナカッタ。
map_0895#191	サア　オレヲ　ダシテクレ　タシカメヨウゼ。
map_0895#192	コノ　クソ　ミタイナ　ナサケナイ　キモチニ　オレガ　オトコトシテ　コタエラレルカ　ミテミヨウゼ!
map_0895#193	ゼンリョクデ　カカッテコイ!
map_0895#195	チッ、なんかこれ全部恥ずかしいな。
map_0895#196	今すぐ穴掘って埋まりたいくらいだって、わかるだろ?!
map_0895#197	フロリニア: では、やはりオーラのせいだったのですね。
map_0895#198	だな。
map_0895#199	フロリニア: わかっていたつもりでしたが、それでも、がっかりしています。
map_0895#200	ファーン: くそくらえだ!
map_0895#201	ファーン: 「わかってた」なんて、どうでもいいだろ?
map_0895#202	お前の気持ちなんだからさ。
map_0895#203	お前にちゃんと感情があるってだけで、オレは嬉しいよ。
map_0895#204	お前をがっかりさせてることを、身勝手にも喜んでる自分がいる。
map_0895#205	お前を傷つけたいわけじゃなくて、お前のどこかがまだ気にかけてくれてるのが、嬉しいんだ。
map_0895#206	さっき言ったこと全部、好きじゃないけど、でも嘘は言ってない。
map_0895#207	お前のこと、ちゃんと見てやりたいんだ、ニア。
map_0895#208	お前もな、\PN。
map_0895#209	大したことはできなかったかもしれないけど、お前の代わりに責任を取れたことは誇りに思う。
map_0895#210	なあ、聞いてくれよ。
map_0895#211	それについては、自分に笑いかけられる!
map_0895#212	それに、妬んでたことも、怖かったことも、置いていかれたくなかったことも、認められる。
map_0895#213	それが原因でやったことは最悪だったし、これからはもっとちゃんとやる。
map_0895#214	ファーン: ……ニア、どうした?
map_0895#215	フロリニア: ……ど、どう処理していいか、わかりません。
map_0895#216	ファーン: ゆっくりでいいよ。
map_0895#217	ここにいるから。
map_0895#218	フロリニア: 混乱しています。
map_0895#219	悲しい。
map_0895#220	ほっとしています。
map_0895#221	怒っています。
map_0895#222	嬉しいです。
map_0895#223	怖いです。
map_0895#224	ファーン: ……ああ、オレもだ。
map_0895#225	全部それ。
map_0895#226	とりあえず今は、
map_0895#227	それでいいか?
map_0895#228	フロリニア: それでいいのでしょうか?
map_0895#229	ファーン: ああ。時間はあるだろ?
map_0895#230	いつかわかるようになるさ。
map_0895#231	フロリニア: ……よろしいでしょう。
map_0895#232	そうしたいと思います。
map_0895#233	ですが、\PNがまず、あなたに用があるようです。
map_0895#234	ノエルがあの子を追ってる、とかいう話でしたか?
map_0895#235	ファーン: へえ、たまにはオレを必要としてくれる人がいるんだな?
map_0895#236	今日がオレの誕生日だって言ってくれなかったな!
map_0895#237	フロリニア: ……お願いですから。
map_0895#238	ファーン: わかった、わかった――早すぎたか?
map_0895#239	……早すぎたな。
map_0895#240	ナイトクラブまで一緒に歩いて戻って、そこから必要な場所に行く、ってことでどうだ?
map_0895#241	ファーン: よし。行くぞ。
map_0895#242	ファーン: お前のペースでいいぞ。
map_0895#243	出発しよう。
map_0895#244	フロリニア: ファーン。
map_0895#245	ファーン: どうした、ニア?
map_0895#246	フロリニア: 戻ってきてくれて、嬉しいです。
map_0895#247	ファーン: おいおい、そんなに長くいなかったわけじゃないだろ。
map_0895#248	フロリニア: あなたは、とても長い間いませんでした。
map_0895#249	わたしも、です。
map_0895#250	戻ってきてくれて、嬉しいです。
map_0895#251	ファーン: ……へへ。
map_0895#252	ファーン: 戻ってこられてよかったよ。
map_0895#253	エーストレーナー: ああもう、今度こそいけると思ったのに!
map_0895#254	ファーン: よく戦ったな。
map_0895#255	自分を責めすぎるなよ。
map_0895#256	ジュナイパー、戻れ。
map_0895#257	エーストレーナー: いい感じだったのに――なんで結局全滅したんだよ?!
map_0895#258	ファーン: おい。
map_0895#259	落ち着けって。
map_0895#260	パニックになるより、もっとうまくやれることを考えようぜ。
map_0895#261	まず、公平を期して言うと、オレは運よく急所を当てただけだ。
map_0895#262	でもそれより大事なのは、序盤の動きが強かったってことだ。
map_0895#263	前に言った「最初からプレッシャーをかける」ってこと、ちゃんと心に留めてくれてたのがわかったよ。
map_0895#264	壁を張る時間がなかったから、少なくとも最初は、正直ヒヤヒヤしたぜ。
map_0895#265	で、正直言うとさ?
map_0895#266	お前がやり切ってくれることを期待してたんだ!
map_0895#267	頑張ってきたな――もうバッジをもらってもおかしくないくらいだ。
map_0895#268	でも、そのままバッジをやっちまったら、新米リーダーとしてもオレの価値がないってもんだ。
map_0895#269	いや、お前が勢いを失ったのは、最初のアタッカーをそのまま切らずに、無理やりほのおタイプに交代したからだ。
map_0895#270	それがお前の唯一の直接耐性だったから、交代ダメージで、あとは不意打ちを決めて押し切れるってオレにはわかったんだ。
map_0895#271	相手のポケモン一体一体に対する対策と、それを成立させるためにいつ手放すかの判断が必要だぜ。
map_0895#272	エーストレーナー: ああ、確かにその通りだ……
map_0895#273	ファーン: 顔を上げろ。
map_0895#274	戦うたびに、いい勝負になってきてる。
map_0895#275	今回は本当にいけると思ったんだ。
map_0895#276	でも次の戦いなら、このバッジはもうお前のもの同然だろうな。
map_0895#277	それまで諦めるなよ、いいな?
map_0895#278	エーストレーナー: ああ……その通りだ。
map_0895#279	次は絶対に!
map_0895#280	ファーン: 楽しみにしてるぜ。
map_0895#281	さあ、相棒たちの手当てをしてやれ。
map_0895#282	エーストレーナー: もちろんだ!
map_0895#283	ファーン: まあまあ、うまく馴染めてきたと思うぜ。
map_0895#284	ニアが前に進みたがってくれて、ラッキーだったよ。
map_0895#285	お前はどう思う?
map_0895#286	いい感じだ。
map_0895#287	負けた時でさえ――
map_0895#288	いや、負けた時こそ……
map_0895#289	あの子、そこにいるだろ?
map_0895#290	あいつがついに勝った時の顔、見るのが待ちきれないよ。
map_0895#291	で、それはオレにとっても同じことになるんだぜ?
map_0895#292	つまり、
map_0895#293	いつかお前のチャンピオンの座を、オレが奪いに行く時にな!
map_0895#294	はい
map_0895#295	いいえ
map_0896#0	イライアス: 我が主よ、御前にてこのような情けない暴力の様をお見せしましたこと、どうかお許しください。
map_0896#1	あなた様がお越しになるとは思っておりませんでしたが、それでも我が子とわたしは、またしても無意味な諍いに及んでしまいました。
map_0896#2	近頃の内省により、いくばくかの悟りを得るに至りました。特に、先の遠征を敬いつつ。
map_0896#3	近頃の内省により、いくばくかの悟りを得るに至りました。
map_0896#4	他者への奉仕という理想のうちに人生を生きることは、単なる逃避の一形態にすぎぬのだと、理解するに至りました。
map_0896#5	自らの責任に目を閉ざし続けることで、我々は敬虔の名の下に、自らの意志を手放してしまうのです。
map_0896#6	あなた様の恵みをいただきながらも、今ようやく、初めてこれを目にしたような心地がいたします。
map_0896#7	もっとも、これもまた、あなた様の御意志によるものなのでしょう。
map_0896#8	しかし、此度ばかりは、あなた様の御前にひれ伏すことは控えさせていただきます。
map_0896#9	正さねばならぬ過ちがあり、それは手すりの向こうに住まっております。
map_0896#10	わたしは我が子を、隷属を期待し、受け入れるように育ててまいりました。彼女はあれほど反抗しながらも、そうしてまいりました。
map_0896#11	今こそ、彼女に自らの理想を求めることを教えねばなりません。
map_0896#12	どうかご理解ください、良心に照らして、これを緩めるわけにはまいりません。
map_0896#13	しかし、あなた様のご加護があれば、我々が打ち勝つことに疑いはございません。
map_0896#14	我が家族のためにも、あなた様のご加護には、いつも感謝いたしております。
map_0896#15	Faciam quodlibet quod necesse est.
map_0896#16	光のためになさねばならぬことは、必ずなされましょう。
map_0896#17	いかなる弱さも、光の下には留まれません。それを思い知らせてやりましょう。
map_0896#18	イライアス: もし我々が意志を持つべきでなかったのなら、意志を持たねばならぬ御方の姿に似せて創られたのは、一体何故でありましょうか。
map_0896#19	我々は道具ではありません。
map_0896#20	手に取られ利用されるためだけに、自由意志を授かって生まれたわけではないのです。
map_0896#21	我々は皆、未来を形作る責任を受け入れねばなりません。
map_0896#22	それこそが、我らの理想が我らに課した重荷なのです。
map_0896#23	アンナ: ちょっと、何してるの?
map_0896#24	あんたがずっと、板挟みみたいな状態で生きてきたのはわかってるけど、
map_0896#25	あんたのことは信用してない。
map_0896#26	何を企んでるのか知らないけど、あたしはいつでも迎え撃つ準備ができてるからね!
map_0896#27	この力、だんだん上手く使えるようになってきたと思う!
map_0896#28	友達ができたんだって気づいたの!
map_0896#29	まあ、ある意味ではずっと一緒にいたんだけどね?
map_0896#30	あのペンダントも、同じような感じがする!
map_0896#31	だから友達になれたのかもね!
map_0896#32	それとリン、一つ言っておくけど?
map_0896#33	赤ちゃんアルセウスだって、あたしと同じくらいあんたを止めたいと思ってるんだから!
map_0896#34	あんたがしたことから、まだ回復してないんだよ――
map_0896#35	PULSEでああやって歪めたりして……
map_0896#36	絶対にそんなこと許さない!
map_0896#37	まあ、そのくだらない宇宙ゴミで好きにすればいいけど。
map_0896#38	でも、あたしたちに近づこうっていうなら、覚悟しといてよね!
map_0896#39	全力でぶつかっていくから!
map_0896#40	リン: ちょっと、何してんの。
map_0896#41	待って、ちょっと考えよう。
map_0896#42	あたしは、みんながあたしのところに来られるように道を開いてるわけで……
map_0896#43	なんで???
map_0896#44	前に言ったこと絡み――
map_0896#45	「絶対的な力には絶対的な応えを」ってやつ??
map_0896#46	まあ――なんかエッジの効いた悪役っぽく振る舞うために言ってただけなんだけど。
map_0896#47	小さい女の子のことを、本気で真剣に受け止めようとする人なんていないでしょ?
map_0896#48	ただのキャラ設定だったんだって、
map_0896#49	力に溺れてないとは言わないけどさ、でも、まさかね。
map_0896#50	……いや、それこそが問題なんじゃない?
map_0896#51	こんなことやってても、しょっちゅう退屈になっちゃうし!
map_0896#52	結局のところ、ドアに鍵をかけた部屋の中で、まだ人形遊びしてるようなものなんだよね。
map_0896#53	いつかはドアを開けて、人と関わらなきゃいけないわけで???
map_0896#54	でも人間って臭いし、政治の話とかしてくるし!
map_0896#55	……まあでも、ずっと一人で楽しんでるわけにもいかないか。
map_0896#56	だから、あたしを殺したがってる人たちの軍勢を丸ごと、あたしの玄関先に招待しちゃおうかな!
map_0896#57	楽しそうじゃん!
map_0896#58	みんなの分の軽食もちゃんと用意しとくから、いい?
map_0896#59	だから、チーム全員連れてきてよね!
map_0896#60	100パーセント、ラブラドーラ級レイド、いくよ!
map_0896#61	パーティー、楽しみにしてる!
map_0896#62	絶対にね!!!
map_0896#63	結晶は、光の中でむなしく輝いている。
map_0896#64	結晶は、不安定な光の中でむなしく明滅している。
map_0896#65	セラ: その……最後の鏡が割れてるじゃない。
map_0896#66	まあ、そうよね。
map_0896#67	じゃなきゃ、簡単すぎたもんね?
map_0896#68	でも、鏡が三枚しかないのに、結晶四つを起動できるわけないでしょ。
map_0896#69	これ全部、一体何の意味があったのよ?
map_0896#70	試すたびに、結局がっかりするだけ。
map_0896#71	時間を無駄にすべきじゃなかったわ。
map_0896#72	もう帰った方がましね。
map_0896#73	バカみたいなもの……
map_0896#74	割れた鏡なんて、誰の役にも立たないし。
map_0896#75	なんでこんなことする必要があるの?
map_0896#76	セラ: あら。
map_0896#77	今の光って……
map_0896#78	あたしを貫いていったの?
map_0896#79	セラ: ……\PN、変なお願いなんだけど。
map_0896#80	でも、今確かに感じたのよ。
map_0896#81	あたしを最後の鏡として使って。
map_0896#82	あたし……あなたの望む方向に、光を反射できると思うの。
map_0896#83	まだ解けるかもしれない。
map_0896#84	セラ: あたしを最後の鏡として使って。
map_0896#85	ここなら、どこにでも立つから。
map_0896#86	明かりを消して、あたしに指示して。
map_0896#87	セラ: それで……できたの?
map_0896#88	セラ: あ、できた!
map_0896#89	やっと扉が開いたわ!
map_0896#90	やっぱり、あたし諦めるのが早すぎたのかもね。
map_0896#91	らしいと言えばらしいけど。
map_0896#92	ここから先はお願いね?
map_0896#93	中には間違いなく、また別のアノマリーがいるはず。
map_0896#94	あたしはちょっと休んでから、奥にいる二人に、そのたとえの銃を下ろさせられないか見てくるわ。
map_0896#95	座って、まともに話し合ってくれたらいいんだけど。
map_0896#96	運が良ければ、あなたが伝説を一体増やす頃には、少なくともあたしたちのうち二人くらいは、まあまあ幸せな家族と呼べる関係になってるかもね。
map_0896#97	期待はしないけど、
map_0896#98	でも、期待してみるべきなのかもね。
map_0896#99	セラ: ここから先はお願いね?
map_0896#100	あのドアの向こうには、間違いなく別のアノマリーがいるはず。
map_0896#101	青い結晶をもう一度起動するだけでいいと思う。
map_0896#102	心配しないで、あのドアはもう開いたままのはずだから。
map_0896#103	……たぶん。
map_0896#105	ルナ: あら、ごきげんよう、\PN。
map_0896#106	お元気ですか?
map_0896#107	この状況で楽しめる範囲でではありますが、景色を楽しんでいただけているものと信じておりますわ。
map_0896#108	この方はまたしても、どこからともなく現れて、わたくしがどう生きるべきかについての大切なご意見を延々と述べるという、お気に入りの趣味に興じることをお選びになりましたの。
map_0896#109	その点では、まさに親のようなものなのでしょうけれど、わたくしは受け入れておりません。
map_0896#110	というわけで、ささやかなお邪魔をどうかお許しくださいませ。
map_0896#111	誰かにご迷惑をおかけすることは、わたくしにとって何の喜びにもなりませんが、
map_0896#112	この方に対しては別、ということでしょうか。
map_0896#113	一層の努力をもって、すぐさま彼を片付けてまいりますわ。
map_0896#114	ルナ: このようなつまらない抵抗の前で引き下がるようでは、今のわたくしではいられませんもの。
map_0896#115	明かりを消して、これに決着をつけましょう。
map_0896#116	ルナ: 再び闇の中で、決着をつけましょう。
map_0896#117	ルナ: 真に邪悪な心をもって行動する敵など、めったにおりませんわ。
map_0896#118	だからこそ、たとえ最も気高い意図に対してであろうと、わたくしたちは心を鋼のようにしておかねばならないのです。
map_0896#119	地獄への道は、ひとりでには敷かれませんもの。
map_0896#120	セラ: ああ、助かった。援軍が来てくれた。
map_0896#121	助けて。
map_0896#122	セラ: ルナとイライアスが奥で、一体何をしてるんだか。
map_0896#123	ここに来てからずっとこの調子で、どっちも一歩も譲らないの。
map_0896#124	これから十年くらい、目の前がずっとストロボみたいにチカチカして見えそうな気がするわ。
map_0896#125	でも、あそこのストロボ光線ごっこを止めさせてくれたのは、あなたなんでしょうね。
map_0896#126	ありがとう。
map_0896#127	助けて、お願い。
map_0896#128	セラ: ここに何かパズルの仕掛けがあるんだけど、奥のあの二人がいる間は、試すだけ無駄よ。
map_0896#129	あたしの言うことなんて、全然聞いてくれないし。
map_0896#130	セラ: あたしたちの目を守ってくれたみたいね。
map_0896#131	同僚たちが光過敏のリスク要因を作り出してる暗い神殿の中に立つなんて、あたしの視力保険の対象には絶対入ってないと思うわ。
map_0896#132	セラ: まあ、そもそもあたしのせいなんだけどね。
map_0896#133	「子育て」ってやつを、もう少し頑張ってみようかなんて名案を思いついちゃって、
map_0896#134	あたしの人生には、まだそれをちゃんと受け入れてくれる人が、少なくとも一人はいるし。
map_0896#135	でも、あなたとあの神父さんと、テレポートするポケモンセンターが、まるでできの悪いジョークの始まりみたいにあたしの人生に入ってきてから、この「父親」ってやつがずっとあたしにのしかかってるの。
map_0896#136	だから、二人ともここに招待したのよ。
map_0896#137	……ルナとイライアスをね。ポケモンセンターじゃなくて。
map_0896#138	「絆を深める時間」ってやつが持てるかと思って。
map_0896#139	もう懲りたから、心配しないで。
map_0896#140	今はもう罪を償いたいだけ、って言いたいところだけど、あの人に頭から聖水に突っ込まれるのだけは勘弁してほしいわ。
map_0896#141	髪の色にもよくなさそうだし。
map_0896#142	動物実験はしてないんだろうけど、この染料が全知全能の主の眼差しに耐えられるかどうかまでは、テストされてない気がするのよね。
map_0896#143	というわけで!
map_0896#144	このぐちゃぐちゃを何とか解決して、みんなでまた「人生はめちゃくちゃじゃない」ふりを続けようじゃない?!
map_0896#145	始めましょうか?
map_0896#146	セラ: やっぱり鏡だったのね。
map_0896#147	で、中心にあのプリズムがある。
map_0896#148	ここが十分暗い時にしか、起動できないみたい。
map_0896#149	で、終点は……
map_0896#150	あの結晶たちのはずよね?
