map_0528#8	まだ希望はあるかもしれないな。
map_0530#70	あなたのような冒険心のある方なら、きっと使い道が見つかるでしょう。
map_0530#71	うーむ……これもお受け取りください。
map_0530#72	シークレスト: 私よりも、あなたの方がずっと役立てられるでしょう。
map_0530#73	旅の無事をお祈りしています、トレーナーさん。
map_0530#74	シークレスト: 若い頃の私は、戦いと探検のことばかり考えていました。
map_0530#75	「ただ植物の世話に一生を費やすなんて、どんな人間なんだ？なんて退屈な」と思っていたものです。
map_0530#76	時々、若い頃の自分が今の私を見たら失望するのではないかと思うこともあります。
map_0530#77	ですが、彼が求めていたどんなスリルよりも、こうした単純なことの方が大きな満足をもたらすと知ったなら、きっと驚くでしょうね。
map_0530#78	ああ……結局、彼はそれを学んだということなのでしょうね？
map_0530#79	ああ、それと、最近こちらを見つけましてね。
map_0530#80	シークレスト: これも役立てていただけると嬉しいのですが。
map_0530#81	よう、トレーナー。
map_0530#82	自警団はトラブルに目を光らせています。不審なものを見かけたら、私たちに知らせてください。
map_0530#83	<- ネオパス通り\nv -4番街
map_0530#84	「グランドビュー駅」
map_0530#85	「グランドビュー駅―
map_0530#86	地下鉄サービス、まもなく開始！」
map_0530#87	地下鉄サービス、営業中！」
map_0530#88	リボーンシティ外への切符、発売中。」
map_0530#89	よう、トレーナー。何か用か？
map_0530#90	ここでちょっと休憩してるだけなんだよ、わかるだろ？
map_0530#91	クールでいなきゃな。お前さんも知ってるだろうけど。
map_0530#92	ああ、思い出せる場所は全部見て回ったのに……
map_0530#93	といっても、そんなに多くの場所じゃないけどな。
map_0530#94	運ばなきゃいけなかった堆肥を、全部なくしちまったなんて信じられないよ……
map_0530#95	まあ街の外には出てないし、建物の中にも入ってないと思うんだけどな。
map_0530#96	どこを歩いたか正確には思い出せないけど、仕事だったなら、たぶん公園や庭園の周りが多かったはずだ。
map_0530#97	はぁ……ダウジングマシンでも買いに行った方がいいのかな。
map_0530#98	なあ、お前ってチームメテオを一掃したやつだろ？
map_0530#99	いやあ、自分の悩みなんて大したことないと思ってたよ。
map_0530#100	みんなのためにあれをやってくれて助かったよ。
map_0530#101	これ、いる？
map_0530#102	おっ、おれの散らかしたもんを片づけてくれたのか、ありがとな！
map_0530#103	これは自分で堆肥を探そうと後戻りしてた時に拾ったんだけど、何なのか自分でもよく分からないんだ。
map_0530#104	代わりにお前が使えるかもな？
map_0530#105	行った場所を全部書き留めておいた方がいいのかもな……
map_0530#106	近所の人たちが家を修理してくれてから、おれの人生はずっと楽になったよ。
map_0530#107	その恩を返そうと思ってたんだけど、他の近所の人たちに先を越されちまってさ。
map_0530#108	まあいいさ、しょうがないよな。
map_0530#109	ん？コーラルで人手が必要なのか？
map_0530#110	ふむ。巡り巡って戻ってくるってやつだな。
map_0530#111	今度はおれの番みたいだ。
map_0530#112	「ネオサーキット発電所―シルフカンパニー提供施設」
map_0530#113	下に何か書いてある。
map_0530#114	「ネオサーキットなんてダサすぎる名前！ここを正式に『エレクトロ・ダズル・ハッピー・ブームタイム・ハウス・オブ・チアー』と改名する！」
map_0530#115	「ネオサーキット発電所／ペリドットワードジム
map_0530#116	営業時間：
map_0530#117	月～日：コーヒーの持参量次第で全面的に変動。」
map_0530#118	<>- ネオパス通り\n^v -2番街
map_0530#119	>- ユニオン通り\n^ -2番街
map_0530#120	ジャスミ: リボーンって本当に胸を打たれる場所ね。
map_0530#121	大勢の努力のおかげで、この地方が本当に美しく花開いていくのを見てきたわ。
map_0530#122	ほんの数年でこれほどの違いが生まれるなんて、すごく勇気づけられる。
map_0530#123	色々問題はあっても、この街はいつまでもあたしの心の特別な場所であり続けるわ。
map_0530#124	そしてあなたもね。
map_0530#125	ケルビン: ……今の、ちょっとキザすぎたか？
map_0530#126	ジャスミ: ちょっとだけね。
map_0530#127	さっき最初のバッジを取ったの！
map_0530#128	これからフロリニアに向けて鍛えないと。
map_0530#129	うう、でもレベル上げにいい場所なんてあるのかな？
map_0530#130	なんだか怪しい箱ね……
map_0530#131	???: ……い！
map_0530#132	……い、大丈夫！？
map_0530#133	起きて！
map_0530#134	ヴィクトリア: よかった、生きてる……
map_0530#135	ここで気を失ってるのを見つけたの……
map_0530#136	どれだけ経ったか分かってるの！？
map_0530#137	もう二度と会えないかもって思ってたのよ！
map_0530#138	それが今になって、道の真ん中で寝転がって現れるなんて？
map_0530#139	もう、まったく……
map_0530#140	アンナが何があったか全部話してくれたわ――
map_0530#141	あんたがついにリンを倒したこと、それに本物のリンが今も新世界のどこかに隠れていること。
map_0530#142	聞いて、本当に色々あったのよ。
map_0530#143	大変なことがたくさん起きてるけど、みんなで力を合わせて対処しようとしてるの。
map_0530#144	北オブシディアのナイトクラブで集合しましょう、いい？
map_0530#145	アークがこの件の対応を仕切ってくれてるから、そこできっとちゃんと説明できると思う。
map_0530#146	あたしも後で合流するけど、今のところは……
map_0530#148	書類仕事……
map_0530#149	いつだって……終わらない……書類仕事……
map_0530#150	いくつか片づけたらすぐ向かうから、いい？
map_0530#151	またあとでナイトクラブでね！
map_0530#152	ヴィクトリア: ああ、それと――
map_0530#153	あんたが戻ってきてくれて、本当に嬉しい。
map_0530#155	アドリエンヌ: よかった、生きていて……
map_0530#156	どうやら最後の遠征でひどい目に遭ったようですね？
map_0530#157	まるでずっと悪い夢の中に閉じ込められていたかのような……
map_0530#158	正直に言うと、あなたか私、どちらかにまた何か起きるのではと、いつも少し心配なんです。
map_0530#159	十年先に飛ばされるとか、以前のように消えてしまうとか……
map_0530#160	あなたが戻ってきてくれて、どれほど安堵しているか言葉にできません。
map_0530#161	必要なだけ休んでください。
map_0530#162	この地方には万全な状態のチャンピオンが必要ですから！
map_0530#163	大丈夫そうなら、私はナイトクラブへ急いで戻らなければ。
map_0530#164	仕事に戻る前に、少し散歩をして頭を整理するだけのつもりだったので。
map_0530#165	いつも通り、何か必要なことがあれば教えてください。
map_0530#166	私も、そしてこの地方全体も、あなたを全面的に支えています、
map_0530#167	立派なチャンピオンにふさわしく。
map_0530#168	友よ！
map_0530#169	あたしのこと、覚えてる？もうずいぶん経ったね！
map_0530#170	何もなかったあたしに、居場所を見つけてくれたよね。
map_0530#171	本当は、できるだけ早くこの場所を離れるつもりだったんだ。
map_0530#172	そして今、グランドビュー駅がついに開業したわ……
map_0530#173	でも、あたしはここに残ることに決めた！
map_0530#174	あんたの優しさと、この街の優しさが、ここの方がずっといい場所だって教えてくれたから。
map_0530#175	あんたが見つけてくれたあの古い小屋は、アドリエンヌって人が扉をノックするまで、ろくに家とも言えなかった。
map_0530#176	その人が計画を打ち出して――結果がどうなったか、あんたにも分かるでしょ！
map_0530#177	悪くない投資だったし、お返しに街の他の場所の復興を手伝えて本当に嬉しかった！
map_0530#178	だから、リボーンが今のあたしの家なの！
map_0530#179	そして、あんたのことは絶対に忘れない、友よ。
map_0530#180	これを最後の感謝の印として受け取ってほしいの！
map_0530#181	あたしのイワークのことも、ちゃんと大事にしてくれてるといいな！
map_0530#182	強くあれ！リボーンは壊れない、その民もね！
map_0530#183	あたしのイワークのこと、ちゃんと大事にしてくれてるといいな！
map_0530#184	ケルビン: いやあ、リボーンシティも本当に色々あったよな？
map_0530#185	でもまあ、おれたちもそうだったか。
map_0530#186	この街には感謝してるよ。
map_0530#187	だってさ、ここリボーンに来なかったら、ジャスミ、君に出会うことはなかったんだから。
map_0530#188	これからおれたちの次の大冒険を始める準備ができた気がするよ。
map_0530#189	行く当てのないあたしらだって、どこかにはいなきゃならない。
map_0530#190	だったら、こういう素敵な場所であることに感謝するさ。
map_0530#191	夢は結局叶うもんなんだな。
map_0530#192	近所の皆さんの助けを借りて、この小さなオアシスをリゾートに変えることができました。
map_0530#193	そのことにはいつまでも感謝します。
map_0531#0	なあ、ここは昔たまり場だったんだよ。
map_0531#1	なのに今のこのざまを見ろよ。ただただ気が滅入るぜ。
map_0531#2	何だ、街の復興を手伝いに行けって言うのか？
map_0531#3	そもそもあの計画のせいでこんな状況になってるんだろうが！
map_0531#4	なあ、聞けよ？
map_0531#5	よし、コーラルジムに行ってやる。ちょっと文句を言ってやるぜ！
map_0532#0	マイン、街をきれいにしようとしてるけど、貧乏人は貧乏人のまま、金持ちはくだらない内輪もめに明け暮れてるって現実は何も変わらねえよ。
map_0532#1	ここは結局、光り輝くクソだ。
map_0532#2	もう手紙は送った。あの金持ちの薄汚い叔父から、うまい取り分をせしめられないわけがない――
map_0532#3	おい、誰がお前の意見を求めた？
map_0532#4	おい、失せろ！これは内輪の集まりだ！
map_0532#5	特別な入場料でも払う気があるなら別だがな、坊主？
map_0532#6	サンティアゴ: てめえ、何の用だクソが？
map_0532#7	さっさと消え失せろ、じゃなきゃぶちのめすぞコラ！
map_0532#8	今なんて言った、てめえ？
map_0532#9	てめえがおれのクソポケモンを持ってんのか、このクソ野郎が？
map_0532#10	こっち来い。話そうぜ、クソったれが。
map_0532#11	サンティアゴ: てめえ、おれのプリンを持ってんのか？
map_0532#12	マジでプリンが好きなんだよ、クソ。
map_0532#13	クソかっこいいポケモンだからな。
map_0532#14	でも他の連中には知られたくねえんだ、じゃなきゃからかわれちまうからな……
map_0532#15	クソ待たせたくねえから、その間そのプリンを他の誰かに預けといてくれる奴、見つけてくれねえか？
map_0532#16	今ちょっと取り込み中だが、終わったらそのプリンをクソ受け取りに行くからよ。
map_0532#17	誰でもいいから、預かってくれた場所を戻ってきて教えてくれりゃいい。
map_0532#18	わかったか、コラ？
map_0532#19	クソ最高だ。お前、マジで最高だぜ。
map_0532#20	おい、ちょっと待てや。
map_0532#21	ちょっとオレと戦ってくれねえか？
map_0532#22	お前をぶちのめしたように見せかけねえと、他の連中に怪しまれるからよ。
map_0532#23	くそっ！
map_0532#24	サンティアゴ: てめえ、マジで男らしいな。
map_0532#25	いや別に、お前が男だとかそういう意味じゃ――
map_0532#26	言いたいことはわかるだろ。
map_0532#27	そのプリンを誰が預かってるか、教えてくれるの待ってるからな！
map_0532#28	サンティアゴ: おいクソ、どうなった？
map_0532#29	あのポケモンの居場所、突き止めたか？
map_0532#30	ジャスパーにいるクソ女が持ってるって？
map_0532#31	クソ最高だ。
map_0532#32	お前、マジで最高だぜ。
map_0532#33	何か必要になったらいつでもクソ言えよ、わかったか？
map_0532#34	さっさとクソ失せろ。
map_0532#35	サンティアゴ: よお相棒、どうした？
map_0532#36	何か用でもあんのか？
map_0532#37	クソ用があるなら、こっち来て話そうぜ。
map_0532#38	何が必要なんだ？クソ手助けできることなら何でもしてやるぜ、相棒。
map_0532#39	は？あのクソガキを探してるのか？
map_0532#40	ああ、あのクソガキならおれらが預かってるぜ。
map_0532#41	勘違いすんなよ。
map_0532#42	ガキ相手にクソふざけたことすんのは認めてねえからな。
map_0532#43	それはマジでクソ間違ってる。
map_0532#44	でも今回の状況はちょっと違うんだ。
map_0532#45	つうか、ちょっとクソやばいことになっててな。
map_0532#46	行きゃクソわかるさ。
map_0532#47	あのクソガキはオニキスワードのどっかのビルの屋上に閉じ込めてある。
map_0532#48	ぶちのめしてこい。
map_0532#49	サンティアゴ: あのクソガキはオニキスワードのどっかのビルの屋上に閉じ込めてある。
map_0532#50	サンティアゴ: てめえのせいでクソ仕事がふいになっちまったが、
map_0532#51	どうせクソみたいな仕事だったから、まあいいさ。
map_0532#52	クソプリンは取り返した、それだけが大事なんだよ。
map_0532#53	プリンはクソ最高だぜ。
map_0532#54	キューボール: 今すぐ下がれ、じゃなきゃこいつの命はないぞ！
map_0532#55	ミニスカート: お、お願い――
map_0532#56	キューボール: おい、お前は黙ってろ！
map_0532#57	助けを呼んだりしないで、最初から素直に従っておけばよかったんだよ！
map_0532#58	お前に何が起きようと、それはお前自身のせいだからな！
map_0532#59	アンナ: あたしたちに任せてくれない、\PN？
map_0532#60	キューボール: はぁ？小娘一人に何ができるってんだ？
map_0532#61	パパにでも言いつけるつもりか？
map_0532#62	アンナ: ねえ、後ろを見た方がいいかもよ。
map_0532#63	キューボール: はっ、そりゃないぜ！
map_0532#64	その手には引っかからねえよ！
map_0532#65	目を離した瞬間に何かしてくるつもりだろ！
map_0532#66	アンナ: あんたが目を離さなくても、あたしはやれることをやれるの。
map_0532#67	ただ、あんたの肩越しにいるあたしの友達に「こんにちは」って言ってほしかっただけ。
map_0532#68	キューボール: ……は？
map_0532#69	シェイド: ……ボー。
map_0532#70	キューボール: な、なんだこりゃ――
map_0532#71	ミニスカート: あ、ああ、ありがとう！
map_0532#72	あなた……あなたたちは……？
map_0532#73	アンナ: あたしはこの地方の守護天使だと思ってくれればいいわ。
map_0532#74	輝ける正義の名のもとに、みんなを守ってみせる！
map_0532#75	さあ、あなたを家まで送りましょう。
map_0532#76	ミニスカート: ……あの人はこれからどうなるの？
map_0532#77	アンナ: あいつが二度とあなたを煩わせないように、あたしたちがちゃんとするから。
map_0532#78	ミニスカート: あの子、すごく追い詰められてるみたいだったわ……
map_0532#79	アンナ: かもね！
map_0532#80	でも、だからといって見逃していい理由にはならない。
map_0532#81	ここからはあんたに任せていいよね、\PN？
map_0532#82	ミニスカート: み、みんな、ありがとう……
map_0532#84	シェイド: ……あの娘は羽ばたいた。これは予見されていたこと。
map_0532#85	されどその力は制御され、その抵抗もまた抑えられている。
map_0532#86	それを成したのはお前の手――お前の慈悲、お前の恩寵。
map_0532#87	迷える子らを導いた者よ、心よりの感謝を。
map_0532#88	我らはここに留まり見守ろう――彼女が過ちを犯さぬように。
map_0532#89	この取り決めもまた儚きもの。我らの時も、もはや過ぎ去ろうとしている。
map_0532#90	この章は終わりを迎える――読み手よ、お前はそれを知っている。
map_0532#91	我らは皆、前へ進まねばならない。
map_0532#92	それがお前の、指導者としての務めだ。
map_0533#0	血には血を、いつもそうだ。
map_0533#1	街が血を流すからこそ、その傷を止めるために、我々は野生の命を切り刻む。
map_0533#2	リボーンは決して変わらない……
map_0533#3	あのチームメテオの男は、何か真実を見抜いていたのかもしれないな。
map_0533#4	街の再建を支えるためにここの木々を切らざるを得ないのは残念だが、きっとそれが最善なんだろう。
map_0533#5	正直、街中に生えてた木だけでも十分だったと思うけどな。
map_0533#6	その多くは街の様々な公園に移植されたが、それでも足りなかったらしい。
map_0533#7	何か用か？なければ放っておいてくれないか？
map_0533#8	失せろ坊主、こっちは仕事中なんだ。
map_0533#9	処理する木材が山ほどあるんだ、どいてくれ。
map_0533#10	サンディ: いた！
map_0533#11	あんなに大勢いるのを見て緊張しちゃったけど、これなら対処できるはず……よね？
map_0533#12	よし、深呼吸……あたしならできる。
map_0533#13	これはポケモンたちのため……
map_0533#14	行くよ！
map_0533#15	サンディ: 失礼！
map_0533#16	この森に住むすべてのポケモンに代わって……
map_0533#17	あなたたちを懲らしめてやる！
map_0533#18	うう……
map_0533#19	ええと、おれのシフトが終わるまでまだ数時間あるんだけど……
map_0533#20	サンディ: よし！これは未来のための一撃！
map_0533#21	さあ、家に帰って自分たちのやってきた破壊的な行いを見つめ直しなさい！
map_0533#22	ハードハット: あいつらだ、騒ぎを起こしてるのは。
map_0533#23	アドリエンヌ: 私……\PN？
map_0533#24	サンディ: あの……フローレスさん？
map_0533#25	ああ、これはついてる！
map_0533#26	マルコウスの森林伐採と、街の復興に伴うその他の環境問題について、少しお時間をいただきたいんです。
map_0533#27	アドリエンヌ: あなたは……自然保護区のリーダー、サンディさんですね。
map_0533#28	あなたがこういう方だとは聞いていました。
map_0533#29	サンディ: そのとおりです、でも大事なのは、あなたが私たちの世界の安全を守るために行動を起こすことです。
map_0533#30	正規の手続きを経て、いくつもの政策の改革を求める請願書を提出しています、よりよくするために――
map_0533#31	アドリエンヌ: ええ、ええ――読みましたよ。
map_0533#32	あなたの懸念は理解していますが、どの件も、すぐさま人を投入すれば解決するというほど単純な話ではないのです。
map_0533#33	満足のいく解決に向けて努力し続けますが、その間――
map_0533#34	街の作業員たちに詰め寄るのはやめていただけませんか。
map_0533#35	彼らはただ賃金のために働いているだけで、マルコウスをどれだけ使うかを決めているわけではありません。
map_0533#36	それに、念のため言っておきますが、これらの木の多くはこの地域で起きたパルス事件によって生まれたものだと理解しています。
map_0533#37	私たちの優先事項は常に、自然環境に手をつける前に、その人工的に増強された植物を資源として使い切ることでした。
map_0533#38	それに、大規模な建設事業には大量の木材が必要になるという単純な事実もあります。
map_0533#39	ご理解いただけるなら、この問題を正しく解決するまで、少し辛抱していただけますか。
map_0533#40	みんな、少し休憩を取ってはどうだ？
map_0533#41	それと、\PN？
