map_0025#27	あの人、講義には毎回出てるけど、戦ってるところは一度も見たことないな。
map_0025#142	キキ先生と同じやり方をする必要はない。
map_0025#143	わたしはわたしのやり方でやればいい。
map_0025#144	それで十分なはずです。
map_0025#145	よお坊主! ポケモンに特別な技を教えてほしいか? ラインナップ見てけよ!
map_0025#146	どれがお好みだ?
map_0025#147	いえきは、青いかけら1個だな。
map_0025#148	手に入れたら、また来な。
map_0025#149	よし、来たか。
map_0025#150	リサイクルは、紫のかけら2個だ。
map_0025#151	がむしゃらは、緑のかけら3個だ。
map_0025#152	いたみわけは、赤のかけら3個だ。
map_0025#153	いつでも来いよ、坊主。
map_0025#154	知ってたか?
map_0025#155	防御力を鍛えるなら、パイロス山の溶岩の流れをせき止めてるマグカルゴを殴るのが一番だぜ!
map_0025#156	はぁぁぁぁっ!
map_0025#157	はい
map_0025#158	いいえ
map_0025#159	いえき
map_0025#160	リサイクル
map_0025#161	がむしゃら
map_0025#162	いたみわけ
map_0026#0	キキ: ……
map_0026#1	ヴィクトリア: そう、それでいいです――呼吸に集中して。
map_0026#2	「めい想入門」でやったとおりに、ですよね?
map_0026#3	落ち着いて。大丈夫ですから。
map_0026#4	キキ: 「大丈夫」とは、わたしの状態にも、この状況にも、いささか甘い評価だ。
map_0026#5	もう、体裁を取りつくろう意味もない。
map_0026#6	あんな醜態を見せたあとでは――中庭で倒れるなど……
map_0026#7	動揺せずにいられる者などいまい。
map_0026#8	ヴィクトリア: 自分に厳しすぎます!
map_0026#9	こんな状況を通して、先生ほど強くいられる人なんて他にいません。
map_0026#10	これまでやってきたこと、幸せにしてきた人たちのこと、見てください、それに――
map_0026#11	キキ: それでも、これほど強くあり続けてなお、わたしはまだ弱すぎる。
map_0026#12	ヴィクトリア: どうか、落ち着いてください。
map_0026#13	キキ: どうやって落ち着けと?
map_0026#14	「内なる混沌を打ち破れ」?
map_0026#15	それが、心の禅のことだけを言っていたと思ったか?
map_0026#16	わたしがどれほど心を無に近づけようと、行き着く先はやはり「死」だ。
map_0026#17	どれだけめい想を重ねようと、この体が自らを蝕んでいるという単純な事実は変わらない!
map_0026#18	ヴィクトリア: もうやめてください!
map_0026#19	こんなことが先生の身に起きるのを見るより、何がつらいか分かりますか?!
map_0026#20	先生が自分自身にそれをしているのを見ることです!
map_0026#21	人は病気になることだってある――それがどうしたっていうんです!
map_0026#22	それでも、大切な人たちと一緒に、それを乗り越えていくものでしょう。
map_0026#23	やっちゃいけないのは、周りの人みんなに嘘をついて、明らかにそうじゃないのに、すべて順調なフリを続けることです!
map_0026#24	完璧な見た目と、表向きの平穏を保とうとして、先生は自分にプレッシャーをかけ続けてきました。
map_0026#25	でも本当は、誰よりも自分の内側をズタズタにしてるんじゃないですか!?
map_0026#26	自分が身を投じてしまった、その皮肉に気づいてないんですか?
map_0026#27	キキ: もちろん、そのとおりだ。
map_0026#28	この愚かさは、わたし自身、痛いほど分かっている。
map_0026#29	わたしの講義も、修行も、教えも、それを止めることはできなかった。
map_0026#30	それもまた、わたしにとって大きな恥だ。
map_0026#31	自分自身の心すら保てないというのに、どうして心と精神の健やかさを説けようか。
map_0026#32	自分がまがい物だと、ずっと感じ続けてきたからこそ、これについて嘘をつくのも当然のことだった。
map_0026#33	ヴィクトリア: なら、正直に打ち明けてください。
map_0026#34	正直に話してくれれば、みんなで一緒に乗り越える方法を考え始められます。
map_0026#35	ならば、もうひとつ、正直に話しておかねばならないことがある。
map_0026#36	ヴィクトリア: ……何ですか?
map_0026#37	キキ: \PN。
map_0026#38	あなたに「かいりき」を渡すことができない。
map_0026#39	ヴィクトリア: 何ですって。
map_0026#40	キキ: あのマシンは、少し前にわたしの管理下から姿を消した。
map_0026#41	盗まれたのだと思う。
map_0026#42	ヴィクトリア: では、この卒業試験だとか何だとかいうのは……
map_0026#43	キキ: この緊急性は、わたしとて分かっている。
map_0026#44	あなたたちがこの課題を終えるまでに、取り戻せるだろうと期待していた。
map_0026#45	だが、想像がつくとおり――
map_0026#46	ヴィクトリア: 信じられません。
map_0026#47	キキ: ヴィクトリア!
map_0026#48	キキ: 一人にしてくれ。
map_0026#49	今は、一人になりたい。
map_0026#50	キキ: すまない。
map_0026#51	ヴィクトリア: つまり、そういうことですか。
map_0026#52	アポフィルは無事。
map_0026#53	そして、空っぽ。
map_0026#54	カイン: ねえ、ボクらできることは全部やったんだよ……
map_0026#55	ヴィクトリア: それが何かの言い訳や慰めにでもなるとでも?
map_0026#56	できることは全部やった――それでも足りなかった!
map_0026#57	せめてもの救いは、先生の命を奪ったのが私たちの怠慢じゃなくて、単なる無能さだったって分かることぐらいですね。
map_0026#58	でも、もしかしたら怠慢の方もあったのかもしれない。
map_0026#59	キャルをここに連れてきたのは、わたしです――
map_0026#60	あいつが連中の一人だって、気づくべきだったのに!
map_0026#61	カイン: どうやって気づけっていうのさ?
map_0026#62	ヴィクトリア: さあ、分かりませんけど、あのすぐキレる性格くらい、危険信号になってもよかったんじゃないですか。
map_0026#63	わたし、バカでした。
map_0026#64	カイン: ねえ、自分を責めたって、どうにもならないよ。
map_0026#65	ヴィクトリア: ……
map_0026#66	そうですね。
map_0026#67	それなら、本当の元凶を責めた方がいい。
map_0026#68	チームメテオを。
map_0026#69	他の誰にもこんなことが起きないよう、できることをした方がいい。
map_0026#70	もう一体パルスがいるはずです――ビクスビジョン荒地のどこかに。
map_0026#71	あなたの家族がいるのも、そこですよね。
map_0026#72	合ってますか?
map_0026#73	カイン: あー、うん、そうだけど……
map_0026#74	ボクと家族って、そんなに……
map_0026#75	ヴィクトリア: 何です?
map_0026#76	つまり、あまり仲が良くないから、次の犠牲者にさせてもいいってことですか?
map_0026#77	カイン: そんなこと、言ってないよ……
map_0026#78	ヴィクトリア: 言う必要もありませんでした。
map_0026#79	助けられるチャンスがあるのに、ためらってるじゃないですか。
map_0026#80	だからこそ「できることは全部やった」なんて、自分に言い聞かせなきゃいけないんじゃないですか。
map_0026#81	カイン: ……もう、行くよ。
map_0026#82	ヴィクトリア: 待って、ごめんなさい、そんなつもりじゃ――
map_0026#83	ヴィクトリア: ごめんなさい、今のは言いすぎでした。
map_0026#84	わたし……やることが山ほどあります。
map_0026#85	自分自身のことも、それに……
map_0026#86	まあ、今はこのアカデミーを誰かが率いなきゃいけませんし。
map_0026#87	キキ先生が、わたしを選んでくれました。
map_0026#88	先生は、自分が去る日が来ることを覚悟していたようですけど……
map_0026#89	こんな形で、じゃなかったはずです。
map_0026#90	ヴィクトリア: では、わたし抜きで進んでください。
map_0026#91	ヴィクトリア: あなたと共に戦えたこと、感謝しています。
map_0026#92	でも、わたしたちの冒険はここで終わりです。
map_0026#93	少なくとも、わたしの分は。
map_0026#94	ヴィクトリア: どうやら、わたしの冒険はここで終わりのようです。
map_0026#95	誰かが、他の生徒たちに伝えなきゃいけません。
map_0026#96	それに、秘密にしておくつもりもありません。
map_0026#97	それに授業の予定、講義、施設の管理、事務仕事、入学対応……
map_0026#98	ヴィクトリア: やることが、本当にたくさんあります……
map_0026#99	ヴィクトリア: あなたは、これからもチームメテオと戦い続けるんですよね?
map_0026#100	ビクスビジョン荒地……
map_0026#101	入り口は、南オブシディアにある大きな扉です。
map_0026#102	ご存じですか?
map_0026#103	誰かがそこへ行って、もう誰も傷つけられないようにしなきゃいけません。
map_0026#104	カインは明らかにやらなさそうなので……
map_0026#105	あなたに任せます。
map_0026#106	みんな、あなたを支持しています、\PN。
map_0026#107	あの人たちに、やったことの報いを必ず受けさせてください。
map_0026#108	ヴィクトリア: どのみち、わたしたちの中で強いのは、いつだってあなたでしたから。
map_0026#109	あ、それと「かいりき」のマシンですけど――
map_0026#110	……どこへ行ったか、心当たりがあります。
map_0026#111	見つかったら、必ず連絡します。
map_0026#112	子どもたち、荒地、そして街……
map_0026#113	みんな、必ず救います。
map_0026#114	そうしなきゃいけません。
map_0026#115	キキ: 話をしてくれて感謝する。
map_0026#116	やるべきことは多いようだが、その前に、
map_0026#117	新しい生徒として、わたしの弟子を紹介したい。
map_0026#118	わたしの弟子を紹介したい。
map_0026#119	ヴィクトリア?
map_0026#120	キキ: 新しい生徒だ。
map_0026#121	以前案内したように、入学手続きと基本的な施設の案内を、この者にしてやってくれるか?
map_0026#122	キキ: とても重要な知らせを持った訪問者だ。
map_0026#123	あなたも、話を聞いておいた方がいいだろう。
map_0026#124	ヴィクトリア: あの、
map_0026#125	はは?
map_0026#126	こんにちは、\PN!
map_0026#127	キキ: ……おや?
map_0026#128	ヴィクトリア: 先生、\PNとは、もうリボーンシティで会ってるんです!
map_0026#129	先生に話した、わたしを助けてくれた人です!
map_0026#130	先生に話した、わたしを助けてくれた人です!
map_0026#131	先生に話した、わたしを助けてくれた人です!
map_0026#132	キキ: なるほど……
map_0026#133	正直に言えば、この者が運んできた不吉な知らせが、根も葉もないものであってほしいと、わたしの心のどこかで願っていた。
map_0026#134	正直に言えば、この者が運んできた不吉な知らせが、根も葉もないものであってほしいと、わたしの心のどこかで願っていた。
map_0026#135	正直に言えば、この者が運んできた不吉な知らせが、根も葉もないものであってほしいと、わたしの心のどこかで願っていた。
map_0026#136	だが、そういうことならば、この者の信ぴょう性を疑う手間が省けたのは、幸いというべきかもしれない。
map_0026#137	ヴィクトリア: ……待って、何かあったんですか?
map_0026#138	キキ: どうやら、子どもたちがさらわれたようだ。
map_0026#139	そして同時に、何かがこのアカデミーに害をなそうとしている。
map_0026#140	わたしはこの家を、砂と灰を等しく重ねて築き上げてきた。
map_0026#141	それを、再び砂と灰に還すつもりはない。
map_0026#142	最後の息をするまで、この場所を守り抜くと約束しよう。
map_0026#143	ヴィクトリア: つまり、また別のパルスが……?
map_0026#144	でも、どんな種類かは分からない。
map_0026#145	キキ: 生徒全員に通達を出そう。
map_0026#146	浜辺のどこであれ、怪しい機械や動きを見たら、すぐに報告するようにと。
map_0026#147	ヴィクトリア: レティに知らせを回してもらいます、あっという間に広まるはずです。
map_0026#148	キキ: では、あとは知らせが入るのを待つだけだ。
map_0026#149	残るは、子どもたちの件だな。
map_0026#150	ヴィクトリア: 子どもたちというと、もしかして……
map_0026#151	……シェリーも、ですか?
map_0026#152	ヴィクトリア: どうしてこんなことに……?
map_0026#153	とにかく、大事なのは彼らを救うことです!
map_0026#154	ただの障害物があるだけなら、絶対に手伝えます!
map_0026#155	先生、\PNに「かいりき」を渡してあげますよね?
map_0026#156	たしかに「かいりき」は、通常このアカデミーの卒業生に授けられるものだ。
map_0026#157	しかし、同じだけの成果を求めずに、無条件に与えるとなれば……
map_0026#158	それは本質的に、正規の課程を修めた者たちへの侮辱になる。
map_0026#159	世俗の力を手にする前に、内なる強さを得なければならない。
map_0026#160	ヴィクトリア: でも先生、これは緊急事態です! きっと――
map_0026#161	キキ: ヴィクトリア。
map_0026#162	どうか、
map_0026#163	どれほど差し迫った状況であろうと、わたしたちは冷静さと制御を保たねばならない。
map_0026#164	むしろ、こういうときこそ、それが最も必要とされる。
map_0026#165	争いはパニックを招く。
map_0026#166	パニックは、混沌を招く。
map_0026#167	だが、事態を救うのは秩序だ。
map_0026#168	ヴィクトリア: ……はい、先生。
map_0026#169	キキ: ……それに、いずれにせよ、話は続く。
map_0026#170	その侮辱は、今の状況の緊急性と、慎重に天びんにかけねばならない。
map_0026#171	思慮分別こそ、規律に勝る。
map_0026#172	今の必要のために、わたしたちの慣習を曲げることを許してほしい。
map_0026#173	あなたの力が、わたしたちの代表格に匹敵すると証明できれば、誰も「かいりき」の授与に異を唱えられないだろう。
map_0026#174	これが、通常の手順を早める、最も公正な方法だと思う。
map_0026#175	ヴィクトリア: 分かりました。
map_0026#176	つまり、\PNがわたしを戦いで倒せばいい、ということですね?
map_0026#177	そのとおりだ、ただし……
map_0026#178	もう一人の新入生でも構わない。
map_0026#179	新入生でも構わない。
map_0026#180	あなたたちは二人とも、並外れた実力を持っている。
map_0026#181	ヴィクトリア: あ、\PNは実は、以前キャルを倒してるんです!
map_0026#182	キキ: そうなのか?
map_0026#183	……だが、彼はこの課程に、水を得た魚のようになじんでいる。
map_0026#184	自分をいくらか制御できるようになった今、再戦することは、彼にとって大いに有益だろう。
map_0026#185	ヴィクトリア: 正直、今の彼がどうなるか、興味はあります……
map_0026#186	キキ: ……ん?
map_0026#187	もう再び彼と戦ってきたのか?
map_0026#188	ヴィクトリア: え、本当に?
map_0026#189	キキ: 一歩先を行っていたようだな。
map_0026#190	……よろしい、ならばこれ以上ためらう必要はない。
map_0026#191	ヴィクトリアとわたしに、それぞれの持ち場の状況を把握する時間を少し与えてくれ、それから進めよう。
map_0026#192	キキ: だが彼は今、パイロス山の上で修行に入っている。
map_0026#193	そして、時間が惜しい状況だ。
map_0026#194	\PNに選ばせるのが、最も賢明だろう。
map_0026#195	わたしの弟子ヴィクトリア、あるいは我らが新たなエース、キャル、どちらと戦ってもよい。
map_0026#196	どちらかを倒せば、特例での卒業を申請できる。
map_0026#197	選ぶのは、あなただ。
map_0026#198	ヴィクトリア: すぐにレティに状況を伝えます。
map_0026#199	わたしと戦うと決めたら、中庭で待っていますね!
map_0026#200	キキ: わたしの弟子ヴィクトリア、あるいは我らが新たなエース、キャル、どちらと戦ってもよい。
map_0026#201	ヴィクトリアは中庭に、キャルは南西のパイロス山の上にいる。
map_0026#202	もうひとつ、忠告しておこう。
map_0026#203	「かいりき」のマシンは、対応するバッジがなければ使用できない。
map_0026#204	このアカデミーの初期には、わたし自身もそのリーダーだった。
map_0026#205	しかし、最近の出来事のせいで、優先すべきことを見直さざるを得なくなり、その役目からは退いた。
map_0026#206	いずれにせよ、この先の障害には気をつけておくように。
map_0026#207	キキ: 待たせたな。
map_0026#208	生徒たちには知らせが行き渡った。これほど小さな集団なら、話はすぐに広まるだろう。
map_0026#209	キキ: では、ヴィクトリアを倒したのだな。
map_0026#210	……そしてキャルもか?
map_0026#211	ヴィクトリア: え、何ですか?
map_0026#212	キキ: 見事だ、これほど限られた時間でとは、特に。
map_0026#213	キキ: では、キャルを倒したのだろうな。
map_0026#214	残る課題は、あとひとつだけだ。
