map_0900#1077	お茶でもいかが?
map_0900#1108	どうやら誰かが、まずいブラウニーの味を流し込むために全部飲んでしまったようだ。
map_0900#1109	タカ: あ、それは全然大丈夫だよ……
map_0900#1110	ところで、優秀な四天王って?
map_0900#1111	それって、こんなに経った今でもまだその仕事続けてるってこと?
map_0900#1112	ルナ: いいえ、父さんはただ優しくしようとしてるだけよ。
map_0900#1113	イオリアバレーはバトルにはとても美しい場所ではあるけれど、正直に言うと……
map_0900#1114	リーグの四天王が持つ、あの複雑で凝った部屋にはずっと憧れてたの。
map_0900#1115	それに、父さんと過ごす時間が増えるにつれて……?
map_0900#1116	まあ、この地方屈指の名トレーナーと練習試合できたのよ。
map_0900#1117	そりゃ実力も上がるでしょ?
map_0900#1118	親からリーグの地位を受け継いだの、あたしが最初ってわけでもないしね。
map_0900#1119	タカ: へえ、すごい……
map_0900#1120	おめでとう、ルナ!
map_0900#1121	それってすごく格好いいね。
map_0900#1122	楽しんでる?
map_0900#1123	ルナ: そうね、楽しんでるわ。
map_0900#1124	バトルは楽しいし、リーグにいることで物語を紡ぐこともできるの。
map_0900#1125	イライアス: しかもこれだけ大変な仕事の傍らで、あれこれこなす時間まで見つけるのだからな!
map_0900#1126	ルナ: わたしのことを褒めずにはいられないのね、父さん?
map_0900#1127	ああ、そうだ……シェリーはリボーンの歴史と文化にとても関心を持っていてね、私たちの過去を見失わないようにしたいのだそうだ。
map_0900#1128	父さんのおかげで、あたしは昔の教えや文書の多くを手に入れられたの。
map_0900#1129	物語の本が大好きで、その中には真実と知恵の宝石がたくさん見つかるものよ。
map_0900#1130	でも時には歴史そのものが、それ自体で魅力的な物語になることもあるわよね?
map_0900#1131	シェリーがこの地方の歴史と文化の多くを記録し、分かち合ってくれているから、
map_0900#1132	あたしは背景や個人的な記録を提供する形で手伝ってるの、
map_0900#1133	あたしの家やあなたの家の日記や記録にしか残っていないようなことをね。
map_0900#1134	タカ: それは……素晴らしいね。
map_0900#1135	僕たちの家の教えって、耐えられないと思うところもたくさんあったし。
map_0900#1136	でも……父さんはただの一人の人間で、たくさんの重荷や欠点も抱えてたんだ。
map_0900#1137	今はそれが分かるよ、特に……会ってから。
map_0900#1138	まあ、セレビィのおかげで、僕らの古い伝統にもまだいいところが残ってるのかもって思えるようになったんだ。
map_0900#1139	ルナ: その通り。
map_0900#1140	それに過ちがあった場所でも、それが何で、どうして起きたのか知っておくのはいいことよ。
map_0900#1141	イライアス: 私たちの教えがこんな道を辿るとは思っていなかったが……
map_0900#1142	これは新しく、より幸せな時代だ。
map_0900#1143	そして、何が最善かを決めるには自分がもう歳を取りすぎていると分かる程度には、私も年を重ねたのだと思う。
map_0900#1144	お前たち二人のような、そこのルナのような、シェリーのような若者たちが……
map_0900#1145	きっと素晴らしいものへと私たちを導いてくれるだろう。
map_0900#1146	そしてお前の時代では、私がこれに気付くのに本来より時間がかかってしまうだろうことを、あらかじめ詫びておこう。
map_0900#1147	ルナ: あなたの未来も、わたしたちのように明るいものになるはずよ。
map_0900#1148	……元気そうで良かったわ、タカ。
map_0900#1149	タカ: 君も元気そうで良かった、ルナ。
map_0900#1150	イライアス: なるほど……
map_0900#1151	それは……ヘッドホンかな?
map_0900#1152	ルナ: ええ、そうよ、猫耳付きのね。
map_0900#1153	可愛いと思ったの。
map_0900#1154	メイドの格好は、仕えるべき人たち全員を家族の失敗で死なせてしまった後じゃ、しっくりこなかったから。
map_0900#1155	ルナ: あら、\PN! そこにいるの気付かなかったわ!
map_0900#1156	おかえりなさい、会えて本当に嬉しい。
map_0900#1157	シェリーはいつも、あなたは戻ってくるって言ってたけど、実際そうなって嬉しいわ。
map_0900#1158	イライアス: ルナ、私は……
map_0900#1159	ルナ: 何?
map_0900#1160	ルナ: 何か言いたいことでもあった?
map_0900#1161	イライアス: ……いや、何でもない。
map_0900#1162	邪魔をしてすまなかった。
map_0900#1163	お前……シェリーのことを言っていたな?
map_0900#1164	彼女と一緒に過ごす時間があるのか?
map_0900#1165	ルナ: ああ、そうか、知らないのね。
map_0900#1166	あたしはリボーンの四天王の一人よ。
map_0900#1167	当然、チャンピオンとも一緒に仕事することが多いの。
map_0900#1168	それに、この地方の歴史をもっとしっかり記録するプロジェクトを手伝ってるし、
map_0900#1169	失われた文化の多くを掘り起こす手伝いもしてるわ。
map_0900#1170	ありがたいことに、あなたが消えた後、家に残ってた古いものをたくさん見つけたの、それがシェリーにすごく役立ったのよ。
map_0900#1171	イライアス: 四天王か?
map_0900#1172	それに、私たちの過去を人々に教えていると……
map_0900#1173	それは……本当に嬉しい話だ。
map_0900#1174	ルナ: わたしがすることになった二つの役目、前にそれをやろうとした人よりうまくやれればいいけど。
map_0900#1175	その人、かなり酷い有様だったって聞くもの。
map_0900#1176	ルナ: さて、みんな挨拶したい人が他にもたくさんいるはずよね。
map_0900#1177	あなたの時代でも頑張ってね、\PN。
map_0900#1178	もし四天王のメンバーをもっと募集する必要があったら、お気に入りの悪タイプリーダーのことも思い出してね!
map_0900#1179	ルナ: タカとわたしが一緒に育ったって知ってた?
map_0900#1180	父さんが父さんの父さんに仕えたように、あたしもタカに仕えるはずだったの。
map_0900#1181	だからメイドの格好をしてたのよ。
map_0900#1182	お互い自分の父親には耐えられなかったけど、それでもそれが自分の義務だと思ってたの。
map_0900#1183	でもタカはそんなの望んでなかったし、それに気付くのにあたし、時間がかかりすぎたわ。
map_0900#1184	……あの人が成し遂げたのと同じ歩みを、あたしがするのに十年かかったけど、今こうしてここにいる。
map_0900#1185	あなたの時代でも、彼のこと大事にしてあげて。
map_0900#1186	色々あった後だもの、休む資格があるわ……
map_0900#1187	全部含めて。
map_0900#1188	シェリーもね。
map_0900#1189	あの子はきっと素晴らしい女性に育つけど、十年前はまだ自信を持ち始めたばかりだったって分かってるから。
map_0900#1190	本当は、みんなのことよ。
map_0900#1191	でもあなたなら、みんなをちゃんと見守ってくれると信じてる。
map_0900#1192	あなたがいれば、みんな自分の一番いいところを伸ばすのに苦労はしないと思うわ。
map_0900#1193	ルナ: もし今のが……あなたを不快にさせたなら謝るわ。
map_0900#1194	あたしはもう大人になったし、四天王でもあるし。
map_0900#1195	もっと分別を持たなきゃね。
map_0900#1196	でも、あの人がいつか戻ってくるって、あたしはずっと分かってた。
map_0900#1197	シェリーは二人とも大丈夫だって言ってたし、あの子のことは信じてるから。
map_0900#1199	もしあの人がずっとそばにいてくれてたら、時間をかけて許せたかもしれない。
map_0900#1200	もしくは、あの人が完全にいなくなったって思えてたら、それでも同じように許せたかもしれない。
map_0900#1201	でもいつか戻ってくるって分かってて……
map_0900#1202	あたしはずっと、あの人への怒りを抱え続けてたの。
map_0900#1203	わがままなお願いを一つしてもいい?
map_0900#1204	あなたの時代でも……
map_0900#1205	あの人が過去の過ちから逃げないようにさせて。
map_0900#1206	あたしから、っていうことも。
map_0900#1207	あの人にはきちんと向き合ってほしいの。
map_0900#1208	だって心から願ってるから、たとえあたしにはできなくても、
map_0900#1209	あなたの時代のルナが、こういう悪い感情を最後には手放せるようにって。
map_0900#1210	イライアス: 四天王、か。
map_0900#1211	もし父がもう少し若ければ、リーグができた時に彼もリボーンの四天王の一員になっていたに違いない。
map_0900#1212	バトルでは実に恐ろしい人だった。
map_0900#1213	私もなかなかのものだったと自負しているが、最近ではモンスターボールを投げるには少々歳を取りすぎたようだ。
map_0900#1214	そして今、私の娘がその役目を担っている。
map_0900#1215	私は長い間、あの子に家族の伝統を継がせようとしてきた。
map_0900#1216	それなのに、あの子はここで私が考えもしなかった伝統を新しく作り上げたのだ。
map_0900#1217	実に、これが若い世代の驚異というものだろう。
map_0900#1218	タカの未来にも、素晴らしいことが待っているのだろうと想像するばかりだ。
map_0900#1219	タカ: 四天王か……
map_0900#1220	そういえば、小さい頃、ルナはいつも父親には絶対似たくないって言ってたっけ。
map_0900#1221	それも当然だと思ってたよ。
map_0900#1222	そこは僕らの共通点だったんだ。
map_0900#1223	物事ってどう転ぶか分からないもんだね。
map_0900#1224	平和な十年って、人が自分を磨くにはいい条件なのかもね?
map_0900#1225	僕はどんな形で父さんに似ていくんだろう?
map_0900#1226	……できればタウベにもっと似ればいいんだけど。
map_0900#1227	イライアス: ……申し訳ありません我が主、私は……
map_0900#1228	あなたが他の人々に挨拶している間、私の方から探しに行きます、私のことは気にしないでください。
map_0900#1229	ふさわしい言葉を考えるのに、少し時間が必要なだけですから。
map_0900#1230	ヴィクトリア: ええ、それは……
map_0900#1231	えっと……
map_0900#1232	確かに大胆な味の方向性ではあるわね。
map_0900#1233	これは本当に――
map_0900#1234	ヴィクトリア: \PN! 良かった、来てくれたのね!
map_0900#1235	じゃなくて、その、ついに戻ってきてくれて良かった。
map_0900#1236	また会えてすごく嬉しいわ!
map_0900#1237	タカもね!
map_0900#1238	タカ: ありがとう、みんな本当に元気そうで良かったよ、色々あった割に……
map_0900#1239	ヴィクトリア: 十年もあれば、自分の人生をどう生きるか見つけるには十分だもの。
map_0900#1240	あなたも十年経てば同じようになるはずよ。
map_0900#1241	タカ: ……そうだといいけど。
map_0900#1242	サファイラ: タカ。
map_0900#1243	タカ: えっと……う、うん?
map_0900#1244	サファイラ: あんたはろくでもない人たちに育てられて、ろくでもないこともした。
map_0900#1245	その人たちよりましな人間になりなさい。
map_0900#1246	その人たちよりいい人間になりなさい。
map_0900#1247	それがそのことへの償い方よ。
map_0900#1248	今、頑張ってるところ……?
map_0900#1249	サファイラ: よし。
map_0900#1250	その努力、絶対に止めないで。
map_0900#1251	ヴィクトリア: 相変わらず厳しい愛情を見せるのね、サファイラ。
map_0900#1252	子供たちに少しは丸くなったと思ってたのに。
map_0900#1253	ああ、説明しないとね――
map_0900#1254	サファイラはラブラドーラで、居場所のない若者たちのための家を作る仕事をしているの。
map_0900#1255	イライアス: 確かに、我が主と私が実に素晴らし――
map_0900#1257	サファイラ: 絶対だめ。
map_0900#1258	サファイラ: 出てって。
map_0900#1259	サファイラ: \PN。また会えて嬉しいわ。
map_0900#1260	あんたがいなかったら、これは何一つ実現しなかった。
map_0900#1261	ヴィクトリア: サファイラはラブラドーラで、居場所のない若者たちのための家を作る仕事をしているの。
map_0900#1262	悪い状況から逃げてきたり、生き延びたりした子たちで、安全で安定した居場所が必要な子たちよ。
map_0900#1263	サファイラ: 「家出人」とか「はぐれ者」の必要としてるものを軽く見る人が多すぎる。
map_0900#1264	でもこの子たちは戦う子たちなの。強いのよ。
map_0900#1265	……本当は、子供が強くなる「必要」なんてあっちゃいけないのに。
map_0900#1266	タカ: そうだね……
map_0900#1267	本当にそうあってほしくない。
map_0900#1268	子供でいるってことは、ただ……
map_0900#1269	楽しいことであってほしいよね?
map_0900#1270	ヴィクトリア: アポフィルの仕事で忙しいけど、若者それぞれに違う必要があることは分かってるつもり。
map_0900#1271	場合によっては、アカデミーがその子に必要な種類の支援や助けをぴったり提供できることもあるの。
map_0900#1272	だからサファイラとあたしは、お互いをどう助け合うか、それぞれが世話してる子たちをどう助けるか、いつも連絡を取り合ってるのよ。
map_0900#1273	サファイラ: あたしの生活が落ち着いたとは言いがたいわね。
map_0900#1274	ほぼ丸ごと一つの街を管理しつつ、子供たちが必要な時にはそばにいてやって……
map_0900#1275	十年前とはまた違う種類のめちゃくちゃさだけど、それでもめちゃくちゃなことに変わりはない。
map_0900#1276	でも最近は自分の時間も少し取れるようになったの。
map_0900#1277	くつろぐ時間がね。
map_0900#1278	お菓子作りを始めたのよ!
map_0900#1279	生産的でありながら、ちゃんとくつろぐ時間を強制的に作れる、いいところもあるし。
map_0900#1280	ゆっくり進めて、今この瞬間を味わう時間もあるの。
map_0900#1281	それにラブラドーラの子たちは優しくて、何か作ってあげようとすると、いつも遠慮するの、
map_0900#1282	もう十分色々やってもらってるから、これ以上は受け取れないって言って。
map_0900#1283	だから作ったブラウニーを持ってきたの。食べたければカフェにあるわ。
map_0900#1284	タカ: ああ、そういえば、さっきあっちで見たよ。
map_0900#1285	なんていうか、確実に……
map_0900#1286	独特な? 形だったね……
map_0900#1287	ヴィクトリア: ええ、実はさっき一つ食べたところなの……
map_0900#1288	ヴィクトリア: そうね、さっき一つ食べたところ。
map_0900#1289	サファイラに、味の組み合わせがすごく……独創的だねって言ってたところなの。
map_0900#1290	でもあなたの言う通り、見た目も同じくらい……独創的よね。
map_0900#1291	サファイラ: まあ、食べてみたら感想教えてね、\PN。
map_0900#1292	タカもね。
map_0900#1293	ほとんどの人は来る前に食べてきたから、いらないって言ってたのよ。
map_0900#1294	じゃあ、続けてもらってて構わないわ。
map_0900#1295	ヴィクトリア: ええ、本当に会えて嬉しかった。
map_0900#1296	二人とも無事で本当に良かった。
map_0900#1297	サファイラ: みんな戻ってきて喜んでるからって、油断しないでよ。
map_0900#1298	自分の時代に戻ったら、しっかり頑張りなさい。
map_0900#1299	若い頃の自分がそばにいてほしかったと思うような人間になりなさい。
map_0900#1300	……あたしがラブラドーラのみんなに対して目指してきたのがそれよ。
map_0900#1301	みんなあんたのことすごいと思ってるんだから、その通りだって証明しなさい。
map_0900#1302	シェリーよりもっといいチャンピオンになりなさい。
map_0900#1303	無茶な要求だけど、最高を目指さないなら挑戦する意味もないでしょ。
map_0900#1304	ヴィクトリア: キャルとはもう話した?
map_0900#1305	いい人なんだけど、嘘つくのが本当に下手なのよ。
map_0900#1306	世界中を旅しながら人道支援の仕事をして、できる限り人助けをしてるの。
map_0900#1307	でもそれを認めるのがすごく恥ずかしいみたいで、
map_0900#1308	代わりに、よく旅する秘密の彼氏がいるとか、そんな嘘をついてるのよ。
map_0900#1309	……でも彼、なかなかうまくやってると思うわ。
map_0900#1310	みんなそうだと思うけど。
map_0900#1311	イヴ: それで、電源が落ちる直前に何をしてたのか、もう一度説明してもらえる?
map_0900#1312	???: いいわよ、あたしは――
map_0900#1313	\PN、イライアス! よお、よお、よお!
map_0900#1314	\PN、タカ! よお、よお、よお!
map_0900#1315	イヴ、見て、誰が来たと思う、来てくれたのよ!
map_0900#1316	イヴ: ええ、見えてるわ、でもそれより――
map_0900#1317	……分かった、いいわ、仕事の話は後にしましょ。
map_0900#1318	ねえあなたたち、おかえりなさい。
map_0900#1319	タカ: あ、やあイヴ。
map_0900#1320	それと……?
map_0900#1321	???: もう、あたしのこと分かんないの?
map_0900#1322	???: 冷たいなあ、みんな友達だと思ってたのに!
map_0900#1323	イヴ: ジュリア、あなた髪の色もスタイルも服も変わったし、
map_0900#1324	十年も歳を重ねたんだもの。
map_0900#1325	分からなくて当然でしょ。
map_0900#1326	ジュリア: あ、そっか。
map_0900#1327	じゃあ、よお! あたしよ、ジュリア!
map_0900#1328	タカ: ジュリア……って、ペリドットのジムリーダーの、あのジュリア?
map_0900#1329	爆発好きのチアリーダーの?
map_0900#1330	ジュリア: 元、ね!
map_0900#1331	まあ、チアリーダーと爆発の部分はだけど。
map_0900#1332	イヴ: ジュリアはね、発電所を自分のジムとして使い続けるなら、
map_0900#1333	問題を起こす代わりにちゃんと手伝うべきだって、実に責任感ある決断をしたの。
map_0900#1334	あたしは数年前から発電所の運営を始めて、今はずっと効率的になったわ、みんなあたしの仕事に満足してるみたい。
map_0900#1335	ジュリアはすごくやる気を見せてくれたから、そこで働いてメンテナンスの手伝いもしてもらうことにしたのよ。
map_0900#1336	ジュリア: イヴはすごくいい上司なの。
map_0900#1337	めちゃくちゃ手をかけてくれて、いつもそばにいて助けてくれて、何も間違いが起きないようにしてくれるのよ!
map_0900#1338	イヴ: ……あなたが働き始めて一週間くらいまでは、結構放任だったんだけどね……
map_0900#1339	とにかく、仕事の話はもういいわ、時間旅行って興味深かったんじゃない?
map_0900#1340	タカ: うん、そうだね……本当に面白い人たちに会ったよ。
map_0900#1341	今となっては、それって知り合い全員が十年老けたってことだけど。
map_0900#1342	それで言えば、その……
map_0900#1343	どこに……
map_0900#1344	っていうか、どうしてる、その――
map_0900#1345	その……
map_0900#1346	イヴ: ルミのこと?
map_0900#1347	すごく順調よ。
map_0900#1348	完全に治って、回復したわ。
map_0900#1349	今日来られなくて本当にごめんねって言ってたけど、今世界中を旅してるの。
map_0900#1350	昔からずっと旅に憧れてたけど、いつも病気だったり、あたしと一緒に誰かの体に「閉じ込められてる」状態だったりしたから。
map_0900#1351	だから元気になった時、そのチャンスをつかんだの。
map_0900#1352	タカ: それは良かった。
map_0900#1353	会えないのは残念だけど……
map_0900#1354	元気にしてるって聞けて本当に嬉しいよ。
map_0900#1355	イヴ: ええ。
map_0900#1356	本当に嬉しいわ。
map_0900#1357	あの子が大丈夫だって分かって、やっと息ができる気がするの。
map_0900#1358	今欲しいのは、街全体の電源を落としかけてばかりの従業員を一人、何とかする方法だけね。
map_0900#1359	そうすれば、あたしの人生からストレスが消えるわ。
map_0900#1360	ジュリア: え、発電所で働いてる誰かがそんなことしてんの?
map_0900#1361	ジョナサン?
map_0900#1362	絶対ジョナサンだ。
map_0900#1363	あの人、アンティークショップにいるレックウザ並みに昔から無茶するもん。
map_0900#1364	イヴ: あの……
map_0900#1365	ジョナサンじゃないわ、違うのよ……
map_0900#1366	……とにかく、さっきの停電の前に何してたか話してくれてたわよね?
map_0900#1367	ジュリア: あ、そうだった!
map_0900#1368	バッテリーの一つがほとんど空だったから、マルマインにチャージビームをちょっと使ってもらっただけよ!
map_0900#1369	そしたら何が起きたか分かんないけど、ジョナサンが何かやらかしたに違いなくて、ペリドットの半分が停電になっちゃったの!
map_0900#1370	イヴ: ああ、またマルマイン使ってるのね、そう……
map_0900#1371	忘れないで、ポケモンを近道に使っちゃだめ、いつも安全とは限らないんだから。
map_0900#1372	ジュリア: 分かってるけど、今回は大丈夫だったよ、何も問題なかったし!
map_0900#1373	タカ: 人によって変わり方が違うってことなんだろうね?
map_0900#1374	……あの二人、しばらくこの調子だろうし、また後で改めて話そうか。
map_0900#1375	イライアス: こんにちは。イヴさんで合っていますか?
map_0900#1376	そちらのお友達は……?
map_0900#1377	イライアス: ジュリア、というと……
map_0900#1378	あの電気タイプのジムリーダーのジュリアか?
map_0900#1379	あの……爆発的な性格の?
map_0900#1380	まあ、爆発の部分だけだが。
map_0900#1381	イライアス: 実に啓発的な経験でした。
map_0900#1382	これもまた、そうであると認めなければなりませんが。
map_0900#1383	仲間や知人たちの十年後の姿を見るというのは、実に興味深いことです。
map_0900#1384	ああ、それで思い出しましたが……
map_0900#1385	あの子はすごく順調にやってるわ。
map_0900#1386	イライアス: それは本当に嬉しい話ですね。
map_0900#1387	彼女に私からもよろしくと、健康を取り戻したことへのお祝いを伝えてください。
map_0900#1388	イヴ: 伝えておくわ。
map_0900#1389	あの子の健康ね……
map_0900#1390	それは素敵なことです。
map_0900#1391	イライアス: この十年で、皆が思うほど変わっていない者もいるようですね。
map_0900#1392	これは長い説教になりそうだ、後でまた彼らと話す方がよろしいかと思います、我が主。
map_0900#1393	ジュリア: また来たよ!
map_0900#1394	最初にペリドット駅で会った時、十年後にみんなここに集まるなんて誰が思った?
map_0900#1395	発電所で邪魔者じゃなくて、ちゃんとチームの一員だって実感できるの、嬉しいんだよね。
map_0900#1396	もうゲートを爆破したりもしてないし!
map_0900#1397	……まあ、少なくともわざとはね。
map_0900#1398	でもイヴはすごくよくしてくれたよ!
map_0900#1399	本当に、みんなそうだった。
map_0900#1400	リニも発電所のこと色々教えてくれたんだけど、あたしより興奮してたくらい。
map_0900#1401	でも楽しい時間だったな。
map_0900#1402	イヴ: ジュリアは一人であたしの仕事量を三倍にしたのよ。
map_0900#1403	でも本当に頑張ってくれてるわ。
map_0900#1404	ちょっと能天気なところはあるけど、何事にも全力を尽くしてくれるの。
map_0900#1405	その温かさ、ちょっとルミを思い出すのよね、旅してる間はあんまり会えないから、
map_0900#1406	だからつい、ジュリアの面倒を見たくなっちゃうのかも。
map_0900#1407	……こう言うと、あたしが年上みたいに聞こえるわね。
map_0900#1408	あたしは長いことゼロの頭の中の声として過ごしてたし。
map_0900#1409	それがもう十年前だなんて、未だに信じられない。
map_0900#1410	でも今、こうしてここにいる。
map_0900#1411	あたしは発電所を運営して、ルミは元気に世界を旅してる。
map_0900#1412	普通に聞こえるでしょ、地味なくらいに。
map_0900#1413	でもそれが、あたしたちが本当に望んでたことなの。
map_0900#1414	いい人生よ。
map_0900#1415	セラ: \PN、また会えて嬉しいわ。
map_0900#1416	それとタカ、ルナがあなたに会えたらきっと喜ぶはずよ、
map_0900#1417	まだ話してないなら、ぜひ話してみて。
map_0900#1418	タカ: あ、うん……もう話したよ、また。
map_0900#1419	ありがとう、ヴォクレイン先生。
map_0900#1420	セラ: ヴォクレイン先生?
map_0900#1421	新しい髪型でも年齢は隠せないってことね……
map_0900#1422	セラ: 数年前だったら、それで気を悪くしてたかもしれないけど……
map_0901#490	一方、当スタジオ専属のスメアギルテイルも一人で大活躍していて、いつも丁寧かつ情熱的に仕事を仕上げてくれています!
map_0901#491	クリア後で見かけるような、なめらかな伝説ポケモンのフィールドアニメーションも彼が手がけてくれました。
map_0901#492	MDEが抜けた後、もう一人アニメーターが加わりました、ヴルペスです!
map_0901#493	人見知りなタイプのようですが、経験は豊富で、手がけたアニメーションはほぼ全て最初から大当たりでした。
map_0901#494	その他、道中で手伝ってくれた人にはアゼリーとリアがいて、主にバグ修正で活躍してくれました。
map_0901#495	バグは山ほどありましたが……
