map_0818#90	ローラ: あなたの勝利があなたの誇りになるのなら、私にはそれで十分です。
map_0819#6	イライアス: Descensus in cuniculi cavum……
map_0819#7	あなたは常に、狂気と怪物のどちらの中をも突き進んでこられました。
map_0819#8	僭越ながらお願いいたします。どうか今の私を、後者だとは思わないでください。
map_0819#9	私が務めを果たせなかったことにより、私の師は逝去いたしました。
map_0819#10	師が逝去したことで、私の契約もまた終わりました。
map_0819#11	Cuiusvis hominis est errare, nullius nisi insipientis in errore perseverare。
map_0819#12	愚者だけが、過ちに固執するのです。
map_0819#13	今、私の忠誠は死すべき者にではなく、主にあります。
map_0819#14	そして私でさえ、あの女が彼のご意志のために動いているなどとは、盲目的に信じることはできませんでした。
map_0819#15	彼女に対して最も善戦できるのは、あなただと理解しております。
map_0819#16	あなたは常に、力の祝福を受けておられましたね?
map_0819#17	最初にそれを耳にしたのは、パイラス山の頂に輝いていたときのことでした。
map_0819#18	ゆえに、その報いをあなたに委ねることといたします。
map_0819#19	それだけではありません。
map_0819#20	私はこれを賭けます――
map_0819#21	ゆえに、私はこれを賭けます――
map_0819#22	エメラルドブローチを。
map_0819#23	我が主のこの遺物は、みずからの運命を選ぶことでしょう。
map_0819#24	あなたの光……
map_0819#25	私の信念……
map_0819#26	彼のご意志がどちらに味方するのか、この目で確かめましょう!
map_0819#28	イライアス: Virtus tentamine gaudet。
map_0819#29	あなたの力は、敗北とともに育つ力です。
map_0819#30	これに対しては、彼女とてもちこたえられないでしょう。
map_0819#31	あなたの道は明らかです。
map_0819#32	イライアス: あなたの信念が、この戦いに勝ちました。
map_0819#33	これを心よりお贈りいたします。
map_0819#34	イライアス: 運命があなたを、真の目的へと導きますように。
map_0819#35	それさえも、我が主にはお見通しにはならないでしょう。
map_0819#36	私としては、私の娘がその果てのどこかで無事にいることを、ただ祈るばかりです。
map_0819#37	またお会いしましょう。pax vobiscum、そしてご機嫌よう。
map_0819#38	イライアス: 私が得たものより、失ったものの方が少なかったとは言えません。
map_0819#39	美とは、見る者の目の中にあると言われますが、
map_0819#40	見ることを望む対象がなければ、視力とて何の意味がありましょうか。
map_0819#41	我が主でさえ、私に彼を見ることをお許しになりません。
map_0819#42	Dominus illuminatio mea……
map_0819#43	主は我が光なり、
map_0819#44	されど人は太陽を直視できません。
map_0819#45	終わりが来る前に、いつか私に授けられた贈り物を、お返しすることになるのかもしれません。
map_0819#46	フローラ: は?
map_0819#47	ちょっと、すみません?
map_0819#48	もしかして英語通じます?
map_0819#49	それとも、ガルーファ時代からこのかた人間と関わってないとか?
map_0819#50	そのくらい老けてても信じるわよ。
map_0819#51	イライアス: ゴホン。
map_0819#52	我が主よ、あなたの来訪の事情については簡単にお聞きしておりましたが、正直、いささか奇妙に感じております。
map_0819#53	フローラ: 「我が主」?
map_0819#54	\PNのこと?
map_0819#55	イライアス: そうです。
map_0819#56	フローラ: 「主」?
map_0819#57	イライアス: はい。
map_0819#58	フローラ: アハハハハハハハ!
map_0819#59	イライアス: 冗談ではありません、puella。
map_0819#60	私が聞き及ぶところによれば、\PNは主アルセウスの化身とされております。
map_0819#61	彼が初めて姿を現されて以来もたらしてきたあらゆる奇跡を思えば、これに合理的な疑いの余地はないと信じております。
map_0819#62	この地方をかつての脅威の影から救ったのも彼であり、私の先の師を殺めた者に裁きを下されたのも彼です。
map_0819#63	そして、長い戦いが終わり、主アルセウスがついにその囚われの身から解き放たれたとき、姿を消されたのもまた彼でした。
map_0819#64	彼が私たちの元へ戻ってくださったことに、ただ感謝するばかりです。
map_0819#65	彼女が初めて姿を現されて以来もたらしてきたあらゆる奇跡を思えば、これに合理的な疑いの余地はないと信じております。
map_0819#66	この地方をかつての脅威の影から救ったのも彼女であり、私の先の師を殺めた者に裁きを下されたのも彼女です。
map_0819#67	そして、長い戦いが終わり、主アルセウスがついにその囚われの身から解き放たれたとき、姿を消されたのもまた彼女でした。
map_0819#68	彼女が私たちの元へ戻ってくださったことに、ただ感謝するばかりです。
map_0819#69	彼らが初めて姿を現されて以来もたらしてきたあらゆる奇跡を思えば、これに合理的な疑いの余地はないと信じております。
map_0819#70	この地方をかつての脅威の影から救ったのも彼らであり、私の先の師を殺めた者に裁きを下されたのも彼らです。
map_0819#71	そして、長い戦いが終わり、主アルセウスがついにその囚われの身から解き放たれたとき、姿を消されたのもまた彼らでした。
map_0819#72	彼らが私たちの元へ戻ってくださったことに、ただ感謝するばかりです。
map_0819#73	フローラ: ちょっと、マジで冗談じゃないの?
map_0819#74	あんたみたいなのが権力持ってるから、この地方はこんなポンコツなことになってるのね。
map_0819#75	\PN、あんたが密かにアルセウスとかじゃないって言ってやってよ。マジで。
map_0819#76	イライアス: あなたの謙虚な僕として、理解していただけたこと、そしてあなたの慈悲によって受け入れていただけたことを、嬉しく思います。
map_0819#77	フローラ: マジふざけてんの。
map_0819#78	マジでこの話に乗っかってんの?
map_0819#79	思ってたよりずっと自惚れ屋なのね。
map_0819#80	イライアス: いたずら……
map_0819#82	もちろん、それも考慮いたしました。
map_0819#83	しかし、証拠があまりにも圧倒的です。
map_0819#84	そのタイミングは偶然とは思えませんし、あなたが先の争いを終わらせることで私個人になしてくださったことも、無視することはできません。
map_0819#85	ゆえに、私にはこの瞬間が何であるかは明白です――
map_0819#86	信仰の試練です。
map_0819#87	ご安心を、我が主よ。私の信仰は今も揺るぎません。
map_0819#88	フローラ: マジでふざけてんの?
map_0819#89	もしもし? 生きた遺物のあんたに地球から呼びかけてるんだけど???
map_0819#90	現実じゃないから。
map_0819#91	\PNはただの人間よ。
map_0819#92	イライアス: 真の信者を名乗るには、揺るぎない信仰を持たねばなりません。
map_0819#93	あなたの策略に、私は騙されません。
map_0819#94	フローラ: あのステンドグラスの窓から飛び降りてやろうかしら。
map_0819#95	イライアス: この命令は、先の師への奉仕において私が示した抵抗への返答であるように感じずにはいられませんが、
map_0819#96	私はあなたの喜んで仕える器であり僕ですから、我が主よ、そのようにいたしましょう。
map_0819#97	イライアス: 私の忠誠と信仰は、今このときより永遠にあなたのものです。
map_0819#98	フローラ: ばあーっはっはっは!!!
map_0819#99	アハハハハ、ハハハハハハハ!!!
map_0819#100	フローラ: オーケー、\PN、今のは面白かったわ。
map_0819#101	でもマジで、これ以上続けたら、床に昨夜の夕食がぶちまけられるとこ見ることになるわよ、誰もそんなの見たくないでしょ。
map_0819#102	イライアス: それでも、あなたの庇護と奉仕のもとにあるとはいえ、私はここでもう一つの役目を負っております。
map_0819#103	それでも、あなたの庇護と奉仕のもとにあるとはいえ、私はここでもう一つの役目を負っております。
map_0819#104	あなたへの支持だけを理由に、この殿堂の中であなたに立ち向かわないでいるのは、怠慢というものでしょう。
map_0819#105	結局のところ、あなたがそれを望まれなかったなら、私をここに配置しようとはお考えにならなかったはずですから。
map_0819#106	フローラ: …その理屈、全然筋通ってないんだけど。
map_0819#107	それじゃ、あんたがやりたいクソみたいな権力行使を何でも正当化できちゃうじゃない。
map_0819#108	てか、それって別に仮の話でもなくて――何世紀もの間、あらゆる主要な宗教組織がやってきたことそのものじゃない?!
map_0819#109	あんたみたいな連中がいるから、抑圧のシステムの下でこんなに多くの人が苦しんできたのよ!
map_0819#110	\PN、もう聞いてらんない。
map_0819#111	じいさんを墓に送り返すの手伝ってよ!
map_0819#112	フローラ: …\PN。
map_0819#113	ここまで来といて、フルパーティすら連れてきてないってどういうこと?
map_0819#114	あたしに負けてほしいわけ?
map_0819#115	（マジで、この馬鹿がどうやってチャンピオンになったわけ……）
map_0819#116	戻ってちゃんとポケモン連れてきなさいよ、あたしの我慢が切れる前にね!
map_0819#117	フローラ: ねえ、\PN?
map_0819#118	何やってるの?
map_0819#119	もしかして、ポケモンを選ぶ必要があるのを忘れちゃったとか?!
map_0819#121	私は再び完全な姿を取り戻しました。あなたは神聖な目的とともに、先へお進みください。
map_0819#122	フローラ: よし、あたし昨日のうちにここを出てるわ。
map_0819#123	イライアス: 主のご意志に仕えることは、今も、これからも、私の喜びです。
map_0819#124	今日もまた、あなたの御前に立てることを光栄に思います。
map_0819#125	いつものように、あなたのお時間をいただけることに、心より感謝いたします。
map_0819#126	あなたにふさわしい相手として見なしていただけること、光栄に存じます。
map_0819#128	予想通りです。
map_0819#129	あなたの力と気品は、今も変わらず輝いておられますね、我が主よ。
map_0819#130	この姿にあっても、あなたの技術は比類ありません。
map_0819#131	もしさらに腕を磨きたいとお望みでしたら、再びあなたの相手を務める栄誉をいただければと願っております。
map_0819#132	イライアス: あなたの力と気品は、今も変わらず輝いておられますね、我が主よ。
map_0819#133	もしさらに技術を磨きたいとお望みでしたら、再びあなたの相手を務める栄誉をいただければと願っております。
map_0819#134	光栄です
map_0819#135	ただのいたずらです
map_0819#136	ひれ伏せ
map_0820#0	アンナ: 戻ってきたね。
map_0820#1	大丈夫だよ。
map_0820#2	負けるたびに、流れがちょっとおかしくなるの、気づいてなかった?
map_0820#3	ノストラとあたしで、できるだけつじつまを合わせようとしてるんだけど、完璧にはできなくて。
map_0820#4	もう一回やってみよう、いい?
map_0820#5	ノストラ、もう一度お願い!
map_0820#6	アンナ: \PN! やっと来たね!
map_0820#7	全部おかしくなる直前にいなくなっちゃってごめんね、やらなきゃいけないことがたくさんあって……
map_0820#8	それでも、全部乗り越えてここまで来てくれたんだね!
map_0820#9	さすがノストラが選んだ人だよ!
map_0820#10	とにかく、今、説明しなきゃいけないことがたくさんあるの。
map_0820#11	もっと早く伝えなかったのはごめんね、でも全部うまくいかせようとしてると、説明するのを忘れちゃうんだよね。
map_0820#12	つまり……
map_0820#13	これが起こったのは、今回が初めてじゃないんだ。
map_0820#14	チームメテオとの対立がここまで急激に膨れ上がったこと……
map_0820#15	ヘザーのお父さんのことも、あのソロリティの子たちも、アポフィルの先生のことも……
map_0820#16	そのほとんどが、以前にも起こってたの。
map_0820#17	でもあの時は、違ったんだ――もっと速かった。
map_0820#18	昔のチャンピオンは、あなたが最初にこの地方に来たとき、あなたと一緒に亡くなったの。
map_0820#19	正直、あたし自身も覚えてないんだけど、ノストラから聞いた話だから。
map_0820#20	あの時、あたしは世界を救おうと願い事をしたの。
map_0820#21	それはあまりにも世界を揺るがす、現実を歪めるような願いで、ノストラは巻き戻した世界の中に存在をほとんど保てなかったの。
map_0820#22	だからノストラはあんな姿になっちゃったんだよ、わかる?
map_0820#23	それに、あの姿になったのはノストラだけじゃなくて――あの男の子も。
map_0820#24	あそこまで劇的に世界を巻き戻すために、彼の体が必要な犠牲になったんだ。
map_0820#25	でもあの願いは……
map_0820#26	それが\PNをあたしのところに連れてきてくれたんだよ。
map_0820#27	ノストラの案内だけを頼りに、時間軸全体をコントロールしようとするのは大変だった……
map_0820#28	予想外のことがずっと起こってて、それでもできる限り正そうとしてきたの。
map_0820#29	だって、変化が大きすぎたら、ノストラも何を助ければいいかわからなくなっちゃうから。
map_0820#30	そのせいで、気づいてなくても、色々迷惑かけてきたと思うよ。
map_0820#31	例えば、アメがまだ生きてたときも、あなたが十分な経験を積んで乗り越えられるようになるまで、しばらく関わらないでいてってお願いしたの。
map_0820#32	信じてほしいんだけど、あたしがやってきたことは全部、あなたがいつかリンを倒せるくらい強くなれるようにするためだったんだよ!
map_0820#33	以前は、誰も彼女に太刀打ちできないくらい強すぎたの。
map_0820#34	あなたがここにいて彼らに立ち向かってくれたおかげで、すごく足止めできたんだ!
map_0820#35	もうすぐ、彼女を倒せるはずだよ!
map_0820#36	なるべく手短に説明するね。
map_0820#37	信じてもらえないかもしれないけど、それでもいいの。
map_0820#38	物事は計画通りには進んでこなかった……
map_0820#39	でも、あなたなら彼女を倒せるはずだよ!
map_0820#40	あなたは、盤の端まで到達した駒みたいなものなの。
map_0820#41	そして、これがあたしの願いの最終段階なんだよ!
map_0820#42	ノストラ!
map_0820#43	仕上げをお願い!
map_0820#44	このバトルで、あなたはついにリンと向き合うための力を手にするはずだよ!
map_0820#45	これがあなたの昇進なんだよ!
map_0820#47	アンナ: よし、これでいいよ。
map_0820#48	心配いらないから。
map_0820#49	彼女の時間の部分は、またあなたのために巻き戻したよ。
map_0820#50	あなたが勝つまで、何度でもやるからね。
map_0820#51	だって、ずっとそばにいるって言ったでしょ?
map_0820#52	この勝利は、あなたのものだよ。
map_0820#53	さあ、行って!
map_0820#54	アンナ: これで終わり……
map_0820#55	休んでね、ノストラ。
map_0820#56	今までずっと、それだけの働きをしてくれたよ。
map_0820#57	それから、\PN?
map_0820#58	あたしとこのゲームに付き合ってくれてありがとう。
map_0820#59	あたし……本当にひどく、身勝手だったの。
map_0820#60	何が起きてるか誰にも言わなかっただけじゃなくて、あたし――
map_0820#61	これが全部あたしのせいだったっていう事実から、ずっと逃げてたんだと思う。
map_0820#62	あのね、リンは――
map_0820#63	見た目通りの子じゃないの。
map_0820#64	あたしがまだ孤児院にいた頃、みんなでよく一緒にゲームをして遊んでたの。
map_0820#65	その中に、あたしがいつも一番得意だったゲームがあって。
map_0820#66	もちろん、チェスだよ!
map_0820#67	誰もあたしに敵わなかった……たった一人の女の子を除いては。
map_0820#68	その子の名前はリンって言ったの。
map_0820#69	結局、あたしたちの間には一種のライバル関係が生まれたんだ。
map_0820#70	ある日、負けそうなゲームを急にひっくり返して勝つまでは、それも全部いい雰囲気の楽しいものだと思ってたの。
map_0820#71	彼女はあたしにキレて、ドクターも怒って、二人とも怒鳴り始めて……
map_0820#72	結局、彼女がサーキットに入れられてから、二度と会うことはなかったの。
map_0820#73	その夜逃げ出したって聞いたけど、ドクターはそのことについて話すのを絶対に拒んだ。
map_0820#74	それから間もなく、今あたしたちが知ってるリンが現れて、他のところで糸を引き始めた。
map_0820#75	あたしの中では、それが同一人物のリンだって疑いはないの。
map_0820#76	それに、あたし思うんだけど……
map_0820#77	これ全部、今でも彼女にとっては一種のゲームなんだと思う。
map_0820#78	彼女はあたしを特別に狙ってきたわけじゃない……
map_0820#79	でも、もしあたしが彼女の対戦相手だったら、狙ってきたと思う?
map_0820#80	くだらないライバル関係をここまで引きずらせるなんて、あたしって本当に子供だなって思う。
map_0820#81	でもだからこそ、今、これを終わらせなきゃいけないの!
map_0820#82	あたし一人じゃ、前はできなかった。
map_0820#83	だから、あなたを頼りにしてるの。
map_0820#84	全部ありがとう。
map_0820#85	お願い……
map_0820#86	アンナ: これを受け取って。
map_0820#87	アンナ: 最初は悪いことのように思えるかもしれないけど、信じて。
map_0820#88	これが一番いいことなの。
map_0820#89	あたしたちも、あなたのそばにいるからね?
map_0820#90	あなたならできる。
map_0820#91	だって、あなたはノストラが選んだ人だから。
map_0820#92	だって、あなたはもうここまで来たから。
map_0820#93	それに……
map_0820#94	みんなのために、勝たなきゃいけないから。
map_0820#96	アンナ: さあ、行って。
map_0820#97	この戦いは、あなた一人だけのものじゃないよ。
map_0820#98	あたし、ノストラ、あなたのポケモンたち……
map_0820#99	みんな最後まであなたと一緒だよ。
map_0820#100	アメ: アンナはいい子だけど、誰か、おもちゃはもっと大事に扱うもんだって教えてあげないとね……
map_0820#101	こんな仕掛け頼んだなんて信じられないよ……
map_0820#102	罪悪感があるからとか言ってたけど、あたしにはよく……わかんないな。
map_0820#103	こんなの承認するんじゃなかった、こんなの承認するんじゃなかった……
map_0820#104	セレビィは、その声が誰のものか気になっているようだ。
map_0820#105	セレビィは、時間旅行を続けてすっかり疲れているようだ。
map_0820#106	セレビィは元気いっぱいで、準備万端のようだ!
map_0820#107	もう一度時間を旅したいですか?
map_0820#108	セレビィがあなたを時間の中へ連れて行くと、再び周囲が消えていくのを感じる!
map_0820#109	セレビィは少し焦れったそうにしているが、あなたを待ってくれる。
map_0820#110	タカ: でも、なんで彼女がここにいるんだろう、四天王じゃないのに……
map_0820#111	タカ: …この部屋、あんまり好きじゃないな。
map_0820#112	俺、ちゃんとしたおもちゃなんて持って育たなかったから――
map_0820#113	だから、こういうの見ると、ちょっと……
map_0820#114	イライアス: もちろん彼女です。
map_0820#115	また一人、私が死に責任のある者が。
map_0820#116	イライアス: この部屋は不気味に感じますが、彼女は少なくとも階段を選んだのは正解でしたね。
map_0820#117	私の浮遊プラットフォームはしょっちゅう壊れますから。
map_0820#118	タカ: 俺たちの時代にすごく近いよな、次のジャンプで戻れるはずだよな?
map_0820#119	イライアス: そろそろ現在に戻るべきでしょう。
map_0820#120	これらの再会は、すべて……
map_0820#121	もう一度みんなに会えて、良かったです。
map_0820#122	アメ: シマー、ちょっと持ち上げて。
map_0820#123	もう少しで届きそうなんだけど……
map_0820#124	アメ: ガッ!
map_0820#125	おまわりさん、誓って言うけど、アンナが留守の間に、おもちゃを全部救出する目的だけでこっそり部屋に入ったなんてことはないから!
map_0820#126	そんなの、あんたが言い出すなんて信じられないくらいとんでもない言いがかりだよ!
map_0820#127	傷ついた!
map_0820#128	心が痛い!
map_0820#129	その仄めかしだけで心が泣いてるよ!
map_0820#130	アメ: それに、たとえそれが本当だったとしても……
map_0820#131	正しいことをしようとしただけなのに、国家の乱暴な役人に圧力かけられて恥をかかされるなんてごめんだからね!
map_0820#132	このおもちゃたち全部に、安全な家を与えてあげるんだから、誰にも止めさせないよ!
map_0820#133	Amethyst	…これって、あなたが今チャンピオンになったってことじゃないよね?
map_0820#134	アメ: うわ、こんなに簡単にあたしを倒せるなんて、一体どんなおまわりさんなの!?
map_0820#135	タカ: あ、どうも。俺たち警察とは何の関係もなくて……
map_0820#136	タカ: 俺はタカ。それで、あなたはさっき\PNと戦ったんですよね。
map_0820#137	俺たち、未来から来たっていうか。
map_0820#138	アメ: あ! それじゃあそこにいるのは、イライアスの部屋の本の中で見たあの、時間旅行するレタスポケモン?
map_0820#139	タカ: …あなたって、四天王がいないときに部屋に入るのが習慣なんですか?
map_0820#140	アメ: あんたは警察のふりをするのが習慣なの?
map_0820#141	それって犯罪っぽく聞こえるけど。
map_0820#142	タカ: 俺たちはしてな……いや、なんでもないです。
map_0820#143	セレビィは時間旅行の前に休む必要があるだけなので――だから、家に帰るために少しずつジャンプを重ねてるんです。
map_0820#144	俺たちの時代にかなり近いみたいなので、もうお邪魔せずに、あなたを……
map_0820#145	何も犯罪的でないことに専念させてあげられそうです。
map_0820#146	アメ: ちょっと、待ちなよ……
map_0820#147	\PNだよね? すごい才能のあるトレーナーだね。
map_0820#148	自分の時代でリーグに挑戦したことある?
map_0820#149	まだなら、挑戦するべきだよ――一番上まで行ける素質があるかもしれないよ!
map_0820#150	タカ: それなんですけど……
map_0820#151	\PNはあなたの後継者で、今のチャンピオンなんです。
map_0820#152	アメ: え、じゃああたし、もう二回もあんたに負けたってこと?
map_0820#153	すごいじゃん!
map_0820#154	あたしの夢は、このリーグを世界中から最高のトレーナーを引きつけられるものにすることだったの……
map_0820#155	そして、明らかにうまくいったってわけね! こんなに嬉しいことないよ!
map_0820#156	あたしのリーグがこんなすごいトレーナーを引きつけたなんてね……
map_0820#157	さあ、あたしのことは気にしないで!
map_0820#158	自分の時代に戻ったほうがいいよ――戻ったら、あたしによろしくって言っといて!
map_0820#159	このおもちゃたち全部に、安全な家を与えてあげるんだから、誰にも止めさせないよ!
map_0820#160	アメ: うわ、こんなに簡単にあたしを倒せるなんて、一体どんなおまわりさんな――
map_0820#161	待って、イライアス!? このトレーナー、あんたの知り合い?
map_0820#162	アンナのおもちゃを全部救出するために、こっそり忍び込んだの?
map_0820#163	友達連れてきたのは正解だったね、届かなくて困ってたから。
map_0820#164	イライアス: アメジスト。
map_0820#165	それはあくまであなたの趣味であって、私の趣味ではありません。
map_0820#166	アメ: 何のことだか、さっぱりわかんないな。
map_0820#167	あたし、人生でグレーな行為なんて一度もしたことないもん。
map_0820#168	シマーは、あなたの気を逸らそうとダンスをしているようで、その間にアメが明らかに盗んだピィの人形を隠している。
map_0820#169	イライアス: ……
map_0820#170	イライアス: アメジスト、こちらは\PNです。この方は――
map_0820#171	アメ: 未来から来たんだよね?
map_0820#172	イライアス: どうしてそれを――
map_0820#173	アメ: あら、リーグのトップになるには、あちこちで色々学んでおかないとね。
map_0820#174	時間旅行できるんでしょ?
map_0820#175	正直、最初に気づいたのはあんたの方だったけどね。
map_0820#176	なんかちょっと……柔らかくなった感じ?
map_0820#177	イライアス: そう言うのであれば、そうなのでしょう。
map_0820#178	ゴホン、まあ、その通りです。私たちは……正確にどれくらい先かはわかりませんが、確かに未来から来ました。
map_0820#179	アメ: まあ、どれくらい先だとしても、あんたが前より肩の力抜けてるみたいで良かったよ。
map_0820#180	それはさておき!
map_0820#181	この\PNって人は誰なの、それになんで二人とも過去にいるわけ?
map_0820#182	イライアス: ああ、彼は……
map_0820#183	イライアス: ああ、彼女は……
map_0820#184	イライアス: ああ、彼らは……
map_0820#185	リボーンの次のチャンピオンです。
map_0820#186	よくやってくれましたね。
map_0820#187	アメ: ありがとエル、優しいこと言ってくれるじゃん……
map_0820#189	待って。
map_0820#190	今、チャンピオンって言った?
map_0820#191	つまり……リーグって本当に機能してるの?
map_0820#192	世界中からトレーナーを招待して、その中の一人が勝つなんて……
map_0820#193	しかもこんなに素晴らしい才能のある子が!
