map_0734#206	最初から眠らせておけばよかっただけの話だ。
map_0734#304	くそ、ウルガモス! さっさと行け!
map_0734#305	ルナ: 授業に遅れて教室に入った経験がおありなら、あの感覚がお分かりでしょう。
map_0734#306	みなが振り向き、目をそらさずに見つめる、
map_0734#307	あなたは、誰も考えなかったであろう千の言葉を思い浮かべながら、それでも同じ思いを感じている。
map_0734#308	その瞬間、あなたは空にただひとつ輝く星となる。
map_0734#309	そして、みなは眠ろうとしている。
map_0734#310	期待と不安は、思いがけないお茶会の常連客のようなもの、
map_0734#311	砂糖が手つかずのまま置かれる間も、太陽はあまりにもゆっくりと沈んでいく。
map_0734#312	どれだけ待っても早すぎることはなく、やがて彼らは自分の道を歩み出す時を迎える。
map_0734#313	夜には家路につき、妻のもとへ、子供たちのもとへ、
map_0734#314	疲れ果てていく子供たち、
map_0734#315	眠ったまま育っていく子供たち。
map_0734#316	それでも、あなたは彼らの目をこじ開けなければならない。
map_0734#317	どの子供の人生にも、ティースプーンを置かねばならない時が訪れる、
map_0734#318	布の端をつまみ、
map_0734#319	テーブルクロスを一気に引き抜く時が。
map_0734#320	もう十分、
map_0734#321	彼女はそう言って、
map_0734#322	消えゆく光のあとを追う。
map_0734#323	道がひとつしかないなら、進む道もまたひとつしかない。
map_0734#324	そして、闇の中でその道すら見えなくなった時、
map_0734#325	その時、あなたは自由になる。
map_0734#326	さあ、わたしも自分自身の無限を追いかける時が来た。
map_0734#327	さようなら、お母様。
map_0734#328	さようなら、お父様。
map_0734#329	まるで夢のような時間だった。
map_0735#0	イライアス: 信じられない……
map_0735#1	こんな時に、また会うことになるとはな。
map_0735#2	イライアス?: お前は……お前自身なのか、\PN?
map_0735#3	どうか、驚かないでくれ。
map_0735#4	私だ、それだけのことだ。
map_0735#5	お前が戻ってくるには、いささか不運な顔だということは分かっている……
map_0735#6	だから、失礼するよ。
map_0735#7	ラドマス: こちらの姿の方が、まだ思い出しやすいだろう。
map_0735#8	よければ、先ほどの姿のことは気にしないでくれ。
map_0735#9	あれは、まあ言うなれば、私の秘教的な帽子のひとつでな。
map_0735#10	いずれ説明できるかもしれないが、今はひとまず……
map_0735#11	ラドマス: ヴォクラン嬢、見えたかい?
map_0735#12	すべてが失われたわけではなかった。
map_0735#13	完全には、な。
map_0735#14	セラ: ……
map_0735#15	ええ……見えるわ……
map_0735#16	でも、失われすぎたものもある。
map_0735#17	ラドマス: 実のところ、私たちはあまりうまくいっていなくてね。
map_0735#18	これは、ある程度の応急処置が必要だな。
map_0735#19	ラドマス: ナース・ラドジョーイが力になろう。
map_0735#20	医療資格があるとは約束できないが、できる限り力になることは約束しよう。
map_0735#21	セラ: 男のジョーイさん?
map_0735#22	そんなの聞いたことないわ。
map_0735#23	ラドマス: いいかい、我が愛しの人、医療業界にはここでは差別などないのだよ。
map_0735#24	それに、発明される前は誰も聞いたことがないものなのさ、
map_0735#25	だから、新しい発展をそう急いで切り捨てないようにしようじゃないか。
map_0735#26	セラ: その新しい発展とやらは、勝手に自滅していったけど。
map_0735#27	分かっていたはずなのに。
map_0735#28	結局、物事はこうなるようにできてる……
map_0735#29	ラドマス: そう信じる方が心穏やかでいられるのなら、そう信じるのも自由だ。
map_0735#30	だが、そうではないだろうと思うがね。
map_0735#31	セラ: もちろん、違うわよ。
map_0735#32	いつか必ずすべてを失うと分かっていて、幸せでいられる人なんていない。
map_0735#33	少なくとも、こうしていれば傷つかずに済むもの。
map_0735#34	ラドマス: いや、それでも同じように傷ついているのだよ。
map_0735#35	ただ、その痛みを後回しにするか、今引き受けるかの違いにすぎない。
map_0735#36	しかも、その「後」がいつ、どこで訪れるかの保証もない以上、その間ずっと、恐ろしく多くの傷を抱えたまま過ごすことになる。
map_0735#37	それが本当に見合うことなのか、私には疑問だがね。
map_0735#38	セラ: あなたはどうなの?
map_0735#39	彼女を失ったこと、悲しくないの?
map_0735#40	二人ともよ?!
map_0735#41	ラドマス: もちろん、悲しいとも。
map_0735#42	だが、良くも悪くも、私は「彼女」を失うことにかけては、もはや古参なのでね。
map_0735#43	ある人に言わせれば、私はいくつもの「その間」を、恐ろしく多くの傷を抱えて過ごしてきたことになる。
map_0735#44	また別の人に言わせれば、人はしばしば、自分自身が聞くべき助言を、他人に語ってしまうものだ。
map_0735#45	そしてまた別の人に言わせれば、まだ手元に残っている者たちに目を向ける方がいい、ということになる。
map_0735#46	たとえば……
map_0735#47	あの子を救ったのは、なかなか英雄的だったな。
map_0735#48	その哀れみは、お前の勝利には似合わないよ。
map_0735#49	セラ: 何が「勝利」よ?
map_0735#50	誰も止められなかった……
map_0735#51	誰ひとりとして……
map_0735#52	壊れたものは直らない。
map_0735#53	明らかに、取り替えることもできない。
map_0735#54	後戻りなんてできないの。
map_0735#55	ラドマス: それでも、\PNはここに来た。
map_0735#56	また別の誰かが来ないとも限らないだろう?
map_0735#57	だが、新たに来てくれた者に失礼をしているようだ。
map_0735#58	\PNは、もうすっかり混乱していることだろう。
map_0735#59	説明しよう。
map_0735#60	ルナから連絡があったと聞く前、私はあちこちを回っていた。
map_0735#61	「友人」がこの場所に呼び出したのだと、彼女は言っていた。
map_0735#62	興味深く思ってね、付き添いを申し出たのだよ。
map_0735#63	そうして、私たちはここに来ることになった……
map_0735#64	ラドマス: ……そして、今ここにいるというわけだ。
map_0735#65	シェイドが一体どんな手段や狂気で、お前をこの世界に引き戻したのかは分からないが、
map_0735#66	どうやらお前には、まだ終えることを許されていない用事があるようだな。
map_0735#67	差し支えなければ聞きたいのだが、お前の方はどうやって戻ってこられたのかな?
map_0735#69	ルナ自身が道を示してくれたのか?
map_0735#70	セラ: ルナが?
map_0735#71	セラ: それなら……
map_0735#72	ラドマス: どうやら、まだ私たちの理解を超えた奇跡というものがあるようだな。
map_0735#73	それでも、その傷を抱えたままでいるつもりかな、ヴォクラン嬢?
map_0735#74	セラ: もう何を頼りにすればいいのか、分からないわ。
map_0735#75	多分、何も。
map_0735#76	ラドマス: それでこそだ。
map_0735#77	いつか彼女が戻ってくると、勝手に望んでおくとしよう。
map_0735#78	何しろ、次にドアから誰がふらりと入ってくるかなんて、誰にも分からないのだからな。
map_0735#79	みな、いつだって来ては去り、
map_0735#80	……そして、すぐにまた戻ってくる。
map_0735#81	アンナ: \PN、帰ってこれたんだね~
map_0735#82	ノストラのこと疑ってたわけじゃないけどね!
map_0735#83	セラ: この子たち、どこから来たの?
map_0735#84	アンナ: うっそ!
map_0735#85	大丈夫?! 何があったの?!
map_0735#86	セラ: え……何?
map_0735#87	アンナ: その肌のあちこちにあるひび――助けが必要?!
map_0735#88	セラ: わたしの……肌に?
map_0735#89	また、しわが増えたのかしら……
map_0735#90	アンナ: しわじゃなくて! ひびだってば!
map_0735#91	アンナ: ほら、ここも、ここも、ここも――
map_0735#92	セラ: わたしには……見えないけど?
map_0735#93	ノエル: 気にしないでください。
map_0735#94	この子はいつも、他の人には見えないものが見えるんです。
map_0735#95	セラ: それ、大丈夫なやつなの?
map_0735#96	アンナ: いつもってわけじゃないもん! もう!
map_0735#97	セラ: でも本当に、ここで何をしているの?
map_0735#98	子供が来るような場所じゃないでしょう。
map_0735#99	アンナ: ちがうもん!
map_0735#100	子供が来る場所じゃないなら、なんでわたしたちがここにいるのさ?
map_0735#101	セラ: それを聞いてるんだけど……
map_0735#102	ノエル: 僕たちは、彼に会いに来たんです。
map_0735#103	アンナ: そう! ノストラがわたしたちを眠らせてくれたの、可哀想なスリーパーにやられないように!
map_0735#104	それで、彼に会いに来たんだよ!
map_0735#105	アンナ: こんにちは! かわいい帽子!
map_0735#106	アンナ: 泣いてたの?
map_0735#107	ラドマス: ……
map_0735#108	もう、泣いていないよ。
map_0735#109	本当に、あの人にそっくりだ。
map_0735#110	こっちにおいで。
map_0735#111	セラ: 待って、まさか、あなたたち――
map_0735#112	この子たちは――
map_0735#113	アンナ: え、みんな分かってたことじゃん!
map_0735#114	セラ: ……いえ、今会ったばかりのわたしに、それが分かるはずないと思うけど。
map_0735#115	アンナ: 長いこと待たせてごめんね!
map_0735#116	ラドマス: いいんだ、本当に、まったく構わない。
map_0735#117	また会えただけで、私は嬉しいのだから……
map_0735#118	二人とも、こんなに大きくなって。
map_0735#119	最後に見た時は、まだこーんなに小さかったのに!
map_0735#120	それに、誰かを待たせて申し訳なく思うべきだとしたら、それは私の方だ。
map_0735#121	お前たちは、もっと多くを与えられるべきだったのだから。
map_0735#122	アンナ: 大丈夫! ノストラが言うには、こうなることしかありえなかったんだって。
map_0735#123	ラドマス: その感覚は、よく分かるよ。
map_0735#124	それを、まだ持っていてくれたんだね。
map_0735#125	ほっとしたよ。
map_0735#126	アンナ: 当然でしょ! パパがくれたもの、自分から手放したりしないもん!
map_0735#127	ラドマス: そのピィもか。
map_0735#128	アンナ: この子の名前はノモスだよ!
map_0735#129	ラドマス: ノモス。こんにちは、はじめまして。
map_0735#130	ノエル: ……「こんにちは」って言ってます。
map_0735#131	アンナ: ノエル、ノモスの言ったこと、最初の部分だけじゃなくて全部教えてあげてよ!
map_0735#132	ラドマス: ノエル、と言ったね?
map_0735#133	それに、聞き間違いでなければ、お前はアンナと名乗っているのだったな。
map_0735#134	アンナ: そう、それがわたしたち!
map_0735#135	ノエル: それくらい、もう知っているはずでは?
map_0735#136	ラドマス: それは、お前たちの母が選んだ名前ではないのだよ。
map_0735#137	ペインター。
map_0735#138	ファンタジア。
map_0735#139	アンナ: それ、すっごくかっこいい名前じゃん!
map_0735#140	ラドマス: あの人には、そういうセンスがあったのだよ。
map_0735#141	だが、お前たちを手放さねばならなかった時、私はわざとその名を伏せた。彼らに見つけられる手掛かりを残さないためにな。
map_0735#142	ノエル: 「彼ら」って、誰のことですか?
map_0735#143	ラドマス: チームメテオだ。
map_0735#144	アンナ: なんでチームメテオがパパを狙ってたのか、教えてくれる?
map_0735#145	ラドマス: 簡単な話ではないが……できる限り分かりやすく話そう。
map_0735#146	過ちとは、学ばれるのを待っている教訓であり、
map_0735#147	そういう意味では、私はずいぶんと徹底的に教育を受けてきた方だと言えるかもしれない。
map_0735#148	そうした教訓のひとつの中で、ある人物のおかげで、特定の品があの組織の手に渡れば非常に危険だと理解するに至った。
map_0735#149	だから私は、やらねばならないことをやった――その品々を、盗み出したのだよ。
map_0735#150	その出所を隠すため、親しい友人に頼んで、それぞれを宝飾品に仕立て直してもらった。
map_0735#151	当時、彼は宝飾に情熱を注いでいたが、あの鍵の秘めるエネルギーには備えができておらず、そのうちのひとつを真っ二つに割ってしまった。
map_0735#152	それでも彼はそれを修復し、他のものも見事な出来栄えに仕上げてくれた。だから、感謝の印として、完成品のひとつを彼に贈った。
map_0735#153	そして残りについては、買い手を探し求めた。
map_0735#154	特に、メテオが取り戻そうとした場合にも、その品をしっかり守り抜ける強いトレーナーを探した。
map_0735#155	最初はキャロラインとモンティだった。
map_0735#156	ジムリーダーが二人揃っていれば、安全だと確信していた。
map_0735#157	二人は、長女の名にちなんで、サファイアの鍵を選んだ。
map_0735#158	次はモリナー氏だ。
map_0735#159	彼は、婚約のために指輪を選んだ。
map_0735#160	そして最後のひとつは、私に光を見せてくれた、あの美しい人に託した。
map_0735#161	それが、お前たちの母だ。
map_0735#162	そうして私は、新しい名と、新しい人格と、新しい経歴で、自分自身を作り直した。
map_0735#163	\PN、お前を欺いていたことを、どうか許してほしい。
map_0735#164	私の財産は、チェスプレイヤーとしての成功から得たものでは、一度たりともなかった。
map_0735#165	あの鍵の売却と、メテオの金庫からいくらか多めにいただいた分から得たものだ。
map_0735#166	私はずっと、城で暮らすというお前たちの母の夢を叶えたいと願っていた。
map_0735#167	アンナ: それ、すっごくかっこいい!
map_0735#168	ラドマス: 窃盗を正当化するつもりはないが、あの金の使い道としては、彼らが見つけたであろうものよりは、ましだったと言わせてもらおう。
map_0735#169	そして、しばらくの間、彼女は幸せだった。
map_0735#170	すべてが幸せに終わると、私は思っていた、
map_0735#171	だが結局、「末永く幸せに暮らしました」というのは、単に次の物語がまだ始まっていないというだけのことだったのだ。
map_0735#172	チームメテオは、私のしたこと、私の正体、そして鍵の在り処を知った。
map_0735#173	そうして、すべてが新たに始まった。
map_0735#174	お前たちの母は、歩く奇跡のような人だった。
map_0735#175	だが、良くも悪くも、人はしばしば自分の奇跡よりも長く生きてしまうものだ。
map_0735#176	彼女が姿を消したあと、私は何よりも、お前たち二人の安全を恐れていた。
map_0735#177	ずっと昔のことだが、あの時私がしたことは、彼らをひどく怒らせるものだった。
map_0735#178	お前たちに危害が及ぶことなど望んでいなかったから、彼らと関わらせないようにしなければならなかった。
map_0735#179	そして、その結果がこれだ。
map_0735#180	アンナ: いいんだよ、パパが精一杯やってたって、わたし知ってるもん!
map_0735#181	ラドマス: それが正しかったかどうかはともかく。
map_0735#182	さあ。
map_0735#183	これは、お前が取り戻すべきものだ。
map_0735#184	ラドマスはアンナにアメジストのペンダントを渡した!
map_0735#185	アンナ: パパが持ってたの?!
map_0735#186	取られちゃった時、すっごく悲しかったんだから!
map_0735#187	悲しすぎて具合悪くなって、悲しさで死にそうになったくらい!
map_0735#188	ノエル: どうして、彼女にあげたんですか?
map_0735#189	ラドマス: あまり良い判断ではなかったかもしれないな。
map_0735#190	お前たち二人と一緒にあれば、チームメテオに見つからずに済むと願っていたのだが、結果としては、彼らがお前たちを探し出す口実を与えることになってしまった。
map_0735#191	おそらく、感傷が私の判断を鈍らせたのだろう。
map_0735#192	アンナ: それが正しかろうと間違ってようと~
map_0735#193	ノエル: 違います。
map_0735#194	僕が聞きたいのは、どうして僕じゃなくて彼女にあげたのか、ということです。
map_0735#195	どうしていつも、特別なのはアンナの方なんですか?
map_0735#196	ラドマス: ああ……
map_0735#197	アンナ: はい。
map_0735#198	ノエルが持ってていいよ。
map_0735#199	ノエル: ……
map_0735#200	いや、いいです。
map_0735#201	欲しくありません。
map_0735#202	ただ、知りたかっただけです。
map_0735#203	アンナの方が、僕よりふさわしいでしょうから。
map_0735#204	アンナ: ふさわしいとかそういう話じゃないもん! いいから受け取ってよ!
map_0735#205	ノエル: アンナ、僕にはノモスの声すら聞こえないんです。
map_0735#206	一度も、聞こえたことがない。
map_0735#207	そんなものを、僕が持つべきじゃありません。
map_0735#208	アンナ: 聞こえないの、知ってるよ。
map_0735#209	ノエル: え?
map_0735#210	アンナ: それでいいの! そのうち分かるようになるから。
map_0735#211	もしいつか、代わりにペンダントを持ちたくなったら、わたしに言ってね?
map_0735#212	ノエル: 分かりました。
map_0735#213	ノエル: それで、どうしてアンナにあげたんですか?
map_0735#214	ラドマス: 元々、お前たちの母のものだったのだよ。
map_0735#215	単純に、アンナの方が似合うだろうと思ったのだ。
map_0735#216	だが、お前たちがそれぞれ母に似ているところにも、結局は何か理由があるのかもしれないな……
map_0735#217	それでも、お前には不公平だったと分かっている。
map_0735#218	許してもらえれば、と思う。
map_0735#219	ノエル: どうでもいいことです。
map_0735#220	セラ: あなたたち、誰一人として理解できないわ。
map_0735#221	ラドマス: それは、どういう意味かな?
map_0735#222	セラ: 何年も経ってるのに、あなたたちみんな、何事もなかったみたいに話を続けてるじゃない。
map_0735#223	まるで、ここで再会することがずっと分かってたみたいに振る舞ってる。
map_0735#224	ラドマス: 未来というのは、私たちが思い描く通りには決してならない、奇妙な性質を持っているものだ。
map_0735#225	だが、私たちは知る必要などなかった。
map_0735#226	ただ、決めればよかっただけなのだから。
