map_0057#122	ファーン: はっ、リスペクトってもんがねえな。
map_0057#182	フロリニア: 一般には「フィールド効果」として知られており、特定の環境は様々なポケモンや技に影響を与え、変化させることがある。
map_0057#183	例えば、あの場所では機械からエネルギーを得ることで、でんきタイプの技が強化された。
map_0057#184	リーグ挑戦においては、バトルを通して環境の変化に注意を払い続けることが望ましい。
map_0057#185	近年、多くのトレーナーが、それぞれの環境の具体的な特性を記録している。
map_0057#186	それゆえ、この発話者はこれらの特性と効果を体系化するアプリケーションを作成した。
map_0057#187	ポケギアへのベータ版のインストールを許可されたし。
map_0057#188	\PNはフィールドノートアプリを受け取った!
map_0057#189	フロリニア: このアプリケーションは、当該の環境でどの技が強化・弱体化するかを、バトル中に表示することも可能である。
map_0057#190	この機能をオンにしますか?
map_0057#191	フロリニア: フィールド表示、有効。
map_0057#192	フロリニア: フィールド表示、無効。
map_0057#193	いずれにせよ、表示が行われるためには、当該のフィールド効果に関するデータが、あらかじめアプリケーションに読み込まれている必要がある。
map_0057#194	少数の人々が、すでにこのアプリケーションへのデータ記録を開始している。
map_0057#195	現時点では、エレキフィールドに関するデータのみが端末に保存されている。
map_0057#196	フィールドノートアプリは、データが記録された環境の存在を検知した際に、利用者へ通知するようプログラムされている。
map_0057#197	バトル中は、Sキーを押すことで利用可能な情報を活用することが推奨される。
map_0057#198	他者の協力を得るか、各地で発見されるかもしれない環境データを見つけることで、追加の情報を収集されたし。
map_0057#199	ジュリア: ちょっと、今エレキフィールドって言った!?
map_0057#200	リニ! それアタシのジムのじゃん!
map_0057#201	\PNにアタシへのヒントあげようとしてる?
map_0057#202	フロリニア: この発話者は、オブシディアに戻る前に、本日の経緯をアメおよび駐在の警察に報告する。
map_0057#203	さらばだ。
map_0057#204	ジュリア: リニ!!!
map_0057#205	生意気言うなら、せめて気持ちを込めてよ!
map_0057#206	はぁ……ターニャの件以来、お姉ちゃんずっとあんな感じでさ――
map_0057#207	まあ、いいや!
map_0057#208	今日は手伝ってくれてありがとう、\PN! すごく助かったよ!
map_0057#209	それに、ジムが勝手に爆発することもなくなったし、アタシはもう戻るね!
map_0057#210	まあ、爆発しちゃっても、それはそれで楽しいかもだけど……
map_0057#211	ま、いっか!
map_0057#212	準備ができたら、絶対アタシに挑みに来てよね!
map_0057#213	待ってるから! コーヒー持ってきてね!
map_0057#214	ヨーテリー: グルルルル……
map_0057#215	ヨーテリーはまた逃げ出した!
map_0057#216	……前の試合で負けて、まだムカついてるんだ……取り返す時が来た!
map_0057#217	……また……
map_0057#218	今度こそ違う……
map_0057#219	ちょっと取り込み中だ。どけ。
map_0057#220	しっし、ハエ野郎。
map_0057#221	オレの時間を無駄にすんな、ストリートのクズが。
map_0057#222	おい、そこのガキ。こっち来い!
map_0057#223	ケンカ売る気はねえよ。
map_0057#224	ちょっとしたブツを探してるだけだ、分かるだろ?
map_0057#225	<- サンセットサークル\n^v - 2番街
map_0057#226	<- ブラックスチーム通り\n^v - 2番街
map_0057#227	<- ブラックスチーム通り\n^ - 1番街
map_0057#228	<- シンダートン通り\nv - 1番街
map_0057#229	<- モスウォーター通り\n^v - 2番街
map_0057#230	スボミー: ブー? ブブ! スボミー!
map_0057#231	スボミーは、\PNから漂う匂いに惹かれているようだ。
map_0057#232	\PNはスボミーを捕まえた!
map_0057#233	雨よ雨よ、降り続いておくれ……~ 壊れたこの世界を、洗い流しておくれ……~
map_0057#234	ここからだと、街の眺めが本当にいいのに……
map_0057#235	あとはラピスみたいに、他の場所もきれいだったらいいんだけどな。
map_0057#236	ここからならアズリン地方が丸ごと見えるよ! 煙が立ち上るパイロス山も、灰の浜辺も……ああ……
map_0057#237	>- シンダートン通り\nv - クリスタル通り
map_0057#238	こんにちは、トレーナーさん!
map_0057#239	ポケスナックの詰め合わせ、いかがですか?
map_0057#240	ポケスナックは、ポケモンにとって美味しいおやつです! あげれば、ポケモンはもっと幸せになりますよ!
map_0057#241	でも、それだけじゃないんです!
map_0057#242	この美味しくて栄養満点な甘いおやつを持っているだけで、珍しい野生のポケモンが近づいてきやすくなるんですよ!
map_0057#243	草むらでのランダムエンカウントの話じゃないですよ――そんなの誰が欲しいですか?
map_0057#244	でも、特別な機会には、普段は近づいてこないようなポケモンが、あなたに注目してくれるかもしれません。
map_0057#245	いかがですか?
map_0057#246	スナックを買っていきませんか?
map_0057#247	でも、特別な機会には、普段は近づいてこないようなポケモンが、あなたに注目してくれるかもしれません。
map_0057#248	ヨーテリー: ワン! ワン! ワン! ワン! ワン! ワン!
map_0057#249	レペゼン!
map_0057#250	それ、何のレペゼンにもなってねえよ。
map_0057#251	自分を貫かなきゃな。すべてはスワッグ次第だぜ。
map_0057#252	<>- ブラックスチーム通り\n^ - クリスタル通り
map_0057#253	昔は何時間も湖を眺めるのが好きだったんだよ、ずっと――*ゴホッ* *ゴホッ*
map_0057#254	そろそろ中に戻らないと……
map_0057#255	空気の質が、どんどん悪くなってる。
map_0057#256	まあ……もう少しだけ待ってみるか。
map_0057#257	???: いいか、もう一回しか聞かねえぞ。
map_0057#258	お前、あれについて何を知って……
map_0057#259	おい、下がれ!
map_0057#260	お前もこの負け犬の仲間じゃなけりゃな――
map_0057#261	スーツの男: 失礼!
map_0057#262	???: おい、何しやがる!
map_0057#263	戻ってこい!
map_0057#264	???: ……チッ。
map_0057#265	見た目より速いな。
map_0057#266	???: で、お前は何なんだよ、あ?
map_0057#267	あいつの仲間か? グルなのか?
map_0057#268	お前、自分が誰に手え出してるのか分かってねえみたいだな。
map_0057#269	名前はファーンだ。
map_0057#270	クールな野郎で、トップの座にいる男だぜ。
map_0057#271	覚えたか?
map_0057#272	オレの仕事に首突っ込むのは、感心しねえな。
map_0057#273	何も分かってなさそうだから、説明してやるよ。
map_0057#274	社会的ヒエラルキーの頂点に立つ者として、世の中を変えるのはオレの責任だ。
map_0057#275	他人の尻拭いをして、
map_0057#276	みんなが笑える理由を作ってやる。
map_0057#277	分かるか?
map_0057#278	なのに、お前みたいな底辺のクズがドタバタとオレの邪魔をして、全部台無しにしたらどうすりゃいいんだよ?!
map_0057#279	あいつがグランドビュー駅の事件の犯人だ――間違いねえ!
map_0057#280	それがお前が邪魔したせいで、逃げられちまったんだよ!
map_0057#281	これで分かったか?
map_0057#282	どうせ分かってねえだろうけどな。
map_0057#283	十分にはな。
map_0057#284	メモの準備でもしとけ、
map_0057#285	今からお勉強させてやるからよ。
map_0057#287	ファーン: チッ。もういいわ。
map_0057#288	こんなことに構ってる時間はねえ。
map_0057#289	あいつを探して、お前のミスの尻拭いをしに行かねえと。
map_0057#290	???: その必要はない。
map_0057#291	ファーン: あ?
map_0057#292	???: お前ら二人がじゃれ合ってる間に、もう犯人は捕まえておいた。
map_0057#293	???: お前らお嬢さん方が、ちょっとした女喧嘩に忙しくしてる間に、もう犯人は捕まえておいた。
map_0057#294	リボーンシティ公式監察官だ、お見知りおきを。
map_0057#295	もう解散していいぞ。
map_0057#296	ファーン: は? それだけかよ? 「解散」だと?
map_0057#297	この辺で起きてる他の胡散臭い事件と同じように、これも揉み消すつもりか?
map_0057#298	警察が何もしねえのは、みんな知ってることだぜ。
map_0057#299	監察官: チッチッチッ……
map_0057#300	ファーン: 何か言いたいことでもあんのか?
map_0057#301	監察官: 子供は話す前に、まず聞くものだ。
map_0057#302	コータスと私で、すでに犯人と少々お話をさせてもらった。
map_0057#303	本隊の役に立つ情報を、いくつも聞き出せたぞ。
map_0057#304	犯人はすでに拘束済みだ。書類が通り次第、あの小さなギャングのアジトへの強制捜査を手配する。
map_0057#305	残念ながら、お前たちのような子供が自警団気取りをする余地はない。
map_0057#306	誰かが怪我をする前に、家に帰りなさい。
map_0057#307	ファーン: つまり単独犯じゃねえってことか? そのアジトってのは何だ?
map_0057#308	監察官: 機密情報だ、坊や。
map_0057#309	お前らみたいなひよっこに、近くの犯罪の巣窟の情報を漏らすわけがなかろう。
map_0057#310	ニュースになったら、母ちゃんにでも聞け。
map_0057#311	ファーン: ……間抜けが。
map_0057#312	「近く」って言っちまってるじゃねえか。
map_0057#313	それに、あの怪しい奴が施設がどうとか言ってたのを、確かに聞いたぜ。
map_0057#314	ここの建物じゃねえなら、もう一つの方だろうな。
map_0057#315	ここより小さくて、フェンスで囲われてる場所だ。
map_0057#316	ここに来る途中で、通り過ぎたはずだぜ。
map_0057#317	あそこで決まりだな。
map_0057#318	ファーン: というわけで、計画はこうだ。
map_0057#319	どう考えても、あの「書類」とやらは時間がかかりすぎる。
map_0057#320	だからオレが片付けに行く、お前も手伝えよ。
map_0057#321	あいつから直接情報を聞き出せなかったのは、お前のせいだからな。
map_0057#322	せめて自分のミスくらい、自分で片付けろ。
map_0057#323	分かったか?
map_0057#324	そこで落ち合おうぜ。
map_0057#325	あんまり遅れんなよ。
map_0057#326	アマリア: よかった、来たね!
map_0057#327	中でどれくらいの抵抗があるか分からないけど……
map_0057#328	準備はいい?
map_0057#329	アマリア: よし、それじゃ入り方を考えないとね!
map_0057#330	どう見てもドアには鍵がかかってるし……
map_0057#331	エース: そんなこと、心配することはないさ、小さなお嬢さんたち~
map_0057#332	アマリア: 入り方、知ってるの?
map_0057#333	エース: 当然だとも!
map_0057#334	舞台裏の勝手を知らぬ手品師など、どこにいるというのだね?
map_0057#335	とても簡単なトリックがあるのだよ、いいかね:
map_0057#336	君がすべきことは、
map_0057#337	……このドアを通り抜けることだけだ!
map_0057#338	アマリア: でも……鍵がかかってるよ。
map_0057#339	今、それを言ったじゃない。
map_0057#340	エース: ああ、鍵がかかっているのか。
map_0057#341	ならば、忘れてくれたまえ――
map_0057#342	明らかに、私が単に間違えていたのだ――
map_0057#343	愚か者――
map_0057#344	まぬけ者――
map_0057#345	全くの大バカ者だ!
map_0057#346	だが、もし!
map_0057#347	もしも!
map_0057#348	あったとしたら――
map_0057#349	……二つ目のドアが!?
map_0057#350	アマリア: あるの、本当に?
map_0057#351	エース: ああ、しかし、その仕掛けを言葉で説明したところで、何になろうか、
map_0057#352	まだ見ぬものは、自分の目で見られるというのに?
map_0057#353	アマリア: あっ! どうやって――
map_0057#354	エース: あぁ、あぁ、あぁ~
map_0057#355	君ほど賢いご婦人が、「どうやったの?」などという愚問を口にするはずがないと、私は分かっているのだよ。
map_0057#356	私が決して明かさぬことは、君も知っているだろう。
map_0057#357	さあ、先に進みたまえ!
map_0057#358	君の連れの相手をすませたら、すぐに助太刀に行こう~
map_0057#359	アマリア: ……変わった人ね。
map_0057#360	でも、それなりに役には立ってるみたい。
map_0057#361	時間を無駄にしないようにしましょう!
map_0057#362	アマリア: 準備、ちゃんとしてね!
map_0057#363	その間に、入り方を考えておくから……
map_0057#364	こんな感じにすれば、壁を登れるかもしれないな……
map_0057#365	「たきのぼり」で登って、「れいとうビーム」で凍らせるとか?
map_0057#366	いや、さすがに高すぎるか……
map_0057#367	そもそも、こういう工場って何を作ってるんだろう?
map_0057#368	廃棄物以外に。
map_0057#369	金よこせ!
map_0057#370	いや待て、オレのを持ってけ……
map_0057#371	それでも金よこせよ?
map_0057#372	うーん、これはよくないな。
map_0057#373	この建物について何か知ろうと、技術分析をしてみたんだが……
map_0057#374	間違ったデータが出力されたみたいだ。
map_0057#375	ええと……
map_0057#376	ほら。
map_0057#377	これ、何かに使ってくれ。頼むよ!
map_0057#378	\PNはフィールド効果データ17を手に入れた!
map_0057#379	ファクトリーフィールドの情報が閲覧可能になりました!
map_0057#380	それじゃ、この場所について何か役に立つことが分かるか見てみるか……
map_0057#381	はい
map_0057#382	いいえ
map_0058#0	身代金目当てに誘拐してやるぜ!
map_0058#1	ダメだ、バッグに戻れ!
map_0058#2	このクソネズミが……
map_0058#3	また別のネズミ狩りに戻るとするか。
map_0058#4	まあ、ネズミにしちゃちょっとデカいが、お前もそうだしな……
map_0058#5	特定の日にここでゴミを漁ってるんだ。
map_0058#6	強いけど、いつか絶対仕留めてやる。
map_0058#7	待ってろよ。
map_0058#8	落ちぶれたもんだぜ……
map_0058#9	ユーレユをクビになってからってもの、オレの人生は負けっぱなしだ。
map_0058#10	昔はオブシディアのユーレユカンパニーで幹部だったんだ。それが会社が潰れて、今じゃこのザマだ。
map_0058#11	ホットショット: おい、何なんだよ?
map_0058#12	お前、医療救護所にいたよな?
map_0058#13	こんなとこまで追いかけてきたのかよ……
map_0058#14	まさか、お前も鎮痛剤が目当てなのか!
map_0058#15	やめとけ! こいつは高く売れるんだよ!
map_0058#16	男には払わなきゃいけねえ借金があるんだよ!
map_0058#17	あっち行けよ!
map_0058#18	クソ。
map_0058#19	ホットショット: 冗談じゃねえよ、なあ。
map_0058#20	なんでツキが回ってこねえんだよ!?
map_0058#21	はいはい! お前の勝ちだよ! 商品は返しに行く。
map_0058#22	心配すんな――変な真似はしねえよ。
map_0058#23	あいつに聞いてみろよ、ちゃんとケジメつけたって分かるからよ。
map_0058#24	んじゃな。
map_0058#25	キュワワー: キュワ~?
map_0058#26	キュワワーは、すっかり困惑しているようだ。
map_0058#27	キュワワーを連れていきますか?
map_0058#28	キューボール: ブツは持ってきたか?
map_0058#29	キューボール: 当たり前だろ、持ってきたぜ。
map_0058#30	極上グレードだ、採れたてほやほや、バオップの尻より熟れてるぜ。
map_0058#31	このお花をポケットいっぱいに詰め込め!
map_0058#32	キューボール: 情報筋によると、一嗅ぎしただけでムックルが何日も見えるらしいぜ。
map_0058#33	キューボール: デイジーをキメてやるぜ、クソが! さあ行くぞ!
map_0058#34	キューボール: ラベンダーはオレのもんだ! そいつを直接血管にぶち込め!
map_0058#35	キューボール: お前ら、一体どうしちまったんだよ?
map_0058#36	このヤワなクソは何だ?
map_0058#37	決まってんだろ、極上エリアはボタンだ、そこでぶちアゲるんだよ!!!
map_0058#38	キューボール: うおおクソ最高だ、ガンガン嗅げよ、ベイビー!
map_0058#39	キューボール: クロス受粉といくぜ、クソがよ!
map_0058#40	キューボール: 真の男ってのは、ディーゼルとテストステロンと、クソポピーシードでできてんだよ!
map_0058#41	リグマ・グラインドセットで行こうぜ、野郎ども!
map_0058#42	キューボール: ……
map_0058#43	おい、もう何か感じてきたか?
map_0058#44	キューボール: 何も感じねえよ、相棒。
map_0058#45	キューボール: このお花、クソだな!
map_0058#46	キューボール: ヤワなクソだ!
map_0058#47	キューボール: お前がそのヤワなクソ持ってきたんだろ、兄弟!
map_0058#48	キューボール: ヤワなクソだと!?
map_0058#49	キューボール: ヤワなクソだ!!!
map_0058#50	ヤワなクソだと?
map_0058#51	ヤワなクソだ!
map_0058#52	キューボール: おい兄弟、こいつ何者だ、クソが!?
map_0058#53	キューボール: クソ野郎、オレたちのお花盗もうとしてやがる!
map_0058#54	キューボール: これはオレたちのヤワなクソだ、兄弟! お前にはやらねえぞ!
map_0058#55	キューボール: おい、こいつ勝てると思ってやがるぜ!
map_0058#56	クソほども勝ち目ねえっての!
map_0058#57	( ´_>`) オレたちは漢だ! ( ´_>`)
map_0058#58	900万パーセントのマッチョマニア、そしてニトロ全開ペタルクラッシュだ!
map_0058#59	オレたちは100パーセントオーガニックな口ひげオイルでできてんだよ!
map_0058#60	オレたちは結び目付きのサクランボの軸をクソする男たちだ!
map_0058#61	そしてお前を花冠にしてやるぜ!
map_0058#62	キューボール: なあにぃ、オレたちはスイセンでキメてんだ! 1対3で勝てるわけねえだろ!
map_0058#63	……バトルでな!
map_0058#64	ゲイなことは無しだぜ、オレは真の男だからな!
map_0058#65	オレの脇汗は、ツンベアーを13匹単位で引き寄せるんだぜ!
map_0058#66	キューボール: バカな……
map_0058#67	オレたち全員……負けたのか……?
map_0058#68	キューボール: ……いや……
map_0058#69	敗北とは……心の持ちようだ!
map_0058#70	キューボール: 気絶なんてしねえ! するのは「気入」だ!
map_0058#71	キューボール: あきらめるな! するのは「あきさげ」だ!
map_0058#72	キューボール: 降参だと!? それはただの「降始」だ!
map_0058#73	ローラ: \PN? 大丈夫ですか?
map_0058#74	あなたが助けを必要としている気がして……
map_0058#75	具体的には、街の半分が揺れているような感覚でした……
map_0058#76	あなたたち……大丈夫ですか?
map_0058#77	キューボール: オレたちはボーイズじゃねえ!
map_0058#78	キューボール: ここはマノスフィアだ!
map_0058#79	感情なんかねえ、あるのはゲインズだけだ!
map_0058#80	キューボール: オレたちは理性と論理だけを実践してるんだ! 本当に大事な問いを問うんだよ!
map_0058#81	キューボール: 例えば、なんで女は筋肉つかないのか!とかな!
map_0058#82	キューボール: レスリングはゲイなのか!?
map_0058#83	キューボール: あとゲッコウガはチーズを食えるのか!?
map_0058#84	キューボール: オレたちには誰の世話も要らねえんだよ!
map_0058#85	ローラ: ……それは、なぜでしょうか?
map_0058#86	あなたたちの誇りや自立という考え方には、他人が心配を、いえ、思いやりを示す余地すら、本当にそんなに残されていないのですか?
map_0058#87	それほど孤立して、独りぼっちで生きるというのは、一体どんな人生なのでしょう。
map_0058#88	効果は抜群だ!
map_0058#89	キューボール: ただ、どこかに居場所が欲しかっただけなんだ……
