map_0866#79	今見たこと、もう忘れてね？
map_0867#71	あの子が現れた途端、みんな我を忘れちゃって！
map_0867#72	メロエッタ: メエエロ！
map_0867#73	サーカスだんちょう: だから、この状況を最大限に活かすことにしたの！
map_0867#74	あなたたちが伝説のポケモン対策班なのは分かってるけど……
map_0867#75	もう大会開催を公に発表しちゃったんだから、今さら引き渡すなんてできないわよ！
map_0867#76	でもあなた、チャンピオンなんでしょ！？
map_0867#77	参加して優勝すればいいじゃない、そうすれば問題ないでしょ？
map_0867#78	ほら！ 参加費も免除してあげるから、あんまり怒らないでよね？
map_0867#79	ついでにいつか、あの「チャンピオン公認」みたいなお墨付き、うちにもちょっと回してくれたりして？
map_0867#80	サムソン: 調子に乗りすぎだぞ、お嬢。
map_0867#81	サーカスだんちょう: もう、冗談じゃない！＊
map_0867#82	＊ちょっとだけね。
map_0867#83	メロエッタ: ロ。
map_0867#84	サーカスだんちょう: なんでみんな、あたしのこと責めるのよ！？
map_0867#85	サムソン: あの子、一日中どんどんあの生き物と喋るようになってな。
map_0867#86	正直、あんまり健全とは思えなくてきた。
map_0867#87	サーカスだんちょう: あたしはいたって健全よ！
map_0867#88	この星で一番健全な人間なんだから！
map_0867#89	サムソン: そのうちあのポケモンを抱きしめて「マイプレシャス」とか言い出しても、俺は驚かんぞ。
map_0867#90	サーカスだんちょう: やだ、まさか！ そんな気持ち悪いのとは、天と地ほど違うから！
map_0867#91	とにかく、あなたを参加登録しておくわね、\PN！
map_0867#92	試合の準備ができたら、バトルホイールのそばにいるピエロの誰かに話しかけて。
map_0867#93	トーナメント表は右手の掲示板にも貼り出しておくから。
map_0867#94	最初の対戦相手が誰か、ちゃんと確認しておいてね！
map_0867#95	サムソン: こんなに長いことやってて、いまだに「バトルホイール」よりましな名前を思いつけないんだからな。
map_0867#96	サーカスだんちょう: だってこういうのって、そう呼ぶものでしょ！
map_0867#97	名詞の前に「バトル」って付けないと、成立しないんだから！
map_0867#98	誰に聞いてもそう言うわよ！
map_0867#99	サムソン: はいはい。メロエッタ、お前はどう思う？
map_0867#100	メロエッタ: ラーァ〜
map_0867#101	サーカスだんちょう: ちょっと、あたしにそれやめて……
map_0867#102	サーカスだんちょう: 試合の準備ができたら、バトルホイールのそばにいるピエロの誰かに話しかけてね。
map_0867#103	あ、あとこの二人を黙らせられそうな名前を思いついたら、ぜひ教えてちょうだい！
map_0867#104	サーカスだんちょう: はい、みんな聞いてー！
map_0867#105	サーカスだんちょう: 第1回戦、終了よ！
map_0867#106	第2回戦の組み合わせを掲示したわ！
map_0867#107	超貴重なメロエッタから超貴重なサインをもらうため、最後まで頑張って！
map_0867#108	サムソン: ずいぶん熱が入ってるな、お嬢。
map_0867#109	サーカスだんちょう: そんなことないわよ！
map_0867#110	ただお客さんを盛り上げようとしてるだけ！
map_0867#111	それだけよ！
map_0867#112	メロエッタ: ラララ〜
map_0867#113	サーカスだんちょう: そういうこと、口に出して言わないでよ！
map_0867#114	サムソン: カウンセリングでも受けたらどうだ、お嬢。
map_0867#115	サーカスだんちょう: あなたはそもそも、何をする係だったのよ！？
map_0867#116	ううん――もういいわ。
map_0867#117	深呼吸、いい気分で――
map_0867#118	それでは、第2回戦の組み合わせを発表します！
map_0867#119	第1ブロック！
map_0867#120	ビー VS 「クラリス」！
map_0867#121	\PN VS ジュリア！
map_0867#122	ジュリア: えぇぇぇぇっ――
map_0867#123	サーカスだんちょう: 第2ブロック！
map_0867#124	「なぞの参加者」 VS エンジニアヤン！
map_0867#125	ブレーク VS ジェントルマンノーマン！
map_0867#126	ブレーク: いや、ちょっと待て。巻き戻せ。
map_0867#127	戻ってくれ。「なぞの参加者」ってのは、どういうことだ？
map_0867#128	サーカスだんちょう: なぞだからよ！
map_0867#129	当たり前でしょ、もう……
map_0867#130	第3ブロック！
map_0867#131	サムソン VS パーシー！
map_0867#132	やまおとこオルタン VS キャス！
map_0867#133	ミス・パーシー: ちょっと、あたしをジムリーダーと当てるの！？
map_0867#134	なんで来ちゃったんだろ、あたし！？
map_0867#135	サムソン: すまんな、嬢ちゃん。
map_0867#136	俺はただの用心棒のはずだったのに、どこぞの興奮しすぎな団長が勝手に俺を参加登録しやがってな。
map_0867#137	サーカスだんちょう: 人数を偶数にしなきゃいけなかったんだもの、それにあなた自分から立候補したじゃない！
map_0867#138	サムソン: したかどうかはともかく、俺のプライドが手加減を許してくれそうにないな。
map_0867#139	サーカスだんちょう: いっそあなたの「プライド」を、別枠で参加登録すればよかったかもね。
map_0867#140	なんだかんだ、あなた自身よりよっぽど自我が強そうだし……
map_0867#141	第4ブロック！
map_0867#142	バトルガールイセルダ VS ルミ！
map_0867#143	セレブレイチー VS サンティアゴ！
map_0867#144	ルミ: 今回もがんばります！
map_0867#145	サーカスだんちょう: 以上よ！
map_0867#146	残るは16人――みんな、全力を尽くしてね！
map_0867#147	ゴンドラはあんまり壊さないようにね！
map_0867#148	もう何回修理したと思ってるのよ！
map_0867#149	その間、こっちはサムソンのプライドの相手でもしてるから〜
map_0867#150	サーカスだんちょう: はい、以上、第2回戦でした！
map_0867#151	サーカスだんちょう: ここまで勝ち残ったみんな、おめでとう――サムソン以外はね！
map_0867#152	サムソン: 言ってろ、お嬢。
map_0867#153	メロエッタ: メレメレ〜
map_0867#154	サムソン: だよな。
map_0867#155	サーカスだんちょう: では、第3回戦の組み合わせを発表するわね！
map_0867#156	「クラリス」 VS \PN！
map_0867#157	「なぞの参加者」 VS ブレーク！
map_0867#158	サムソンのプライド VS キャス！
map_0867#159	サムソン: もう一回言ってみろ？
map_0867#160	サーカスだんちょう: そしてルミ VS サンティアゴ！
map_0867#161	サンティアゴ: よっしゃ、くそ最高だ！ 行くぞコラ！
map_0867#162	このクソ野郎、完膚なきまでにブチのめしてやる！
map_0867#163	全部あのクソ可愛いメロエッタのためだ、聞こえてんのか！？
map_0867#164	ルミ: あ、あの……
map_0867#165	サーカスだんちょう: 以上よ！
map_0867#166	みんな、頑張ってね！
map_0867#167	サーカスだんちょう: みんながメロエッタを堪能できるように、大会まで開いてあげるなんて、あたしってすごく太っ腹じゃない！？
map_0867#168	そう思うわ。
map_0867#169	メロエッタのためなら、これくらい〜
map_0867#170	……あと、商売のためにもね！
map_0867#171	サーカスだんちょう: それじゃ、準決勝に入る前に第3回戦の結果を振り返りましょう！
map_0867#172	サーカスだんちょう: 第1試合、\PNがロボキノガッサの「クラリス」を完膚なきまでに叩きのめしました！
map_0867#173	サムソン: そもそもあいつが何でここにいたのか、誰か知ってるのか？
map_0867#174	ルミ: メロエッタのことが、よっぽど好きだったとか？
map_0867#175	サーカスだんちょう: 第2試合、ブレークが「なぞの参加者」にノックアウトされました！
map_0867#176	キャス: あんたって、控えめってものを知らないのね。
map_0867#177	サーカスだんちょう: 第3試合、サムソンのプライドがキャスによって敗退！
map_0867#178	サムソン: ……
map_0867#179	サーカスだんちょう: もう、完全に踏みにじられて粉々になったわ！
map_0867#180	サムソンのプライドがどれだけ徹底的に叩きのめされたか、言葉では言い表せないくらいよ！
map_0867#181	サムソン: おい、もういいから……
map_0867#182	キャス: いいから、続けて。
map_0867#183	サーカスだんちょう: このアゲートサーカス史上、屈辱的な敗北ランキングトップ10があるとしたら、
map_0867#184	サムソンのプライドは、間違いなくその中でも最悪の一つだったって言えるわね！
map_0867#185	まあ、サムソンのプライドみたいな相手には、起こるべくして起きたことかもしれないけど。
map_0867#186	サムソン: お前、新しい用心棒を探す羽目になるぞ。
map_0867#187	サーカスだんちょう: はいはい――そして第4試合、ルミがサンティアゴに勝利しました！
map_0867#188	ルミ: 新しい言葉、教えてもらっちゃいました！
map_0867#189	メロエッタ: メロ！
map_0867#190	サーカスだんちょう: メロエッタの言う通り！ ショーは止まらないわよ！
map_0867#191	というわけで、準決勝の組み合わせ！
map_0867#192	\PN VS 「なぞの参加者」！
map_0867#193	キャス VS ルミ！
map_0867#194	さあ、始めましょう！
map_0867#195	サーカスだんちょう: もうすぐよ！
map_0867#196	サーカスだんちょう: 準決勝、終了！
map_0867#197	結果を振り返りましょう！
map_0867#198	まずは――
map_0867#199	キャス: 結果は見ての通りよ。
map_0867#200	決勝はあたしと\PN。
map_0867#201	さっさと始めましょ。
map_0867#202	サムソン: ……で、最後の試合は、団長のプライドがキャスに完膚なきまでに叩きのめされたとさ。
map_0867#203	サーカスだんちょう: でも――ファンファーレは……
map_0867#204	ああ、もういいわ。
map_0867#205	そもそも、敗退した後もみんな残ってくれると思ってたのに……
map_0867#206	きっとメイン会場でグッズでも買ってるのよ、きっと。
map_0867#207	サムソン: いや、それはどうかな。
map_0867#208	サーカスだんちょう: でも……あたしの売上が……
map_0867#209	サーカスだんちょう: あたしの売上、どうなるのよ……？
map_0867#210	サーカスだんちょう: はい、以上！ 大会終了よ！
map_0867#211	優勝者は\PN、おめでとう！
map_0867#212	……と、誰もいない観客に向かって言ってみる。
map_0867#213	サムソン: 俺はここにいるぞ。
map_0867#214	サーカスだんちょう: サムソン、「あなたは数に入らない」って言いたいところだけど、それじゃあなたがどれだけ数に入らないか、全然言い表せてないわね。
map_0867#215	幼稚園児の方が、まだ数えるのが上手いくらいよ。
map_0867#216	柵のくいの方が、あなたより数に入るわ。
map_0867#217	あそこに転がってる小石、あるでしょ？
map_0867#218	あれの方が、あなたより数に入るわよ。
map_0867#219	いいから退いて、\PNが約束のサインをもらえるようにして。
map_0867#220	サムソン: 言われるのを待ってたところだ。
map_0867#221	サーカスだんちょう: ……まさか、ポケモンを勝手に捕まえるとか、そんなバカなことしないわよね？
map_0867#222	もうサーカスの所有物だって、分かってるでしょ？
map_0867#223	たとえ危険で、精神に作用するかもしれないアノマリーがくっついてても、そんなの関係ないわ！
map_0867#224	……あはは？
map_0867#225	サーカスだんちょう: わあ、\PN、あなたが勝つと思ってたのに！
map_0867#226	正直ちょっとホッとしてるわ――この子を取り上げられずに済んだんだから。
map_0867#227	サーカスのためなんだもの！
map_0867#228	でもキャスがもうサインをもらって帰っちゃったから、残念だけどあなたのチャンスは逃げちゃったわね！
map_0867#229	でも大丈夫――また次の大会で挑戦してみたら！
map_0867#230	それまでのお楽しみってことで、ね？
map_0867#231	サムソン: マジで言ってるのか？
map_0867#232	アノマリーってやつが危険だってこと、分かってるよな？
map_0867#233	サーカスだんちょう: で、でも儲けが！
map_0867#234	目玉アトラクションが！
map_0867#235	サムソン: ああ、もういい。
map_0867#236	\PNは優勝しなかったが、こういう厄介事の後始末に一番向いてるのはチャンピオンだ。
map_0867#237	そんなに守りたいなら、自分で用心棒でもやればいい。
map_0867#238	俺は降りる。次のショーでまたな。
map_0867#239	サーカスだんちょう: ちょっと待って待って、マジで！？
map_0867#240	こんなときに辞めるつもり！？
map_0867#241	でもそれじゃ――
map_0867#242	サーカスだんちょう: ……うう。
map_0867#243	もういいわ、好きにして。
map_0867#244	どうせそうなるんでしょうけど。
map_0867#245	……伝説のポケモンは捕まえて、サーカスの貴重な目玉を奪っておいて、グレイシアは撫でようともしないのね……
map_0867#246	ええ、あたしにもその話、聞かせてもらったし。
map_0867#247	でも別に、批判するつもりはないわよ。
map_0867#248	やることはやるけど、それが本題じゃないっていうか……
map_0867#249	とにかく、好きにすればいいわ。
map_0867#250	サーカスだんちょう: そ、そのポケモンは捕まえておいた方がいいと思うけど……
map_0867#251	寄付するとか、考えてみたら？
map_0867#252	……やっぱりなしね……
map_0867#253	サーカスだんちょう: このポケモンのせいで、あたしまで機嫌が悪くなってるのかも……
map_0867#254	サムソン: すまんな、チャンプ――あんたでも、ここは通せない。
map_0867#255	お嬢の命令でな。
map_0867#256	こいつは今朝ここに現れてな、お嬢が自分のものだって言い張った瞬間、目ん玉がドル記号に変わったのが見えたぞ、マジで。
map_0867#257	どうせ長続きしないと踏んでるから、今すぐお前のために契約を破るのは勘弁してくれ。
map_0867#258	だがこれが長引くようなら、また話し合うことになるだろうよ。
map_0867#259	サムソン: つまり俺の相手は、あのパーシーってお嬢ちゃんか……
map_0867#260	大した勝負にはならなそうな予感がするな。
map_0867#261	サムソン: 決勝で会おうぜ、\PN。
map_0867#262	サムソン: 時々、何でこんなことに耐えてるのか分からなくなるな。
map_0867#263	サムソン: もう終わりか？
map_0867#264	ルミ: こんにちは、\PN！
map_0867#265	キャスと、グレイシアがどれだけ可愛くて才能があるかって話してたんです！
map_0867#266	伝説のポケモンを追いかけてるときも、何度もピンチを救ってくれたんですよ！
map_0867#267	ルミ: 自分の力だけで本気で戦うの、これが初めてなんです！
map_0867#268	お姉ちゃんからもたくさん教わったし、それに――
map_0867#269	まあ、ゼロからも色々教わりました。
map_0867#270	でも、それだけでトップクラスに並べると思いますか？
map_0867#271	ルミ: わあ、意外といけてます！
map_0867#272	今度イヴに会ったら、教えてあげなきゃ！
map_0867#273	ルミ: がんばってください！
map_0867#274	あたしも、今回精一杯がんばりますから！
map_0867#275	ジュリア: どうも、\PN！
map_0867#276	今日はサーカスに来るつもりなかったんだけど、急に呼ばれてる気がして。
map_0867#277	ここに来なきゃいけないって、そんな感じ……
map_0867#278	取り戻さなきゃいけない出番があるみたいな！
map_0867#279	そういう感覚、あなたもある？ それともあたしだけ？
map_0867#280	それとも、どこかで壁の置き場所間違えた？
map_0867#281	ジュリア: ゴンドラの中で寝ちゃってたみたいで、引っ張り出されたんだって。
map_0867#282	だってすごく居心地よかったんだもん――試合の後に仮眠取ったっていいでしょ！？
map_0867#283	ジュリア: つまり次はあたしとあなたが戦うのね？
map_0867#284	それじゃ、これを爆発的な試合に――
map_0867#285	あ、いや、ちょっと待って。
map_0867#286	ジュリア？: ふふふ、\PN、また会ったわね……
map_0867#287	このように我に近づくとは、愚かなことよ、
map_0867#288	我はいわゆる――
map_0867#289	お前の目覚まし時計を掃除してやることに、大いなる悦びを覚えるであろう……
map_0867#290	恐れおののけ、そして様々な感情に打ち震えるがいい、\PN。我らの戦いはまさに伝説となるであろう！
map_0867#291	分かる？ 伝説？
map_0867#292	ほら――メロエッタ――だから――
map_0867#293	面白かったでしょ、絶対！
map_0867#294	マクレジー: 正直言うと、こういう人だかりの中で注目の的じゃないってのに、慣れてなくてね。
map_0867#295	複雑な気分だよ。
map_0867#296	一方では、なんだか新鮮な気もするし。
map_0867#297	もう一方では、さらなる高みを目指したいっていう闘志が燃え上がるんだ！
map_0867#298	メロエッタの力を借りれば、間違いなくそこに辿り着けるだろうね。
map_0867#299	サンティアゴ: よぉ、調子はどうだ、コラ！？
map_0867#300	久しぶりだな、クソ！
map_0867#301	お前みたいな野郎が、こんなクソ場所にいるとはな、分かってたぜ！
map_0867#302	センスあるじゃねえか、クソ！
map_0867#303	メロエッタは最高にヤバいクソ可愛いんだよ！
map_0867#304	サンティアゴ: メロエッタは最高にヤバいクソ可愛いんだよ！
map_0867#305	見ろよ、あのクソ可愛さをよ！
map_0867#306	テメエをブチのめして、あのクソ野郎のサインをもらってやるからな、見てろよ！
map_0867#307	あのクソメロエッタに、俺のハゲ頭にサインさせてやるんだ！
map_0867#308	永遠に、テカテカに、サイン入りでな――さあ、やってやろうぜ！
map_0867#309	サンティアゴ: よっしゃ、クソ最高だ！ このトーナメント表、駆け上がってやるぜ！
map_0867#310	俺のピカピカ頭は、もう準備万端だぜ！
map_0867#311	メロエッタから俺を引き離そうとするクソ野郎は、誰だろうとブチのめしてやる！
map_0867#312	ミス・パーシー: もう、メロエッタってなんかこう、特別なものがあるのよね。
map_0867#313	個人的には、ピルエットフォルムを待ってるの。
map_0867#314	あんな子が「ヒヤアアッ！」って戦う姿を見たら、
map_0867#315	それだけで戦う価値、あると思わない？
map_0867#316	ミス・パーシー: 素直に砂漠にいればよかった……
map_0867#317	ここに来るんじゃなかった……
map_0867#318	あ、ねえ、あなたのこと覚えてる！
map_0867#319	あなた、盗んだ人よね――
map_0867#320	えっと、その……
map_0867#321	借りた人！
map_0867#322	あたしのためにテレビを借りてくれた人！
map_0867#323	ほら、アポフィルアカデミーで？
map_0867#325	ちなみに、今どきのテレビ番組ってホントひどいって知ってた？
map_0867#326	だって、インターネットがあるのに、わざわざテレビの広告漬けにされる必要なんてないでしょ？
map_0867#327	キキがいつも「意図を持つこと」って言ってたけど、今ならその意味が分かる気がする！
map_0867#328	あらかじめ決められた番組をぼーっと消費するより、自分で選んだ配信をだらだら見るほうがずっといいもの！
map_0867#329	これがあたしの賢者のアドバイスよ、大事にしてね。
map_0867#330	はぁ、近くで見るとアポフィルから見るのとぜんぜん違うのね、ここ。
