map_0234#16	\PNはフィールド効果解説書02を手に入れた!
map_0239#16	戻りたくなったら、きっと戻ってくるわよ。
map_0239#17	お客様に説明した方がよさそうね。
map_0239#18	ルナは、あたしの――正確には元――養女なの。
map_0239#19	ある日突然現れて――
map_0239#20	どうやら、この辺りではそういうことがよく起きるみたいだけど――
map_0239#21	あたしが自分の母親だって、そう言ったの。
map_0239#22	ちなみに、あたしは絶対に違うと思ってるんだけどね。
map_0239#23	産んだ子供はひとりだけで、そこにいる子だし。
map_0239#24	もう一人いたら、さすがに気づくと思うし、一人目があんなに大変だったんだから、そうであってほしいけど……
map_0239#25	それでも、あの子を追い返すことはできなかった。
map_0239#26	いい子ではあるけど、いつまでもままごとを続けるわけにもいかないし。
map_0239#27	それで、今度はまた家出しちゃって。
map_0239#28	つまり……
map_0239#29	ええ、すごく心配だわ。
map_0239#30	結局、あたしのところからは、みんな離れていっちゃうみたいね。
map_0239#31	とにかく、あの子の本当の両親を探す方法なんて、見当もつかないの。
map_0239#32	ある日突然、玄関先に現れてくれるわけでもないし。
map_0239#33	ベネット: あ、実際に玄関に誰か来てるよ。
map_0239#34	セラ: ベネット、出てもらえる?
map_0239#35	？？？: プロスペリタス、パクス・パキス、オブセクィウム。
map_0239#36	アルセウス様の祝福が、この家にありますように。
map_0239#37	我が名はエル、アルセウス様の僕にございます。
map_0239#38	セラ: いらっしゃい、エル。何かご用かしら?
map_0239#39	まさか、あなたもポケモンショップに行こうとしてるんじゃないでしょうね?
map_0239#40	エル: いいえ。
map_0239#41	私は、娘を探しに参ったのです。
map_0239#42	ベネット: ま、まさか、ルナのこと?!
map_0239#43	エル: では、彼女をご存じなのですね。
map_0239#44	何よりです。
map_0239#45	ルナは、主の光を失った子。
map_0239#46	闇の道を歩み、それゆえに、私にも背を向けたのです。
map_0239#47	娘は、私を父と認めず、逃げ出しました。
map_0239#48	彼女を連れ戻しに参りました。
map_0239#49	セラ: それは素晴らしいことだけど、悪いけどルナはここからも逃げ出しちゃったのよ。
map_0239#50	エル: では、どこへ向かったのでしょう?
map_0239#51	心当たりはございますか?
map_0239#52	セラ: 何も言わなかったわ。
map_0239#53	現れた時と同じくらい、あっという間に消えちゃったの。
map_0239#54	ポケモンショップも同じくらい潔く消えてくれればいいんだけど。
map_0239#55	それか、今まで付き合った男の半分も。
map_0239#56	ベネット: 母さん、頼むから……
map_0239#57	セラ: ベネット、この方の手がかりになりそうなこと、あの子はあなたに何も言わなかった、本当に?
map_0239#58	ベネット: え?
map_0239#59	ちがう――
map_0239#60	ええと、その――
map_0239#61	わからない……
map_0239#62	エル: ……なるほど。
map_0239#63	セラ・ヴォクレインさん、でお間違いございませんか?
map_0239#64	かなりの距離を旅してここまで参りましたが、彼女に会えなかったことを、深く残念に思っております。
map_0239#65	しばしの間、ここで休ませていただければ、大変ありがたく存じます。
map_0239#66	セラ: それくらい構わないわよ。
map_0239#67	それに、なかなか面白いタイミングで来たかもしれないわね。
map_0239#68	エル: そうなのですか?
map_0239#69	セラ: そこの\PNが、あたしに挑戦しに来たところなの。
map_0239#70	エル、ベネットが観客席まで案内するわ。
map_0239#71	\PN、今から挑戦の準備をするから、あたしの後ろの闘技場で会いましょう。
map_0239#72	頑張ってね。
map_0239#73	セラ: 幸せだと思うべきなんでしょうけど……
map_0239#74	あたし、母親業には向いてなかったのかもね。
map_0239#75	まあ、それはいいわ。
map_0239#76	あなたには、もっと差し迫った用事があるでしょう?
map_0239#77	スージー: 最初にがっつり染料を売り込んどいたから、あとは勝手に広まってくれるのよね。
map_0239#78	「わあ、その髪素敵」が「ありがとう、セントラルサロンでやってもらったの!」に変わる。
map_0239#79	それが、自己宣伝つき15%割引商品ってわけ。
map_0239#80	いい仕事してるじゃない。
map_0239#81	セラ: ビジネスモデル、完全に完成させたみたいね。
map_0239#82	スージー: 良いものは良いものを見抜くのよ。
map_0239#83	あなたの商品を売らせてくれて、感謝してる。
map_0239#84	アイシーシャインのラインにも期待してるわ。
map_0239#85	数ヶ月のうちに、報告するから。
map_0239#86	それまでね。
map_0239#87	セラ: いつも楽しいわ、スージー。
map_0239#88	セラ: タイミング悪くてごめんなさいね、ちょっと忙しくて。
map_0239#89	どこまで話したかしら?
map_0239#90	ベネット: シャンプーを売ってくれって頼まれてたところだよ。
map_0239#91	セラ: ああ、そうだった!
map_0239#92	あなたと\PNの両方に――
map_0239#93	有名な挑戦者だって、時々通りかかるでしょう?
map_0239#94	ベネット: ……母さん、エリートフォーの立場を使って、母さんのヘアケア商品を売るなんてしないよ。
map_0239#95	セラ: 必要なら、ちゃんとした広告料を交渉してもいいわよ。
map_0239#96	それとも、あたしがあなたの母親だから?
map_0239#97	恥ずかしい?
map_0239#98	「うん」って言っていいのよ、わかるから。
map_0239#99	でも、本当に自分で試してみるべきよ、このシャンプー、すごい効果があるんだから!
map_0239#100	あなたの髪、これ以上ないくらいふわふわになるわよ!
map_0239#101	ベネット: ……それはさておき、それは僕の立場の使い方として不適切だと思う。
map_0239#102	母さんの創作活動がうまくいってるのは嬉しいし、応援したいとも思ってるよ。
map_0239#103	でも、こういう形じゃない。
map_0239#104	その代わり、他の販売代理店に連絡してみるよ。
map_0239#105	別の地方で何か動かせるかもしれない。
map_0239#106	また知らせるから。
map_0239#107	セラ: 素敵じゃない!
map_0239#108	あなたなら頼りになると思ってたわ。
map_0239#109	ねえ、あなたのこと、本当に誇りに思って――
map_0239#110	ベネット: 母さん。
map_0239#111	セラ: ……それだけよ、これ以上は言わない!
map_0239#112	というか、二人ともそろそろ行った方がいいかもしれないわね。
map_0239#113	もうすぐカメラマンが来るから。
map_0239#114	ベネット: カメラマン……?
map_0239#115	モデル業に……戻るの?
map_0239#116	セラ: ある意味ではね。
map_0239#117	あたし、もう歳を取りすぎてて、一流の事務所には相手にされないと思うけど。
map_0239#118	でも、そんなの必要ないでしょ?
map_0239#119	あの人たちが体現してるのは、ほんの一握りの、非現実的で、たいてい画像加工されただけの人たちなんだから。
map_0239#120	あたしなら、もっとうまくやれる。
map_0239#121	どうせ自分の商品も持ってるんだから、モデル業まで自前でやれば、広告費も浮くしね。
map_0239#122	ベネット: つまり……自分の事務所を立ち上げるってこと。
map_0239#123	セラ: 大胆に言わせてもらうけど、胸が昔ほどハリがないってだけで、一流のイメージの基準を満たさないなんて、馬鹿げてるわ。
map_0239#124	セラ: まあ、それもあなたにお乳をあげてたんだから、当然と言えば当然で――
map_0239#125	ベネット: 母さん。
map_0239#126	セラ: ……ごめんなさい。
map_0239#127	ただ言いたいのは、人間って、もっとずっと幅広い体型やサイズで表現されるべきだってこと。
map_0239#128	あたしは、素晴らしくて偽りのない人間の姿の見本になって、みんなの美の基準を広げられたらと思ってるの。
map_0239#129	世間一般のレッテルと違うってだけで、盛りを過ぎたとか、美しさにふさわしくないなんて感じる人が減れば減るほどいいでしょ。
map_0239#130	だって、人間は磨けば映るとか、完璧になるとかいう単純なガラスじゃないもの。
map_0239#131	ひび割れたら壊れるほど、静的なものでもない。
map_0239#132	金継ぎみたいに、割れ目があるからこそ、しなやかに、成長して、もっと美しくなれるの。
map_0239#133	どうして、自分の経験を誇らしく身にまとっちゃいけないの?
map_0239#134	ベネット: ええと、こんにちは。
map_0239#135	聞いての通り、僕の名前はベネットです。
map_0239#136	鱗翅目学者をしています。
map_0239#137	つまり、チョウやガを研究する人のことです。
map_0239#138	小さな虫が、今の姿からもっと大きな何かに変わっていくって、それだけでとても興奮するんです!
map_0239#139	例えば――マユルドが完璧な記憶力を持ってるって、知ってましたか?
map_0239#140	動くことも何もしないのに、バトルのことは絶対に忘れないんです!
map_0239#141	それで、進化すると、それまでの人生で起きたことに対して、驚くほど見事な仕返しができるようになるんですよ!
map_0239#142	考えてみれば、彼らは本当に小さな天才で――
map_0239#143	セラ: ベネット。
map_0239#144	もう十分だと思うわ。
map_0239#145	ベネット: ……はい、母さん。
map_0239#146	ベネット: とにかく、いつかああいう素晴らしい生き物の権威になりたいと思ってます。
map_0239#147	もしかしたら、ジムリーダーにも!
map_0239#148	アメ: \PN?
map_0239#149	やあ! ジムまでたどり着いたみたいだね。
map_0239#150	この通信システムはグランドホールに直結していて、どこにいても、ジムに着いたらいつでもアドバイスをもらえるんだ!
map_0239#151	それはさておき……
map_0239#152	アメ: 今、セラの屋敷にいるんだよね?
map_0239#153	そうそう。セラ・ヴォクレインは元々有名なモデルだったから、美と反射がテーマなんだ。
map_0239#154	彼女のジムは、それを――文字通り――映し出してる。
map_0239#155	セラは鏡を使った駆け引きが大好きで、回避率を上げたり、命中率を下げたり、隠れた場所から急所攻撃をしてきたりする。
map_0239#156	ミラーアリーナでは、回避率と命中率の変化が、急所に当たる確率に影響するんだ。
map_0239#157	不意打ちを食らわないように気をつけつつ、自分の能力を上げられれば、こっちも有利になるよ!
map_0239#158	それと、ビーム系や光属性の攻撃を使うのも考えてみて!
map_0239#159	これらの技は鏡に反射されて、必ず当たるようになるんだ!
map_0239#160	他の光属性の技も強化されるよ、彼女の代名詞であるオーロラベールも含めて。
map_0239#161	防御力の上昇は突破するのが大変だけど、君ならきっと乗り越えられると信じてる!
map_0239#162	頑張って!
map_0239#163	グランドホールでは、誰も出ないようだ……
map_0239#164	セラ: まあ、いい知らせは、もうポケモンショップはここにはないってことね。
map_0239#165	……実際どこに行き着いたのかは、わからないけど。
map_0239#166	たぶん、そんなに遠くではないはず。
map_0239#167	それで、悪い知らせは、ベネットもここにはいないってこと。
map_0239#168	あの子は、たぶんかなり遠くにいると思うけど。
map_0239#169	エリートフォーに入るために、あの見知らぬ人と一緒に修行してるのよね……
map_0239#170	それがうまくいったら、素晴らしいことだけど。
map_0239#171	でも、可能性はどれくらいかしら?
map_0239#172	いいえ、息子のことは喜んであげるべきよね?
map_0239#173	セラ: 喜ぶべきよね。
map_0239#174	でも、どこかであの子に会うことがあったら、気にかけてあげて。
map_0239#175	自分のことは自分でできる子だとは思うけど、いつも最善の選択をするとは限らないから。
map_0239#176	まあ、誰だってそうよね?
map_0239#177	まず、ルナとサーナイト。
map_0239#178	今度はベネットまで。
map_0239#179	なんだか現実味がないわ。
map_0239#180	何もかも、いつかは消えていくものみたいね……
map_0239#181	鍵がかかっている。
map_0239#182	\PNはフィールド効果解説書30を手に入れた!
map_0239#183	ミラーアリーナの情報が見られるようになった!
map_0239#184	はい
map_0239#185	いいえ
map_0241#0	タテトプスに近縁と考えられる、小型ポケモンの化石。
map_0241#1	どうぞお楽しみください!
map_0241#2	展示品には触れないよう、お願いします。
map_0241#3	何世代にもわたる場所の数々を、ごゆっくりご覧ください!
map_0241#4	係員: こんにちは! 歴史あるスピネルタウン博物館へようこそ!
map_0241#5	\G入館料は$500です。よろしいですか?
map_0241#6	ありがとうございます! スピネルタウン博物館の展示を、存分にお楽しみください!
map_0241#7	申し訳ありませんが、お手持ちが足りないようです。またのお越しをお待ちしております!
map_0241#8	ぜひまた、お越しください!
map_0241#9	街の新星を描いた肖像画。
map_0241#10	地方の落ちた星を描いた肖像画。
map_0241#11	「リボーンシティの地下深くの遺跡で見つかった遺物。
map_0241#12	昔ながらのモンスターボールの一種ではないかと言われている!」
map_0241#13	「その細工は、古の伝説「ポケオポリス」と強い類似性を持つと言われている」
map_0241#14	「リボーンシティの地下の遺跡から採取された金塊。
map_0241#15	高純度の素材とその大きさから、通常の金塊の十倍もの価値があるかもしれない!」
map_0241#16	ここにあるもののほとんどは、リボーンの地下にある古い遺跡から発掘されたものです。
map_0241#17	お聞きになりますか?
map_0241#18	この街はここ十年で破壊されましたが、この地方が破壊を経験したのは、これが初めてではありません。
map_0241#19	ずっと昔――もっともっと昔――
map_0241#20	古代の文明が、この地を故郷としていました。
map_0241#21	彼らについてはほとんど知られていませんが、いくつかの構造物は今も残っています――
map_0241#22	古代の碑文、書物、そういった遺物です。
map_0241#23	それらを、ここに集めているのです。
map_0241#24	それらをまとめると、その文化において宗教の中心とされた、ある物体について語っています。
map_0241#25	それが何であれ、再建された街の下に、まだ埋まっているかもしれません!
map_0241#26	誰にもわからないでしょうね!
map_0241#27	興味深いと思いませんか?
map_0241#28	展示された碑文には、後にリボーンシティが築かれた場所の下にある古代都市について記されている。
map_0241#29	「力に輝く石で鍛えられた、曲がりくねったトンネル……」
map_0241#30	「……クレーターの周りに築かれた、巨大な大聖堂……」
map_0241#31	展示された碑文には、古代都市の中心にあった遺物について記されている。
map_0241#32	「エネルギーで燃える、巨大で謎めいた石……」
map_0241#33	「……天より降臨せし……」
map_0241#34	展示された碑文には、古代文明の神について記されている。
map_0241#35	「天より遣わされし石より生まれ……」
map_0241#36	「……象牙の毛並みと、弧を描く襟……」
map_0241#37	展示された碑文には、古の聖地を守るために建てられた神殿について記されている。
map_0241#38	「石の扉を開く、四つの鍵……」
map_0241#39	「……祝福された結晶より削り出されし……」
map_0241#40	展示された碑文には、古の隕石が落ちた夜について記されている。
map_0241#41	「世界の終わりと思われしが……」
map_0241#42	「……それは、始まりに過ぎなかった……」
map_0241#43	展示された碑文には、古代の種族が信じていた世界創造について記されている。
map_0241#44	「象牙の獣、その光を生みしとき……」
map_0241#45	「……そして闇の中の歌を通じて、同じ姿の生き物たちに、初めての息が吹き込まれた……」
map_0241#46	この展示は、宇宙から来たことが知られているポケモンについての、様々な記録を紹介している。
map_0241#47	ピッピのDNAと、デジタル化されたデオキシスのDNAが、比較のために並べて展示されている。
map_0241#48	メテオ団員: これで間違いないよな?
map_0241#49	メテオ団員: 間違いないはずだ。
map_0241#50	アル――について書かれてるのは、これだけだし――
map_0241#51	メテオ団員: お前!
map_0241#52	メテオ団員: ここで何してる?
map_0241#53	また、オレたちの邪魔をしに来たのか?!
map_0241#54	ブラックスチームで、オレを檻に押し込んだこと、忘れてないからな!
map_0241#55	メテオ団員: そろそろ、仕返しの時間じゃないか!
map_0241#56	メテオ団員: それとも、お前の邪魔をしてやろうか?
map_0241#57	メテオ団員: こんな場所でか?
map_0241#58	こんなに騒ぎを起こしたら、ボスが喜ばないぞ。
map_0241#59	メテオ団員: チッ、いいだろう。
map_0241#60	\PN、それがお前の名前だったよな?!
map_0241#61	度胸があるなら、タンザン山で会おうぜ!
map_0241#62	あんな連中……何を企んでいるかわかったものではありません。
map_0241#63	あんな格好をした者は、信用しない方がいいでしょう。
map_0241#64	あなたはいつでも歓迎ですよ、お客様。
map_0241#65	おやおや、本当にあの者たちの挑戦を受けたのですか?
map_0241#66	あの怪しい者たちを追い払うとは、実に勇敢ですね。
map_0241#67	おかげで、この博物館も助かりました。
map_0241#68	それでは、慈悲深いお客様に。
map_0241#69	あなたの勇気に対して、博物館秘蔵の化石のひとつをお贈りしましょう。
map_0241#70	はねのカセキと、ふたのカセキ、どちらがよろしいですか?
map_0241#71	どうぞお受け取りください。
map_0241#72	ドーブルがノートボードを取り出し、何かを描いている。
map_0241#73	「こんにちは、私の仕事は絵画の修復です」
map_0241#74	いつかフロスティも、あんな風になるのかな!
map_0241#75	すごいと思わない?!
map_0241#76	アマルスが、存在への恐怖を感じているような目で展示を見つめている。
map_0241#77	割れた鏡が、移ろいゆく過去を映している。
map_0241#78	ラベンダータワー、ポケモンの魂を運ぶ場所。
map_0241#79	ガチゴラスに近縁と考えられる、大型ポケモンの化石。
map_0241#80	展示された碑文には、古代の聖なる象徴について記されている。
map_0241#81	「光の中で交わる、黄金の弧……」
map_0241#82	「……創造主の身体が、我らの交わりとなる……」
map_0241#83	「傾いた十字の紋様……」
map_0241#84	「……精神の核となる四つの価値のための、四つの点……」
map_0241#85	古代の宗教実践者にとって重要だったと考えられる、古代のルビー結晶のレプリカ。
map_0241#86	古代の宗教実践者にとって重要だったと考えられる、古代のサファイア結晶のレプリカ。
map_0241#87	古代の宗教実践者にとって重要だったと考えられる、古代のエメラルド結晶のレプリカ。
map_0241#88	古代の宗教実践者にとって重要だったと考えられる、古代のアメジスト結晶のレプリカ。
map_0241#89	アマルルガに近縁と考えられる、大型ポケモンの化石。
map_0241#90	アーマルドに近縁と考えられる、大型ポケモンの化石。
map_0241#91	ユレイドルに近縁と考えられる、大型ポケモンの化石。
map_0241#92	オムナイトに近縁と考えられる、小型ポケモンの化石。
map_0241#93	カブトに近縁と考えられる、小型ポケモンの化石。
map_0241#94	トリデプスに近縁と考えられる、大型ポケモンの化石。
map_0241#95	ジーランスに近縁と考えられる、大型ポケモンの化石。
map_0241#96	何世紀もの歴史と生命が――ただの骨に成り果てた。
map_0241#97	これらの古い骨格は、かつてどんな生を送っていたのだろう?
map_0241#98	どんな記憶を持っていたのだろう?
map_0241#99	そして、どんな経験が、時の砂に呪われて塵となって消えていったのだろう?
map_0241#100	その経験すべてが、今は無意味なものになっている。
map_0241#101	そもそも、意味などあったのだろうか?
map_0241#102	それを知るには、お粗末な代用品だけれど、
map_0241#103	今度誰かにパスワードを聞かれたら、「0exp」とでも答えてみるといい。
map_0241#104	得られたはずの経験が、すべて一瞬で消え去るというのがどういうことか、身をもって知れるだろう。
map_0241#105	アバゴーラに近縁と考えられる、大型ポケモンの化石。
map_0241#106	やけたやぐら、歴史と伝統の記念碑。
map_0241#107	ヤシガタウン、自然と調和して人々が暮らす街。
map_0241#108	シンオウ神殿、我々の世界と過去の世界をつなぐ橋。
map_0241#109	イッシュ地方の春の光景。桜の花びらが宙に舞う。
map_0241#110	イッシュ地方の真夏の光景。キャンバスの上で、空気が陽炎のように揺らめく。
map_0241#111	イッシュ地方の秋の光景。木の葉が、虹のあらゆる色に輝く。
map_0241#112	イッシュ地方の冬の光景。あらゆる場所に雪が積もり、世界を照らしている。
map_0241#113	遠い地の、時の流れを追うための文字盤。
map_0241#114	アローラ伝説の中心にある、太陽と月の祭壇。
map_0241#115	活気ある沿岸都市を見下ろす、観光客で賑わう遠い地のホテル。
map_0241#116	この場所を見ていると、魂が若返るようだ。
map_0241#117	街が緋色に輝き、その鮮やかな色彩が人々の活気を物語っている。
map_0241#118	色彩豊かであるにもかかわらず、なぜか荒涼とした気持ちにさせられる。
map_0241#119	ビクスビシオン荒れ地、その終わりなき混沌のすべてが描かれている。
map_0241#120	ベリル墓地、旅立った魂が永遠に敬われる場所。
map_0241#121	クリソリア温泉、忘れがたい調和の中で炎と水が融合する。
map_0241#122	古代の宗教実践者から発見されたと考えられる、アルセウスの芸術的な描写。
map_0241#123	砂漠に隠された塔。オアシスを三度通り抜けた者、あるいはさらにその後四分の四を経た者にのみ姿を現す。
map_0241#124	広大な山脈から流れ出す滝。街の城壁を越え、大雨のように降り注ぐ。
map_0241#125	スピネル博物館ギフトショップへようこそ、ここの楽しさは、ネバーメルトのように溶けない冷たさです!
map_0241#126	新人からベテランまで、選りすぐりのタイプ対応バトルアイテムとポケモン化石を販売しています。
map_0241#127	化石は、上の階で復元するのをお忘れなく!
map_0241#128	新しいギフトショップを、ぜひお楽しみください!
map_0241#129	街全体が改装されているので、私たちも独自に改装してみることにしました。
map_0241#130	前はアマルスをここに連れてきていたんですが、骨格標本だらけのこういう場所は、たぶん彼女を怖がらせていたんだと気づいて。
