map_0901#847	会えて嬉しいよ!
map_0901#952	もしくは「感嘆符を使いすぎる人」!
map_0901#953	専攻はコミュニケーション学で、副専攻は演劇。
map_0901#954	このコミュニティにいるのは……2019年の初め頃から?
map_0901#955	それでも本当にアクティブになったのは、2020年半ばにスターライトの開発に加わってから。
map_0901#956	でもそれ以前から、リボーンはずっとプレイしてたよ! エピソード6から始めたの! だから……2013年? 2014年くらい?
map_0901#957	ゲームだけじゃなくて、コミュニティにもっと早く出会えなかったのが心残りではあるけど、
map_0901#958	遅くても、来ないよりはマシってやつだよね?
map_0901#959	リボーンに関するカテゴリーがまるまる一つあるから、順番に読んでくれてるなら、もうあたしの体験談は読んでくれてるはず!
map_0901#960	でも、個人的に本当にどんな意味を持つかってこと?
map_0901#961	ヴルペスの真似をして、さっと注意喚起のテープを張っておくね。
map_0901#962	今は午前4時34分だから、いつもよりちょっと感傷的になってると思う――それがどれだけかは察してほしい。
map_0901#963	だから、心構えができてないなら、ここで引き返してもいいからね!
map_0901#964	クリム: よし。
map_0901#965	これはあたしの他の話からも、もしくは数分でもあたしと一緒に過ごしたことがあれば、たぶん明らかだと思うけど、
map_0901#966	あたしはかなりひどい不安障害を、もうずっと長いこと抱えてる。
map_0901#967	自分自身にも自分の仕事にもすごく高い基準を課してて、それについて考えすぎて極端に思考が渦を巻いてしまう傾向があるの。
map_0901#968	これはリボーンの仕事をしてる時、特に顕著だった――何かを始めることを考えただけで固まっちゃうくらい、失敗するんじゃないかって怖かったの。
map_0901#969	もしくは、自分で勝手に設定した、根拠のない期待に応えられないんじゃないかって。
map_0901#970	こんな考え方だった……
map_0901#971	「これ本当にリボーンに入るの? もう本格的な舞台なんだから、絶対良いものじゃなきゃ」
map_0901#972	だから、ほんの些細な細部にもすごくこだわって、そのことで自分を身動きできなくしてた。
map_0901#973	人との関わりでも同じだった――邪魔になってるとか押しかけてるとか感じずに、ただその場に存在するっていう基準すら満たせないんじゃないかって苦しんでた。
map_0901#974	自分より他人のことを心配しがちで、みんなが快適で幸せでいられるようにしたいと思うから……
map_0901#975	頭の中に、それがずっと居座ってた感じ。
map_0901#976	正直、今もまだそれと戦ってる問題じゃないって言ったら嘘になる。
map_0901#977	でもリボーン自体、特に開発サーバーとその中の友達には、本当に助けられてきた。
map_0901#978	侵入的な考えに巻き込まれずに、ただ「いる」だけでいい場所があるのは、すごく心の支えになった。
map_0901#979	一歩ずつだけど、ちゃんと前に進んでる。
map_0901#980	みんながいなかったら、絶対今ほどの進歩はできてなかったと思う。
map_0901#981	友達が一度歌を送ってくれたことがあって――その歌詞の一節がこんな感じなの:
map_0901#982	「人生は、何をするかじゃなくて、誰とそれをするかだ」
map_0901#983	……そう、そうなの。
map_0901#984	リボーンに関わったのは、忘れられない経験だった――何と引き換えにしても手放したくないくらい。
map_0901#985	でもチームのみんなが、その旅路をもっと特別なものにしてくれた。
map_0901#986	アメには、この旅に招いてくれたことを、
map_0901#987	そしてこの部屋にいる他のみんな、それにここにはいない人たちにも――
map_0901#988	みんながいなかったら、絶対同じにはならなかった、
map_0901#989	みんなを大切な友達だって呼べることを、誇りに思ってる。
map_0901#990	クリム: それで、もしこれを読んでる誰かに、少しでも共感できるところがあったら?
map_0901#991	自分は一人じゃないって、そして自分をもっと認めてあげていいんだって、知っておいてね。
map_0901#992	あなたが思ってるよりずっと多くの人が、あなたのことを気にかけて、大切に思ってる。
map_0901#993	やりたいことをやるのに苦労してるなら――自分に時間をあげていいんだよ。
map_0901#994	あなたと一緒にいることを純粋に喜びだと感じてくれる人たちに、自分を囲んであげて、
map_0901#995	あなたが値するのと同じ優しさと愛情で、あなたを扱ってくれる人たちに。
map_0901#996	もちろん、一晩で手に入るものじゃないけど。
map_0901#997	あたしもそういう考えにとらわれることがあるって分かってる。
map_0901#998	でもいつか――それが今日じゃなくても――あなたがどれだけ輝いているか、自分の目で見られる日が来ますように。
map_0901#999	……他に何か話したいことある?
map_0901#1000	クリム: もちろん。
map_0901#1001	自分を大事にしてね!
map_0901#1002	素敵な一日を過ごせますように~
map_0901#1003	それとも夜かな、これを読んでるのがいつでも!
map_0901#1004	クリム: あら? 挑んでくるんだ?
map_0901#1005	オーケー、でも今回はもっと準備してきたから!
map_0901#1006	言っておくけど、あたし、今でもこのゲーム下手だから!
map_0901#1007	そこは変わってない!
map_0901#1008	……でもそれをどう克服するか知ってる?
map_0901#1009	でっかい剣でどうにかする!
map_0901#1010	いくよ!!
map_0901#1011	あーあ、しくじった。次はきっと決めてみせるから~
map_0901#1012	クリム: オーケー、ごめん、その、しまった――
map_0901#1013	こんなはずじゃなかったんだけど――?
map_0901#1014	でもあなたのこと誇りに思うよ、よくやった!
map_0901#1015	はい、パーティー直しておくから、BPをどうぞ。
map_0901#1016	……それと、ねえ、あたしからのプレゼント!
map_0901#1017	今回だけね!
map_0901#1018	追加でBPをどうぞ!
map_0901#1019	ご褒美ってことで。
map_0901#1020	ここまで来たんだし、正直、その資格あるよ!
map_0901#1021	これで所持BPは……\v[593]になった!
map_0901#1022	クリム: ……あ。実際に勝つとは思ってなかった。
map_0901#1023	でも大丈夫、よくやったよ!
map_0901#1024	パーティー直しておくね。
map_0901#1025	次は絶対決められるよ!
map_0901#1026	あ、そうそう?
map_0901#1027	あたしのロコンがちゃんと当ててくれてたらいいな!
map_0901#1028	クリム: オーケー!
map_0901#1029	先に言っておくけど、あたし、このゲーム結構下手だから!
map_0901#1030	でも大好きなポケモンだけのチームにちょっと……力を借りていいなら?
map_0901#1031	あたしでもチャンスあるかも!
map_0901#1032	……たぶんね。
map_0901#1033	さあ、来て!
map_0901#1034	クリム: よし、大丈夫!
map_0901#1035	開発ルームの残りも楽しんでね~
map_0901#1036	それにゲームの残りもね!
map_0901#1037	ここまで来られたこと、嬉しく思うよ。
map_0901#1038	最後まで、ずっとね!
map_0901#1039	あたしがこのゲームからもらったのと同じくらい、たくさんの素敵な思い出を作れてたらいいな。
map_0901#1040	日によっては、それがすべてになることもあるから。
map_0901#1041	これからもまだまだ素敵なことが待ってるよ!
map_0901#1042	あたしと同じくらい、このゲームからたくさんの素敵な思い出を作れてる――もしくはこれから作れると――いいな。
map_0901#1043	オータム: あ、どうも! 開発ルームへようこそ! ここは、ええと……みんなでのんびりくつろぐ場所、かな?
map_0901#1044	この広大な地方の外は結構大変だけど、それを少しは良くしてくれたこと、あなたに感謝すべきなんだよね?
map_0901#1045	さて! 何をしてあげようか?
map_0901#1046	バトル? よし、言っておくけど、この部屋にいる全員相手にトーナメントに出場したことあるんだよ!
map_0901#1047	結果は……
map_0901#1048	ぶっちぎりの最下位。
map_0901#1049	だからかっこいい剣を手に入れたわけ!
map_0901#1050	じゃあ、また今度かな?
map_0901#1051	オータム: オーケー分かった! はい、これはシンオウ産の、爆発技の相手の防御を下げるっていうTMのために取っておいたものなんだけど……
map_0901#1052	まあ、あげちゃう。
map_0901#1053	これで所持BPは\v[593]になったよ。
map_0901#1054	オータム: うっ、実際に勝つとは思ってなかった、はは……
map_0901#1055	正直バトルはそんなに得意じゃないの。ただ、ゲームを面白い方法で攻略するのが得意なだけで。
map_0901#1056	実はこの部屋で、誰が本当に一番強いか決めるトーナメントをやろうとしてるんだ! 最下位にならないといいけど……
map_0901#1057	これがいい練習になるといいな! 手加減しないでね!!
map_0901#1058	自分から話を振らない限り、自分のことは話さないっていう固いルールがあるんだけど、あなたがチャットボタンを押したのは分かってるから……
map_0901#1059	もうちょっと具体的に聞いてもらわないと!
map_0901#1060	さあ、どうぞ? \ch[62,-1,あなたは誰?,何をしてるの?,リボーンはあなたにとってどんな意味?,やっぱりいいや。]
map_0901#1061	オータム: まあ、もう読んでくれてるかもしれないけど、名前はオータムです!
map_0901#1062	でももしコミュニティの古参なら、イヌキって名前の方がピンと来るかも。
map_0901#1063	そう、あのイヌキ。ポリゴン2の橋で有名な。ああ、あれはいくつかの性別と、たくさんの人生経験を経た昔の話だけど。
map_0901#1064	それ以外だと……自分は何者かって? 正直自分でもよく分かんないけど、はい! ちゃんとした答えの代わりに面白い事実を5つあげるね!
map_0901#1065	事実その1: あたしから一マス離れたところに座ってるあの人、見える? あの位置取りは偶然じゃないよ!
map_0901#1066	文字通り、人生の半分以上、あの人が親友なの!(ちなみにあたしは27歳。)
map_0901#1067	バタフライ効果って考え出すと馬鹿らしいよね。蝶を踏んづけたって、ただ失礼なだけで、何かが起きる確率なんてほぼゼロだし。
map_0901#1068	でもあの人と出会ったこと? それがあたしの人生の他の全部のきっかけになった出来事なの。
map_0901#1069	あの人が関わったことに触れずに、あたしが何者かなんて答えるの、文字通り不可能。
map_0901#1070	愛してるよ、相棒。あたしが歩いてる道を切り開いてくれて、色々ありがとう。
map_0901#1071	事実その2: メガディアンシーが一番好きなポケモン!
map_0901#1072	事実その3: 昔、フィールド効果関連の何かをプログラミングしてた時のこと……
map_0901#1073	フィールド効果が実装されてから数エピソード後くらいの話だけど。
map_0901#1074	case文の存在をすっかり忘れてて、代わりに30個以上の「end」を含むネストしたif文を作っちゃったの。
map_0901#1075	全部の最後にずらっと並んでてね。
map_0901#1076	事実その3.5: あたし、コンピューターサイエンス専攻だったの。
map_0901#1077	「だった」ね。
map_0901#1078	事実その4: ここでのあたしの見た目は、自分のダンジョンズ&ドラゴンズのキャラ、デネブがモデルなの!
map_0901#1079	今は、たくさんの妖精の蝶の好意を得たアークフェイ・ウォーロックで、最終的にその蝶たちが、彼女の父親の昔の群れだったって判明するの!
map_0901#1080	その父親、結構嫌なやつだったんだけど、蝶たちもそうなのかな? 嫌なやつってのがあの家系の特徴っぽいけど。
map_0901#1081	……とにかく……
map_0901#1082	奥の方のソファに座ってる小さい子が、実はそのキャンペーンのDMなんだよね!
map_0901#1083	長年、違う代名詞で自分を呼ぶことに慣れるために、あのキャラをずいぶん使ってきたんだ。
map_0901#1084	でもそれ以上に、本当に良い物語なの! 毎セッション、みんなで一緒に書き上げていくのが最高に楽しかった!
map_0901#1085	事実その5: 自分はかなり深刻なADHDを抱えてる可能性が高いと思う。
map_0901#1086	これは別に画期的なことでも何でもなくて、このゲームがリリースされる頃には、この質問にはもう答えが出てると思う。
map_0901#1087	戻ってきてこれを直すのを覚えてるか、それとも永遠にこのままか、様子見だね。
map_0901#1088	ふう、オーケー! 他に何か聞きたいことある?
map_0901#1089	了解、別の話題ね!
map_0901#1090	分かった、開発ルームの残りも楽しんでね!
map_0901#1091	この部屋の他のみんなに比べたら、ほんのわずかだけど……
map_0901#1092	もっと面白い答えとしては、あたしは技のアニメーターの一人ってこと。バトルでボタンを押した時に動く、あの面白い絵を動かす担当なの。
map_0901#1093	こう言うのは、あたし自身は動かす対象の面白い絵を「作って」はいないから。芸術的な才能なんて本当に何もないの。
map_0901#1094	頭の中でイメージを思い浮かべる能力もないの。実際にやってみないと、それがどう見えるか分からないタイプ。
map_0901#1095	でも、自分がアニメーションを作る技にどんな「感じ」を持たせたいか、すごく強いこだわりがある。
map_0901#1096	残念ながら、その感覚を実際の形にできない時、あたしはものすごく非生産的になっちゃうの。
map_0901#1097	それに加えて、あたしのひどい労働倫理も相まって、間違いなく一番生産性の低いメンバーになったと思う。
map_0901#1098	でもやっと何か作れた時は、心を込めて作るようにしてる! それが伝わってたらいいな、特にフルパワーZワザの時とか!
map_0901#1099	とにかく、他に何か聞きたいことある?
map_0901#1100	順番に読んでくれてるなら、あたしが自分の相対的な貢献の少なさについて結構気にしてるって、気付いたかもしれない。
map_0901#1101	それはたぶん、あたしみたいな人間なら誰でも感じる自然な反応なんだと思う。
map_0901#1102	でもそう感じてしまうのは、このゲームが本当に大好きで、少なくともコミュニティの思い出が大好きだからなの。
map_0901#1103	だから、昔の話をすると? 親友とあたしで、ポケモンオンラインのサーバーをスクロールしながら、居心地のいい場所を探してたの。
map_0901#1104	知ってるかもしれないけど、全部のコミュニティが誰にでも優しいってわけじゃないよね。
map_0901#1105	たまたま、あたしの一番好きなアニメが「家庭教師ヒットマンREBORN!」ってやつでね。
map_0901#1106	だから名前に「Reborn」が入ってるサーバーを見つけた時、脳みそが勝手にクリックしちゃったの。
map_0901#1107	振り返ってみると、なんて素晴らしい偶然だったんだろうって思う。
map_0901#1108	数年経って、アメがかっこいいゲームを作り始めて、あたしも普通にプレイしたの。特に深くは考えてなかった。
map_0901#1109	細かい記憶は曖昧だけど、「開発陣」としての最初の仕事は、フィールド効果ライブラリのページ埋めだった。
map_0901#1110	要は、コピペを100個くらい大量生産して、デジタルの本にひたすら流し込んでいく作業。
map_0901#1111	いい時間だったよ、役に立ってる感じが嬉しかった! そのうち、あたしは何でも屋のアシスタントになっていった。
map_0901#1112	特に複雑じゃないけどやらなきゃいけないことがあれば、大体あたしがやる係だった!
map_0901#1113	崖をいっぱい作ったり、2番道路を三回も作り直したり、山にどれだけスープが入るか計算したり。
map_0901#1114	アメとダンとあたしは定期的にSkype通話をしてた。本当に楽しい時間だったな!
map_0901#1115	そのうちアニメーション:tm:プロジェクトが始まったの、essentialsに元々ついてたアニメーションが、その、なんていうか……微妙だったから。
map_0901#1116	アメがもういくつかすごく格好いいのを作ってたのを覚えてるけど、そのうち手が疲れちゃって。
map_0901#1117	だからアメがやり方を教えてくれたの!
map_0901#1118	それであたしもやり始めた!
map_0901#1119	それで今、ここにいるってわけ! アメが自分のゲームに関わらせてくれたチャンスに、本当に感謝してる。
map_0901#1120	それに、彼女のコミュニティがこの……
map_0901#1121	すごく長い時間、居場所になってくれたことにも感謝してる。
map_0901#1122	これからもっとずっと長く続くといいな。
map_0901#1123	オータム: あ、オーケー! じゃあ開発ルームの残りも楽しんでね!
map_0901#1124	オータム: あ、\|そうだ、\|うん、\|いいよ、\|もちろん。\|ねえ、行く前に、一番好きなポケモンは何?
map_0901#1125	オータム: 3……\|2……\|1……\|そしてぇ……\.\.\.ズドン。\|
map_0901#1126	そのテキストボックスに何を入れたのか分かんないけど。\|
map_0901#1127	もうゲームからは削除済みだから。\|
map_0901#1128	失礼な態度に見合う価値があったといいけど。
map_0901#1129	>:[
map_0901#1130	ジャン: やあ! こんにちは! まさかここでボクに会うとは思ってなかったでしょ?
map_0901#1131	っていうか、まあ、厳密にはここはボクの世界じゃないんだけどね。
map_0901#1132	いや、厳密にはこの世界に最初に来たのはボクの方だったような……
map_0901#1133	うーん……そんなことは全部忘れて!
map_0901#1134	ジャン: それで、何が必要?
map_0901#1135	ジャン: あ……そうだよね、この世界だとそうするんだよね?
map_0901#1136	バトル? うーん、正直あんまり得意じゃないんだ。まだインターン生だからね、仕方ないよ!
map_0901#1137	でもベストは尽くすよ!
map_0901#1138	>:C
map_0901#1139	ジャン: くそ。
map_0901#1140	オーケー、オーケー……正々堂々、あなたの勝ちだよ。
map_0901#1141	いつか復讐してやるからね。この世界じゃないかもしれないけど……
map_0901#1142	どこか、どこかの場所で、苦しみの循環は決して終わらない。
map_0901#1143	満足いく結末になるまで、ボクらは永遠に、何度でも戦い続けるんだ。
map_0901#1144	因果応報ってやつだね。
map_0901#1145	ジャン: よし、これくらいにしとこう。所持BPは\v[593]になったよ。
map_0901#1146	ジャン: これじゃまるでレモネードスタンドの再来だ……
map_0901#1147	ジャン: おしゃべりしたい? いいよ! 何について話す?
map_0901#1148	ジャン: うん。それがボクの背景設定。
map_0901#1149	今はアクシス・ハイ大学の最上級生なんだ。
map_0901#1150	卒業前にインターンシップに就くことが義務付けられててね。
map_0901#1151	でも、ここだけの話……そんなの本当はどうでもいいんだけど。
map_0901#1152	これは「けじめをつける」ため、この世界での自分の存在を正当化するための手段なんだ。
map_0901#1153	それがルールの一つでしょ? 存在に正当な理由がなければ、ただの小さなピクセルの粒に消えちゃうんだから。
map_0901#1154	戸惑ってる顔してる? みんなにそういう顔されがちなんだよね……
map_0901#1155	まあ、あんまり深く考えないでね、いい?
map_0901#1156	ジャン: おっ、ちゃんと聞いてくれてたんだ!
map_0901#1157	オーケー、じゃあ半分は本当のことを言うと。ボクはこの世界の出身なんだ!
map_0901#1158	っていうか、ここがボクの生まれた場所。概念的にはね。
map_0901#1159	でも最終的に、しばらくしてから「ブルーミング」っていう過程を使ってここを離れられたんだ。
map_0901#1160	咲いたんだよ! それからここを離れて、自分の世界を作った。
map_0901#1161	厳密には……
map_0901#1162	全部自分一人でやったわけじゃないけどね。一緒についてきてくれた友達とかもいるし。
map_0901#1163	ねえ、その顔なに? まるでボクがでたらめ言ってるみたいな……
map_0901#1164	これ全部ちゃんと筋が通ってるんだよ、信じて。嘘なんてつかないから。
map_0901#1165	ジャン: 正直に言うと、この選択肢はキャスから盗んだんだ、彼女が言ってることの多くはボクにも当てはまると思うから。
map_0901#1166	でも、リボーンがボクの人生を変えたっていうのは、控えめすぎる表現だと思う。
map_0901#1167	リボーンに出会う前は、目的もなく、なんとなくさまよってた感じだったんだ。
map_0901#1168	それでアメがこの世界にどれだけの労力を注いだかを見て、自分も同じくらい打ち込んでみたいと思ったんだ。
map_0901#1169	そうやって「開花」できて、リジュブネーションの世界を作ったんだよ。
map_0901#1170	その開花、あんまり綺麗なものじゃなかったんだけどね……初期の試みの多くは反発を食らったりしたし。
map_0901#1171	新しい世界を作るのなんて初めてだったんだよ、まったく……
map_0901#1172	まったく新しい存在の系統を作るのがこんなに大変だとは思わなかった。
map_0901#1173	すごく時間がかかったけど、今はコツをつかめてきたと思う。
map_0901#1174	要するに、アメとリボーンには何もかも借りがあるってわけ。
map_0901#1175	ボクのインターンシップも終わりに近づいてる……
map_0901#1176	ジャン: その答え、結構変わるんだよね。最初はサマヨール、それからシャンデラで……
map_0901#1177	今、えっと……2022年1月23日午後10時23分の時点では、ネンドールかな。
map_0901#1178	ジャン: エイギルどうくつには行った? イオリアには絶対行ってるよね……
map_0901#1179	まあ、その二つが今すぐ思いつくところかな。
map_0901#1180	何か忘れてなきゃいいけど……
map_0901#1181	ジャン: またね。
map_0901#1182	イカル: あ、うーん、ごめん。
map_0901#1183	たまに、自分をここに導いてくれたもの全部を振り返ってしまって、ちょっとぼーっとしちゃうんだ。
map_0901#1184	考えることが多すぎてさ、分かるでしょ?
map_0901#1185	どんなに小さな選択でも、それが自分をあっちこっちに少しずつ押しやってきたんだ。
map_0901#1186	ビジュアルノベルみたいだけど、ほら、これはリアルな話で、好感度みたいなのはないけど。
map_0901#1187	……もしかしたらあるのかも! でもブルームーンアイスクリームを近道として現実の人に試すのはやめてね。それだけじゃ足りないから。
map_0901#1188	とにかく、イカルです。みんなが自分でもできるけど、その時間をボクにしかできないことに使った方がいい、っていう細々した作業を担当してるんだ。
map_0901#1189	それに、ゲームの新しいバージョンが一番不安定な時期に、大抵の人より先にプレイするんだ、それが結構楽しいんだよね。
map_0901#1190	ボクの独り言なんて聞きたくないかもしれないから、そこはあなた次第だけど。
map_0901#1191	イカル: また来てくれたんだ。少し話す? それともバトルしに来た?
map_0901#1192	イカル: もちろん。アメには長々書きすぎないようにするって言ったんだけど、いざ始めると……
map_0901#1193	まあ、これを書き終えた未来のイカルから警告しておくと……結構長いから。
map_0901#1194	一番興味あるのはどれ? \ch[62,-1,リボーン以前,初期のリボーンとリーグ,ゲームでの活動,振り返り]
