map_0643#1	やっぱり　あれだけ殴った甲斐が　あったってことか。
map_0660#5	タカ: 今　思い出しました。
map_0660#6	子どもの頃　一度　父に　ここへ　連れてこられたことが　あります。
map_0660#7	父が　本格的に　メテオ団を　始める前の　ことでした。
map_0660#8	一緒に　何かを　探しに　この遺跡を　探検したんです……
map_0660#9	正直　父についての　数少ない良い思い出の　一つなんです……
map_0660#10	……でも　この部屋には　どこか　不安を　感じます。
map_0660#11	理由は　思い出せませんが　気をつけたほうが　いい気が　します。
map_0661#0	タカ: ストーンエッジ　ですか……
map_0661#1	これが　父の　わざマシンだったのかも　しれません。
map_0661#2	ここに　残していったなら……
map_0661#3	きっと　いつか　僕に　使ってほしかった　んでしょうね。
map_0661#4	あなたが　持っていてください。
map_0661#5	どのみち　あの人の　腐った遺産に　僕は　ふさわしくないので。
map_0661#6	タカ: さっきの部屋の後だと　あんなのが　あと5体　来ても　いけそうです。
map_0661#7	アルセウスの像の下に　ボタンが　ある。
map_0661#8	押しますか?
map_0661#9	タカ: また　一つ……
map_0661#10	ええ　ここにも　ボタンが　あるみたいです。
map_0661#11	どうぞ。
map_0661#12	タカ: 正直に言うと　この場所の自爆ボタンを　あなたに　押させて　二人とも　死なせちゃったんじゃないかって　結構　本気で　心配してました。
map_0661#13	ええと……
map_0661#14	あ　前は　なかった砂の穴が　地面に　できてるみたいです。
map_0661#15	タカ: まだ？
map_0661#16	ボタンは　すでに　像に　しっかり　押しこまれている。
map_0661#17	タカ: これ以上は　もう　無理みたいですね……
map_0661#18	でも　神社に　こんな仕掛けが　あるのって　少し　変じゃ　ないですか?
map_0661#19	まあ　神社　ではあるんでしょうけど。
map_0661#20	少なくとも　前に来たとき　父は　ここで　祈っていた気が　します……
map_0661#21	タカ: これ「守護者の遺産」がどうとか　書いてある気が　します?
map_0661#22	色あせすぎて　読めません。
map_0661#23	タカ: これ　前にも　見た気が　します……　どれくらい　前だったかな?
map_0661#24	タカ: よし　心臓発作は　終わりですか?
map_0661#25	ですよね?
map_0661#26	寿命は　何年　削れました?
map_0661#27	ですね。
map_0661#28	ここまでは　追ってこないと　思います。
map_0661#29	あれを　忘れてたなんて　信じられません……
map_0661#30	あのとき　父は　これが　僕らの一族が　残した　何かの試練だと　言ってました……
map_0661#31	絶対に　必要なかったと　思わずには　いられません。
map_0661#32	はい
map_0661#33	いいえ
map_0662#0	タカ: 上の部屋を　見た感じ　ガブリアスナイトを　期待してたんですけどね。
map_0662#1	まあ　父が　あれを　持ってないなんて　ことは　ないでしょうし……
map_0662#2	石の水盤に　パンくずが　残っている。
map_0662#3	ポケスナックを　水盤に　補充しますか?
map_0662#4	……
map_0662#5	満タンだ!
map_0662#6	タカ: ここには　くずしか　残ってないみたいですね……
map_0662#7	タカ: お供え物　というなら　この水盤が　置き場所だったんでしょう。
map_0662#8	ずいぶん　たくさん　ありますね……　昔は　もっと多くの人のための　場所だったんでしょうか。
map_0662#9	父が　言うには　昔は　うちの一族は　もっと大きくて　もっと　影響力が　あったそうです。
map_0662#10	衰退していくのは　世の常ってやつですね。
map_0662#11	とにかく　ポケモンが　好きそうなものを　持ってたら　そこに　置いてみてください。
map_0662#12	タカ: これで　十分でしょう。何か　来てくれると　いいですね。
map_0662#13	水盤には　今　食べ物が　いっぱいに　なっている。
map_0662#14	タカ: これは　もう　満杯です。
map_0662#15	でも　何か　来てほしいなら　しばらく　姿を　消したほうが　いいかもしれません。
map_0662#16	ポケスナックを　水盤に　補充しますか?
map_0662#17	タカ: え　もう　逃げちゃったんですか?
map_0662#18	あいつ　かなり　臆病なんですね……
map_0662#19	タカ: また? そんなに　近づいてすら　いなかったのに。
map_0662#20	というか　こっち　見てすら　いました?
map_0662#21	タカ: だんだん　絶望的な　気が　してきました。
map_0662#22	タカ: 手分けして　挟み撃ちに　とも思いますが　地中に　もぐれる以上　あまり　意味は　なさそうです。
map_0662#23	タカ: 何か他に　不意を突く方法が　あるんじゃ　ないでしょうか?
map_0662#24	タカ: これは　わりと　状態が　いいですね……　碑文以外は。
map_0662#26	ええ　まったく　わかりません。
map_0662#27	タカ: これには……「名誉の伝統」とかいう　ことが　書いてある気が　します?
map_0662#28	……道理で　父は　いつも　あんな退屈なこと　言ってたわけですね。
map_0662#29	タカ: この下にも　どこか　あった気が……
map_0662#30	ああ　思い出しました!
map_0662#31	ここが　父が　自分のガブリアスと　出会った場所です!
map_0662#32	まあ――　当時は　ただの　フカマルでしたけど。
map_0662#33	それで――
map_0662#34	トロイ: ああ……
map_0662#35	忘れてました……　父は　僕にも　一体　取ってやろうと　したんです。
map_0662#36	でも　僕は　欲しく　ありませんでした。
map_0662#37	なぜだったかは　覚えてません。
map_0662#38	帰るとき　父は　僕が　捕まえなかったせいで　旅行が　台無しだと　言いました……
map_0662#39	良い思い出も　台無しですね。すっかり　忘れてました。
map_0662#40	欲しくなくても　言うとおりに　しておけば　よかったのかもしれません。
map_0662#41	ただの子どもでしたから。たいした理由なんて　なかったんでしょう。
map_0662#42	……でも　考えてみれば　一族が　僕に残したポケモンを　拒んだのは　いずれ　彼らを　離れて　あなたと　ここへ来ることに　なる　証だったのかもしれません。
map_0662#43	だから　今も　やっぱり　欲しくないんです。
map_0662#44	でも　あなたが　あんなポケモンを　探したいなら　僕は　応援します。
map_0662#45	普通のやり方じゃ　出てこないと　思いますが……
map_0662#46	お供え物を　置いて　あとで　戻ってこなきゃ　いけなかった気が　します……
map_0662#47	はい
map_0662#48	いいえ
map_0663#0	エンジンは　まだ　動くようだ。
map_0663#1	フルスピードで　行きますか?
map_0663#2	タカ: うわあああ　ちょっと　狂った運転手さん　ハンドル　ちゃんと　見てくださいよ……
map_0663#3	タカ: 二度と　あなたの運転で　どこにも　行かないって　忘れないように　しないと……
map_0663#4	というか　あなたと　一緒になら　こんな最期も　悪くないかも。
map_0663#5	タカ: わざと　やってますよね……
map_0663#6	エンジンは　壊れているようだ。
map_0663#7	線路に　何かが　邪魔している……
map_0663#8	エンジンは　ショートしているようだ……
map_0663#9	ふと　これは　バグ報告として　今いる場所の　スクリーンショットと一緒に　報告したほうがいいのでは　という考えが　頭をよぎる。
map_0663#10	タカ: ところで　ここには　ジムバトルのために　来たんですか?
map_0663#11	こんな　めちゃくちゃな場所に　本当に　ジムなんて　あるんですか?
map_0663#12	別のセーブデータで　廃品置き場の列車パズルが　クリアされた記録が　見つかった。
map_0663#13	廃品置き場の列車パズルを　スキップしますか?
map_0663#14	（このエリアの　アイテムを　入手するには　あとで　自分で　もう一度　入り直す必要が　あります）
map_0663#15	はい
map_0663#16	いいえ
map_0666#0	おやおや。ここいらじゃ　新顔なんて　めったに　見ねぇな。
map_0666#1	バッフロンビルと　呼んでくれ。
map_0666#2	何か　必要なら　都合を　つけられるかも　しれねぇぜ。
map_0666#3	このあたりの　補給列車から　救い出してきた　がらくたなら　いくらでも　あるからな。
map_0666#4	何が　あるか　見たけりゃ　声を　かけてくれ。
map_0666#5	バッフロンビル: この名前の　由来　知りたいか?
map_0666#6	まあ　ちいと　長い話に　なるが　こう言っとくぜ――
map_0666#7	バッフロンの群れと　高速トラクターと　昔の鉄道網が　閉鎖された本当の理由が　絡んでてな。
map_0666#8	へへ。それ以来　オレは　リボーンシティに　入れねぇんだ。
map_0666#9	ともかく　何か　買いに　来たのか?
map_0666#10	バッフロンビル: ここじゃ　金なんて　あんまり　役に立たねぇ。だったら　何か　買っちまいな!
map_0666#11	よう　トレインタウンへ　ようこそ!
map_0666#12	名前は　アルドス。アルって　呼んでくれて　いいぜ。
map_0666#13	女房の　エウロパには　もう会ったか?
map_0666#14	二人とも　街に　閉じこもってて　うんざりしちまってな　それで　ここまで　歩いてきて　どんな冒険が　できるか　見てみることに　したんだ。
map_0666#15	結局　もう　戻る気には　なれなかった。
map_0666#16	時が経つにつれて　あちこちから　はぐれ者たちを　拾ってきてな―― たいていは　街から　逃げ出したい　連中だ。
map_0666#17	たとえば　パーシーさんとかな?
map_0666#18	砂漠で　倒れてるところを　見つけたんだ。
map_0666#19	旦那が　もう一度　外に　足を踏み出したら　殺すって　誓ってたらしくてな。
map_0666#20	それで　絶対に　見つからないような場所まで　逃げてきたんだ。
map_0666#21	それと　たまに　あの子も　あたりを　うろついてるな。ありゃ　変わってる。
map_0666#22	ともかく　ここで　くつろいでいってくれ。
map_0666#23	何か　必要なら　女房か　オレに　声を　かけてくれ。
map_0666#24	アルドス: ところで　ここに　来たってことは　ジムを　探してるんじゃ　ないか?
map_0666#25	がっかりさせて　悪いが　外に　模様が　描いてあっても　ここじゃ　ねぇんだ。
map_0666#26	昔は　ティタニアの嬢ちゃんが　ここで　挑戦を　受け付けてたんだが……
map_0666#27	まあ　もう少し　先まで　行ってみな。わかるはずだ。
map_0666#28	あの……　こんにちは。何か　ご用でしょうか?
map_0666#29	だ　誰かに　ここへ　送られてきた　わけじゃ　ないですよね?
map_0666#30	わたしを　探してるわけでも　わたしが　誰か　知ってるわけでも　ないですよね?
map_0666#31	……ああ　よかった。
map_0666#32	ごめんなさい――　新しい人が　来ると　どうしても　緊張してしまって。
map_0666#33	あの人から　来た人かもって　心配に　なるんです……
map_0666#34	でも　わたしが　誰のことを　言ってるか　わからないなら　問題　ないですよね?
map_0666#35	ただ　ここで　わたしに　会ったこと　誰にも　言わないでくださいね?
map_0666#36	わたしの名前は　ペルセフォネですけど　パーシーって　呼んでください。
map_0666#37	あの　わたしは　たぶん　あまり　お役に立てませんけど　しばらく　ここに　いるなら　エウロパに　話しかけてみては?
map_0666#38	彼女が　ここの　まとめ役　みたいな人なので。
map_0666#39	パーシー: ここでの暮らしは　大変です。食べ物や飲み物が　ほとんどないときも　あります。
map_0666#40	でも　だからこそ　手に入るものを　より　ありがたく　感じられるんだと思います。
map_0666#41	ここで　暮らしてみて　自分が　どれだけ多くのことを　当たり前だと思っていたか　気づかされました
map_0666#42	それに　どれだけ多くのことに　慣れすぎていたかも。
map_0666#43	ここに　いれば　ちゃんと　掃除できなかったと　どなられる心配も　しなくていいし
map_0666#44	誰かの機嫌が　悪かったせいで　どなられることも
map_0666#45	誰かに　キスしたくなかったから　どなられることも……
map_0666#46	そういうことに　あきらめて　慣れてしまっていたんです……
map_0666#47	でも　ここに　いると　こんなに　自由を　感じたことは　ありません。
map_0666#48	何が　あっても　戻る気には　なれません。
map_0666#49	失礼しました。わたし――
map_0666#50	……あなたを　知ってます。
map_0666#51	わたしのこと　覚えてますか?
map_0666#52	でも　わたしたち　前に　戦ったことが――
map_0666#53	コナル博士の孤児院で。
map_0666#54	わたしの名前は　ステファニーです。
map_0666#55	まあ　この服装のせいで　みんなに「ステファスコープ」って　呼ばれるように　なっちゃいましたけど……
map_0666#56	わたしは　お医者さんじゃないって　いつも　言ってるんですけど。
map_0666#57	でも　あなたと　あの子は　本当に　すごかったです。
map_0666#58	あの事件の結果　あの先生は　施設を　休職することに　なったみたいです。
map_0666#59	あんな出来事　忘れられるものじゃ　ありません。
map_0666#60	それにしても　ここで　あなたに　会うとは　思いませんでした。
map_0666#61	みんなを　避けたくて　ここへ　来たんです。
map_0666#62	実は　あの先生が　いなくなってしばらくして　わたしたち　メテオ団に　勧誘されたんです。
map_0666#63	彼らのために　働かないなら　給料は　もう出ないって　言われて。
map_0666#64	ほとんどの人が　無理やり　働かされることに　なりました。
map_0666#65	他の子どもたちが　どうなったのかすら　わかりません。
map_0666#66	でも　わたしは　危害を加えると　脅されても　拒否し続けました。
map_0666#67	逃がさないと　言われたので　逃げ出して――　ここまで　来たんです。
map_0666#68	運良く　この仲間と　住まいを　見つけられましたが……　昔の生活と比べると　とても　大変です。
map_0666#69	こういう環境でも　もっと効率よく　食料を育てる方法を　研究しています　そうすれば　生活に　あまり　苦労しなくて済むので。
map_0666#70	でも　こういう人たちや　こういう暮らし方に　慣れるのは　大変で……
map_0666#71	それでも　街には　絶対　戻りません―― メテオ団が　活動しなくなるまでは。
map_0666#72	とにかく　驚きました……　でも　仕事に　戻らないと。
map_0666#73	自分のためだけじゃなく　他のみんなも　ここで　自由な暮らしを　続けられるように　したいんです。
map_0666#74	ステファスコープ: 正直　こんなに水が少ない状態で　何かを育てようなんて　無理な話です。
map_0666#75	それが　一番の問題で。
map_0666#76	時々　水を　運んできてもらったり　蜃気楼で　運良く　見つけたり　しますが　どちらも　あてには　できません。
map_0666#77	この砂漠に　安定した水源が　一つでも　見つかれば　きっと　何とか　なるはずです。
map_0666#78	どんどん　傷んでいく服装から　察するに　あちこち　旅を　してるんですよね?
map_0666#79	もし　この砂漠で　水源らしきものを　見つけたら　すぐに　教えてください。
map_0666#80	え……?
map_0666#81	もう　見つけたんですか? 本当に? どこか　教えてください!
map_0666#82	西の洞窟に……
map_0666#83	それって　テクナイト山脈の　ことですよね?
map_0666#84	それなら　全然　遠くないです! これは　すごいことに　なるかも!
map_0666#85	さっそく　選択肢を　見直します。
map_0666#86	本当に　ありがとうございます。
map_0666#87	うーん……　お礼に　この石を　受け取ってください。
map_0666#88	どんな性質のものかは　わかりませんが　前に　自分で　探しているときに　見つけたものです。
map_0666#89	ステファスコープ: まだ　わたしたちに　希望が　残っているのかも　しれません……
map_0666#90	わたしも　探し続けます。
map_0666#91	ステファスコープ: 水源　見つけられました?
map_0666#92	もう　見つけたんですか? 本当に? どこか　教えてください!
map_0666#93	まあ　こんな場所ですから　仕方ないですよね。
map_0666#94	もしかしたら　そもそも　存在しないのかも　しれませんし。
map_0666#95	でも　探し続けます。
map_0666#96	ステファスコープ: 水のこと　あらためて　ありがとうございました。
map_0666#97	うーん……　これも　お礼に　受け取ってください。
map_0666#98	ステファスコープ: これで　いろんな可能性が　開けます。
map_0666#99	これから　何を育てるのが　一番効率がいいか　どう配置するか　どう活用するか　考えないと……
map_0666#100	あ! それに　熱による蒸発を　最小限に抑えながら　どう分配するかも!
map_0666#101	やることは　山ほどありますが―― あなたのおかげで　きっと　うまく　やり遂げます。
map_0666#102	タカ: いいですね　ここ　完璧です。
map_0666#103	エウロパ: 気に入ったかい?
map_0666#104	タカ: ええ。
map_0666#105	ここが　僕の部屋　ってわけですね。
map_0666#106	エウロパ: なら　あんたのもんだ!
map_0666#107	好きに　掃除したり　模様替えしたり　して　いいからね。
map_0666#108	それと　何か　必要なら　あたしか　誰かに　声を　かけとくれ　できる限りのことは　するからさ。
map_0666#109	かなり　疲れてるとは　思うけど　落ち着いたら　みんなに　あいさつしに　出ておいでよ。
map_0666#110	みんな　新しい仲間に会えるのを　いつも　楽しみに　してるからね!
map_0666#111	それまでは　そっとしておくよ。
map_0666#112	タカ: その言葉に　甘えようかな……
map_0666#113	今は　眠るのが　最高に　良さそうに　聞こえます。
map_0666#114	\PN　ここに　連れてきてくれて　ありがとうございます。
map_0666#115	なんだか　きっと　大丈夫な気が　してきました。
map_0666#116	ちょっと　昼寝して　それから……
map_0666#117	あとで　もっと　話しましょう　いいですか?
map_0666#118	タカ: うーん……\PN?
map_0666#119	あんまり　遠くには　行かないですよね?
map_0666#120	なんだか……
map_0666#121	あなたが　近くに　いてくれたほうが　よく　眠れる気が　します……
map_0666#122	タカ: 本当に　眠れるかは　わかりませんけど
map_0666#123	とにかく　試してみないと　いけませんね。
map_0666#125	バッフロンビル: おおっと　相棒!
map_0666#126	入ってきたの　全然　気づかなかったぜ。
map_0666#127	まったく　あの女が　作った裏路地は　本当に　不気味だな。
map_0666#128	???: おおっと　見ない顔だな!
map_0666#129	どうやって　ここに　入ったんだ?!
map_0666#130	ってか　何を　してるんだ?
map_0666#131	彼女のジムから　この辺に　やつが　来るのなんて　めったに　ないし　しかも　会ったこともないやつなら　なおさらだ。
map_0666#132	てっきり　泥棒かと　思ったが　ここには　盗むもんなんて　何もねぇ。
