map_0233#253	アンナ: ノモスが、ノエルに嘘つくのやめてほしいって言ってるよ。
map_0233#475	シャルロット: あたしたちが孤児院にいたのには、理由があるんだけど。
map_0233#476	シャルロット: それより、
map_0233#477	あのサザンドラに乗ってた女は誰?
map_0233#478	アンナ: 女の人がいたの?
map_0233#479	誰も見なかったけど……
map_0233#480	ノエル: いたんだよ、アンナ。あのサザンドラが、勝手に現れたわけじゃない。
map_0233#481	誰かが乗っていた。
map_0233#482	\PN、何か心当たりある?
map_0233#483	シャルロット: ……リン?
map_0233#484	気持ち悪い名前。
map_0233#485	アンナ: ねえ! あたしのペンダント、取り戻せなかったよね?
map_0233#486	アメジストのペンダント。
map_0233#487	それを鍵として使ってるって、どういうこと?
map_0233#488	シェリー: 鍵? 待って……
map_0233#489	前に読んだ古い話を、今思い出したんだけど……
map_0233#490	その話には、隕石の落下地点の周りに築かれた古代都市のことが書かれてたの。
map_0233#491	隕石を収めた神殿は、ルビー、サファイア、エメラルド、アメジストの四つの結晶の鍵で封じられてたって。
map_0233#492	でも、その都市は廃墟となって、失われてしまったの。
map_0233#493	もしかして、あんたのアメジストのペンダントって、その話に出てくる鍵なんじゃ?
map_0233#494	ノエル: だとしたら、その古代都市っていうのは……
map_0233#495	シャルロット: リボーンになった、ってこと。
map_0233#496	シェリー: つまり、古代の神殿はリボーンシティのすぐ下にあるってこと?
map_0233#497	だから、大階段を爆破したんだ!
map_0233#498	市の職員が大階段の下を調査した時、底に遺跡のある巨大な洞窟が見つかったって聞いたことがある。
map_0233#499	シャルロット: 錠は見つけた、だから今は鍵が必要ってわけ。
map_0233#500	アンナ: ヘザーのルビーのゆびわも、鍵のひとつのはず!
map_0233#501	チームメテオが他の鍵を手に入れるのを、止めなきゃ!
map_0233#502	あそこで何をしようとしてるにせよ、ろくなことじゃないはず!
map_0233#503	ローラ: 残るは、エメラルドとサファイアですよね?
map_0233#504	シャルロット: 待って、じゃあ鍵って、宝石類に埋め込まれてるってこと?
map_0233#505	ローラ、お父さんがあの年、誕生日プレゼントにくれたサファイアのブレスレット、覚えてる?
map_0233#506	ローラ: あら、すっかり忘れていました……
map_0233#507	シャルロット: 今、どこにあるの?
map_0233#508	ローラ: わたし――
map_0233#509	お父さんとお母さんが亡くなった時に、失くしてしまって……
map_0233#510	シャルロット: ……そう。
map_0233#511	ローラ: あの火事を、生き延びられなかったのかもしれません……
map_0233#512	アンナ: 火事?
map_0233#513	それで、あの火傷の跡があるの?
map_0233#514	シャルロット: アンナ、もう一回だけ言うけど、あたしに傷跡なんてないから。
map_0233#515	ほら? 完全に綺麗でしょ。
map_0233#516	シェリー: 何も見えないけど……
map_0233#517	アンナ: そうだった! ごめん、いつも忘れちゃう!
map_0233#518	もう話さないから!
map_0233#519	でも、大事なことだから聞くけど、その火事って何のこと?
map_0233#520	ローラ: ええと、その……
map_0233#521	わたしたちがまだ幼かった頃、シャルロットに起きたことです。
map_0233#522	シャルロット: はいはい、この話にはいたくないから。
map_0233#523	ローラ: シャルロット……!
map_0233#524	シェリー: 気まずい……
map_0233#525	アンナ: だね……
map_0233#526	アンナ: それでえっと……
map_0233#527	みんな、元気……?
map_0233#528	あ、そうだ!
map_0233#529	あの人たちが出かけてる間に、\PNとノエル、さっきのバトルの続きやったら!
map_0233#530	ノエル: 必要なことだとは思う。
map_0233#531	アンナ: よし! 外に行こう。
map_0233#532	最後に着いた人は、腐ったタマタマね!
map_0233#533	シェリー: みんな無事で本当によかった……でも……でも、サファイラは?
map_0233#534	シャルロット: ねえ、姉さんならきっと大丈夫。
map_0233#535	あのサファイラの話をしてるんだから。
map_0233#536	そんな簡単にくたばったりしない。
map_0233#537	ローラ: 違うと証明されるまで、わたしは心配し続けると思います……
map_0233#538	ローラ: あ、ありがとう、アンナ……
map_0233#539	その通りですね、自分を追い詰めすぎちゃいけません……
map_0233#540	ただ、二人のどちらかを失うなんて、考えるだけで耐えられなくて。
map_0233#541	だって、二人しかいないんですから。
map_0233#542	あの二人が、どうしていつも冷静でいられるのか、わたしにはわかりません。
map_0233#543	サファイラは言うんです――感情があるからこそ、わたしたちは強くなれるって。
map_0233#544	あの人が、いつもあんなに激しく戦う原動力を見つけられる理由はわかる気がします。でも、わたしは……
map_0233#545	わたしは、ただ揺らいでるだけなんだと思います。
map_0233#546	でも、そう言うと、彼女は言うんです、
map_0233#547	ちがう、
map_0233#548	あんたは、ただ違う種類の強さを持ってるだけだって。
map_0233#549	それがどういう意味か、まだわかりません。
map_0233#550	でも、いつかわかる日が来るのかもしれません。
map_0233#551	ローラ: 何があったんでしょう?
map_0233#552	それに、シャルロットはどこに?
map_0233#553	シェリー: サファイラ、本当にあれを生き延びられたと思う?
map_0233#554	あんなに急な落下だったのに……
map_0233#555	シェリー: みんな無事だといいけど……
map_0233#556	ノエル: \PN、ちょっと別の部屋で話せる?
map_0233#557	「月刊ドラゴン使い」の隣に、一枚の写真がしまい込まれている。
map_0233#558	手に取りますか?
map_0233#559	「月刊ドラゴン使い」の一冊……
map_0233#560	ローラ: 器を清める時間をいただき、ありがとうございます。
map_0233#561	ローラ: お口に合っていればいいのですが。
map_0233#562	今回のブレンドは、ローズと抹茶をベースに、ヤグルマギクとカサブランカを添えたものです。
map_0233#563	他にもいくつかブレンドに取り組んでいるんですが、まだお試しいただける段階ではないと思います。
map_0233#564	できるだけ風味を引き出せるよう、配合をさらに調整していきたいと思っています。
map_0233#565	……この作業全体が、わたしにはとても性に合っているように思います。
map_0233#566	これを新しい趣味として始めてみてはと勧めてくれたのは、ベネットでした。
map_0233#567	何しろ、それぞれの材料を粉にして混ぜ合わせる作業は、かなり繊細な工程ですから。
map_0233#568	正直なところ、とても落ち着けると感じています。
map_0233#569	それに、すでに育てている花たちの使い道にもなりますし。
map_0233#570	少なくとも材料に関しては、これ以上のものはないと、かなり自信を持っています。
map_0233#571	茶道の背景にある思想についても、ますます深く感謝するようになりました。
map_0233#572	浄化を重んじるところに、最初は惹かれたのですが、
map_0233#573	お茶をひとつの経験として理解するとなると……
map_0233#574	種から花へ、花びらから茶碗へ、
map_0233#575	味わったお茶には、何の痕跡も残りません。
map_0233#576	それでも、共に過ごした時間は、疑いようもなく永遠のものです。
map_0233#577	それは、いつまでもわたしたちの中に残り続けます。
map_0233#578	あの静かなひとときに向けるのと同じ敬意と感謝を、わたしたちが互いに示せるようになれたら、と心から思うのです。
map_0233#579	……まあ、「世界平和」なんて言うと少し幼稚に聞こえるかもしれませんが、それでもどこまで行けるか、想像できますか?
map_0233#580	ローラ: 数日後には、姉たちもこれに招待するつもりです。
map_0233#581	シャルロットはコーヒー信者ですけど、正しいブレンドがあれば、きっと改宗させられると思います……
map_0233#582	二階へ行く
map_0233#583	一階に残る
map_0233#585	ドクター
map_0233#586	はい
map_0233#587	いいえ
map_0234#0	こんな場所から、一体どうやって抜け出せばいいのよ?!
map_0234#1	アウレリア: もう知らない、燃やしちゃえ!
map_0234#2	こうするしかなかったの。
map_0234#3	もしかして、お困りですか?
map_0234#4	セラティサ: 進み続けるだけでいいんですよ。
map_0234#5	ここで迷う人は多いですけど、実際はそんなに複雑じゃないんです。
map_0234#6	たしかに、ぐるぐる回らされますけど……
map_0234#7	でも、進める道は常にひとつだけです。
map_0234#8	後退しているように感じても、前に進み続けるだけでいいんです。
map_0234#9	前進って、時々そういうものですから。
map_0234#10	研究者: おや、こんにちは! こんな森の奥で、他の人に会えるとは驚きました!
map_0234#11	わたしはアベンチュリン自然センターの者です。この地域や遠方の、あらゆる環境について様々な調査を行っています。
map_0234#12	ちょうど、フィールド効果の抽出ポイントをここに設置していたところです。
map_0234#13	自然の影響を最も純粋な形で測定できる、こういう辺鄙な場所でよくやるんですよ!
map_0234#14	かなり時間がかかるので、データの断片が置き去りになることもあります。落ちているフィールドデータがあれば、ご自由にお持ちください!
map_0234#15	これはまだしばらく準備が整いませんが、せっかくここまで来ていただいたので、以前の抽出データをお渡ししましょう。
