map_0573#31	それまでは助け出されるわけにはいかないんだ。
map_0586#12	旅の無事を祈ります、親切な旅の方。この辺りに来ることがあれば、アズリンセンターにも寄ってくださいね!
map_0586#13	アベンチュリンネイチャーセンターで世話をしていた野生のヘラクロスとカイロスは、あの森にいたときより、ここのほうがずっと仲良くやっているみたい。
map_0586#14	蜜を取り合わなくて済むからかしら?
map_0586#15	ああもう、本当に困ったことになったわ。
map_0586#16	今期の再導入ノルマが、あと1匹足りないの。
map_0586#17	ねえ、もしかしてマスキッパを持っていたりしない?
map_0586#18	都合をつけてくれたら、すごく助かるんだけど。
map_0586#19	お礼に、余っているタマゴをあげられるわ。
map_0586#20	その種をリボーンに再導入する予定だったんだけど、ここが開設されてプログラムの予定が変わって、今は余ってしまっているの。
map_0586#21	あ、トレーナーさん、もしかしてマスキッパを持っていたりしませんか?
map_0586#22	ああ、聞くだけ聞いてみたけど。
map_0586#23	持ってるの?!
map_0586#24	ああ、本当に助かるわ。ありがとう。
map_0586#25	はい、どうぞ。
map_0586#26	\PNはマスキッパをタマゴと交換した!
map_0586#27	やった! 本当に助かったわ!
map_0586#28	気をつけてね、トレーナーさん。
map_0586#29	ようこそ、旅の方。
map_0586#30	あなた、トレーナーですよね?
map_0586#31	このポケモンを引き取ってもらえないかしら?
map_0586#32	再建の計画を始めたとき、古い建物の地下室に閉じ込められていたこのチコリータを見つけたの。
map_0586#33	かわいそうに、過去に虐待されていた形跡があって、ちゃんとした良いトレーナーの元に行かせてあげたいの。
map_0586#34	ここに置いておきたいところだけど、ここで世話をしている他のポケモンの多くを怖がっているみたいで。
map_0586#35	面倒を見てもらえないかしら?
map_0586#36	よかった。ほっとしたわ。
map_0586#37	チコリータのこと、よろしくお願いね。
map_0586#38	そう。残念だわ。
map_0586#39	でも大丈夫。いつか誰かが引き取りに来てくれるはずだから。
map_0586#40	はい
map_0586#41	いいえ
map_0587#0	南オブシディア低所得者向けコミュニティ団地――略してSOLICEへようこそ。
map_0587#1	ここでは、週ごとのボランティア活動と引き換えに、質は高いのに低価格なワンルームや1ベッドルームの賃貸スペースを提供しています。
map_0587#2	困ったときには誰もが安らぎ(SOLICE)を受ける資格があります。今では、私たちや地域社会を助けるボランティアの時間と引き換えに、それを手にすることができるんです。
map_0587#3	失礼ですが、どこかで見覚えがある気がします。
map_0587#4	ああ! この場所を完成させるための資金を出してくださった方ですよね?
map_0587#5	お会いできて光栄です!
map_0587#6	正直言うと、大ホールの人たちから、目標額の残り全部を一人の方が寄付してくれたと聞いたときは、本当に驚きました。
map_0587#7	でも、これは何年も前からわたしが情熱を注いできたプロジェクトなんです。
map_0587#8	実現できるなんて思ってもいませんでした!
map_0587#9	心の底から、ありがとうございます。
map_0587#10	利用者みんなも、きっと同じ気持ちだと思います。
map_0587#11	何かお返しできればいいのですが、時間もお金も、ほとんどこの場所につぎ込んでしまって……
map_0587#12	ああ、大した価値はないかもしれませんが、それを判断するのは、わたしよりあなたのほうが向いているはずです。
map_0587#13	住人の一人がこの鍵を届けてくれたんです。どこかで見つけたと言っていましたが、うちのものではありません。
map_0587#14	何か良いところに繋がる鍵かもしれません。役立ててもらえれば嬉しいです。
map_0587#15	心の底から、ありがとうございます。利用者みんなも、きっと同じ気持ちだと思います。
map_0587#16	何かできることがあれば、遠慮なく言ってください――もっとも、あなたが住まいに困っているとは思えませんが。
map_0587#17	もう十分すぎるほどしていただいたので、これ以上をお願いするのも心苦しいのですが――
map_0587#18	実は、募集中の仕事があるんです!
map_0587#19	あなたほど気前の良い方なら、支援職に興味があったり、そういう人に心当たりがあったりしても、驚きません。
map_0587#20	興味があれば、気軽に申込書を持っていってください。
map_0587#21	こんにちは。プログラムへの登録をご希望なら、わたしの左にいる責任者に声をかけてください。
map_0587#22	それ以外でしたら、ここでボランティア時間の記録やチェックイン、その他のご用件にも対応できます。
map_0587#23	ぶっちゃけ、昔ながらのやり方の就活じゃ、もう通用しないよな。
map_0587#24	たいていの会社は、応募をネットだけで受け付けてるけど、仕事が必要な俺たちに、パソコンなんてあると思ってんのか?
map_0587#25	まあ、それがこの場所の役目ってわけだ。
map_0587#26	くそ、まともな仕事に就いたのはもう何年も前だってのに、このボランティアってやつは疲れるぜ。
map_0587#27	市と一緒に復興の作業ばっかりやらされてて、そりゃ悪くはないけどよ、なあ、あとレンガをもう一往復運ばされたら……
map_0587#28	……まあどうなるかわからねえけど、絶対キレるぞ。
map_0587#29	少年: うわ、やべ、お前――
map_0587#30	あ、何でもねえ。お前に言ったんじゃねえよ、あっち行け!
map_0587#31	ケンカしたいってんなら別だけどな。
map_0587#32	女だろうがぶちのめすのなんて怖くねえぞ。
map_0587#33	とっとと消えるか?
map_0587#34	んなっ!
map_0587#35	少年: ああ、くそ。最初から何も言うんじゃなかった。
map_0587#36	前に大ホールでレアなポケモンを騙し取られたやつだって、気づいちまってさ。
map_0587#37	もう盗まれたもんなら盗みにはならねえだろって思って、一芝居打って、そのレアなポケモンを自分でかっぱらったんだよ。
map_0587#38	北オブシディアのギャングに売って、1週間分の食い扶持を稼いだけどな。あそこのギャングはラピスから巻き上げてる分、金払いがいいんだ。
map_0587#39	恨まないでくれよ。あれから心を入れ替えたけど、生きていくためにはやることやるしかねえだろ、わかるか?
map_0587#40	とにかく、そのポケモンはもう手元にねえよ、悪いな!
map_0587#41	少年: 前に大ホールでレアなポケモンを騙し取られたやつだって、気づいたんだ。
map_0587#42	カウンターにはSOLICEの求人応募用紙が積まれている。
map_0587#43	1枚もらいますか?
map_0587#44	いいえ
map_0587#45	はい
map_0588#0	アドリエンヌ: 早いね。
map_0588#1	タカ: どうやら早すぎたわけじゃなかったみたいで。
map_0588#2	お待たせしたくなかったんですが。
map_0588#3	アドリエンヌ: 別の用事があってね。
map_0588#4	アドリエンヌ: アドリエンヌ・フローレス。
map_0588#5	最善を尽くしてきたつもりだけど、この復興が始まって以来、コミュニティの一人一人に会うという点では、お粗末な仕事しかできていないわ。
map_0588#6	ナイトクラブであなたを見かけたことはあったけど、きちんと知り合う機会を逃していたわね。
map_0588#7	とはいえ、あなたが\PNの良き友人だと聞いているわ。
map_0588#8	そのことには感謝しているの。
map_0588#9	タカ: 僕も、それを含めて多くの機会を逃してきましたから。
map_0588#10	僕のことは気にしないでください。
map_0588#11	でも、\PNが今こうして引き合わせてくれて嬉しいです。
map_0588#12	僕の提案はもう聞きましたか?
map_0588#13	アドリエンヌ: 詳しくはまだよ。
map_0588#14	アドリエンヌ: 文化センター、だったかしら?
map_0588#15	タカ: そうです。
map_0588#16	父はこの地方の歴史と起源を守ることに、強い思いを持っていました。
map_0588#17	そのためなら息絶えるまで戦うつもりでいて――実際、その通りになりました。
map_0588#18	それを止められなかったことについては、今でもいろいろな思いがありますが……
map_0588#19	今は、父が最初から間違った考えを持っていたんだと気づいています。
map_0588#20	進歩に抗うのではなく、僕たちは人々を導き、この土地にいる誰もを尊重しながら成長する方法を教えていくべきなんです。
map_0588#21	アドリエンヌ: そうね、正直、あなたのやり方のほうがお父様のやり方よりずっと好きだわ。
map_0588#22	タカ: 父も、傷ついた子供の一人にすぎなかったんだと、最近わかってきました。
map_0588#23	最近、イライアスが祖父についていろいろ話してくれたんです。
map_0588#24	導くということは、優しさと強さを手を取り合わせて歩むことだと、彼は言っていました。
map_0588#25	それが、僕たちの家系がずっとすべきことだったんだと思います。
map_0588#26	父はただ、自分の痛みに囚われすぎて、それを見失っていたんです。
map_0588#27	再び正しい道に戻すのは、僕の責任です。
map_0588#28	アドリエンヌ: そうね、家系の話を抜きにすれば、それがだいたい、わたしのこの件に対する意見をまとめたようなものだわ。
map_0588#29	優しさと強さを、手を取り合わせて……
map_0588#30	アドリエンヌ: その理念を、あなたの文化センターの中心に据えたいわ。
map_0588#31	タカ: ああ、それじゃ……
map_0588#32	承認してもらえるということですか?
map_0588#33	アドリエンヌ: 前に迷いがあったとしても、今はもうないわ。
map_0588#34	他の地方でいくつか話を進めていて、費用はおそらくそれで賄えるはずよ。
map_0588#35	気がかりなのは場所だけね……
map_0588#36	タカ: それは問題ないと思います。
map_0588#37	実は、だからここで会いたいとお願いしたんです。
map_0588#38	アドリエンヌ: ……ここで?
map_0588#39	タカ: 上にある大階段のことはご存じですよね。
map_0588#40	そこから上に建て増しできると思うんです。
map_0588#41	ここと大門は、無駄に広いスペースを取っていますから。
map_0588#42	下の階は遺跡の保存に、中間階は1番道路へ通じる開放的なテラス通路にできます。
map_0588#43	そして上の階には、娯楽と教育のための地域施設を置けます。
map_0588#44	アドリエンヌ: ずいぶん先まで考えてあるみたいね。
map_0588#45	……その開発を率いて、直接運営する立場をあなたに任せると言ったら、どう答える?
map_0588#46	タカ: それはとても、ありがたいお話だと言います。
map_0588#47	アドリエンヌ: 片方が優しさ、もう片方が強さ、というわけね。
map_0589#0	門が開いた直後に、この街が自ら再生し始めたのは偶然だろうか。
map_0589#1	気は淀ませてはならない。動き続ければ、良くあれる。
map_0590#0	チケットを購入しますか? \ch[321,-1,グランドビュー駅,コガネ駅,サンセット駅,ヘザーヒル駅,ピオニー駅,キングスベリー駅,シャンティポート駅]
map_0590#1	よう。これで気軽に妹に会いに行けるようになったな。
map_0590#2	いや、前だって会いに行く価値がなかったってわけじゃねえけど。
map_0590#3	みんなが通学や下校で混む時間帯を除けば、ここでのんびりするのは結構好きなんだ。上の階に比べてずっと過ごしやすいし!
map_0590#4	ちっ、帰る前にこの仕事を終わらせないと……このままじゃ電車に乗り遅れる。
map_0590#5	あのくっせえ市の避難所なんかには近づかねえよ。
map_0590#6	どうせ満室だろうしな。でも聞いてくれよ。
map_0590#7	このシャトルの座席、結構座り心地いいんだよな! ここに住んじまおうかな!
map_0590#8	ルミ: \PN、待っててくれたの!
map_0590#9	ルミ: 迎えに来てくれてありがとう!
map_0590#10	遅くなってごめんね――
map_0590#11	先生に質問するために残ってて、それでプリンセレラって子と友達になったの――
map_0590#12	それがもう、すっごいの、ほんとに――
map_0590#13	明日、一緒にお昼ご飯を食べる約束をしたんだ!
map_0590#14	それで、イヴが診療所で急な用事ができちゃって、
map_0590#15	たまにノエルが来てくれるんだけど、今日は別の挑戦者がいたみたいで。
map_0590#16	一人で歩いて帰ることもできるんだけど、それじゃつまらないもん。
map_0590#17	プリンセレラも誘おうとしたんだけど、帰る時間にお母さんがすごくうるさいんだって。
map_0590#18	面倒だとは思うけど、わたしはそんなに悪いことだとは思わないな。
map_0590#19	実は、他の生徒の多くはここに通えることを、当たり前だと思ってる気がするの。
map_0590#20	良い学校だからってだけじゃなくて、みんな授業が終わるのを待ちきれないみたいなんだよね。
map_0590#21	まだ新鮮だからかもしれないけど、みんなで学んで、いつも一緒に取り組める人がいるのって、楽しいと思うな!
map_0590#22	ここに通えるようになって、本当に本当に嬉しいの!
map_0590#23	フロリニア先生にまた口をきいてくれたこと、お礼を言っておいてくれる?
map_0590#24	ううん、やっぱり自分でお礼の手紙を書くね!
map_0590#25	ルミ: あ、そろそろ行く時間みたい!
map_0590#26	ルミ: 家に帰ったら、もう作文を書かなきゃいけないの、
map_0590#27	当たり前だろうとなんだろうと、正直「宿題」ってやつにはいまいち納得いってないんだよね。
map_0590#28	ルミ: でも大丈夫、ちゃんとやりきるから!
map_0590#29	家に着いたらすぐ、「勉強がはかどるチルなビート」でも流しながらやるつもり!
map_0591#0	「チケット購入――リボーンシティ以外の地方:
map_0591#1	現在、すべてのチケットは売り切れです。
map_0591#2	また後で確認してください」
map_0591#3	特別利用者として認証されました。
map_0591#4	利用可能な限定区間: トルマリン駅
map_0591#5	チケットを購入しますか?」
map_0591#6	この先は関係者以外立入禁止です。
map_0591#7	どうも。
map_0591#8	まだ利用したことがないなら、グランドビュー駅が稼働しているところを見たことがないかもしれませんね。
map_0591#9	止まっているとこう見えても、この後ろのホームひとつひとつが工学の粋を集めたものなんですよ。
map_0591#10	この下にはさらに十数基が格納されていて、それぞれが回転してずれることで、必要な数の車両を収める余地を作れるんです。
map_0591#11	出発の時間になると、該当のホームが回転して出口ゲートへと出ていきます。
map_0591#12	列車が到着して全員が降りたら、そのままここか下に格納できて、まったく手間がかからないんです!
map_0591#13	こうしてグランドビュー駅は、他の地方の駅よりもずっと少ない敷地面積で、大容量の交通網を維持しているんですよ。
map_0591#14	「チケット購入――リボーンシティ内:
map_0591#15	現在ご利用いただけません。
map_0591#16	「チケット購入――リボーンシティ内」
map_0591#17	チケットを購入しますか? \ch[321,-1,コガネ駅,アイビーライン駅,サンセット駅,ヘザーヒル駅,ピオニー駅,キングスベリー駅,シャンティポート駅]
map_0591#18	こんにちは!
map_0591#19	この美しい車両、見えます?
map_0591#20	残りの資金さえ確保できれば、街中に投入していく新型車両の第一号なんです。
map_0591#21	待望の9R000系……
map_0591#22	こいつらはクリーンで超高速、「近代機関車」なんて言う間もなく、リボーンシティ中の駅までみんなを運んでくれます!
map_0591#23	近日中にご期待ください!
map_0591#24	この場所がようやく再稼働する頃合いだ!
map_0591#25	また選べるようになったからには、あちこち旅して回るに決まってるさ。
map_0591#26	やり残したことリストを片付けないとな!
map_0591#27	うーむ……
map_0591#28	開通したばかりだからか、来る予定の列車がほとんどないんだよなあ。
map_0591#29	ここが復興した今、あとは息子が戻ってきてくれるのを願うだけだ。
map_0591#30	電車すき!
map_0591#31	1台乗りたい!
map_0591#32	2台乗りたい!
map_0591#33	同時に!
map_0591#34	あら、チケットを落としちゃったみたい。遅刻できないのに!
map_0591#35	Zzz……
map_0591#36	7時15分、コガネ行き。7時25分、ピオニー行き。火曜日。7時25分、アイビーライン行き。
map_0591#37	水曜日。7時25分、シャンティポート行き。7時30分、ヘザーヒル行き。7時40分、コガネ行き。
map_0591#38	月曜日。7時45分、キングスベリー行き。火曜日。7時45分、アイビーライン行き。水曜日。7時25分、サンセット行き。カチッ。
map_0591#39	こんにちは! リボーン建設の者です!
map_0591#40	再生した地下鉄道網という前回の大事業を完成させたばかりで、さらに壮大な計画に向けて、今まさに増員したいところなんです!
map_0591#41	あなたやお知り合いで、この街の未来を作る実践的な仕事を探している方がいれば、ぜひご応募ください!
map_0591#42	アドリエンヌ: \PN! お気に入りのチャンピオン!
map_0591#43	来てくれて助かったわ、それにちょうどいいタイミングね。
map_0591#44	ちょうど、こちらの隊長と細かい話をしていたところなの。
map_0591#45	隊長: もう一度、要点をまとめさせてください。
map_0591#46	あなたの仲間の二人が、最近、珍しい遺物を二つ発掘しました。
map_0591#47	とはいえ、それほど珍しいわけでもなく――正体はすぐにわかりました。
map_0591#48	レッドオーブとブルーオーブです。
map_0591#49	これらのアイテムがホウエンで引き起こしたことは、私たちも承知しています……
map_0591#50	リボーンは世界を滅ぼしかねない災厄にはもうたくさんだと、皆を代表して言わせてもらいます!
map_0591#51	そういったことはすべて過去のものにしたはずです!
map_0591#52	アドリエンヌ: 少なくとも、心からそう願っているわ……
map_0591#53	隊長: あんなものは二度とごめんです!
map_0591#54	そこで、勝手ながら海外の専門家に連絡を取り、オーブを安全に他所で保管する手配を整えました。
map_0591#55	あとはそこへ輸送するだけです。
map_0591#56	アドリエンヌ: そこであなたの出番よ。
map_0591#57	輸送の情報が漏れている可能性があるの。
map_0591#58	それに関する情報が漏れてしまって――
map_0591#59	つまり、すでに誰かがオーブを盗もうとしているのはほぼ間違いないわ。
map_0591#60	あなたに列車で海外まで同行してもらって、オーブが無事に目的地に届くのを見届けてほしいの。
map_0591#61	隊長: あなたのように美しく強いチャンピオンがいれば、誰も手を出そうとはしないでしょう!
map_0591#62	チャンピオンが乗っていれば、誰も手を出そうとはしないでしょう!
map_0591#63	アドリエンヌ: 警備役なんて、それほど華やかな仕事じゃないのはわかっているけど、例えばアズリン湖が干上がるみたいな事態を、誰も望んでいないと思うの……
map_0591#64	運が良ければ、行き帰りとも何事もない旅になるはずよ。
map_0591#65	休暇だと思ってくれてもいいくらいだわ!
map_0591#66	隊長: 急かすようで申し訳ありませんが、そろそろ時間が……
map_0591#67	アドリエンヌ: そうね――もともとの輸送計画が漏れていたから、隊長が手配して、早めに旅客列車にこっそり積み込んだの。
map_0591#68	隊長: 運用を変更したことで、情報が漏れた相手の目をかいくぐれることを願っています。
map_0591#69	気づいたときには――もう手遅れというわけです!
map_0591#70	アドリエンヌ: あなたのチケットと乗車の手配はもう済んでいるわ。
map_0591#71	隊長も一緒に行くから――保管車両まで案内して、任務中は乗客にも目を配ってくれるはずよ。
map_0591#72	隊長: はい、はい!
