22f_bt_speeches#120	星の導きが間違っていたとでもいうのか?
22f_bt_speeches#221	はは、その悲しそうな顔、似合ってるよ!
22f_bt_speeches#222	あははは! ウケるんですけど!
22f_bt_speeches#223	星を見るのに興味はあるかい?
22f_bt_speeches#224	警察の仕事を考えてみたことはあるか?
22f_bt_speeches#225	ホウエン地方に行ったことはある?
22f_bt_speeches#226	イッシュ地方に行ったことはある?
22f_bt_speeches#227	本物の念力使いに会ったことはある?
22f_bt_speeches#228	ここ、火事になりそうだと思わない? 煙のにおいがする気がするんだけど...
22f_bt_speeches#229	わたしのうわさ、聞いたことある?
22f_bt_speeches#230	うちの妻を見ませんでしたか? ルーシーっていうんです!
22f_bt_speeches#231	どこかで会ったことないかな?
22f_bt_speeches#232	もう十分勝っただろう?
22f_bt_speeches#233	バトルさせてもらえないと機嫌が悪くてね... ケリー、おいで!
22f_bt_speeches#234	あの人、この子たちをきっと誇りに思ってくれる!
22f_bt_speeches#235	あの人、ほんとにカッコいいの!
22f_bt_speeches#236	そいつはモモンのみを大量に盗んだ容疑で指名手配中でな...
22f_bt_speeches#237	よっしゃー!
22f_bt_speeches#238	よっしゃ! オレのわざは最高だぜ!
22f_bt_speeches#239	ふふ... 気が散っちゃったけど、本当におかしかったのよ、あなた!
