map_0825#118	相手のポケモンを考えれば、そう時間はかからないはずよ。
map_0825#210	またいつか、あんたをいじりに来るのを楽しみにしてるわ～
map_0825#211	ねえ、これ結構楽しかったよね？
map_0825#212	もっとちょくちょく伝説アイテムばらまいてやろっかな！
map_0825#213	そうだ、最近アイテムポケット確認した？
map_0825#214	なーんて、冗談冗談、からかっただけだって。
map_0825#215	……それとも……
map_0825#216	ちょっと待って、それ、まさかプリズンボトル？？？
map_0825#217	誰があんなとこに置いたわけ？
map_0825#218	わかったわかった、ただの冗談だってば～
map_0825#219	ここにある唯一の牢獄なら、今あんたが入ってるそれだけだよ。
map_0825#220	パンパンのバックパックを永遠に確認し続けなきゃいけない運命、ってやつ..............
map_0825#221	とにかく、独り言はもうやめとくけど――
map_0825#222	あ！ 言い忘れるとこだった！
map_0825#223	あんたの仲間、また一人見つけたよ！
map_0825#224	気をつけて見ておいてね、いい？
map_0825#225	ダニエール: サイモン・セズ、右に一歩進んで。\wtnp[30]
map_0825#226	ダニエール: サイモン・セズ、下を向いて。\wtnp[30]
map_0825#227	ダニエール: サイモン・セズ、下に一歩、左に二歩進んで。\wtnp[30]
map_0825#228	ダニエール: 今度は階段を上って。\wtnp[30]
map_0825#229	ダニエール: サイモン・セズ、三歩上に進んで。\wtnp[30]
map_0825#230	ダニエール: サイモン・セズ、岩に触って。\wtnp[30]
map_0825#231	ダニエール: もう一度。\wtnp[30]
map_0825#232	ダニエール: サイモン・セズ、右に一歩、上に二歩進んで。\wtnp[30]
map_0825#233	ダニエール: サイモン・セズ、もう一度下を向いて。\wtnp[30]
map_0825#234	ダニエール: そして今度は上を向いて。\wtnp[30]
map_0825#235	ダニエール: ふぅん～
map_0825#236	間違いよ。
map_0825#237	これで指示は全部だったから、正しくやってれば何か起きてたはずよ。
map_0825#238	もしかして、複雑すぎたかしら?
map_0825#239	もっと簡単なバージョンがいい?
map_0825#240	あげるつもりはないけど。
map_0825#241	こっちの方がずっと面白いもの～
map_0825#242	ダニエール: サイモン・セズ、下に一歩、左に二歩進んで。\wtnp[35]
map_0825#243	ダニエール: サイモン・セズ、灰色の岩を右に一マス押して。\wtnp[35]
map_0825#244	ダニエール: サイモン・セズ、中央の石のすぐ下に立って。\wtnp[35]
map_0825#245	ダニエール: サイモン・セズ、茶色の岩を上に一マス押して。\wtnp[35]
map_0825#246	ダニエール: サイモン・セズ、一番高い岩に触って。\wtnp[35]
map_0825#247	ダニエール: サイモン・セズ、両方の岩を中央の石の方へ押して。\wtnp[35]
map_0825#248	ダニエール: 今度は、灰色の石を上に一マス、右に一マス動かして。\wtnp[35]
map_0825#249	ダニエール: 茶色の岩を中央の石の反対側に動かして。\wtnp[35]
map_0825#250	ダニエール: それから、灰色の岩を右に一マス、下に一マス押して。\wtnp[35]
map_0825#251	ダニエール: サイモン・セズ、中央の石の下に立って、それに触れて。\wtnp[35]
map_0825#252	ダニエール: ……あら!
map_0825#253	間違ってたみたいね?
map_0825#254	なんでかしらね。
map_0825#255	まあ、理由はもう知ってるんだけど。
map_0825#256	でも、あんたは不思議に思ってるでしょ?
map_0825#257	ダニエール: 南のレバーを右に回して。\wtnp[35]
map_0825#258	ダニエール: ダニエール・セズ、一番右のレバーを右に回して。\wtnp[35]
map_0825#259	ダニエール: ダニエール・セズ、左のレバーを左に回して。\wtnp[35]
map_0825#260	ダニエール: サイモン・セズ、上のレバーを左に回して。\wtnp[35]
map_0825#261	ダニエール: ダニエール・セズ、一番下のレバーを左に回して。\wtnp[35]
map_0825#262	ダニエール: ダニエール・セズ、一番上のレバーを右に回して。\wtnp[35]
map_0825#263	ダニエール: 次に、左のレバーを中央に戻して。\wtnp[35]
map_0825#264	ダニエール: それから、一番右のレバーも中央に戻して。\wtnp[35]
map_0825#265	ダニエール: ダニエール・セズ、一番下のレバーを中央に戻して。\wtnp[35]
map_0825#266	ダニエール: ダニエール・セズ、一番左のレバーを右に回して。\wtnp[35]
map_0825#267	ダニエール: サイモン・セズ、一番下のレバーを左に回して。\wtnp[35]
map_0825#268	ダニエール: 今度は、東のレバーを中央に回して。\wtnp[35]
map_0825#269	ダニエール: ダニエール・セズ、北のレバーを中央に回して。\wtnp[35]
map_0825#270	ダニエール: サイモン・セズ、南のレバーを左に回して。\wtnp[35]
map_0825#271	ダニエール: ダニエール・セズ、一番右のレバーを左に回して。\wtnp[35]
map_0825#272	ダニエール: あらら、ダメだった?
map_0825#273	この最高のゲーム、もっと長く遊ぶしかなさそうね!
map_0825#274	ざまあみなさい、サイモン! あんたが誰であれね!
map_0825#275	はい
map_0825#276	いいえ
map_0825#277	最初から
map_0825#278	やめる
map_0825#279	リセット
map_0825#280	説明
map_0825#281	パズルをスキップ
map_0825#282	左
map_0825#283	中央
map_0825#284	右
map_0826#0	よお、そこの見慣れない顔。
map_0826#1	クラブへようこそ――でも悪いが、一般人は入れないんだ。
map_0826#2	このイベントに入りたきゃ、このイベントに勝つ必要があるぜ。
map_0826#3	リーダーやリーグ関係者には無料パスがあるが、このビートを聞きたきゃリーグを倒す必要がある。
map_0826#4	商売的には良くないってわかってるが、まあいいさ、
map_0826#5	街が俺たちに補助金出したいってんなら、それは向こうの問題で、こっちの問題じゃない。
map_0826#6	さあ行きな、相棒。
map_0826#7	いつかあんたがここに入れるよう応援してるぜ――でも息を止めて待つなよ。
map_0826#8	また来たのか、あんた?
map_0826#9	前に言ったこと聞いてなかったのか?
map_0826#10	ここはリーグ関係者とチャンピオンだけの場所だ。
map_0826#11	ようこそ、見慣れない顔。
map_0826#12	何人か、あんたを待ってる人がいるって聞いてるぜ。
map_0826#13	待たせない方がいいだろうな。
map_0826#14	おかえり、相棒。
map_0826#15	一つ言っとくとな――ここにはたくさんの人がふらっとやってくる。
map_0826#16	あんたが初めてここに来たとき、あんたがリーグを倒してこの地方を救う人物になるなんて言われても、俺は信じなかっただろうな。
map_0826#17	でも、あんたはここにいる。
map_0826#18	そして、あんたはここにふさわしい。
map_0826#19	あんたがやるべきことをやり続ける限り、俺はここから応援し続けるぜ。
map_0826#20	アーク: \PN! 久しぶりだな。
map_0826#21	デボンでのあの一件は、なかなかキツかったよな?
map_0826#22	まだこの片目の状態には慣れてないとこだけど、
map_0826#23	もっとひどいことになってたかもって、わからないといけないよな。
map_0826#24	それに、俺だって――
map_0826#25	まあ、こんなことをあんたに望んでたわけじゃないんだ。
map_0826#26	別に殉教者気取ってるわけじゃないぜ。そういうのはもう十分すぎるくらいあったと思うしな。
map_0826#27	でもよ、チームメテオを見かけたら、俺の分も一発かましてくれ。
map_0826#28	今んとこ、俺はただ元の調子を取り戻そうとしてるとこだ、聞いてくれよ?
map_0826#29	それで、7番街周辺のポケモン密輸の件を少し追ってたんだが。
map_0826#30	俺がいない間に、あんたがそれを買い取ってくれたって聞いた。
map_0826#31	感謝してるぜ。
map_0826#32	あんな連中が市場にいちゃいけないし、あんたなら面倒見てくれるって信頼できる。
map_0826#33	あ、そうだ、その礼にこれをあんたに渡したかったんだ。
map_0826#34	アークライト: それが、オブシディアの託児所から盗まれたものだって、もう知ってたか?
map_0826#35	それが、オブシディアの託児所から盗まれたものだって、もう知ってたか?
map_0826#36	そのポケモンたちを、元の飼い主に返してやりたいんだ。
map_0826#37	託児所の夫婦が協力してくれたおかげで、ポケモンを盗まれたトレーナーのうち五人を突き止めることができたぜ。
map_0826#38	結局、あそこを運営してた夫婦は偽者で、本物は捕らえられてたんだ。
map_0826#39	幸い、俺がちゃんと元に戻せたけどな。
map_0826#40	それに、元の託児所の夫婦の協力のおかげで、ポケモンを盗まれたトレーナーのうち五人を突き止めることができたぜ。
map_0826#41	つまり、あとはあんたが配達するだけってことだ。問題ないよな?
map_0826#42	もちろん、ただ働きさせようなんて思っちゃいないぜ。
map_0826#43	これが全部終わったら、あんたにいいものを用意してあるからな。
map_0826#44	準備ができたら、誰が誰かのリストを聞いてくれ。
map_0826#45	アーク: よし、これがまだポケモンを必要としてる人たちの一覧だ。
map_0826#46	ジャスパーワードのリリンは、ワンリキーをなくした。
map_0826#47	アポフィルアカデミーの生徒、フェリシアは、マクノシタの飼い主だった。
map_0826#48	ラピスワードのマクレジー氏。彼はイシヘンジンをなくした。
map_0826#49	ペリドットワードのサンティアゴは、プリンを盗まれた。
map_0826#50	最後に、同じくラピスワードのユースタスは、バニプッチの飼い主だった。
map_0826#51	これで全員だ。
map_0826#52	ポケモンを全員に返し終わったら教えてくれ。
map_0826#53	アーク: どんな調子だ? ちゃんと見つけられたか?
map_0826#55	そのうちの一人が欲しいって言ってるのは何だ?
map_0826#56	ああ……まあ、いいさ、問題ない。
map_0826#57	最初からそう言ってくれりゃよかったのにな。
map_0826#58	まあ、こっちも少し気まずいんだけどよ……
map_0826#59	ほら。
map_0826#60	アーク: マジかよ、ポケモンよりサインを優先するなんて……
map_0826#61	でも、彼女に怒る気にはなれないな。
map_0826#62	よろしく伝えといてくれ。
map_0826#63	アーク: それで、これで全員か?
map_0826#64	連絡が取れなかった他のトレーナーたちには悪いが、俺にできることはやりきったよ。
map_0826#65	残ったポケモンについては、これからはあんたがちゃんと面倒見てやってくれ。
map_0826#66	あんたほどこの件に協力的な奴、他にどれだけいたかわかんねえよ。
map_0826#67	だから、これはあんたにやるよ。
map_0826#68	アーク: 元気でな、相棒。
map_0826#69	アーク: またいつか会おうぜ。
map_0826#70	サンダースがあなたに興味を持っているようだ。
map_0826#71	サンダース: サンダ!
map_0826#72	サンダースを撫でますか?
map_0826#73	サンダース: サンダース!
map_0826#74	その毛皮の静電気に触れて、手がしびれた。
map_0826#75	サンダースは毛を少し逆立てて、小さく唸った。
map_0826#76	サンダースはあなたのことを覚えている!
map_0826#77	サンダース: サンダ! サンダ!
map_0826#78	感謝の印に、100回分の静電気ショックをくれた。
map_0826#79	離れようとするが、サンダースはまだ撫でてほしいと言わんばかりだ。記念にと、あなたの手にビリッと電気を放った。
map_0826#80	どのティアにジャンプする?\ch[587,-1,1,2,3,4,5,6,6.5,7,8]
map_0826#81	ティア1を選択
map_0826#82	ティア2を選択
map_0826#83	ティア3を選択
map_0826#84	ティア4を選択
map_0826#85	ティア5を選択
map_0826#86	ティア6を選択
map_0826#87	ティア6.5を選択
map_0826#88	ティア7を選択
map_0826#89	ティア8を選択
map_0826#90	ヘザー: あ、いた。
map_0826#91	あんたって時々、ほんと見つけにくいよね?
map_0826#92	あたしたちみたいに一箇所でじっと待ってられないの?
map_0826#93	なんてね、冗談だよ。待ってるのなんて超退屈だし。
map_0826#94	それはそうと、ノエルがあんたを探してるって伝えるように言われたんだ。
map_0826#95	あの子、自分のツリーハウスみたいなとこにいるよ。
map_0826#96	独創的なセンスっていうか何ていうか、それは尊重するけど、あの場所見ると、ちょっとだけ吐きそうになるんだよね。
map_0826#97	まあ、あの子がずっと落ち込んでるよりはマシだけどさ、それは間違いないよ……
map_0826#98	とにかく、ツリーハウスね。伝言終わり、じゃあね!
map_0826#99	よっす。
map_0826#100	一つ知ってる?
map_0826#101	このクラブのDJ、メガリングを持ってるらしいよ。
map_0826#102	しかも、一個だけじゃなくて。
map_0826#103	予備が一個。
map_0826#104	それ、手放してもらえるように説得できると思う?
map_0826#105	あたしのためにちょっといい言葉かけといてね～?
map_0826#106	はい
map_0826#107	いいえ
map_0827#2679	ベネットが自分で行くつもりだったけど、話を聞く限り、サファイラがまだ、彼をどこかの建物から突き落とすかどうか決めかねてるみたいでね。
map_0827#2680	でも、あんたが行くなら全然問題ないと思うよ。
map_0827#2681	行ってくれる?
map_0827#2682	アスター: 彼に伝えとくっス。きっと感謝するっスよ。
map_0827#2683	先に進む道はミラージュタワーの中っス。
map_0827#2684	行き方はわかるっスよね?
map_0827#2685	アスター: 了解っス、ボス。
map_0827#2686	また今度にするっス。
map_0827#2687	きっと大丈夫っスよ……
map_0827#2688	アスター: ベルローズ姉妹はミラージュタワーに出てるっス。
map_0827#2689	三分の二はうまくいってるみたいっス。
map_0827#2690	ベネットが、誰か様子を見に行ってくれないかって頼んでるっス。
map_0827#2691	で……あんたはそれを承諾したっス。
map_0827#2692	一応、忘れてたときのために言っとくっス。
map_0827#2693	アスター: いやあ、やったっスね、ボス。
map_0827#2694	ついに全部片付けちゃったっスね。
map_0827#2695	結局、しばらくの間、新しいアノマリーは発生してないみたいっス。
map_0827#2696	あのギラティナに遭遇する前から止まってたみたいっスよ。
map_0827#2697	すでに存在してたやつらは隠れてただけで、今はその隠れてたやつらも消えたっス。
map_0827#2698	これで終わりっスね。
map_0827#2699	これでやっと、俺たちの何人かもぐっすり眠れるかもしれないっス。
map_0827#2700	サンディ: あ、あの話、また聞きたい?
map_0827#2701	サンディ: \PN! また会えて嬉しい!
map_0827#2702	こんな大変な仕事の中でも、元気にやってるといいけど。
map_0827#2703	あたしはと言えば、絶好調だよ!
map_0827#2704	シャワー室のみんなとすっかり仲良くなったし、受付の仕事も本当にいい感じ。
map_0827#2705	誰にも怒鳴られないし、誰にもうんちされないし……
map_0827#2706	それに、まだいい影響を与える手伝いもできてる!
map_0827#2707	これって本当に、ずっと望んでたことそのもの。
map_0827#2708	じゃ、本題に入ろっか!
map_0827#2709	3番道路の近くでコバルオンが目撃されたっていう、ちょっと素敵な報告が届いてるんだ。
map_0827#2710	どうやら、サーカスの観覧車から何人かが目撃したみたい。
map_0827#2711	それでかなり騒ぎになっちゃって、あのかわいそうな子を怖がらせて逃がしちゃったんだって!
map_0827#2712	とにかく、そこにはもう一つ扉があるみたいだから、サーカスに来てる人たちより先に見つけといた方がいいと思うんだ!
map_0827#2713	どう、ボス、やってくれる?
map_0827#2714	サンディ: その意気だよ!
map_0827#2715	さあ、見つけてきて!
map_0827#2716	あたしはここにいるからね!
map_0827#2717	安全な場所で!
map_0827#2718	サンディ: そっか、それは残念だけど、正直、責める気にはなれないな。
map_0827#2719	フィールドワークは気弱な人には向いてないもんね。
map_0827#2720	これからはセラピストのとこに週三で通うことにするよ。
map_0827#2721	サンディ: サーカスの人たちが、3番道路でコバルオンが走り回ってるのを見たんだって!
map_0827#2722	どうやら、かわいそうに、怖がって逃げちゃったみたいだから、近くにその子が逃げ込める扉があるはずなんだけど……
map_0827#2723	さあ、捜索開始!
map_0827#2724	ずっとあっちの方まで!
map_0827#2725	あたしのいない場所で!
map_0827#2726	ドーブルがメモ帳を取り出す。
map_0827#2727	「ドーブル秘書！」
map_0827#2728	「他の人間 助ける」
map_0827#2729	「今 ドーブル助ける？」
map_0827#2730	「ありがと」
map_0827#2731	「他の人間 助け呼ぶ」
map_0827#2732	「速い怒ってる ！！！」
map_0827#2733	「人間 怪我！」
map_0827#2734	「人間 行く助ける人間」
map_0827#2735	「怪我人間 列車どうくつ」
map_0827#2736	「列車どうくつ 大きい森近く」
map_0827#2737	「人間 行く助ける 列車どうくつの怪我」
map_0827#2738	「トゲトゲ人間 も行く！」
map_0827#2739	「いい？」
map_0827#2740	「人間 いい」
map_0827#2741	「行く助ける人間 列車どうくつ森近く！！」
map_0827#2742	「行け行け行け！！！」
map_0827#2743	「人間 忙しい いい」
map_0827#2744	「ドーブルも 秘書忙しい」
map_0827#2745	「人間とトゲトゲ人間 行く助ける怪我人間 列車どうくつ森近く！！」
map_0827#2746	「列車どうくつ 迷子列車場所 大きい森近く」
map_0827#2747	「人間 助ける？」
map_0827#2748	「人間 行く くさいびしょぬれ」
map_0827#2749	「くさい場所 扉！！！」
map_0827#2750	「人間 現れる くさいびしょぬれ」
map_0827#2751	「街の下 今場所！」
map_0827#2752	「オーケーいいね」
map_0827#2753	「助ける人間 行け行け！」
map_0827#2754	「人間 行く助ける扉 くさい水場所 街の下！」
