map_0115#46	ジム目当てなら、反対側のジム入り口を使いなよ。当たり前でしょ。
map_0117#14	ボックス内の\v[2]のID番号が、宝くじ番号と一致しました!
map_0117#15	なんと、5桁すべて一致です!
map_0117#16	大当たり賞のプレゼントです!
map_0117#17	またのご来店をお待ちしております! 係員のレアリティでした!
map_0117#18	\r空きがありません。スペースを空けてから、またお越しください。
map_0117#19	下4桁が一致したので、1等のプレゼントです!
map_0117#20	空きがありません。スペースを空けてから、またお越しください。
map_0117#21	下3桁が一致したので、2等のプレゼントです!
map_0117#22	下2桁が一致したので、3等のプレゼントです!
map_0117#23	下1桁が一致したので、4等のプレゼントです!
map_0117#24	そうですか。\nまたのご来店をお待ちしております。
map_0117#25	本日はもう宝くじを引いていますよ。また明日いらしてください。
map_0117#26	お待ちしておりました。当選した景品をどうぞ。
map_0117#27	何でゲームが止まってるんだよ……
map_0117#28	オンラインゲームがなきゃ、俺の人生に意味なんてない。
map_0117#29	俺が絶対トップになってやる!!!
map_0117#30	……対戦システムが復活したらな。
map_0117#31	よし! やっとクリスタルに昇格した!
map_0117#32	本物のゲームが戻ってくるまで、人生を賭けてギャンブルしとくか。
map_0117#33	勝っても負けてもどうでもいいや。ほら、コインやるよ。
map_0117#34	\PNはコインを130枚もらった!
map_0117#35	常連はみんな、ゲームが止まってて悲しんでるよ。
map_0117#36	俺? 俺にはもっといいゲームがあるんだ。ポケモンリボーンっていうんだけどな。
map_0117#37	たぶん聞いたことないだろうけど。
map_0117#38	サーバーが落ちてるんだよ、あと少しで新しいチャンピオンが買えるポイントが貯まりそうだったのに……
map_0117#39	ここではゲームで遊んで素敵な景品が当たるコインを購入できますよ!
map_0117#40	コインは$1000で50枚、$10,000で500枚購入できます。
map_0117#41	\G\CNコインを購入しますか?
map_0117#42	誠にありがとうございます!
map_0117#43	申し訳ありません、お金が足りないようです。またのお越しをお待ちしております!
map_0117#44	ゲームを楽しんでくださいね!
map_0117#45	あら、申し訳ありません。コインを購入するには、まずコインケースが必要です。手に入れ次第、またお越しください!
map_0117#46	こんにちは! ここではコインを素敵な景品と交換できますよ!
map_0117#47	どちらになさいますか?
map_0117#48	所持コイン: \v[230] \ch[62,-1,ユキカブリ- 600コイン,マグマッグ- 1000コイン,タマンタ- 1800コイン,ニドラン♂- 3500コイン,コリンク- 5000コイン]
map_0117#49	ありがとうございます! オニキスゲームセンターをお楽しみいただけたなら幸いです!
map_0117#50	申し訳ありません、その景品に必要なコインがまだ足りないようです。
map_0117#51	この機械、何で当たらないんだよ?!
map_0117#52	来い、大当たり、大当たり……クラブは出るな……
map_0117#53	ゲームを楽しむのに年なんて関係ないさ!
map_0117#54	はい! 始めるためのコインをどうぞ!
map_0117#55	\PNはコインを300枚もらった!
map_0117#56	うーん。スロットマシンと、このビリリダマめくり、どっちがいいと思う?
map_0117#57	さっき大当たりしたんだ! この調子で連勝といくか!
map_0117#58	乾杯だ、相棒!
map_0117#59	\PNはコインを200枚もらった!
map_0117#60	\PNはコインを30枚見つけた!
map_0117#61	\PNはコインを20枚見つけた!
map_0117#62	\PNはコインを15枚見つけた!
map_0117#63	\PNはコインを55枚見つけた!
map_0117#64	\PNはコインを10枚見つけた!
map_0117#65	\PNはコインを45枚見つけた!
map_0117#66	\PNはコインを5枚見つけた!
map_0117#67	\PNはコインを115枚見つけた!
map_0117#68	\PNはコインを235枚見つけた!
map_0117#69	所持コイン: \v[230]
map_0117#70	あら! そのわざマシンはもうお持ちのようですね!
map_0117#71	それでも、もう一つご希望ですか?
map_0117#72	申し訳ありません、空きがないようです!
map_0117#73	ギアレン・シティの奴らなんて、絶対倒してやるぜ!
map_0117#74	おい! 敵にキル献上すんな、初心者かよ!
map_0117#75	おい、確かにこのゲーム、結構面白いな!
map_0117#76	まあ、めちゃくちゃ下手だけどさ、もっと早くやっとけばよかった!
map_0117#77	揉めてる場合か、アールの視界を確保しないと。
map_0117#78	回復頼む。
map_0117#79	うわー、何日もぶっ通しでやってて、もう疲れたよ。
map_0117#80	でも、他に何かすることあるか?
map_0117#81	コーラルジムが助けを求めてる?
map_0117#82	よし、手伝いに行くか。
map_0117#83	人生の目的とかいうやつ、思い出せるかもな。
map_0117#84	\PNはコインを0枚見つけた!
map_0117#85	\PNはコインを5000枚見つけた!
map_0117#86	あなたとポケモン、休憩は必要ですか?
map_0117#87	孫がゲームで遊んでる間、他にやることもないからね。
map_0117#88	小さい子たちの面倒はわたしに任せて。
map_0117#89	安全に楽しんでね!
map_0117#90	司会: さあ、ルーレットを回しましょう。どこに止まるかな? 誘惑に負けちゃいましょう!
map_0117#91	\PNはコインを125枚見つけた!
map_0117#92	ぐるぐるぐるぐるぐるぐるぐる.................
map_0117#93	ちっ! また負けた。こういうの大嫌いだ。
map_0117#94	何か計算する方法があるはずなんだけどな……
map_0117#95	ここが大金を当てるところだ!
map_0117#96	はい
map_0117#97	いいえ
map_0117#98	50コイン/$1000
map_0117#99	500コイン/$10000
map_0117#100	いいえ結構です
map_0117#101	わざマシン メロメロ- 1000コイン
map_0117#102	わざマシン からげんき- 4000コイン
map_0117#103	わざマシン みがわり- 7000コイン
map_0117#104	何もしない
map_0122#0	バカ!
map_0122#1	バカ、バカ!
map_0122#2	やっと必要なポイントを貯めたと思ったら、オニキスゲームセンターのシステムがダウンするなんて!
map_0122#3	バカバカバカ! もうやめる! おしまいだ! こんなのもう無理!
map_0122#4	なあ。なあ、お前、聞けよ。
map_0122#5	これやるよ! もう俺には必要ないんだ。次に進むから。
map_0122#6	バカだよな……
map_0122#7	バカなゲーセンめ……
map_0122#8	いつ復旧しようが知ったこっちゃない。これを使って、きっぱりやめてやる。
map_0122#9	コンピューターがおかしくなっている。何を入力しても反応しないようだ。
map_0122#10	モニターの側面に、チップ用の差し込み口がある。
map_0122#11	\PNはデータチップを使った!
map_0122#12	#@8888noxtox29^2
map_0122#13	VIR#16872067893@58ffffff88911010
map_0122#14	$%$%!!(ghs)77[mmddyyyy]?
map_0122#17	???????????????????????????????? ????????????????????????????????
map_0122#18	「勉強メモ: ……」\n文字が乱雑すぎて、ほとんど読み取れない……
map_0122#19	読みますか?
map_0122#20	「トゲキッスの覚えるわざ」……「しんそく、はどうだん、エアスラッシュ」……
map_0122#21	……「だいもんじ、つばめがえし、からげんき」……「いばる、ついばむ、みがわり」……
map_0122#22	……「マジカルリーフ、あまえる、なきごえ」……「しんぴのまもり、バトンタッチ、おさきにどうぞ」……
map_0122#23	……「きあいパンチ、みずのはどう、でんげきは」……「スピードスター、げんしのちから、がむしゃら」……
map_0122#24	……残りは判読不能。
map_0122#25	「勉強メモ: テッカニンの種族値上限」
map_0122#26	「最大値:
map_0122#27	HP: 326\n攻撃: 306 防御: 207
map_0122#28	特攻: 218\n特防: 218 素早さ: 460」
map_0122#29	「とうけつポケモン、ツンベアーのすべて」
map_0122#30	「クマシュンからレベル37で進化するツンベアーは、特性によって様々な天候で活躍できる独特なポケモンだ。
map_0122#31	その特性『ゆきがくれ』は、数少ないあられ依存の戦術の一つで、雪の中で回避率を上げる。
map_0122#32	一方で、水タイプ以外で『すいすい』を持つ数少ないポケモンの一体でもあり、物足りない素早さを補ってくれる。
map_0122#33	『すいすい』とその特異なタイプの組み合わせにより、ツンベアーは雨パーティのタイプバランスを整えるのに最適な追加要員となる。
map_0122#34	とはいえ、ツンベアーが最も注目される理由は、やはり特性『ゆきかき』を持てることだろう。
map_0122#35	他の特性のいいとこ取りとも言える『ゆきかき』は素早さを倍にし、あられの力を最大限に活かせるため、ツンベアーは素晴らしいアタッカーになり得る。
map_0122#36	こおり・あられパーティを組みたい人は、ぜひこの堂々たるポケモンを仲間に加えることを検討してほしい!」
map_0122#37	とはいえ、ツンベアーが最も注目される理由は、やはり特性『ゆきかき』を持てることだろう。
map_0122#38	「勉強メモ: わざ『ふくろだたき』」
map_0122#39	『ふくろだたき』は特殊なわざだ。このあくタイプの攻撃は、使用者のパーティにいる元気なポケモンの数に応じて、複数回ダメージを与える。
map_0122#40	例えば、ポケモンが4匹いれば、4回攻撃する。ただし、一撃ごとの威力は常に使用者の能力値に依存する。
map_0122#41	一撃ごとの威力は、使用者の攻撃実数値(ランク補正を除く)を10で割り、5を足した値で決まる。
map_0122#42	当然ながら、攻撃の高いあくタイプが使うのが一番効果的だ。」
map_0122#43	「大親分ポケモン、ドンカラスのすべて」
map_0122#44	「ドンカラスは、進化前のヤミカラスと同じあく・ひこうタイプで、ヤミカラスにやみのいしを使うことで進化する。
map_0122#45	特性には『ふみん』『きょううん』、そして特に注目すべき『じしんかじょう』がある。
map_0122#46	ドンカラスは『ふいうち』を使いこなすのに最適で、適切なタイミングと『じしんかじょう』を組み合わせれば、恐るべき戦力になり得る。
map_0122#47	ただし、ドンカラスに進化させることで、ヤミカラスの非常に便利な特性『いたずらごころ』を失うことになるので、選択は慎重に!」
map_0122#48	ただし、ドンカラスに進化させることで、ヤミカラスの非常に便利な特性『いたずらごころ』を失うことになるので、選択は慎重に!
map_0122#49	「勉強メモ: ベラトリー先生の期末試験の答え」
map_0122#50	「1- C\n2- A 3- C
map_0122#51	4- B\n5- B 6- D」
map_0122#53	これが見つかったら、誰かが大変なことになりそうだ。
map_0122#54	お、おい、離れろ!
map_0122#55	俺のミスター・マイムクラフトを覗き見しようってのか?
map_0122#56	そりゃ無理だ、相棒!
map_0122#57	俺が先に陣取ってたんだからな!
map_0122#58	勉強はサボって、思いっきり楽しんでるところなんだ!
map_0122#59	俺を動かしたけりゃ、もっといいもんを見つけて教えてくれるしかねえぞ!
map_0122#60	おい、ゲームしてる間は近寄るなよ、なあ!
map_0122#61	俺が動くとしたら、そりゃ――
map_0122#62	ん?
map_0122#63	採掘できる岩がいっぱいある洞窟だと……?
map_0122#64	オブシディアワード北部の地下に?
map_0122#65	まるでミスター・マイムクラフトそのまま――しかもマジで!
map_0122#66	ダイヤモンドでも掘りに行くか、な?
map_0122#67	えーと……とにかくパソコンが何かおかしくなってる。俺、何やったんだろ――
map_0122#68	まあ、もう俺の知ったこっちゃないな!
map_0122#69	じゃあな、相棒! 情報サンキュな!
map_0122#70	はい
map_0122#71	いいえ
map_0124#0	他の奴らは何もしなかったってわけか。じゃ、俺がやるしかねえな。
map_0124#1	よし、それじゃ。
map_0124#2	ファーンにボコボコにされるな、これ……
map_0124#3	門はここまでだな。お前の道もここで終わりだ。
map_0124#4	ああ、あの門の鍵のことね。
map_0124#5	いい、ファーンには「きっちり痛めつけといた」って伝えといてよね。
map_0124#6	てへへ、あたしたちに勝てるつもりでいるの?
map_0124#7	あなたのバトルの腕前は、わたしたちを遥かに上回っているようね……
map_0124#8	ブラボー〜
map_0124#9	アリーナに入って、腕を試してみなさいよ!
map_0124#10	合格だ!
map_0124#11	この練習アリーナは最高だけど、たまにちょっと散らかるんだよな。
map_0124#12	XXX- スターミーがこうそくスピンを覚えるのは何レベル?
map_0124#13	正解。
map_0124#14	不正解。
map_0124#15	問題終了。
map_0124#16	XXX- ハンテールの全国図鑑番号は何番?
map_0124#17	XXX- 正誤問題: エリアには、わざの威力・命中率・タイプを上げたり変化させたりするフィールド効果がある
map_0124#18	XXX- 正誤問題: フィールド効果は、特定のわざによって破壊されたり変化させられたりすることがある
map_0124#19	XXX- サニーゴの種族値合計は?
map_0124#20	「爆速のポケモンたち!」
map_0124#21	読みますか?
map_0124#22	「素早さについて話そう!
map_0124#23	バトルに勝つための重要な要素だ――自分か相手、どちらが先に動くかを知ること! だから、各ポケモンがどれだけ速いかを知っておくのが大事なんだ!
map_0124#24	一番速いポケモンを見てみよう! デオキシス・スピードフォルムが王者に君臨するが、ノーマルフォルムとアタックフォルムもそう遠くない!
map_0124#25	だが、実は2位はテッカニンなんだ!
map_0124#26	その次は、素早さ145のアギルダー、そして140のマルマイン! すごい速さだ!
map_0124#27	そこから下は、クロバット、サンダース、プテラ、ミュウツーが素早さ130で4匹並んでいる。
map_0124#28	その後には、メロエッタのピルエットフォルムと、スカイフォルムのシェイミが続く!
map_0124#29	最後に、素早さ種族値125のオオスバメ、マニューラ、ダークライでリストは締めくくられる。
map_0124#30	現時点で知られている最速のポケモンはここまで――メガシンカを除いてだけどね! しっかり勉強しよう!」
map_0124#31	XXX- 正誤問題: フィールド効果には、バトルを劇的に変える特殊な性質があることがある
map_0124#32	XXX- クマシュンが進化するのは何レベル?
map_0124#33	XXX- レベルアップでふんえんを覚えられるポケモンは何匹?
map_0124#34	その次は、素早さ150のマルマイン、145のアギルダー、143のゼラオラ! すごい速さだ!
map_0124#35	そこから下は、クロバット、サンダース、プテラ、カプ・コケコ、ミュウツーが素早さ130で5匹並んでいる。
map_0124#36	その後には、メロエッタのピルエットフォルムとスカイフォルムのシェイミが続き、すぐ後にファイアローも登場する!
map_0124#37	最後に、素早さ種族値125のオオスバメ、マニューラ、マーシャドー、ダークライでリストは締めくくられる。
map_0124#38	この中には、本当に難しいものもある。
map_0124#39	でも、フロリニアに挑戦したいなら、答えられなきゃいけないんだ!
map_0124#40	ねえ、もうすぐフロリニアに挑戦できるかもって思ってるんだけど。勝てたら特別な成績がもらえるかも!
map_0124#41	「なぞのポケモン、スターミーのすべて。」
map_0124#42	「ヒトデマンの進化形であるスターミーは、進化前から能力値と実用性が大きく向上している。
map_0124#43	残念ながら、自然に覚えるわざはスターミーの強みではない。多くの石進化ポケモンと同様、自力で覚えるわざは大きく制限される。
map_0124#44	実際、公式に自力で覚えるわざはわずか7つで、そのうち6つはレベル1で覚える。
map_0124#45	その中にはみずでっぽう、スピードスター、こうそくスピン、じこさいせいが含まれる。最後の1つはあやしいひかりで、レベル40で覚える。
map_0124#46	総合的に見て、ヒトデマンを進化させるなら、使いたいわざを覚えさせてからにするのが一番だ。」
map_0124#47	うわー、この問題、全然わかんない……
map_0124#48	もっと勉強しないとダメみたい。
map_0124#49	答えは学校中にある本に載ってると思うよ――床に転がってる本にだって。
map_0124#50	ひどい散らかりようね。
map_0124#51	あれ、前にここで会ったことなかったっけ?
map_0124#52	あなたって、確か……
map_0124#53	そうそう、新入生よね?
map_0124#54	ねえ、君、結構可愛いね。遊びたくなったら連絡して。
map_0124#55	絶対に外れないわざ? それって、スピードスターとつばめがえしのことだよね?
map_0124#56	あの、あなたが、み、みんなが噂してる人だよね?
map_0124#57	あ、あの、も、もしよかったら……
map_0124#58	サインもらってもいいですか?
map_0124#59	きゃあ! 一生の宝物にします!
map_0124#60	……もちろん、みんなに見せびらかしてからだけど。
map_0124#61	クイズに苦戦してるの? もっと勉強した方がいいよ!
map_0124#62	学校中の本を読めば、きっと答えが見つかるはず!
map_0124#63	君がその\PNだね?
map_0124#64	うちの生徒たちの気を散らす存在みたいだね。まるでゴシップ紙みたいに追いかけてる子もいるよ。
map_0124#65	「セントラルホール上層ゲート――解錠中……
map_0124#66	解錠中……
map_0124#68	-エラー-」
map_0124#69	???: おい、何の騒ぎだ?
map_0124#70	学校の半分が、どこかの挑戦者のことで大騒ぎしてるって聞いたぜ。
map_0124#71	まさか、お前のことじゃないよな?
map_0124#72	???: いいね、それでこそだ。
map_0124#73	騒いでる半分は、ファーンの取り巻き連中だけだよ。
map_0124#74	俺はあいつら全員大嫌いだね。誰があんな奴の相手をしてやってんだか、わからねえよ。
map_0124#75	???: じゃあ、ただの通りすがりか?
map_0124#76	手荒な思いをさせて悪かったな。
map_0124#77	ファーンってならず者が、取り巻き連中に誰かの噂話をさせてるんだよ。
map_0124#78	あいつの魅力ときたら、砂ぼこりまみれのマッギョ並み。誇りだって似たようなもんさ。
map_0124#79	締め出されてるってわけか。
map_0124#80	このスイッチでどうにかなるはずなんだが、たまにちょっと調子が悪くてな。
map_0124#81	どいてろ。
map_0124#82	???: こういうのはたまに、思いっきりぶっ叩くのが一番なんだよな。
map_0124#83	ちょうど……
map_0124#84	???: 毎回これで直るんだ。
map_0124#85	ハーディ: ちなみに、俺はハーディってんだ。
map_0124#86	本業はジムリーダー、目指すはロックスター……
map_0124#87	……肩書き上は学生だけどな。
map_0124#88	コード進行、確認しなきゃなんでね、そろそろ行くぜ。
map_0124#89	お前もその調子で頑張れよ、相棒。
map_0124#90	俺の代わりに、ファーンをとことん締め上げといてくれ。
map_0124#91	そうだな……確か、タイプを追加するわざは、他の地方とはここでは少し違う働き方をするんだったか……
map_0124#92	他の地方では、もりののろいやハロウィンをかけられたポケモンは、3つ目のタイプを持っているかのように扱われるが、ここではどうやらそうではないらしい。
map_0124#93	代わりに、それらのわざはみずびたしのように働き、タイプを完全に上書きしてしまうんだ……
map_0124#94	どうしてなんだろうな?
map_0124#95	知ってた?
map_0124#96	素早さを鍛えるなら、地下鉄道網の西口が一番だって、生徒たちの間で言われてるよ!
map_0124#97	オニキスジムのパズルをスキップしますか?
map_0124#98	正しい
map_0124#99	間違い
map_0124#100	はい
map_0124#101	いいえ
map_0126#0	フロリニアは教育をとても大切にしているんだ!
map_0126#1	本当に真剣で、アリーナに入るだけでも、クイズに答えなきゃいけないくらいなんだよ!
map_0126#2	しっかり勉強するんだぞ、若いの!
map_0126#3	ふむ。ちゃんと勉強してきたようだね。
map_0126#4	それなら、その知識を試す時が来たようだ。
map_0126#5	彼女からバッジをちゃんと勝ち取ったのか?
map_0126#6	彼女もまだまだ学ぶことが多いんだろうな。
map_0126#7	残念だけど、フロリニアは今用事で出かけていて、しばらく戻らないよ。
map_0126#8	アメ: \PN?
map_0126#9	やあ! ジムまで来たみたいだね。
map_0126#10	この通信システムは大ホールに直接つながってるから、どこにいても、ジムに着いたらいつでもアドバイスをもらいに連絡できるんだ!
map_0126#11	それはさておき……
map_0126#12	フロリニアのジムに来てるんだね。
map_0126#13	よし! フロリニアの戦い方は、くさタイプのリーダーとして想像するのとはちょっと違うんだ――彼女のパーティは砂を中心に組まれてる。
map_0126#14	彼女の『砂漠のバラ』戦法は厄介でね――砂の継続ダメージや状態異常でじわじわ削って、粘って倒そうとしてくるんだ。
map_0126#15	フロリニアは知識と戦略が信条だから、それとは違うアプローチで倒すといい。
map_0126#16	砂を逆に利用して運任せに行くのもありかもね? 本人は「運は関係ない」って言い張るだろうけど。
map_0126#17	それか、強力な一撃で、効果が発動する前に押し切っちゃうのもいいね! いわば、頭脳より力技ってやつ。
map_0126#18	頑張ってね!
map_0126#19	大ホールの方、誰も出ないみたい……
map_0127#0	フロリニア: 戻ってきたか。よろしい。
map_0127#1	フロリニア: 次の試練を始めよう。
map_0127#2	フロリニア: ようこそ、\PN。
map_0127#3	メテオ団関連の件での協力には感謝している。
map_0127#4	しかし、それだけではバッジを与えるに値しない。
map_0127#5	バッジ所有の資格を見極めるには、さらなる試練が必要である。
map_0127#6	この試験を公平に適用することを、感謝の欠如と誤解しないように。
map_0127#7	単なる手続きに過ぎない。
map_0127#8	それでは、始めよう。
map_0127#9	フロリニア: 生徒諸君、標準的なバトル手順についてメモを取るように。
map_0127#10	これより実演を開始する。
map_0127#11	仮説: 被験者は、確実な成功に足るデータを示していない。
map_0127#12	予測される結果: 失敗。
map_0127#14	フロリニア: 挑戦者には、キャノピーバッジを授与すべきである。
map_0127#15	\PNはキャノピーバッジを受け取った!
map_0127#16	フロリニア: キャノピーバッジは、レベル35までのポケモンに正しい行動を促す。
map_0127#17	また、慣例に従い、このわざマシンを受け取るように。
map_0127#18	フロリニア: しぜんのちからは、使用される地形とフィールド効果によって変化する。
map_0127#19	効果的に使うには、正しい知識と理解が必要である――優秀なトレーナーに欠かせない要素だ。
map_0127#20	賢く使うように。
map_0127#21	アマリア: ちょっとごめーん〜
map_0127#22	邪魔じゃないといいけど!
map_0127#23	フロリニア: 先ほどの試練が、たった今終わったところだ。
map_0127#24	報告を。
map_0127#25	アマリア: 最近、ベリルワード辺りでボレアリスが目撃されたみたい。
map_0127#26	彼がそこにいるなら、ヴィクトリアもいる可能性がある。
map_0127#27	フロリニア: ……了解した。
map_0127#28	\PN、すでに述べた通り、ベリルワードとジャスパーワードは現在、オブシディア公園のような植物による破壊が原因で厳重に封鎖されている。
map_0127#29	オブシディアでは初期段階で食い止められたが、あの二つのワードでは、財産的・経済的な被害が甚大である。
map_0127#30	そこにもボレアリスが存在するのであれば、関連性がある可能性は極めて高い。
map_0127#31	前回の機械を単独で無力化した経験があり、なおかつボレアリスを目撃しているのは君だけだ。ゆえに、ベリルワードへの調査に最も適した人材と言える。
map_0127#32	ちなみに、この発言者は、君の役に立つかもしれない別のアプリケーションを作成した。
map_0127#33	\PNはPULSE図鑑を受け取った!
