map_0150#56	どうせ、こっちより先にとっ捕まえちまうだろうよ。
map_0150#252	でも幕はもう下りたし、船はもう出た、その他もろもろの言い回しの通りさ――
map_0150#253	悪いね、小さなリーダーくん、彼女はとっくにいなくなったよ!
map_0150#254	ボレアリス: そして彼女同様、お前たちが好き勝手にここへ入り込むことを、我々は容認できない。
map_0150#255	どれほどの地位や人数だろうと、我々に立ち向かえるとは思わぬことだ。
map_0150#256	お前たちに残された選択は、自ら陥ったこの状況を受け入れ、降伏することだけだ。
map_0150#257	アマリア: そんなこと、するわけないでしょ!
map_0150#258	ボレアリス: お前の英雄気取りなど、ただの虚栄にすぎん。
map_0150#259	お前の現実がいかに空しいものか、思い知らせてやろう。
map_0150#260	アマリア: ……いつもこんなとげとげした感じなの?
map_0150#261	まあ、それはそうかもね?
map_0150#262	何もかも無意味で、本当の幸せなんてどこにもない、うんぬんかんぬん――
map_0150#263	でも、少なくともわたしたちはここで頑張ってるでしょ?
map_0150#264	ボレアリス: その余裕は、誰もが持てるわけではない特権だ。
map_0150#265	だが、これは言葉で解決できることではない。
map_0150#266	クロバット。
map_0150#267	アマリア: 力を貸して、デリバランス!
map_0150#268	ヘザー: ボーマンダ!!!
map_0150#269	ヘザー: ……何よ? みんなポケモンの名前を叫んでるものだと思ってたのに。
map_0150#270	ボレアリス: ……なぜここにいる?
map_0150#271	ヘザー: あんたたち悪者を止めるために決まってるでしょ!
map_0150#272	あたしが来たからには、ひどい目に遭ってもらうわよ!
map_0150#273	ゼル: ちっ、まずいことになってきたな……
map_0150#274	一体何人いるんだよ?!
map_0150#275	おい、二等兵!
map_0150#276	いつまでボケっと突っ立ってるつもりだ!?
map_0150#277	こっちに来て、あの子の足止めでもしろ!
map_0150#278	ヘザー: あたしを甘く見ないでよね!
map_0150#279	足止めできるだけでも、上出来だと思うことね!
map_0150#280	エース: おや、急ににぎやかになってきたね?
map_0150#281	ここはひとつ、センターステージに注目してもらおうか!
map_0150#282	エース: 君とボクとで、ここでひとつマジックを見せようじゃないか、小さな英雄くん。
map_0150#283	そしてそのマジックとは――
map_0150#284	……君を消してしまうことさ!
map_0150#285	……ああ、そういう演目か。
map_0150#286	ボレアリス: ヘザー!
map_0150#287	???: 露骨だな。
map_0150#288	ボレアリス: クロバット、あの子をここから連れ出せ!
map_0150#289	ボレアリス: 幼い子供を傷つけろなどと、命令のどこに書いてあった?
map_0150#290	???: では、禁じていた部分はどこにある?
map_0150#291	だが、命令について語りたいというのなら、「ボレアリス」、望み通り語ろうじゃないか。
map_0150#292	敵を逃がせと、貴様の命令のどこに書いてあった?
map_0150#293	ボレアリス: 貴様に釈明する必要はない。
map_0150#294	エース: ああ、でもボスには説明しないといけないだろうね――
map_0150#295	ボクでさえ、その会話の行方を聞きたいとは思わないよ。
map_0150#296	エージェント同士として言わせてもらうが――貴様の行動には、正直戸惑っている。
map_0150#297	他の仲間たちは、戦いのせいでどこか別の場所にいるようだ。
map_0150#298	この場に居合わせた唯一の他の証人として言うが、私が誤解する前に、その意図を明かしておいた方が身のためだろう。
map_0150#299	???: その誤解こそが、正しい。
map_0150#300	この失敗の責任は、彼にある。
map_0150#301	エース: 仲間に対して、ずいぶんと手のひらを返すのが早いね。
map_0150#302	???: 飼い主の手をかむ犬が、飢えずに済むと思うか?
map_0150#303	これは、命令違反の当然の結果だ。
map_0150#304	アマリア: 行って!
map_0150#305	\PN、それとボレアリスも――
map_0150#306	ここから逃げて!
map_0150#307	あの女はわたしが引き受けるわ!
map_0150#308	ボレアリス: チッ。
map_0150#309	その甘く向こう見ずな正義感は、敵にまで及ぶというのか?
map_0150#310	アマリア: それは、思いやりって呼びたいわね。
map_0150#311	さっさと行って!
map_0150#312	ボレアリス: いいだろう!
map_0150#313	シェリー: そんなふうにジガルデを手に入れる手助けをしてくれる人、いないかな……
map_0150#314	うーん……
map_0150#315	もっと調べないとだめかも。
map_0150#316	ノエル: 自分がここで何をしているのか、わかりません。
map_0150#317	ルミに来てって頼まれましたが、意味がよくわからなくて。
map_0150#318	外で食べたって、食べ物がおいしくなるわけじゃないですよね?
map_0150#319	虫が寄ってくるだけです。
map_0150#320	ノエル: 受け取りに行きたくないなら、僕が配達係になりますよ。
map_0150#321	ルミ: \PN、来てくれたんだ!
map_0150#322	メッセージ、届いてるといいなって思ってたの!
map_0150#323	ティーパーティー・ピクニックをしようって言い出したのは、ローラなんだよ!
map_0150#324	ローラも来るはずだったんだけど、姉妹たちのことで何かあったみたいで――
map_0150#325	それで食べ物が余ったから、「\PNにはいつもお世話になってるし、いいよね!」って思ったの!
map_0150#326	前に色々手伝ってもらったお礼の、ちょっとした気持ちでもあるんだ!
map_0150#327	……うーん、何か忘れてるような気がするんだけど……
map_0150#328	ルミ: あっ、待って!
map_0150#329	何を忘れてたか、わかった!
map_0150#330	ローラが、うちらのピクニックのためにザ・スパイスへ特別注文を入れてくれてたのに、ナイトクラブを出るとき、受け取るの完全に忘れてた!
map_0150#331	\PN、お使いさせちゃってごめんね、代わりに受け取りに行ってくれる?
map_0150#332	ローラの名前を言えば、ザ・スパイスの店員さんが渡してくれるはずだよ!
map_0150#333	ルミ: ローラが、うちらのピクニックのためにザ・スパイスへ特別注文を入れてくれてたのに、ナイトクラブを出るとき、受け取るの完全に忘れてた!
map_0150#334	ルミ: \PN、ちょうどいいところに戻ってきた!
map_0150#335	あなたが出かけてすぐ、この辺りに変なオーラが影響を及ぼし始めたの!
map_0150#336	シェリーが、ポケモンたちが地面に潜って逃げていくのに気づいたみたいで、何から逃げてるのか確かめようって、地下への道を探しに行ったの。
map_0150#337	それで、オーラの発生源は木の辺りみたいだったから、ヘザーが頂上に何かないか確かめに飛んでいって、
map_0150#338	そしたら急に、あの新世界の扉が現れたの。
map_0150#339	でもなんでここに?!
map_0150#340	なんで今?!
map_0150#341	楽しい時間を過ごすはずだったのに!
map_0150#342	こういうときにぴったりな言葉を、友達が教えてくれたんだけどね!
map_0150#343	でも、口には出さないから!!!
map_0150#344	まだね。
map_0150#345	とにかく、この二つは絶対つながってるから、ノエルとイヴが中に確かめに行ったの。
map_0150#346	ヘザー: 報告――木の頂上のあちこちに、変なバリアみたいなのが張られてるわ!
map_0150#347	だから当然、突破してみるつもりよ!
map_0150#348	すぐ戻るわね!
map_0150#349	ルミ: それ、絶対よくない考えだよ!
map_0150#350	がんばって!
map_0150#351	ルミ: とにかく、これって本当に失礼で理不尽だと思うし、責任者には一言言ってやりたいくらいだよ!
map_0150#352	ルミ: これ以上悪くならないように、ここに残っておくってみんなに言ったの。
map_0150#353	でも、地下のシェリーの様子を見に行くか、中に入ったみんなを追いかけた方がいいかもね!
map_0150#354	あなたを誘ってよかった……
map_0150#355	だって、これを解決するのにこれ以上の人はいないもの!
map_0150#356	ルミ: 100%フォルムのジガルデを手に入れたら、すぐここに持ってきて!
map_0150#357	それを使って扉を打ち破って、ノエルを助けるの!
map_0150#358	あんなところに閉じ込められたままなんて、あの子にふさわしくないわ!
map_0150#359	……今回はまあ、自業自得なところもあるんだけど……
map_0150#360	ルミ: 100%フォルムのジガルデ、持ってきた?!
map_0150#361	アンダールートにいるシェリーのところに持っていって!
map_0150#362	バリアを突破してノエルを助ける方法、思いついたって言ってたよ!
map_0150#363	ルミ: 本当にやったんだね!
map_0150#364	これで、ちゃんとノエルを助けるのを邪魔するものは何もないわ!
map_0150#365	何かあったらここにいるからね、\PN!
map_0150#366	イヴ: あら、来たのね。
map_0150#367	よかったわ、ルミも喜ぶでしょう。
map_0150#368	あの子、最近は調子がいいの、
map_0150#369	考えられるあらゆる意味で。
map_0150#370	わたしが想像もしなかったような意味でもね。
map_0150#371	わたし、自分が身勝手だったんじゃないかって考えてたの。
map_0150#372	最初から、あの子と一緒にやるべきだったのね。
map_0150#373	あの子は妹だけど、わたしと同じくらいちゃんとできる子なのよ。
map_0150#374	ある意味では、わたしより上かもしれないくらい。
map_0150#375	重荷をひとりで抱え込んで、ずっとあの子の足を引っ張ってたのかもしれないわ。
map_0150#376	でも、今それを気にしても仕方ないわね。
map_0150#377	今のところは、居心地のいい場所を見つけて、空気を楽しむのが一番だと思うの。
map_0150#378	イヴ: ローラはあの注文にずいぶん張り切ってたみたいだけど、わたしには何がそんなに騒ぐことなのか、正直わからないの……
map_0150#379	イヴ: 個人的には、その計画には乗り気じゃないわ。
map_0150#380	とはいえ、これといった代案もないし。
map_0150#381	引き続き調べておくわ。
map_0150#382	何か役に立ちそうなことがわかったら、知らせるわね。
map_0150#383	イヴ: あなたをここに連れてきてから、ヘザーはほとんどずっと、別の入り口を探して木の周りをぐるぐる回ってるわ……
map_0150#384	食べ物を持ってきておいてよかった、じゃなきゃあの子の体が心配だもの。
map_0150#385	イヴ: シェリーの理論、正しかったみたいね?
map_0150#386	ほっとしたわ、仕組みの技術的な部分は全然理解できてないけど……
map_0150#387	まあ、何もかもに完璧な技術的説明を求めるものじゃないって、そろそろわかっていてもいい頃よね。
map_0150#388	人って、いつもわたしを驚かせてくれるものなのね。
map_0150#389	それって、いいことだわ。
map_0150#390	シェリー: やあ、\PN!
map_0150#391	来てくれてうれしい!
map_0150#392	ちょうどいいタイミングだったよ! いい場所見つけるの、すごく時間かかっちゃって!
map_0150#393	今準備してるところなんだけど――ちょっと待ってて、あなたの分のお皿も用意するから!
map_0150#394	シェリー: あ、そうだ、飲み物が来るまでは食べ始められないよね!
map_0150#395	ほら――飲み物ってそういうものでしょ?
map_0150#396	どっちにしろ、ローラがサプライズだって言ってたし!
map_0150#397	ヘザー: やあ、\PN!
map_0150#398	また見知った顔に会えてうれしいわ。
map_0150#399	ローラがみんなをここに招待してくれて、あたしは「わかった、ピクニック行くわ、
map_0150#400	でも」
map_0150#401	「あんたはあたしとバトルしなきゃだめよ!」って言ったの!
map_0150#402	どっちが強い四天王か、決着つけようとしてたのよ!
map_0150#403	(それであたしが勝つはずだったの、タイプ相性が有利だからで、それは絶対ズルじゃないから!)
map_0150#404	でも結局、あの子来られなかったのよね!
map_0150#405	だから、ちょっとがっかりなの。
map_0150#406	食べ物とかピクニックとかいいけど、楽しいことはどこにあるのよ?!
map_0150#407	今すぐ再戦を挑みたいところだけど、ピクニックシートを台無しにしたくないもの。
