map_0546#4	頑丈すぎて壊したり動かしたりできそうにない……
map_0548#24	ああ、でも、借りた本の返却が遅れないようにしたほうがいいよ。
map_0548#25	延滞に対する新しい方針を導入したんだ……アクアギャング流にね。
map_0548#26	これが本当によく効くんだ。
map_0548#27	ところで、僕は今もばくはつのこなの商売を続けているよ。ちょっと裏に回っただけでね。
map_0548#28	必要なら、いつでも都合をつけるよ。
map_0548#29	デファクト：戻ってきたね!
map_0548#30	それで、どっちにする――本か、それとも粉か?
map_0548#31	何か見えない気配が道をふさいでいる。
map_0548#32	\PNはシルボンスコープを使った。
map_0548#33	驚いたポケモンがおそいかかってきた!
map_0548#34	ものを直す方法について、たくさんたくさん本を読んでるんだ!
map_0548#35	おばあちゃんが、そのやり方を覚えるのは大事なことだって言うから……
map_0548#36	でも、一日中本ばかり見てるのって、すごく退屈!
map_0548#37	何かを直すなら、実際にやってみたいんだ!
map_0548#38	ねえ、コーラルジムでみんながいろんなものを直そうとしてるってこと?
map_0548#39	よし! 決めた!
map_0548#40	ここからは遠いけど、手伝いに行くよ!
map_0548#41	おばあちゃんにはあとで連絡するよ。ありがとう!
map_0548#42	ゴチルゼル：……
map_0548#43	ゴチルゼル：―そう、あの子は世界へ旅立ちたいのですね。―
map_0548#44	―あの子には、わたしたち一族の暮らしは向いていません。―
map_0548#45	―よろしければ、連れていってあげてください。―
map_0548#46	―見守ってあげてください。―
map_0548#47	―この壁の外には、現実のもっとも激しいかんしゃくが待っています。―
map_0548#48	ゴチルゼル：―また会いましたね、優しい人間よ。―
map_0548#49	―以前わたしが語った言葉を、あなたはもう理解できましたか?―
map_0548#50	―あなたはいずれ、虚無と出会うでしょう。―
map_0548#51	―それはあなたを抱きしめるでしょう。―
map_0548#52	―これだけは避けられません。―
map_0548#53	―ですが、その後に何が起こるかは……―
map_0548#54	―それは、アルセウスすら知らぬことでしょう。―
map_0548#55	ゴチルゼル：―ようこそ、トレーナー。―
map_0548#56	―お探しの本が見つからないときは、喜んでお探しいたします。―
map_0548#57	―そうでなければ、どうかわたしをこの務めに専念させてください。ほこりの中に記録すべき知識は、まだ長い年月分残っておりますので。―
map_0548#58	ゴチム：ゴチー!! ゴチ!
map_0548#59	ゴチム：ゴチ! ゴチゴチ!
map_0548#60	ゴチムは退屈しているようだ。
map_0548#61	ゴチム：ゴチ!
map_0548#62	ゴチ、ゴチゴチム! ゴチム! ゴチ、ゴチ、ゴチ!
map_0548#63	ゴチムは一緒についていきたそうにしている。
map_0548#64	ゴチムを連れていきますか?
map_0548#65	ティタニア：「シャンデリアが真っ逆さまに落ちた。
map_0548#66	きらめく千の水晶の飾りが空を切り裂いて舞い散り、竜の頭上を一瞬だけ飾ったかと思うと、ギロチンにかけられる王の冠のように地に落ちた。
map_0548#67	獣は倒された。
map_0548#68	騎士は息を吐き、あとはただ、玄関の床に横たわる鎧の亡骸をまたぎ越え、塔を登って褒賞を手にするだけだと悟った。
map_0548#69	口づけひとつで、ふたりは末永く幸せに暮らすのだ」
map_0548#70	???：うわっ、もう始まってる!?
map_0548#71	遅刻してたなんて気づかなかった!
map_0548#72	パンクボーイ：ごめん――邪魔してごめん、遅れてごめん!
map_0548#73	いやー、時間を忘れちゃってさ。
map_0548#74	でも朗読会、めちゃくちゃ楽しみにしてたんだ――絶対に見逃したくなかったんだよ!
map_0548#75	あんたの本、もう二回も読んだんだ。
map_0548#76	オレ……ここにいるには歳を取りすぎてたりしないよな?
map_0548#77	ティタニア：……少なくとも、心はそうじゃないでしょう。
map_0548#78	ティタニア：おとぎ話が子ども向けだと思われているのは、歴史的に道徳教育や訓戒の手段として使われてきたからにすぎないわ。
map_0548#79	本当に良い物語は、誰であっても楽しめるものよ。
map_0548#80	子ども：でも、もう終わりなの?
map_0548#81	「末永く幸せに暮らしました」って言ったよね、だから――
map_0548#82	それって、終わりってことだよね?
map_0548#83	ティタニア：たしかにそう言ったわ。
map_0548#84	でもね、
map_0548#85	あれはまだ序章にすぎないの。
map_0548#86	「第一章:ガラスの心を持つ王女」
map_0548#87	最近の新しい本なんて全部くだらん。
map_0548#88	ゲイのキャラクターを出すなんて非現実的だ、ましてやトランスジェンダーなんて論外だ。
map_0548#89	それこそ、忌まわしいリベラルの陰謀ってやつじゃないのか!?
map_0548#90	ストレートの男たちのことは、いったい誰が気にかけてくれるんだ!?
map_0548#91	それに、性別のない「人間」とやらは何なんだ!?
map_0548#92	青い髪をして代名詞がどうこう言う奴に会うだけでもうんざりなのに、
map_0548#93	娯楽の中にまでそんなものが出てくるのを我慢しなきゃいけないのか?
map_0548#94	既存のメディアに「xyr」なんてものをねじ込まれるだけでもうんざりだったのに、今度は自分たちで作品を作って民衆を洗脳しようとしてるじゃないか!
map_0548#95	社会として、いったいどこまで我慢しなきゃならないんだ?
map_0548#96	ノンバイナリーがどうとか言うが、あいつらが本当に気にしてる二元論なんて「目覚めてる」か「目覚めてないか」だけだろうが!
map_0548#97	目覚めたいのか!?
map_0548#98	そんなにリベラルが自慢なら、今度パスワードを聞かれたときに「モノウォーク」とでも言ってみろ!
map_0548#99	こんなゴミ、とっとと持って失せろ!
map_0548#100	\PNはフィールド効果解説書10を手に入れた!
map_0548#101	腐食フィールドの情報が見られるようになった!
map_0549#0	あああっ!
map_0549#1	ああ、なんだ、あなたか……
map_0549#2	またあの不気味なゴチルゼルが忍び寄ってきたのかと思った。
map_0549#3	マジであいつ、怖いんだって!
map_0549#4	一回、本の返却を忘れたことがあって、次の日にあいつが――
map_0549#6	いや、やっぱりいい。話したくない。
map_0549#7	忘れて。
map_0549#8	思い出したくもない……
map_0549#9	「デスティニーズ・エンド」
map_0549#10	読みますか?
map_0549#11	「はじめに、何もなかった。
map_0549#12	この非在は、ほとんど完璧だった。
map_0549#13	だが、完全に完璧ではなかったがゆえに、存在は避けられないものとなった。
map_0549#14	エントロピーが初めて世界に生まれたとき、それは失敗したにちがいない。
map_0549#15	そしてそれ以降、無限に近い回数エントロピーが生まれても、
map_0549#16	そのすべてもまた、失敗したにちがいない。
map_0549#17	しかし、やがてそのうちの一つだけは、失敗しないことになる。
map_0549#18	その唯一成功したエントロピー――非在という織物のただの綻びにすぎないもの――は、単なる同語反復的な必然にすぎなかった。
map_0549#19	そしてその中に生きる我々は、それだけを目にする運命にあった。
map_0549#20	運命は我々をそこへ引き寄せているのではない。
map_0549#21	定められた終着点ではないのだ。
map_0549#22	むしろ、与えられた始まりから導かれる、唯一の論理的な帰結にすぎない。
map_0549#23	我々の知るこの世界が創られたとき、それには形が与えられた。
map_0549#24	そのとき、それを創り出したものもまた、自らに形を与えた。
map_0549#25	それこそが、我々がアルセウスと呼ぶポケモンである。
map_0549#26	そしてそのとき、この世界を創ったものは、自らの新たな形が創られるための手段もまた創り出した。
map_0549#27	もちろんこれは、アルセウスが定めつつあったあらゆる物理法則にしたがえば、隕石であったにちがいない。
map_0549#28	リボーンの地下に祀られている隕石は、アルセウスがこの世界に最初に降り立った、その乗り物だったとよく言われる。
map_0549#29	そしてあらゆる物的証拠がその主張を裏づける一方で、
map_0549#30	実際には、時間という過程が創られる以前にあったかもしれないいかなる回顧の中でも、その目的を果たすためだけに構築されたにすぎない。
map_0549#31	その隕石をこの惑星に衝突させるべく動かした、あの天文学的、地質学的な出来事の数々は、
map_0549#32	それが起きたはずの時よりも、はるか後になってから定められたものだった。
map_0549#33	であれば、我々が今体験しているこの世界も同じではないと、どうして言えるだろうか?
map_0549#34	我々の知るあらゆる出来事は、過去に起きたことの単なる論理的帰結にすぎず、
map_0549#35	そして、アルセウスが実現するために未来に起こらねばならないことの帰結でもある。
map_0549#36	これが、我々がアルセウスと呼ぶポケモンである。
map_0549#37	だが、アルセウスはまだ完成していない。
map_0549#38	この世界こそが、その手段なのだ。
map_0549#39	アルセウスは、いずれ自らを完成させるだろう。
map_0549#40	それが成るまで、我々の一人一人は、
map_0549#41	この構築された世界のあらゆる分子は、
map_0549#42	あらかじめ定められた我々の人生における、あらゆる思考は、
map_0549#43	ただ『デスティニーズ・エンド』への手段にすぎない。
map_0549#44	何か見えない気配が道をふさいでいる。
map_0549#45	\PNはシルボンスコープを使った。
map_0549#46	驚いたポケモンがおそいかかってきた!
map_0549#47	はい
map_0549#48	いいえ
map_0550#0	何か見えない気配が道をふさいでいる。
map_0550#1	\PNはシルボンスコープを使った。
map_0550#2	驚いたポケモンがおそいかかってきた!
map_0551#0	何か見えない気配が道をふさいでいる。
map_0551#1	\PNはシルボンスコープを使った。
map_0551#2	驚いたポケモンがおそいかかってきた!
map_0551#3	この街がどう変わったか、じっくり眺めたことあるかい?
map_0551#4	一日中ここで捕まえてたんだけど、ふとこの景色に目を奪われちまってさ。
map_0551#5	立派な街に育ったもんだ。
map_0551#6	オレも、もう少しこの街の成長に力を貸すべきかもな。
map_0551#7	コーラルじゃ人手が足りなくて困ってるのか?
map_0551#8	よし、ここで休んだら元気が出てきた。行って手伝ってみるか!
map_0552#0	何か見えない気配が道をふさいでいる。
map_0552#1	\PNはシルボンスコープを使った。
map_0552#2	驚いたポケモンがおそいかかってきた!
map_0552#3	「エリザベス・コナル」
map_0552#4	「モンティ・ベルローズ」
map_0552#5	「キャロライン・ベルローズ」
map_0552#6	「ジーナ・ヴァンハネン」
map_0552#7	「キキ・ミカエル・アルガル」
map_0552#8	「タラ――」
map_0552#9	「タラ・コッパーマン」
map_0552#10	サイモン：また会ったな、\PN。
map_0552#11	なぜこんな場所に来た? 弔いに来たわけじゃないだろう。
map_0552#12	だが、私はそのために来た。
map_0552#13	もう、あまりにも長い時間をここで過ごしてしまった。
map_0552#14	そして今、また失ってしまった。
map_0552#15	見てくれ。
map_0552#16	サイモン：湖から彼女の遺体を引き上げることはできなかったが、せめて彼女を偲ぶものくらいはあってしかるべきだと思ってな。
map_0552#17	彼女の苗字すら、突き止められなかった。
map_0552#18	家族や友人がいたのかどうかすら、わからない……
map_0552#19	そのすべてが、今は湖の底に沈んでいる。
map_0552#20	サイモン：私はあの女に復讐すると誓った。
map_0552#21	だが、もう一つ死を重ねたところで何になる?
map_0552#22	どこかの誰かが、あの女に対して、私がタラや……リッサに抱いていたのと同じ思いを抱いているにちがいない。
map_0552#23	これで二度目だ。
map_0552#24	二度も、愛した女性を失った。
map_0552#25	妻が死んだとき、私は彼女を取り戻すことしか考えられなかった。
map_0552#26	そこへ、シリウス司令官が現れた。
map_0552#27	チームメテオが世界を新しく創り直したとき、妻を取り戻せると彼は言った。
map_0552#28	私は喜んでそれを受け入れた。
map_0552#29	だが、私はタラと組むことになった。彼女はいつも元気で、誠実で……
map_0552#30	私は代わりに、彼女に恋をしてしまった。
map_0552#31	彼女は私の世界の光だった。
map_0552#32	今、また私には闇だけが残された。
map_0552#33	世界が生まれ変わったら、私は二人にまた会えると思うか?
map_0552#34	サイモン：おそらく、君の言う通りだろう。
map_0552#35	だが、それでどうする? リッサにどう説明すればいい?
map_0552#36	贖われたところで、待っているのは罪悪感だけだ。
map_0552#37	サイモン：……いや、そんなはずはない。
map_0552#38	最初から、ただの絵空事だったんだろう?
map_0552#39	この世界から逃げることは、ただ自分の罪悪感から逃げる手段でしかなかった。
map_0552#40	妻を失ったことへの罪悪感……
map_0552#41	タラの代わりに死ねなかったことへの罪悪感……
map_0552#42	リッサに人生を誓っておきながら、タラに想いを寄せてしまったことへの罪悪感……
map_0552#43	たとえ二人にまた会えたとしても、私は二人と向き合うことに耐えられないだろう。
map_0552#44	私はチームメテオを辞める。
map_0552#45	過去にとらわれすぎて、もう長い時間が経ちすぎた。
map_0552#46	もう耐えられない。
map_0552#47	失われたものを作り直そうとしたところで、意味などない。
map_0552#48	もし私を探すことがあれば、ペリドットワードの西にある我が家にいる。
map_0552#49	「リッサ・コッパーマン」
map_0552#50	名前は損傷がひどく、読み取れない。
map_0552#51	「巡査 ジェイコブ・S・クロウリー ――殉職」
map_0552#52	ヴィクトリア：あら! \PN、本当に戻ってきたのですか?
map_0552#53	カーネリアでいろいろなことが起きていると聞いて、とても心配していたのですよ!
map_0552#54	でも、もちろんあなたは大丈夫なのですね。
map_0552#55	いつもそうでしょう?
map_0552#56	ヴィクトリア：わたしたちはいつもそうです。
map_0552#57	ただ「こんにちは」と言っていただけです。
map_0552#58	ヴィクトリア：\PN、ようやく戻ってきたのですね。
map_0552#59	ヴィクトリア：ただ……「こんにちは」と言っていただけです。
map_0552#60	「久しぶりです」
map_0552#61	それと……
map_0552#62	「あなたが探していた安らぎは、見つかりましたか?」
map_0552#63	ヴィクトリア：この街は、ようやく見つけたのだと思います。
map_0552#64	自分にも同じことが言えたらいいのですが。
map_0552#65	アカデミーを引き継ごうとするのは……
map_0552#66	まあ、わたしに埋められる穴ではありません。
map_0552#67	彼女なしでは、もう同じではありえません。でも、それでもまだこうして存在しているのは、彼女の犠牲のおかげなのです。
map_0552#68	だから、この場所がどうすれば成長を続けられるか、ずっと考えてきました。
map_0552#69	答えは、以前のようにリボーンシティから距離を置くことではなく、この街に自分たちを捧げることだったのです。
map_0552#70	生徒の多くが、この街をまとめ上げる手伝いに深く関わってくれています。
map_0552#71	でも、それはわたしが見つけた答えにすぎません。
map_0552#72	もし彼女がまだここにいたら――
map_0552#73	いえ、もし彼女がまだ責任者だったら、
map_0552#74	きっと違う答えを出していたと思います。
map_0552#75	ごめんなさい、いつものように話しすぎてしまいましたね。
map_0552#76	それで、アメがわたしを探しているのですか?
map_0552#77	生徒たちに、また何か企画があるのかもしれませんね。
map_0552#78	わかりました、すぐに会いに行きます。教えてくれてありがとうございます。
map_0552#79	今はもう少しだけ、ここにいたい気分です。
map_0552#80	あの、\PN?
map_0552#81	……その、
map_0552#82	また会えてよかったです。
map_0552#83	すぐにアメに会いに行きますね。
map_0552#84	はい
map_0552#85	いいえ
map_0553#0	「サンライズ3」
map_0553#1	扉はさびついて開かない。
map_0553#2	「サンライズ9」
map_0553#4	S9の鍵を鍵穴に差し込む……
map_0553#5	扉がゆっくりと開いた!
map_0553#6	「サンライズ5」
map_0553#7	「サンライズ12」
map_0553#8	S12の鍵を鍵穴に差し込む……
map_0553#9	「サンライズ20」
map_0553#10	「フェアビュー1」
map_0553#11	F1の鍵を鍵穴に差し込む……
map_0553#12	「サンライズ28」
map_0553#13	「フェアビュー10」
map_0553#14	F10の鍵を鍵穴に差し込む……
map_0553#15	「フェアビュー14」
map_0553#16	F14の鍵を鍵穴に差し込む……
map_0553#17	「サンライズ4」
map_0553#18	S4の鍵を鍵穴に差し込む……
map_0553#19	ユクシー：ウーウクシー!
map_0553#20	潮にさらされ、色あせた道路標識がかろうじて読み取れる……
map_0553#21	「サンライズ」
map_0553#22	「東: フェイワード」
map_0553#23	「南東: フェアビュー」
map_0553#24	「北: キングスベリー」
map_0555#0	頑張って、バネブー。
map_0555#1	つらいのはわかってるけど、きっとあなたの真珠を見つけてあげるからね。
map_0555#2	あ、どうも。
map_0555#3	今、ちょっと困ったことになってて。
map_0555#4	うちのバネブーが真珠をなくしちゃったの!
map_0555#5	真珠がないと、バネブーはものすごく疲れちゃうのよ。
map_0555#6	本物が見つかるまではこれを代わりに持たせてるんだけど、今のところ全然運がなくて……
map_0555#7	え――バネブーの真珠を見つけてくれたの!?
map_0555#8	間違いない、それよ!
map_0555#9	早く!
map_0555#10	よし、これでもう大丈夫。
map_0555#11	本当にありがとう。
map_0555#12	これでバネブーも元通りになるはず!
map_0555#13	あの、これ!
map_0555#14	代わりに使ってたものだけど、もう必要ないから。よかったらもらってくれない?
map_0555#15	これが何なのかよくわからないけど、少なくとも、もう責任を負わなくて済むわ。
map_0555#16	あなたなら使い道を見つけられるといいけど!
map_0555#17	もう少しだけ頑張ってね……
map_0555#18	引き続き探すから。
map_0555#19	もう平気?
map_0555#20	またすぐトレーニングを再開しましょう!
map_0557#0	チッ、船員気取りの連中がしつこく口説いてくるんだから。
map_0557#1	あのさ、いい? 「兄弟」たち、冷やかしの声かけなんかで感心する女なんていないから!
map_0557#2	あれは褒め言葉じゃなくて、ただ不快なだけ。うへぇ!
map_0557#3	よし、もうすぐスパイス行きの始発に乗れる。ようやく仕事に復帰できたお祝いに、人生最高の食事をいただくわ!
map_0557#4	きっぷをお求めですか? \ch[321,-1,Grandview Station,Goldenrod Station,Ivyline Station,Sunset Station,Heatherhill Station,Peony Station,Kingsbury Station]
map_0557#5	また今日も長い一日になりそうだ……
map_0557#6	建設業をやってる――正確には資材の方だけどな。
map_0557#7	なあ、聞いてくれよ、トレーナー。
map_0557#8	あんたが毎日どんな苦労をしてるかは知らないが、オレにとって一番きついのは、ベッドから起き上がって仕事に向かうことなんだ。
map_0557#9	来る日も来る日も、鉄骨だの輸送用の何だのを運んで積んで……
map_0557#10	もうこれ以上は続けられそうにない。体力がもたないんだ。
map_0557#11	何とかポケモンに肩代わりさせられないかって、ずっと考えてるんだ。
map_0557#12	ゴーリキーはこの業界じゃ大人気なんだが……
map_0557#13	残念ながら、昔あった「鼻二つのジム」ことフォスターの事故のせいで、うちの会社じゃかくとうタイプの作業用ポケモンはもう禁止されてるんだ。
map_0557#14	調べてみたんだが、ダイノーズならある程度磁力を精密に操れるらしい。
map_0557#15	それを使えば、金属を運ばせられるんだ!
map_0557#16	でも、そんなもんどこで手に入るのか、皆目見当もつかないけどな。
map_0557#17	トレーナー、もしダイノーズを見かけたら、オレと交換してくれ! 珍しいタマゴをやれるぞ!
map_0557#18	ちぇっ、あんたが幸運をもたらしてくれるかと思ったんだけどな。
map_0557#19	オレに訪れる唯一の「ブレイク」は、腰が折れることくらいかもな。
map_0557#20	え、本当に持ってるのか?
map_0557#21	おいおい、こいつは驚いた。こっちに寄こしてくれ!
map_0557#22	\PNはダイノーズをタマゴと交換した!
map_0557#23	あんたは、まさに男たちの中のヒーローだよ。
map_0557#24	それじゃ、元気でな!
map_0557#25	はい
map_0557#26	いいえ
map_0558#4	鍵がかかっている。
map_0559#0	復興が始まってから、生活がめちゃくちゃ忙しくて!
map_0559#1	今夜はスラムでボランティアの予定なのに、部活の練習も試験勉強もまだ残ってる!
map_0559#2	これ全部、一人でどうやってこなせっていうの!?
map_0559#3	ああ、もう少しペースを落とさなきゃ。
map_0559#4	SOLICEで仕事を始めたけど、仕事と学校と趣味をどうやって両立させてるのか、さっぱりわからない。
map_0559#5	どれか一つが欠けても駄目なんだから! もう!
map_0559#6	ここなら大丈夫よね?
map_0559#7	変な男から逃げてきたの。
map_0559#8	撒けたとは思うけど、また会うといけないから、今は家に帰りたくない気分。
map_0559#9	このあたりに、どこか他に行けるところないかしら。
map_0559#10	あ、コーラルジムで手伝いを募集してるの?
map_0559#11	うん、決めた! しばらく身を潜めながら、ボランティアで忙しくしてるのもいいかも。手伝いに行くわ!
map_0560#0	エンジニア：うーん、どうしたもんか……
map_0560#1	ああ、どうも、はじめまして。
