22f_bt_speeches#240	へへっ。
22f_bt_speeches#296	よくもまあ! 親切な老婆に恥をかかせるためだけに来たのね! 訴えてやる! このクラブごと訴えてやる!
22f_bt_speeches#297	そんな、どうして...?
22f_bt_speeches#298	どうしてこんな仕打ちができるの!?
22f_bt_speeches#299	よくもわたしを黙らせてくれたわね!?
22f_bt_speeches#300	やあ、同輩の若者諸君、ごきげんいかが?
22f_bt_speeches#301	これは面白い。
22f_bt_speeches#302	君はどこまで持ちこたえられるかな?
22f_bt_speeches#303	くさタイプのポケモンについて、どれだけ知ってる?
22f_bt_speeches#304	アクア団とマグマ団とは、どれくらいやり合ってきた?
22f_bt_speeches#305	なんて古めかしいこと。
22f_bt_speeches#306	そうか... これが新しい道の始まりなのかもしれないな。
22f_bt_speeches#307	あれ? ここOKゾウドウの集まりじゃなかったの? あらまあ...
22f_bt_speeches#308	この勝利、フォート・マーシャルの名において受け取ろう!
22f_bt_speeches#309	ここではいつも大もうけさ! ははっ!
22f_bt_speeches#310	わたしは一筋の物悲しい炎...
22f_bt_speeches#311	わたしはこの世の宝!
22f_bt_speeches#312	わたしは美! わたしは優雅!
22f_bt_speeches#313	わたしは見た目どおりの者ではない...
22f_bt_speeches#314	わたしはまさに無双!
22f_bt_speeches#315	わたしは一撃のカエンジシ...
22f_bt_speeches#316	ケンケンパもバトルも、あたしがマスターよ!
22f_bt_speeches#317	どうせマリオはこれも見ないだろうけどね!
22f_bt_speeches#318	どうせマリオはこれを見ないだろうけどね!
22f_bt_speeches#319	妹がここで負けるほうに賭けたんだ。あいつも倒してくれよな?
22f_bt_speeches#320	君、あいつらを軽々と倒したんだろう?
22f_bt_speeches#321	燃え尽きちゃった!
22f_bt_speeches#322	友達と来たんだ! 今のところ最高に楽しいよ!
22f_bt_speeches#323	どんなポケモンだってまねできるよ!
22f_bt_speeches#324	君がポケモンを大切にしているのがよく分かるよ!
22f_bt_speeches#325	来週号が待ちきれない!
22f_bt_speeches#326	君を止めることは ほとんどできなかった!
22f_bt_speeches#327	一日中でもバトルしていられたのに!
22f_bt_speeches#328	わたしは精いっぱいやったからね。頑張って。
22f_bt_speeches#329	本当の力を見せる間もなかった!
22f_bt_speeches#330	ここのトレーナーがこんなに強いなんて知らなかった!
22f_bt_speeches#331	あのマヌケどもが何と言おうと、ここで一番のトレーナーはおれだ。
22f_bt_speeches#332	わたし、勉強ばっかりしてるわけじゃないんだから!
22f_bt_speeches#333	これ、どう受け止めればいいのかな...
22f_bt_speeches#334	水晶玉を見るまでもない。君はここで負ける。
22f_bt_speeches#335	こんな瞬間の写真はいらないかな...
22f_bt_speeches#336	どうやら もうノモセにはいないみたい...
22f_bt_speeches#337	ひるんじゃった!
22f_bt_speeches#338	チャンピオン本人に負けたんだ... 人生最高の日だよ...
22f_bt_speeches#339	流されちゃった!
22f_bt_speeches#340	最後に笑ったのは あたしだったみたいね!
22f_bt_speeches#341	潔く負けることも覚えないとね...
22f_bt_speeches#342	もっと勉強しないとだめか...
22f_bt_speeches#343	勝つなんて甘い夢は忘れたほうがいいのかも...
22f_bt_speeches#344	このポケモンたちと もっと練習しておくべきだった!
22f_bt_speeches#345	わたしが間違っていたみたいね...
22f_bt_speeches#346	この負けの憂さ晴らしに、もう少し買い物でもしようかな!
22f_bt_speeches#347	あたしって雑魚なのかな...
22f_bt_speeches#348	どのポケモンで戦っても、あたしはすごいってことね!
22f_bt_speeches#349	たまには休憩するのもいいもんだな!
22f_bt_speeches#350	猫だって何もかもがまぶしいほど得意なわけじゃないってことね...
22f_bt_speeches#351	虫は怖くないみたいだね...
22f_bt_speeches#352	どうやら わたしだったみたいだ...
22f_bt_speeches#353	どうやら 君だったみたいだね!
22f_bt_speeches#354	うちのピカチュウのほうが強かったみたいだね。まあ、ピカチュウはどれもいい子だけど。
22f_bt_speeches#355	わたしの勝ちは計画的犯行ってことね!
22f_bt_speeches#356	うわさは本当だったみたいだね。君について言われていること、全部!
22f_bt_speeches#357	まだ わたしに慣れていないみたい...
22f_bt_speeches#358	これも お金を稼ぐ一つの手ってことか!
22f_bt_speeches#359	鍛え方が足りなかったみたいだ...
