map_0524#55	リボーン、待ってろ！今から行くぜ！
map_0524#94	ぐぬぬ！あのポケモンを手元に置いといて、お前を倒すべきだった！
map_0524#95	アクア: ふん！運が悪かったな。あのポケモンはもう7番街で売っちまった。業者から買い戻さない限り、取り返すのは無理だぜ！
map_0524#96	<- クロッカス通り\n^ -5番街
map_0525#0	よお！家の修理が必要なら、いつでも声をかけてくれ！
map_0525#1	頼みたいのはただ一つ、恩を次に送ってくれってことだけさ。ここじゃそうやって回ってるんだよ。
map_0525#2	ロドクラインの一件が片づいてから、この辺りはずいぶん静かになったな。
map_0525#3	残念だよ、自分で立ち上がって止めてやろうかと思ってたのに。
map_0525#4	おれの住んでるベリルの一角が被害を免れて運が良かったよ。
map_0525#5	家に住み続けられただけじゃなく、復興が始まったらタダで改修までしてもらえたんだ！
map_0525#6	この場所もそろそろ修復される頃合いだったんだよ！
map_0525#7	ベリルは最初に大規模な事業として手をつけたワードの一つなんだけど、それでもものすごく時間がかかったんだよ。
map_0525#8	これが一晩でできたなんて思ってるなら、どう見えたとしても頭がおかしいぞ！
map_0525#9	<- リトルポー通り\n^v -プラチナ通り
map_0525#10	<- キングズベリー通り\nv -エメラルド通り
map_0525#11	見えない何かが道をふさいでいる。
map_0525#12	\PNはシルボンスコープを使った。
map_0525#13	驚いたポケモンが攻撃してきた！
map_0525#14	<- ストーカー通り\n^ -プラチナ通り\n>-ベリル大橋
map_0525#15	多くが変わった。
map_0525#16	今のこの街を、私は知らない。
map_0525#17	それこそが、この街の強さだ。
map_0525#18	過去にすがる価値などない。
map_0525#19	未来が待っているのなら、なおさらだ。
map_0525#20	これを受け取ってくれ――過去の形見だ。
map_0525#21	お守りのようなものだ。
map_0525#22	これが君の人生に新しいものをもたらしますように。
map_0525#23	たいていのものは作り直せる。
map_0525#24	家も、人も……
map_0525#25	だが、命は違う。
map_0525#26	それは私たち自身が大切にすべきものだ。
map_0526#0	なあ、環境が回復したばかりで釣りを始めるのって、倫理的にどうなんだろうな？
map_0526#1	ポケモンたちにはもっと回復の時間が必要なんじゃないか……
map_0526#2	……いや、釣りは生き様だ！やってやるぜ！
map_0526#3	泳ぎの腕なら誰にも負けない！絶好調だぜ！
map_0526#4	おれ、もう燃え尽きた……
map_0526#5	バトルの腕も磨いといた方がいいかもな……
map_0526#6	ここはおれの性に合った場所だな。
map_0526#7	この澄んだ水の香りの前じゃ、前の街の悪臭なんて遠い悪夢みたいだ。
map_0526#8	<>- グレイキャスト通り\n^ -11番街
map_0526#9	ヨーテリー: ワンワンワンワンワウゥゥ……！
map_0526#11	コーラルワードは今や見るものがたくさんあって、本当に最高の場所よ！
map_0526#12	あ、景色のことだけじゃないんだけどね～
map_0526#13	よし野郎ども、気合入れて出港するぞ！やることが山積みだ！
map_0526#14	あたしも出て行って手伝いたい！
map_0526#15	この街で一日中じっとしてるのはもう飽き飽きよ。あたしも連れて行って！
map_0526#16	<>- フェイワード通り\n^v -11番街
map_0526#17	<>- シャンティポート通り\nv -10番街
map_0526#18	また船を出せるようになったんだ、やるべきことは山ほどあるぞ。
map_0526#19	水はきれいに見えるかもしれないが、まだ汚染は多く残ってて、病気で苦しんでるポケモンもいるんだ。
map_0526#20	機械にはできない後始末をやり遂げるのは、おれたちの仕事だ！
map_0526#21	坊主、この匂いがわかるか？
map_0526#22	故郷の匂いだ。
map_0526#23	あそこの灯台、見えるか？
map_0526#24	リボーンシティがまだ新興の小さな町だった頃に建てられたもんでな、今のコーラルワードは湖畔のちっぽけな桟橋にすぎなかったんだ。
map_0526#25	だが、街が最初に衰退して以来ずっと使われていない。
map_0526#26	扉もがっちり施錠されててな。もう鍵を持ってる生きた人間なんて、誰も残っちゃいないだろうよ。
map_0526#27	だが誰にわかる？もしかしたら別の入り方があるかもな。どこかに隠された秘密の入口があるとかさ！
map_0526#28	へっ、冗談だよ。だがそんな風に考えてると、釣りの退屈な時間も紛れるんだ。
map_0526#29	なあ、アポフィルとここ、どっちの方が釣果がいいと思う？
map_0526#30	まあ、どうせ同じ湖なんだから、大した違いはないのかもな。
map_0526#31	また水面に出るのが待ちきれないぜ！
map_0526#32	ずいぶん長く陸に上がりっぱなしだった。陸の感覚を抜かないと……このお腹もな！
map_0526#33	湖の健康なんて知ったこっちゃない。魚が食いてえんだよ！
map_0526#34	アズマオウステーキを食ったことあるか？
map_0526#35	まだ復興中の頃にここへ引っ越してきたのは正解だったな！
map_0526#36	あれがめちゃくちゃになる前はずっとベリルにいたんだけど、こっちの方がずっと性に合ってるよ！
map_0526#37	こんな夜は、何だか現実離れした感じがするんだ。
map_0526#38	空も、湖も、星も、どれも儚くて――今にも消えてしまいそうな気がするんだ。
map_0526#39	なんていうか、前にも一度、消えたことがあるみたいに。
map_0526#40	そういう感覚になったことある？デジャブみたいな。
map_0526#41	これはもう一度起きたことで、今見えているものは誰かの想像の結果なんじゃないかって。
map_0526#42	それが好きなのかどうか、自分でもよくわからないんだ。
map_0526#43	この街が復興中だって聞いて、スピネルタウンから引っ越してきたんだ……
map_0526#44	でもここまで壮大になるなんて想像もしてなかったよ！
map_0526#45	最新の報告では、水の毒性レベルは今も驚くべき速さで低下し続けているらしい。
map_0526#46	浄水センター単体でも強力なんだ――もちろん稼働している時の話だが――
map_0526#47	だが、こんな短期間でこれほどの効果が出せるはずがない。
map_0526#48	新しい仮説がある。
map_0526#49	ポケモンたちが目を覚ましたか、戻ってきたか、隠れ場所から出てきたか――理由が何であれ、そうに違いない。
map_0526#50	きっと彼らも湖をきれいにしようと頑張ってるんだろう。
map_0526#51	私たちはただ、少し背中を押してやればよかったんだ。
map_0526#52	さて、これをどう確かめたものか……
map_0526#54	「シャンティポート駅」
map_0526#55	\PNはコーラルのカギを使った。
map_0526#56	扉が開いた！
map_0526#57	よお坊主。グルメな食事に興味はないか？
map_0526#58	新鮮なヤドンのしっぽがあるんだ。
map_0526#59	肉汁たっぷりの上物だぜ。
map_0526#60	それにこの辺じゃかなり貴重な代物だってこと、忘れるなよ。
map_0526#61	リボーンのヤドンは、釣りをしていてもめったにお目にかかれない貴重な存在なんだ。
map_0526#62	だから、これがごちそうだってわかるだろ。
map_0526#63	たったの$500,000で売ってやるよ。破格だろ！
map_0526#64	\Gどうする？
map_0526#65	いいね。調理の仕方は知ってるか？
map_0526#66	よければおすすめを教えてやるよ、サービスでな。
map_0526#67	おっ、ザ・スパイスに配達してるのか？
map_0526#68	ちっ、それなら最初からそう言えよ。
map_0526#69	あそことは取り決めがあるから、代金はあっちが持つんだ。
map_0526#70	おいおい、本気で自腹で払うつもりだったのか？
map_0526#71	たいした心意気だな……
map_0526#72	とにかく、ほら。
map_0526#73	傷まないよう冷やしとけよ、いいな？
map_0526#74	ちっ、お前の損だぜ。
map_0526#75	味ってものがわかるようになったら出直してこい。
map_0526#76	あ、それとその……
map_0526#77	この取引のことは黙っといてもらえると助かる。
map_0526#78	この商売、みんなが好意的ってわけじゃないからな？
map_0526#79	アドリエンヌ: では、設計のメンテナンス手順を文書化して、従業員が確認するためのスケジュールを作成してください。
map_0526#80	アドリエンヌ: 公共安全に関する規則、でしたね？
map_0526#81	ネットに掲載して、チラシを印刷し、ボランティアの誰かに条例を街中に掲示してもらってください。
map_0526#82	女性: あの……
map_0526#83	アドリエンヌ: あなたは……スタインズマンさん。クリスタル通りの集合住宅、2Cでしたね。合ってますか？
map_0526#84	女性: は、はい。あの、まだ電気の問題が解決してなくて……
map_0526#85	アドリエンヌ: 本当ですか？火曜日に誰かが対応するはずだったのですが。
map_0526#86	女性: あの、誰も来なくて……
map_0526#87	アドリエンヌ: まあ。ご迷惑をおかけして本当に申し訳ありません。
map_0526#88	教えてくださってありがとうございます。長い間そんな状態に耐えるのは、さぞ大変だったでしょう。
map_0526#89	アドリエンヌ: キングズベリーの現場は片づきましたか？
map_0526#90	ボランティア: はい、あそこはもう万事ばっちりのはずです！
map_0526#91	アドリエンヌ: あなたは天使ですね。
map_0526#92	スタインズマンさんをネオサーキット発電所のファインシルバーさんのところまでご案内していただけますか？
map_0526#93	今はジュリアの代理をしているので、対応できるはずです。
map_0526#94	アドリエンヌ: はい、サインです。他に何か必要ですか？
map_0526#95	男性: それだけです！すぐに事務所へ持ち帰ります。
map_0526#96	アドリエンヌ: ありがとうございます――皆さん、よく頑張ってくれています。何か問題があれば、いつでも訪ねてきてください。
map_0526#97	アドリエンヌ: 深呼吸……すべて順調です。
map_0526#98	\PN。また会えて嬉しいです。
map_0526#99	アドリエンヌ: お待たせして申し訳ありません、\PN。元気にしていましたか。
map_0526#100	しばらく留守にしていたそうですね――でも、見てください！
map_0526#101	この場所全体が――
map_0526#102	これが、私が誇れる街です。
map_0526#103	たとえ以前は崩れていたとしても、そのかけらはずっとここにありました。
map_0526#104	あとは誰かがそれを組み立て直すだけでよかったのです。
map_0526#105	地元のジムリーダーたち、アポフィルとオニキスの生徒たち、そして望みうる以上のボランティアたちの助けを借りて、
map_0526#106	私たちは本当にここで奇跡を起こせたのだと思います。
map_0526#107	気が遠くなるようなことでした――
map_0526#108	いいえ、最初のうちはほとんど悪夢のようだったと言ってもいいでしょう――
map_0526#109	ですが、これはお知らせや感動的な演説だけで成し遂げられることではありません。
map_0526#110	私は一軒ずつ、その壁の中にあるひび割れ一つ一つ、物語一つ一つに個人的な関心を寄せながら始めました。
map_0526#111	そして他の人々にも同じことを教えることで、それがすべて外へと広がり、ある種の夢のようなものになったのです。
map_0526#113	まったく足りません。
map_0526#114	でも、もう十分ですね。何か理由があって会いに来たのでしょう？
map_0526#115	アメがわたしを呼んでいるのですか？
map_0526#116	わかりました。先に行っていてください。
map_0526#117	あと少し片づけなければならないことがありますが、すぐに向かいます。
map_0526#118	次は何をすればいいですか？
map_0526#119	この新しい規則についてなんですが……
map_0526#120	アドリエンヌさん、これにサインをお願いします。
map_0526#121	水路のフィルターが完成しました。次はどう進めましょうか？
map_0526#122	あの、すみません……
map_0526#123	おれがさぼってるって、上司には言うなよ。
map_0526#125	ったく、これから掃除当番かよ。
map_0526#126	水着のハーフパンツって好きなんだ！着心地がよくて楽なんだよね！
map_0526#127	……ゴムがゆるむまでは、な。
map_0526#128	なあ、スピード型の水着にすべきだと思うか？
map_0527#0	ふう！一日中、街の地下で修理業者の手伝いをしてたんだ！
map_0527#1	地下鉄道網の復旧に向けて準備してるんだよ！毎朝歩いて仕事に行かなくてよくなるのが待ちきれないね！
map_0527#2	ゲートが開いた直後にこの街が自ら復興し始めたのは、偶然なんだろうか？
map_0527#3	エネルギーを停滞させてはならない。動き続けていれば、うまくいく。
map_0527#4	リン: だめ、あそこには入れない。
map_0527#5	もし入ったら、本当に殺される。
map_0527#6	つーか、殺されて当然だし！
map_0527#7	なんでまだ生きてるのか自分でもわからない！
map_0527#8	なんでこんなとこにいるんだろう
map_0527#9	たすけて
map_0527#10	この地方をまじで恐怖に陥れといて、今はただ歩き回ってるだけで何も起きないとか？？？？？
map_0527#11	もしもーし、指名手配の戦犯がここにいますけどぉ？？？？
map_0527#12	リン: あんたの友達と関わるのは、あたしが本物の神様だった頃の方がずっと楽だったな。
map_0527#14	まああんまり大声で言うことじゃないか。
map_0527#15	もらったタッツーの口の中は覗かないでおこう。
map_0527#16	リン: おっ、よかった、目が覚めたんだ。
map_0527#17	まあ、当然っちゃ当然か。
map_0527#18	アンナ: ……リン？
map_0527#19	あの水たまりがないと、あたし危うく気づかないところだったよ！
map_0527#20	リン: は？何が。
map_0527#21	アンナ: だから、水たまりだよ！
map_0527#22	あんたが起きてる間ずっとまとわりついてる、永遠の陰気な水たまり！
map_0527#23	リン: アンナ、あんた何言ってんのマジで
map_0527#24	アンナ: あ、なんでもない！
map_0527#25	中に入ってみんなに会ってみない？
map_0527#26	リン: いや？
map_0527#27	アンナ: オッケー、でもとにかくやるよ！
map_0527#28	世界を終わらせようとするのはもうやめたんでしょ？
map_0527#29	自分から人前に出て本当にみんなと会うことが、あんたが普通でよりよい人生を送ろうとしてるって証明する第一歩になるんだよ！
map_0527#30	リン: ……
map_0527#31	アンナ: 前は色々あったけど、\PNのおかげで、あの出来事は全部、あたしたちがそういうのを脇に置くべきだって示してるだけだから！
map_0527#32	ほら、ほら――行くよ！
map_0527#33	リン: はいはい、まああんたの友達なんだし……
map_0527#34	殺されなきゃいいけど
map_0527#35	殺されたらマジで最悪だし。
map_0527#36	リボーンナイトクラブへようこそ！――エースメンバー限定――
map_0527#37	気合入れて働かなきゃ！
map_0527#38	街が体を鍛え直してるなら、あたしもそうしなきゃ！
map_0527#39	地下の洞窟で人々が迷ったり怪我をしたりするのを防ぐため、市の条例によりこの区域への立ち入りは制限されています。
map_0527#40	そのため、一般市民の方には引き返していただくようお願いしております。
map_0527#41	ただし、あなたはそのまま進んでいただいて構いません。
map_0527#42	下に行くなら気をつけてください。
map_0527#43	それでは、よい一日を。
map_0527#44	スイート社が人を募集してるらしいよ。ここでは本当に順調にやってるんだな。
map_0527#45	応募してみようかな。
map_0527#46	よう、トレーナー。
map_0527#47	自警団はトラブルに目を光らせています。不審なものを見かけたら、私たちに知らせてください。
map_0527#48	ねえ、聞いた？
map_0527#49	ここってすごい会員制で、ほとんどの人は入れないんだけど、募集してるって聞いて……
map_0527#50	どうにかして入りたかったから、応募用紙を山ほどつかんで走ってきたの！
map_0527#51	もう落とされちゃったんだけど、これだけ余っちゃって。
map_0527#52	はい、一枚どうぞ！別にいいでしょ！？
map_0527#53	???: よう。
map_0527#54	おれを探してたのか？会ったことはないと思うけど。
map_0527#55	DJアークライト、よろしくな。短くアークでいいぜ。
map_0527#56	この名前、覚えとけよ。
map_0527#57	で、アメがお前をよこしたのか？
map_0527#58	アーク: よう、\PN！調子はどうだ？
map_0527#59	アーク: よう。\PNだよな？
map_0527#60	アメがお前をおれを呼びによこしたのか？
map_0527#61	戻ってきてから、本当にあちこち走り回ってるんだな？
map_0527#62	そうか。だいたい何の話かは見当がついてるぜ。
map_0527#63	アドリエンヌに放送で宣伝してくれって頼まれてから、街の仕事にすっかり関わることになっちまってな。
map_0527#64	おかげでボランティアを大勢集められた……まあ中にはおれに会いたいだけのやつもいたけどな。
map_0527#65	あれはひどい騒ぎだったよ……
map_0527#66	ああ、とにかく、最近リスナーから電話でタレコミがあってな――
map_0527#67	どうやら、またチームメテオみたいだぜ。
map_0527#68	驚くことでもないけどな。
map_0527#69	よし、おれは先に行くぜ。まずは辺りを片づけないとな。
map_0527#70	アメには、集合場所で待ってるって伝えといてくれ。
map_0527#71	アーク: \PN！今回はおれも一緒に行くぜ。
map_0527#72	あのドーブルから詳しい話を聞き出すのは少し大変だったが、集めた情報からすると、現地でおれたちだけってわけじゃなさそうだ。
map_0527#73	この伝説ポケモン絡みの騒ぎがおかしくなり始めてから、他にも通報が入ってきてる。
map_0527#74	お前とおれ、それにジムリーダーたちは――みんなを守るために追ってるんだ。
map_0527#75	だが他の連中は、もっとやっかいな目的で追ってる――金、権力、自分の得のためにな。
map_0527#76	おれがそんなのに興味ないってことは、お前ももう知ってるだろ。
map_0527#77	デボンでも7番街でも、檻ってやつにはもうたくさんだ。
map_0527#78	生活のためにやってる連中を止めることはできない。だが、こんなやり方でやらせておくわけにもいかない。
map_0527#79	おれはまっすぐそこへ向かう――クリソリアのあの古い廃線どうくつだと踏んでる。
map_0527#80	密猟者たちが、中の岩に沿って進むとか何とか言ってたんだ。
map_0527#81	向こうで会おうぜ。
map_0527#82	ああ、昔ののんびりした街が懐かしいなあ。
map_0527#83	今じゃみんな「ビジネスがどう」「コミュニティがどう」ばっかりだもの。
map_0527#84	ボンジュール、美しき我が友よ。
map_0527#85	この街の発展の裏には君がいると噂で聞いたのだが、そうだろう？
map_0527#86	君の働きに感謝するよ。
map_0527#87	どうやらスイート社に投資したのは正解だったようだ。
map_0527#88	さて、次に伸びる企業はどこかな？
map_0527#89	運輸業とかどうだろう？
map_0527#90	絶好調だよ！
map_0527#91	復活しつつある地下鉄道網に投資したのは正しい判断だったんだ！
map_0527#92	すぐにでも、私がリボーンの経済の中心になるだろう！
map_0527#93	アドリエンヌ: では、
map_0527#94	最初の質問。なぜですか？
map_0527#95	二つ目の質問。どうやって？
map_0527#96	私たちはデボンコーポのトップにいるはずで、ここにいるはずではなかったのですが。
map_0527#97	ヴィクトリア: アドリエンヌ、アメと一緒にいた時、一体何があったんですか？
map_0527#98	アドリエンヌ: アークライトが信号を発動させた時、私たちは予定通り正面から入りました。
map_0527#99	予想していた抵抗はありましたが、それを片づけ終えた途端、
map_0527#100	出口が封鎖されました。
map_0527#101	何らかのガストラップだったのです。
map_0527#102	それから後のことは覚えていません。
map_0527#103	ヴィクトリア: \PNのために道を確保しようとしていた時、どこからともなくメテオの別の一団が現れて、私を気絶させたんです。
map_0527#104	アドリエンヌ: つまり、私たち全員を気絶させたあと、この建物まで運んだ可能性が高いということですね。
map_0527#105	ヴィクトリア: それに、私は弱すぎて止められませんでした。
map_0527#106	考えてみれば、
map_0527#107	キキも弱かった。
map_0527#108	彼女の体は、自らを蝕んでいました。
map_0527#109	それを止めることはできなかった。
map_0527#110	そして、彼女が本当にそれを受け入れていたのかも、私にはわかりません。
map_0527#111	弟子がどうやって師を超えるのか、今ならわかる気がします。
map_0527#112	やるべきことはたくさんありますね。
map_0527#113	アドリエンヌ: いつものことです！
map_0527#114	ヴィクトリア: でも、私たちがみんなこんなに情けないほど弱かったのに、
map_0527#115	ここまで来られたんですよね。
map_0527#116	アドリエンヌ: ええ。
map_0527#117	この街を守りましょう。
map_0527#118	つまりこの建物も、メテオの施設を隠すための表向きだったわけですね。
map_0527#119	手がかりになりますね。
map_0527#120	これに関わった者は、おそらくチームメテオとつながりがあるでしょう。
map_0527#121	その記録は大ホールにあるはずです。
map_0527#122	ヴィクトリア: そちらの捜索は私が引き受けます。そこの他のスタッフにも、何があったか伝えておきますね。
map_0527#123	アドリエンヌ: では私はアークライトを治療に連れて行き、デボンとこの建物を捜索する班を編成します。
map_0527#124	私たちをここへ誘い込んでから解放したということは、おそらくもう使うつもりがないということでしょう。
map_0527#125	だから、まだ何か手がかりが得られるかもしれません。
map_0527#126	\PN、後ほど私のジムに来てもらえますか？
map_0527#127	一つか二つ、頼みたいことがあるんです。
map_0527#128	ヴィクトリア: 私からも連絡しますね。
map_0527#129	アドリエンヌ: 幸運を。
map_0527#130	みんな街の復興事業だって騒いでるけど、結局やることって単純労働ばっかりじゃないの？
map_0527#131	私の知的能力に見合うものがあれば、喜んで力を貸すのだけれど。
map_0527#132	つまり、ジムリーダーがコーラルジムで助けを求めているというわけ？
map_0527#133	よろしい、私と同じレベルの才能を持っているか見てあげましょう。
map_0527#134	<>- カステリア通り\n^ -大門 v -オパール大橋
map_0527#135	> - カステリア通り\n< -ルミオース通り ^ -大門
map_0527#136	マグマ: よお、引っ込めよアクアの雑魚が、超レアな賞品に金払ったばっかで、マジむかついてんだよ！
map_0527#137	くそっ、何もかも失っちまう！
map_0527#138	マグマ: ガァァ！
map_0527#139	なんでお前らはいつも全部台無しにするんだよ！？その超レアなポケモンが何だったのか見る間もなく、お前らの仲間が持ってっちまったんだぞ！
map_0527#140	腹にぶちこんでやる前に、放っておけ！
map_0527#141	マグマ: おい！どうした！マジむかついてんだよ！
map_0527#142	中央オブシディアであのガキから超レアなポケモンを買ったのに、アクア団の一員が現れて持ってっちまったんだ！
map_0527#143	ああ、あそこに行ってぶちのめしてやりたいけど、ボスは理由もなく揉め事を起こすのを嫌うからな。
map_0527#144	マグマ: 中央オブシディアであのガキから超レアなポケモンを買ったのに、アクア団の一員が現れて持ってっちまったんだ！
map_0527#145	<- カステリア通り\nv -9番街
map_0527#146	うひょー！
map_0527#147	湖の清掃で大変な一日を過ごしたあとは、ザ・スパイスの料理に限るぜ！
map_0527#148	<>- カステリア通り\nv -8番街
map_0528#0	「南オブシディアが次の事業だ」ってずっと言い続けてる。「そのうち手をつけるから、もう少し待ってくれ」ってな。
map_0528#1	おいおい、南オブシディアが「次の事業」だったのなんて、もう六個前の「次の事業」からじゃねえか！
map_0528#2	おれはベリルにもラピスにも手伝いに行ったのに、あいつらはここに来て手伝ってくれたか！？
map_0528#3	ぜんぜん来てねえよ、まったく。
map_0528#4	このシステムはくそったれだ。
map_0528#5	街がまた「不毛地帯」の浄化に挑もうとしてるって聞いたぜ。
map_0528#6	無理だろうな、と俺は思うね。
map_0528#7	だが、この街自体についても同じことを言っていただろうさ。
