22f_bt_speeches#600	みんなで楽しいバトルの歌を歌おう!
22f_bt_speeches#676	手持ちの準備は万端だ!
22f_bt_speeches#677	わが力は、さらなる高みへ昇る!
22f_bt_speeches#678	オレのリフがぁ、マジかよぉ!
22f_bt_speeches#679	姉さんに、ここで10連勝はできないって賭けられてさ……もう9勝したぞ!
22f_bt_speeches#680	姉さんって、ほんとイヤなやつ……
22f_bt_speeches#681	わが悲しみは、太陽のように熱く燃える!
22f_bt_speeches#682	先生が、今日はわたしが勝つと保証してくれたの。
22f_bt_speeches#683	先生が……間違ってた?
22f_bt_speeches#684	うちのチームは、わたしがどれだけ大事に思ってるか分かってるの!
22f_bt_speeches#685	テストは明日なんだ!
22f_bt_speeches#686	わが勝利は、末永く語り継がれるであろう!
22f_bt_speeches#687	わたしの頭のキレは、ポケモンよりも強いのよ!
22f_bt_speeches#688	ここでのわたしの仕事は終わりだ!
22f_bt_speeches#689	ビグルスにハグはなしだ……
22f_bt_speeches#690	じゃあ、おひるねの時間だな!
22f_bt_speeches#691	自然科学は、自然と勝利につながるのだ!
22f_bt_speeches#692	なんでもない、なんでもない。
22f_bt_speeches#693	やっぱりやめておくよ。キミにはまだ早いと思う。
22f_bt_speeches#694	やっぱりやめておこう。あそこのトレーナーには、キミじゃ手も足も出ないよ。
22f_bt_speeches#695	グレゴリーを甘く見るなよ!
22f_bt_speeches#696	次は、かせきポケモンで戦ってみなよ!
22f_bt_speeches#697	次は、クリーニングを取りに行かなきゃ……
22f_bt_speeches#698	いい戦いっぷりだったね!
22f_bt_speeches#699	たまには公務を離れるのもいいものだ!
22f_bt_speeches#700	よし! これであいつらにハンバーガーをおごらせられるぞ!
22f_bt_speeches#701	いいね。これで男どもに夕飯をおごってもらえるわ!
22f_bt_speeches#702	言い訳は無用! バトルの準備をしろ!
22f_bt_speeches#703	ずるいよ! キミのピカチュウと遊べなかったじゃないか!
22f_bt_speeches#704	わたしが誰か分からない? けっこう。
22f_bt_speeches#705	新しい発想は得られなかったが、実に興味深かった。
22f_bt_speeches#706	王を倒せる者などおらん!
22f_bt_speeches#707	マグマ団の中で、オレを倒せたやつはいねえ!
22f_bt_speeches#708	オレの連勝は誰にも止めさせねえ!
22f_bt_speeches#709	外の連中にも、オレは倒せないみたいだな!
22f_bt_speeches#710	別に理由なんてない!!
22f_bt_speeches#711	走っちゃダメ!
22f_bt_speeches#712	違う、お前じゃない……
22f_bt_speeches#713	ダメか? まあいいや、代わりにサンドイッチでも買うよ……
22f_bt_speeches#714	ここにいる誰にも、あたしは負けないわ!
22f_bt_speeches#715	やっぱり、オレがまだ一番強いな!
22f_bt_speeches#716	ダメだったか。やっぱりスイートキスキャンディーショップに応募しとくんだった。
22f_bt_speeches#717	普段ならこんなことしないんだけど……
22f_bt_speeches#718	まだまだ足りないな!
22f_bt_speeches#719	あんまり言うことはないみたいだな?
