map_0355#425	シエル: スターになれば、他の人ともっと近づけると思っておりましたの。
map_0355#513	いつか絶対食べてみなよ。
map_0355#514	分けてあげたいけど、うちのちびすけに持ち帰るって約束しちゃったんだよね。
map_0355#515	でもさ――
map_0355#516	絶対食べてみなって。
map_0355#517	？？？: マジで、フロステッド・ファンネルケーキな。
map_0355#518	冗談抜きだぜ、相棒。
map_0355#519	食べなきゃ損だぜ。
map_0355#520	さあ皆さんおいでおいで、このサーカス一番の「ベリー」グレートな体験へ！
map_0355#521	フレンドシップベリー販売中！
map_0355#522	「ベリー」ベストなのは保証済み、あなたとあなたのポケモンのためだけに！
map_0355#523	……お願いですから買ってください。
map_0355#524	買ってくれなきゃ、あたし「ブルーベリー」な気分になっちゃう！
map_0355#525	……ベリーの乗ったお願い、聞いてくれる？
map_0355#526	おいしいみず - $200
map_0355#527	サイコソーダ - $300
map_0355#528	ミックスオレ - $350
map_0355#529	キャンセル
map_0355#530	みずのちかい
map_0355#531	ほのおのちかい
map_0355#532	くさのちかい
map_0355#533	はい
map_0355#534	いいえ
map_0355#535	一つずつ教える。
map_0355#536	全部思い出す。
map_0355#537	さわぐ
map_0355#538	ハイパーボイス
map_0355#540	けたぐり
map_0355#541	オーケー
map_0355#542	いいえ結構です
map_0355#543	買う
map_0355#544	アイアンテール
map_0355#545	きあいパンチ
map_0355#546	ドリルライナー
map_0355#547	こうごうせい
map_0355#548	ダブルチョップ
map_0355#549	かみなりパンチ
map_0355#550	ほのおのパンチ
map_0355#551	れいとうパンチ
