map_0324#473	まだ無いのかもしれないな……だとしたら、俺はどうすればいい？
map_0324#521	はたきおとす
map_0324#522	アイアンヘッド
map_0324#523	ギガドレイン
map_0324#524	アクアブレイク
map_0324#525	トリック
map_0324#526	きりばらい
map_0324#527	とぎすます
map_0324#528	スキルスワップ
map_0324#529	ずつき
map_0324#530	とびはねる
map_0324#531	いやしのすず
map_0324#532	むしくい
map_0325#0	マクスウェル: \PN、だよな？
map_0325#1	なあ。
map_0325#2	俺は昔、リボーンシティってジャングルの王様だったんだ。
map_0325#3	お前が現れて、俺を王座から引きずり下ろすまではな。
map_0325#4	マグマ団はもうねえ。
map_0325#5	それはお前のせいだ。
map_0325#6	俺はこうして、こんな掃きだめに一人ぼっちだ。
map_0325#7	それもお前のせいだぜ。
map_0325#8	これのどこにも栄光なんてねえ。
map_0325#9	だが……
map_0325#10	俺はこの時をずっと待ってたんだ。
map_0325#11	お前にまた会えることを願ってた……名声を取り戻す時が来たんだからな！
map_0325#12	\PN！やろうぜ！栄光のためにな！
map_0325#13	マクスウェル: それでも……
map_0325#14	マクスウェル: ぐっ……待て。ちょっと待ってくれ。
map_0325#15	タイムだ。やり直しだ！
map_0325#16	だめか？まだ俺は――
map_0325#17	なあ、お前に勝つには何が必要なんだよ？チートコードか？
map_0325#18	お前を倒せば、俺の家族をもう一度築き直せるんじゃないかって、必死な思いでここに居座ってたんだ。
map_0325#19	だがどうやら、それは叶わないみたいだな。
map_0325#20	そろそろ栄光から先へ進む時なのかもな。
map_0325#21	工場の仕事にでも就いて、ちゃんとした暮らしをするとかよ。
map_0325#22	ずっと時間を無駄にしてたってわけか……情けねえな。
map_0325#23	まあいい。これを受け取ってくれ。
map_0325#24	死にゆく男からの、別れの贈り物さ。
map_0325#25	俺はここで死ぬ。
map_0325#26	そして生まれ変わる、普通の人間としてな。
map_0325#27	ありがとうな。結局のところ、栄光ってのは牢獄だったんだよ。
map_0325#28	アーチャー: やあ、\PN。ここで会うとは驚いたな。
map_0325#29	驚いてはいるが、失望はしていない。
map_0325#30	いつかまたお前に出会えるのではと、期待していたんだ。
map_0325#31	あの恥ずべき騒動の後、アクア団はとっくに消滅した。
map_0325#32	私はさすらっていた。魂の探求とでも言えばいいか。
map_0325#33	ここでの答えは何なのか、自問していた。
map_0325#34	答えは、こうだ。もっと強くなること。
map_0325#35	\PNを倒し、地位を取り戻すこと。
map_0325#36	実際、私はこの瞬間のために準備してきた。お前も同じであることを願うよ。
map_0325#37	アーチャー: 実に失望させられる。
map_0325#38	アーチャー: ふむ。まだ足りないということか。
map_0325#39	正直なところ……私はほとんど安堵している。
map_0325#40	野心と狡猾さは、共に振るえば危険な武器になり得る。
map_0325#41	だがそれは、もろ刃の剣でもある。
map_0325#42	自らの意志と策略によって、私はただの街の少年から大いなる力へと成り上がった。
map_0325#43	だが今、私は再びそこへと引き戻されてしまった。
map_0325#44	お前が邪魔をしなければ、私は何を成し遂げていただろうな。マグマだけが、私の野心を阻む唯一の壁だったのだ。
map_0325#45	だがどうやら、その夢は本当に終わったようだ。
map_0325#46	私は謙虚になった。それを受け止められないほど無責任な人間ではないつもりだ。
map_0325#47	これを受け取ってくれ。
map_0325#48	私の別れの印だと思ってくれ。私は死にに行く。
map_0325#49	アーチャー: 心配は無用だ。
map_0325#50	これまでの私は死に、より良い男として生まれ変わる。
map_0325#51	そのより良い男が何を成し遂げられるか、見届けようじゃないか。
map_0325#52	ガチだぜ、相棒！マジで……ガチ。んで、ブレイク！
map_0325#53	ハイド: あー、参った、悪いトリップだった。
map_0325#54	補充しねえと。
map_0325#55	なあ、俺マジでハイになってる！やろうぜ！
map_0325#56	ケラム: うおおおおお！
map_0325#57	おいおいおい……
map_0325#58	なあ。うわ。ってか。なあ。うわああ。
map_0325#59	ヤン: くそ、なあ。一発やる？
map_0325#60	いや～、お前はやりたくねえだろ。
map_0325#61	ねえ！「ふしぎなアメ」まだある？
map_0325#62	セリーナ: お願い、ほんの少しでいいから！
map_0325#63	ヒルダ: ふん。
map_0325#64	くそ、なあ。キメたいのに金がもうねえ。
map_0325#65	なあ、マジで神に誓って、今なら自分のポケモンと「レベルアップ」を交換してもいいくらいだ。クソ……
map_0325#66	うおっ、マジかよ、お前それ持ってんのか？それ「ふしぎなアメ」じゃねえか！
map_0325#67	頼むよ、なあ、お願いだから、それ俺にくれよ。
map_0325#68	くそっ、欲しいなら俺のポケモンをやるよ。バトルより「至福」の方に興味があるんだ。頼むよ、なあ。
map_0325#69	\PNは「ふしぎなアメ」を渡した。
map_0325#70	なあ。お前は命の恩人だ！ああ、なんてこった……
map_0325#71	これがマジでたまんねえんだよな、わかるだろ？ハハ。
map_0325#72	ああ、くそ、これが欲しいのか？いいぜ、持ってけよ。マジでどうでもいいからよ。
map_0325#73	くそ。いや、なあ、誰もお前を責めやしねえよ。俺だって自分のなら手放さねえもん。
map_0325#74	くそ、あっという間だったな……もう一つ持ってねえか？
map_0325#75	なあ、誰かもう一つ回してくれよ？
map_0325#76	ベネット: あなたに後をつけられている気はしていました。
map_0325#77	しかし、よりにもよってこんな場所であなたに会うとは思いませんでした、\PN。
map_0325#78	もっとも、私のような人間が好んで来る場所でもありませんが。
map_0325#79	ある処置のための物資を取りに行くよう頼まれたもので、仕方がなかったのです。
map_0325#80	当然、誰かに後をつけられて戻ったとなれば、皆に怒られてしまうでしょう。
map_0325#81	ですが、ルナのためにも、急いで戻らねばなりません。
map_0325#82	おや？あなたもルナを助けようとしているのですか？
map_0325#83	そうですか。
map_0325#84	それならば、問題はないでしょう。
map_0325#85	実は私たちの部屋への入口はこの下に隠されているのですが、あなたのために道を開けておきましょう。
map_0325#86	すぐ外にありますので、見逃すことはないはずです。
map_0325#87	あのアークライトって奴、知ってるか？
map_0325#88	この辺りをうろついてるって噂だぜ。
map_0325#89	何やら指輪みたいなのを拾ったらしくてよ、
map_0325#90	一流のトレーナー連中にゃたまらねえ代物らしいぜ。
map_0325#91	なんでも仕事を手伝ってくれる奴を探してて、それを報酬にするつもりらしい。
map_0325#92	まあ、俺には縁のねえ話だけどな。
map_0325#93	はい
map_0325#94	いいえ
map_0326#0	本には様々なポケモンの性格が記されている……
map_0326#1	「無補正――がんばりや、すなお、まじめ、てれや、きまぐれ
map_0326#2	こうげき上昇――さみしがり（ぼうぎょ↓）、ゆうかん（すばやさ↓）、いじっぱり（とくこう↓）、やんちゃ（とくぼう↓）
map_0326#3	ぼうぎょ上昇――ずぶとい（こうげき↓）、のんき（すばやさ↓）、わんぱく（とくこう↓）、のうてんき（とくぼう↓）
map_0326#4	すばやさ上昇――おくびょう（こうげき↓）、せっかち（ぼうぎょ↓）、ようき（とくこう↓）、むじゃき（とくぼう↓）
map_0326#5	とくこう上昇――ひかえめ（こうげき↓）、おっとり（ぼうぎょ↓）、れいせい（すばやさ↓）、うっかりや（とくぼう↓）
map_0326#6	とくぼう上昇――おだやか（こうげき↓）、おとなしい（ぼうぎょ↓）、なまいき（すばやさ↓）、しんちょう（とくこう↓）」
map_0326#7	ようこそ、ようこそ、若きトレーナーよ。
map_0326#8	初めてお会いしますね？ええ、そうでしょうとも。では、自己紹介させてください。
map_0326#9	私はポケモン心理カウンセラー――珍しい職業ですし、モラルの方もいささか怪しいものですが、それでも！
map_0326#10	私の目標は、それぞれのポケモンが最高の自分になれるよう手助けすることです。
map_0326#11	さらに、私のサービスはハートのウロコたった一枚という、実に格安の料金で提供しております。
map_0326#12	まあまあまあ、私のような名医がなぜこんなに安く働くのかなど、お尋ねになる必要はありません。
map_0326#13	慈善事業とでも思ってください。
map_0326#14	いずれにせよ、私の治療はあなたのポケモンの性格そのものを変えるところまで及びます。
map_0326#15	白状しますが、ポケモン心理学は完璧な科学とは言えません。
map_0326#16	施術しても変化が起きない可能性もありますし、さらに、ポケモンの性格がどうなるかは事前には分かりません。
map_0326#17	ほとんど何にでもなり得るのです。
map_0326#18	さて、本題に入りましょう……
map_0326#19	ハートのウロコをお持ちのようですね。それでは、お手持ちのポケモンの性格を一つ変えて差し上げましょうか？
map_0326#20	そうですか、そうですか。いえ、構いませんとも。私のサービスが必要ないのなら、それが一番ですからね？
map_0326#21	\PNはハートのウロコを1枚渡した。
map_0326#22	ああ、素晴らしい！待ちきれません。さあ……\v[58]、横になってください。
map_0326#23	さて、今日は大きな進展があったように思います。手元には、まったく新しい\v[58]がいるかもしれませんよ。
map_0326#24	またセッションをご希望でしたら、いつでもお越しください。
map_0326#25	もちろんです、もちろんです。私のサービスが必要になったら、どこにいるかはご存じですね。
map_0326#26	ハートのウロコをお持ちで、ポケモンの性格を変えてみたくなったら、いつでもお立ち寄りください。
map_0326#27	さらに、私のサービスはハートのウロコたった二枚という、実に格安の料金で提供しております。
map_0326#28	何しろ、ポケモン心理学もずいぶんと進歩しましたからね。
map_0326#29	あなたが選んだ結果を、何であれ保証いたします。
map_0326#30	ハートのウロコをお持ちのようですね。
map_0326#31	それでは、お手持ちのポケモンを一体、施術いたしましょうか？
map_0326#32	結構、結構！
map_0326#33	さて、施術の内容についてですが……
map_0326#34	何かご希望はございますか？\ch[62,-1,Hardy ,Lonely ,Brave ,Adamant ,Naughty ,Bold ,Docile ,Relaxed ,Impish ,Lax ,Timid ,Hasty ,Serious ,Jolly ,Naive ,Modest ,Mild ,Quiet ,Bashful ,Rash ,Calm ,Gentle ,Sassy ,Careful ,Quirky]
map_0326#35	がんばりや、ですね？
map_0326#36	さみしがり、ですね？
map_0326#37	ゆうかん、ですね？
map_0326#38	いじっぱり、ですね？
map_0326#39	やんちゃ、ですね？
map_0326#40	ずぶとい、ですね？
map_0326#41	すなお、ですね？
map_0326#42	のんき、ですね？
map_0326#43	わんぱく、ですね？
map_0326#44	のうてんき、ですね？
map_0326#45	おくびょう、ですね？
map_0326#46	せっかち、ですね？
map_0326#47	まじめ、ですね？
map_0326#48	ようき、ですね？
map_0326#49	むじゃき、ですね？
map_0326#50	ひかえめ、ですね？
map_0326#51	おっとり、ですね？
map_0326#52	れいせい、ですね？
map_0326#53	てれや、ですね？
map_0326#54	うっかりや、ですね？
map_0326#55	おだやか、ですね？
map_0326#56	おとなしい、ですね？
map_0326#57	なまいき、ですね？
map_0326#58	しんちょう、ですね？
map_0326#59	きまぐれ、ですね？
map_0326#60	\PNはハートのウロコを2枚渡した。
map_0326#61	おや？では、どういたしましょう？
map_0326#62	あなたが選んだ結果を、何であれ保証いたします。
map_0326#63	何をお望みでしょうか？
map_0326#64	それでしたら問題なくできると思いますよ――お支払いさえいただければ？
map_0326#65	ああ、素晴らしい！待ちきれません。
map_0326#66	さあ……\v[58]、横になってください。
map_0326#67	さて、今日は大きな進展があったように思います。
map_0326#68	手元には、まったく新しい\v[58]がいるかもしれませんよ。
map_0326#69	おや、気が変わりましたか？
map_0326#70	覚悟がなければ、本当の進歩などありませんからね。
map_0326#71	もちろんです、もちろんです。
map_0326#72	私のサービスが必要になったら、どこにいるかはご存じですね。
map_0326#73	ハートのウロコをお持ちで、ポケモンの性格を変えてみたくなったら、いつでもお立ち寄りください。
map_0326#74	はい
map_0326#75	いいえ
map_0328#2	頑丈すぎて、壊すことも動かすこともできなそうだ……
map_0328#3	岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0328#4	爆破パウダーで開けてみますか？
map_0328#5	入口が破壊された……
map_0328#6	サーナイト: これが、お城に殴り込みをかける方法よ、みんな～
map_0328#7	カイン: まあ、これを城って呼べるならね。
map_0328#8	ラドマス: サーナイトは何であれ好きなように呼ぶ力があるし、平気でそうするだろうな。
map_0328#9	ルナ: 助けに来てくださって、皆さんに心から感謝しています。
map_0328#10	ご迷惑をおかけしたことを、正式にお詫びしたいと思います。
map_0328#11	サーナイト: ルナ、あなた、あたしとご主人様があなたを見捨てるはずないでしょう！
map_0328#12	ルナ: ええ、もちろんです。本当にありがとう、サーナイト。
map_0328#13	カイン: はぁ、俺もいい加減、捕まってばっかなのやめないとなぁ～
map_0328#14	このままじゃ、誰も成し得なかった一番になんて、絶対なれやしないよ。
map_0328#15	ラドマス: それは結構だが、敵の玄関先でのんきに雑談するのはよした方がいいのではないかな。
map_0328#16	ルナ: ご主人様のおっしゃる通りです。
map_0328#17	この場所から離れたいです。
map_0328#18	ラドマス: この期に及んで城に戻るわけにはいかない。
map_0328#19	少なくとも、私は戻らないつもりだ。
map_0328#20	すまないな、カイン、我々の勝負はまだお預けだ。
map_0328#21	今は他にやるべきことがあってね。
map_0328#22	とはいえ、先ほどの手がかりには感謝している。
map_0328#23	サーナイト？
map_0328#24	サーナイト: それじゃあね、みんな～
map_0328#25	次の大登場をお楽しみに！
map_0328#26	カイン: 待って、「手がかりに感謝」ってどういうこと？
map_0328#27	カイン: ……まあ、その質問には答えてくれないってことか。
map_0328#28	ルナ: あはは～ご主人様は謎めいたことがお好きですものね。
map_0328#29	おっしゃらない方がいいのかもしれません。
map_0328#30	ルナ: 闇の中では、心臓の鼓動が速くなるものです。
map_0328#31	なぜだかご存知ですか？
map_0328#32	カイン: 明かりを消した方がいい感じだから？
map_0328#33	ルナ: あら、まあ。
map_0328#34	まあ、それはそれとして、そういう意図ではなかったのですが。
map_0328#35	ですが別の意味で、闇は人の心の中にすぐに根を張るものです。
map_0328#36	教えてください、\PN、あなたは闇が怖いですか？
map_0328#37	ルナ: 闇とは愛です。
map_0328#38	恐れることは何もありません。
map_0328#39	ぜひご自分でそれを確かめてみてください。
map_0328#40	ルナ: いいですね。
map_0328#41	ルナ: では、なぜご主人様を疑ったりする必要があるのでしょう？
map_0328#42	どうぞ、これを受け取ってください。
map_0328#43	ルナ: これがあれば、イオリア渓谷に入れるようになります。
map_0328#44	その場所の見つけ方ですが……
map_0328#45	ご主人様の迷宮の中に、一本の木があります。
map_0328#46	そのすぐ裏手です。あとはご自分で分かりますよね？
map_0328#47	ルナ: ご主人様の心の中の闇は、わたし一人では到底埋められないほどの穴を穿っています。
map_0328#48	でも、そのふりくらいはできますよね？
map_0328#49	\PN、お待ちしていますね。
map_0328#50	カイン: いやぁ、あれが何の話だったのかさっぱりだけど、俺も行くとするよ！
map_0328#51	ラドマスがトンズラしちまったし、そろそろアゲートの見張りどもに活を入れてやるとするか。
map_0328#52	あれってまだ1番道路の向こう側だっけな……
map_0328#53	すぐ迷宮に行くつもりなら、道が分かれるとこまで一緒に歩く？
map_0328#54	カイン: それじゃ、手に手を取って出発だ！
map_0328#55	まあ、比喩的にってことで？
map_0328#56	ああ、それと、また助けてくれてありがとな、愛しの王子様～
map_0328#57	カイン: 日差しの中の遊歩道デートは、また今度ってことで～
map_0328#58	また助けてくれてありがとな、愛しの王子様～
map_0328#59	ベネット: あなたを見かけた気がしていました、\PN。
map_0328#60	ですが正直、信じられませんでした。
map_0328#61	ベネット: もっとも、私のような人間が好んで来る場所でもありませんが。
map_0328#62	ある処置のための物資を取りに行くよう頼まれたもので、仕方がなかったのです。
map_0328#63	当然、誰かを易々と会合の場に通したとなれば、皆に怒られてしまうでしょうが……
map_0328#64	ですが、ルナのためにも、急いで戻らねばなりません。
map_0328#65	あなたもルナを助けようとしているのでしょう？
map_0328#66	そうですか。
map_0328#67	それならば、問題はないでしょう。
map_0328#68	この先を左に行けば、それで十分です。
map_0328#69	はい
map_0328#70	いいえ
map_0330#0	？？？: 番人諸君、注意！
map_0330#1	間もなく礼拝が始まります。ただいまより聖域へお進みください。
map_0330#2	鍵がかかっている。
map_0330#3	……カチッ！
map_0330#4	聖域のカギで扉が開いた！
map_0330#5	主の目から逃れることはできない。
map_0331#0	「再生と新世界」\n 読みますか？
map_0331#1	「一つの扉が閉じれば、また一つの扉が開かれる。
map_0331#2	そして、いにしえの預言者たちが告げしがごとく、その日は訪れる。その日には、
map_0331#3	こう成就するであろう：\nわれらの世界は終わりを迎える。
map_0331#4	『光は、その清めの炎にてすべてを飲み尽くさん』
map_0331#5	――アルセウス書 23章3節
map_0331#6	その灰の中より、新世界が始まるであろう。
map_0331#7	ナスコル、ナスキ、ナトゥス、主なるアルセウスよ。」
map_0331#8	？？？: そこでページをめくってる音がするな？
map_0331#9	？？？: よう、相棒。
map_0331#10	名前はランドールだ、調子はどうだ？
map_0331#11	ランドール: なあ、こいつら俺をここに何日か閉じ込めてるんだよ。
map_0331#12	だが実のところ、俺は別に構わねえんだ。
map_0331#13	だって、少なくとも飯は食わせてくれるだろ？
map_0331#14	この独房の方が、路上暮らしよりマシな飯が出てくるくらいだ。
map_0331#15	たいしたことじゃねえけどよ、正直、嫌いとは言えねえな。
map_0331#16	親切なことに、勉強になる読み物までくれるんだぜ。
map_0331#17	まあ、そのへんの宗教くさい戯言だとしても、俺には大して違いはねえけどな。
map_0331#18	退屈しのぎにはなるし……アメに逆戻りするのも防げるしよ。
map_0331#19	ああ、そんなのはどうでもいいことだ。
map_0331#20	しばらくはこの「おもてなし」を楽しみつつ、デトックスして、それからのんびり抜け出すつもりさ。
map_0331#21	ランドール: あの見張りども、聞いてねえよな？
map_0331#22	ランドール: なあ、実を言うと、俺はいつでも自分でここから出られるんだ。
map_0331#23	なんでか見てみるか？
map_0331#24	出てこい、相棒。
map_0331#25	ランドール: よくやった、相棒。
map_0331#26	ランドール: なあ、こいつクレッフィがたまたま、この場所の「マスターキー」みたいなもんを拾ってきたのさ。
map_0331#27	すげえ運がいいよな、こいつは？
map_0331#28	俺は飽きたらのんびり出てくつもりだが、お前は俺よりも脱出に興味があるだろうと思ってな。
map_0331#29	だから、これをやるよ、相棒。
map_0331#30	ランドール: おっと、逃げ出すつもりなら、知っといた方がいいことが二つばかりあるぜ。
map_0331#31	まず、上の階にはドロドロと大勢の連中が見回ってる。
map_0331#32	一人で全員を相手にしようとするのはやめとけよ。
map_0331#33	こっそりかいくぐるのが一番だろうな。
map_0331#34	だがもしまた捕まっちまっても……こいつが力になってくれるさ。
map_0331#35	二つ目は、俺個人のおすすめだ。
map_0331#36	そのへんに本が転がってたら、見てみるといいかもな。
map_0331#37	マジでめちゃくちゃ笑えるやつもあるからよ。
map_0331#38	「アルセウスが我らを救う」？
map_0331#39	ふん、あいつはただのポケモンだろ。
map_0331#40	こいつらイカれてるぜ。
map_0331#41	最高だぜ。
map_0331#42	とにかく、好きに楽しんでこいよ。
map_0331#43	サブセブン聖域のステルスパズルのクリアが、別のセーブデータで検出されました。
