map_0781#0	鍵がかかっている。
map_0784#49	床の金色の印が北東の出口まで、進むべき道を示してくれるはず。
map_0784#50	私が彼の注意を引きつけるから、あなたはもっと自由に動けるはず、
map_0784#51	でも、彼に気づかれた時のために油断しないで。
map_0784#52	他のみんなもすぐ後ろに来てるはず。フロリニアが素早く動いてくれてる。
map_0784#53	サファイラ: ああ、それと…さっきあの子を黙らせてくれてありがとう。
map_0784#54	どうしようもないことなら、笑い飛ばせばいい。
map_0784#55	冗談を言え。落ち込むより笑ってたほうがマシだし、それに全部の問題に「くたばれ」って言ってやる一番いい方法だからな。
map_0784#56	月の上じゃ、何もかも同じように着地する。
map_0784#57	それが月の裏側ってやつさ。
map_0784#58	古いエリアマップが貼られている…
map_0784#59	…でも、もう正確ではないようだ。
map_0784#60	かいりきパズルをスキップする?
map_0784#61	はい
map_0784#62	いいえ
map_0785#0	「サイズ:」
map_0785#1	「極小」
map_0785#2	「小」
map_0785#3	「中」
map_0785#4	「大」
map_0785#5	「硬度:」
map_0785#6	「5」
map_0785#7	「6」
map_0785#8	「7」
map_0785#9	「8」
map_0785#10	「純度:」
map_0785#11	「不純」
map_0785#12	「中程度」
map_0785#13	「純粋」
map_0785#14	「完璧」
map_0785#15	キャル: おっと、\PN。
map_0785#16	会えて嬉しいよ。
map_0785#17	もうこんなに長いこと兄貴に殺されかけてるんだから、いい加減慣れてもよさそうなのに、なぜか毎回堪えるんだよな。
map_0785#18	この前のことは根に持ってないから、いいよな?
map_0785#19	あんな風に閉じ込められるのはあんまり嬉しくなかったけど、まあそういうもんだし、もう大丈夫だ。
map_0785#20	今は片付けなきゃいけない仕事がある。
map_0785#21	キャル: それで…これは一体何だ?
map_0785#22	キャル: いいか?
map_0785#23	キャル: ええと…
map_0785#24	まだ動いてるな。最近のものに違いない。
map_0785#25	発掘された鉱物を選別・分類するためのものみたいだ。
map_0785#26	データセットが読み込まれてるけど、俺には…
map_0785#27	キャル: ああ、その鉱物はもうここにはないと思う。
map_0785#28	案の定、特性が一致するまでロックされてるって書いてある。
map_0785#29	ちょっと待って…
map_0785#30	コンピュータは俺の得意分野じゃないけど、このインターフェースは頭が空っぽの鉱夫でも扱えるように作られてるらしい。
map_0785#31	つまり…ブロックを押して動かせばいいだけ?
map_0785#32	考え直してみると、ものすごく非効率的に思える。
map_0785#33	まあ、ここに鉱物についての詳細情報がいくつかあるから、道を開けたいなら、これを調べて筋道を繋げるしかなさそうだ。
map_0785#34	みたいな感じだ。
map_0785#35	これをまとめておくから、始めたくなったら話しかけてくれ。
map_0785#36	「完了」
map_0785#37	キャル: よし。
map_0785#38	つまり要点は…
map_0785#39	この失われた鉱物についての詳細リストがある。
map_0785#40	これが言わば手がかりになるはずだ。
map_0785#41	ちょうど4つあって、それぞれ色が違うみたいだな。
map_0785#42	かなり不完全だけど、穴を埋めて各色の鉱物の特性を突き止めるしかない。
map_0785#43	見当がついたら、対応するブロックを、上の画面に合わせて所定の位置まで押していこう。
map_0785#44	画面にはそれぞれ、鉱物が持ちうる特性やそのカテゴリーが表示されてる。
map_0785#45	つまり、エメラルドの硬度が5だと決まったら、緑のブロックを「5」と書かれた画面の前まで押すことになる。
map_0785#46	ええと、硬度が低いほど柔らかいってことだと思う?
map_0785#47	…正直、これが本当に科学的な特性なのかは自信ないけど…まあ、書いてある通りにするしかないか。
map_0785#48	全部所定の位置に置いたら、登録されてるデータセットと照合できる。
map_0785#49	完全に一致すれば、ロックが解除されるはずだ。
map_0785#50	それで、どう始めたい?
map_0785#51	キャル: どうする?
map_0785#52	キャル: よし、見てみよう…
map_0785#53	キャル: これ、ペンと紙があると助かる気がするな。その辺にないか?
map_0785#54	ひどい有様だな。
map_0785#55	キャル: やってみるよ。
map_0785#57	キャル: …うまくいった、のか?
map_0785#58	相変わらずお見事。
map_0785#59	じゃあ俺は先に行くよ。
map_0785#60	誰かがあの馬鹿に道理を説かなきゃいけないだろうし…
map_0785#61	まあ、「道理を説く」ってのは、ちょっと甘い言い方かもしれないけど…
map_0785#62	でも、みんなそれぞれの役目を果たさなきゃな。
map_0785#63	気に食わないけど、あいつは俺の後始末みたいなもんで、俺の責任で片付けるべきなんだろう。
map_0785#64	お前は先に進む道を見つけることに集中してくれ。
map_0785#65	もし誰かがリンに対抗できる可能性があるとしたら…
map_0785#66	まあ、わかるだろ。
map_0785#67	幸運を。
map_0785#68	キャル: 運が悪かったみたいだ。
map_0785#69	もう少し手間がかかりそうだな…
map_0785#71	たとえば、あの大きな岩が片理の項目にある装置を2つ塞いでる。
map_0785#72	そんな風に手がかりから追加の情報を探せば、必要なものが見つかるかもしれない。
map_0785#73	キャル: この失われた鉱物についての詳細リストがある。
map_0785#74	つまり、エメラルドが「小」だと決まったら、緑のブロックを「小」と書かれた画面の前まで押すことになる。
map_0785#75	私に必要なのは、友達を守れるだけの力…
map_0785#76	それさえあれば、世界中の誰よりも弱くたって構わない。
map_0785#77	ベネット: どこまで走れる…
map_0785#78	おや、\PN。君も手伝いに来てくれたのか?
map_0785#79	待てよ、\PN?!
map_0785#80	ジュリアが言ってたけど、君が――
map_0785#81	まあ、ジュリアだからな。いろいろ言ってたよ。
map_0785#82	詳しいことは後で確かめるよ。
map_0785#83	一緒にこいつを捕まえようか?
map_0785#84	もうしばらくこの辺を追い回してるんだけど、追い詰めるのはほとんど不可能に思えてね…
map_0785#85	でも、今さら諦める意味もない。これ以上どこまで逃げられるっていうんだ?
map_0785#86	確かめてみよう。
map_0785#87	ベネット: あの小さいのがまっすぐ走り抜けて…
map_0785#88	この機械を飛び越えて、それで今ここにいるってわけだ。
map_0785#89	君はもう一度チャンピオンロードを抜けてきたから、これのことはもう知ってるはずだけど…これは特に手強そうだ。
map_0785#90	今夜はこの惨状の案内役を務めさせてもらうよ。
map_0785#91	どう始めようか?
map_0785#92	ベネット: これでよし。次は?
map_0785#93	ベネット: メモ帳を用意した方がいいな。これはひどい有様だ。
map_0785#94	ベネット: これで全部だ。
map_0785#95	ベネット: 動かしてみるよ。
map_0785#96	ベネット: だめだったか。
map_0785#97	残念だな。
map_0785#98	俺にもやらせてもらうよ…
map_0785#99	俺の方は、解決に近づいてきてる気がする。
map_0785#100	これが解けると仮定するなら、論理はペアで除外していくしかないと気づいたんだ。
map_0785#101	たとえば、あの大きな岩が片理の項目にある装置を2つ塞いでる。
map_0785#102	だから、これが解けるなら、その2つの宝石が持ちうる片理は「不明瞭」か「困難」のどちらかしかありえない。
map_0785#103	そこまでは明らかだけど、2つの特性に対して2つずつあるということは、逆に言えば残りの2つの宝石はそれらの特性を持ちえないということだ。
map_0785#104	どの宝石がどの特性を持つかは確実にはわからないけど、組み合わせて考えることでさらに除外していける。
map_0785#105	それで解決に辿り着けるかもしれない…
map_0785#106	俺もまだ取り組んでるところだ。
map_0785#107	装置の邪魔になってる岩がいくつかあるけど、動かせるとは思えない…
map_0785#108	あの岩があっても、その周りで問題を解決できると仮定するしかないと思う。
map_0785#109	この場所がまだ稼働していた頃からあったのかもしれないけど、それより、不可能だと仮定してたら何も進まない。
map_0785#110	その仮定のもとでなら、いくつかの可能性を除外することもできる…
map_0785#111	でも心配しないでくれ、俺も解決策に取り組んでるから。
map_0785#112	続けていれば、いずれ誰かが解けるはずだ。
map_0785#113	ベネット: 君にとっては久しぶりってところかな?
map_0785#114	これらの機械は扉をロックしていて、上の画面に対応する色付きブロックで入力された情報がすべて正しくなるまで開かない。
map_0785#115	つまり、エメラルドの硬度が6だとわかったら、緑のブロックを「6」と書かれた画面の真正面まで動かすことになる。
map_0785#116	残存データから得た手がかりが一式あって、うまくいけば解決に導いてくれるはずだけど、繋ぎ合わせるにはかなりの手間がかかる。
map_0785#117	一緒に取り組もう。終わる頃には、ビクティニもあまり逃げ回れなくなってるといいけどね。
map_0785#118	始めようか?
map_0785#119	ベネット: ああ、あれだ。
map_0785#120	大変な試練だったけど…もうくよくよ考えるのはよそう。
map_0785#121	あのビクティニはまだこの先のどこかにいる。
map_0785#122	ベネット: …見事だ。
map_0785#123	さすが\PN、期待通りだよ。
map_0785#124	先を越されたのはちょっと恥ずかしいけど、捕まえてくれてありがとう。
map_0785#125	とにかく…ビクティニが待っている。
map_0785#126	セラ: あら、来てたのね。
map_0785#127	こんなに早く追いつけるとは思わなかったわ。
map_0785#128	ベネット: 母上。
map_0785#129	セラ: わ――わたしは本当に、普通の子供みたいに「お母さん」って呼んでほしいのだけれど。
map_0785#130	ベネット: でも僕はただの子供じゃないし、普通だと言う人もそう多くはないでしょう、母上。
map_0785#131	なぜここに?
map_0785#132	セラ: あなたが何かを探してここに来てるって聞いたのよ。
