map_0132#0	ヘザー: ちょっと、下がってて!
map_0133#84	ともあれ奴はいなくなった。しばらくはここで誰かを傷つけることもないだろう。
map_0133#85	とはいえ……そう遠くへは行っていないはずだ。
map_0133#86	この辺りを知り尽くしている男だ。しばらく身を潜めた後、また戻ってくるだろう。
map_0133#87	奴が向かった方角を考えると……
map_0133#88	まだ見つけ出せる見込みはある。
map_0133#89	もちろん、この仕事に一番向いているのは君だ。
map_0133#90	必ずここまで引きずってこい、あのならず者をおりに放り込んでやる!
map_0133#91	ああ、そうだ!
map_0133#92	トルマリン砂漠まで奴を追うつもりなら、これが役に立つかもしれん。
map_0133#93	署長: 気をつけてな!
map_0133#94	署長: コリン・ルージュは、そう遠くへは行っていないはずだ。
map_0133#95	署長: おお、来たか!
map_0133#96	あの悪党コリン・ルージュに、心境の変化があったようでな!
map_0133#97	ある日ふらりと現れて、自分から両手を差し出してきたんだ!
map_0133#98	一言も話さず、目も合わせなかった。
map_0133#99	君は何か心当たりがあるんじゃないか?
map_0133#100	ガーディ: ガウゥ……
map_0133#101	ガーディ: ガーウ!
map_0133#102	ええと……確かジャスパーに二人、ベリルに三人配置していて、全員行方不明だったな。
map_0133#103	つまり、それで全部だ。よし。
map_0133#104	この街を元通りにするとしよう。
map_0133#105	さっきは助かったよ!
map_0133#106	警官: なあ、カウンターの向こうにいる奴、見えるか?
map_0133#107	メテオ団にガーディを盗まれてから、あいつずっと落ち込んでてさ。何とかしてやりたいんだ。
map_0133#108	署長はうちの予備のガーディをあいつに譲るつもりはないみたいだけど、抜け道があると思うんだ。
map_0133#109	あのガーディを繁殖させて、子供を一匹分けてもらえないか? タマゴでも子犬でも、どっちでもいいんだ。
map_0133#110	警官: いや、いや。無理な頼みだってのはわかってる。
map_0133#111	警官: 本当に譲ってくれるのか?
map_0133#112	本当にありがとう! きっとあいつのためになるよ!
map_0133#113	そういえば、前に捨てられていたタマゴを拾って、ずっと持っていたんだ。
map_0133#114	何が生まれるかはわからないけど、代わりにこれを受け取ってくれないか?
map_0133#115	\PNはガーディをタマゴと交換した!
map_0133#116	警官: ……あれ、この子犬、いつもと少し違って見えないか?
map_0133#117	まあ、間違いなくガーディだし、それで十分さ。
map_0133#118	警官: ……あれ、このタマゴ、いつもと少し違って見えないか?
map_0133#119	まあ、君がガーディだって言うなら、信じるけどさ。
map_0133#120	本当に、色々ありがとう!
map_0133#121	警官: 本当に、色々ありがとう。
map_0133#122	あの若いガーディは、勇ましい子犬だ!
map_0133#123	あのガーディがかえったら、もう相棒に困ることはないんだって、わかってもらえるといいな。
map_0133#124	見つけてくれて、本当に良かった。
map_0133#125	あとは、もう行方不明者が出なければいいんだが。
map_0133#126	これで、ようやく元通りに戻り始められるかもしれない。
map_0133#127	あそこから出られて、本当に良かった。
map_0133#128	ああ、また会ったな!
map_0133#129	街の復興が始まると、たくさんの人が警官になろうと名乗りを上げた。
map_0133#130	ちょっとしたきっかけさえあれば、みんな自分たちでこの街の安全を守ろうとするものなんだな!
map_0133#131	なあ、ちょっと聞いてくれよ。
map_0133#132	俺を追い詰めてたメテオ団の奴と戦ってただろ? あいつ、ガーディを連れてたんだ。
map_0133#133	あれ、実は俺から奪われた俺のガーディだったんだよ。
map_0133#134	それに、亡くなった隊員から残った予備のガーディがいたんだけど……署長は俺じゃなくて君に譲ることに決めたんだ。
map_0133#135	まったく、腹立たしいよ……
map_0133#136	自分でも信じられないんだけど、あそこの相棒がガーディの子犬をくれたんだ!
map_0133#137	自分でも信じられないんだけど、あそこの相棒がガーディのタマゴをくれたんだ!
map_0133#138	前のとは違う子だけど……自分の手で相棒を育てられるのが、本当に楽しみなんだ。
map_0133#139	いつか、あの泥棒を法の裁きにかけられる日が来るといいな。
map_0133#140	また会ったな!
map_0133#141	でも、俺とガーディがいれば、どうにか自分たちだけでもやっていけるはずさ!
map_0133#142	ふう……
map_0133#143	ガーディ: ガウ……
map_0133#144	ガーディが素直な目でこちらを見ている。ガーディを連れていきますか?
map_0133#145	ガーディ: ウォン……
map_0133#146	最近の摘発や立て直しが済んだら、少しは落ち着くかと思っていたんだが……
map_0133#147	爆弾騒ぎに自殺、それに孤児院からの切羽詰まった通報まで……
map_0133#148	また残業になりそうだ。
map_0133#149	アマリア: \PN?
map_0133#150	ちょうどカインが君を探していたところなの!
map_0133#151	カイン: だめだ、見つからな――
map_0133#152	……やあ、\PN!
map_0133#153	カイン: 会えて本当にうれしいよ。
map_0133#154	カイン: 彼を見つけた!
map_0133#155	カイン: 彼女を見つけた!
map_0133#156	カイン: あの子を見つけた!
map_0133#157	カイン: 何か進展は?
map_0133#158	アマリア: まだよ……
map_0133#159	だから、あなただけでも運が良くてうれしいわ。
map_0133#160	カイン: メテオ団が現れたとき、アンナがこの奇妙なチップを僕に投げてよこして、逃げろって言ったんだ。
map_0133#161	どうすればいいかわからなくてさ、すぐにアマリアに出会えたのは運が良かったよ。
map_0133#162	正直、これがどこから来たのかも見当がつかないんだ。
map_0133#163	アマリア: 今は、そこから何か読み取れないか試しているところなの……
map_0133#164	こういうのは、あまり得意じゃなくて。
map_0133#165	でも大丈夫、もうすぐここに来るはずだから……
map_0133#166	???: 名パフォーマーは、決して出番を逃さないものさ!
map_0133#167	カイン: まさか、エース?!
map_0133#168	エース: センターステージ、スポットライトの中へ!
map_0133#169	カイン: どうしてここに――今なんだ!?
map_0133#170	僕が援護する、\PN――
map_0133#171	アマリア: いいの、大丈夫。
map_0133#172	カイン: 「大丈夫」ってどういうことだよ?
map_0133#173	ロドクラインにいただろ――そいつはメテオ団の一員だぞ!
map_0133#174	エース: 訂正しよう――「だった」のさ、メテオ団の一員は。
map_0133#175	カイン: ……は?
map_0133#176	アマリア: エースが、わたしの命を救ってくれたの。
map_0133#177	カイン: は???
map_0133#178	待って、ちょっと待って、これって話し合う必要があるんじゃ?
map_0133#179	アマリア: 説明したほうが良さそうね……
map_0133#180	アマリア: \PNとボレアリスが逃げる隙を作った後、わたしはあの女と向き合ったの。
map_0133#181	リン――
map_0133#182	それが、あの女の名前。
map_0133#183	戦いは……
map_0133#184	一言で言えば、みっともないものだったわ。
map_0133#185	エース: ……というわけで、それがボクがクビになったいきさつさ!
map_0133#186	彼女を引きずって基地へ連れ帰った頃には、もう手遅れだったんだよ。
map_0133#187	アマリア: 結局、エースはわたしが逃げるのを手伝ってくれたの。
map_0133#188	あの女は……止まる気配がまるでなかった。
map_0133#189	エースがわたしの命を救ってくれたというのは、十分にあり得る話だと思うわ。
map_0133#190	それに見ての通り、サファイアブレスレットは今も二つとも、わたしの手元にあるの。
map_0133#191	これがなぜそんなに重要なのかはわからないけれど……
map_0133#192	エースが信頼に値することは、わたしの中では疑いようがないわ。
map_0133#193	カイン: へえ……
map_0133#194	エース: 連中はボクの後釜を、あっという間に用意していてね。
map_0133#195	エース: 何年もの間、ボクは彼らの野望のために、湯気の立つコマンドラインコンソールに向かって身を粉にしてきたんだ!
map_0133#196	それなのに、何のためだったっていうんだ?!
map_0133#197	先週の公演のチケットみたいに、あっさり捨てられるためだったのかい!
map_0133#198	カイン: ……コマンドライン?
map_0133#199	エース: エージェント・エース、たぐいまれな手品師にして卓越したシステム技術者、参上~!
map_0133#200	カイン: その二つ、あんまりかみ合ってない気がするけど……
map_0133#201	エース: ああ、素人はそう思うものさ!
map_0133#202	けれど、そのどちらも、突き詰めれば神秘の集合体にすぎないのさ。
map_0133#203	世間の目には絶大な力に映っても、使い手にとっては、論理と手順の単純な体系にすぎないんだよ!
map_0133#204	ボクに言わせれば、「黒魔術」の「黒」なんて、コマンドプロンプトの背景色のことさ。
map_0133#205	カイン: あ……そう。
map_0133#206	エース: ええと、話はどこまでだったかな?
map_0133#207	ああ――そうだ、劇的に落ち込んでいたところだったね。
map_0133#208	ああ、悲しきかな、かつて仕えた主たちに見捨てられたこのボク――うんぬんかんぬん……
map_0133#209	要するに、連中はボクを追い出すと同時に、後任をすぐに埋めたってわけさ。
map_0133#210	新しい子は今のところ「T」とだけ名乗っているらしいよ。
map_0133#211	何て平凡な!
map_0133#212	何てつまらない!
map_0133#213	もう、どうでもいいくらいだ!
map_0133#214	それで、そのデータチップって何の話?
map_0133#215	アマリア: 重要なものらしいんだけど、このファイルの開き方が全然わからなくて……
map_0133#216	エース: ああ、そこをどいて!
map_0133#217	ここで魔法をひとつ、お見せしようじゃないか!
map_0133#218	カイン: 本当に、あっさり手を貸してくれるつもりなのか?
map_0133#219	エース: その通り、小さな英雄くん!
map_0133#220	ボクって、結構な食わせ者なのさ~
map_0133#221	まあ、完全に無私ってわけでもないけどね。
map_0133#222	どこかの独房の舞台裏で朽ち果てるより、外に出て正義の戦いに加わっていたいのさ。
map_0133#223	警察の「取引」がどんなものかは、知ってるだろう?
map_0133#224	そうだよね、ギャビン巡査~?
map_0133#225	警官: ……お前の情報が正しいことを祈るぜ。
map_0133#226	エース: ボクの情報はいつだって最高さ!
map_0133#227	エース: 彼の態度は大目に見てやってくれ、もちろん。
map_0133#228	つまらない老いぼれのボレアリスが引退した今、お巡りさんたちは手がかり不足で困り果てているのさ。
map_0133#229	あのじいさんは何か月も彼らを追い回していたし、最近だってこっちが暇をさせなかったわけじゃないからね。
map_0133#230	あはっ!
map_0133#231	1――
map_0133#232	2――
map_0133#233	そして――ぽん!
map_0133#234	君のファイルは、暗号化のやり方を忘れてしまい、
map_0133#235	代わりに、輝かしい真実を世界に広める術を覚えたのさ!
map_0133#236	アマリア: どうやったの、それ?
map_0133#237	エース: ただ解凍しただけさ。
map_0133#238	アマリア: ……
map_0133#239	エース: 冗談だよ~
map_0133#240	エース: さあ、好きに調べてくれたまえ!
map_0133#241	この中身の多くは、ボクがモスウォーターで消去したのと同じデータだと思うよ。
map_0133#242	あの蛇野郎がバックアップを取っているって、気づくべきだったな。
map_0133#243	幕が正式に下りるずっと前から、逃げ出す算段をつけていたに違いない。
map_0133#244	そして今、ボクはここにいる。
map_0133#245	物事って、面白いように転がるものだね。
map_0133#246	アマリア: 他に三体のPULSE……?
map_0133#247	エース: ん? 三体?
map_0133#248	アマリア: ここに、他にも三つの計画が今まさに進行中だって書いてあるの。
map_0133#249	エース: それは……興味深いね。
map_0133#250	アマリア: ひとつはアポフィルビーチに設置しようとしていて……
map_0133#251	もうひとつは……ビクスビジョン荒地?
map_0133#252	カイン: は。
map_0133#253	アマリア: それから、もうひとつ……
map_0133#254	リボーンシティのペリドットワードに。
map_0133#255	でも、それってすぐ階段の下じゃない――
map_0133#256	知ってたの、これ?
map_0133#257	エース: 一部はね。
map_0133#258	意外にも、全部じゃないんだよ!
