22b_field_notes#755	じゅうでん、かいでんぱ
22b_field_notes#809	いやしのねがいと みかづきのまいは 受けた ポケモンの こうげきと とくこうを 上げる。
22b_field_notes#810	いやしのねがいは 受けた ポケモンの こうげきと とくこうを 上げる。
22b_field_notes#811	うるおいボディ、ぎょぐん、サーフテール、すいすい、げきりゅう、みずがためが 毎ターン 発動
22b_field_notes#812	スーパーアクアトルネード、だくりゅう、わだつみのシンフォニア、うたかたのアリア、なみのり、みずのちかい、しおふき
22b_field_notes#813	スーパーアクアトルネード、だくりゅう、わだつみのシンフォニア、うたかたのアリア、なみのり、みずのちかい、しおふきは 蒸気を 生み 場の 全ポケモンの 命中率を 下げる。
22b_field_notes#814	アイスボディ、ゆきかき、ゆきがくれ
22b_field_notes#815	アイスボディ、ゆきがくれ、ゆきかき
22b_field_notes#816	はっこうは 場に 出た とき とくこうを 2段階 上げる。
22b_field_notes#817	はっこうは 場に 出た とき 相手の 命中率を 下げる。
22b_field_notes#818	段階(1,3)で (x2,x3)に なる
22b_field_notes#819	まとわりつくは 段階(3,4,5)で 毎ターン 最大HPの(1/6,1/4,1/3)の ダメージを あたえる。
22b_field_notes#820	ねをはるの 効果は 段階(2,4)で (x2,x4)に なる。
22b_field_notes#821	するどいめと ふくがんは 場に 出た とき 命中率が 上がる。さらに とぎすますの 効果も つく。
22b_field_notes#822	キングシールドは 変化わざも 防ぐ。
22b_field_notes#823	ふんえん、マグマストーム、メガトンキック
22b_field_notes#824	てんこがすめつぼうのひかり
22b_field_notes#825	マジックガード、マジックミラー、かがくのちからは 場に 出た とき とくぼうが 上がる。
22b_field_notes#826	マジシャンは 場に 出た とき とくこうが 上がる。
22b_field_notes#827	マグマのよろいは 場に 出た とき ぼうぎょと とくぼうが 上がる。
22b_field_notes#828	マグネットボム
22b_field_notes#829	ヨガのポーズ、こころのめ、ミラクルアイ、じこあんじは とくこうを 2段階 上げる。
22b_field_notes#830	ミラーコートは 成功すると 回避率・ぼうぎょ・とくぼうが 上がる。
22b_field_notes#831	オウムがえしは 成功すると 命中率・こうげき・とくこうが 上がる。
22b_field_notes#832	接触わざを 外すと 最大HPの1/8の 反動ダメージ。いしあたまなら 受けない。
22b_field_notes#833	物理の 接触わざを 外すと 最大HPの1/4の 反動ダメージ。回避率が 上がっていれば 1段階 下がる。
22b_field_notes#834	かわらずのいしを もたないとき ミストメイカー、ミストフィールド(5ターン)、しろいきり(3ターン)で 発生
22b_field_notes#835	どろばくだん、マッドショット、どろかけ
22b_field_notes#836	どろばくだん、マッドショット、どろかけ、だくりゅう、うちおとす、サウザンアロー、うずしお
22b_field_notes#837	どろばくだん、マッドショット、どろかけ、パワーウィップ、つるのムチ
22b_field_notes#838	どろばくだん、マッドショット、どろかけ、すなじごく
22b_field_notes#839	どろばくだん、マッドショット、どろかけ、サウザンウェーブ、すなあつめ
22b_field_notes#840	どろあそび、ライジングランドオーバー
22b_field_notes#841	だくりゅう、なみのり
22b_field_notes#842	マルチスケイルは つねに 使い手の ドラゴンタイプの 弱点を 無効にする。
22b_field_notes#843	マルチタイプと ARシステムは 毎ターン ランダムに 新しい タイプに なる。
22b_field_notes#844	ノーマル、かくとう、どく、じめん、ひこう、むし、いわ、ゴースト。
22b_field_notes#845	ノーマルタイプの わざは ゴースト・あくタイプに 効果抜群に なる。
22b_field_notes#846	しんりょくは 段階(2,3)で (HP66%、HPを 問わず) 発動する。
22b_field_notes#847	しんりょくは 段階(4,5)で くさわざの 威力を (x1.8,x2)に する。
22b_field_notes#848	ナイト・ビショップ・ルークを 上書きする。1チームに 1体。
22b_field_notes#849	クイーン以外の 役目を すべて 上書きする。
22b_field_notes#850	すべての 役目を 上書きする。1チームに 1体。
22b_field_notes#851	はなふぶき、はなびらのまいと 粉のわざは 段階5で 相手2体に 当たる。
22b_field_notes#852	ポイズンヒール、どくぼうそう、ひとでなし
22b_field_notes#853	どくのこな、ねむりごな、しびれごな
22b_field_notes#854	どくのこな、ねむりごな、しびれごな、どくどく
22b_field_notes#855	バトルスイッチの ポケモンは ぼうぎょが 上がった 状態で 始まり フォルムを 切りかえるたびに こうげきと ぼうぎょが 1段階 上がり下がりする。
22b_field_notes#856	サイコメイカー、サイコフィールド、オリジンズスーパーノヴァ(5ターン)
22b_field_notes#857	いわタイプの わざと さばきのつぶて、マルチアタック、プリズムレーザー、ロッククライム、かいりきは ほのお、みず、くさ、エスパーの 順に くり返し タイプが 変わる。
22b_field_notes#858	たがやすは 使い手の こうげきと とくこうも 上げる。
22b_field_notes#859	すなのちから、すなかき、すながくれ
22b_field_notes#860	ねっとう、スチームバースト
22b_field_notes#861	ひみつのちからは やけど、こおり、ねむり、こんらんの いずれかを ランダムに 起こすことが ある
22b_field_notes#862	ひみつのちからは 回避率を 下げることが ある。段階3以降は ぼうぎょと とくぼうも 下げる。段階5では この 効果が x2に なる。
22b_field_notes#863	ファントムガードは 効果抜群の ダメージを すべて 25% 減らす。
22b_field_notes#864	だっぴは 発動時に HPを 25% 回復し すばやさと とくこうを 1段階ずつ 上げ ぼうぎょと とくぼうを 1段階ずつ 下げる。
かならず 発動する。
22b_field_notes#865	うちおとす、サウザンアロー
22b_field_notes#866	ソーラービーム、ソーラーブレード
22b_field_notes#867	とくしゅの ノーマルわざは ランダムな タイプに なる。
22b_field_notes#868	とくしゅわざは こうげき側も 防御側も とくこうと とくぼうの 高いほうで 計算する。
22b_field_notes#869	とくしゅで 非接触・一撃必殺でない 単体わざは 回避率が 上がった 相手にも かならず 当たる。
22b_field_notes#870	ハードローラー、テクノバスター
22b_field_notes#871	じだんだ、ライジングランドオーバー
22b_field_notes#872	むしのしらせは 段階(3,5)で むしわざの 威力を (x1.8,x2)に する。
22b_field_notes#873	テレキネシスは 相手の ぼうぎょと とくぼうを 2段階 下げる。
22b_field_notes#874	こうげき側の 回避率・命中率の 上昇と 相手の 回避率・命中率の 低下の 数だけ 急所率が 1段階ずつ 上がる。
