map_0294#53	これを受け取ってくれないか?
map_0296#5	前へ進みなさい。
map_0296#6	あの歯車の向こうに、ちょうど通れるだけの隙間があるはずだ。
map_0296#7	カイン: 楽勝~
map_0296#8	ラドマス: これは、大人にとってはもう少し難しいかもしれないな。
map_0296#9	ラドマス: ふむ……
map_0296#10	カイン: マジで詰まってんのか?
map_0296#11	てか、これ、そもそもなんで回らないんだ?
map_0296#12	ラドマス: 大いなる門が止まった時に、これも止まったのだ。
map_0296#13	リボーンシティが崩壊した頃、もう十年近く前のことだ。
map_0296#14	おそらく、この機構は扉そのものと連動しているのだろう。
map_0296#15	多くの者が再び動かそうと試みたが、誰もうまくいかなかった。
map_0296#16	カイン: まあ、いいや。
map_0296#17	きついなら、無理やり押し込めばいいだろ~
map_0296#18	……まあ、普通は男にそんなこと言わないけどな、これは別だし。
map_0296#19	ラドマス: 今の発言は、理解しなかったことにしよう。
map_0296#20	よし、行くぞ……
map_0296#21	カイン: う、うわあっ!
map_0296#22	ラドマス: ……まあ、やってしまったな。
map_0296#23	ラドマス: いや、どうやら、落下はそれほど遠くないようだ。
map_0296#24	何かの洞窟につながっているようだね。
map_0296#25	洞窟探検の準備はできているかね?
map_0296#26	カイン: ああ、そこなら滑り込めそうだな。
map_0296#27	\PN、お前なら間違いなく小さいから大丈夫だ。
map_0296#28	その体、フル活用しろよ!
map_0296#29	ラドマス: さあ、うさぎの穴へと降りていこう。
map_0297#0	「アゲートシティ――清らかさの伝統」
map_0297#1	何が起きてるのか、わからない……
map_0297#2	目が覚めたと思ったら、チームメテオが中で命令を怒鳴ってて……
map_0297#3	何とか逃げ出せたけど、まだ中には大勢残ってる!
map_0297#4	やらせろ! チームメテオをぶちのめしてやる!
map_0297#5	チームメテオが、アゲートシティを制圧した。
map_0297#6	何人かのジムリーダーが防衛のために乗り込んだが、数で圧倒的に不利な状況だ。
map_0297#7	街に入る場合は、十分に気をつけてください。
map_0297#8	無事でいて、無事でいて、無事でいて……
map_0303#2	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0303#3	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0303#4	ばくはつのこなで開けますか?
map_0303#5	はい
map_0303#6	いいえ
map_0304#2	頑丈すぎて、壊すことも動かすこともできないようだ……
map_0304#3	この岩の土台には、まだ何か価値のあるものが眠っているかもしれない。
map_0304#4	ばくはつのこなで開けますか?
map_0304#5	固く封じられている……
map_0304#6	リン: あの人が、自分でPULSEケーシィをちゃんと完成させられるだけの力量を持っていたら、これはとっくの昔に終わっていたはず。
map_0304#7	でも、自分たちでそれをやるのに必要なつながりを手に入れた頃には、もうそうしたいとは思わなくなっていた。
map_0304#8	それが、人生の永遠の倦怠ってやつね。
map_0304#9	でも、もうすぐ、あたしたちは自由になる。
map_0304#10	リン: 勘違いしないで、自分たちが何であったか、あたしたちはよくわかってる。
map_0304#11	すべての悪役は、独善の道を歩む。
map_0304#12	すべての悪役は、私欲の道の上で死ぬ。
map_0304#13	あたしにとって、これはそのどちらでもない。
map_0304#14	はい
map_0304#15	いいえ
map_0307#0	カイン: 何か他にも起きてる気がするんだけど、うまく言えねえな。
map_0307#1	カイン: なあ、サーナイトってずっとラドマスのこと嫌ってたと、本当に思うか?
map_0307#2	ラドマス: この茶番は、もう終わりにしないかね?
map_0307#3	ラドマス: どうやら、アメジストのペンダントの力で、あのドアを開けたようだね。
map_0307#4	聞いた話が正しければ、\PN、君もルビーのゆびわを持っているのではないかね?
map_0307#5	それなら、また別のドアを開けられるかもしれない。
map_0307#6	ラドマス: ああ、うまくいったな。
map_0307#7	君についていこう。
map_0307#8	カイン: エル、サーナイトに何をしたんだ?!
map_0307#9	エル: この聖なる場所を、理解しがたい叫び声で穢さないでいただきたい。
map_0307#10	サーナイト: エルは、わたくしに何もしていませんわ。
map_0307#11	ただ、わたくしを自由にしてくれただけ。
map_0307#12	どうしてそれが、そんなに信じがたいんですの?
map_0307#13	エル: この異端者どもは、聖なる裁きを目の前で下されようとも、アルセウス様を信じようとはしないのだろう。
map_0307#14	奴らの心は、以前に聞いた作り話によって、すでに固まってしまっている。
map_0307#15	まず自らの目を疑わなければ、真実は見えないものだ。
map_0307#16	さあ、サーナイト、それにアドリエンヌも。
map_0307#17	昇ろうではないか。
map_0307#18	カイン: これ、だんだんおかしくなってきたな……
map_0307#19	アドリエンヌ: おかしいわね。
map_0307#20	ここに落ちてきた時は、閉じ込められて一人きりになると確信していたのに。
map_0307#21	でもほとんどすぐに、洞窟の壁を登っている少女を見かけて、それからエルとサーナイトが現れて……
map_0307#22	それで今度は、君たち。
map_0307#23	ここって、何かの秘密の観光名所なのかしら?
map_0307#24	ラドマス: もしそうなら、その接客態度には不満だな。
map_0307#25	カイン: いや、全然そういう意味じゃなかったけど、まあ、いいか?
map_0307#26	聞いた話が正しければ、\PN、君もルビーのゆびわを持っているのではないかね?
map_0307#27	それなら、また別のドアを開けられるかもしれない……
map_0307#28	でもほとんどすぐに、洞窟の壁を登っている少女を見かけて、それからエルとサーナイトが現れたの。
map_0307#29	リン: まず、わかってほしいんだけど、\PN、
map_0307#30	あたしの持つ力は、神のもの。
map_0307#31	でも、どんな神でもいいわけじゃない――
map_0307#32	あたしのは、まだ子供の神。
map_0307#33	それが成長するにつれて、あたしも成長した。
map_0307#34	でも、自分自身を守れるほど早く成長できる者なんて、いない。
map_0307#35	それが一番必要な時でさえ。
map_0309#0	アドリエンヌ: エルとサーナイトは、鷲の巣まで進んでいったわ。
map_0309#1	あなたたちが追いかけてこられないように、あなたからルビーのゆびわを取ってきてほしいって、頼まれたの。
map_0309#2	それをくれる?
map_0309#3	カイン: おい、何言ってんだ、\PN?
map_0309#4	それはヘザーのものだ。
map_0309#5	ただでやるわけにはいかない!
map_0309#6	カイン: その通り!
map_0309#7	その指輪を渡すわけにはいかない!
map_0309#8	アドリエンヌ: ええ、アメジストのペンダントについても、同じようなこと言ってたわね。
map_0309#9	嘘をついてるようには、本当に見えないわ。
map_0309#10	でも、エルはそれが自分のものだと言い張ってる。
map_0309#11	それに、彼はそれについて何か知ってるようだった。
map_0309#12	ラドマス: これらは古い遺物だ。
map_0309#13	単純にひとりの持ち主がその価値を知っている、という問題ではあるまい。そうでなければ、すでにいくつもの争いが解決していたはずだ。
map_0309#14	アドリエンヌ: それは信じるわ。
map_0309#15	それらが力を持っているのは、明らかだから。
map_0309#16	わたしはここで一時間近くさまよってたけど、あれがなければ、ドアはまったく開けられなかった。
map_0309#17	ここは一体、何なのかしら?
map_0309#18	ラドマス: その答えは、先へ進むにつれて明らかになるはずだ。
map_0309#19	アドリエンヌ: それで、話は指輪に戻るわけね?
map_0309#20	あなたたちのうち誰かが、絶対にわたしに嘘をついてる。
map_0309#21	でも、誰?
map_0309#22	カイン: サーナイトのことはよくわかんねえけど、エルがラドマスから彼女をさらったんだ。
map_0309#23	ルナは、彼女を取り戻してほしがってる!
map_0309#24	アドリエンヌ: ああ、彼が何度も言ってたルナって子ね。
map_0309#25	どちらが本当か、証明する方法があるはずよね?
map_0309#26	ラドマス: 簡単なことだよ、親愛なるアドリエンヌ。
map_0309#27	任せてくれ。
map_0309#28	ラドマス: これが、エルが私に残していった身代金要求の手紙だ。
map_0309#29	どうか、読んでみてくれ。
map_0309#30	他の者たちが、これが偽物ではないと証言できる。
map_0309#31	アドリエンヌ: 「ラドマス・ヴァンハネン殿へ……あなたの大切な『ゴシップ・サーナイト』を捕らえた。
map_0309#32	再び会いたければ、直ちに私の娘を返してもらおう。―エル」
map_0309#33	ラドマス: サーナイトが打ち明けたような憎しみを買うほど、私が本当にひどいトレーナーなら、こうしてエルについてここまで来ただろうか?
map_0309#34	カイン: 正直、最初はあんまり気乗りしてなさそうだったけどな。
map_0309#35	ラドマス: それでも、私はここにいる。
map_0309#36	アドリエンヌ: 何もかも、筋が通らないわね。
map_0309#37	カイン: だろ? でも、真相を突き止めてやるぜ!
map_0309#38	てか、上に向かってるみたいだから、「真相の頂上」か……
map_0309#39	まあ、底でも頂上でも、どっちでもいいけど。
map_0309#40	オレはどっちもいけるタイプだからな、気にしない~
map_0309#41	ラドマス: また、今のは聞こえなかったことにしよう。
map_0309#42	アドリエンヌ: よし、一緒に確かめに行きましょう。
map_0309#43	みんなで。それじゃ、ルビーの扉から。
map_0309#44	アドリエンヌ: \PN、指輪の運び手として、開けてもらえる?
map_0309#45	カイン: いやー、めちゃくちゃだな。
map_0309#46	アドリエンヌも、オレたちと同じくらい混乱してるみたいだし。
map_0309#47	ラドマスを信用していいのか正直わかんねえけど、エルも怪しいしな。
map_0309#48	ラドマス: それは、私にだけ明らかなことなのかね?
map_0309#49	まあ、それも道理か。
map_0309#50	アドリエンヌ: ところで、わたしは「彼/彼女」ではなく、それ以外の呼び方の方が好きなの。
map_0309#51	あなたも、似たような感じかしら?
map_0309#52	正直、自分と似た誰かに会えるのは、ちょっと嬉しいものね。
map_0309#53	実体験として理解してくれる人には、あまり会ったことがなくて。
map_0309#54	同情はもちろんありがたいけど、なんというか、右から左に抜けていく感じのものだから。
map_0309#55	あなたも、たぶんわかると思うけど。
map_0309#56	性別のないポケモンがいるの、知ってるでしょ?
map_0309#57	それと同じで、わたしは自分を、どちらの側でもないと考えるようにしているの。
map_0309#58	はい
map_0309#59	いいえ
map_0310#0	光は闇となり、闇は光となる。真実は隠され、嘘へとねじ曲げられる。
map_0310#1	それぞれの力は、無垢な心へと、自らを刻み込もうとする。
map_0310#2	光の者は、真実のみを語る。闇の者は、嘘の中に語る。
map_0310#3	神の意志は、正と誤を、嘘と真実を、見分け、巧みに解き明かすだろう。
map_0310#4	ヒコザルは言う:\n「モウカザルは常に真実を語るが、ゴウカザルは闇に与している」
map_0310#5	ヒコザルは光か、闇か?
map_0310#6	ヒコザルは言う:\n「モウカザルは常に真実を語るが、ゴウカザルは闇に与している」
map_0310#7	モウカザルは言う:\n「ヒコザルもゴウカザルも、共に闇に堕ちている」
map_0310#8	モウカザルは光か、闇か?
map_0310#9	ゴウカザルは言う:\n「ヒコザルは嘘をつく。モウカザルもまた、闇に染まっている」
map_0310#10	ゴウカザルは光か、闇か?
map_0310#11	バルキーは言う:\n「エビワラーは嘘つきだ。カポエラーもまた、闇へと漂っている」
map_0310#12	バルキーは光か、闇か?
map_0310#13	バルキーは言う:\n「エビワラーは嘘つきだが、サワムラーは光に忠実なままだ」
map_0310#14	エビワラーは言う:\n「サワムラーは闇に仕えているが、カポエラーは常に真実を語る」
map_0310#15	エビワラーは光か、闇か?
map_0310#16	カポエラーは言う:\n「サワムラーは人を責める嘘つきだが、バルキーは今も真実を語っている」
map_0310#17	カポエラーは光か、闇か?
map_0310#18	サワムラーは言う:\n「若きバルキーは光から離れていないが、カポエラーは闇へとねじ曲がった」
map_0310#19	サワムラーは光か、闇か?
map_0310#20	光
map_0311#0	光は闇となり、闇は光となる。真実は隠され、嘘へとねじ曲げられる。
map_0311#1	それぞれの力は、無垢な心へと、自らを刻み込もうとする。
map_0311#2	光の者は、真実のみを語る。闇の者は、嘘の中に語る。
map_0311#3	神の意志は、正と誤を、闇と光を、見分け、巧みに解き明かすだろう。
map_0311#4	ピクシーは言う:\n「ピッピは常に真実を語るが、ピィは嘘つきだ」
map_0311#5	ピッピは言う:\n「ピクシーは闇に堕ちたが、ピィは光の中に留まっている」
map_0311#6	ピィは言う:\n「ピッピは真実を語るが、ピクシーは闇の子孫だ」
map_0313#0	サーナイト: ヴァンハネン城ジムより生放送でお届けしております、挑戦者\PNが、リボーンリーグ公式8個目のバッジ獲得に挑みますわ!
map_0313#1	彼女は飛び立つのか、それとも堕ちるのか?!
map_0313#2	彼らは飛び立つのか、それとも堕ちるのか?!
map_0313#3	彼は飛び立つのか、それとも堕ちるのか!?
map_0313#4	すぐにわかりますが――でも~!
map_0313#5	このジムバトルだけが、我らが熱心な英雄を待ち受ける試練ではありませんの!
map_0313#6	ご主人様~ どうぞ、お話しになってくださいな?
map_0313#7	ラドマス: もちろん。説明させてもらおう――
map_0313#8	サーナイト: すでにお聞き及びかもしれませんが、ご主人様は世界的に名高いチェスの達人ですのよ~
map_0313#9	ラドマス: 私が説明する番ではなかったかね?
map_0313#10	サーナイト: あはは~ ごめんなさい、ご主人様、どうぞお続けを!
map_0313#11	ラドマス: 床と言えば、これがチェス盤のように配置されていることに気づくだろう。
map_0313#12	もちろん、このようなゲームで私と直接対局してもらうのは、あまりにも不公平というものだ。
map_0313#13	心配は無用、そこまで卑劣なことはしないとも。
map_0313#14	その代わりに、君の課題はこうだ:
map_0313#15	チェスの各駒の通常のルールに従い、私をチェックメイトにするように駒を配置しなさい。
map_0313#16	また、私たち双方に、新たな制約がある:
map_0313#17	私は自分の駒を動かせない。
map_0313#18	だが、君は私の駒を取ることもできない。
map_0313#19	すべての駒は、依然として通常の攻撃範囲を持つものとみなされる。
map_0313#20	つまり、私の駒が現在の位置に固定されたまま、チェックメイトの解を見つけるための手数は無制限だ。
map_0313#21	解を見つけたと思ったら、私の下にあるドアにアクセスして確認しなさい。
map_0313#22	最後に、駒やプレイの通常ルールについて質問があれば、左の部屋にいる私の執事が答えてくれるだろう。
map_0313#23	幸運を祈る。
map_0313#24	ご覧あれ、盤上でただ一人の戦士たる貴婦人が、まだ見事な戦いを見せるかもしれませんことよ!
map_0313#25	パセリ: クイーンは最強の駒だ――忘れるな!
map_0313#26	進め、若きクイーンよ。
map_0313#27	進め、若き陛下よ。
map_0313#28	進め、若き王よ。
map_0313#29	ラドマス: もう終わったかね? 盤面を確認しようか?
map_0313#30	ラドマス: よろしい。
map_0313#31	ほほう。かなり近いな! いや、近すぎるかもしれない。
map_0313#32	実際、君のルークがこれほど近いと、黒の王はそれを取るだけでチェックから逃れられてしまう。
map_0313#33	ラドマス: 確かに、これならチェックメイトだ。実に見事!
map_0313#34	しかし!
map_0313#35	この部屋には、もうひとつ試練がある。
map_0313#36	通常のチェスでは、王を追い詰めさえすればゲームは終わる。
map_0313#37	だが残念、これは通常のチェスではない。
map_0313#38	我らが王は、反撃してくるのだ!
map_0313#39	ラドマス: それは君に任せよう。
map_0313#40	最後で待っているとしよう。またすぐに会おう、\PN。
map_0313#41	ラドマス: おや、不正な手を打ったようだね。
map_0313#42	君の王を、私の王にそれほど近づけたことで、自らチェックの状態に陥ってしまった。
map_0313#43	気をつけて。
map_0313#44	ラドマス: ふむ……まだ、そこまでは至っていないようだね。
map_0313#45	これには、君の両方の駒に働いてもらう必要があるだろう。
map_0313#46	しかし! この部屋には、もうひとつ試練がある。
map_0313#47	ラドマス: おや、不正な手を打ったようだね。君の王を、私の王にそれほど近づけたことで、自らチェックの状態に陥ってしまった。
map_0313#48	ラドマス: ふむ……まだ、そこまでは至っていないようだね。これには、君の両方の駒に働いてもらう必要があるだろう。
map_0313#49	ラドマス: ふむ……まだ、そこまでは至っていないようだね。それぞれの駒が、周囲のどの空間を「攻撃」するか、よく考えるといい。
map_0313#50	ラドマス: 時間はいくらでもかけて構わない。
map_0313#51	アメ: \PN?
map_0313#52	やあ! ジムまでたどり着いたみたいだね。
map_0313#53	この通信システムはグランドホールに直結していて、どこにいても、ジムに着いたらいつでもアドバイスをもらえるんだ!
map_0313#54	それはさておき……
map_0313#55	アメ: ああ、ラドマスに挑戦するんだね。
map_0313#56	ラドマスはダブルバトルのリーダーで、トリックルームを軸にした戦法を取るよ。
map_0313#57	彼のパーティーは頑丈で火力も高くて、態勢を整えられたら、かなり手強くなる。
map_0313#58	でも、トリックルームを使わせないようにできれば、格好の的みたいなもんだよ。
map_0313#59	パーティーの並び順が、彼のアリーナでのバトルにも影響することを覚えておいて!
map_0313#60	最後のポケモンは必ずクイーンになって、先頭のポケモンは必ずポーンになるんだ。
map_0313#61	残りは能力値で決まるから、どのポケモンにどの役割を持たせたいか、慎重に計画してね、それぞれ効果が違うから!
map_0313#62	忘れないで、暴れるクイーンに対処するには、ナイトが一番いい駒だよ!
map_0313#63	頑張って!
map_0313#64	グランドホールでは、誰も出ないようだ……
map_0313#65	このファイルのチェスパズルをスキップしますか?
map_0313#66	別のセーブファイルで、チェスパズルの完了が検出されました。
map_0313#67	はい
map_0313#68	いいえ
map_0314#0	ポーンの説明を読みますか?
map_0314#1	ポーンは、チェスの基本となる駒である。各陣営に8個、一列に並べられる。
map_0314#2	ポーンは一方向にしか動けない。盤の反対側に向かって、一度に一マスずつ前進する。
map_0314#3	ポーンは、正面のマスは攻撃せず、代わりに斜め前の左右にある駒を攻撃する。
map_0314#4	斜めの駒を取ることが、ポーンが横に動ける唯一の方法である。
map_0314#5	最後に、勇敢なポーンが盤の反対端に到達した場合、プレイヤーが選ぶ、王以外の任意の駒に昇格することができる。
map_0314#6	ビショップの説明を読みますか?
map_0314#7	ビショップは、両プレイヤーの王とクイーンの両側にそれぞれ2個ずつ配置される。
map_0314#8	一方は白マスに、もう一方は黒マスに置かれる。
map_0314#9	ビショップは何マスでも移動・攻撃できるが、斜めにしか動けない。
map_0314#10	そのため、ゲームの間ずっと、開始時のマスの色に限定される。
map_0314#11	ルークの説明を読みますか?
map_0314#12	ルークは盤の各隅に1個ずつ置かれ、各プレイヤーにつき合計2個になる。
map_0314#13	ルークは何マスでも移動・攻撃できるが、直線にしか動けない。
map_0314#14	ナイトの説明を読みますか?
map_0314#15	ナイトは各陣営に2個ずつ、ルークとビショップの間に配置される。
map_0314#16	ナイトは、二つの点で特殊な駒である:
map_0314#17	第一に、その動きと攻撃のパターンはL字を描く。一方向に2マス動き、さらに横に1マス動く。
map_0314#18	第二に、駒を「飛び越える」独自の能力を持つ。
map_0314#19	他の駒と違い、ナイトは味方であれ敵であれ、進路を塞ぐ駒に妨げられない。
map_0314#20	その奇妙な動きのパターンにもかかわらず、ビショップのようにたどり着けるマスが制限されることはない。
map_0314#21	ナイトは、どの位置から始めても(十分な手数さえあれば)盤上のどのマスにも到達できる。
map_0314#22	クイーンの説明を読みますか?
map_0314#23	各陣営にクイーンは1個で、プレイヤーの王の左側に配置される。
map_0314#24	クイーンは、どの方向にも何マスでも移動・攻撃できるため、最も価値の高い攻撃駒とみなされている。
map_0314#25	キングの説明を読みますか?
map_0314#26	王は、ゲームの中心となる駒である。
map_0314#27	各プレイヤーはちょうど1個持ち、クイーンの右側に配置される。
map_0314#28	王が弱い駒である理由は、二つある:
map_0314#29	第一に、どの方向にも1マスしか移動・攻撃できない。
map_0314#30	第二に、敵の駒に攻撃されている位置には移動できない。さもないと、自らチェックの状態に陥ってしまう。
map_0314#31	ゲームの目的は相手の王をチェックメイトにすることなので、この駒は常に守られるべきである。
map_0314#32	イライアス: ご質問がございましたら、力の及ぶ限りお答えいたします。
map_0314#33	チェスは、二人で行うゲームです。
map_0314#34	一方が「白」、もう一方が「黒」を担当します。
map_0314#35	白が常に先手を取ります。
map_0314#36	ゲームの目的は、敵の王をチェックメイトにすることです。
map_0314#37	各プレイヤーが交互に、盤上で一度に一つの駒を動かすことで進行します。
map_0314#38	チェスには六種類の駒があります:キング、クイーン、ナイト、ルーク、ビショップ、ポーンです。
map_0314#39	それぞれの駒の機能については、この部屋の像をご確認ください。
map_0314#40	駒はそれぞれ、種類に応じて異なるマスを移動・攻撃します。
map_0314#41	ナイトを除き、駒は他の駒(味方であれ敵であれ)を通り抜けて動くことはできません。
map_0314#42	このゲームは、チェックとチェックメイトの概念を中心に進みます。
map_0314#43	「チェック」とは、あるプレイヤーの王が、敵の駒に攻撃されている状態を指します。
map_0314#44	つまり、相手の次の手番で、王が取られてしまう可能性があるということです。
map_0314#45	チェックをかけられているプレイヤーは、次の手で必ずチェックを解消しなければなりません。他の手を打つことはできません。
map_0314#46	同様に、プレイヤーは自らチェックの状態になるような手を打つことはできません。
map_0314#47	そのような手には、王を敵の駒の攻撃範囲に動かすことも含まれます。
map_0314#48	また、敵の駒が王に到達するのを防いでいた駒を動かしてしまうことも含まれます。
map_0314#49	この場合、その防いでいた駒は、その場に「ピン留め」された状態になります。
map_0314#50	チェックから逃れるには、王を動かす、王への攻撃を遮る駒を動かす、あるいは攻撃している駒を取る、のいずれかを行います。
map_0314#51	「チェックメイト」とは、チェックをかけられたプレイヤーが、その状態から逃れるための手をまったく打てない状況を指します。
map_0314#52	つまり、そのプレイヤーには、王が取られるのを防ぐ手段が何もないということです。
