map_0757#158	わたしが教えられたのはただ、慈悲だけだった。
map_0763#21	ここらで楽しくやってたんなら結構だが、お前らのショーはもう終わりだぜ!
map_0763#22	リン: これらで遊んでもよろしくてよ。
map_0763#23	ハーディ: おい、どこに行くつもりだ!?
map_0763#24	リン: ハエがどれだけ羽音を立てても、答えなど必要ありませんわ。
map_0763#25	返ってくるのは一撃と、その後の静寂だけ。
map_0763#26	ソラリス、わたくしたちの静寂を頼みますわ。
map_0763#27	ソラリス: その腕前があるからといって、私に命令していいと思うな。
map_0763#28	私はチームメテオの正当な指導者だ。命令を下すのはこの私だ。
map_0763#29	かんごにんたち。
map_0763#30	ハーディ: \PN、背中は任せたぜ?
map_0763#31	ぶちかましてやろうぜ!
map_0763#32	さすがジムリーダーってところか……
map_0763#33	こうなること、分かってたっつーの。
map_0763#34	ハーディ: バーン! よお、メテオ?
map_0763#35	尻尾巻いて逃げる前に、あの二人を解放して、アヤのところまで案内するの忘れんなよ、いいな?
map_0763#36	シリウス: 一戦勝ったところで、戦争に勝ったわけじゃない。
map_0763#37	かんごにん: お任せを! 私が始末してご覧に入れます!
map_0763#38	ソラリス: 下がれ。
map_0763#39	かんごにん: しかし?
map_0763#40	ソラリス: お前は張り切りすぎだ。以前も邪魔になっていただろう。
map_0763#41	私一人で\PNと対峙する。
map_0763#42	ソラリス: それで構わないだろう?
map_0763#43	どのみち、お前たちはまだ圧倒的に数で劣っているのだからな。
map_0763#44	あの気の強い子供が出てくるなら、他の者も出るとしよう。
map_0763#45	ハーディ: チッ。\PNはいつだって主役だな?
map_0763#46	よし相棒、こいつはお前に任せた。
map_0763#47	よし相棒、こいつはお前に任せた。
map_0763#48	背中は守ってやるから、心配すんな。
map_0763#49	ソラリス: 前回戦った時は、雑音に紛れてしまった。
map_0763#50	だが、いずれきちんとした試合をお前としたいと思っていた。
map_0763#51	\PN、これだけは分かってもらいたい。
map_0763#52	一個人として、お前には最大限の敬意を払っている。
map_0763#53	対戦相手として、お前には敬意を払っている。
map_0763#54	お前には、天与とも言うべき覚悟と行動力の灯があり、それを成し遂げるだけの力もある。
map_0763#55	若かりし頃の私なら、お前を羨んでいたかもしれない。
map_0763#56	これらの資質を育てるには、私には長い年月が足りなかった。
map_0763#57	それでも、チームメテオをここまでまとめ上げてきたのは、私の覚悟と行動力と力量だ。
map_0763#58	世界はきっと、しつけをする親を子供が恨むように、我々のやり方を恨むだろう。
map_0763#59	タカ: ……
map_0763#60	ソラリス: だが、美しさを守るために醜さが必要になることもある。
map_0763#61	だが、美しさを守るために醜さが必要になることもある。
map_0763#62	私はこの地方を守りたいのだ。
map_0763#63	お前が大切なものをどう守るか、私に見せてみろ。
map_0763#65	シリウス: 鈍ってきたな、司令官。
map_0763#66	甘さは血筋なのかもな。
map_0763#67	シリウス: ん? 何か言いたいことでも?
map_0763#69	シリウス: さあ、聞かせてくれよ。
map_0763#70	ソラリス: あの子を見下すのはもうやめておけ。
map_0763#71	タカ: あの……
map_0763#72	僕が言いたかったのは……
map_0763#73	ペラップ、行け!
map_0763#74	シエル: あら、それはずっといいですわね! まあ、ダーリン~
map_0763#75	サムソン: よし、メテオども、覚悟しな。
map_0763#76	てめえらが彼女にしたことは、百倍にして返してやるからよ。
map_0763#77	ソラリス: 何のつもりだ!?
map_0763#78	座れ、腹を立てるだけの子供が。
map_0763#79	シエル: なんて野蛮な!
map_0763#80	でも、この方々ほどではありませんけれど……
map_0763#81	黒を基調にするなんて、もう時代遅れだって知らないのかしら?
map_0763#82	シエル: わたくしに触れるのはやめていただきたいですわ、どうもご丁寧に!
map_0763#83	まったく……芸術品には触れるなって、ご両親に教わらなかったのかしら?
map_0763#84	ハーディ: おい、オレのことも忘れんなよ!
map_0763#85	ソラリス: お前はもっと分かっていると思っていたが。
map_0763#86	私は甘かったようだ。
map_0763#87	タカ: そうだよ……僕が何も分かってないって言ったよね?
map_0763#88	でも、あんただって同じだ。
map_0763#89	シリウス: くそ、これは――
map_0763#90	シリウス: 戻ってこい!
map_0763#91	ソラリス: そうか。
map_0763#92	私にできるのは、ここまでか。
map_0763#93	メテオの者たちよ、なすべきことをなせ。
map_0763#94	あの女がそれで失われるというなら、それも仕方あるまい。
map_0763#95	ハーディ: \PN、リンを追ったらどうだ?
map_0763#96	シエル: そうですわね! ここはわたくしたちが片付けておきますから~
map_0763#97	サムソン: 認めたくねえが、あの女悪魔をまともに相手できるのはお前くらいかもしれねえ。
map_0763#98	女を殴るのは好きじゃねえが、あいつのやることはもっと気に食わねえ。
map_0763#99	顔面にがっつり一発食らわせてやったのに、あいつはひるみもしなかった。
map_0763#100	気づいたらオレたちは地面に転がってた。
map_0763#101	あのアマより柔らかい鋼鉄にへこみを作ったこともあるってのに。
map_0763#102	ハーディ: 鋼鉄なんてもんは大したことねえさ。
map_0763#103	やっちまえ、\PN!
map_0763#104	ソラリス: 口を慎んだほうが身のためだぞ。
map_0763#105	シリウス: 息子に目を配ったほうが良かったんじゃないか、
map_0763#106	まあ、今さらもう遅いけどな?
map_0763#107	ソラリス: それはどういう意味だ?
map_0763#108	シリウス: \PNに聞いてみたらどうだ?
map_0763#109	なにしろ、ここで彼の最期を見届けたのは、あいつだけなんだからな。
map_0763#110	ソラリス: あいつの……
map_0763#111	なんだと?
map_0763#112	シリウス: お前の"勝利条件"とやらは、それを教えてくれなかったのか?
map_0763#113	ソラリス: 説明しろ。今すぐに。
map_0763#114	シリウス: 話してほしいのか?
map_0763#115	だが、命令を出せる立場にあるとは思えないな、司令官。
map_0763#116	ソラリス: 己の立場を忘れるな。
map_0763#117	シリウス: オレに言わせりゃ、自分の立場をよっぽど分かってるのはオレのほうだけどな。
map_0763#118	考えてもみろ。
map_0763#119	お前はもうポケモンの力を使い果たした。
map_0763#120	お前の切り札は、自分の思惑で勝手に動いてる。
map_0763#121	それに、周りを見てみろ――
map_0763#122	見覚えのある顔か?
map_0763#123	これがお前のチームか?
map_0763#124	それとも、コナル博士を通じてオレが手に入れたチームか?
map_0763#125	契約相手はオレだ――お前のよろよろした組織じゃない。
map_0763#126	シリウス: お前が認められない真実はな、
map_0763#127	お前は自分の目標において、独りだってことだ。
map_0763#128	"旧世界を守る"?
map_0763#129	そんなこと、誰が気にするんだ?
map_0763#130	中核の下っ端どもだって、新しい人生を約束されて集められたんだ。
map_0763#131	こうなることくらい、お前も分かってたはずだろ。
map_0763#132	そもそもの始まりからして、あの鍵を追えたのは、オレがそれが何になったかを教えたからだ。
map_0763#133	あの女の言うことを聞いておくべきだったな。
map_0763#134	結局のところ、すべては力に行き着く。
map_0763#135	そしてお前は、あまりに長くオレたちの力に盲目的に頼ってきた。
map_0763#136	だから聞くが、"司令官"よ、
map_0763#137	ここで本当に場違いなのは、いったい誰だ?
map_0763#138	ソラリス: ……
map_0763#139	シリウス: 臆病な手だが、あいつにはそれしかできないんだろうな。
map_0763#140	この後始末をつけられるか、見に行くとするか。
map_0763#141	ハーディ: 今がチャンスだぜ、みんな!
map_0763#142	サムソン: ありがとよ、坊主。
map_0763#143	よし、メテオども、覚悟しな。
map_0763#144	サムソン: 大丈夫だ、お嬢さん、しっかりしてくれ。
map_0763#145	シエル: あら、でも、もう一度そう呼んだら、あなたに何が起きても責任は持てませんわよ!
map_0763#146	サムソン: デートみたいだな。
map_0763#147	シエル: やっぱり、チームメテオに連れ戻してもらいましょうかしら。
map_0763#148	こんな穴居人たちと長く一緒にいなきゃいけない人がいたら、気の毒に思いますわ。
map_0763#149	黒を基調にするなんて、もう時代遅れだって知らないのかしら?
map_0763#150	レリックストーンは必ずわれわれの手に!
map_0763#151	もう、この街だって使ってないんだから別にいいでしょ……
map_0763#152	あの石は、我らが主を輝かせるために必要なのだ!
map_0763#153	この街の宝は、主お一人のものだ!
map_0763#154	主は、われらの力によって勝利される!
map_0763#155	リン様は、これがアルセウスの御意志だと仰せだ。われらは動かねばならぬ。
map_0763#156	セラ: これくらい、あたしで十分よ、\PN。
map_0763#157	他のみんなを助けに行って。
map_0763#158	どうなっても、多分平気だから。
map_0763#159	だって、あんたと戦うよりずっと楽だもの。
map_0763#160	止まれ! これ以上先には行かせない!
map_0763#161	……まだ、だ。さっき言ったことの後には"まだ"って続くはずだったんだ。
map_0763#162	オレたちはただ時間を稼げばいい……
map_0763#163	なあ、お前が現れるまでにもうちょっと時間くれてもよくないか!?
map_0763#164	"ノー"ってことだよな? どう見ても"ノー"だ。
map_0763#165	まあいいさ、どうせすぐにどうでもよくなる……
map_0763#166	ああ、どうやったら――
map_0763#167	ああ、トレーナーか。オレが何してるか見に来たのか?
map_0763#168	あ、待てよ、街を救ったトレーナーじゃないか! ありがとな。
map_0763#169	オレが何をやってるか、教えてやってもいいぜ。
map_0763#170	ある噂が気になってさ――ほら、あれだよ――で、あの変な水中の森を調べてみたら、箱を見つけたんだ。
map_0763#171	封がしてあって、名前以外は何も書いてなかった。元々何て書いてあったかは分かんねえけど、"よいんく"って読めるような気がする。
map_0763#172	とにかく、その箱を開けてみたら――スナッチマシンを見つけたんだ!
map_0763#173	錆びついて使い物にならなかったけど、こうやって直してるところさ。
map_0763#174	ああ、もちろん純粋に歴史的価値のためだぜ。ポケモンを盗む気なんてさらさらない。
map_0763#175	(警察には言わないでくれよな。)
map_0763#176	それにしても、あんな場所にスナッチマシンがあったなんて不思議だよな……
map_0763#177	オレのことは気にすんな、トレーナー。ただ、なみのりでここを出たらマシンがさらに壊れないか心配なだけさ。
map_0763#178	完全に伸びてる……
map_0763#179	ここに閉じ込められてなかったらよかったのに、怖くて動けない……
map_0763#180	ここはあたしたちの家よ! おとなしく明け渡すとでも思ってるの!?
map_0763#181	ああ、あんた、チームメテオから街を取り戻す戦いを手伝ってたやつだよな?
