map_0854#586	私は……これをやらなきゃ。
map_0854#663	だから、ドクター、助けてくれるの、くれないの？
map_0854#664	出て行きなさい。
map_0854#665	ユーフィ: それが答え？
map_0854#666	何週間も私の時間を無駄にしておいて、今更それを言うの？
map_0854#667	シグムンド: 私の診察室から出て行きなさい。
map_0854#668	ユーフィ: 冗談でしょ。
map_0854#669	ユーフィ: 結局、あの手紙はもらえなかった。
map_0854#670	アンナ: それで！ どう思う？
map_0854#671	ユーフィ: いい……感じ、なんじゃない？
map_0854#672	ノエル: 大したことないよ。
map_0854#673	アンナ: ううん、すごいよ！ しかも改装したばっかりなんだから！
map_0854#674	ユーフィ: ノーマルタイプのアリーナとしては、悪くないわね。
map_0854#675	シャルロット: あたしは面白半分で花火装置をつけようって言ったのに、
map_0854#676	シグムンドが許してくれなかったの。楽しいことにアレルギーがあるみたいで。
map_0854#677	アンナ: それでさ、これ使ってみない？！
map_0854#678	ユーフィ: ごめん、何？
map_0854#679	シャルロット: あたしたちと試合しようって言ってるの。
map_0854#680	ユーフィ: どうして？
map_0854#681	アンナ: 楽しいし、この場所の使い初めにもなるから！
map_0854#682	ローラ: 実を言うと、あなたのセッション中に叫び声が聞こえたの……
map_0854#683	言葉ははっきり聞き取れなかったけど、あまり楽しい時間ではなかったみたいね。
map_0854#684	アンナが、これがいいストレス発散になるんじゃないかって言い出したの。
map_0854#685	アンナ: そうそう、戦ったり一緒に遊んだりするのは、気分もよくなるしお互いを知るのにもいい方法だよ！
map_0854#686	ユーフィ: それでいいの？
map_0854#687	シャルロット: 誰が止めるっていうの？
map_0854#688	あたしたち、みんなリーグのプロなんだから。
map_0854#689	誰か文句あったって、何ができるっていうのよ？
map_0854#690	アンナ: それに、誰にも知られないし！
map_0854#691	さあ、やってみようよ！
map_0854#692	あたしとノエルが最初にやるね！
map_0854#693	ノエル: そうなの？
map_0854#694	アンナ: そうなの！
map_0854#695	アンナ: さあ、行こう！
map_0854#696	ノエル: ……まあいいか。
map_0854#697	シャルロット: 審判はあたしがやるね。
map_0854#698	ユーフィ: これは……本当に始まるみたいね。
map_0854#699	ユーフィ: ねえ、
map_0854#700	今のあんたが、この世界でどんな存在なのかはわからないけど、
map_0854#701	あんたの居場所は、あたしの隣にあるみたい。
map_0854#702	一人でやるのは気が進まないし。
map_0854#703	一緒にこの過去の残骸から戦って抜け出さない？
map_0854#704	アンナ: 誰と喋ってるの？
map_0854#705	ユーフィ: 誰でもないよ。
map_0854#706	ただの、あたしの影。
map_0854#707	アンナ: そっか、シャドウさん！ 準備はいい？
map_0854#708	ユーフィ: いつでもね。
map_0854#709	シャルロット: 3、2、1――思いっきりやっちゃえ！
map_0854#712	アンナ: へえ。
map_0854#713	うん、もう全部わかった！
map_0854#714	ノエル: は。
map_0854#715	シャルロット: よし、負けた人はみんな下手に引っ込んで。
map_0854#716	今度はあたしたちの番。
map_0854#717	ユーフィ: なんて？
map_0854#718	シャルロット: 聞こえたでしょ。
map_0854#719	早く回復してよね。あたしも参加したいから。
map_0854#720	ローラ、あなたもやる？
map_0854#721	ローラ: 参加する機会があるなら、喜んで。
map_0854#722	シャルロット: よし。覚悟決めて、みんな乗った！
map_0854#723	ラウンド2、行くよ！
map_0854#724	ローラ: それじゃ、練習通りにやりましょうか？
map_0854#725	シャルロット: それ以上にね。
map_0854#726	派手に燃え上がろう！
map_0854#729	リン: うわーお、あんたたち本当に強いね。
map_0854#730	ローラ: リン？
map_0854#731	いつからここにいたの？
map_0854#732	リン: あー……「あたしたちみんなリーグのプロなんだから！」からあの恥ずかしい負けっぷりの間くらい？
map_0854#733	もう、ジムリーダー二人と四天王二人が、キャプテンに連続で負けるとか :| ありえなくない？
map_0854#734	ユーフィ: 坊や、しゃべり続けたらいろいろ後悔することになるわよ。
map_0854#735	リン: ぐえっ――ゴホ――ゴホッ！！
map_0854#736	息が――できない！！！
map_0854#737	痛々しさで……窒息しそう……！！！
map_0854#738	あんたの怖いとこなんて、そのイタさくらいしかないんだけど
map_0854#739	てゆーか、みんなを憎み続けるのっていつかは疲れるでしょ
map_0854#740	「でもぉ、一番憎いのはあたし自身なのぉ」
map_0854#741	あーらすみませんでしたぁ、お姫様、あんたの繊細な神経を傷つけるつもりはなかったんですけどぉ……
map_0854#742	シャルロット: あんた、ここで何してんの？
map_0854#743	リン: あたしも遊びたかったんだもん！
map_0854#744	あんたたちいっつもあたしのこと仲間はずれにするし、それってひどくない？
map_0854#745	シャルロット: まあ、あんたがそんなクソガキじゃなければねぇ……
map_0854#746	ノエル: 僕らはリーグのメンバーとして練習試合してるんだ。
map_0854#747	君はポケモンすら持ってないだろ。
map_0854#748	だから君を混ぜることはできない。
map_0854#749	リン: 「あ　ん　た　ポ　ケ　モ　ン　す　ら　持　っ　て　な　い　だ　ろ――」
map_0854#750	今朝、係の人から十二匹盗んどいたし。黙ってて。
map_0854#751	アンナ: リン、人のポケモンを勝手に盗んだらダメだよ！
map_0854#752	リン: えー、できるし。
map_0854#753	今やったし。
map_0854#754	はいはい。
map_0854#755	アンナ: でもそれは悪いことだよ！
map_0854#756	リン: 妄想入った目立ちたがり屋であることも悪いけど、みんななぜかあんたのこと好きじゃん。
map_0854#757	それで、どうするの？あたしのことチクる？
map_0854#758	ローラ: ええ、スタッフは自分の相棒ポケモンがどこにいるか知る必要があるもの。
map_0854#759	リン: 盗みたくなかったんだけど、シャルロットがこっそり煙草を持ち込んできて、言われた通りに盗まなかったらまた火傷させるって言ったんだもん！
map_0854#760	シャルロット: バカ言わないでよ。あたしにはポケモンすら渡してもらえないのに。
map_0854#761	リン: だから盗むんでしょ。
map_0854#762	当たり前じゃん。
map_0854#763	ほら、これとか、見て？
map_0854#764	ローラ: リン、何して……？
map_0854#765	リン: んぐぐ――
map_0854#766	……よし。
map_0854#767	さ、みんな誰の言うことを信じると思う？
map_0854#768	火傷の跡がある子？
map_0854#769	それとも放火の前科がある子？
map_0854#770	リン: 「でも先生、あの子が自分で火傷したんです！！！」
map_0854#771	ウケる、でもなんでそんなことするわけ？？？
map_0854#772	リン: 「先生、みんな嘘ついてます！！！」
map_0854#773	「許可なくアリーナを使ってたのがバレたから、みんなでよってたかってあたしをいじめてるんです……！」
map_0854#774	「みんなのために嘘つくの嫌だったけど、絶対言うなって約束させられて、すごく苦しかったんです！！」
map_0854#775	リン: ……で？
map_0854#776	自分で言うのもなんだけど、なかなか説得力あるでしょ。
map_0854#777	みんながあんたたちのこと信じる確率、どれくらいだと思う？
map_0854#778	五分五分ってとこかな。でもあたしにはそれで十分すぎる。
map_0854#779	ユーフィ: リン、あんた何がしたいの？
map_0854#780	リン: あのね、みんなあたしが理由を与えてからじゃないと、あたしが何をしたいかなんて聞いてくれないんだよね。
map_0854#781	別に怒ってるわけじゃないけどさ。
map_0854#782	正直でいてくれるの、ありがたいわ。
map_0854#783	あんたたちの他のみんなは、社交辞令とか優しさとか、社会のルールがみんなのためになるっていう根も葉もない嘘に、必死に自分をごまかしてるだけ……
map_0854#784	あんたはわかってるよね？
map_0854#785	ルールって、自分の欲しいものの邪魔になってるだけじゃない？
map_0854#786	ねえ、最近偽造の腕を磨いてるんだ。
map_0854#787	あんたに手紙、作ってあげよっか？
map_0854#788	ユーフィ: どこまで盗み聞きしてたの……
map_0854#789	リン: ずっと診察室の隣の図書室に隠れてたからさぁ……
map_0854#790	全部？
map_0854#791	ローラ: リン、他人のプライバシーは尊重しなきゃダメでしょ！
map_0854#792	リン: もう、勘弁してよ。
map_0854#793	それ前にもやったじゃん。
map_0854#794	「リン、これしなきゃダメでしょ！」
map_0854#795	しなくていいし。
map_0854#796	「リン、それはダメでしょ！」
map_0854#797	できるし。
map_0854#798	この関係の何がわかってないの？
map_0854#799	もう黙ってよ、堂々巡りはやめにしよ。
map_0854#800	で、どこまで話したっけ。
map_0854#801	あー、忘れた。
map_0854#802	みんながあたしを間抜けな顔で見てる間、独り言喋るのもう飽きた。
map_0854#803	要するに、準備ができてようができてまいが、
map_0854#804	かかってきな！
map_0854#806	べつに。
map_0854#807	リン: うわ、スタッフのポケモン弱すぎ。
map_0854#808	ローラ: あなた、バトルについて学ぶことがまだたくさんあるみたいね、
map_0854#809	それに、人と仲良くやることについても、ね……
map_0854#810	リン: あんた自分の髪の毛でも一本ずつ数えてたら？
map_0854#811	あ、そういえば今朝あんたのシャンプーに唾入れといた。
map_0854#812	ローラ: 嘘つき……
map_0854#813	リン: そうかな？
map_0854#814	ストロベリーブロッサム、フリゾー防止用、キャップがちょっと左に傾いてたよね？
map_0854#815	シャルロット: ねえ、どうせあんたを火傷させたことで怒られるなら……
map_0854#816	いっそ本当に自分の手でやる楽しみを味わったほうがマシじゃない？
map_0854#817	ノエル: シャルロット、やめて。
map_0854#818	それをやったらもっと悪化するだけだよ。
map_0854#819	リン: 煙草、まだ地面に落ちてるよ。
map_0854#820	ついでに孤児院燃やして妹殺しちゃう？
map_0854#821	シャルロット: いい加減に――
map_0854#822	アンナ: もうやめて、二人とも！
map_0854#823	もう十分楽しんだでしょ、リン。
map_0854#824	行って。
map_0854#825	リン: ……
map_0854#826	リン: あの偽造手紙が欲しくなったら……
map_0854#827	ユーフィ: 興味ないから。
map_0854#828	リン: そーお～
map_0854#829	リン: だってさ、あのドクターはあんたが欲しいものを絶対にくれないよ。
map_0854#830	あの人、あんたみたいな人を尊重してないもん。
map_0854#831	ユーフィ: あんたに「尊重」ってものが何かわかるとは思えないけど、顔面をひっぱたかれでもしない限りね。
map_0854#832	それに、それも実際に起きるかもしれないし。
map_0854#833	リン: やだなぁ！ ただ助けようとしただけなのに！
map_0854#834	まあ、「だから言ったでしょ」は取っておいてあげる。
map_0854#835	欲しくなったら言ってね！
map_0854#836	バイバーイ！
map_0854#837	行くわ。
map_0855#0	空気中に電気が走る……
map_0855#1	空気中にエネルギーが走る……
map_0855#2	空気中に花粉が舞う……
map_0855#3	空気中に霧が漂う……
map_0855#4	カプ・コケコ: カカカカカカッカ！
map_0855#5	コ！
map_0855#6	カプ・コケコ: カ？
map_0855#7	コ！！！
map_0855#8	カプ・テテフ: テレ！
map_0855#9	テレテレ！
map_0855#10	カプ・テテフ: カ？？？
map_0855#11	テレ！！！
map_0855#12	カプ・ブルル: ブフー。
map_0855#13	ブオー！！！
map_0855#14	カプ・ブルル: カ。
map_0855#15	カプ・レヒレ: フィー！
map_0855#16	フワァー……
map_0855#17	カプ・レヒレ: フワァー？！
map_0857#0	フロリニア: あなたのタイミングは実に絶妙ですね、\PN。
map_0857#1	しばらくこの二匹を追いかけているのですが……
map_0857#2	どちらもそろそろ疲労が出てきていると思われます。
map_0857#3	この機会に決着をつけるのが最適でしょう。
map_0857#4	一緒に来てくれますか？
map_0857#5	この話者は当該の二体を専門家らしからぬ時間にわたって追跡している。
map_0857#6	両者ともに疲労の兆候が明確に観察される。
map_0857#7	この話者は事態の確実な解決にあなたの協力を要請する。
map_0857#8	ラー？
map_0857#9	-F=??5VG7XMK...-
map_0857#10	フロリニア: 初回試行、完了。
map_0857#11	では次の段階へ進みましょう……その……
map_0857#12	……ん？
map_0857#13	フロリニア: ????????????
map_0857#14	わたしは――かん――じたく、ない――
map_0857#15	-- X? X7'F 5MJH K5XMK 75 Y=F+ 7+5FR X VG@R ? 5@ G#GH...
map_0857#16	ラティアス: -JG7X5F!-
map_0857#17	ラティアス: -+=8GM!-
map_0857#18	-#R +GTR 75 ?XM1 7+R8, 3=XVZJH!-
map_0857#19	-#GX7...-
map_0857#20	.
map_0857#21	. .
map_0857#22	. . .
map_0857#23	ラティアス: -やった！-
map_0857#24	-これでテレパシーで通じ合えるはずよ！-
map_0857#25	-さっきも言った通り、早く二人を見つけなきゃ！-
map_0857#26	-人間の抑圧された感情が、ラティオスの周りの異常なエネルギーを歪めて、暴走させて彼女にも影響を与えているの！-
map_0857#27	-すぐに動けば、二人とも助けられるはず！-
map_0857#28	-ついてきて！-
map_0857#29	ラティアス: -人間！-
map_0857#30	-あのもう一人の人間の断片が、この場所のあちこちに散らばっているはずよ！-
map_0857#31	-彼女がこの様々な自分自身の部分を受け入れられるようにならない限り、彼女もラティオスも救い出せない！-
map_0857#32	-彼女を助けてあげて！-
map_0857#33	-彼女を見つけて、彼女が自分から切り離してしまった感情を理解する手助けをして！-
map_0857#34	-あなたは私の力のおかげで私の言葉がわかるけど、彼女に伝わるには、あなたも感情の言葉を話せるようにならなきゃ！-
map_0857#35	-この場所を見回れば、きっと一方からもう一方へ訳すヒントが見つかるはず！-
map_0857#36	-覚えておいて、感情を理解しようとするときの鍵は、立ち止まって、待って、注意を払うことよ！-
map_0857#37	-助けが必要なら、私にも聞いていいから！-
map_0857#38	-どうやって助ければいい？！-
map_0857#39	ラティアス: -あのもう一人の人間とラティオスを救うには、あの子の砕けた部分をつなぎ合わせないと！-
map_0857#40	-彼女が今何を感じているかを伝えて、感情を理解する手助けをして！-
map_0857#41	-でも今の彼女の状態じゃ、普通に話しても伝わらない！-
map_0857#42	-彼女の気持ちを、感情の言葉に訳してあげなきゃ！-
map_0857#43	-この場所のあちこちに、それを助けてくれる手がかりがある！-
map_0857#44	-でもそれを見つけるには、立ち止まって、待って、耳を澄まさなきゃ！-
map_0857#45	-誰かが自分の感情を心の奥深くに閉じ込めてしまったときって、こんな感じになることがあるの！-
map_0857#46	-人間が感じるかもしれないいろんなことについても教えてあげられるから、彼女に何を伝えればいいかわかるはずよ！-
map_0857#47	-もっと助けが必要なら聞いて！-
map_0857#48	ラティアス: -人間が感じられるものはたくさんあって、私たちみたいなポケモンならもっとある！-
map_0857#49	-きっとラティオスは、あの人間が心の奥に閉じ込めていたものの渦に巻き込まれてしまったんだと思う！-
map_0857#50	-いくつか例を挙げると……-
map_0857#51	-衝撃、不安、悲嘆、悲しみ、恐れ、嫉妬、罪悪感、情熱、自信、空虚、誇り、喜び、愛、嫌悪、怒り、無関心……-
map_0857#52	-人間が感じられるものは他にもたくさんあるけど、今はこれらに絞りましょう！-
map_0857#53	-誰かが本当に感情から切り離されてしまったときは、何を感じているかを見極めるために、感じ得るものの一覧を見るのが役に立つの！-
map_0857#54	-でもあの人間は今それができないから、あなたが手伝わなきゃ！-
map_0857#55	-「A」は……「G」になる-
map_0857#56	-「B」は……「}」になる-
map_0857#57	-「H」は……「+」になる-
map_0857#58	フロリニア: 患者は呼吸の加速、神経反応の亢進、認知機能の低下を示している。
map_0857#59	その他の症状として、筋肉の緊張、眉間のしわ、顎への過度な力、拳を握りしめる傾向が挙げられる。
map_0857#60	被験者は胸の内側に比喩的な焼けるような感覚を訴えており、刺激源と無関係な作業への集中が困難な状態にある。
map_0857#61	フロリニア: ……なるほど。
map_0857#62	診断を了承。
map_0857#63	被験者は「怒り」に冒されている。
map_0857#64	この記述者は、この「怒り」がなお正当な生存戦略でありうると考える。被験者が不利な状況から自身を切り離し、それに立ち向かうための原動力を与えるものとして。
map_0857#65	研究によれば、怒りの抑圧は慢性的な痛み、消化器系の不調、緊張性頭痛などの悪影響を生じさせうるとされている。
map_0857#66	この生存機構の抑圧は、その動機づけ効果と、抑圧下における心身への悪影響を考慮すれば、推奨されない可能性がある。
map_0857#67	被験者は、過去の関係者による不当な扱いとその後の見捨てに対し、なお残留する怒りを抱いている可能性がある。
map_0857#68	これは……おそらく、許容範囲だろう。
map_0857#69	フロリニア: 診断不一致。
map_0857#70	結果はいまだ不確定。
map_0857#71	-「G」は……「K」になる-
map_0857#72	-「F」は……「?」になる-
map_0857#73	-「I」は……「X」になる-
map_0857#74	-「M」は……「8」になる-
map_0857#75	-「N」は……「M」になる-
map_0857#76	-「J」は……「%」になる-
map_0857#77	フロリニア: 患者は胸腔内に一貫した沈むような感覚を訴えている。
map_0857#78	異物や重りは確認できなかった。
map_0857#79	患者は下方を見る傾向を示し、動作とエネルギーの双方が、程度は様々ながら抑制されているように見える。
map_0857#80	被験者は時折、目から水分を分泌したり、異常に強い鋭い呼気を発したりすることが観察されている。
map_0857#81	フロリニア: ……確かに。
map_0857#82	被験者は「悲しみ」に冒されている。
map_0857#83	定義: 「喪失、失望、または不運によって引き起こされる苦悩の感情」……
map_0857#84	当初は被験者がこの疾患を嘆く合理的な理由を持つとは考えにくいとされていたが、それでもなお、妥当である可能性はある。
map_0857#85	合理性は、被験者にとって有益な価値判断を下すには、なお不十分であるかもしれない。
map_0857#86	患者の経歴には、とりわけかつての交友関係や対人的な安らぎに関して、喪失と失望の記録が確かに見て取れる。
