map_0868#74	それ、どうなってんの。
map_0870#52	ブレイク: いてっ。
map_0870#53	はいはい、そりゃ自業自得だな……
map_0870#54	キャル: 僕が代わろうか？
map_0870#55	キャル: よし。じゃあ下がってて、温度を上げるよ。
map_0870#56	合図をくれればいいから。
map_0870#57	キャル: 部屋が温まってる間は、氷が溶けて、岩の一部も熱で砕けやすくなるはずだよ。
map_0870#58	ヒードランの力に染まった結晶なら、近くの氷を砕けるようになるかもしれない。
map_0870#59	ただ、水の一部はどのポケモンでも渡れないくらい熱くなるかもしれない。
map_0870#60	ボルケニオンなら渡れるかもしれないけど、他は……
map_0870#61	ブレイク: ボルケニオンって、なみのりできねえんだよ、兄弟。
map_0870#62	キャル: なみのりできないって、どういうことだい？
map_0870#63	水タイプの伝説のポケモンなのに……
map_0870#64	ブレイク: 無理なんだって。調べてみろよ。
map_0870#65	……ボルケニオンでも、そうらしい。
map_0870#66	なんで……？ 重すぎるとか？
map_0870#67	ブレイク: いや、それはねえよ、兄弟。
map_0870#68	ボスゴドラの方がずっと重いのに、あいつは泳げるんだぜ。
map_0870#69	キャル: ……ボスゴドラって泳げるの？
map_0870#70	ブレイク: ああ、兄弟。あいつのバタフライ、見てみろよ。
map_0870#71	キャル: いや、それは――どうやって……
map_0870#72	もういいや。降参だよ。
map_0870#73	ブレイク: 俺の番か？
map_0870#74	ブレイク: トドゼルガ、こいつらを凍らせてやろうぜ！
map_0870#75	ブレイク: そりゃクールだ。
map_0870#76	ここを丸ごと燃やしたりしないようにな。
map_0870#77	ブレイク: トドゼルガと俺に任せとけ、楽勝だ。
map_0870#78	部屋が冷えてる間、水の一部が凍って氷になるはずだ。
map_0870#79	煮えたぎってた水は凍らずに、泳げるくらいまで冷めるだろう。
map_0870#80	それに、この結晶の一部を割れば、溶岩を渡る通り道が開けるかもな。
map_0870#81	まあ、あくまで俺の予想だけどな。
map_0870#82	ぶちかましてやれよ、チャンプ、
map_0870#83	って、今日はそういうお決まりの応援台詞でも投げとくか。
map_0870#84	アメトリン中枢のパズルをスキップしますか？
map_0870#85	はい
map_0870#86	いいえ
map_0871#0	信徒1: こんにちは！ あなた、今「天の門」を通ってきたの！？
map_0871#1	あなたは神々の使者、それともこの混沌の手先！？
map_0871#2	信徒2: あたしには「神々の使者」には見えないけど……
map_0871#3	信徒1: それなら、この神聖な場所を汚した罪で拘束するしかないわね！
map_0871#4	まさしく混沌の手先ね！
map_0871#5	主への忠誠を誓うか、来た道を戻るか、どちらかにしてもらうぞ！
map_0871#6	信徒1: ……
map_0871#7	まあ、神の使者には見えないわね。
map_0871#8	ソラリス様が、あなたに話を聞きたいと仰るはずよ。
map_0871#9	信徒2: でも、この脅威をどうやって抑え込む？
map_0871#10	信徒1: ああ、あの手榴弾よ！
map_0871#11	信徒2: そうか！ 解毒の聖なる手榴弾！
map_0871#12	混沌の手先なら吹き飛ばされ、使者なら無傷で済むはずだ！
map_0871#13	今すぐ使うんだ！
map_0871#14	信徒: 1……
map_0871#15	2……
map_0871#16	5！！！
map_0871#17	？？？: ……見えた？
map_0871#18	？？？: ここからじゃ見えないよ……
map_0871#19	静かにしてなきゃダメじゃない？
map_0871#20	パパに聞かれたら……
map_0871#21	？？？: 大丈夫だって、今はこっちに来られないんだから！
map_0871#22	ねえねえ、そこの人！
map_0871#23	なぞの人！
map_0871#24	聞こえてる？
map_0871#25	？？？: うん、ほらね？
map_0871#26	大丈夫だよ、この人優しいから。
map_0871#27	まあ、たぶんね。
map_0871#28	？？？: うそつき！
map_0871#29	聞こえてないなら、なんで「たぶん」なんて言えるのさ！？
map_0871#30	？？？: え？
map_0871#31	？？？: それ、意味分かんないよ！
map_0871#32	もう、バカなこと言って！
map_0871#33	あなた、名前は？
map_0871#34	あたしはルカ！
map_0871#35	？？？: ねえ、いい加減やめた方が……
map_0871#36	ルカ: それであっちの心配性さんは……
map_0871#37	タカだよ！
map_0871#38	あたしのご主人様だから、死ぬまでずっとお仕えするんだ！
map_0871#39	タカ: ルカ、そういうこと言わないでくれよ……
map_0871#40	ルカ: どうして？ 本当のことだもん。
map_0871#41	何もおかしくないよ。
map_0871#42	むしろ、自分の人生にはっきりした目的があるって、感謝してるくらい。
map_0871#43	タカ: うぅ……
map_0871#44	ルカ: それで、なんでここにいるの？
map_0871#45	パパたちの企みに気づいちゃったから、ここに閉じ込められたの！
map_0871#46	像をあちこち触って回ってたら、二人一緒にお仕置き部屋行きになっちゃって！
map_0871#47	まあ、一応一緒ってことで！
map_0871#48	でもよく考えたら、絶対に隠し通路があるはずなんだよ！
map_0871#49	廊下が急に変わったし！
map_0871#50	それしか説明がつかないもん。
map_0871#51	それに、隠し通路がないなんて、そっちの方がおかしいよ？
map_0871#52	大人になったら、隠し通路しかないお城に住みたいな。
map_0871#53	大人はみんな隠し通路を持つべきだと思うんだ。
map_0871#54	だから、ここにも絶対あるはず。
map_0871#55	タカ: ルカ、頼むよ、もし悪い人だったらどうするんだ？
map_0871#56	ルカ: そのときはあたしが守るよ。
map_0871#57	でも、そうじゃなかったら？
map_0871#58	それを確かめる方法は、確かめてみることだけだよ！
map_0871#59	そうすれば、怖がる必要もなくなるし！
map_0871#60	だから、あたしに確かめさせて、若様のことは守ってあげる。
map_0871#61	それで、あなたは悪い人？
map_0871#62	ルカ: うーーーーーん……
map_0871#63	でも、悪い人が自分から「悪い」って認めるかな？
map_0871#64	悪い人ってたいてい、自分は良い人だと思ってるものでしょ？
map_0871#65	だから、あなたが「悪い」って言うってことは……
map_0871#66	きっと悪い人じゃないってことだよ！
map_0871#67	ルカ: うーん……
map_0871#68	うん、信じるよ！
map_0871#69	それで決まりだね！
map_0871#70	タカ: 何も決まってないよ、ルカ！
map_0871#71	とにかく、静かにしててくれよ。
map_0871#72	すぐに誰か迎えに来るから……
map_0871#73	ルカ: ……まあ、命令ならしょうがないか……
map_0871#74	分かった。
map_0871#75	タカ: え、えっと、どうやってここに入ってきたんだ！？
map_0871#76	やっぱり悪い人なんだろ！？
map_0871#77	見知らぬ人は危険だ！
map_0871#78	ルカ: え！？ どうやって入ってきたの！？
map_0871#79	タカ: ルカ？ 何が起きたんだ？
map_0871#80	ルカ: あ、もしかして像のせい？ アルセウスがその力をくれたの？
map_0871#81	あたしもやってみる！
map_0871#82	ルカ: あ！
map_0871#83	ルカ: 自由だ！
map_0871#84	タカ: 待って、待って待って、今何が起きたんだ！？
map_0871#85	ルカ: この人が、若様を助ける方法を教えてくれたの！
map_0871#86	やっぱり良い人だと思った！
map_0871#87	タカ: でも、どうやって……
map_0871#88	ルカ: あ、壁の内側、土と虫だらけだ！
map_0871#89	きたなーい！
map_0871#90	タカ: うわ……
map_0871#91	ルカ、そこから出てきてくれよ……
map_0871#92	そんな感じなら、もうここにいたくないんだけど……
map_0871#93	ルカ: 大丈夫だよ！ ここだけじゃなくて、どの建物もこんな感じらしいから！
map_0871#94	タカ: ……
map_0871#95	ルカ: それに、もう正体が分かったんだから、怖がる理由なんてないよ！
map_0871#96	どうせ像の加護があれば、全部平気で通り抜けられるみたいだし。
map_0871#97	あ、若様、ネクタイ緩んでる。
map_0871#98	ほら、直してあげる！
map_0871#99	タカ: ルカ、頼むから……その呼び方はやめてって言っただろ。
map_0871#100	ルカ: でも、そう呼ばなきゃ。
map_0871#101	あたしは気にしないし、若様には似合ってると思うよ！
map_0871#102	タカ: いったいどこが似合ってるんだよ……
map_0871#103	ルカ: それにしても、変じゃない？
map_0871#104	普段はあんなことしないよね――あの像。
map_0871#105	廊下の形が変わってるのと、関係あるのかな？
map_0871#106	タカ: 父上が、何かの力がこの場所を歪ませてるって言ってたっけ……？
map_0871#107	ルカ: それ、隠し通路のことを知られないように、そう言ってるだけだよ。
map_0871#108	もう自由になったんだから、探しに行こうよ！
map_0871#109	タカ: それ、もっと怒られるだけじゃないか？
map_0871#110	ルカ: ううん、今の大人たちはそれどころじゃないから。
map_0871#111	ルカ: あ、鍵かけられてる。
map_0871#112	さっき鍵、盗んでおいてよかった！
map_0871#113	タカ: ルカ……
map_0871#114	ルカ: 大丈夫だよ、若様。怒られても、全部あたしが引き受けるから。
map_0871#115	だから何も気にしなくていいよ！
map_0871#116	タカ: それ、全然安心できないんだけど……
map_0871#117	ルカ: ドア開いた！ 行こう！
map_0871#118	タカ: ……ルカ……
map_0871#119	あの、その……
map_0871#120	助けてくれて、ありがとう、たぶん。
map_0871#121	なんであなたがここに入れられたのかは知らないけど……
map_0871#122	前のお姉さんと同じなら、たぶんあなたのせいじゃないんだよね？
map_0871#123	あの、それで、もし逃げたいなら……
map_0871#124	見つけなきゃいけないスイッチが4つあるんだ――色ごとに一つずつ。
map_0871#125	廊下はぐちゃぐちゃになってるけど、すぐ近くにスイッチが一つあったと思う……
map_0871#126	そうすれば、地上に戻れるはずだよ。
map_0871#127	……でも、これ教えたって、誰にも言わないでね？
map_0871#128	あの、うん。
map_0871#129	じゃあね。
map_0871#130	（限られた空間で壁をすり抜けられる。Aボタンで元の場所に戻る。）
map_0871#131	鍵がかかっている。
map_0871#132	ルカ: ねえ、そこからどうやって出てきたの！？
map_0871#133	ちょっと待って、そこから出られるなら、こっちに入ることもできる？
map_0871#134	タカ: え、あ、閉じ込められなかったのか？
map_0871#135	あの像は、もうエネルギーが残っていないようだ。
map_0871#136	この歪みを引き起こしたのは、お前か！？
map_0871#137	お前の仕業でないことを祈ろう……
map_0871#138	これにはきっと意味があるはずだ。
map_0871#139	何の目的があって、この場所に立ち入った？
map_0871#140	何の目的があって、あたしは罰を受けているの？
map_0871#141	何の目的があって、あたしたちはこの混乱の中に置き去りにされているの……？
map_0871#142	ああ、出口を知ってる？
map_0871#143	それは「いいえ」ってこと？
map_0871#144	アルセウス像のところで左に曲がるんじゃなかったかもしれないわね……
map_0871#145	あなたを捕まえれば、真実にたどり着けるのかしら？
map_0871#146	ああ、私が見つけたのは敗北だけだったか……
map_0871#147	我らは皆、常に何かを探し求めている。よく見つけるがいい。
map_0871#148	主が、お前を私のもとへと導いた。
map_0871#149	そして主は、お前を再び導き去るであろう。
map_0871#150	我らの語る言葉は、すべて主の意志によって定められている。
map_0871#151	誇りを持って語るがいい。
map_0871#152	ソラリス: 一体どこに行っていた？
map_0871#153	タカ: あの……ルカと、ちょっと遊んでただけで。
map_0871#154	ソラリス: そうか。
map_0871#155	ならばもちろん、勉強はもう終わらせたのだろうな？
map_0871#156	タカ: あの……だいたいは。
map_0871#157	ソラリス: だいたい、だと？
map_0871#158	これは二択の質問だぞ、タカ。
map_0871#159	終わらせたか、終わらせていないか、どちらかだ。
map_0871#160	どちらだ？
map_0871#161	タカ: た、たぶん……終わらせていないと思います。
map_0871#162	ソラリス: なぜ「思う」などと推測する必要がある？
map_0871#163	終わらせたかどうかも分からないのか？
map_0871#164	私が話している間は、目を見なさい。
map_0871#165	お前への期待が、分かっていないのか？
map_0871#166	タカ: い、いえ、父上。
map_0871#167	ソラリス: では、些細なことで罪悪感を誤魔化そうと「思う」などと言うのか、それとも他に何か理由があって、そのように曖昧な話し方をするのか？
map_0871#168	タカ: す、すみません。
map_0871#169	ソラリス: それは質問の答えになっていない。
map_0871#170	タカ: ただ……誤魔化そうとしてました。
map_0871#171	ソラリス: 不誠実さとは、弱者の道具だ。
map_0871#172	自分が弱者であると思い込むな。
map_0871#173	お前は我が一族の跡継ぎだ。
map_0871#174	弱さも、推測に頼ることも、お前には許されていない。
map_0871#175	未来はお前の肩にかかっている。
map_0871#176	それにふさわしい者にならねばならん。
map_0871#177	それはまず、勉学から始まる。
map_0871#178	分かったか？
map_0871#179	タカ: は、はい……
map_0871#180	ソラリス: 「はい、父上」だ。
map_0871#181	タカ: はい、父上。
map_0871#182	ソラリス: もっとはっきりとものを言え。
map_0871#183	一言一言つっかえて口ごもっていては、誰にも真剣に受け止めてもらえん。
map_0871#184	前にも言ったはずだ。
map_0871#185	この話を、また繰り返したくはない。
map_0871#186	もう一度聞く――分かったか？
map_0871#187	ソラリス: ……
map_0871#188	よろしい。下がってよい。
map_0871#189	くだらないことに興じる前に、きちんと勉学を終わらせておけ。
map_0871#190	イライアス: 出してもらえたようだな。
map_0871#191	ルカ: うん……
map_0871#192	イライアス: 自分の好きなときに終わらせられるのなら、お仕置きに何の意味がある？
map_0871#193	ルカ: 自分のやったことと、それが何で問題だったのかを、じっくり反省するための時間、だよね。
map_0871#194	それで、あたしはもう反省し終わってたの。
map_0871#195	ソラリス様の邪魔になったり、不注意で貴重な像を傷つけたりする可能性があったって、ちゃんと分かってる。
map_0871#196	若様もちゃんと分かってくれてたし、二人ともすごく反省してたから、他の人が出してくれたの。
map_0871#197	イライアス: ……そうか。
map_0871#198	それなら十分だろう。
map_0871#199	お前や若様を罰することに、私は何の喜びも感じていないと、分かってほしい。
map_0871#200	ただ、学ばねばならないことがあるというだけだ。それに、この歪みの最中に、お前たちのいたずらにまで構っている暇はなかった。
map_0871#201	ルカ: 分かってる。
map_0871#202	イライアス: それでいい。
map_0871#203	主がお前に、年齢を超えた成熟を与えてくださったこと、感謝している。
map_0871#204	それが若様のためになることを祈るばかりだ。
map_0871#205	ルカ: 若様のためにも、精一杯頑張るよ！
map_0871#206	イライアス: それこそ、我が一族の者にふさわしい心構えだ。
map_0871#207	お前は、若様にとってふさわしい従者、そして仲間になるだろう――私が仕えた主人に対して果たせた以上にな。
map_0871#208	お前は日々、私が期待すらできなかった光をもたらしてくれる。
map_0871#209	お前を我が子と呼べることを、誇りに思う。
map_0871#210	ルカ: ……それでさ、この動く歪んだ空間ってやつも、主様のなさったことなの、それとも……？
map_0871#211	イライアス: そうではないと考えている。
map_0871#212	従者の一人が、本殿でパルキアを見たと報告してきた。
map_0871#213	だが、それがどうしてここに現れたのかは、まさに奇跡としか言いようがないだろう……
map_0871#214	ルカ: パルキアって何？
map_0871#215	イライアス: 説明している時間はあまりない。
map_0871#216	一緒に歩きながら話そう。
map_0871#217	パルキア: プラアアアク！
map_0871#218	キャアア！
map_0871#219	パルキア: キィアアア！
map_0871#220	あの像は、今はもう活動していないようだ。
map_0871#221	ディアルガ: ディーィア〜
map_0871#222	ガアアア！
map_0871#223	ディアルガ: ヤアアアリア〜
map_0871#224	アンナ: ――アイツが待ってる――
map_0871#225	今よ、今しかない！
map_0871#226	折れた翼を持つ少年――
map_0871#227	必要なのは……
map_0871#228	……もう一度のチャンスだけ！
map_0871#229	聖域のパズルをスキップしますか？
map_0871#230	はい
map_0871#231	いいえ
map_0872#0	ブレイク: また同じような感じか。
map_0872#1	キャル: そんなに遠くまで行けたとは思えないけど……
map_0872#2	というか、そうであってほしい。
map_0872#3	ブレイク: なあ、なんか変な匂いしないか？
map_0872#4	……ちっ、いつもならここで「キャルのことじゃないぜ」みたいな一言、挟むところなんだけどな、
map_0872#5	でも今それ言ったら、間違いなくどっちかに溶岩に沈められそうだからな。
