map_0071#69	……くそ。
map_0071#213	こんなのアリじゃないよ、リニ!
map_0071#214	リニ!!!
map_0071#215	戻ってきて!
map_0071#216	ファーン: はっ、うちの姉貴に任せりゃ、みんなの楽しみは台無しになるってもんだ。
map_0071#217	ま、いいから動くぞ。
map_0071#218	ジュリア: リニが、北側に倉庫があるって言ってたから、たぶんそこに爆弾があるんだよ!
map_0071#219	中に入って、取って、出てくれば、あとはドッカーンだね!
map_0071#220	アタシが自分でやってもいいんだけど、疲れちゃってさ。
map_0071#221	それに、リニがシステムでなんかやってる間、誰かが見張ってなきゃだしね!
map_0071#222	あと疲れてるし。
map_0071#223	ここ、借りられるベッドとかあるかな?
map_0071#224	ファーン: おい、イカれた姉ちゃん。ブツ持ってきたぞ。
map_0071#225	ジュリア: ドッカーン!
map_0071#226	美しくて、けたたましいドッカーン!
map_0071#227	おお、ヴァーディグナイトだ!
map_0071#228	こいつは楽しいやつだよ。
map_0071#229	ファーン: は、爆発物の種類まで分かんのかよ?
map_0071#230	ジュリア: えー、当然でしょ!
map_0071#231	緑色にちなんでその名前がついてるんだけど、内部の化学物質が酸化と共に反応するのが特徴なんだよ!
map_0071#232	つまり、暴れさせたいなら、プラスチックのケースを割るだけでいいってこと!
map_0071#233	ファーン: ここまで来る途中で落とさなくてよかったぜ……
map_0071#234	ジュリア: よし、やるよ!
map_0071#235	ジュリア: よーし!
map_0071#236	ジュリア: さーん……
map_0071#237	にー……
map_0071#238	カアアアア……
map_0071#239	……え?
map_0071#240	フロリニア: 二次セキュリティの機能停止に伴い、二次ファイアウォールを突破済み。
map_0071#241	ジュリア: でも、その――
map_0071#242	ジュリア: ……まあ、いっか。
map_0071#243	別にもう爆破するものがなくなっちゃったわけじゃないけど、まあこれでいいや!
map_0071#244	フロリニア: 無軌道な破壊への嗜好は、明らかに不要である。
map_0071#245	ジュリア: そうだよね、超いいよね!
map_0071#246	さあ、どんどん前に突き進むぞ!
map_0071#247	チーム、いけーっ!
map_0071#248	ジュリア: ……あ、アタシたちのチームね。チームメテオじゃなくて。
map_0071#249	……行けーっ!!!
map_0071#250	フロリニア: ……その通りだ。
map_0071#251	ファーン: ジュリアなんて、とっくの昔に逮捕されてるべきだと思うぜ。
map_0071#252	エース: これはまいったな!
map_0071#253	一人なら、相手できる。
map_0071#254	二人でも、いい勝負だ。
map_0071#255	だが、三人となると大群だな~
map_0071#256	四人なんて、話にならん!
map_0071#257	これは戦術的――一時的とはいえ――撤退と考えてくれたまえ!
map_0071#258	司令官から、指示があるはずだ。
map_0071#259	それでは――
map_0071#260	しばしの、さらばだ!
map_0071#261	どうぞご自由に、ごゆっくりお帰りくだされ!
map_0071#262	ジュリア: ちょっと、戻ってきなさいよ、顔面ドッカーンしてあげるから!!!
map_0071#263	ファーン: はっ! 臆病者め。
map_0071#264	フロリニア: メテオ本部が、この門の先にあることを確認した。
map_0071#265	ジュリア: それじゃ、あとは開けるだけだね!
map_0071#266	マルマインなら吹っ飛ばせると思うんだけど、そろそろ「げんきのかけら」が切れそうでさ……
map_0071#267	フロリニア: この施設のデジタルセキュリティシステムは、水準以下と見受けられる。
map_0071#268	一次ファイアウォールへのアクセスは完了した。残るは二次のみである。
map_0071#269	ブルートフォース攻撃で十分だろう。しばし待たれよ。
map_0071#270	ジュリア: ブルートフォース? リニ、それドア殴っても開かないと思うよ!
map_0071#271	でもさ、あいつら駅を爆破した犯人で、アタシのジムも狙ってたんだよね?
map_0071#272	すごく丁寧にお願いすれば、ドッカーンを貸してくれるんじゃない!
map_0071#273	あと、顔面パンチもね!
map_0071#274	それからもう一回丁寧にお願いする!
map_0071#275	それさえ手に入れば、ここを通るのなんて楽勝だよ!
map_0071#276	\PN、爆発物がどこにあるか、見つけられそう?
map_0071#277	フロリニア: 施設の地図によれば、敷地北側の防犯ロックの先に倉庫がある。
map_0071#278	ジュリア: ほら、絶対そこにあるって!
map_0071#279	それを持ってきてくれたら、簡単に入れるようになるから!
map_0071#280	フロリニア: なぜお前は、あらゆる障害への解決策が燃焼なのだ?
map_0071#281	ジュリア: だって家族みんなで楽しめるからだよ!
map_0071#282	ファーン: チッ、まあいいわ。
map_0071#283	少なくともオレは、フロボットがコンピューターで遊んでる間、一日中突っ立ってるつもりはねえからな。
map_0071#284	ジュリア: その意気だよ!
map_0071#285	ファーンの言うことに賛成するの、珍しいな!
map_0071#286	急いで、\PN! ドッカーンモービルへ!
map_0071#287	「未来計画メモ――
map_0071#288	P-06――無限増幅
map_0071#289	P-07――シームレス転送
map_0071#290	P-08――完全制御」
map_0071#291	残りは削除されてしまったようだ……
map_0071#292	ファーン: どれも聞くだけで嫌な予感がするな。
map_0071#293	こいつらが何か実現させる前に、口を封じてやろうぜ。
map_0071#294	「4XXX」
map_0071#295	「二次セキュリティ」
map_0071#296	ファーン: 別のを探さねえとダメみたいだな。
map_0071#297	それにしても、しょぼいシステムだよな?
map_0071#298	こいつら負け犬どもに期待できるのは、この程度ってことか。
map_0071#299	ファーン: これで最後か?
map_0071#300	なんで緑色なんだよ。
map_0071#301	ま、いいか――これ以上の火力が必要なら、あいつは逮捕されるべきだと思うぜ。
map_0071#302	どっちにしろ逮捕されるべきだけどな。
map_0071#303	この箱はもらってくぜ。とっとと行こう。
map_0071#304	「XXX2」
map_0071#305	「進行中計画メモ――P-01
map_0071#306	大量複製
map_0071#307	進行中」
map_0071#308	ファーン: チッ、お前が足引っ張らなきゃ、もっと分かったかもな。
map_0071#309	「進行中計画メモ――P-02
map_0071#310	無限生成
map_0071#311	中止」
map_0071#312	ファーン: 結局、そんなに無限じゃなかったってわけだ。
map_0071#313	「進行中計画メモ――P-00
map_0071#314	試作機
map_0071#315	計画消失」
map_0071#316	ファーン: はっ! こいつら、自分の計画を紛失しやがったのか?
map_0071#317	マジで無能だな。
map_0071#318	ぶちのめしてやろうぜ。
map_0071#319	「進行中計画メモ――P-05C
map_0071#320	不規則成長
map_0071#321	モンジャラ――くさ・どく」
map_0071#322	ファーン: あ?
map_0071#323	こいつら何言ってんだ?
map_0071#324	モンジャラってどくタイプじゃねえだろ。
map_0071#325	バカどもが。
map_0071#326	反応しない……
map_0071#327	ジュリア: あんた! ここの責任者?
map_0071#328	???: だとしたら?
map_0071#329	ジュリア: グランドビュー駅にしたことの仕返しに、顔面ドッカーンしてやるからね!
map_0071#330	???: 面白い。
map_0071#331	教えてくれ、それをやるだけの力が、お前たちにあるとでも?
map_0071#332	中の二人はリーグのリーダーだ、確かにな。
map_0071#333	相当な障害ではあるが、大した心配はしていない。
map_0071#334	残りの二人は、風に舞う煙のようなものだ。
map_0071#335	ジュリア: へえ、それであんたこそ、何様のつもりよ!?
map_0071#336	???: もう分かっているだろう。
map_0071#337	我々はチームメテオ。
map_0071#338	知る者は少ないが、我々は歴史の守り手だ。
map_0071#339	この地方の羊飼いだ。
map_0071#340	ファーン: 何が「羊飼い」だ。お前らのアジト、もう丸ごと蹴散らしてやったんだぜ!
map_0071#341	???: 好きなだけ自分を褒めるがいい、
map_0071#342	だが我々には、お前たちを止める理由など、そもそもなかった。
map_0071#343	泣き叫び暴れて、やがて眠りに落ちる幼児のように、お前たちには好きにさせておいたのだ。
map_0071#344	ここでの我々の目的は、すでに放棄されていた。
map_0071#345	お前たちの街は、かなり長い間監視されてきた。
map_0071#346	エース: 水質からポケモンの個体数、人々の生活まで、あらゆるデータを我々は握っていたのだよ!
map_0071#347	存在するものなら、大抵は我々の把握するところだった!
map_0071#348	それが今、こんな風にすべてシステムから消えてしまうとはな!
map_0071#349	???: お前たちの小さな襲撃部隊を、過大評価してしまったのが我々の誤りだった。
map_0071#350	時間はたっぷりあった。
map_0071#351	そして、この戯れにも飽きてきた。
map_0071#352	アスター。
map_0071#353	アスター: はい、ボス!
map_0071#354	???: エクリプス。
map_0071#355	エクリプス: あん?
map_0071#356	???: 雑魚どもの相手をしろ。
map_0071#357	エクリプス: あんたがそう言うなら。
map_0071#358	???: エース、お前と私でジムリーダーたちを相手にする。
map_0071#359	エース: 賭けは我々に有利、というわけだな!
map_0071#360	アスター: チームメテオのために!
map_0071#363	???: チッ、お前ら二人、もう負けたのか?
map_0071#364	無能な下っ端どもは、まともに何もできんのか?
map_0071#365	この二人はさほど強くないが、四人まとめてとなると……
map_0071#366	まあ、面白い余興ではあったな。
map_0071#367	エース。
map_0071#368	エース: 目くらまし退却、承知しました、司令官殿!
map_0071#369	消失の技は、手品師にとって定番だからね~
map_0071#370	今、我々はここに!
map_0071#371	エース: そして、いなくなった!
map_0071#372	???: 勝ったと思い込む過ちを、犯さぬことだ。
map_0071#373	お前たちのことは、覚えておこう、
map_0071#374	この地方の敵として。
map_0071#375	ジュリア: ……いなくなった?
map_0071#376	ファーン: 尻尾巻いて逃げ帰らせてやったぜ!
map_0071#377	ジュリア: よくやったね、みんな!
map_0071#378	あなたもね、マルマイン! 戻って~
map_0071#379	ジュリア: さてと……
map_0071#380	うんうん……
map_0071#381	分かった!
map_0071#382	よし! みんな、今すぐ走った方がいいよ!
map_0071#383	ファーン: あ? 今度は何やったんだよ?
map_0071#384	ジュリア: カアアアアアアアアアアアア……
map_0071#385	ファーン: おいクソ! 動くぞ!
map_0071#386	「XX7X」
map_0071#387	「進行中計画メモ――P-03
map_0071#388	無限再生
map_0071#389	ファーン: ファイル名まで消さずにいてくれたのはありがたいが、手に入るのはこれだけかよ?
map_0071#390	「進行中計画メモ――P-04
map_0071#391	系統的汚染
map_0071#392	ファーン: 嫌な響きだな。
map_0071#393	「X8XX」
map_0071#394	1階
map_0071#395	2階
map_0073#0	メインエリアのロックが解除された
map_0073#1	こんなところで何をしている?
map_0073#2	ああ、そういうことしてるんだ。
map_0073#3	ん……何か変よね?
map_0073#4	我々には成し遂げるべき目標がある。邪魔はさせん!
map_0073#5	うっ。またこれで後戻りだ。
map_0073#6	失敗を重ねるたび、少しずつ遠のいていく……
map_0073#7	ファーン: ドアに鍵がかかってる。どうせ別のシステムスイッチがあるんだろ。しょぼいセキュリティだぜ……
map_0073#8	チームメテオは必ず勝つ!
map_0073#9	ここで負けても、チームメテオは必ず上に立つ。
map_0073#10	こっちがまだ慈悲を感じてるうちに、邪魔するのをやめておけ。
map_0073#11	捕まえたぞ!
map_0073#12	オレは何も持ってねえよ。
map_0073#13	消えろ。
map_0073#14	それ以上近づくな。
map_0073#15	フン。どうせ十分時間はあったんだしな。
map_0073#16	ボスに見つかったら、お前終わりだぞ。
map_0073#17	あたしの小さな目が見つけちゃった……侵入者!
map_0073#18	あらあら、どうぞそのまま進んでいいわよ!
map_0073#19	何を待ってるの、ん?
map_0074#0	フロリニア: メテオ本部が、この門の先にあることを確認した。
map_0074#1	ジュリア: あとは開けるだけだね!
map_0074#2	この門くらい簡単に粉々にできるけど、入る時にドッカーンを使い切っちゃったんだよね。
map_0074#3	でも、あいつらが解体作業を計画してたなら、たぶん貸してもらえるようなのを持ってるはずだよ!
map_0074#4	それさえ手に入れば、ここを通るのなんて楽勝だよ!
map_0074#5	フロリニア: いずれにせよ……
