map_0763#182	家を守ってくれて本当にありがとう!
map_0764#43	グランドビューがこんなに近いのに、オパール駅は本当に必要なんでしょうか?
map_0764#44	ああ、まったく……
map_0764#45	さんざん苦労した末、リボーンの鉄道網はようやく再建されて動き出したんですけど、
map_0764#46	一つだけ問題があって。
map_0764#47	鉄道網の一部が、きちんと修理できていないんです。
map_0764#48	そこ全体が、怒ったポケモンだらけになっちゃって!
map_0764#49	ええ――分かってはいるんです。
map_0764#50	人間の集団があいつらの住処に踏み込んで、めちゃくちゃにしたんですから。
map_0764#51	でも、そもそもあそこに住み着いたのはあいつらのせいでしょ!
map_0764#52	はぁ。
map_0764#53	ねえ、あんた、アドリエンヌがいつも話してるあのエースのチャンピオントレーナーとかいう人でしょ?
map_0764#54	あのポケモンたちと話をつけてくれたりしない?
map_0764#55	誰かに頼んで、あんたのためにドアの鍵を開けとかせるから。
map_0764#56	やつらが集まってる場所への入口は、ビクスビジョンワードにあるよ。
map_0764#57	あ――荒地だった、ごめん。
map_0764#58	ビクスビジョンは元々独立したワードになる予定で、それで鉄道網をそこまで延ばしたんだけど、まあ結局うまくいかなかったのよね。
map_0764#59	で、もちろん今はそこが問題になってるってわけ。
map_0764#60	でも、何とかしてくれたら本当に助かるんだけど。
map_0764#61	鉄道網にいるあのポケモンたちと話をつけてくれたりしない?
map_0764#62	やつらが集まってる場所への入口は、ビクスビジョン荒地にあるよ。
map_0764#63	よう! あのポケモンたちを片付けてくれたんだって!
map_0764#64	本当に助かったぜ、相棒! これで街のあの区画もきれいにできる。
map_0764#65	ところで、作業員たちがあの辺りを調べに行った時、これを見つけたらしいぜ。
map_0764#66	ああ、それともう一つあったな――
map_0764#67	報酬だと思ってくれ。
map_0764#68	報酬ってことでな。
map_0764#69	さて、ビクスビジョンワードの計画について考えてみましょう。
map_0764#70	まだ遠い未来の話かもしれないけど、リボーン一の文化的なワードになる可能性を秘めていると思うんです!
map_0764#71	リボーンシティが以前ほどひどい状態に戻りかけたとき、すぐに対応できるよう、方針の見直しに力を入れてきました。
map_0764#72	何を罰するかについて主観的すぎるって言う人もいるけど、あたしに言わせれば、何もしないよりずっとましよ!
map_0764#73	ヴィクトリアさん、いつもストレス溜まってそうよね!
map_0764#74	もっと何かしてあげられたらいいんだけど。
map_0764#75	たまにコーヒーに誘ってみるんだけど、本当は学校が恋しいだけみたい。
map_0764#76	飲み物じゃ、それは解決できないわよね。
map_0764#77	カントー・ジョウト地方から、また6人のトレーナーがこちらの地方に向けて出発しました。
map_0764#78	事前に、きちんと登録の準備をしておいてください。
map_0764#79	今朝出勤したら、アドリエンヌが机に突っ伏して寝落ちしてたわ。
map_0764#80	またしても。
map_0764#81	もう、古い部長室をあの子用の寝室に改造したほうがいいんじゃないかしら。
map_0764#82	部長室
map_0764#83	トレーナーデータセンター
map_0764#84	御三家ポケモン保管室
map_0764#85	法務室
map_0764#86	RPRPオフィス
map_0764#87	検査官室
map_0764#88	企業部
map_0764#89	あなたにお会いできて、いつも光栄です。
map_0764#90	どこから来たのか知らないけど、この子たちってかわいいと思うの。
map_0764#91	雰囲気がいい感じになるし。
map_0764#92	従業員の士気にもいいわよね。
map_0764#93	でも、室内に雪を降らせるのだけはやめてほしいけど。
map_0764#94	このオフィスは、アズリン再生計画のためのものです。
map_0764#95	計画に十分な資金が確保され次第、あの地域のポケモンたちを万全な状態にし、リボーンでの未来を確かなものにするために全力を尽くします。
map_0764#96	ああ、こんにちは。\PN、でしたよね?
map_0764#97	アズリン自然センターの再建に資金を出してくださったのは、あなただと伺いました。ポケモンたちの未来に関心を寄せてくださり、本当にありがとうございます!
map_0764#98	もう少しだけお力をお借りできるなら、島のセンターがまだ入手できていないポケモンのサンプルを待っているとの連絡を受けています。
map_0764#99	もしお時間とご興味があれば、アズリンセンターまで足を運んで、何か力になれることがないか見ていただけませんか?
map_0764#100	あら、あなただったのね!
map_0764#101	さきほど、あなたがアズリンセンターを助けてくれたと連絡がありました!
map_0764#102	リボーンのポケモンたちの未来を守るために、わざわざ力を貸してくださって、本当にありがとうございます!
map_0764#103	こちらを――少し前に、新しいセンターを建設している時に見つけたものです。
map_0764#104	役立てていただければ幸いです!
map_0764#105	アズリン島は、きっと繁栄していくでしょう!
map_0764#106	そしてそこから、リボーンのすべてのポケモンも、共に栄えていくのです!
map_0764#107	誰だ……ああ。お前が\PNか。
map_0764#108	そう。あたしについて知っておくべきことは、名前がカナヤだってことだけ。
map_0764#109	アメがホウエンから呼び寄せたのよ、手伝わせるために……その、まあ……そういうこと。
map_0764#110	いい、再生計画が本格的に動き出してから、
map_0764#111	各地から来る新人トレーナーであたしたちは手一杯で、新人に配る御三家ポケモンが不足してるの。
map_0764#112	そこであんたの出番ってわけ。
map_0764#113	タマゴが必要なの。とりあえず、いつもの御三家のね。
map_0764#114	タマゴを3個持ってくるごとに、報酬をあげることになってるわ。
map_0764#115	で、手伝う気はある、ない?
map_0764#116	よし。最高。
map_0764#117	このクソ仕事を早く片付けてくれれば、あたしももっと生産的な仕事に回してもらえるんだから。
map_0764#118	それじゃ、ドアのそばにある表を見て。
map_0764#119	必要なもののリストが書いてあるから。
map_0764#120	ま、いいわ。どうせあんたの助けなんていらないし。
map_0764#121	必要なら、あたし自身で外に出てやるから。
map_0764#122	それに、報酬だって全部あたしのものになるしね。
map_0764#123	でも、まあいいわ。あんたの損よ。
map_0764#124	ああ、また来たの。タマゴ、また持ってきた?
map_0764#125	そうなら、渡して。
map_0764#126	よし。前と同じね。何タイプ? くさ、みず、それとも ほのお?
map_0764#127	じゃあ、とっとと消えて、あたしの時間を無駄にしないで。
map_0764#128	このタマゴたちは、ちゃんといい家に行くから。
map_0764#129	今さら情を移さないでよね。
map_0764#130	はぁ、まったく……
map_0764#131	ああ、あんたか。
map_0764#132	タマゴ、ちゃんと持ってきたんでしょうね。
map_0764#133	持ってるの?
map_0764#134	まったく、やっとかよ。
map_0764#135	もう忘れてるんじゃないかと思ってたわ。
map_0764#136	よし、それで。タマゴのタイプは? くさ、みず、それとも ほのお?
map_0764#137	じゃあ、早くして。この部屋に閉じこもってるのにもう飽きたんだから。
map_0764#138	何か他のことがしたいの。
map_0764#139	ここでボーッと突っ立ってるより、もう少し生産的なこととかね……クソ。
map_0764#140	くさタイプね? よし。
map_0764#141	は? あんた、バカなの?
map_0764#142	フシギダネのタマゴなら、もうもらったわよ。
map_0764#143	さっさと外に出て、違うのを持ってきなさいよ!
map_0764#144	ああ、フシギダネのタマゴね?
map_0764#145	まあ、いいわ。これで十分。
map_0764#146	ちょっと、何よそれ? チコリータのタマゴなら、もうもらったってば!
map_0764#147	さっさと外に出て、違うのを見つけてきなさいよ!
map_0764#148	あら? チコリータのタマゴを持ってきたの?
map_0764#149	まあ、それでいいわ……
map_0764#150	ん……アルセウスに誓って、あんたがバカじゃないことを願うわ。
map_0764#151	キモリのタマゴなら、もうもらったんだけど!
map_0764#152	時間を無駄にしないで、違うのを持ってきて!
map_0764#153	何これ? キモリのタマゴ?
map_0764#154	まあ……少なくとも、かっこいいくさタイプではあるわね。
map_0764#155	待って……これ、ナエトルのタマゴじゃない! それなら、もうもらったわよ!
map_0764#156	さっさと外に出て、
map_0764#157	新しいのを持ってきなさいよ! もう!
map_0764#158	ん? これ、ナエトルのタマゴみたいね。
map_0764#159	まあ……いいでしょう。それはまだ持ってなかったし。
map_0764#160	はぁ……マジで、また ツタージャ のタマゴ持ってきたの?
map_0764#161	それ、もうもらったってこと、あんたのバカな頭でも分かってるわよね?
map_0764#162	新しいタマゴを持ってきて! まったく……
map_0764#163	あら? ああ。これは ツタージャ のタマゴね。
map_0764#164	よし、それはまだ持ってなかったわ。
map_0764#165	ヘビが特別好きってわけじゃないけど……
map_0764#166	燃えてるへビなら別だけど……
map_0764#167	今回は何を持ってきたの?
map_0764#168	……ちょっと。ハリマロンのタマゴなら、前にもらったでしょ!
map_0764#169	ちょっと、何なのよ?
map_0764#170	それは持って帰って、新しいタマゴを持ってきて。
map_0764#171	分かった? よろしい。
map_0764#172	ハリマロンね、なるほど。
map_0764#173	よし、それはまだ持ってなかったから、これでいいわ。
map_0764#174	それじゃ、また別のタマゴ持ってきたの?
map_0764#175	よし、見せて。
map_0764#176	まったく、ちょっと……そんなに難しいことじゃないでしょ!
map_0764#177	新しいタマゴが必要なの。
map_0764#178	前に持ってきたタマゴじゃなくて。
map_0764#179	これのどこが難しいのよ?
map_0764#180	外に戻って、新しいのを持ってきなさい!
map_0764#181	はい、今回持ってきたものを見せて。
map_0764#182	モクローのタマゴね? まあ……これでいいわ。
map_0764#183	みずタイプね? よし。
map_0764#184	ゼニガメのタマゴなら、もうもらったわよ!
map_0764#185	さっさと外に出て、違うのを持ってきなさいよ!
map_0764#186	ああ、ゼニガメのタマゴね?
map_0764#187	はぁ、何なのよ、まったく……
map_0764#188	ワニノコのタマゴなら、もうもらったんだけど!
