map_0257#39	だから、嫌いなんです。
map_0269#44	お前ごときに、一体何が成し遂げられると思っていたのだ?
map_0269#45	ヴィクトリア: 皆と一緒なら、と思っていました……
map_0269#46	ボレアリス: その皆から、自ら離れることを許した、というわけか。
map_0269#47	ヴィクトリア: 街を守るために――
map_0269#48	ボレアリス: この街は、大地の傷のように膿んでいるだけの場所だ。
map_0269#49	目的においても、手段においても、お前は未熟さを露呈している。
map_0269#50	現実に根拠のない理想のために、そして誤った行動でも何もしないよりましだと言い張る愚かな自尊心のために、お前はヒーローごっこを演じているにすぎない。
map_0269#51	これは、唯一あり得た結末だ。
map_0269#52	だが、終わったことは終わったことだ。
map_0269#53	今日見たものを報告させるわけにはいかない。
map_0269#54	クロバット。
map_0269#55	彼女を、どこか安全な場所へ連れて行く。
map_0269#56	囚われの身となれば、数々の過ちを振り返る時間には事欠かないだろう。
map_0269#57	？？？: だから言ったのに、こいつら早く来すぎだって!
map_0269#58	この機械をもっと速く動かしてたら……
map_0269#59	？？？: だめだ! モジャンボがこれ以上耐えられない!
map_0269#60	？？？: 速度は、すでに最適化済みだ。
map_0269#61	このポケモンがリーダーたちを捕らえられただけでも、感謝すべきだろう。
map_0269#62	？？？: そんなに何でもうまくやれるなんて、本当に強いんだね、モジャンボ!
map_0269#63	？？？: おい! もう一つの問題、いつまで無視するつもりだ?
map_0269#64	？？？: あ、こんにちは。えっと、僕の名前はルミ――
map_0269#65	？？？: 入ってきたのは四人だけか? もっといると思っていたが。
map_0269#66	四人程度なら、簡単に片付く。
map_0269#67	？？？: あの、自己紹介した方が礼儀正しいと思うんですけど。僕は――
map_0269#68	？？？: もう自己紹介は済んだだろ、ルミ。
map_0269#69	しかも、必要もないのにな!
map_0269#70	だが、ここを取り仕切ってるのはオレだ――ゼロだ!
map_0269#71	？？？: 私はイヴ。
map_0269#72	私たち三人をまとめて、ゼルと呼びます。
map_0269#73	ゼル: それに、PULSEには指一本触れさせないからな!
map_0269#74	ゼル: でも、たぶんそれが目当てで来たんですよね?
map_0269#75	ここの成長は、全部この機械のせいなんです。
map_0269#76	しかも、イヴが全部一人で作ったんですよ!
map_0269#77	ゼル: その通り。リンクシステムは、単純な混成増幅機構です。
map_0269#78	ゼル: あの機械があれば、どんな小さな根っこでも、巨大な破壊兵器の樹木に変えられるんだ!
map_0269#79	止められると思うか? やってみろよ!
map_0269#81	ゼル: ゼロ、次からは、任務の要を見せびらかすんじゃなくて、自分たちのポケモンで戦いましょう。
map_0269#82	ゼル: ごめんね、モジャンボ……僕が止めるべきだった。
map_0269#83	ゼル: オレに文句言うな!
map_0269#84	この機械があれば強くなるって、お前が言ったんだろ!
map_0269#85	ゼル: あなたの判断ミスが、主な要因です。
map_0269#86	いずれにせよ、モジャンボが戦闘不能になった以上、この悪性の成長は後退していくでしょう。
map_0269#87	ゼル: それじゃ、全部元通りになるの?
map_0269#88	ゼル: その通りです。
map_0269#89	したがって、ここに留まるのは非生産的です。
map_0269#90	装置を回収し、後退が始まっている間に姿を消しましょう。
map_0269#91	ゼル: おい、\PNだったよな?
map_0269#92	これで終わったなんて思うなよ、まだまだ全然だ。
map_0269#93	今回は芽生えの段階で捕まえられたかもしれないけど、本気のオレたちを倒すなんて、お前には万に一つも無理だからな。
map_0269#94	忘れんなよ!
map_0270#0	……＊もぐもぐもぐ＊
map_0270#1	……＊もぐもぐ ゲホッゲホッ＊
map_0270#2	……＊ゲプー＊
map_0272#0	サファイラ: よく来たね、\PN。
map_0272#1	あたしが黙ってやられるとでも思った?
map_0272#2	あの女には、正直不意を突かれたよ。
map_0272#3	あたしの家族のこと知ってるみたいだったけど、あたしには見覚えがなかった。
map_0272#4	でも、もうそんなことはどうでもいい。
map_0272#5	こっそり戻って、あいつらの基地はもう壊滅させておいた。
map_0272#6	それと、あんたへのプレゼントもある。
map_0272#7	サファイラ: チームメテオは、この品物を必死になって手に入れようとしてた。
map_0272#8	元の持ち主に返したところで、標的にされるだけであまり意味はない。
map_0272#9	あたしが持ってるわけにもいかない――あいつらは、あたしの居場所を知ってるから。
map_0272#10	あんたがこれを持って、出ていってほしい。
map_0272#11	あたしたちは、他の場所に移る。
map_0272#12	北の方、カーネリア地方には、二つの街がある――
map_0272#13	ラブラドラとカルセノン。
map_0272#14	あそこのジムは、あたしとシャルロットのもの。
map_0272#15	あんたは自分の道を進んで。あたしは他のみんなを、安全にそこまで連れて行くから。
map_0272#16	この先の道の北東が、あんたの進む道。
map_0272#17	チームメテオが鍵を狙ってあんたを追ってきても、守り抜けると信じてる。
map_0272#18	気をつけて。
map_0272#19	また会おう。
map_0273#0	鍵が結晶に反応した!
map_0277#1	はい
map_0277#2	いいえ
map_0280#0	\PN!
map_0280#1	ファーン: はっ……オレのこと、もう見納めだとでも思ってたか?
map_0280#2	まだまだ甘いぜ!
map_0280#3	お前はオレをボコボコにして、プライドを地に落として、今もまだ這い上がろうとしてる恥の井戸に蹴り落とした……
map_0280#4	……でも、オレはまだここにいる!
map_0280#5	それでオレが立ち直れないとでも思ってるなら、大間違いだぜ!
map_0280#6	てか、正直に言うと……
map_0280#7	お前がリンのバカな顔面を蹴り飛ばしてチャンピオンになったこと、正直ちょっと嬉しいんだよな。
map_0280#8	お前がトップにいるなら、負けたのもそんなに恥ずかしくないし。
map_0280#9	それに、あの女に思い知らせてやったのも良かったし。
map_0280#10	だから、それには感謝してるぜ。
map_0280#11	オレの顔のこと、できる限りのことはやってくれたけど、これが限界だって言われたよ。
map_0280#12	最初は、人前に出るのすら恥ずかしかった。
map_0280#13	でもな?
map_0280#14	これでも、オレの顔だ――他に代わりはないんだよ!
map_0280#15	それを誇りに思えないっていうなら、それは他の奴らの問題だ!
map_0280#16	オレは自分の失敗を堂々と身にまとって、それでも笑い続けてやる!
map_0280#17	……で、お前も聞いたよな?
map_0280#18	ミュウツーの話。
map_0280#19	オレだって、ずっと尻を落ち着けてたわけじゃないんだぜ。
map_0280#20	お前が伝説のポケモンを捕まえたり、火消しに走り回ったりしてる間、オレだって同じことをしてたんだ!
map_0280#21	油断すんなよ――お前のチャンピオンの座、いずれいただくからな!
map_0280#22	このミュウツーは、お前を倒すための足がかりってわけだ。
map_0280#23	……まあ、今ここで称号を奪うことはできないけど、軽くバトルしないか?
map_0280#24	勝った方が、ミュウツーに先に挑戦する権利を得る。
map_0280#25	やろうぜ!
map_0280#27	ファーン: ……チッ。
map_0280#28	いい勝負だったぜ、チャンプ。
map_0280#29	今回は、正々堂々とお前に負けたよ。
map_0280#30	次は違う結果になるだろうけど、約束は守る。ミュウツーへの初挑戦権は、お前のものだ。
map_0280#31	でも、お前の後片付けは、オレがきっちりやりに来るからな!
map_0280#32	競争だ!
map_0283#0	木の樹皮がむき出しになっている。あまいミツを塗りますか?
map_0283#1	木の樹皮に、あまいミツを塗り広げた。
map_0283#2	野生のポケモンが、すぐさまあまいミツに群がってきた!
map_0283#3	樹皮はあまいミツで覆われている。後で戻ってくれば、ポケモンが現れるかもしれない。
map_0283#4	敵意むき出しのヘラクロスが攻撃してきた!
map_0283#5	カイロスが感謝するようにうなずいた。
map_0283#6	カイロスはすぐに逃げ去った。
map_0283#7	怒ったカイロスが攻撃してきた!
map_0283#8	ヘラクロスが感謝するように頭を下げた。
map_0283#9	ヘラクロスがクモの巣を引き裂いた!
map_0283#10	ヘラクロスは、穏やかに立ち去った。
map_0283#11	カイロスが丸太を粉々に砕いた!
map_0283#12	花の香りが、\PNをぼんやりとさせる……
map_0283#13	\PNのはなのおまもりが、光り始めた! 取り出しますか?
map_0283#14	お守りが光の中に消えていった!
map_0283#15	はい
map_0283#16	いいえ
map_0284#0	木の樹皮がむき出しになっている。あまいミツを塗りますか?
map_0284#1	木の樹皮に、あまいミツを塗り広げた。
map_0284#2	野生のポケモンが、すぐさまあまいミツに群がってきた!
map_0284#3	樹皮はあまいミツで覆われている。後で戻ってくれば、ポケモンが現れるかもしれない。
map_0284#4	敵意むき出しのヘラクロスが攻撃してきた!
map_0284#5	カイロスが感謝するようにうなずいた。
map_0284#6	カイロスが丸太を粉々に砕いた!
map_0284#7	カイロスはすぐに逃げ去った。
map_0284#8	怒ったカイロスが攻撃してきた!
map_0284#9	ヘラクロスが感謝するように頭を下げた。
map_0284#10	ヘラクロスがクモの巣を引き裂いた!
map_0284#11	ヘラクロスは、穏やかに立ち去った。
map_0284#12	……仲間になりたそうにしている。カイロスを迎え入れますか?
map_0284#13	……仲間になりたそうにしている。ヘラクロスを迎え入れますか?
map_0284#14	花の香りが、\PNをぼんやりとさせる……
map_0284#15	\PNのはなのおまもりが、光り始めた! 取り出しますか?
map_0284#16	お守りが光の中に消えていった!
map_0284#17	はい
map_0284#18	いいえ
map_0285#0	怒ったバッフロンが攻撃してきた!
map_0285#1	ケンタロスが勝ち誇るように吠えた!
map_0285#2	ケンタロスは、感謝して素直になっているようだ。
map_0285#3	ケンタロスに乗ってみますか?
map_0285#4	怒ったケンタロスが攻撃してきた!
map_0285#5	バッフロンが勝ち誇るように吠えた!
map_0285#6	……バッフロンはやみくもに突進して去っていった!
map_0285#7	……バッフロンが何かにぶつかった音がした!
map_0285#8	ああ、ここにいるのが、野生のトレーナー、自然の生息地での姿だ……
map_0285#9	よく見るがいい、彼らの攻撃の様子を!
map_0285#10	スティーブ: ああ、こりゃたまげた!
map_0285#11	激闘の末に勝利を収め、野生のトレーナーはゆっくりと巣穴へと戻っていく。レンジャーは静かに拗ねたまま残される……
map_0285#12	ファーン: 何か虫みたいなのが這い回ってる音がすると思ったら。
map_0285#13	やっぱり当たりだったな。
map_0285#14	よお。
map_0285#15	ジムのために、ここまで来たのか?
map_0285#16	東にでかい城があって、それがジムになってる。
map_0285#17	オレはもう8個バッジ持ってる――余裕だったぜ。
map_0285#18	はっ、お前まだ7個かよ?
map_0285#19	もう遅れてるじゃねえか。
map_0285#20	オレより先に始めたはずなのにな。
map_0285#21	間違ってると思うか?
map_0285#22	かかってこいよ!
map_0285#24	ファーン: まあいいさ。どうでもいいけどな。
map_0285#25	どうせ、本当のトップが誰か、みんなわかってるだろうし。
map_0285#26	てか、カーネリアへの道、しょーもない理由で封鎖されてるぞ。
map_0285#27	警備の奴らが仕事中に居眠りでも決め込んだみたいだな。
map_0285#28	大した仕事っぷりだよ。
map_0285#29	それで、オレはあのノーマルタイプのリーダーを探しに行くとこだ。
map_0285#30	どっかのバカなガキで――
map_0285#31	ラピスの自分の持ち場から逃げ出したらしいぜ?
map_0285#32	マジで、この辺の奴らって、みんな仕事をぶち壊すことに命かけてんのか?
map_0285#33	まあ、それでお前のことも説明つくけどな。
map_0285#34	あのバカな城のジム以外、どこにも行けなくて頑張れよな!
map_0285#35	じゃあな、負け犬!
map_0285#36	このファイルのアベンチュリンの森 / 1番道路のパズルをスキップしますか?
map_0285#37	別のセーブファイルで、アベンチュリンの森 / 1番道路のパズルの完了が検出されました。
map_0285#38	本物のトレーナーってやつを見せてやるよ。
map_0285#39	ブライアン: フン……努力値の調整をもっとしっかりやらないと……
map_0285#40	まったく、こんな調子でどうやってリーダーに勝てっていうんだ……
map_0285#41	のんびり散歩するのも好きだけど。バトルの方がもっと好きなんだ!
map_0285#42	ルーファス: 後悔などしていない!
map_0285#43	さあ、行きなさい、旅人よ。
map_0285#44	やばっ、ブースターって見たことある?!?! めっちゃ可愛くてふわふわで、しかも体温9000度まで上がるって知ってた?! ほら、うちの子、触ってみて!
map_0285#45	ハーク: 可愛くて才能もあるでしょ?!
map_0285#46	ふわっふわ~! もう無理、死ぬ。
map_0285#47	ブースター: ブウウウスター!
map_0285#48	ブースターを撫でますか?
map_0285#49	ブースター: ブゥース~
map_0285#50	とてもふわふわしている! でも、少し手が熱い……
map_0285#51	ブースター: ……ブー。
map_0285#52	ブースターが、がっかりしたように目をそらした。
map_0285#53	ブースター: ブー! ブー~!
map_0285#54	ブースターはあなたを覚えている!
map_0285#55	ふわふわの毛が手を熱くするが、心は温まる。
map_0285#56	ブースター: ブゥー……
map_0285#57	ブースターが、すねたようにあなたを見つめる。
map_0285#58	はい
map_0285#59	いいえ
map_0286#0	怒ったバッフロンが攻撃してきた!
map_0286#1	ケンタロスが勝ち誇るように吠えた!
map_0286#2	ケンタロスは、感謝して素直になっているようだ。
map_0286#3	ケンタロスに乗ってみますか?
map_0286#4	怒ったケンタロスが攻撃してきた!
map_0286#5	バッフロンが勝ち誇るように吠えた!
map_0286#6	……バッフロンはやみくもに突進して去っていった!
map_0286#7	……バッフロンが何かにぶつかった音がした!
map_0286#8	そのミルタンクは落ち着いていて、首輪をつけている。
map_0286#9	ケンタロスが、ミルタンクをじっと見つめている。
map_0286#10	ミルタンク先輩は、気づいていないようだ。
map_0286#11	ミルタンクが見つめ返し、ケンタロスの瞳に見入っている。
map_0286#12	この場の艶っぽい緊張感は、ナイフで切れそうなほどだ。
map_0286#13	ミルタンクが頬を赤らめ、ケンタロスに身を寄せる。ケンタロスはミルタンクの首元に息を吹きかけながら、静かに唸った。
map_0286#14	なんだか、今すぐ降りたい気分になる。
map_0286#15	ミルタンクが恥ずかしそうに鳴き、ケンタロスに頭を下げる。
map_0286#16	これから「フィフティ・シェイズ・オブ・ブル」の実写版を目撃することになりそうな予感がする。
map_0286#17	ミルタンクが、あなたの持っているオレンのみに気づいた。
map_0286#18	ミルタンクにそのみを与えますか?
map_0286#19	\PNはオレンのみを渡した。
map_0286#21	……
map_0286#22	………
map_0286#23	オレたちに勝負を挑む気か!?
map_0286#24	エリオット: くそ、使えねえポケモンだな!
map_0286#25	こんなバカなポケモン、交換にでも出しちまうか。
map_0286#26	はい
map_0286#27	いいえ
map_0287#0	怒ったバッフロンが攻撃してきた!
map_0287#1	ケンタロスが勝ち誇るように吠えた!
map_0287#2	ケンタロスは、感謝して素直になっているようだ。
map_0287#3	ケンタロスに乗ってみますか?
map_0287#4	怒ったケンタロスが攻撃してきた!
map_0287#5	バッフロンが勝ち誇るように吠えた!
map_0287#6	……バッフロンはやみくもに突進して去っていった!
map_0287#7	……バッフロンが何かにぶつかった音がした!
map_0287#8	気をつけろ!
map_0287#9	サリー: へっ、よし来た。
