map_0287#10	気を抜くなよ、相棒。誰も怪我してほしくないからな。
map_0290#32	これから「フィフティ・シェイズ・オブ・ブル」の実写版を目撃することになりそうな予感がする。
map_0290#33	ミルタンクが、あなたの持っているオレンのみに気づいた。
map_0290#34	ミルタンクにそのみを与えますか?
map_0290#35	\PNはオレンのみを渡した。
map_0290#37	……
map_0290#38	………
map_0290#39	ミルタンクが、苦しそうにうめいている。
map_0290#40	ミルタンクは、ひどく居心地悪そうにしている。
map_0290#41	ミルタンクは、眠っているようだ。
map_0290#42	この二匹を二人きりにしない方がいいと判断した。さもないと、タマゴがどこから来たのか、わからなくなりそうだ。
map_0290#43	ミルタンクとケンタロスが、しばらくお互いを見つめ合っている。
map_0290#44	このミルタンク、昼日中から牛たちを庭に呼び寄せるタイプなんじゃないかと思えてくる。
map_0290#45	それ、進め!
map_0290#46	ネリー: おっと、そこまで。
map_0290#47	あんた、なかなかの戦士だね。
map_0290#48	ホウ!
map_0290#49	オルタン: フーハ!
map_0290#50	ぐっ……やりすぎた。
map_0290#51	ああ、また誰か壁の外に出てきたか。外の方がいいだろう?
map_0290#52	アルミン: お前の気概、誰かを思い出すな。
map_0290#53	ここの方が危険だとしても、壁の中に閉じ込められてるより、賭けに出る方がマシだ。
map_0290#54	サンディ: あ、よお、\PN!
map_0290#55	また会えて嬉しいよ!
map_0290#56	なんか、しばらく存在から消えてたって聞いたけど?
map_0290#57	まあ、そういうこともあるよな、気にすんな!
map_0290#58	？？？: あ、こんにちは!
map_0290#59	ナイトクラブから来た人?
map_0290#60	助かる! ちょうど手を貸してほしかったんだ!
map_0290#61	オレの名前はサンディ! あらゆるポケモンのために活動してる活動家だ!
map_0290#62	とにかく、ここで手伝ってくれないか?
map_0290#63	このミルタンク、すごく具合が悪そうなんだけど、なぜかセンターの誰もどうにかしようとしないんだ!
map_0290#64	オレンのみを食べすぎて、乳搾りが必要なだけだと思うんだけど……
map_0290#65	でなきゃ、妊娠してるかだな。
map_0290#66	でも、絶対にどっちかだ!
map_0290#67	待てよ、ポケモンってタマゴを産むのに、妊娠もするのか?
map_0290#68	タマゴで妊娠するってあり得るのか???
map_0290#69	タマゴ妊娠!?!!?
map_0290#70	まあ、いいや!
map_0290#71	ミルタンクの体温を測れれば、何が悪いのかわかるはずだ!
map_0290#72	もう、その、中から体温計を「借りて」きたんだけど、
map_0290#73	一番正確に測る方法は、その、直腸から、って読んだ気がするんだ。
map_0290#74	問題は、こいつに測らせてもらうのに、ずっと苦労してることでさ!
map_0290#75	それで、こういう計画だ。
map_0290#76	オレがこいつを押さえてるから、お前が体温計を入れて測ってくれ、いいか?
map_0290#77	だめ?
map_0290#78	……ああ、そうだ! ここで報告された異常現象を調べるはずだったんだ!
map_0290#79	うーん……
map_0290#80	でも、こんなに苦しんでるかわいそうな生き物を、放っておけないんだよ!
map_0290#81	何としても、こいつを助けるんだ!
map_0290#82	異常現象を探すの、任せてもいいか?
map_0290#83	集めた情報だと、北アベンチュリンの森にひとつ、南アベンチュリンの森にひとつ、それとこの近くのどこかにもうひとつあるはずだ。
map_0290#84	オレもここで精神的サポートするから!
map_0290#85	忘れちゃったら、いつでも聞いてくれよな!
map_0290#86	サンディ: なあ、ベイビー、頼むよ、これはお前のためなんだから!
map_0290#87	ちょっと入れさせてくれよ!!!
map_0290#88	ああ、あれがどこにあったか、思い出させてほしいのか?
map_0290#89	頑張れよ!
map_0290#90	オレにも幸運を祈ってくれ……絶対必要だから。
map_0290#91	サンディ: うう、頼むよ、ちょっと入れさせて――
map_0290#92	あ、\PN……
map_0290#93	そっちはうまくいってるか?
map_0290#94	こっちは全然だよ……
map_0290#95	やっと体温は測れたんだけど、そしたら体温計が中で引っかかっちまって!
map_0290#96	それで、もう抜かせてくれないんだ!!!
map_0290#97	とにかく、また思い出させようか?
map_0290#98	なあ、仕事交代しないか?
map_0290#99	ぶー……
map_0290#100	このケンタロスは完全に野生だ!
map_0290#101	……乗ってみますか?
map_0290#102	……ケンタロスが突進して去っていった!
map_0290#103	振り落とされた!
map_0290#104	サンディ: よお、\PN……
map_0290#105	……いい知らせだ!
map_0290#106	やっと体温計がお尻から出てきたよ!……
map_0290#107	……それと一緒に、どうやら自然センターのスタッフのシュークリームの在庫、丸ごと出てきた……
map_0290#108	あの後、体を洗わせてもらったんだけど、みんながこれに関わりたがらなかった理由が、今ならわかるよ……
map_0290#109	\PN、あれは……
map_0290#110	ひどかった……
map_0290#111	至る所に飛び散ってた……
map_0290#113	ちょっと時間が必要だ……
map_0290#114	サンディ: 見つ……
map_0290#115	全部見つかったか?
map_0290#116	それは……良かった。
map_0290#117	オレは……もう戻るよ……
map_0290#118	コールマン: ええと……
map_0290#119	手伝ってくれてありがとな、
map_0290#120	ああ、「手伝い」って言うのは、オレがめちゃくちゃトラウマな経験をしてる間に、全部代わりにやってくれたことだけど……
map_0290#121	ナイトクラブに戻ったら、現場仕事はもう辞めようと思う。
map_0290#122	デスクワーク、良さそうじゃないか?
map_0290#123	屋内で。
map_0290#124	空気清浄機付きで。
map_0290#125	ミルタンクとは二度と関わらない。
map_0290#126	それって……本当に素敵……
map_0290#127	はい
map_0290#128	いいえ
map_0291#0	怒ったケンタロスが攻撃してきた!
map_0291#1	バッフロンが勝ち誇るように吠えた!
map_0291#2	……バッフロンはやみくもに突進して去っていった!
map_0291#3	怒ったバッフロンが攻撃してきた!
map_0291#4	ケンタロスが勝ち誇るように吠えた!
map_0291#5	ケンタロスは、感謝して素直になっているようだ。
map_0291#6	ケンタロスに乗ってみますか?
map_0291#7	1番道路―
map_0291#8	< - リボーンシティ\n^ - アゲートシティ\nv - ヴァンハネン城
map_0291#9	下に何か書かれている……
map_0291#10	「ファーン参上\n\PNは負け犬」
map_0291#11	大丈夫か、旅の人?
map_0291#12	メディウス: 大丈夫そうだな。だが気をつけろよ。
map_0291#13	アゲートシティはほとんど閉鎖されてる。理由はわからんが。
map_0291#14	あっちがクリスタル渓谷だ。どうやって降りればいいんだろうな。\nああ、まあいいか。バトルでもどうだ?
map_0291#15	ロッシュ: ハイキングに戻った方がよさそうだ。
map_0291#16	あの渓谷は見事だと聞く。自分の目で確かめたいものだ。
map_0291#17	このケンタロスは完全に野生だ!
map_0291#18	……乗ってみますか?
map_0291#19	……ケンタロスが突進して去っていった!
map_0291#21	……
map_0291#22	………
map_0291#23	振り落とされた!
map_0291#24	はい
map_0291#25	いいえ
map_0292#0	ドアは固く閉ざされているようだ。
map_0292#1	「ヴァンハネン城」
map_0292#2	\PNはフィールド効果解説書05を手に入れた!
map_0292#3	チェスアリーナの情報が見られるようになった!
map_0292#4	そこで止まれ!
map_0292#5	……説得力あったか?
map_0292#6	ラドマス: いずれにせよ、奴らを騙すには十分だったようだね。
map_0292#7	前に言わなかったかね――
map_0292#8	適材適所の帽子を選べ、と?
map_0292#9	もっとも、そもそもなぜ私がこんな衣装を持っていたのか、疑問に思うかもしれないがね。
map_0292#10	これでは、まるで怪しい人物のようだ。
map_0292#11	さあ、急いで、ついてきなさい。
map_0292#12	ラドマス: 長くはいられないが、いくつか明らかにしておこう。
map_0292#13	もう聞いているだろうが、奴らはルナを捕らえた。
map_0292#14	残念ながら、私にはルナにテレポートも教えておく先見の明がなかった。
map_0292#15	もしできていたなら……
map_0292#16	それより重要なのは、イライアスを使った策が、うまくいかなかったようだということだ。
map_0292#17	なにしろ、普通のさいみんじゅつは、そう長くは続かないだろう?
map_0292#18	それを超える手段には、相当な力が必要になる。そんなものが存在しないことを、願うしかあるまい。
map_0292#19	だが、論理的な結論だけでは、彼を動かせなかったようだ。
map_0292#20	それでも、次の一手は予測できる。
map_0292#21	彼女は、リボーンシティの7番街あたりにいるだろう。
map_0292#22	私自身の事情で、今は姿を見せるわけにはいかない。
map_0292#23	私の代わりに、行ってもらいたい。
map_0292#24	その場所が見つからなければ、街の裏路地の事情に少し詳しい者に連絡することを勧める。
map_0292#25	街のギャングのリーダーか何かで十分だろう。
map_0292#26	誰か、そういう人物に心当たりはあるかね?
map_0292#27	ついでに言うと、このアメジストのペンダントは、もう少し私に預けておいてもらいたい。
map_0292#28	かつて、これらの「鍵」が旅の商人から購入されたという話を聞いたことがある。
map_0292#29	それが誰だったのか、気になるところだ。
map_0292#30	前にも言ったが、すべてが白か黒か、闇か光か、というわけではない。
map_0292#31	間違いが、時には正しいこともある。
map_0292#32	内が外であることも多い。
map_0292#33	そして、上こそが下に至る唯一の道であることもある。
map_0292#34	必要なのは、行間を読むこと――
map_0292#35	いや、むしろ、その間を歩くことだ。
map_0292#36	また会う日まで、さようなら。
map_0292#37	捕まえたぞ!
map_0292#38	リカルド: くそ、もういい加減学習しろって話だよな。
map_0292#39	俺を倒しても、逃がしはしないぞ!
map_0292#40	待て、どうやってここまで来たんだ? 封鎖してたはずだろ。
map_0292#41	ヒルダ: もう外に出たんでしょ、なんであたしと戦って時間無駄にしてるわけ?
map_0292#42	他の奴らにも伝えといた方がいいかもね。あいつらが何とかするでしょ。
map_0292#43	侵入者発見!
map_0292#44	クリストファー: お前、俺たちが捕まえるはずだった奴じゃないか? 中にいるはずだったろ?
map_0292#45	……ん?
map_0292#46	あー、どうも?
map_0292#47	アマ: それで、大人しく捕まってはくれないわけ? お願い?
map_0292#48	丁寧にお願いしてもダメ?
map_0293#0	？？？: ようこそ、挑戦者よ。
map_0293#1	どうぞ、こちらへ。
map_0293#2	ルナ: サーナイト! 戻ってきたのね!
map_0293#3	サーナイト: もちろんですとも、あなた~
map_0293#4	ルナ: ああ、寂しかったわ!
map_0293#5	もう、あんな風にいなくなったりしないでね、お願い。
map_0293#6	サーナイト: あらあら~
map_0293#7	人生にちょっとした刺激がなくちゃ、女の子とは言えないでしょう?
map_0293#8	それに、輝く鎧のエルレイドが、わざわざ助けに来てくれましたのよ!
map_0293#9	ラドマス: それほど大した救出でもなかったが、まあその通りだ。
map_0293#10	認識されていた危機は、回避された。
map_0293#11	ルナ: ああ、ご主人様、なんて素晴らしいのでしょう!
map_0293#12	あなたにお仕えできて、幸せです。
map_0293#13	ラドマス: まあまあ。先走らないようにしよう。
map_0293#14	私はただの、つつましいエルレイドだよ。
map_0293#15	カイン: そういえば、なんでそんなバカみたいな帽子を次々着替えてるんだ?
map_0293#16	ラドマス: それは心外だな。
map_0293#17	これらは、少しも滑稽なものではない。
map_0293#18	だが、その問いに答えるならば……
map_0293#19	なぜいけない?
map_0293#20	ラドマス: 私はただ、適材適所の帽子を選んでいるだけだ。
map_0293#21	理にかなっているだろう?
map_0293#22	サーナイト: 残念ながら、庶民には主人の神々しいファッションセンスなど、理解できないのですわ。
map_0293#23	ルナ: わたしは、とても素敵だと思うわ。あなたもそう思わない?
map_0293#24	ラドマス: さて、話は逸れるが、皆に紹介したい者がいる。
map_0293#25	\PN、少し脇によけてもらえるかね?
map_0293#26	ラドマス: どうぞ、お入り。
map_0293#27	カイン: ……あー。
map_0293#28	ルナ: それは――
map_0293#29	ラドマス: 皆、この屋敷の新しい執事、イライアスを紹介しよう。
map_0293#30	イライアス: お仕えできて光栄です。
map_0293#31	滞在を快適にするために、何かできることがあれば、お申し付けください。
map_0293#32	ルナ: どうして……?
map_0293#33	ラドマス: おや、ルナ、まるで幽霊でも見たような顔をしているね。
map_0293#34	カイン: 彼女が見たのは、幽霊じゃない。
map_0293#35	彼女の父親だ。
map_0293#36	ルナ: あなたの言っていること、よくわからないわ。
map_0293#37	ご主人様こそが、わたしの父。それ以外にはいません。
map_0293#38	ラドマス: なるほど、新しい従者に対して、奇妙な言いがかりだな。
map_0293#39	イライアス、答えてくれ。
map_0293#40	この娘は、お前の娘か?
map_0293#41	イライアス: 違います。
map_0293#42	ラドマス: そして、彼女は私を親だと主張しているのだから、この件はこれで片がついたと思うがね。
map_0293#43	ルナ: ……失礼するわ。
map_0293#44	失礼いたします。
map_0293#45	サーナイト: ルナ、あなた! 戻ってきて――
map_0293#46	あら、まあ。
map_0293#47	イライアス: 何か、気に障ることを?
map_0293#48	ラドマス: お前のせいではないだろう、確かに。
map_0293#49	気にすることはない。
map_0293#50	ある珍しい品を手に入れたと聞いているが。
map_0293#51	それを、私に渡してくれるかね?
map_0293#52	イライアス: はい、ご主人様。
map_0293#53	こちらが、おっしゃっている品かと存じます。
map_0293#54	イライアスはアメジストのペンダントを手渡した!
map_0293#55	ラドマス: それでよい。下がってよい。
map_0293#56	イライアス: かしこまりました、ご主人様。
map_0293#57	カイン: それ、アンナのペンダントだ! エルが前に取っていって――
map_0293#58	ラドマス: ああ、そのようなことを言っていたな。
map_0293#59	それで、\PN、君に聞きたかったのだが、この品を一体どうやって手に入れたのかね?
map_0293#60	もっとも、台詞を持たないプレイヤーキャラクターに、そんな質問をするほど愚かではないつもりだが。
map_0293#61	では、君の友人が教えてくれるかもしれないな。
map_0293#62	カイン: 待て、今何て言った?
map_0293#63	ラドマス: これがどこから来たのか、教えてくれるかね?
map_0293#64	カイン: それ、オレたちの友達のもんで、返してほしがってるんだけど?
map_0293#65	ラドマス: 失うには、あまりに大切な品だ……
map_0293#66	信じてくれ、私ほどそれを理解できる者はいない。
map_0293#67	だが、理解した上で、深い同情とともに、私はこれを返すことを拒否させてもらう。
map_0293#68	今回だけは、信頼だけを頼りに、私に従ってもらいたい。
map_0293#69	この品は私が預かるが、その信頼を裏切ることはないと約束しよう。
map_0293#70	さて! もっと軽い話に移ろうか!
map_0293#71	ジムバトルを始める必要があるのではないかね?
map_0293#72	\PN、挑戦の間のドアは開いているはずだ。
map_0293#73	幸運を祈る。
map_0293#74	カイン: あいつの味方をしたのが、本当に正しかったのか、疑い始めてる。
map_0293#75	あんな変な態度で、アンナのペンダントをさっさと持って行っちまうし。
map_0293#76	それに、イライアスが持ってたってことは――つまり、あいつは……
map_0293#77	……うーん。おかしいな。
map_0293#78	ラドマス: お前のせいではないだろう、確かに。休め。後でまた指示を出す。
map_0293#79	カイン: 今度は一体何やってんだよ?
map_0293#80	ラドマス: 何を、とは?
map_0293#81	少し、従業員を下がらせているだけだよ。
map_0293#82	カイン: いやいやいや、言いたいことわかるだろ!
map_0293#83	それ明らかにエルだろ! なんであいつにこんなことさせてんだよ?
map_0293#84	ラドマス: エル? 馬鹿げたことを。
map_0293#85	エルは私を毛嫌いしている。私のために働くことなど決して承知しないだろう、ましてや「ご主人様」などと呼ぶはずもない。
map_0293#86	この執事の名は「イライアス」だ。
map_0293#87	名前が似ているからといって、惑わされるほど愚かにならないことだ。
map_0293#88	それは、まったく失礼な話だろう。
map_0293#89	カイン: はいはい。
map_0293#90	ラドマス: いずれにせよ、こなすべきジムバトルがある。
map_0293#91	\PNも、もう待ちくたびれている頃だろう。
map_0293#92	それでは、失礼するとしよう。その奇妙な考えは、君に任せておく。
map_0293#93	ラドマス: 執事がエルだと……
map_0293#94	はっ! 一体どうやって、そんなことができるというのだ?
map_0293#95	まったく、なんと馬鹿げた言いがかりだ……
map_0293#96	？？？: 主人は間もなく参ります。
map_0293#97	どうぞ、おくつろぎください、もし――
map_0293#98	？？？: あら、これは一体?
map_0293#99	新しい挑戦者ですわ!
map_0293#100	？？？: ゴシップ・サーナイトと申しますわ、お役に立ちますことよ!
map_0293#101	それとご心配なく、あなた、サインはいつでも無料ですわ。
map_0293#102	サーナイト: あら? 会話できるポケモンに会ったことがありませんの?
map_0293#103	？？？: 実は、このサーナイトは、テレパシーで自らの思考を言葉として投影できる、同族の中でも独特な存在です。
map_0293#104	？？？: 私は、この城の主、ラドマスだ。
map_0293#105	お会いできて光栄だよ、挑戦者。
map_0293#106	彼女がすでにほのめかした通り、このサーナイトは私のものだ。
map_0293#107	テレビで見たことがあるかもしれないな、なかなかのキャリアを築いている。
map_0293#108	そして、こちらが私の娘、ルナだ。
map_0293#109	ルナ: この城のメイドとして、歓迎いたします。
map_0293#110	滞在を快適にするために、何かできることがあれば、お申し付けください。
map_0293#111	ラドマス: そして、君が\PNだね、そうだろう?
map_0293#112	サーナイト: あら、ご主人様がもうあなたのことをご存じでも、そんなに驚かないでくださいな~
map_0293#113	なにしろ、リボーン公認のゴシップ・サーナイトとして、物事を知っているのがわたくしの仕事ですもの。
map_0293#114	チームメテオへの度重なる襲撃も、他のリーダーたちとの関わりも、全部知っておりますの……
map_0293#115	孤児院からのちょっとした脱走劇まで~
map_0293#116	それに、ストリートギャングに加わったって話まで?
