map_0901#1197	まずは豆知識から:
map_0901#1273	泉と言えば、アメが枠組みを敷いた後、そこの壁を全部埋めたのはボクなんだ。実際、いくつかのマップで同じ作業をやったよ。
map_0901#1274	砂漠にある山のいくつかもボクの担当だった。
map_0901#1275	それと、ええと……タンザン深部もあった、タンザン入り江の洞窟のマップだね。
map_0901#1276	あれは一度だけちょっと遊んで、RMXPか何かでマップを開かないと絶対誰にも見えない面白いものを一つ残したんだ。
map_0901#1277	ボクの一番のニッチな才能は、たぶんテキスト中の二重スペースを見つける能力だと思う。開発サーバーに最初に入った時、名前を「melee marth player」にしたんだけど、
map_0901#1278	それはボクのスペースへのこだわりが「完璧」だから。
map_0901#1279	念のため言っておくと、「二重スペース」っていうのは、「this phrase」と「this  phrase」の違いのことね。
map_0901#1280	それに、ポケモンの名前の前にスペースがある時も見分けられる、ニックネームウィンドウがなぜか自動でスペースを入れちゃうことがあるんだよね。
map_0901#1281	ゲームの実作業以外だと、ボクもこのゲームをプレイするよ! 何でも動くかもしれないし動かないかもしれない、荒野の最新版でね!
map_0901#1282	エピソード19のテスト中は、パルキアを「no.」って名付けて、ディアルガを「yes!」って名付けたんだ、パルキアには2時間も苦戦したのに、ディアルガは
map_0901#1283	「まあ、最初のクイックボールで入ってやるよ」みたいな感じで、しかもディアルガの方が本当は欲しかったポケモンだったのに!
map_0901#1284	みんなにとってはもっと楽だといいな。
map_0901#1285	それ以外だと、報告されたバグは公式(商標)猫(商標)報告スプレッドシートにまとめるようにしてる、少なくとも整理はできるように。
map_0901#1286	正直、ここにいる他のみんなに本当に感謝してる。
map_0901#1287	そのスプレッドシートで「完了」になったものを全部隠した時と、それまでの量を比べると……
map_0901#1288	まさに天と地の差だよ。バグは……いや、猫は、絶対終わらないけど、以前動かなかったものが今は動いてるのを振り返ると、本当にすごいことだと思う。
map_0901#1289	みんなへの感謝を忘れないでね、いい?
map_0901#1290	振り返り……まあ、ボクはセラほどじゃないけど、こういうことについては結構考える方だよ。
map_0901#1291	音楽がすごく好きなんだ、別に特別珍しいことじゃないけど、ボクの人格の色んなところに影響してる。
map_0901#1292	よくある「自己紹介」欄とか、ステータスメッセージとか、そういう場所では、いつも歌詞を引用してる。
map_0901#1293	ファイナルファンタジーXIVで友達になったら、ボクの検索情報はいつも歌詞の引用だよ。
map_0901#1294	このイベントの中にも、あちこちに歌詞の引用があるんだ。
map_0901#1295	アメがボクの戦闘前メッセージ用に残しておいたプレースホルダーの台詞、あれはそのことについてのジョークだったんだよ、ボクの性格にそれくらい染み付いてるから、ははは。
map_0901#1296	ボクの一番のインスピレーション源は、日本のミュージシャン、Aimerさん。彼女の初期の楽曲にある天体をテーマにした雰囲気や、深夜っぽい雰囲気が本当に大好きなんだ。
map_0901#1297	2018年の彼女のツイートが、大学の履修登録を終わらせるきっかけになったんだ。
map_0901#1298	「今日、新しい人生を始めた人もいるのかな」みたいなことを彼女が言ってて、それを読んで「よし、やろう」って思ったんだ。それで実行した!
map_0901#1299	大学の専攻はずっと天文学だったけど、彼女みたいな人を知ったことで、その興味が確固たるものになった。
map_0901#1300	一番好きな曲は、たぶん予想通りだと思うけど、「Polaris」。
map_0901#1301	悲しい曲だけど、同時にすごく背中を押してくれる。それに、いつも……まあ、大抵は、切なさが一番強く胸に刺さるんだ。
map_0901#1302	「大抵」って言ったのは、一番好きな曲ってわけじゃないからで、LIGHTSの「Timing Is Everything」の方が、ボクの人生のモットーみたいなものなんだ。
map_0901#1303	その曲のサビには「あの時、あたしはまだ何も知らなくて、二人はそれぞれ違う軌道を進んでた」ってあって、
map_0901#1304	「誰がこの場所で、こうして出会うなんて思っただろう、タイミングがすべてなんだ」って続くんだ。
map_0901#1305	それを聞くと、いつも考えてしまう。何もかもの中で、
map_0901#1306	人類が存在してきた何十万年もの歴史の中で、
map_0901#1307	あなたとボクは、同じ場所、同じ時間にここにいる。
map_0901#1308	いや、まあ、同じ「場所」で同じ「時間」って言っても、細かいことは気にしないで。
map_0901#1309	ボクらの存在そのものが、奇妙な偶然の巨大な積み重ねというか、ほんの小さな選択の連続なんだ。もし2007年にオータムと出会ってなかったら、ボクは今ここにいない。
map_0901#1310	リーグに登録してなかったら、ボクは今ここにいない。
map_0901#1311	アメが自分の気まぐれに負けてこのゲームを作らなかったら、ボクらは誰一人今ここにいない。
map_0901#1312	でも、こうしてここにいる。すごいことじゃない?
map_0901#1313	少なくともボクは、あなたがここにいて、楽しんでくれてたら嬉しいと思ってる。もう少し、そばにいてくれない?
map_0901#1314	イカル: ああ。それじゃあ、決着をつけようか。
map_0901#1315	……なんてね!
map_0901#1316	ここまでたどり着くのに、色々あったんじゃない、チャンピオン?
map_0901#1317	冒険の中で、求めていたものは手に入った?
map_0901#1318	それを聞けて嬉しいよ。次の旅でも同じでありますように。
map_0901#1319	まあ、いつも深い意味があるとは限らないし、それでいいんだ。
map_0901#1320	十年がかりの旅の終わりに、今こうして立っている。よくやったね。
map_0901#1321	冒険が一段落したところで、気楽に楽しめる、リスクのない何かをどう?
map_0901#1322	それでもまだ、あなたを待ってるものがある。
map_0901#1323	ここが終わったら、ボクのためにも、ちゃんと最後まで見届けてね?
map_0901#1324	それが終わったら、一番好きだった部分を教えて!
map_0901#1325	(それがこのやり取りだったら、ボーナスポイントね!)
map_0901#1326	イカル: 二回戦かい?
map_0901#1327	あなたならすぐに星に手が届くよ。
map_0901#1328	アドリエンヌの真似はもうしちゃったけど、気持ちは変わらない。
map_0901#1329	もう少し上へ……
map_0901#1330	朝は、夢の縁で待っている。
map_0901#1331	イカル: ここまで来た人なら、これくらい当然だよね。
map_0901#1332	苦労のお礼に、バトルポイントをどうぞ。
map_0901#1333	それと、ねえ、実はここにいる人の中で、ボクより階級が下じゃない人は二人しかいなくて、その二人にはボクに命令できないんだ。
map_0901#1334	今回だけ、もう一(1)個あげる。ここまで頑張ったし、正直これらのバトルはちょっとあなたに不利にできてるからね、ははは。
map_0901#1335	これで所持ポイントは……\v[593]、だよね?
map_0901#1336	イカル: まあ、お気に入りだけのチームじゃ、ちょっとした……力添えなしにはエンドゲームのプレイヤーに太刀打ちできないよね。
map_0901#1337	パーティーは全部直しておくよ、もし文句があったら、ボクは無実だから、やったのはキャスだよ!
map_0901#1338	イカル: よし。
map_0901#1339	ねえ、もし道に迷ったら、空を見上げてみて。
map_0901#1340	星が見えるなら、それが道を示してくれるから。
map_0901#1341	次の出会いは、もうすぐそこだよ。
map_0901#1342	マルチェロ: どうも、ボクはマルチェロ、このゲームに携わってるよ。
map_0901#1343	からかい用に与えられたこのスプライトを信じないでほしいんだけど、
map_0901#1344	実際は緑色の髪の子供じゃないから。
map_0901#1345	それで、どうしたの?
map_0901#1346	マルチェロ: ボク自身、ポケモンはかなり下手なんだ。
map_0901#1347	でも、実はチートしてチームをとんでもなくアンフェアにできるとなると?
map_0901#1348	ボクでもそこそこいい感じのものが組めるんだよね。
map_0901#1349	さあ、来い!
map_0901#1350	マルチェロ: よくやった、BPをどうぞ!
map_0901#1351	……この開発陣とのバトルって、たった3BPの報酬にしては難しすぎる気がするけど、まあそういうものだから。
map_0901#1352	これで所持BPは\v[593]になったよ。
map_0901#1353	マルチェロ: ねえ、大丈夫、誰だって負ける時はあるさ。
map_0901#1354	建設的なアドバイスをしてもいいかな。
map_0901#1355	さっきのバトルでやってたこと?
map_0901#1356	自分のポケモン全員のHPを、ボクのポケモンのHPより先にゼロにしちゃってたやつ?
map_0901#1357	うん、次はそれやめようか。
map_0901#1358	それで勝ちやすくなるはずだよ。
map_0901#1359	マルチェロ: ボクのこと、もっと知りたい?
map_0901#1360	うん、いいよ、そこまで言うなら。何でも聞いて!
map_0901#1361	マルチェロ: ボクはマルチェロ!
map_0901#1362	たまたま躓いて開発チームに転がり込んだ、どこにでもいるイギリス人だよ。
map_0901#1363	昔々、チームで一番新しいメンバーだった頃は、みんなに比べて自分が子供みたいに感じてた。
map_0901#1364	(そう言えば、このスプライトはともかく、ボクは子供じゃないよ。25歳だから。)
map_0901#1365	(アメは、ボクより「背が低い」くせに、昔よくボクの身長をからかってきた。)
map_0901#1366	(そのジョークの正確な発端は分からない、もうずっと前のことだけど、とにかくボクは子供のスプライトになった、今ではみんなそれと共に生きるしかないってわけ。)
map_0901#1367	とにかく、話がそれたけど。
map_0901#1368	チームの「新入り」だったあの頃?
map_0901#1369	もう7年前の話だよ。
map_0901#1370	大人になってからの人生、まるまるこのゲームに費やしてきたんだ、自分でも信じられないくらい。
map_0901#1371	運が良ければ、これからもアメやチームのみんなと一緒にゲームを作り続けられると思う、
map_0901#1372	これから先の大人の人生も、ずっとね。
map_0901#1373	もっと何か聞きたい?
map_0901#1374	じゃあ、またね。
map_0901#1375	マルチェロ: ああ、そう言えば、ボクは数学者なんだ。
map_0901#1376	……でも、このゲームについての話だよね?
map_0901#1377	最初に始めた時は、プログラマーとしてだったんだ!
map_0901#1378	その手のことは何も知らなかったけど、仕事しながら学んで、バグをたくさん直した。
map_0901#1379	結局は、キャスかペリー、あるいはボク自身が後で書き直す羽目になるコードを、山ほど書いたよ。
map_0901#1380	だってマジでひどい出来だったから。
map_0901#1381	でも長年でだいぶ上達したと思ってる。
map_0901#1382	オンライン機能を動くようにしたんだ!
map_0901#1383	色んな根深いバグも直したよ!
map_0901#1384	AIを完全に書き直した時、プログラムしたのはボクだった(デザインしたのはアメだけど)。
map_0901#1385	ボクがやってきたこういう大きなことには、実は共通点があるんだ。
map_0901#1386	ここ一年くらいで、キャスかペリーがボクの担当したこれらの部分をすっかり作り直して、ずっと良くしてくれた。
map_0901#1387	それがもう嬉しくて仕方ないんだ!
map_0901#1388	いい出発点を提供できたと思いたいし、すごく才能あるチームメイトがそれをさらに良くしてくれて、
map_0901#1389	めちゃくちゃちゃんと動くものになっていくのを見るのは!
map_0901#1390	本当にかっこいいと思う、自分にも誇りを感じるし、こんなすごいチームの一員でいられることには、もっと誇りを感じる。
map_0901#1391	でもプログラミングだけがボクにできることじゃない!
map_0901#1392	開発最後の一年、体調不良で少し離れなきゃいけなかった時期があったんだ。
map_0901#1393	(読者のみんな、心配しないで、今はもう大丈夫だから。)
map_0901#1394	戻ってきた時には勘が鈍ってたし、それにキャスとペリーがあまりにすごすぎて、
map_0901#1395	プログラミング側でやれることがあまり残ってなかったんだ。
map_0901#1396	でも実は、このオタク、文章を書くのが結構好きだって分かってね。
map_0901#1397	自分でもそこそこ上手いと思ってる――アメも同意してくれてるし!
map_0901#1398	だから開発最後のパートでは、代わりにセリフを書いてたんだ!
map_0901#1399	ボクの一番の貢献は、もうプレイしたなら分かると思うけど、セレビィのクエスト。
map_0901#1400	あれは設計もイベント制作も執筆も、全部ボクがやったよ!
map_0901#1401	(グラフィック素材についてはクリムとアメに感謝を、二人とも最高だよ。<3)
map_0901#1402	バトルチームも全部ボクが作ったんだ!
map_0901#1403	でもクリア後の他の部分でも色々やってるし、他のクエストの小さな部分とかもね。
map_0901#1404	他に具体的にやったこともまだまだ話せるけど、それだと長くなりすぎるから、
map_0901#1405	その話はまた今度ってことにしておくね。
map_0901#1406	とにかく、ゲームのために文章を書いて、他の開発陣が(そしてあなたみたいなプレイヤーも)ボクの文章を楽しんでくれるのを見るのは、
map_0901#1407	すごく大きな喜びをくれるんだ!
map_0901#1408	やっとみんながこのゲームをプレイして、ボクが注いだ労力を見てもらえるんだと思うと、本当にワクワクする!
map_0901#1409	これでボクの貢献については大体話せたと思う!
map_0901#1410	マルチェロ: いや、本当にたくさんあるよ。
map_0901#1411	開発チームに入る前からも、このコミュニティですごくたくさんの素敵な人たちに出会った。
map_0901#1412	一番の親友のほとんどは、この開発チームにいるか、このゲームがきっかけで出会った人だよ。
map_0901#1413	大きなオタクだって言いたいなら言ってもいいけど、このゲームのおかげでダンジョンズ&ドラゴンズにもすごくハマったんだ。
map_0901#1414	今のところ、もう2年間キャンペーンのDMを続けてて、プレイヤーはほぼ全員リボーンで知り合った人たちだよ。
map_0901#1415	アメとオータムには特に感謝を、二人ともこのゲームのプレイヤーで、めちゃくちゃカオスにプレイしてくれてる。
map_0901#1416	そして、ボクの計画が絶対うまくいかないようにするのを、自分たちの使命みたいに思ってるみたいだ。
map_0901#1417	でもチームにいない他のプレイヤーたちや、過去にグループでプレイしてくれて今はもういない人たちにも?
map_0901#1418	みんなのことを心から愛して感謝してるって知っておいてほしい、この2年間はみんなのおかげで、比べものにならないくらい良いものになったから。
map_0901#1419	それはリボーンのおかげだと思ってる。
map_0901#1420	リボーンには本当にたくさんの借りがあると思ってる。
map_0901#1421	この部屋にいる多くの人が、ボクの一番の親友で、みんな本当に素晴らしい人たちなんだ!
map_0901#1422	それに、この7年間、こんなに素晴らしい人たちに囲まれた、支え合えるコミュニティにいられたことが、
map_0901#1423	今のボクという人間を形作ってくれたと思ってる。
map_0901#1424	そしてボクはその自分自身が好きだ!
map_0901#1425	だから、この全てに関われたことにこれ以上ないくらい感謝してるし、築いてきた友情を宝物にしてる。
map_0901#1426	アメを知り、一緒に仕事をする次の7年間も、これまでと同じくらいやりがいのあるものになりますように。
map_0901#1427	マルチェロ: 何かアドバイスをするなんて、自分には全く資格がないと思ってる。
map_0901#1428	でもベストは尽くすよ!
map_0901#1429	やりたいことがうまくできなくて苦しんでいるなら、自分を責めすぎないで。
map_0901#1430	このチームで長い間、ものすごい生産性と、身動きが取れないほどの優柔不断さの間を行ったり来たりしてきた。
map_0901#1431	でも何とかやってこられたし、「まだ十分じゃない」って感じるたびに自分を責めるのをやめてから、色々ずっと良くなった。
map_0901#1432	あなたもきっとやり遂げられるよ。
map_0901#1433	でも何より、ボクの一番のアドバイスは?
map_0901#1434	いい人たちに囲まれること。
map_0901#1435	好きな人、尊敬する人、憧れる人、もっとそんな風になりたいと思える人たちにね。
map_0901#1436	完全に偶然だったけど、リボーンチームに加わった時、ボクはそれをしたんだ。
map_0901#1437	そしてそれが、何よりも今のボクの人生の一番いい部分に導いてくれたんだと思ってる。
map_0901#1438	自分の好きな自分に成長できたし、素晴らしい友達もいるし、何より大事なことに、ボクは幸せなんだ。
map_0901#1439	それは全部、素晴らしい友達たちのおかげだと思ってる。
map_0901#1440	……うん、ごめんね、もし
map_0901#1441	ファンゲーム開発に特化したアドバイスとかを期待してたなら、
map_0901#1442	おっと。
map_0901#1443	でもこれがボクにできる精一杯だから、誰かの役に立てば嬉しいな!
map_0901#1444	表紙に「Noir a blanc」と書かれたノートが机の上に置かれている。最後に書かれたページに、しおりが挟まっている。
map_0901#1445	読む?
map_0901#1446	「2021年12月18日
map_0901#1447	久しぶりだね。最近、進みは正直ちょっと遅い……
map_0901#1448	でも、あなたの何気ないきっかけがなかった場合よりは、ずっと先まで進めている。
map_0901#1449	夜、外に出て、完全な静寂の中、
map_0901#1450	わずかな街灯と月と星の光だけに照らされていると、
map_0901#1451	あなたと、あなたの音楽のことを思い出す。
map_0901#1452	あなたが知ることは、たぶんないだろうけど、それでいい。
map_0901#1453	それがボクのやる気になってくれるなら、それだけで十分だから。それにいつか、ちゃんとお礼を言えるかもしれないし。」
map_0901#1454	ペリー: よお、よお!
map_0901#1455	やっと来たね、誰かと思ったら。
map_0901#1456	それで、何したい?
map_0901#1457	ペリー: シングルかダブルか決められないな。じゃあ君に選ばせよう。
map_0901#1458	あ、豆知識! ポケモンのレベルを一時的に100にする機能、あれを作ったのはボクなんだ。
map_0901#1459	でも相手のポケモンをレベル100にする機能はなくて、単にそういうチーム編成にしてるだけなんだよね。
map_0901#1460	: )
map_0901#1461	さすが主人公、そうこなくちゃ!
map_0901#1462	ペリー: いいね! BPをどうぞ。
map_0901#1463	これで所持BPは\v[593]になったよ。
map_0901#1464	AIがあまりへまをしてないといいけど。
map_0901#1465	ペリー: うわ、レベル101のあれのせいでそんなにやられちゃった?
map_0901#1466	ペリー: いいよ、何か話すことを考えるね。
map_0901#1467	何か特に話したいことある? \ch[62,-1,リボーン,ゲーム開発,自分のこと,雑談,いや、いいや]
map_0901#1468	ペリー: うわあ、話すことはたくさんあるな。
map_0901#1469	このゲームとの出会いから始めようか。
map_0901#1470	YouTubeで誰かがこのゲームをプレイしてるのを見たのがきっかけだった、たしかpkmnRobって名前だったかな。
map_0901#1471	面白そうだと思って、自分でも試してみることにした。
map_0901#1472	その前にも改造ROMを何本かプレイしたことあったけど、パソコンでプレイするのはこれが初めてだった。
map_0901#1473	そして、まさにリボーン流に、こてんぱんにやられたよ。一匹だけの戦術は通用しなかった。
map_0901#1474	それからずっとプレイし続けて、基本的にこのゲームに人生を溶かしてた。
map_0901#1475	このゲームの好きなところの一つは、とにかく多面的なところなんだ。
map_0901#1476	物語やバトルだけじゃない。パズルもあるし、美しいマップも、たくさんのサイドクエストも、それ以上のものもある。
map_0901#1477	それに、このゲームのおかげで少しはいい人間になれたと思う。別に前がひどかったわけじゃないけど。
map_0901#1478	でも、少しは思いやりと理解のある人間になれたと思ってる。
map_0901#1479	その後もときどきこのゲームをチェックしながらぶらぶらして、出るアップデートをプレイし続けてたんだ。
map_0901#1480	そしたらキャスがバトルタワーについての投稿をして。
map_0901#1481	コメント欄で誰かが、バトルファクトリーもあるのかって聞いてたんだ、ボク自身も好きなゲームモードでね。
map_0901#1482	キャスは、面白いと思うけどそれだけの価値を出すには手間がかかりすぎるって返信してた。
map_0901#1483	ボクのプライドが顔を出して、「賭けようか」って感じになった。
map_0901#1484	奇跡的だけど、なぜかちゃんと動くようにできたんだ。プログラミング言語がRubyだったのも大きい。習得しやすくて、前提知識もそんなにいらないから。
map_0901#1485	それでバトルファクトリーがほぼ完成した頃、パトレオンのサーバーで見せびらかしたんだ。MODとして公開するつもりだった。
map_0901#1486	キャスがそれを本編に入れたいって言ってくれたから、少し磨きをかけて、必要な物全部を送った。
map_0901#1487	他にも色々手伝って、しばらくして彼女が、実際に開発陣として手伝ってくれる気はあるかって聞いてきたんだ。
map_0901#1488	本当に彼女には感謝してもしきれないよ。
map_0901#1489	チームに入ってから、すごくたくさんの素晴らしい人たちに出会えた、今この部屋にいる人たちだよ。
map_0901#1490	本当に素晴らしい旅だった。
map_0901#1491	ペリー: でも、実際ゲームで何をやったかって?
map_0901#1492	順番に読んでるなら、キャスがボクを開発チームに誘ったこと知ってるよね。
map_0901#1493	それは、エピソード18リリース後に見つかったバグが全部まとめられてたからなんだ。
map_0901#1494	それが長いリストでね。だから、当時のマルチェロとアゼリーを手伝うために連れてこられたんだ。
map_0901#1495	その10日後くらいには、コードのどこが一番実行時間がかかるかテストする方法を見つけてた。その2日後にエピソード18.4がリリースされて、あらゆる最適化が実現したんだ。
map_0901#1496	キャスはボクよりずっと遠くまでそれを推し進めたけど、彼女が大なたを振るった後、壊れないように確認するのはボクの仕事だった。
map_0901#1497	だから、ボクがやった仕事の大半は、キャスの後始末のバグ修正なんだ。
map_0901#1498	でももちろん、新しく追加したものもあるよ!
map_0901#1499	バトルファクトリー、AIの大幅な書き直し、オンラインダブル、新しいフィールドノートなんかは、そのほんの一部。
map_0901#1500	全部は覚えてないな、だってその9割くらいは小さなQOL改善だから。ゲームの位置がリセット時も同じままだったり、倍速設定が持続したりとかね。
map_0901#1501	そんなところかな。ボクがやった仕事の大半は目に見えないんだ、新しいものじゃなくて、古いものを直してるだけだから。
map_0901#1502	ペリー: どうも、ボクはペリー、もしくはtoothpastefairy、まあもうその名前はあんまり使ってないけど。
map_0901#1503	23歳っていう若さで、いい人生を送ってるよ。
map_0901#1504	オランダに住みながら応用物理学の修士課程にいるんだ。
map_0901#1505	チェス中毒かもしれない、このセリフを書くのを中断してオンラインでちょっと対局した回数が、もう二桁に達してるからね。
