map_0519#46	あ、えっと……わかった。
map_0519#99	「ここには、我らが街を築くのに力を貸してくれた、多くの人々の名が刻まれている……」
map_0519#101	Tartar, Robert Lou, Luis C. Morales, Michael Manning, Hachilio (Busti), Dragon 116, Reni Donovan, Zumi, Anja Zajac, Leon Janßen, Yannik Thiele...
map_0519#102	Daan Karma, Simon Khoang, Franz Reimer, Nelio Alves, chranokil, Thamos Spanu, Jan, Paul Steinbrück, Peantus, Noir, Ramiru...
map_0519#103	Jacob, Dillon Holmes, Pascal P, Fullmoon, Layla K, Cameron Andrews, Marshall Mann, Will Dodge, Naoman Arif, Jakob Thaler, Thomas Landauer...
map_0519#104	Erikaru, Autumn, Daniel McCormick, Eric Therrien, Hoodless, Mey, Spencer Basinger, Sean, Nicky, Jim Knicker- Ace detective, Tom Hobbs...
map_0519#105	Gredler Andreas, Christian Casanova, Sardines, Shamish Sergey, lilbegestjake, Juan Hidalgo Arancibia, Casim Bahadar, Winter, CrossImpact...
map_0519#106	Joonas Kivi, Gabby, Hammertime, Elin Ölund Forsling, aspectoflife, Budew........, ChaosReaperPein, Addi Sanders...
map_0519#107	「我らが街の成功のため、一つ一つの過酷な煉瓦を積んでくれたすべての人々に、永遠の感謝を捧げる」
map_0519#108	Candy, whomst'd'ven't, Vatelin, Geoffery Nelson, The Drunken Dragonite, Shadowstar, Noivy, AiedailEclipsed, isognio, aries, cakeofdoom...
map_0519#109	Jonatas, Matt Shephard, ssbCasper, Winter Erikson, Alistair, Alexandre Eira, Kouhai Xmas, TharTV, Leo, ogur0007, Friz, Ama, Zarc, OutsideIndoorsman...
map_0519#110	cybershell12, Wossad, herbuhduhflergen, 2moe4this, Sir Isaac, DiLimiter, Elkhen, The Bells Toll, Aal, steelpenguins, RockInTheDark, keyblade336...
map_0519#111	Kero Kanyo, Zargerth, It's Still Magicarp Inside, Hark, Awbawlisk, Jompa, Jay Taylor, Red Tyranitar, Pietvergiet, Sparkle, Nakoles, shteve, ridiculous...
map_0519#112	Nisa Bernal, riceinabowl, Elite Four Daniel, Ninjaneois, Imperial, Zanshouken, Magraga, Semiramis, Masked Aura, Reignited'Light, Tacos&Flowers...
map_0519#113	Joshuar_00, punkeev softpaws steffi, EdgarHasFreed...
map_0519#114	Ross_Andrews, GS Ball, Syglory, About 42 Bears, Default Devers, Blaze_Lumini, Sham (Wilson), RocketRiddle, SkabbtheHunter109, Dasuper11...
map_0519#115	Smk, Potwom, McZ, Tempest, Nadrel, BLaZn, Andrew Parekh, Mastercatcher00X, ProjectIceman, Kevin Silva, Lucent Flash, andracass, BIGJRA...
map_0519#116	Arcin, Launce, Dark_Absol, cielDiVine, E.L.Y, Valerie, Mimon Hamed Mohamed, Posty, RubyRed, chaoticangel97, Kirixah, Trevore, Aldrich Faithful...
map_0519#117	Apostolos Palavras, Winter Angel, MarsupialJr, jaden852, BigShotJoe, JapaneseWallpaper, Azery, TU84, Ghost141, Foster Davis, Mayflower896...
map_0519#118	AyTales, Ceratisa, Zorekky, Ryan Stiles, Zeroyue, advesha, ToDie, Yumi_uwu, Lily Awaka, Kevin O'Keeffe, Bryan Barlitt, Pyroclast, Colette...
map_0519#119	lavalampflamingo, Zoey Elaine Greer, Alva Akasha, Blind Guardian, Paul White II, Goldjoz, Rising Sun Reviews, Raphael Soares...
map_0519#120	Spika Patate, Chameleon109, boomdiada, Just Yes, Boiger, derpingmudkip, Jetasd, Matt Pissaris, Kamu, Abyssreaper99, TurtleBear, bubblegum, Ctracha...
map_0519#121	Zack Fair, FloRoux, Endstrom, tektonic, Eirik Graves, Azzie, klover47, EternalLight95, Birb, Taranis Blackstorm, DrGustave, RedLumain, Mason Graves...
map_0519#122	BlazingAngel123, pjplatypus, Monkeydog, Anthony Laster, Malignant, Vanner, Epharam, qwop9992, hamfam000, CharredBrown, Kim Rinaldo, Artstyle...
map_0519#123	Lua, LisaX, ~(^.^)~, pyrostar, Orsan, Alex Rose, lester tay, Tibi Radu, pyrromanus, ShiroOkazaki, steelpenguins, iMadMatthew, Fehish, ajefk12555...
map_0519#124	3333percent, bluetowel, Ryan Beaulne, J P, Odis, Tate Hamilton, Alexander Dean, Meridian, Kyublivion, Victorywithice, Shad0, Logintomylife, Elijah...
map_0519#125	Ditiamed, LeoYT, Motoko, enu...
map_0519#126	Joboshy, Crim, Hachimaki, KORMA, Rob28, Michael miranda, Blazerburst, Cyrikyty, JB, hcsa, Youkai Nep, Logan the balalaika, Kithas, Bellona et Pax...
map_0519#127	camelCaseD, Joseph Torres, Wolfox, Liam Lucas, Seal, zervixen, GeoEngel, radoslav573, Felicity, Alexis Bernatchez, Verville, Sean, Stordeur...
map_0519#128	Christopher Horon, Nerozard22, Chris, Lukan Hardin, Arthur Rouillé, Bjarne Nehring, Spoon, Wyliewb13, Seyon, Joshua2200, Lloyd Hale...
map_0519#129	Riley Maxwell Somers, Alex Schiavetto, Gawerty, CeriseBlossome, Beck, Fawn, Ryan Nasser, Baraayas, Ron, UptonPickman, alex goerz...
map_0519#130	Jacob Deutsch, Adam A, Fenceperson, Kyle, ShinyBlade, Sethur, Aman Didwania, Emmett Gaiman, DDBlue666, Thomas, Habbo, jenna jonica, Jac...
map_0519#131	BeoWulf, Alexander Kozlov, maxime busc, Jacob Metzker...
map_0519#132	Chase, Sakura Sis, Frostiliscious, PaulMSZ-006, Christopher Chambliss, Dewfall, Tom Hobbs, William Minnimin, Vicky Chen, Megan Blincoe, Cuddles...
map_0519#133	Cameron Mcevoy, Eevee, Anthony Szmyhol, Drakyle, Greg, Shane Zoppellaro, Artist, foamy, crispy, Dream, Aurora, Sage TheRoserade...
map_0519#134	Bruno Macedo, Bassem, Captain momo, Tim I, Adrien Lange, Veno Zen,Yeicx, Henry Nguyen, Ian McSweeney, John Thillted Jr, Namelesssimp...
map_0519#135	Georginio Lois, Pedro Villar, Sinikuro, Evan Gross, alec joseph, Pacifist Games, Ruthger Dijt, A, Geoffrey Chen, spleen17, Joel Woolley, Forneus...
map_0519#136	simon anderson, mortifiedbitch, Fiwam, FunnyBone48, Saraphimwolf, Azrael, evilginger27, NS Flash-Fire, Matty, Lindinator666, Fezzdog...
map_0519#137	Nick D, ???, Ainsley Robbins, Spiff, Mahendran, Katurayan, Michal, Raven Dragon, Tom Sayer, Haze, Kino, enzzzzzz, Josh Peck, Marin Spiegels...
map_0519#138	Ben Knight, Dan, violet thunder, Ngoc Nguyen, Tim, OverlordMatt...
map_0519#139	やあ、見知らぬトレーナーさん。ちょっと時間を取って、スピネル博物館のギフトショップに寄ってみてくれ。
map_0519#140	あんたみたいなトレーナーのために化石も揃えてるぞ!それにタイプ強化アイテムも……
map_0519#141	……えーと……もくたん、じしゃく、サングラス……効果あるのか怪しいけどな……とにかく、寄ってくれよ。
map_0519#142	\PNはパワーアイテムのセットを手に入れた!
map_0519#143	自分の身体を大事にしなさい。
map_0519#144	いや、違うな。
map_0519#145	あんたがリボーンの面倒を見るんだ。
map_0519#146	そうすれば、リボーンがあんたの面倒を見てくれる。
map_0519#147	よう、前にどこかでぶつかったことあったよな?
map_0519#148	ああ、そうだ。あんたが初めてポケモンをもらった時に会ったんだ。
map_0519#149	あれからずいぶん成長したみたいだな。
map_0519#150	まあ、この街全体もそうか。
map_0519#151	偶然じゃないよな?
map_0519#152	いやー、マジで!信じられないよな――みんなが力を合わせてこの場所を素晴らしくしたなんてさ!
map_0519#153	人に対する考え方が、すっかり変わっちまったよ!
map_0519#154	前だったら、この場所がきれいになるなんて言ったら、自分を頭おかしいって思っただろうな。
map_0519#155	それが今じゃこれだ。
map_0519#156	人間観察も、背景がきれいだと格別だよな。
map_0519#157	俺もそろそろ、見てるだけじゃなくて動き出す時かもな。
map_0519#158	というか……
map_0519#159	またな。
map_0519#162	ああ、あんたか!
map_0519#163	前に、あのポケモンを助けるために俺をボコボコにした、あのめちゃくちゃ強いトレーナーだよな?
map_0519#164	いやマジで、あんたがそうしてくれてよかったよ、正直な話!
map_0519#165	実を言うと、あいつらのやってることには前から違和感があったんだけど、立ち向かう自信がなかったんだ。
map_0519#166	モンスターボールが買えないからって、ポケモンをいじめて言いなりにさせていいわけじゃないよな。
map_0519#167	あの後、それをわからせようとしたんだけど、あいつらキレて俺と絶交しちまった。
map_0519#168	別に寂しくもないけどな。
map_0519#169	正直、ずっと動き回るのにはもう疲れたよ。
map_0519#170	この街は、俺が余生を過ごすにはいい場所になったな。
map_0519#171	悔いはないさ。
map_0519#172	この街をずっと支えてきたもの、わかるか?
map_0519#173	そう、電磁気学だ。
map_0519#174	~変化を望んで、日々良くなっていく~
map_0519#175	~変化を望んで、今はもう何もかも違う~
map_0520#0	>- サフラン通り\n^v - 8番街
map_0520#1	「コガネ駅」
map_0520#2	<>- コガネ通り\n^v - 9番街
map_0520#3	<>- サフラン通り\n^v - 9番街
map_0520#4	この工事、全部終わってすげえキレイになってんの見ろよ。
map_0520#5	でもよ、スラムまで手が回ってるのかね?
map_0520#6	底辺の連中のために時間を割いてくれてんのか?
map_0520#7	まさかな。優先順位がどこにあるかよくわかるぜ。
map_0520#8	<- オパール大橋\n^ - 8番街 >- メインストリート
map_0520#9	ポケモン育て屋 こちら!
map_0520#10	チッ、みんな俺が金欠なのはちょっとした楽しみに金を使いすぎてるからだって言うんだよな。
map_0520#11	でもそれって、生活費が高すぎることへの言い訳に過ぎないんじゃないか?
map_0520#12	この街の再開発は結構なことだけど、その問題の解決にはなってないよな。
map_0520#13	スイート社が求人出してるらしいな。ここじゃほんとに絶好調ってわけか。
map_0520#14	応募してみようかな。
map_0520#15	ヨーテリー:ウー……ワン!
map_0520#16	ヨーテリーがまた逃げ出した!
map_0520#17	アメ:ねえ\PN、地下鉄道網でみんなと合流してるはずでしょ、覚えてる?
map_0520#18	こっちは私たちに任せて。
map_0520#19	アドリエンヌ:心配しないで!後で合流しましょう!
map_0520#20	フローラ:\PN!やっと見つけた!ここまで自分で辿り着いたわ!
map_0520#21	何時間もこの街を彷徨うことになったけど、着いたわよ!
map_0520#22	一人でね!
map_0520#23	あなたの助けなしで!
map_0520#24	あったらありがたかったけどね!
map_0520#25	*ゴホン*……
map_0520#26	とにかく、その……準備はできたわ、\PN!改めて、手伝ってくれてありがとう!
map_0520#27	準備はいい?
map_0520#28	フローラ:素晴らしいわ!それじゃ中に入りましょう!
map_0520#29	フローラ:……
map_0520#30	なんですって?
map_0520#31	ここがPULSEのある建物じゃないって言ったの?
map_0520#32	でもここがリボーン地方全体で唯一のデボンビルだって、100%確信してるのよ!
map_0520#33	わざわざ立ち止まって調べる方法を探さなきゃいけなかっただけじゃなく、あなたが来るのがあまりに遅いから、汚らしいおじいさんに道を間違えてないか聞くはめにまでなったのよ!
map_0520#34	だからお願い、\PN、説明してちょうだい。あなたがデボンビルに行けって言って、一緒に来るのを断って、まったく見知らぬ地方に一人きりで道を探させておいて、今ここに来て、これが間違った建物だなんて言うのはどういうわけなの?!
map_0520#35	あ、あら、どうも警察官さん!
map_0520#36	気にしないで――この叫び声は、その……
map_0520#37	学芸会の練習をしてるだけなんです!
map_0520#38	ハハ!
map_0520#39	とにかく、セリフの練習はもう終わったので、次の場面のために正しい建物に向かいますね?!
map_0520#40	それじゃ、よい一日を、警察官さん、失礼します!
map_0520#41	フローラ:ハハ……
map_0520#42	何?
map_0520#43	で、でもこんなに遠くまで来たのよ、\PN!
map_0520#44	冗談だと言って!
map_0520#45	まあ、あなたはとても忙しいんでしょうね!
map_0520#46	あなたにとって幸運なことに、私はとても辛抱強い女なの!
map_0520#47	(でも我慢にも限界があるけどね……)
map_0520#48	買い物に夢中になっちゃったけど、まだ買い足りないの。
map_0520#49	このバッグ、持っててもらえる?
map_0520#50	気楽にやってくれ、チャンピオン。
map_0520#51	俺たちの手に負えないことがあれば、必ず伝えるからな。
map_0520#52	ああ、あんたか!
map_0520#53	あんたのポケモンを育ててたんだが、いやはや、驚いたよ!
map_0520#54	あんたのポケモンがタマゴを持っててな!
map_0520#55	どうしてそうなったかはわからないが、あんたのポケモンが持ってたんだ。
map_0520#56	欲しいよな?
map_0520#57	\PNは育て屋の主人からタマゴを受け取った。
map_0520#58	ちゃんと大事に育ててやれよ。
map_0520#59	本当に取っておくよ。このタマゴ、欲しいんだよな?
map_0520#60	それならわかった、もらっておくよ。ありがとう。
map_0520#61	俺は育て屋の主人だ。
map_0520#62	トレーナーたちの大切なポケモンの世話を手伝ってるんだ。
map_0520#63	育ててほしいポケモンがあれば、うちの女房に預けてくれ。
map_0520#64	ああ、あんたか!\nよかった、会えたな!
map_0520#65	あんたの\v[3]は元気にしてるよ。
map_0520#66	あんたの\v[3]と\v[4]は元気にしてるよ。
map_0520#67	二匹はお互いよりも、他のポケモンと遊びたがるみたいでな……
map_0520#68	二匹はあまり仲が良くないみたいだ。
map_0520#69	二匹は仲良くやってるみたいだぞ。
map_0520#70	二匹はとても仲良くやってるみたいだぞ。
map_0520#71	「スイート社本社」
map_0520#72	やることが山積みだよ!家具の入れ替えに、新しい市場にも行かなきゃだし、明日は仕事もあるし!
map_0520#73	<>- メインストリート\n^ - 9番街
map_0520#74	自分がもう死んで天国に来たんじゃないかって、まだ疑ってるくらいだよ。
map_0520#75	ここが本当にリボーンシティだなんて信じられない。
map_0520#76	誤解しないでくれよ、街が良くなったのは嬉しいんだ。
map_0520#77	でもマジな話、前とは同じ感じがしないんだよな。
map_0520#78	昔はこの通りは俺たちのものだった。今は何もかも秩序と完璧さに包まれちまってる。
map_0520#79	遠慮しとくよ。
map_0520#80	最近、街全体で想像してたよりずっと多くのポケモンがいるみたいだ!
map_0520#81	全部捕まえられると思うか?!
map_0520#82	この街をきれいに保つのは、みんなの責任だ。
map_0520#83	アドリエンヌが示してくれたことだよ。
map_0520#84	下層階級の市民にだって、平穏を得る権利はあるんだ!
map_0520#85	タールくさい工場で一日中暮らしたいやつなんかいるかよ!?
map_0520#86	行政はそれを優先順位の名目で切り捨てるだろうが、あいつらの嘘を信じるな!
map_0520#87	上の連中はお前のことなんか気にしちゃいない!政府もお前のことなんか気にしちゃいないんだ!
map_0520#88	この街、今すごくかっこいいよな?
map_0520#89	まるで進化し続けてるみたいだ!
map_0520#90	ママは前、あたしが一人で出かけるのを心配してたけど、もうそんなことないの!
map_0520#91	あたしが大きくなったからだよね?
map_0520#92	最近やることが多くてさ!変化が始まってから、商売もほんとに盛り上がってきてるんだ!
map_0520#93	でかく稼ぐには相場に張らなきゃな!
map_0520#94	やあ、トレーナー。
map_0520#95	自警団はトラブルに目を光らせている。何か怪しいものを見かけたら、我々に報告してくれ。
map_0520#96	「メガニウム夫人の魔法の薬市場」
map_0520#97	アゲートシティの噂、聞いたか?
map_0520#98	かなりぶっ飛んでるよな?本当じゃなくても面白い話だ。
map_0520#99	ほんとに?
map_0520#100	昔は全く別の地方の一部だったらしいぞ。
map_0520#101	それに!地下深くに魔法の石が埋まってるって話も聞いたぞ!
map_0520#102	そんなものがここにもあったらな……
map_0520#103	アメ:準備はできてる。あんたとヴィクトリアとアークライトが配置についたら、私たちが乗り込んで注意を引くわ。
map_0520#104	デボンの地下入り口は、地下鉄道網のどこかにあるはずよ。
map_0520#105	見つけられるでしょ?みんなあそこであんたを待ってる。
map_0520#106	アドリエンヌ:私たちの様子を見に来てくれたの、\PN?
map_0520#107	心配しないで、私たちは大丈夫だから。
map_0520#108	地下鉄道網に降りていって、始めましょう。
map_0520#109	前は自然っていうものを、本当に当たり前だと思ってたんだと思う。
map_0520#110	街の中に穏やかな場所があるのを見た今、それを守りたいと思うんだ。
map_0520#111	でも自分にできることなんてなさそうだけど……
map_0520#112	え?コーラルジムで人手が要るの?
map_0520#113	うーん、あたしが求められてる助けかはわからないけど、とにかく見に行ってみる!
map_0520#114	こんにちは、あなた!
map_0520#115	あなたのお家、もう改修は終わった?まだなら、工事責任者の誰かに伝えて、順番待ちに入れてもらってね!
map_0520#116	期末試験は終わったんだけど、今度は何をしたらいいかわからないな。
map_0520#117	学校っていつも退屈で押し付けがましいのに、休みになるとやたら虚しく感じるんだよな。
map_0520#118	なんていうか、フライパンから逃れたと思ったら、無意味な存在の虚無に落ちた感じ。
map_0520#119	シルフカンパニー、最近本当に商売が絶好調だよな。デパートの最上階のグッズ、見た?!
map_0520#120	いやー、マジで!信じられないよな、みんなが力を合わせてこの場所を素晴らしくしたなんてさ!
map_0520#121	人に対する考え方が、すっかり変わっちまったよ!
map_0520#122	<- サフラン通り\n^v - 11番街
map_0520#123	声が聞こえるか?
map_0520#124	「ありがとう」と、彼らは私にささやくよう命じる。「すべてに」と。
map_0520#125	ねえあなた、何を待ってるの?
map_0520#126	あたしのお菓子屋さんへようこそ!
map_0520#127	もう負け犬じゃないって証明する時よ~
map_0520#128	だから、あたしのお菓子屋さんに入ってきて!
map_0520#129	あら、どうも。
map_0520#130	気にしないで、あたしのポケモンがコトに及ぶのを待ってるだけだから。
map_0520#131	タマゴ孵化って本当に面倒よね?
map_0520#132	個体値のことなんて気にしなくて済むように、すっ飛ばせたらいいのに……
map_0520#133	こんなことができたらいいのに……
map_0520#134	パスワードを聞かれたら「いたずら」って答えるだけとか!
map_0520#135	そしたら急に、あたしが手をかけたポケモン全部が、能力値オール31になるとか!
map_0520#136	ええ、それってすごいことよね……
map_0520#137	でもそれだと、普通のやり方でやってる他の人たちと戦うのは不公平になっちゃうかもね……
map_0520#138	ポケギアで交換したりバトルを探したりすることも、全然許されなくなるだろうし!
map_0520#139	だから、これでいいのかもね。
map_0520#140	ああ、今回のタマゴたちはどうなるかしらね……?
map_0520#141	「スイートキス」\nリボーンのなんでも揃うお菓子屋!
map_0520#142	あたしがキャリアをスタートさせるのに、今ほどいい時期はないわ!
map_0520#143	この開発ラッシュの間に不動産業に入れば、あっという間にトップに駆け上がれるはずよ!
map_0520#144	<>- メインストリート\nv - 10番街
map_0520#145	俺たちはまだ革命を望んでるって言うけど、階級制度はどこにも消えやしない。
map_0520#146	それにはぶちのめすべき悪者もいやしない。
map_0520#147	ただ世界があるだけだ。
map_0520#148	お前もやるか?
map_0520#149	はい
map_0520#150	いいえ
map_0521#0	わざ思い出しの家
map_0521#1	オニキスゲームセンター――腕試ししてみよう!
map_0521#2	あんたがこの辺で評判になってるの見たら、前に負けたのもそこまで悔しくないって思えるよな。
map_0521#3	昔にこだわって認めないやつもいるけど、ここにいるみんなあんたのこと知ってるぜ。
map_0521#4	あんたがリボーンを救ってる張本人だとかって、みんな言い続けてるよ。
map_0521#5	へっ、それにファーンをぶちのめしたこともな。
map_0521#6	チッ、フロリニアが復興を手伝うほど気にかけてくれるのはいいことだけど……
map_0521#7	学校ぐるみの奉仕活動が何日も必要だったのかよ?!
map_0521#8	俺は勉強するために入学したんであって、道路を磨くためじゃないんだよ!
map_0521#9	よう!
map_0521#10	あんたのこと覚えてる!超人気になる前に戦ったよな、覚えてる?
map_0521#11	ああ、めっちゃかっこいい!
map_0521#12	地方復興っていう壮大な冒険、あたしも手伝っていい!?
map_0521#13	つまり、相棒とか要らない?
map_0521#14	それか――あ!これあげる!
map_0521#15	やった、あたし偉大な\PNの役に立ってる!
map_0521#16	みんなにあんたと会ったって話したら、驚くだろうな!
map_0521#17	建設とか修復とか大事なことなのはわかってるけど……
map_0521#18	でも破壊の方が全然いいよな!
map_0521#19	ジュリアの考えは正しいぜ!邪魔なビルなんて全部吹っ飛ばしちまえばいいんだ!
map_0521#20	それこそ俺が担当だったらよかったのに。まさに爆発的に楽しかっただろうな!
map_0521#21	よお、見ろよ、\PNが戻ってきたぞ!
map_0521#22	ジムに挑戦してた時のあんたを見たぜ。いいプレーだったな!
map_0521#23	街の復興作業が始まってから、フロリニア校長は真っ先に関わり出した人の一人だったんだ。
map_0521#24	感情がないみたいに振る舞ってるけど、この街のことは本当に大切に思ってるんだよ!
map_0521#25	うそ、\PNだ!
map_0521#26	あちこち旅してきたんでしょ?!
map_0521#27	じゃあ絶対、あの有名なアマリアに会ったことあるよね!
map_0521#28	どんな人?かっこいい?絶対かっこいいよね!
map_0521#29	元気にしてるといいな!元気にしてるよね?!
map_0521#30	チッ、みんなやたら\PNの話ばっかりしてるな。
map_0521#31	急に人気になるなんて何をやったんだ?
map_0521#32	俺はどうなんだよ?
map_0521#33	男:*ハァハァ*……ついに……捕まえたぞ……
map_0521#34	ヨーテリー:ウー……ワン!
map_0521#35	男:ヨーテリー……もう……こんなこと……*ハァ*……続けられないよ……
map_0521#36	ヨーテリー:ワン!ワン!
map_0521#37	男:すまない……けど……もう限界だ……
map_0521#38	お前についていくことが、俺の人生の中でどうしてもできないんだ。
map_0521#39	ふむ、どこかで見たことがある気がするな……
map_0521#40	会ったこと覚えてなくてすまないな……ヨーテリーの世話でくたくたで、ついていくのがやっとなんだ。
map_0521#41	言いたくないんだが……ヨーテリーが必要としてる世話や愛情を注ぐ元気が、もう俺にはないんだ。
map_0521#42	あんたはかなり強そうな若いトレーナーに見えるな。
map_0521#43	俺のヨーテリーの世話を、してもらえないか?
map_0521#44	本当か?それは……申し訳ないけど、正直すごく助かるよ。
map_0521#45	どうぞ。
map_0521#46	さて、俺はここでちょっと休むとするか……
map_0521#47	ああ、いや、気にしないでくれ……わかるよ、その……大変だもんな。
map_0521#48	さて、俺はしばらく……ここで休むとするか……
map_0521#49	よう、お前。覚えてるぞ。
map_0521#50	いつか再戦してやる。必ず追いついてやるからな、覚えとけよ。
map_0521#51	ただ……たぶん学校に通ってる間は無理だけどな。
map_0521#52	学期末の課題がマジでキツい。
map_0521#53	「オニキストレーナー学校、旧名ポケモン工科学院――リボーン随一の名門校」
map_0521#54	「アイビーライン駅」
map_0521#55	>- イースタリング通り\n^ - 10番街
map_0521#56	>- アイビーラインロード\nv - 10番街
map_0521#57	<- アイビーラインロード\nv - 11番街
map_0521#58	<- イースタリング通り\n^v - 11番街
map_0521#59	はい
map_0521#60	いいえ
map_0522#0	カスタムわざ!努力値リセット!ハイレベルなトレーナーに必要なもの全部――新しくオープンしたモスウォーターマーケットプレイスに揃ってるぞ!
map_0522#1	モスウォーターわざ教え屋へようこそ!
map_0522#2	俺はマックス、左にいるのは弟のマイルズだ。
map_0522#3	あんたのすごいポケモンたちの技構成を、最大限に活かす手伝いをするぜ。
map_0522#4	それで、今日はどうしたんだ?
map_0522#5	これで語り草になる話ができるぜ!青のかけらを5個くれ!
map_0522#6	かけらなしじゃ、わざは教えられない。悪いが、これも商売でな。
map_0522#7	ありがとよ!
map_0522#8	緑のかけら6個だけで、相手をぶっ飛ばすこと間違いなしだぜ!
map_0522#9	わかったか?紫のかけら5個だ!
map_0522#10	じごくづきか?なら赤のかけらを6個出してもらうぞ!
