map_0022#14	あなたのことは、ここにはいなかったことにする。
map_0022#52	アポフィルアカデミーは、リボーンの混沌という砂漠の中のオアシスのようなものだ。
map_0022#53	まるで、外の世界の問題すべてをこの場所から遠ざける守りのオーラがあるみたい。
map_0022#54	古い講義を勉強してるんだ、「損失の価値と勝利の危険」。
map_0022#55	一緒に復習しない?
map_0022#56	「トレーナーにとって、戦いの結果にはさまざまな感情が結びつく。喜び、失望、興奮、安心、恥ずかしさ……
map_0022#57	まさに、戦闘の激動とは、精巧に作られた感情のジェットコースターである。
map_0022#58	しかし、その混乱の中で、多くの人は本当に大切なものを見失ってしまう。
map_0022#59	戦いが終わったその瞬間、その戦い自体はもう意味を持たなくなる。
map_0022#60	戦闘そのものにとって重要なのは、この先に来る戦いである。
map_0022#61	それゆえ、前の戦いの結果が持つ本来の意味は、感情によってしばしば歪められる。
map_0022#62	多くの戦いに勝つことは高揚するかもしれないが、それは同時に、迫りくる敗北を告げてもいる。
map_0022#63	一方で、負けることは恩恵でもある。
map_0022#64	敗北は、成長の機会となる。
map_0022#65	そしてもちろん、個人の成長は、想像もつかないほど遠く、高い場所へとあなたを人生の中で押し上げてくれる。
map_0022#66	忘れないように。敗北からは常に学ぶこと。
map_0022#67	それができれば、あなたはさらに大きな勝利を手にしたことになる」
map_0022#68	力を研ぎ澄ますには、心を研ぎ澄まさなくては。
map_0022#69	「心と体のバランス」。さあ、一緒に学ぼう!
map_0022#70	「体と心は、どちらも非常に強力な道具である。
map_0022#71	しかし、多くの人はどちらか一方にばかり集中しすぎて、そのバランスを保つことを忘れてしまう。
map_0022#72	忘れてはならない、内なる世界のすべては、外の世界に映し出される。
map_0022#73	自分自身の中でバランスを失うことは、人生のバランスを失うことに等しい。
map_0022#74	心と体は、ひとつのコインの両面である。
map_0022#75	それらは共に働き、共に鍛えられなければならない。
map_0022#76	人はあまりにも頻繁に、自分の望む面が出ることを願いながら、そのコインを投げてしまう。
map_0022#77	しかし、それは無用な賭けである。
map_0022#78	体と心の両方を鍛えれば、コインのどちらの面が出ようとも、あなたはなお強くあり続けるだろう」
map_0022#79	最近は、どんな本もテレビほど面白いとは思えないな。
map_0022#80	こんにちは、一度も会ったことがなく、テレビの支配権を得るためにこっそり手を組んだりも絶対にしていない見知らぬ人よ。
map_0022#81	今日この初対面の日に、あなたの調子はいかがですか?
map_0022#82	よう、旅人さん! 何か物資は必要かい?
map_0022#83	はい
map_0022#84	いいえ
map_0023#0	街から離れて、のんびりできるのって本当にいいよね。
map_0023#1	キキ先生がいないと、空まで少し灰色に見える……
map_0023#2	どうやっても、荷物を軽くまとめるってことができないんだよなあ。
map_0023#3	えーっと……
map_0023#4	靴下2足、ジャケット2着、食料の袋2つ、ポンチョ、コンロ、テント、寝袋と毛布……
map_0023#5	セーター3枚、ズボン2着、サンダルと登山靴、おばあちゃんのお守り……
map_0023#6	おじいちゃんのお守り、スティーブおじさんのお守り、カメラ、ランタン、マーグレットおばさんのネックレス……
map_0023#7	……お守りじゃないけど、彼女からもらったものが他にないから、お守りってことにしとくよ。
map_0023#8	日記帳、「ドラゴンテイマー月刊」の最新4冊、コンパス、筆記用具、旅行用ナイフ、
map_0023#9	それに下着の替え3着。
map_0023#10	これで一泊旅行としては、十分だと思わない?
map_0023#11	あ、ちょっと。これはいらないや。
map_0023#12	よかったら、もらってくれない?
map_0023#13	多少多いくらいがちょうどいい! 道中何があっても大丈夫なようにね!
map_0023#14	マッチョ兄貴: くそ……追い込みすぎた……気がする……
map_0023#15	よお、相棒……プロテインとか持ってねえよな?
map_0023#16	切らしちまってさ、あんだけキメたトレーニングのあとには、それが一番必要なんだよ。
map_0023#17	もし持ってたら、兄弟に恵んでくれよ。
map_0023#18	プロテインをあげる?
map_0023#19	\PNはプロテインをゆずった。
map_0023#20	マッチョ兄貴: マジサイコー!
map_0023#21	マッチョ兄貴はプロテインを一気に食べた!
map_0023#22	マッチョ兄貴: よお、あのヴィクトリアって女がここの女子たちに、この浜辺の何かについて講義してたの聞いたぜ。
map_0023#23	マッチョ兄貴: よお、あのキキって女がここの女子たちに、この浜辺の何かについて講義してたの聞いたぜ。
map_0023#24	たまたま講義のデジタルコピーを手に入れたから、お前にもわけてやるよ、相棒。
map_0023#25	\PNはフィールド効果解説書20を手に入れた!
map_0023#26	灰の浜辺の情報が見られるようになった!
map_0023#27	マッチョ兄貴: 情けねえ!
map_0023#28	マッチョ兄貴: なあ、あのヴィクトリアって女、この辺でなかなかいいこと言ってるぜ。
map_0023#29	マッチョ兄貴: なあ、あのキキって女、この辺でなかなかいいこと言ってるぜ。
map_0023#30	なんかさ、いろいろ話してたときに、めちゃくちゃイケてること言っててさ……
map_0023#31	どう言ってたか忘れちまったけど、要するに、脚トレをサボると「心の中の脚」まで弱くなるから大事だ、みたいなことだったな。
map_0023#32	なんつーか、意志力とかそういうわけ分かんないやつだと思うけど、実際効くんだよ、相棒。マジで試してみろって。
map_0023#33	師匠のもとで修行するのって聞いたときはワクワクしたのに、ここじゃマジで何もやることねえ!
map_0023#34	てか、少なくとも部屋にテレビくらいあると思ってたのに。ここ、一体どういう場所だよ?!
map_0023#35	つーか、よく考えたら、この辺のどっかにあったりしねえか?
map_0023#36	おい、お前! せっかくオレの愚痴聞いてくれてんだから、この辺でテレビ見つけたら持ってきてくれよ!
map_0023#37	この近くにテレビが転がってたら、持ってきてくれよな!
map_0023#38	うそだろ。
map_0023#39	本当に持ってきやがった。
map_0023#40	マジでテレビ持ってきてくれるとはな。
map_0023#41	テレビまるごとかついで、ここまで運んできたのかよ――誰がそんなことすんだよ?!
map_0023#42	よく分かんねえけど、お前サイコーだな!
map_0023#43	早く、そこに置いてくれ! ずっと前からここにあったフリしよう。
map_0023#44	マジでやってくれるとは思ってなかったよ!
map_0023#45	これサイコーじゃん! 怒られなきゃいいけど……
map_0023#46	もし怒られたら、お前のせいにしとくからな、いいな?
map_0023#47	お礼に、これをやるよ。
map_0023#48	オブシディアのデパート用だけど、もうあそこには全然行かないから。
map_0023#49	\PNはデパートシール「アサナン」を手に入れた!
map_0023#50	あれ? 会員カード持ってねえの? だっせ。
map_0023#51	取ってきてから、また来いよ。そしたらシールやるから!
map_0023#52	なんでテレビが砂嵐しか映さねえんだ……?
map_0023#53	この辺、もう電波届いてねえのか……?
map_0023#54	てか、どうせテレビにはろくな番組やってねえけどな……
map_0023#55	セージ: こんにちは!
map_0023#56	セージ: あなたのポケモンのめざめるパワーを占いに来たのですか?
map_0023#57	???: ああ、こんにちは!
map_0023#58	私は特別な力を持つトレーナー、ポケモンの秘めた可能性を見抜くことができるので、皆からセージと呼ばれています。
map_0023#59	セージ: あなたのポケモンの一体を、占って差し上げましょうか?
map_0023#60	どのポケモンの隠れた可能性を、占いましょうか?
map_0023#61	あら、気が変わりましたか?
map_0023#62	分かりました。またの機会に、この力をお見せしましょう。
map_0023#63	この力は、タマゴに使うにはあまりに危険すぎます!
map_0023#64	別のポケモンを占いましょうか?
map_0023#65	フェリシア: はぁ、何?
map_0023#66	あ、ちょっと待って、音楽切るから。
map_0023#67	このヘッドホンつけてると、マジで何も聞こえないんだよね。
map_0023#68	オッケー、何か用?
map_0023#69	あ! あなた、あのポケモンのことで出てきた人?
map_0023#70	そうそうそうそう!
map_0023#71	DJアークライトからこの件で連絡もらってから、もうめっちゃテンション上がってるんだ!
map_0023#72	あのさ、
map_0023#73	ポケモンのことはちょっと置いといて。
map_0023#74	お願いがあるの。
map_0023#75	彼のサイン、もらってきてくれない?! お願い!?
map_0023#76	あの人の番組、マジでいつも聴いてるんだから。学校がある夜を乗り切れたの、あれのおかげなんだよ!
map_0023#77	これ、絶対必要なの。
map_0023#78	ポケモンのことは後で心配するから、とにかくあの美しすぎる男のサインをもらってきて!
map_0023#79	フェリシア: もらえた? もらえた!?
map_0023#80	\PNはDJアークライトのサインをわたした。
map_0023#81	フェリシア: やった、やったやったやったやったやった!!!
map_0023#82	ありがとう、本当にありがとう! あなた、あたしのヒーローだよ!
map_0023#83	まあ、彼こそがあたしのヒーローなんだけど。
map_0023#84	でもあなたは、あたしの代理ヒーロー!
map_0023#85	これは死ぬまで大事にする。
map_0023#86	フェリシア: あれ、また来たの?
map_0023#87	何か用?
map_0023#88	あ、そうだ。あたしのポケモン持ってたよね?
map_0023#89	フェリシア: あれ、待って……これ、あたしのじゃない。
map_0023#90	何か取り違えてない、大丈夫?
map_0023#91	フェリシア: ああ、やば、この子のこと、危うく忘れるとこだった。
map_0023#92	本当にありがとう! もう二度と目を離さないから!
map_0023#93	まあ、比喩的にだけどね?
map_0023#95	彼女には、音楽で全く聞こえていないようだ。
map_0023#96	フェリシア: あ、また来たんだ。ちょっと待って。
map_0023#97	何か用?
map_0023#98	ねえ、なんでそんなにあたしのヘッドホン見てるの?
map_0023#99	そりゃ、めちゃくちゃイケてるし、ノイズキャンセリングだけどさ。
map_0023#100	まさか欲しいとか言わないよね!?
map_0023#101	あのね、これはあたしにとって大事なものなの。絶対に手放せない!
map_0023#102	唯一これと引き換えにしてもいいものがあるとしたら、マスター・マクレジー本人のサインくらいかな!
map_0023#103	「ワンダースターズ」ツアーからずっとファンなんだから!
map_0023#104	ううん! それ以来、あたしが一番のファンだから!
map_0023#105	あの人のためなら、体も心も差し出してもいい、その意味も込めて!
map_0023#106	サインとヘッドホン交換? 全然アリ!
map_0023#107	……でもそんなの、あくまでたとえ話。あなたみたいな人が手に入れられるわけないし。
map_0023#108	それ以下じゃ絶対に納得しないから! だからふん!
map_0023#109	フェリシア: ちょっと、もう言ったでしょ――
map_0023#110	\PNはマクレジーのサインを見せた。
map_0023#111	フェリシア: ……
map_0023#112	う、そ、で、しょ。
map_0023#113	フェリシアはマクレジーのサインをひったくった!
map_0023#114	フェリシア: とにかく……もらって、行って。
map_0023#115	あと30秒くらい、うっとり呆然としてから、質問攻めにするから。
map_0023#116	今のうちに逃げて。
map_0023#117	フェリシア: このヘッドホンだけは、絶対に手放さないから!
map_0023#118	でもどうせ、あなたみたいな人には手に入らないでしょ。
map_0023#119	フェリシア: 彼、どんな感じだった?
map_0023#120	かっこよかった?
map_0023#121	触った?
map_0023#122	どんな匂いだった?
map_0023#123	ステージ衣装、着てた?
map_0023#124	どこで会ったの?
map_0023#125	彼の電話番号、もらえる?
map_0023#126	あなたの電話番号、もらえる?
map_0023#127	あなたの番号もらえたら、彼と三人で通話できたりする?
map_0023#128	あ――三人通話ね、って意味。
map_0023#129	ちっ、この場所のベッド、ほんと質素だよね。
map_0023#130	ここで少しくらい快適さって手に入らないの?
map_0023#131	無時間性は、ひとつの技能、それも重要なもの。
map_0023#132	わたしたちはみな前進する運命にあるけれど、みなが同じやり方でそれに従う必要はない。
map_0023#133	もし合うと思ったら、次に誰かにパスワードを聞かれたときは「無時間」と言ってみるといい。
map_0023#134	もっと切り離された時の流れこそ、必要としている人もいる、それだけのことかもしれない。
map_0023#135	はい
map_0023#136	いいえ
map_0024#2	あまりに頑丈すぎて、壊すことも動かすこともできなさそうだ……
map_0024#3	この岩の土台には、まだ何か貴重なものが隠れているかもしれない。爆破火薬で開けてみるか?
map_0024#4	ヒー――?
map_0024#5	ヒート……モアッ!!!
map_0024#6	一匹だけでいたポケモンが攻撃してきた!
map_0024#8	……ああ、まあいいか。
map_0024#9	どうして失敗したんだ……
map_0024#10	こうなると思ってたのよ!
map_0024#11	……え?
map_0024#12	ファーン: どこに行こうってんだ?
map_0024#13	足を引っ張るなって言ったろ……でも、何かやることがあるってんなら、行ってこいよ! ここで待っててやる。
map_0024#14	ファーン: ぼーっとするのが終わったんなら、行くぞ。
map_0024#15	あなた、あの爆発した電車に乗ってた人?
map_0024#16	かわいそうに! ケガはない? はい、これあげる、キズぐすり。
map_0024#17	え? 人間には効かないのは分かってるけど……とにかく受け取ってよ、いいから。
map_0024#18	ニャルマー: ……にゃあ?
map_0024#19	ニャルマーを連れていくか?
map_0024#20	ねえ、それってハイパーポーションだよね? かわいそうな男の子の気持ちのために、それ分けてくれないかな?
map_0024#21	\PNはハイパーポーションをゆずった。
map_0024#22	あ、いや、いいよ、気にしないで。分かってる。うーん……
map_0024#23	うわあああ……ポケモンを育てるのって、本当に大変……
map_0024#24	このケーシィをずっと育てようとしてるんだけど、全然役に立たなくてさ……
map_0024#25	その一方で、進化した使いやすいポケモンが欲しいんだよね……たとえば……ビーダルとか。
map_0024#26	もしビーダル持ってたら、このケーシィと交換してくれない?
map_0024#27	……面倒だなあ……
map_0024#28	やってくれるの? やった!
map_0024#29	\PNはビーダルをケーシィと交換した!
map_0024#30	すごく時間の節約になったよ。ありがとう!
map_0024#31	交換してくれてありがとう!
map_0024#32	((これでポケモンリボーン エピソード18は終了です。
map_0024#33	長い旅路でしたが、あと少しで到着です!
map_0024#34	プレイしてくれてありがとうございます。エピソードの間は、ぜひ地方を自由に探索してください。
map_0024#35	サポート、コメント、フィードバック、質問は、
map_0024#36	今後のアップデ\eート情報などはこちらへ: h*tp:\/wxw.rebornevo.c0m
map_0024#37	そ^て &ぜ@ひ"、次の xxxxx xxxxxxxxx xxxxxxxxx にも
map_0024#38	ｘｘｘｘｘｘｘｘｘｘｘ
map_0024#39	ん?
map_0024#40	よお。
map_0024#41	これで本当にいいと思ってんのか??
map_0024#42	何も間違ったことなんてないみたいに、こんな世界をのうのうと歩き回ってさ?
map_0024#43	なんだよ、お前が選ばれし者だから? どっかの主人公気取りかよ? そういうくだらない話か?
map_0024#44	はいはい、おめでとう、ご都合主義で勝ったな。
map_0024#45	みんなだってそうだったろ。
map_0024#46	でもよ、そもそも誰がお前を勝てるようにしてやったと思ってんだ?
map_0024#47	お前は急所になんて、当てる必要すらなかった。
map_0024#48	それに、お前がのんびり通り抜けるどのエリアにも、都合よく出口があるのって、便利すぎると思わないか?
map_0024#49	そこらじゅうに回復ポイントを置いといてくれたの、誰だと思ってる?
map_0024#50	お前がやってきたことが全部無駄だとか、そういうことを言いたいわけじゃない。
map_0024#51	ただ、ちょっとくらい感謝があってもいいんじゃないかって言ってるだけだ。
map_0024#52	別に、お前をこの暗闇から出してやる義理もないんだぜ。
map_0024#53	このままここに留めておいたっていい。
map_0024#54	永遠にな。
map_0024#55	まあぁぁぁぁぁぁあ、それだと退くつだけどな。
map_0024#56	だから、行っていいぞ。
map_0024#57	今のところは、な。
map_0024#58	でも、後で感謝しろよな。
map_0024#59	ひれ伏すなり、何なりしろ。
map_0024#60	とにかく、ちゃんと戻ってこいよ。
map_0024#61	俺は、まだまだ長い、長い間、こうやって遊び続けたいんだからな……
map_0024#62	なあ、友達が言ってたよ、あんたがジャスパーで彼女を助けたって。本当にありがとう。
map_0024#63	彼女が無事だって知って、すごくホッとしたよ……とにかく、手伝ってくれたお礼に何かあげたくて。
map_0024#64	\PNはデパートシールを手に入れた!
map_0024#65	あれ、デパートカード持ってないの?
map_0024#66	じゃあ、もらってきなよ。無料だから。そしたら、追加であげられるものがあるんだ。
map_0024#67	公園に、卵が置き去りにされているようだ……
map_0024#68	拾うか?
map_0024#69	\PNはタマゴを手に入れた!
map_0024#70	タマゴを持てる空きがなかった……
map_0024#71	アメ: \PN?
map_0024#72	あら! ジムに着いたのね。
map_0024#73	この通信機は大ホールに直結してるから、あなたがどこにいても、ジムにたどり着いたらいつでも相談の電話ができるのよ!
map_0024#74	それはそうと……
map_0024#75	アメ: ああ、ラドマスに挑戦するのね。
map_0024#76	ラドマスはトリックルームを軸にした戦法を取る、ダブルバトルのリーダーよ。
map_0024#77	彼のチームは打たれ強くて攻撃力も高いから、態勢が整うと厳しい戦いになるわ。
map_0024#78	でも、ちょうはつで妨害するか、トリックルームを使う相手を集中して狙うかして、トリックルームを封じることができれば、彼はほとんど無力になるはず。
map_0024#79	それともう一つ、この戦いでは両者だけじゃなく、チェスの駒も戦いに関わってくることを覚えておいて。
map_0024#80	ラドマスはエスパー技で駒を動かして追加ダメージを与えられるけど、あなたにも駒を動かす方法が見つかるかもしれない。
map_0024#81	いいチェスの試合がそうであるように、知性や戦略に基づく技を使うポケモンが、ここでは活躍するはずよ。
map_0024#82	頑張って!
map_0024#83	大ホールでは誰も電話に出ないようだ……
map_0024#84	アメ: それじゃあ、次はシェリーと戦うのね?
map_0024#85	そういえば、リボーンのリーダーの中にはダブルバトルを選ぶ人もいるって知ってた?
map_0024#86	シェリーもその一人よ。彼女のタッグ戦術は、雨を降らせてほのおタイプの弱点をカバーして、そのまま安全に一掃するのが軸なの。
map_0024#87	雨を降らせる隙を与えなければ、彼女のフォレストアリーナでほのお技を使えば、あっさり片がつくはず。
map_0024#88	でも、もし雨が降ってきたら、流れに逆らわず、その波に乗ってみずタイプの技を使うといい!
map_0024#89	彼女のむしポケモンの多くはみず技への耐性がないから、その火力がかえって自分の首を絞めることになるはずよ。
map_0024#90	\PNはパルス解説書02を手に入れた!
map_0024#91	パルス図鑑が更新された!
map_0024#92	\PNはフィールド効果解説書01を手に入れた!
map_0024#93	エレキフィールドの情報が見られるようになった!
map_0024#94	ここでは、クリスタルのエネルギーが不安定になっている……
map_0024#95	クリスタルの光がゆがんだ!
map_0024#96	ヒメグマ: ……
map_0024#97	ヒメグマ: ……ゾロア……!
map_0024#98	ゾロア: ゾロオオオオオ!
map_0024#99	崖っぷちの人生ってやつだな……
map_0024#100	崖から落ちてる最中だけどな……
map_0024#101	うっ……
map_0024#102	。
map_0024#103	ライコウ: ライイイ……
map_0024#104	コウ! コウウウ!
map_0024#105	ライコウ: コウ!!!
map_0024#106	邪魔をする気か、小僧?
map_0024#107	目上の者に話しかけるときは、口の利き方に気をつけろ、下郎。
map_0024#109	明確に、それはしないと合意したはずだが?
map_0024#110	おいおい、勘弁してくれ。
map_0024#111	ウガアアアアアアアッ!!!
map_0024#112	お願い助けて、あの人の味方になんてなりたくなかったの、私が何をしたのか知らないけど、こんな目に遭う理由があるなら本当にごめんなさい、償うためなら何でもするから、とにかく早くあの人から離して――よだれ、垂らされてる気がする!!!
map_0024#113	別のセーブファイルから、ポケモン図鑑の完成を検出しました。
map_0024#114	このファイルでもポケモン図鑑コレクションをスキップしますか? 報酬はすぐに獲得できます。
map_0024#115	はい
map_0024#116	いいえ
map_0024#117	ＧＴＳ
map_0024#118	プレイヤー対プレイヤー
map_0024#119	(キャンセル)
map_0025#0	うーん……「エネルギー概論」。面白そうかな?
map_0025#1	「エネルギーには多くの形があるが、十分に理解されていることは少ない。
map_0025#2	しばしば見過ごされがちなエネルギーの一形態が、力や潜在力としてではなく、存在そのものの精神として現れるものである。
map_0025#3	こぶしを握って打ち込むとき、あなたはエネルギーを伝えている。
map_0025#4	そのエネルギーは、あなたの体を通って伝わっていく。
map_0025#5	対象を打てば、それは対象へと伝わり、ダメージを与える。
map_0025#6	これは一般的に理解されていることだ。
map_0025#7	では、対象を打たなかった場合のエネルギーの伝達について考えてみよう。それはどこへ行くのか?
map_0025#8	答えを言えば、対象を打たなかったとしても、エネルギーはやはり伝わる。
map_0025#9	拳を突き出すという行為そのものが、普遍的に理解される力を帯びているのだ。
map_0025#10	たとえ誰かを実際に殴らず、その方向へ突き出すだけであっても、相手のどこかは、その拳のエネルギーの衝撃を感じ取るだろう。
map_0025#11	それは肉体的な痛みやダメージとして現れないかもしれないが、エネルギーは常にそうであるように、流れ続けるのだ」
map_0025#12	よし、これはもっと上達しないと、「めい想のやり方」。
map_0025#13	一緒に勉強する相手になってくれない?
map_0025#14	「めい想とは、単に頭の中から思考を取り除く技術である。
map_0025#15	単純に聞こえるかもしれないが、慣れていない者にとっては非常に難しいことがある。
map_0025#16	まずは、落ち着く音楽をかけるか、静かな場所、あるいは何か自然なリズムのある場所(たとえば、波が浜辺で踊るリズムなど)を見つけよう。
map_0025#17	座って心地よい姿勢を見つけ、目を閉じる。
map_0025#18	それから、ただ何も考えないようにする。
map_0025#19	初めて試すと、思考を止めることがいかに難しいか、すぐに気づくだろう。
map_0025#20	努力にもかかわらず、思考は出たり入ったりするものだ。これは正常なことである。
map_0025#21	しかし、自分がまた考え始めていると気づくたびに、意識してまっさらな状態に戻すようにしよう。
map_0025#22	初心者にとっては、代わりに自分の呼吸のリズムだけを考えるのも助けになることがある。
map_0025#23	このようにして、めい想したい間、頭を空にして雑念のない状態を保つ練習を続けよう」
map_0025#24	最近ここに来た男がいるんだ。
map_0025#25	なかなか変わった奴でね。
map_0025#26	静かで一人でいることが多いけど、それでもすごく目立つんだ。
