map_0165#124	ラピスに拠点があるんだ、4番街とハイドランジア通りの少し南だ。
map_0168#22	それができるんなら、最初からそうしてたっつーの!
map_0168#23	でも俺は、働くのに向いてねえんだよ。頭が良くねえからさ。
map_0168#24	毎日起きられる。自分で服も着られる。自分でメシも食える。それくらいのもんだ。
map_0168#25	こんな大人の人生、望んでなかったのに……
map_0168#26	それだけやって金もらえないのか? なんでそれ以上やんなきゃいけないんだよ?
map_0168#27	っていうか、食うだけで金くれよ。飯、大好きなんだから。
map_0168#28	あと寝るのもだ。寝るのはプロ級だぜ。
map_0168#29	でもそんなことで雇ってくれる奴なんかいねえし、じゃあ何の意味があるんだよ?!
map_0168#30	マニー: 俺たちが知ってることって、全部こう……
map_0168#31	ずっと過去に取り残されてるって思わねえか。
map_0168#32	そういう感じ、わかるか、相棒?
map_0168#33	俺も、過去に取り残されてる気がするんだ。
map_0168#34	マニー: \PN! 相棒! ちょうど話したかった相手だ!
map_0168#35	どうすりゃいいかわかんねえよ!
map_0168#36	俺のダチのアーチャーが「実りある人生の道」とかいうたわ言に夢中でさ、
map_0168#37	そりゃ、お前やあいつみたいに頭が良けりゃ問題ないだろうけど、俺たちはどうすんだよ?!
map_0168#38	底辺の連中のことも考えてくれよ、相棒!
map_0168#39	俺には何もできねえんだ!
map_0168#40	言われたことをやるのだけは得意なんだよ!
map_0168#41	具体的な指示が要るんだ! あそこに行け、これをやれって!
map_0168#42	アーチャーはそれをくれるんだ! 街の復興作業だってそうだった!
map_0168#43	でも大抵の仕事はそうじゃねえ! じゃあどうしろってんだ?
map_0168#44	わかるだろ、なあ?!
map_0168#45	「7番街レベル」
map_0168#46	「ラピスワードレベル」
map_0169#0	クラウドバリー: 人の家に勝手に入り込んで、好き放題できるとでも思っているの?
map_0169#1	出ておいき、この路上のクズが!
map_0169#2	あなたにここでするようなことなど、何もないわ!
map_0169#3	しっ、行きなさい!
map_0169#4	クラウドバリー: ちょっと待って……
map_0169#5	その者よ!
map_0169#6	それよ、警官!
map_0169#7	警官: 何とおっしゃいました?
map_0169#8	クラウドバリー: それが、わたしのポケモンを盗んだ者よ!
map_0169#9	警官: ……\PN?
map_0169#10	失礼ですが、お間違いかと。\PNがそんなことをするとは思えません。
map_0169#11	それどころか、\PNはロドクラインジャングルのおりに閉じ込められていた私を助けてくれたんですよ!
map_0169#12	それに、他の警察隊員たちも救ってくれました!
map_0169#13	あの、申し訳ありませんが、人違いですよ。
map_0169#14	クラウドバリー: わたしはこの目で見たのよ!
map_0169#15	警官: はあ。
map_0169#16	申し訳ありませんが、あなたがわめいているときにたまたまドアから入ってきたというだけで、\PNを罪に問うことなどできません。
map_0169#17	警官: あの人ですか?
map_0169#18	いやいや、まったく悪党には見えませんが。
map_0169#19	クラウドバリー: この目でしっかり見たのよ!
map_0169#20	間違いないわ、それがわたしのポケモンを盗んで出ていった者よ!
map_0169#21	警官: 申し訳ありませんが、お間違いですよ。
map_0169#22	というのも、あなたがアクア団とマグマ団の抗争の標的になっていたことは、すでにわかっているんです。
map_0169#23	それに、彼らの記録は全員分すでに把握しています。
map_0169#24	この方が彼らの一員ではないことは、確かに申し上げられます。
map_0169#25	そういうタイプにも見えませんし。
map_0169#26	いいですか、クラウドバリーさん、たまたま家に入ってきた見知らぬ人を、何でもかんでも犯人扱いするわけにはいかないんですよ。
map_0169#27	クラウドバリー: わたしをうそつき呼ばわりするの?!
map_0169#28	よくもそんなことをほのめかせるわね、この恩知らずな、みじめな役立たずが!
map_0169#29	あなたの上司と話をさせなさい!
map_0169#30	いいえ! 手紙を書いてやるわ!
map_0169#31	それであなたはクビになるのよ!
map_0169#32	それで飢え死にするといいわ!
map_0169#33	ああ、この街は一体どうなってしまったの?!
map_0169#34	クソだわ。
map_0169#35	完全なクソよ、それだけのことだわ!
map_0169#36	だからあちこちで、そこら中で、爆発事件なんか起きるのよ!
map_0169#37	お上なんて、ただのならず者の集まりじゃない!
map_0169#38	クズ!
map_0169#39	胆汁!
map_0169#40	蛇よ!
map_0169#41	警官: おい。
map_0169#42	どうりで皆、この案件を誰が担当するかでくじを引きたがったわけだ……
map_0169#43	クラウドバリー: あなたの街は生きているのよ! 何十年もあなたたちの保護に頼って栄えてきたのに、それをゴミみたいに扱うなんて!
map_0169#44	つまりこれが、ゴミの街ってわけね。
map_0169#45	だから好きにすればいいわ――さあ、やりなさいよ!
map_0169#46	このヘドロの街、汚物の街、腐敗の街には、何の影響もないんだから!
map_0169#47	ブーッ!
map_0169#48	ブーッ!!
map_0169#49	ガラクタ!
map_0169#50	泥沼!
map_0169#51	汚物!
map_0169#52	ヘドロ!
map_0169#53	ブーッ!!!
map_0169#54	ブーッ!!!!!
map_0169#55	クラウドバリー: わたしの前から消えなさい。
map_0169#56	クラウドバリー: あの汚物が、わたしをここまで追ってきたというの?
map_0169#57	またわたしの家をけがすつもり? もう一度わたしの人生に汚物を浴びせるつもり?
map_0169#58	その気になれば、7番街の犬どもに金を払って、あなたの家族を殺させることだってできるのよ!
map_0169#59	わたしに逆らわないことね、この哀れな豚っ子が!
map_0169#60	出ていかないなら、無理やり出ていかせてやるわ!
map_0169#61	この前の、あなたたちのノミだらけの犬ころ騒ぎのあと、多少の自衛に投資することにしたのよ。
map_0169#62	7番街で手に入る最高のポケモンはもう買ってあるわ、あなたがこの世に生まれてきたことを後悔させてあげる!
map_0169#63	……バァァァァ!
map_0169#64	クラウドバリー: ギャアアアアア!!!
map_0169#65	役立たずだわ。このポケモンたち、役立たずよ!
map_0169#66	こんなにお金を払ったのに――あの怪しい業者、あの卑劣な豚め!
map_0169#67	あいつを逮捕させてやるべきだわ。
map_0169#68	アーチャー: それは、まずい考えだな。
map_0169#69	マクスウェル: できるもんかよ。
map_0169#70	クラウドバリー: ああああ! わたしの家から出ていって!
map_0169#71	アーチャー: さて、なぜそうしなければならない?
map_0169#72	あなたの恐ろしい違法ポケモンで、私を追い出すつもりか?
map_0169#73	それに、あの業者を逮捕させることなど、そもそもできまい。あなた自身も進んで違法取引に加担していたのだからな。
map_0169#74	何かしようとすれば、自分の身を滅ぼすだけだ。
map_0169#75	マクスウェル: ふん、よく言うぜ。
map_0169#76	そのすげえ恐ろしいポケモンで、俺たちを切り倒すってか?
map_0169#77	おっと、待てよ! もうノックダウンしちまってるじゃねえか。手札切れだな、ベイビー。
map_0169#78	とにかく、あんたは誰も逮捕できやしねえよ。
map_0169#79	違法取引だってわかってて買ったんだ、犯罪者はあんたの方だろ?
map_0169#80	自分をろうやにぶち込むことになるだけだぜ。
map_0169#81	クラウドバリー: よくもそんな口を!
map_0169#82	アーチャー: というわけだ。
map_0169#83	私たちの要求はこうだ。
map_0169#84	まず、その悪魔じみた金切り声をやめること。
map_0169#85	次に、二度と7番街には戻らないこと。
map_0169#86	わかったか?
map_0169#87	マクスウェル: 口を閉じてよく聞けよ、あんた。
map_0169#88	あんたが裏社会をいじめ回す日々は終わりだ。
map_0169#89	もし俺や仲間の誰かが、7番街であんたを見かけたら、ろくなことにはならねえぞ。
map_0169#90	わかったか?
map_0169#91	クラウドバリー: ぐぬぬぬ……
map_0169#92	アーチャー: 合意だな。\PN、行こう。
map_0169#93	マクスウェル: それを、心からの従順の返事として受け取っておくぜ。
map_0169#94	さて、これで片づいたな。行くぞ、\PN。
map_0169#95	クラウドバリー: ぐるるるる。
map_0169#96	どうしたらいいかわからないの!
map_0169#97	うちの息子が、突然いなくなってしまって!
map_0169#98	一体どこへ行ってしまったの?
map_0169#99	え? ポケモンに追い詰められてた子供を見つけたの?
map_0169#100	それ、うちの子に違いないわ!
map_0169#101	でも、もしもう家に帰ってきていたら?
map_0169#102	明らかに、まだここには着いていないわ。
map_0169#103	ああ! 途中で何かあったに違いないわ!
map_0169#104	無理を承知でお願いするけど、探しに行ってもらえない? すごく心配で、自分では遠くまで行けないの。
map_0169#105	お願い、頼むわ!
map_0169#106	最後に見たとき、あの子は壁の下の方でポケモンと遊んでいたの……
map_0169#107	それで、あっという間にいなくなってしまって!
map_0169#108	子供が神隠しにあったなんて話も聞くけど、きっとここからベリル大橋の間のどこかにいるはずよ!
map_0169#109	そうよね?
map_0169#110	……そうよね???
map_0169#111	やってくれたのね! うちの赤ちゃんを見つけてくれて! お礼の言葉もないわ。
map_0169#112	たいしたものじゃないけど、デパートシール、使い道あるかしら?
map_0169#113	もっと深い感謝の印だと思ってちょうだい……
map_0169#114	……それに正直に言うと、このポケモンとは、もう二度と顔を合わせたくないの。
map_0169#115	\PNはデパートシール「フワンテ」を手に入れた!
map_0169#116	あら、会員カードをお持ちじゃないの? それは残念。
map_0169#117	ぜひ手に入れてきてね! それで、また戻ってきてちょうだい!
map_0169#118	あれ……前にどこかで会ったっけ?
map_0169#119	そうだ! テレビに出てたトレーナーさんだ!
map_0169#120	ゴシップサーナイトが、あなたのこと色々話してたよ、あちこちで悪のメテオ団と戦ってるって!
map_0169#121	すごくかっこいい!
map_0169#122	サイン、もらえます?!
map_0169#123	サインするもの、あんまり持ってないんだけど……
map_0169#124	ええと、このシールでどう?
map_0169#125	ううん、それはバカげてる。ていうか、あげちゃう!
map_0169#126	うん、受け取って! あなたみたいな有名人の力になれるなんて、すごくうれしいから。
map_0169#127	あら、会員カードをお持ちじゃないの?
map_0169#128	本当に、色々ありがとう!
map_0169#129	いつか、あなたみたいに強くなるんだ!
map_0169#130	ポケモントレーナーって、すごくかっこいい!
map_0169#131	ポケモンを手に入れて、ジムリーグに挑戦したいな!
map_0169#132	チャンピオンって、どんな人なんだろう?
map_0169#133	アーチャー: ようこそ、\PN。来てくれてうれしいよ。
map_0169#134	デファクト: マニーとラジーは、作戦中の本部の警護に充てられている。
map_0169#135	アーチャー: つまり、我々四人だけということだ。よく聞け。
map_0169#136	状況はこうだ。マグマ団が、ラピスの富豪の一人が所有する、あるレアなポケモンに目をつけている。
map_0169#137	奴らのことだ、盗んだ上でこちらに罪をなすりつけようとするだろう。だから、押し入ってそれを阻止しなければならない。
map_0169#138	いざとなれば、そのポケモンは我々が頂く。
map_0169#139	デファクト: 先ほどの標的は、イグノーシャ・クラウドバリー氏と判明している。
map_0169#140	彼女を表す適切な言葉は「行き遅れ」だろう。
map_0169#141	あるいは「老いぼれ」。
map_0169#142	あるいは「通りすがりに一瞬より長く目を合わせただけで、市警察を呼んだ腐りきった魔女」。
map_0169#143	彼女を知っているなら、みじめな老婦人だ。
map_0169#144	実際は、知らなくてもみじめな人物なのだが、知らずに済む方がまだましというものだ。
map_0169#145	ピアース: 誰も興味ないぜ、デファクト。
map_0169#146	デファクト: 私はただ、新入りに彼女の人となりを伝えていただけだ。
map_0169#147	アーチャー: とにかく、我々の評判と安全がかかっているんだ!
map_0169#148	出発するぞ、マグマの企みに終止符を打とう!
map_0169#149	デファクト: 了解した。
map_0169#150	アーチャー: そこで落ち合おう、\PN。待っている。
map_0169#151	マクスウェル: 来てくれて助かったぜ、\PN。
map_0169#152	ダーム: ニヒルとクリズは基地の警護に残った、今回の作戦の主力はこれで全部だ。
map_0169#153	フーハー!
map_0169#154	マクスウェル: よし、それじゃ状況を説明するぜ。
map_0169#155	アクア団が、ラピスで一番の金持ち女から、あるレアなポケモンを盗む計画を立ててる。
map_0169#156	俺たちの仕事は、そこに乗り込んで奴らに何も持たせないことだ。
map_0169#157	奴らの鼻先から、まんまと横取りしてやるのさ。
map_0169#158	ブレーク: 今回の標的はクラウドバリーさんだよ。
map_0169#159	というか、マジでさ。俺が小売の仕事してたとき、あの人来て、ちょうど掃除したばかりの店がほこりっぽいって文句言い始めて――
map_0169#160	マクスウェル: ブレーク。
map_0169#161	ブレーク: 悪い、ボス。
map_0169#162	マクスウェル: よし。目的はわかってるな。
map_0169#163	今回は、アクアに最後に笑ってやろうぜ。
map_0169#164	ダーム: よっしゃ! ブラーバリーさんとやらの家で会おう!
map_0169#165	マクスウェル: ダーム。
map_0169#166	ダーム: 悪い、ボス。
map_0169#167	マクスウェル: そこで落ち合おう、\PN。早めに来てくれ。
map_0169#168	ピアース: ……
map_0169#169	ブレーク: アクア団とマグマ団を掛け合わせると、何ができると思う?
map_0169#170	どけよ。
map_0169#171	デファクト: そろそろ会合が始まるはずだ。
map_0169#172	ダーム: 奴らの頭蓋骨をぶん殴って進もうぜ! とにかく何かしようぜ!
map_0169#173	クラウドバリー: ならず者たちに突き飛ばされたわ……誰か、助けて!
map_0169#174	ピアース: 行けよ、\PN。
map_0169#175	ダーム: マスター・マン、ダーム、再び参上! 食らえ、か弱き老婦人!
map_0169#176	よお\PN、アクアはもう来てるぞ! 俺はここに残って、あのクラッドバリーさんとやらがこそこそしないか見張るから、お前は助けに行ってくれ!
map_0169#177	警官: 失礼、今立て込んでおりまして。
map_0169#178	警官: ああもう、奥さん、黙ってください。
map_0169#179	眠っているようだ。
map_0169#180	夫のことがずっと心配で……もう何週間も具合が悪くて、何をしても良くならないの。
map_0169#181	何もかも試したわ! まあ、ひとつを除いては――
map_0169#182	いえ、いえ。それは考えられないことだわ。
map_0169#183	いいの、忘れて。口に出す気にもなれないから。
map_0169#184	あら、あなただったのね! こんにちは! あなたのおかげで、夫はほとんどすぐに良くなったの。
map_0169#185	本当にほっとしたわ!
map_0169#186	でも正直に言うと、7番街をこっそり歩き回るのは、久しぶりに楽しかったわ。
map_0169#187	また今度、行ってみようかしら。
map_0169#188	やあ。新しいわざ、興味ある?
map_0169#189	これを覚えられるポケモン、少なくとも一匹はいるだろ?
map_0169#190	よし。「みずのちかい」には、あおいかけらが3個必要だ。
map_0169#191	でも、かけらは持ってないみたいだな。ちょっと理由があって必要なんだ。見つけたらまた来てくれ、な?
map_0169#192	取引できて何よりだ。
map_0169#193	よし。「ほのおのちかい」には、あかいかけらが3個必要だ。
map_0169#194	よし。「くさのちかい」には、みどりのかけらが3個必要だ。
map_0169#195	ちなみに、これらのわざのやり方は、リボーンでは他の地方とは少し違うんだ。
map_0169#196	大抵のトレーナーの出身地では、これらのわざはダブルバトルでしか特殊な効果を発揮しないけど……
map_0169#197	リボーンでは、十分に間を置かずに組み合わせて使えば、シングルバトルでもフィールドを変化させられるんだ!
map_0169#198	またな。
map_0169#199	レベル制限が35のまま、とんでもなく広い空間があるのはなぜなのか、説明してほしいんだけど?
map_0169#200	難易度がはっきり上がったから、一人目二人目のときと同じように、三人目のリーダーに備えて鍛えようとしたんだ。
map_0169#201	なのに、ポケモンに言うことを聞かせるために、必死にレベルを上げないようにしなきゃいけないわけ?
map_0169#202	なんで?!
map_0169#203	なんでよ?!
map_0169#204	なんであの人のむしポケモン、みんなあんなにすばやさ高いのよ?!
map_0169#205	レベル35じゃ勝てなくて、しかもレベルを上げちゃいけないなら、一体どうやって戦えっていうのよ?
map_0169#206	ご、ごめん、いらいらしちゃって。
map_0169#207	とにかく――これ、受け取って。
map_0169#208	ごめん、ただ答えが欲しいだけなんだ……
map_0169#209	みずのちかい
map_0169#210	ほのおのちかい
map_0169#211	くさのちかい
map_0169#212	はい
map_0169#213	いいえ
map_0171#0	ねえ、知ってる?
map_0171#1	この前うちのポケモンが「きり」を使ったら、辺り一面すっかり霧に包まれちゃって!
map_0171#2	あまりに濃くて、フィールドそのものが変わっちゃったみたいだったよ!
map_0171#3	長くは続かなかったけどね。
map_0171#4	あなたを最もよく見守る者に、栄光あれ……
map_0171#5	すべての者よ、栄光をささげよ……
map_0171#6	栄光あれ……
map_0171#7	ねえトレーナー、知ってた?
map_0171#8	でんきだまと、ピカチュウZと、イーブイZは、この地方だと特別な性質があるらしいよ!
map_0171#9	自分で試したことはないけど、でんきだまとピカチュウZは、しんかのきせきとかわらずのいしみたいにも働くらしい!
map_0171#10	イーブイZの方は、かわらずのいしとしてしか働かないらしいけどね。
map_0171#11	いやあ、これがあれば、あのポケモンたちを実際に使う気になるかもな。
map_0171#12	かわいそうな街……これからどうなるんだろう?
map_0171#13	最近、オブシディアのポケモンあずかり所の夫婦を訪ねたんだけど……
map_0171#14	中には、老夫婦のふりをした二人組のならず者が、カウンターの奥にいた。
map_0171#15	あの夫婦に何も悪いことが起きていませんように。
map_0171#16	今のわたしには、どうすることもできないけれど……
map_0171#17	……何ですって? あの夫婦、助けられたの?
map_0171#18	ああ、良かった。この街にもまだ希望があるのかもしれないわね。
map_0171#19	ふうむ……トレーナーさんだね? それなら、わたしから助言をひとつどうだい?
map_0171#20	ポケモンがタマゴわざを覚える方法は、繁殖だけじゃないんだよ。
map_0171#21	同じ種類のポケモンを二匹、あずかり所に預けてごらん。
map_0171#22	覚える余地がある限り、ポケモン同士でタマゴわざを教え合うんだ!
map_0171#23	きっと、あんたのポケモンをバトルで新たな高みへ導いてくれるはずだよ。
map_0172#0	1階
map_0172#1	屋上
map_0172#2	1階
map_0173#0	エリキテルが日光を浴びて充電している。
map_0173#1	エリキテルにポケスナックをあげますか?
map_0173#2	……*もぐもぐ*
map_0173#4	エリキテルは、あなたについていきたそうにしている。
