map_0827#2755	「街の下のくさい水場所にある扉を人間が行って助ける！」
map_0827#2842	しばらく姿を消してたって噂で聞いたぜ、休みが必要ってのはわからなくもねえけど、正直がっかりしたんだよな。
map_0827#2843	でも戻ってきて、また一緒にやってくれるってわけだ！
map_0827#2844	伝説のやつらがまたそこらで暴れてるぜ。
map_0827#2845	俺たちがやらなきゃ、誰がなんとかすんだよ？
map_0827#2846	一緒にやってくれるよな？
map_0827#2847	クリソリアから、森の近くのどこかから大量の蒸気が吹き出してるって報告がいくつか来てるぜ。
map_0827#2848	新世界の扉もなし、目撃情報もなし――ただ蒸気がすごいだけ。
map_0827#2849	住民たちも心配してる。
map_0827#2850	確認しに行かねえとな。
map_0827#2851	多分どっかに伝説のやつが隠れてんだろ。新世界の入口があるかどうかはわかんねえけど。
map_0827#2852	いつも通りの捜索と排除だ。
map_0827#2853	栄光のためにな、ベイビー！
map_0827#2854	シークレスト: また会ったな！
map_0827#2855	チャンピオンロードの奥深くに、アノマリーの世界が出現したっていう新しい報告があるぞ。
map_0827#2856	見つけたのは、年老いた鉱夫じゃった！
map_0827#2857	昔の採掘場を見回っていたら、一つどころか――二つどころか――三つどころか――なんと合計四つも、別世界に続く不思議な扉を見つけたそうじゃ！
map_0827#2858	だが、その者の報告によると、どれもすべて完全に空っぽだったそうでな……
map_0827#2859	怪しいと思わんかね？
map_0827#2860	これ、やってみるかね、小さなチャンピオンよ？
map_0827#2861	シークレスト: よし、いいぞ！ その意気じゃ。
map_0827#2862	これらの扉は、チャンピオンロードの最も深い場所で見つかったと報告されとる。
map_0827#2863	あんたほどのチャンピオンなら、それがどこか、きっとわかるはずじゃ！
map_0827#2864	おや？ それは驚いた。
map_0827#2865	じゃあ、準備ができたときにでも！
map_0827#2866	準備ができるまでは、何をしても意味がないからな！
map_0827#2867	シークレスト: チャンピオンロードの最も深い場所に、合計四つのアノマリー世界が隠れているという報告が入っとる！
map_0827#2868	四つとも空っぽだったが、何かが起きているに違いない。
map_0827#2869	誰かに解き明かせるとすれば、それはあんたじゃろう。
map_0827#2870	頑張るんじゃぞ、小さなチャンピオンよ！
map_0827#2871	アーチャー: 新しい状況だ。
map_0827#2872	あの、あなたが並々ならぬ苦労をして手に入れ、盗まれないよう守り抜いたブルーオーブを覚えていますか？
map_0827#2873	さて、何がなくなったかわかりますか。
map_0827#2874	それが報告されたのとほぼ同時に、スギライン洞窟で巨大なエネルギー反応が急上昇しました。
map_0827#2875	それが関連していて、オーブを再び取り戻せることを望んでいますが、保証はありません。
map_0827#2876	都合が良ければ、事態が悪化する前に状況を確認しておくのが有益でしょう、
map_0827#2877	また、ですが。
map_0827#2878	マクスウェル: よぉ、\PN……
map_0827#2879	そうだな……これは俺が伝えなきゃいけないっぽいな……
map_0827#2880	あの、前に大変な思いして取り戻して、安全に保管してたブルーオーブ、覚えてるか？
map_0827#2881	そうなんだよなぁ……
map_0827#2882	またなくなった。
map_0827#2883	誰が、どうやって、なんでかは全然わからねえ――
map_0827#2884	でも、同じ頃にスギライン洞窟で巨大なエネルギーの急上昇を確認した。
map_0827#2885	運がよけりゃ、それがブルーオーブと関係あるかもしれねえ。
map_0827#2886	受けるなら、これがお前への指令だ。
map_0827#2887	そこまで山道を歩いて、確認して、何もドラマチックなことが起きないよう祈る。
map_0827#2888	まあ、何も起きなかったら、それはそれでつまんねえけどな。
map_0827#2889	以上、頼んだぜ。
map_0827#2890	アーチャー: エイギル洞窟のアノマリーの状況報告。
map_0827#2891	まだレックウザがそこに届けられるのを待っています。
map_0827#2892	それが届くまで、リーダーのティタニアとアマリアは、永遠に続くアンブラルの衝突に閉じ込められています。
map_0827#2893	どこかで聞いたような話だと感じずにはいられません……
map_0827#2894	マクスウェル: よお、\PN！
map_0827#2895	確認いるか？
map_0827#2896	エイギル洞窟のあの女たちは、終わりのない争いに閉じ込められてる。
map_0827#2897	それを止めるには、レックウザを連れていく必要があるぜ。
map_0827#2898	まあ、それがすぐに現れてくれればの話だけどな。
map_0827#2899	でも、余ってるレックウザがいて使い道に困ってるなら、俺に声かけてくれよな。
map_0827#2900	あの背中に乗ったら、めちゃくちゃなライドになりそうだよな、なあ？
map_0827#2901	ああ、どうも。あなたが\PNですね。
map_0827#2902	他の何人かから、あなたのことは聞いています。
map_0827#2903	伝説ポケモンの流入への対処を手伝いに来てくれたと考えていいですか？
map_0827#2904	助けはいくらあっても足りませんから、本当に助かります。
map_0827#2905	最初に扉が開いた頃に比べれば、多少落ち着いてきてはいますが……
map_0827#2906	カイオーガの群れが街に押し寄せてくるときのことを考えると、正直気が重いです。
map_0827#2907	アドリエンヌにはもう十分すぎるほど、対応することがありますから。
map_0827#2908	とにかく、こちらで扱っているものについて説明させてください。
map_0827#2909	もう後ろにあるカラフルなタイルには気づいていますよね。
map_0827#2910	あれは地図です。
map_0827#2911	アノマリーを検知すると、その地図には、検知されたおおよその場所が自動的に印付けされます。
map_0827#2912	その地図は、あなたのポケギアの地図と対応しています。
map_0827#2913	まあ……だいたいは。
map_0827#2914	気づいているかわかりませんが、この地方は本当にグリッド状に配置するのが難しいんです。
map_0827#2915	一番上あたりの少し暗めのタイルは、カルセノン、ラブラドラ、3番道路を表しているつもりです。
map_0827#2916	本当に、これでも精一杯やったんですよ。
map_0827#2917	どこに向かえばいいか正確にわからない場合は、ここのスタッフが正しい方向を教えてくれます。
map_0827#2918	アノマリーを調査する前に、誰かに一度声をかけておくのが一番いいでしょう。
map_0827#2919	正直、事前に何が見つかるか正確にはわかりません――何かがそこにあるということしかわからないんです。
map_0827#2920	声をかけてもらえれば、ここの状況を整理しておけますし、万が一戻ってこなかった場合に、こちらから捜索チームを送ることもできます。
map_0827#2921	……備えあれば憂いなし、ですから。
map_0827#2922	ところで、あなたの後ろの地図に、点滅しているマーカーがあるのがわかりますか。
map_0827#2923	そのアノマリーはヴァンハネン城の中にあります。
map_0827#2924	何があったかはわかりませんが、セラとノエルが今、その中に閉じ込められています。
map_0827#2925	何があったかはわかりませんが、セラ、アンナ、ノエルが今、その中に閉じ込められています。
map_0827#2926	確認しに行きますか？
map_0827#2927	いいですね！ どうか頑張ってください。
map_0827#2928	ちなみに、私はキャスといいます。何か必要なことがあれば、ここにいますから。
map_0827#2929	ふうん、わかった。後で決めたら教えてね。
map_0827#2930	ねえ。準備できた？
map_0827#2931	……うん、いや、大丈夫そうだね。
map_0827#2932	行ってらっしゃい。
map_0827#2933	……まだ？
map_0827#2934	何を待ってるのか知らないけど、あの城の中にいる人たちが何を待ってるかは知ってる。あんただよ。
map_0827#2935	わかった、まあいいけど。でも、みんなまだ中に閉じ込められてるままだからね。
map_0827#2936	キャス: あ、おかえり。確認いる？
map_0827#2937	キャス: ヴァンハネン城で何かあったの。
map_0827#2938	セラとノエルがその中でのんびりしてる。
map_0827#2939	……本人たちの意思にはほぼ反してだけどね。
map_0827#2940	セラとノエルとアンナがその中でのんびりしてる。
map_0827#2941	さっさと乗り込んで助け出してきて。
map_0827#2942	キャス: ……またこれ？
map_0827#2943	あんたも行くとこあるでしょ。
map_0827#2944	それに、正直あたしにもあるし。
map_0827#2945	じゃ、また後でね。
map_0827#2946	キャス: あら？ で、何であたしに話しかけてんの？
map_0827#2947	キャス: あら、あんたか。
map_0827#2948	キャス: あ！ 戻ってきたんだ。
map_0827#2949	城の件、うまくいったってもう聞いてるよ。
map_0827#2950	っていうか……自分の家が別次元と融合したのに「うまくいった」は言い過ぎだけど……
map_0827#2951	でも、みんな見つけて、アノマリーも片付けたんでしょ。
map_0827#2952	それはよかった！ あんたが行ってる間に、めちゃくちゃたくさん出てきてるから。
map_0827#2953	ほんと、めちゃくちゃたくさんね。
map_0827#2954	ありがたいことに、こっちの管理を手伝ってくれる人が増えたよ。
map_0827#2955	ここの他の受付の人たちも、アノマリーの情報を配ってるから。
map_0827#2956	まだ話してないなら、その人たちにも話しかけてみて！
map_0827#2957	それはそうと、鳥がいるんだよ！
map_0827#2958	きれいな鳥、怒ってる鳥、それに文字通り燃えてる鳥が、この地方に現れたっていう報告があるの。
map_0827#2959	「伝説」がらみのこの状況を考えると、多分フリーザー、サンダー、ファイヤーだと思う。
map_0827#2960	でも、特に妙な反応は検知されてないから、アノマリーではないと思うんだよね。
map_0827#2961	一応、報告があった場所は地図に印つけといたよ。
map_0827#2962	アポフィルからの報告、アメトリンからの報告、それにベリル大橋あたりからの報告があるの。
map_0827#2963	あたしのメモによると、その子たちがいるのは……
map_0827#2964	……「テーマ的に関連のある場所」なんだって……
map_0827#2965	……それが何を意味するかは知らないけど。
map_0827#2966	行って確認してきて！
map_0827#2967	キャス: どうも。何の用？
map_0827#2968	そうそう。クエストの件ね。
map_0827#2969	もともとは、サーカスのリングマスターが書類仕事を手伝いにここに来てたんだけど、
map_0827#2970	キャス: もともとは、サーカスのリングマスターが書類仕事を手伝いにここに来てたんだけど、
map_0827#2971	でも、この報告が入ってきたら、意味不明なこと叫んで、階段でつまずいて、逃げてったんだよね。
map_0827#2972	だから今、またあたしがここにいるってわけ。
map_0827#2973	あんたと一緒に。
map_0827#2974	サーカスにメロエッタがいるんだって。
map_0827#2975	新世界の入口があるのかどうかは知らないけど、そこの全員が大パニックになってる。
map_0827#2976	行って確認してくる？
map_0827#2977	キャス: よし。
map_0827#2978	現地で会おうね。
map_0827#2979	キャス: ……何。
map_0827#2980	わかった、じゃあどいて。あたしが行く。
map_0827#2981	キャス: 何。
map_0827#2982	これ見逃す気ないから。
map_0827#2983	キャス: じゃあね、クソ野郎。
map_0827#2984	キャス: よお、相棒。
map_0827#2985	また片付けてもらいたいクソみたいな用件があるんだけど。
map_0827#2986	イオリアにあるやつ。
map_0827#2987	じゃあ、行ってきて。
map_0827#2988	キャス: あ、おかえり。
map_0827#2989	アゲートがまるごと眠りにつかされたことあったの、覚えてる？
map_0827#2990	それが、また起きたんだよね！
map_0827#2991	今回は睡眠一つ買うともう一つついてくるセールだって。
map_0827#2992	今回はおまけの前菜つきだよ！
map_0827#2993	悪夢のね！
map_0827#2994	この街、ほんと休む暇ないよね。
map_0827#2995	多分関係あると思うんだけど、あんたをいつも通り抜けさせてる現実の裂け目が、また一つ、イオリアの北側に現れたよ。
map_0827#2996	これ、あたし普段はあんまり言わないんだけど、今回ばかりは事前にちゃんと備えて準備しといた方がいいと思う。
map_0827#2997	その方が面倒が減るはずだから。
map_0827#2998	バックアップのセーブデータでも作っといたら？
map_0827#2999	作んなくてもいいけど。
map_0827#3000	でも、とりあえずやっといて。
map_0827#3001	あたしを信じて。
map_0827#3002	キャス: 相棒、イオリアって言ったでしょ。
map_0827#3003	ほら、あんたの後ろの、あのでっかい地図にあるやつ。
map_0827#3004	キャス: は？
map_0827#3005	もしかしてイオリアがどこにあるか知らないの？
map_0827#3006	ほら。手伝ってあげる。
map_0827#3007	キャス: じゃあ、目を閉じて。
map_0827#3008	キャス: これがイオリアだよ。楽しんできて。
map_0827#3009	キャス: あんたをいつも通り抜けさせてる現実の裂け目が、また一つ、イオリアの北側に現れたよ。
map_0827#3010	ここでは、苦労して稼いだバトルポイントを、性格を変えるミントと交換できます。
map_0827#3011	今日は何にしますか？\ch[62,-1,1 BP- さみしがりミント,1 BP- ゆうかんミント,1 BP- いじっぱりミント,1 BP- やんちゃミント,1 BP- ずぶといミント,1 BP- のんきミント, 1 BP- わんぱくミント,1 BP- のうてんきミント,1 BP- おくびょうミント,1 BP- せっかちミント,1 BP- まじめミント,1 BP- ようきミント,1 BP- むじゃきミント,1 BP- ひかえめミント,1 BP- おっとりミント, 1 BP- れいせいミント,1 BP- うっかりやミント,1 BP- おだやかミント,1 BP- おとなしいミント,1 BP- なまいきミント,1 BP- しんちょうミント]
map_0827#3012	リン: というわけで！
map_0827#3013	よくやったね、その、なんていうか……
map_0827#3014	……あたしを殺さなかったこと！
map_0827#3015	本当にね
map_0827#3016	立派な道徳の模範だよね……
map_0827#3017	リン: これって超変な状況だよね。
map_0827#3018	わかってるよね？
map_0827#3019	あたし、こうやって。
map_0827#3020	ただ座ってるの。
map_0827#3021	ナイトクラブで。
map_0827#3022	この地方の名士連中が集まる一等地で。
map_0827#3023	しかもあたしがずっと吹っ飛ばそうとしてた街の、オブシディアワードの中にあるとこで！！！！
map_0827#3024	この地方最強のトレーナーたちが、すぐ隣の部屋にいるんだよ！
map_0827#3025	今この瞬間にも、そのうちの誰かがふらっとこっちに歩いてきて……あたしを終わらせるかもしれないんだよ！
map_0827#3026	正当な話だし！
map_0827#3027	つーか、あたしが今座ってるすぐ横には、あんたたち全員があたしのクソみたいなことに対処するために作った、光る地方の地図があるんだよ。
map_0827#3028	なのに、みんなあたしのこと放っておいてくれてる！
map_0827#3029	中には、あたしに話しかけてくる人までいる！
map_0827#3030	なんで？？？？？？？？？？？？？？？
map_0827#3031	あんたたち一体どうなってんの？？？？？？
map_0827#3032	誰を残虐に殺せば、ここで誰かを怒らせられるわけ？？？？
map_0827#3033	あたしはただ……………………
map_0827#3034	……………………………………………………
map_0827#3035	……………………わかんない。
map_0827#3036	リン: でも、このソファーはいいね。
map_0827#3037	なんか……考えることが色々あるみたい。
map_0827#3038	リン: ねえ。
map_0827#3039	考えといたよ。
map_0827#3040	で、考えてる間に……
map_0827#3041	何人かに邪魔された。
map_0827#3042	テラが来たの。あたしに会えてすごく嬉しそうだった。
map_0827#3043	ピエロに熊みたいなハグされたことある？
map_0827#3044	それに対して心の準備ができるとは思えないんだよね。
map_0827#3045	しかも、過去にそのピエロにあんまり優しくしてなかったならなおさら。
map_0827#3046	あの子、あたしと一緒に遊びたいみたいなの。
map_0827#3047	バイトするには若すぎるし、サーカスもここから遠すぎるって言っといた。
map_0827#3048	信じてもらえなかったと思うけど。
map_0827#3049	リン: アンナも寄ってきた。
map_0827#3050	……今回は世界を終わらせなかったよ。
map_0827#3051	やったね？
map_0827#3052	ただなんか……話しただけ！
map_0827#3053	何も特別なことは話さなかった。まあ、話したっちゃ話したけど、ただの世間話だったよ。
map_0827#3054	あの子、これを全部あっさり受け止めてる感じなんだよね。あたしたちの一人が文字通り神モードになっても、あの子はただ「うん、オーケー。でも、あんたが濡れてないだけましだよね！」みたいな。
map_0827#3055	なんて変な子。
map_0827#3056	だから昔からずっと仲良かったんだろうな。
map_0827#3057	リン: てかさ、普通の人って、その、何すんの？
map_0827#3058	自分の人生で？
map_0827#3059	ただここに座ってるだけ？
map_0827#3060	ビデオゲームでもやる？
map_0827#3061	てかさ。あんたも当然、わんちゃんを外に連れ出してひとっ走りさせたことあるよね？
map_0827#3062	……待って。
map_0827#3063	……あんた……あんた、まさか……
map_0827#3064	<b><i>殺した</i></b>りしてないよね？
map_0827#3065	リン: わんちゃんは……あたしのすべてだったのに……
map_0827#3066	リン: あんた最低。
map_0827#3067	行くね。
map_0827#3068	止めようとしないでよ。
map_0827#3069	いい心がけ。
map_0827#3070	大丈夫。
map_0827#3071	止めたくたって、あんたには止められないから。
map_0827#3072	じゃあね。
map_0827#3073	てかさ。あんたも当然、\v[62]を外に連れ出してひとっ走りさせたことあるよね？
map_0827#3074	自分だけのアルセウス伝説、作った？
map_0827#3075	へへへ。
map_0827#3076	いつか試してみなよ！
map_0827#3077	こんなクソよりずっと楽しいから。
map_0827#3078	リン: てかさ、なんであんたがあたしと喋れてるのか、いまだによくわかんないんだけど。
map_0827#3079	理由も含めて。
map_0827#3080	……まあ、あんたって基本誰とも本当の意味で「喋って」ないもんね。ただ目に何か光らせて突っ立ってるだけで、なぜかみんなちゃんと察してくれる。
map_0827#3081	無口な主人公って発明したの間違いだったんじゃない。
map_0827#3082	リン: あんた、ほんっとうに、あたしにもう一回世界終わらせてほしくないの？
map_0827#3083	ちょっとした余興でさ？
map_0827#3084	てかさ、楽しかったの知ってるでしょ！！ あんたまだ……えーと……一回……二回……
map_0827#3085	……\v[62]回しかプレイしてないじゃん！
map_0827#3086	それ以上かもだけど。別に責めてるわけじゃないよ。
map_0827#3087	たまには負けを認めたって死にはしないでしょ？ カウント取りづらくて仕方ないんだけど。
map_0827#3088	リン: てことで、聞いて。あんたが立ち寄ってくれるのは嬉しいよ。
map_0827#3089	でも、もう話すことないんだよね。
map_0827#3090	……いや、あるかもしれない。人に何言ったか適当なことまでいちいち覚えてないし。
map_0827#3091	でも、間違いなく今、適当なこと言ってる段階だから。
map_0827#3092	他に何かやることでも見つけに行きなよ。
map_0827#3093	……それとも、そのソファーに話しかけに来たとか？
map_0827#3094	だとしたら、あんたただの間抜けだけど。
map_0827#3095	ソファーは喋れないんだよ、間抜け！！！！
map_0827#3096	リン: ねえ
map_0827#3097	それでさ
map_0827#3098	もっと<i>楽しい</i>ことしたくない？？？
map_0827#3099	今度誰かにパスワード聞かれたら、「debugmode」って答えてみて。
map_0827#3100	ぶっ壊れちゃいなよ。
map_0827#3101	まあ、やらなくてもいいけど。
map_0827#3102	あたしは何も言わないよ。
map_0827#3103	でも他の人は言うかもね。あんたと遊びたがらなくなるかも。
map_0827#3104	向こうの損だよね！
