map_0462#60	ヘザー: あの、もしもし?
map_0471#25	ティタニア: チッ。あんたの大事なチームが、秘密を守るのがそんなに得意だなんて思わないほうがいいわよ。
map_0471#26	もう何ヶ月も、あんたのところの下っ端たちと情報のやり取りをしてきたの。
map_0471#27	それで、毎回ちゃんと連中を欺いてきたわ。
map_0471#28	おかげで、望んでもいないのに嘘をつくのがうまくなっちゃった。
map_0471#29	でも、それがお互いを利用し合ってるだけの集団ってものよ。
map_0471#30	簡単に付け込めるの。
map_0471#31	あんたも例外じゃないわ。
map_0471#32	タカ: まあ、何とでも言ってよ。
map_0471#33	結局、あんたはそっちに閉じ込められたままだし、僕には管理しなきゃいけない作戦があるんだ。
map_0471#34	だからよかったら、そっちをやりに行くよ。
map_0471#35	じゃあね。
map_0471#36	ティタニア: そのまま逃げるってわけ。
map_0471#37	ほんと、立派なエージェントだこと。
map_0471#38	チームメテオに、あんたほどの人材がもっといないのが残念ね。
map_0471#39	まあいいわ、これじゃ面倒だから。あたしをここから出せそう?
map_0471#40	助かるわ。少しでいいから。
map_0471#41	我々は新たな秩序に、生きても死んでも忠実に仕えよう。
map_0471#42	ケイデン: 私の命は奪えても、私の魂は永遠にアルセウスとともにある。
map_0471#43	今の私の務めは果たされた。もう二度と、私があなたを煩わせることはない。
map_0471#44	ティタニア: お先にどうぞ、斥候さん。
map_0472#0	コーラルシャッター解除
map_0472#1	あの女をあたしに近づけるな……あいつはもうあたしの……もういい! お前を代わりに片づけてやる!
map_0472#2	グレッチェン: ……ごめん、姉さん……頑張ったんだけど……
map_0472#3	あたしのはずだったのに……あたしのはずだったのに……
map_0472#4	あ――あたし、もう少しで――
map_0472#5	今、こうして生きていられるのはアルセウスのおかげ……
map_0472#6	ティタニア: また? 新しい手を考えなさいよ。
map_0472#7	タカ: 手?
map_0472#8	まあ、好きなように呼んでくれていいよ。
map_0472#9	でも、あとは自分で考えてみてよ。
map_0472#10	じゃあね。
map_0472#11	ティタニア: あいつ、いつもあんな感じなの?
map_0472#12	とにかく、また来たわね。今度はあんたの番みたい。
map_0472#13	ティタニア: ちょっと休むわ。先に行ってて、あとで追いつくから。
map_0473#0	オパールシャッター解除
map_0473#1	このファイルで水の浄化をスキップする?
map_0473#2	ポケモンがシステムを詰まらせているようだ……
map_0473#3	取り除きますか?
map_0473#4	ストップル: スウゥゥゥ……
map_0473#5	―システム復旧。浄水設備が稼働可能になった―
map_0473#6	はい
map_0473#7	いいえ
map_0474#0	「システム倉庫」
map_0474#1	鍵がかかっている。
map_0474#2	ペリドットシャッター解除
map_0474#3	ペリドットゲート起動
map_0474#4	システム倉庫解除
map_0474#5	\PNはPULSEデータ03を手に入れた!
map_0474#6	PULSE図鑑が更新された!
map_0475#0	「ベリル水路網」
map_0475#1	鍵がかかっている。
map_0475#2	\PNはベリルはいでんもうのカギを使った。
map_0475#3	ティタニア: いい加減にして、一体何が目的なの?
map_0475#4	タカ: 目的?
map_0475#5	見ての通り、命令に従ってあんたたちの足止めをしてるだけだよ。
map_0475#6	ティタニア: たわごと言わないで。
map_0475#7	もう隠そうともしてないじゃない。
map_0475#8	あんたが水位をいじった部屋、あれをしてなかったら、あたしたち一つも通り抜けられなかったはずよ。
map_0475#9	タカ: えぇー、本当に?
map_0475#10	おっと、参ったな。
map_0475#11	どうやらミスしちゃったみたいだ……
map_0475#12	ティタニア: その芝居はもうやめて。
map_0475#13	あんたが何のつもりでそんな回りくどい真似をしてるのか知らないけど、もううんざりなの。
map_0475#14	あんた、チームメテオの側にいるの、いないの?
map_0475#15	タカ: そりゃもちろんいるけど……
map_0475#16	ねえ、そんな単純な話じゃないんだよ。
map_0475#17	ティタニア: あんた次第で単純にできるでしょ。
map_0475#18	タカ: うう……
map_0475#19	正直に言うと、チームメテオのやってることの多くには、僕も賛成できてないんだ。
map_0475#20	でもここに骨をうずめる覚悟でいるから、少なくとも従ってるふりくらいはしないといけないんだよ、分かるだろ?
map_0475#21	ティタニア: いいえ、分からないわ。
map_0475#22	賛成できないなら、仕えなければいいでしょ。
map_0475#23	それで終わりの話よ。
map_0475#24	タカ: 本当に、それを選ぶ余地なんてないんだ……
map_0475#25	ティタニア: 目をふさいで見ないふりをしたって、それが消えてなくなるわけじゃないのよ。
map_0475#26	あんたにはいつだって選択肢があるの。
map_0475#27	ただ、それを選ぶのが怖いだけ。
map_0475#28	タカ: それは――そういうことじゃないんだ……
map_0475#29	ねえ、僕の父さんはチームメテオのリーダーなんだ。
map_0475#30	ティタニア: それで?
map_0475#31	タカ: 僕の一族は……その――
map_0475#32	何世紀も前、リボーンにアルセウスの隕石をまつった文化の、最後の直系の子孫なんだ。
map_0475#33	それを守るのが、僕たちの務めなんだよ。
map_0475#34	僕の生まれ持った権利……
map_0475#35	というか、呪いに近いかな。
map_0475#36	それは変えられないんだ。
map_0475#37	ティタニア: そうやって臆病者みたいに振る舞い続けるならね。
map_0475#38	タカ: 自分の運命から逃げるなんて、それこそ臆病だよ。
map_0475#39	ティタニア: それ、あんたの父親に言われたの?
map_0475#40	あんた自身、チームメテオのやり方には賛成できないって言ったじゃない。なのに、あんたがそれを許してるのよ。
map_0475#41	それはあんたの行動でもあるの。
map_0475#42	気に入らないなら、変えなさい。
map_0475#43	変えられないなら、そこを離れなさい。
map_0475#44	タカ: 君には分からないよ……
map_0475#45	……でも、それでいいんだ。
map_0475#46	僕は先に行くよ。だから友達を取り戻したいなら、ついてきてよ。
map_0475#47	タカ: あ、それと、ここのドアの鍵はラピス水路網の部屋にあるよ――
map_0475#48	もうそこには行った?
map_0475#49	チームメテオとしては、あんたに全部の部屋をクリアされるのは嫌だろうな……
map_0475#50	だから、ちゃんとやっておいたほうがいいよ。
map_0475#51	ティタニア: はっ……あいつがここにいてくれたらよかったのに。
map_0475#52	嘘をついて生きるのに、もううんざりなの。
map_0475#53	はっ、こんなバカげた状況を解決してくれたこと、あんたに感謝すべきなのよね、\PN。
map_0475#54	エイミーが滝から飛び降りた件は別にして。
map_0475#55	あれに関しては礼なんて言わないから。
map_0475#56	でも、もうこんなの本当に疲れた。
map_0475#57	誰かがそんなふうに振る舞ってるのを見てると――
map_0475#58	ティタニア: もういいわ。
map_0475#59	ただ疲れてるだけ。
map_0475#60	ティタニア: ……大丈夫。先に行って、すぐ後ろにいるから。
map_0475#61	ティタニア: ちょっと――ちょっと休ませて。
map_0475#62	司令官と違い、我らの信仰は揺るがない。
map_0475#63	だからこそ、我らの覚悟の強さを示させてもらおう。
map_0475#64	ティタニア: だったら、あたしがあんたたちのしょぼい覚悟がどれだけ情けないか、見せつけてあげる。
map_0475#65	イコラス: もうたくさんだ!
map_0475#66	ライラ: 私たちは世界に仕える者。どうか邪魔をしないでください!
map_0475#67	ティタニア: どきなさい。
map_0475#68	ティタニア: あんたたちを終わらせるくらい、あたしには簡単なことよ。
map_0475#69	ティタニア: 分かった?
map_0475#70	これから、こうするから。
map_0475#71	あんたを殺す。
map_0475#72	ティタニア: これで。かつてのあんたはもう死んだの。
map_0475#73	そして二人とも、どこか遠くへ行って、こんなことは全部忘れて、本当に自分のために生き始めなさい。
map_0475#74	分かった?
map_0475#75	じゃあ、行きなさい。
map_0475#76	ティタニア: あっさり殺しちゃうより、全然満足できないわね。
map_0475#77	ティタニア: あとのドアはあんたに任せるわ。
map_0475#78	ティタニア: あら、もう終わったの。
map_0475#79	残り少ないエネルギーで無茶するけど、大目に見てね。
map_0475#80	ティタニア: とにかく、あとのドアはあんたに任せるわ。
map_0476#0	「管理室」
map_0476#1	鍵がかかっている。
map_0476#2	ベリルシャッター解除
map_0476#3	管理室解除
map_0477#0	機械が再起動した!
map_0477#1	機械のひとつが大きな音でうなっている……
map_0477#2	反応がないようだ……
map_0477#3	下水システム倉庫を処理中
map_0477#4	(1) 保管アイテム――ユーザーにより削除済み。
map_0477#5	アイテムを引き出しますか?
map_0477#6	モンスターボール保管システム、引き出し完了。
map_0477#7	メッセージが添付されています。
map_0477#8	メッセージを見ますか?
map_0477#9	「これを見ているどなたかへ、サプライズギフトです!
map_0477#10	人生には、こういうものが足りないことが多すぎますからね。
map_0477#11	だからこそ、魔法は自分たちで起こすべきなんです!
map_0477#12	どうか、チームの誰か別の人にも、この気持ちを回してあげてくださいね?」
map_0477#13	メッセージが削除されました。
map_0477#14	機械の機能が停止したようだ。
map_0477#15	はい
map_0477#16	いいえ
map_0478#0	タカ: 落ち着いて、殺し屋さん……
map_0478#1	タカ: せめて感謝の気持ちくらい見せてくれてもいいんじゃない。
map_0478#2	ティタニア: 何に対して、あんたの完全な意気地なしっぷりに?
map_0478#3	タカ: いや、その……
map_0478#4	そういう見方をするならね。
map_0478#5	でも、彼女の傷を手当てさせてもらったことくらい、感謝してもらえると思ったんだけどな。
map_0478#6	ティタニア: あんたが奪ったのは、それだけじゃないでしょ。
map_0478#7	タカ: ああ、そういうことか。
map_0478#8	ティタニア: サファイアのブレスレットを返して。
map_0478#9	タカ: いいよ。
map_0478#10	ほら、キャッチして。
map_0478#11	ティタニアはサファイアのブレスレットを受け取った!
map_0478#12	ティタニア: 情けないわね。
map_0478#13	タカ: かもね、でもさ。
map_0478#14	それ、もうすぐ誰かが回収しに来るよ。
map_0478#15	さっき無線でそう伝えないといけなかったから。
map_0478#16	だから、まあ、そのうち対処しなきゃいけなくなるかもね。
map_0478#17	ティタニア: その責任、喜んで引き受けるわ。
map_0478#18	ティタニア: 彼女を手当てしてくれた人たちに、よろしく伝えといて。
map_0478#19	タカ: 伝えたいけど、あんたがもう殺しちゃっただろ。
map_0478#20	ティタニア: ……そうだったわね。
map_0478#21	まあ……
map_0478#22	気の毒に。
map_0478#23	ティタニア: それで、あたしたちがエイミーとブレスレットを持ってここから出て行くのを、そのまま見逃すってわけ。
map_0478#24	タカ: うん。
map_0478#25	まあ、実は一つだけお願いがあるんだけどな。
map_0478#26	僕、\PNにバトルで負けてもらう必要があってさ。
map_0478#27	少なくとも、頑張ったふりくらいはしないと。
map_0478#28	ティタニア: いいから、恥をかく前にさっさと辞任すれば。
map_0478#29	あんた、関わってる全員をバカにしてるだけよ。
map_0478#30	タカ: なら、僕はバカでいいよ。
map_0478#31	でも、自分の運命から逃げ出すことなんてできないんだ。
map_0478#32	ティタニア: ドアはすぐそこよ。
map_0478#33	誰も止めてないわ。
map_0478#34	タカ: 僕の血が止めてるんだ。
map_0478#35	それに、父さんが――
map_0478#36	父さんが何をするか、分かる?
map_0478#37	父さんがどう感じるか、分かるかな?
map_0478#38	ティタニア: あんたの父親が今まで傷つけてきた数えきれない人たちよりは、多分ちょっとマシな気分でしょうね。
map_0478#39	タカ: ……ねえ、もういいから忘れてよ。
map_0478#40	早く、僕を倒してさっさとここを出て行ってくれ。
map_0478#41	ティタニア: あんたがあたしたちを止めないなら、あんたがその選択から逃げ続けるのを、あたしが助けてやる気はないわ。
map_0478#42	あんたを倒したところで、あたしたちはあんたをこのまま放っておくだけよ。
map_0478#43	タカ: お願い……
map_0478#44	僕がここで君にできる礼儀は、もう全部尽くしたんだ。
