map_0893#60	もう小細工はなしだ……
map_0894#66	こんなに奇妙な相手で楽しめる機会なんて、そうそうない\^
map_0894#67	もうとっくに片が付いてると思ってたのに。
map_0894#68	またしても、君は僕の好奇心をそそるね。
map_0894#69	君が、僕たちの探している相手じゃないのが、実に残念だよ……
map_0894#70	いずれにせよ、君はもう十分もてあそばれただろう。
map_0894#71	君は明らかに、この世界をうろつく凡人たちより一段上の存在だ。だから、ほんの少しくらいは敬意を払ってもいいかもしれない。
map_0894#72	思えば、こんな長々とした試練を君に課すのは、少しやり過ぎだったかもね……
map_0894#73	だって、君はただの偶然でこの夢に落ちてきたんだろう?
map_0894#74	じゃあ……どうやって埋め合わせをしようか、うーん?
map_0894#75	うーん……そうだな……
map_0894#76	一つ、思いつくことがある。
map_0894#77	当然、君のような駆け出しのトレーナーに与えて一番役に立つものと言えば、何だと思う?
map_0894#78	答えは明らかに、ポケモンだろう?
map_0894#79	フン、その通り……でも、どれにしようか?
map_0894#80	僕ほどの才能があれば……本当に何でも選べるんだけどね。
map_0894#81	でも君には、せめて……そうだな、実用的なものが欲しいだろう。
map_0894#82	この夢の中のもので、君が去った後も僕のことを思い出せるようなもの、
map_0894#83	まあ、そんな助けは必要ないだろうけどね。
map_0894#84	明らかに君より強くて……
map_0894#85	同じくらいずる賢い一面もある……
map_0894#86	そうだな……
map_0894#87	じゃあ、ダークライにしようか?
map_0894#88	フン……そうだ。
map_0894#89	それがぴったりだと思うよ。
map_0894#90	シヴ: でも、調子に乗らないでくれよ。
map_0894#91	これは、何でもできる万能なダークライってわけじゃないんだから。
map_0894#92	そんなポケモンにふさわしいなんて思ってるなら、それは君の思い込みだ。
map_0894#93	こいつで十分ではあるだろうけど、育てて、戦いで役立つように鍛え上げるのは……
map_0894#94	君の仕事だよ。
map_0894#95	実に奇妙な一日になったものだ……
map_0894#96	君も、実に変わったトレーナーだよ。
map_0894#97	君がどこから来たのか、正確にはわからないけど、少なくとも、僕の故郷とは全然違う土地なのは確かだね。
map_0894#98	さて、それはさておき……
map_0894#99	そろそろ、君を家に送り返す時間だろう?
map_0894#100	だって、君はもう長く夢を見過ぎてる。
map_0894#101	「また連絡するよ」とでも言いたいところだけど……
map_0894#102	君はもう、二度と僕には会わないだろうね。
map_0894#103	それじゃあ、さらばだ。
map_0894#104	バクーダ: バクー!?
map_0894#105	バクァァ!!!
map_0894#106	……これは?
map_0894#107	\v[722]が去った!
map_0894#108	これで全部だ!
map_0894#109	動いていない機械。
map_0894#110	ここには何も書かれていない。
map_0894#111	マネ? マネ? マネ?
map_0894#112	モジャンボ: モジャ。
map_0894#113	ンボ。
map_0894#115	まさかここで会うなんて思わなかった!
map_0894#116	まだ私のこと覚えてるよね?
map_0894#117	……だって、他のみんなはあんまり覚えてないみたいだから。
map_0894#118	こんなにいろいろあった後で、また会えるだけでもありがたいよ。
map_0894#119	ノストラが、いつかあの男の子と同じように私も消えるかもしれないって、前に警告してくれてたの。
map_0894#120	でも、まさかあれだけのことで起きるなんて思ってなかった――
map_0894#121	ほんの少し空間を押し込もうとしただけで……
map_0894#122	……情けないよね?
map_0894#123	でも、私はまだここにいる!
map_0894#124	私がこの空間にいるってことは、まだあなたの心の中にもいるってことの証拠だよ!
map_0894#125	一緒に、今度こそリンを倒そう!
map_0894#126	ねえねえ、\PN、知ってた?
map_0894#127	メテオとニューワールドを封じた四つの結晶の鍵のほかに、実はもう二つあったの……
map_0894#128	金と象牙の鍵……
map_0894#129	他の鍵と違って、売られたり宝飾品に加工されたりはしなかった……
map_0894#130	でも、もしそうしてたら、きっと綺麗だったろうね!
map_0894#131	この二つの鍵は、アルセウスの本当の秘密を開くって言われてるの!
map_0894#132	\PN、絶対にそれを見つけなきゃだめだよ!
map_0894#133	それも早くね、いい?
map_0894#134	なんだか、もうすぐ悪いことが起きる気がするの……
map_0894#135	\PNならできるって信じてる!
map_0894#136	ここまで頑張ってきたんだから!
map_0894#137	向こう側でまだ眠ったままで、ごめんね!
map_0894#138	超ウルトラ二重――ううん、三重の指切りで約束する、目を覚ますために全力を尽くしてるって!
map_0894#139	三本目の小指がどこにあるのかはわからないけど、なんとかするから!
map_0894#140	あなたがリンを倒せるように時間軸を管理しようと頑張ったこと、全部私に負担をかけてたみたい……
map_0894#141	でも正直、もっとひどいことになってたかもしれないと思う!
map_0894#142	もっとやってたら、そもそもあそこにいられなかったかもしれないし……
map_0894#143	そしたら、みんなのことすごく恋しくなってたよ!
map_0894#144	私がいなくても、あなたならやり遂げられるって知ってる!
map_0894#145	ここまで来たんだから!
map_0894#146	あと少しで、リンを完全に倒せる!!!
map_0894#147	アンナ: あ、助けが必要?
map_0894#148	ここには、あなたの記憶の中の嫌なものがたくさんあるみたいだね。
map_0894#149	でも、だからこそ、それを乗り越えるのにこれ以上の場所はないよ!
map_0894#150	ポケモンを回復させてあげる!
map_0894#151	アンナ: はい! これでピカピカだよ!
map_0894#152	ポケモンを入れ替えたりもする?
map_0894#153	アンナ: 大丈夫、ここでもできるはずだよ!
map_0894#154	目を閉じて、めちゃくちゃ集中してね!
map_0894#155	アンナ: よし、大丈夫、あなたならできる!
map_0894#156	いっちょ、ガツンとかましてきて!
map_0894#157	???: ああ、探索から戻ってきたみたいだね?
map_0894#158	疲れ果てているようだね、トレーナー。
map_0894#159	まったく、木の実をいくつか見つけるだけで、何がそんなに難しいんだ?
map_0894#160	フン……木の実探しっていうのは、人によっては少し難しいものなのかもね。
map_0894#161	まあ、僕もそんなに暇じゃないから、見つけたものを早く見せてくれ。
map_0894#162	???: どうかしたのか?
map_0894#163	木の実はどこだ?
map_0894#164	おや、一つもないのか?
map_0894#165	おいおい、トレーナー。最初からそう言ってくれよ。
map_0894#166	もう終わりだと思い込むなんて、僕もずいぶん気が早かったな……
map_0894#167	まったく、がっかりだよ。
map_0894#168	比較的よくある木の実を三つ持ってくるだけの、簡単な仕事だと思ってたんだけどね。
map_0894#169	これじゃ、ただ僕の時間を無駄にしてるだけだ。
map_0894#170	もう確信を持って言えるよ、君は僕が探していた相手じゃないってね。
map_0894#171	まあ、探し続けた方がいいだろうね。
map_0894#172	待ってるよ……でも、時間は刻一刻と過ぎていく。
map_0894#173	???: まだ木の実はないのか?
map_0894#174	もう一度目を覚ましたいなら、さっさと動いた方がいいぞ。
map_0894#175	それとも、
map_0894#176	好きにするといい。
map_0894#177	???: おやおや……これは驚いた。
map_0894#178	僕を探して迷子にはならなかったんだね。
map_0894#179	少なくとも、幸先はいいスタートだ。
map_0894#180	残念だけど、ナナのみを見つけてくるっていう、精神的なハードルはまだ越えられていないみたいだね。
map_0894#181	このままだと、君が家に帰れる見込みについては、あまり楽観的にはなれないな。
map_0894#182	???: 戻ってきたのか……木の実は一つだけで。
map_0894#183	一つも持ってこなかった方が、まだ面白かったかもね。
map_0894#184	そうすれば、君のためにもっと面白くしてやれたのに。
map_0894#185	早く、残り二つの木の実を見つけてきてくれよ?
map_0894#186	???: 木の実が二つになったのか、なるほど?
map_0894#187	あと一つだね?
map_0894#188	よくやったな、トレーナー。
map_0894#189	一歩ずつ、だろう?
map_0894#190	大変なんだろうね……
map_0894#191	待ってるよ……でも、そう長くはないぞ。
map_0894#192	???: 木の実、まだ見つけてないんだろう?
map_0894#193	こんな簡単な仕事が、こんなに難しくなるとはね。
map_0894#194	うーん……君の反応、期待していたほど面白くないな。
map_0894#195	つまらない相手だってことは確かだ。
map_0894#196	まあいい。もう君をからかうのはやめだ。
map_0894#197	種明かしの心構えはできてるか、トレーナー?
map_0894#198	実はね……
map_0894#199	木の実、ずっと僕が持ってたんだ!
map_0894#200	さあ、もっといい反応を待ってるんだけど……
map_0894#201	いつでもいいよ……
map_0894#202	フン……この出会いには、がっかりさせられてばかりだ。
map_0894#203	いずれにせよ、僕は約束を守る男のつもりだ。
map_0894#204	君にふさわしいかどうかはさておき、約束通り、帰り道を教えてやろう。
map_0894#205	???: すぐそこに、先へ続く道がある。
map_0894#206	それをたどれば、この陰気なちっぽけな夢から抜け出せる。
map_0894#207	目を覚ませば、君が「家」と呼ぶ、あの陽気な世界を自由に歩き回れるようになるさ。
map_0894#208	???: もっとも、本当はいつでも出て行けたんだけどね。
map_0894#209	それにすら気づかなかったのか?
map_0894#210	君と出会えて楽しかった、とは言えないな、トレーナー。
map_0894#211	最初に君が現れた時は、僕がわざわざ見つけに行くくらい、変わった存在だったんだけどね。
map_0894#212	でも結局、君は僕が探していたようなトレーナーじゃ全然なかった。
map_0894#213	まあ、唯一の救いは、もう二度とお互い会わずに済むってことかな。
map_0894#214	さあ、トレーナー。
map_0894#215	気が変わらないうちに、さっさと行きな。
map_0894#216	ここにはもう、君のためのものは何もない。
map_0894#217	???: まだここにいるのか?
map_0894#218	僕といるのがそんなに好きなのはわかるけど、ここには一人分の場所しかないんでね。
map_0894#219	さあ、行きな、トレーナー。
map_0894#220	気が変わらないうちに、君の退屈なちっぽけな世界に帰るんだ。
map_0894#221	はい
map_0894#222	いいえ
map_0895#0	クリム、ここに来たよ
map_0895#1	あいしてる!!
map_0895#2	鍵がかかっている。
map_0895#3	\v[62]: ……
map_0895#5	ファーン: あ、しまった――
map_0895#6	お前だけか。
map_0895#7	ファーン: なあ、この前のことは水に流してくれよ――
map_0895#8	いや、待て……
map_0895#9	いや、その、
map_0895#10	ご、ごめん、
map_0895#11	この前のこと。
map_0895#12	あの檻の一件より前から、
map_0895#13	オレ、我を忘れてた。
map_0895#14	よくなかったよな。
map_0895#15	ファーン: なあ、お前もあのバカみたいなクローンの化け物と戦わされたのか?
map_0895#16	どこから湧いてきたのかは知らないけど、全然好きじゃないね。
map_0895#17	ファーン: 偉そうなこと言っといて、鏡に映る自分に、いつも笑えたためしがない。
map_0895#18	で、今回はその四十倍ひどかった。
map_0895#19	「オレってあんなにひどいのか?」
map_0895#20	お前にそれ聞いてみたい自分もいるけど、
map_0895#21	答えはもうわかってる。
map_0895#22	もう一度聞きたいとは思わないな。
map_0895#23	さっき、自分の口から嫌ってほど聞いたばっかりだし。
map_0895#24	ファーン: オレに付き合ってくれた分、お前には借りがあるな。
map_0895#25	ファーン: うわ――おいおいおいおい!
map_0895#26	それはないぜ――二度とごめんだ!
map_0895#27	ファーン: よし、ここまでだ。
map_0895#28	本気でいくぞ。
map_0895#29	ミュウツー: ツーゥ……
map_0895#30	ツゥ……
map_0895#31	ミュウ~!
map_0895#32	ファーン: \PN、危ない!
map_0895#33	ミュウ: ミュウ?
map_0895#34	ミュウ: ミュウ!
map_0895#35	ミュウツー: ミュウツー!!!
map_0895#36	冷たい石のよう……
map_0895#37	フロリニア: 戻ってきたのですね。
map_0895#38	それも、ある種の優しさなのかもしれません。
map_0895#39	フロリニア: わたしはここで、彼の……地質学的な組成を、できる限り彼を傷つけないようにしながら調べていました。
map_0895#40	この姿は、もしかしたらただの殻にすぎないのではないか、中ではまだ生きて元気にしているのではないかと、望んでいたのです。
map_0895#41	適切な化学的な調合があれば、彼を蘇らせる薬を作れるかもしれないと。
map_0895#42	けれど、違いました。
map_0895#43	これを解決する科学的な答えを、わたしは思いつくことができません。
map_0895#44	もしかしたら、わたしはただ無知で、正しい知識や教育、技術が足りていないだけなのかもしれません……
map_0895#45	もっと熱心に学んでいたなら、きちんとした解決策を出せていたかもしれません……
map_0895#46	……それとも、これは避けられたはずだと、まだ信じたいがために、自分にそう言い聞かせているだけなのかもしれません。
map_0895#47	奇妙なものです。
map_0895#48	論理的に考えれば、ファーンは、そのほとんどの時間において、そばにいて有益でも心地よくもない存在でした。
map_0895#49	それでも……
map_0895#50	彼が二度とこの場所から動かないかもしれないと考えると、深い悲しみを認めずにはいられません。
map_0895#51	彼は、いつもこんなに嫌な人間だったわけではありません。
map_0895#52	わたしの十五歳の誕生日には、大きなお祝いをして、みんながプレゼントを持ってきてくれました。
map_0895#53	ファーンを除いて、ですが。
map_0895#54	彼は忘れていたのです。
map_0895#55	母は何週間もかけてパーティー全体を計画していたのに、彼はまんまと忘れてしまいました。
map_0895#56	父はその機会に、最後の人形をわたしにくれました。女性への「卒業」を祝う品だと言って。
map_0895#57	それは最後に開けるものとして、ガラスケースに入れられ、他の贈り物の後ろで布に覆われていました。
map_0895#58	ようやくそこにたどり着き、布を取って中を見せると……
map_0895#59	人形は完全に汚され、傷つけられていました。
map_0895#60	同学年の乱暴者二人が勝手に会に上がり込み、こっそり動き回って、マジックペンで人形中に落書きをし、ドレスを切り裂いていたのです。
map_0895#61	二人は笑いをこらえきれずに正体を暴かれ、その場から逃げ出しました。
map_0895#62	父は激怒し、その場でみんなを帰らせようとしたほどでした。
map_0895#63	大丈夫です、とわたしは言い張りました。
map_0895#64	どのみち、もう人形で遊ぶような歳でもありませんでしたから。
map_0895#65	そうして、パーティーは夜まで続けられました。
map_0895#66	ファーンがいなくなっていたことにすら、彼が扉を勢いよく開けて、ワルツを急停止させるまで気づきませんでした。
map_0895#67	彼は入り口に立ち尽くし、泥まみれで、息を切らして、
map_0895#68	二足のテニスシューズを持って、宙でぶんぶんと振り回していました。
map_0895#69	「やっとお前へのプレゼントが手に入ったぜ!」と彼は自慢げに言いました。
map_0895#70	その笑顔は、どこまでも広がりそうなほどでした。
map_0895#71	「汚くてサイズの合わない靴を二足も欲しがる女の子がどこにいる?」と父は叱りました。
map_0895#72	その靴は、わたしの足の二倍の大きさでした。
map_0895#73	でも、当然ながら、彼はそれを他の男の子たちから盗んできたのでした。
map_0895#74	相手は二人とも、彼より五歳は年上だったはずですが、それでも彼は二人を追い詰め、そのくだらない臭い靴を盗み出すのをやめませんでした。
map_0895#75	その年にもらった他のものは、一つも覚えていません。
map_0895#76	あの時、わたしは彼に笑いかけたでしょうか。
map_0895#77	もし笑いかけていたなら、
map_0895#78	今も彼はここにいたでしょうか。
map_0895#79	アンナ: またしても、罪のない人を自分の企みに巻き込んで、傷つけたってわけだ。
map_0895#80	今回、ファーンは最初から尻尾を巻いて逃げたみたいだから、最後まで本当にあんたの仲間だったのかもね?
map_0895#81	あんたを助けたのは、あんたがこれからも人を危険にさらし続けられるようにするため?
map_0895#82	でもリニが言ってたみたいに、彼が実際に悪人だったわけじゃないんだよね。
map_0895#83	考えてみれば、彼だってヒーローになりたかったんでしょ?
map_0895#84	自分の居場所がないって感じたから、あんな道を進むことになっただけなんでしょ?
map_0895#85	あんたさえいなければ、彼はこんなふうにならなかったんでしょ?
map_0895#86	わざと彼を操って、自分の側に引き込んだの?
map_0895#87	それも何のために――結局最後は傷つけるためだけに?
map_0895#88	フロリニア: その……失礼ですが、一体何が起きているのか、わたしにはわかりかねます?
map_0895#89	アンナ: いつも起きてることと同じだよ!
map_0895#90	リン!
map_0895#91	あいつが企んで、人を操って、みんなを対立させて、その結果みんなが苦しむんだ!
map_0895#92	フロリニア: リンは\PNに敗れた後、生き延びてはいないものと思っていましたが。
map_0895#93	アンナ: \PNがリンなんだよ!!!
map_0895#94	ずっとあたしたちを騙してたんだ!
