map_0533#42	彼女のこと、少し見ておいてもらえますか。
map_0534#18	リリン: このやかまし製造機を打ち消すために、プリンかなんかが必要なんだよね。
map_0534#19	もしくはあいつをKOしてくれるやつが……
map_0534#20	え？あたしにもプリンをくれるってどういうこと？
map_0534#21	つまり、誰かのために預かっとくだけでいいの？うーん……
map_0534#22	リリン: え？ちょっと、からかわないでよ！
map_0534#23	リリン: ふふふふ！
map_0534#24	プリンはもうあたしのもの！
map_0534#25	今まで夢にも見られなかった、あらゆる日と夜の貴重な眠りが――全部あたしのもの！あたしの！
map_0534#26	返すなんて一言も言ってない！絶対いや！プリンはもらっとく！
map_0534#27	わかってるよ、失礼だってことくらい。
map_0534#28	でもこのドゴームの件をあんたがどうにかしてくれるまで、これは担保として預からせてもらう。
map_0534#29	取り上げるつもりはないけど、一晩中あの鳴き声に耐えられる方法をとにかく見つけてよ。
map_0534#30	わかった？超高性能な耳栓でもヘッドホンでも何でもいいから！とにかく何とかして！
map_0534#31	あんたがそうしてくれるまで、プリンは本当の持ち主に返さないから！
map_0534#32	リリン: このドゴームの件をあんたがどうにかしてくれるまで、プリンは担保として預からせてもらう。
map_0534#33	\PNはヘッドホンを渡した。
map_0534#34	リリン: あのさ、あれは冗談だったんだよ。
map_0534#35	本当にポケモンを盗んだりしないって。特に自分のポケモンが盗まれた後だし。
map_0534#36	でもまあ、これはもらっとく。ちょっとつけてみるね。
map_0534#37	何か話してみて。
map_0534#38	リリン: うん、今なんて言ったのか全然わかんなかった。
map_0534#39	完璧だよ。本当にありがとう！
map_0534#40	その誰か知らないけど、いつでもドゴームを取りに来ていいって伝えといて。
map_0534#41	今度は冗談抜きでね。
map_0534#42	リリン: その誰か知らないけど、いつでもドゴームを取りに来ていいって伝えといて。
map_0534#43	リリン: 色々手伝ってくれてありがとう！ちょっと面倒だったよね。
map_0534#44	施錠されている。
map_0534#45	???: ああ、ああ、ああ……
map_0534#46	思いがけないお客様。何とも不運なことです……
map_0534#47	失礼のつもりはありません。ただ少々困惑しているだけで。
map_0534#48	お会いしたことがありましたか？
map_0534#49	いいえ、いいえ、おそらくないでしょう。そうですよね？
map_0534#50	私は「奇跡の目の霊媒師」、ミス・ディレクションとして知られる者です。
map_0534#51	他の人々が過去に起きたことを知る力を持って生まれるのに対し、私はこれから起きることを知る力を持って生まれました。
map_0534#52	ですが、未来を見通せる私たちにとっては、過去と現在こそが謎なのです。
map_0534#53	とはいえ、どうやら私は今、ちょっとした危機に陥っているようです。
map_0534#54	私の「占い」が行方不明になってしまったのです。
map_0534#55	それがなければ、未来も過去も見ることができません。
map_0534#56	占いを取り戻すまで、私は儚い「今」に閉じ込められたままなのです。
map_0534#57	でも、それがあなたがここにいる理由なのでしょう？
map_0534#58	あなたは私にその水晶玉を渡すためにここにいるのですから。
map_0534#59	\PNはすいしょうだまを渡した。
map_0534#60	ミス・ディレクション: ああ、ああ、ああ～
map_0534#61	自分自身を取り戻した気分です。
map_0534#62	これこそ、私がお話ししていた占いです。
map_0534#63	あら？二人組の悪党が、私の宝をどう狙うか話し合っていますね。
map_0534#64	なんて浅はかな。温かく歓迎して差し上げましょう。
map_0534#65	そしてここから……見えますね。
map_0534#66	では、これをあなたにお渡ししましょう。
map_0534#67	ミス・ディレクション: 占いが必要になったら、いつでも聞きに来てください。
map_0534#68	助けていただいたお礼として、料金はいただきません。
map_0534#69	でも、もう分かっているのです……あなたはその結果を気に入らないかもしれません。
map_0534#70	ミス・ディレクション: もちろん、あなたも自分の未来に興味がおありでしょう。
map_0534#71	持っていないものを求めるのは自然なことです。
map_0534#72	だからこそ私は、いずれ忘れてしまうであろうこれらの歴史書で自分を楽しませているのです。
map_0534#73	ともあれ、今、あなたの運勢を聞いてみたいですか？
map_0534#74	ミス・ディレクション: よろしいでしょう。もう一度、水晶玉を通して見てみます。
map_0534#75	見えるものが、時々そうであるように今回は違っていればいいのですが、
map_0534#76	今回もそうではないと、私はすでに分かっています。
map_0534#77	ああ、ああ、ああ～
map_0534#78	あなたの未来に見えるもの……
map_0534#79	……それは私にも理解しがたいものです。
map_0534#80	それは、あなたが存在しない未来です。
map_0534#81	あなたが存在した痕跡すら一切ない未来です。
map_0534#82	不思議なことに、私がこのようなものを見るのは、あなたに対してだけなのです。
map_0534#83	ですが、あなたのいないこの世界について、お話ししましょう。
map_0534#84	このワードがまだ死をもたらす植物に覆われていた時代に、
map_0534#85	ビーズの歯のネックレスをつけた少年が、混沌を打ち破るために前に進み出ます。
map_0534#86	彼は共に戦う友を得ます。
map_0534#87	とがったブレスレットの男……
map_0534#88	もう一人は、青い髪の……
map_0534#89	眠れる星に祝福された少女……
map_0534#90	そして、黒と赤のスーツをまとった無口な女……
map_0534#91	彼らは共に、この街から穢れた根を切り離し、
map_0534#92	湖から毒を取り除き、
map_0534#93	山の頂から炎を追い払います。
map_0534#94	そして、その後……
map_0534#95	街の通りが裂け、
map_0534#96	とがったブレスレットは、その下の裂け目で砕け散ります。
map_0534#97	輝く鎧が振り下ろされ、
map_0534#98	青い髪は赤く染め直されます。
map_0534#99	彼自身の血を分けた敵が、彼の前に立ちはだかり、
map_0534#100	ビーズの希望は、その名にふさわしくあれと強いられた街の、荒れた石畳の上で砕け散ります。
map_0534#101	眠れる星が、願いを呼び起こします。
map_0534#102	そこから、スーツの少女は姿を消します。
map_0534#103	そして、その未来がすぐ後に続くのです。
map_0534#105	あなたの時間をのぞき見て、私に見えるのはそこまでです。
map_0534#106	私よりも、あなたがそれをよく理解できることを願っています。
map_0534#107	ミス・ディレクション: それは賢明な選択です。
map_0534#108	できる限り、お元気で。
map_0534#109	\PNはフィールド効果解説書34を手に入れた！
map_0534#110	スターライトアリーナの情報が閲覧可能になった！
map_0534#111	はい
map_0534#112	いいえ
map_0535#0	火事は森にとって健全なものだと言われる。新しい成長のための道を開くから。
map_0535#1	ジャスパーがこうして立ち直ったのを見ると、それは本当なのかもしれないと思うよ。
map_0535#2	すみません、この先は住民の方のみとなっております。
map_0535#3	おや、それは何だい？
map_0535#4	迷子のポケモンを見つけて、その首輪がこの住所を指していたの？
map_0535#5	それなら中に入って返してもらってもいいよ。
map_0535#6	2号室はこの階段を上がってすぐだ。
map_0535#7	他の住人の迷惑にならないよう気をつけてくれ。
map_0535#8	201号室はこの階段を上がってすぐです。
map_0535#9	あはは……どうも、いきなり私のアパートに入ってきた見知らぬ方……はは……
map_0535#10	何でこっち見てるの。
map_0535#11	ほら！私、もう社交不安があるの。ここに下りてくるだけでも一苦労なんだから！
map_0535#12	それに、この街には一緒に遊べる人なんていないし……
map_0535#13	だから……放っておいて。
map_0535#14	何、人と出会う方法を知ってるの？
map_0535#15	えっ！？ボランティアなんて無理！それって関わりすぎでしょ！
map_0535#16	で、でも、それはそれとして……
map_0535#17	避けてばかりじゃ、いつまで経っても慣れないもんね。
map_0535#18	それに、誰かと一緒に取り組めるプロジェクトがあれば、そんなに緊張しなくなるかも？
map_0535#19	えっと……わかった！やってみる！じゃ、じゃあね！
map_0535#20	ただのぬいぐるみだ……
map_0535#21	「7号室」
map_0535#22	「2号室」
map_0535#23	「3号室」
map_0535#24	「4号室」
map_0535#25	「5号室」
map_0535#26	「6号室」
map_0535#27	施錠されている。
map_0535#28	テレビのコンセントは抜かれている……
map_0535#29	すぅ……すぅ……
map_0535#30	サーナイト: -あら？-
map_0535#31	-掃除をしていて、鍵をかけ忘れていたようですね-
map_0535#32	-申し訳ありませんが、見知らぬ方、出て行っていただけますか-
map_0535#33	-……ん？-
map_0535#34	-あなたは意図してここへ来たのですね……その首輪に書かれた住所を見つけたから-
map_0535#35	-あの首輪は、たった一匹のポケモンのものでしかありえません-
map_0535#36	-\PN、そうですね？-
map_0535#37	-教えてください、彼女は無事ですか？-
map_0535#38	-あのニンフィアは……-
map_0535#39	-ああ、見つけてくださったのですね……-
map_0535#40	-閉じ込められて、一人ぼっちで？-
map_0535#41	-あんな場所に……-
map_0535#42	-でも、今彼女が無事であるなら、それはすべての誤りの中で、あり得る限りの正しさです-
map_0535#43	-申し訳ありません、\PN。衝動的にあなたの記憶を読み取るべきではありませんでした-
map_0535#44	-それは人間に対して、大変失礼なことでした-
map_0535#45	-お詫びとして、私の記憶の一部をあなたと分かち合わせてください-
map_0535#46	-なぜあのニンフィアが二度とあの場所に戻ってはならないのか、お見せしましょう-
map_0535#47	-ずいぶん長い時間が経ちました……-
map_0535#48	-私のトレーナーは、もともと彼女を娘への贈り物としてここへ連れてきました-
map_0535#49	-ポケモンを他の人間への贈り物として扱うという考えには、複雑な思いがあります-
map_0535#50	-所有や所有物という概念が、私たちの種の間にあることは問題であると同時に、忌まわしくもあります-
map_0535#51	-しかし一方で、自分の存在そのものが贈り物と呼べるほどの恵みであるというのは、なんと愛おしい考えでしょうか-
map_0535#52	-けれど、すべての贈り物が期待どおりの結末を迎えるわけではありません-
map_0535#53	-特に、これは違いました-
map_0535#54	-当時、彼女はこう呼ばれていました……-
map_0535#55	-スカボロー-
map_0535#56	イーディ: わあああ………
map_0535#57	本当にあたしのなの！？
map_0535#58	ロッティ: そうよ。
map_0535#59	パパが、あなたがちゃんと世話をするならこの子はあなたのものだって言ってたわ。
map_0535#60	イーディ: 名前は何ていうの！？
map_0535#61	ロッティ: スカボロー。
map_0535#62	イーディ: ええええ？
map_0535#63	ダサい名前。
map_0535#64	ロッティ: これこれ……もし誰かにあなたの名前がダサいって言われたら、嫌でしょう？
map_0535#65	イーディ: うーん、そうだけど、あたしの名前がダサくても、好きかどうかは関係ないもん。
map_0535#66	それに、あたしの名前はかわいいし！
map_0535#67	近所の人もみんなそう言ってたもん。
map_0535#68	ロッティ: それでも、その子の名前はそれなの。
map_0535#69	あなたのパパの友達が、譲る前にもうそう名づけてたのよ。
map_0535#70	どうやら自分の娘への贈り物を用意しに行ったら、なぜか二匹も手に入れちゃったんですって！
map_0535#71	それに、人からもらったポケモンの名前を変えるのは失礼だって知ってるでしょ。
map_0535#72	イーディ: まあいいや。
map_0535#73	少なくともかわいいし。
map_0535#74	ねえ、イーブイ。
map_0535#75	これからずっとあたしと親友だからね、いい？
map_0535#76	ロッティ: まだちょっと怖がってるみたいね。
map_0535#77	新しい場所に来たばかりだと、若いポケモンは驚いてしまうこともあるのよ。
map_0535#78	イーディ: なに？
map_0535#79	怖がる理由なんてないでしょ。
map_0535#80	イーディ: ほら、いい？
map_0535#81	あんたはあたしのポケモンで、ポケモンはトレーナーの言うことを聞くものなの。
map_0535#82	だから、怖がらなくていいってあたしが言ったら、ちゃんと聞くのよ、いい？
map_0535#83	サーナイト: -イーディとイーブイが片時も離れなかったと言えば、それは当たり前すぎる表現でしょう-
map_0535#84	-彼女はできる限り、スカボローを片時も視界から離しませんでした-
map_0535#85	-とはいえ、そもそもあの幼いポケモンの姿をきちんと見ていたことなど、一度もなかったとも言えるでしょうが-
map_0535#86	ロッティ: イーディ、今日はもうスカボローにごはんあげた？
map_0535#87	イーディ: え？あ……
map_0535#88	ううん、まだ。
map_0535#89	ロッティ: イーディ！
map_0535#90	もうすぐ日が暮れるのよ！
map_0535#91	一日中ごはん抜きにされたら、あなたはどんな気持ちになる？
map_0535#92	イーディ: 大丈夫だよママ。あげてくるから。
map_0535#93	ロッティ: 「彼」？
map_0535#94	前にも言ったでしょう、スカボローは女の子よ。
map_0535#95	イーディ: ううん、違うよ。
map_0535#96	スカーレットは男の子。
map_0535#97	ロッティ: 「スカーレット」、って今度は？
map_0535#98	それも女の子の名前じゃない？
map_0535#99	イーディ: え、違うよ？
map_0535#100	これはスカーレットの名前で、あの子は男の子だから、男の子の名前なの。
map_0535#101	まったく、大人ってほんと頭固いんだから……
map_0535#102	ロッティ: はいはい、好きに言いなさい……
map_0535#103	イーディ: スカーレットは大きくなったらニンフィアになるの、そしたらパパとその子と同じくらい強くなるんだから！
map_0535#104	ロッティ: オスのニンフィア、ねえ？
map_0535#105	イーディ: ニンフィアはオスにもなれるもん！
map_0535#106	それの何がおかしいの！
map_0535#107	ロッティ: まあ、ニンフィアへの進化の仕方は知ってるでしょう……
map_0535#108	でも、ちゃんと世話をしてあげないと進化しないわよ。
map_0535#109	だから、まずはちゃんとごはんをあげることから始めなさいね、いい？
map_0535#110	スカボロー: わあ、あのポケモン、ぼくに似てる！
map_0535#111	この番組、何についてなんだろう！？
map_0535#112	テレビ: 「今回の『進化レボリューション』は、これまでで最も多才と言われるポケモン――イーブイのユニークな特性を探ります。
map_0535#113	トレーナーならご存じの通り、イーブイは実に8種類ものポケモンに進化できるという珍しい能力を持っています！
map_0535#114	でも、それらの進化形の中で本当にベストなのはどれなのでしょうか？」
map_0535#115	スカボロー: わあ、こんなにたくさんあるんだ！
map_0535#116	でもイーディはいつもニンフィアのことしか話さないんだよなあ……
map_0535#117	彼女、まだここにいないよね……？
map_0535#118	スカボロー: きっと他にもなれるものがたくさんあるはずだよ！
map_0535#119	スカボロー: たとえばブースター！
map_0535#120	ブースターってすごくふわふわで、いつも温かいから抱きしめたり甘えたりするのに最高なんだ！
map_0535#121	スカボロー: それか、サンダース！
map_0535#122	サンダースは怒ると毛が針みたいにとがってビリビリするんだって！
map_0535#123	そうすれば、許可した相手以外は誰も邪魔できないってことだよね！
map_0535#124	スカボロー: それからシャワーズ！
map_0535#125	もしシャワーズになれたら、二度と水をもらえない心配なんてしなくていいんだ、だってほとんど水でできてるようなものだから！
map_0535#126	それに、怖くなったらとろけて隠れちゃえるし！
map_0535#127	スカボロー: リーフィアもすごくかわいいよね！
map_0535#128	自然に囲まれて森を駆け回るなんて、絶対最高だろうな！
map_0535#129	この場所全部を自分の家にして、行きたいだけ自由に走り回れたらいいのに……
map_0535#130	スカボロー: それにグレイシアもすごくかっこいい！
map_0535#131	あんな眼差しがあれば、入る部屋を全部支配できちゃうよね！
map_0535#132	こおりタイプはいつだって優雅で強い……
map_0535#133	みんな、ぼくのこともあんな風に尊敬してくれるかな？
map_0535#134	スカボロー: それに、ブラッキーも……
map_0535#135	スカボロー: ブラッキーは文句なしで一番かっこいい！！！
map_0535#136	あの光り方、夜に溶け込むあの感じ……！
map_0535#137	ブラッキーなら誰に何をされても平気そうだよね！
map_0535#138	そばにいてくれたらすごく安心できると思う！
map_0535#139	スカボロー: うーん……でもぼく、ブラッキーになりたいのかな、それともブラッキーと結婚したいだけなのかな？
map_0535#140	スカボロー: 最後に、エーフィ……
map_0535#141	スカボロー: あの力があれば、未来を見たり、自分や他人を守ったり、向かってくるものを何でも跳ね返したりできる……
map_0535#142	かわいくてかっこよくて、まるで陽の光そのものみたいだ！
map_0535#143	スカボロー: そうだ……
map_0535#144	そう、そう、そうだよ！
map_0535#145	ぼくがなりたいのは――
map_0535#147	スカボロー: でもどうして……？
map_0535#148	ぼくじゃだめなの……？
map_0535#149	イーディ: ただいまー！！！
map_0535#150	イーディ: あれ、パパまた帰ってきてないの？
map_0535#151	イーディ: また挑戦者でも来たのかな……
map_0535#152	まあいっか。スカーレット！！！
map_0535#153	イーディ: あたしのこと恋しかった！？
map_0535#154	ちゃんといい子にお出迎えしなさいよね、帰ってきたときぐらい！
map_0535#155	あれ、テレビつけっぱなしだった？
map_0535#156	イーディ: あ、イーブイの進化の話だ！
map_0535#157	え？今エーフィの話だけしてるの？
map_0535#158	うわ、誰があんなのが好きなのよ？
map_0535#159	まさか本気で見てたわけじゃないよね。
map_0535#160	イーディ: ほら、こっちおいで。
map_0535#161	イーディ: これ見える？
map_0535#162	これがニンフィアだよ。
map_0535#163	スカーレットはこれにならないとダメなの。
map_0535#164	それじゃなくて、
map_0535#165	これ。
map_0535#166	わかった？
map_0535#167	スカボロー: ニンフィア……
map_0535#168	エーフィじゃない……
map_0535#169	他の何でもない……
map_0535#170	ぼくはニンフィアにならなきゃいけないんだ……だよね？
map_0535#171	そうすればきっと、彼女はぼくのことを愛して、ごはんをくれて、面倒を見てくれる……
map_0535#172	それで、彼女は一番幸せになれるんだ。
map_0535#173	でも……
map_0535#174	サーナイト: -ご存じの通り、通常、トレーナーを愛していないポケモンが「なかよし度」による進化を遂げることはあり得ません-
map_0535#175	-しかし、愛には幸福だけでは説明できない多くの形があります-
map_0535#176	-そして結局のところ、スカボローは決して普通のポケモンではなかったのです-
map_0535#177	イーディ: ママ、ママ！！！
map_0535#178	スカーレットがやったよ！！！
map_0535#179	イーディ: とうとうニンフィアに進化したの！
map_0535#180	ロッティ: あらまあ……
map_0535#181	これには驚いたわ……
map_0535#182	イーディ: だから言ったでしょ、うまくいくって！
map_0535#183	ロッティ: 確かに言ってたわね。
map_0535#184	イーディ: だってスカーレットはあたしのこと愛してるもん。
map_0535#185	ロッティ: そうね……どういうわけか、そうなんでしょうね。
map_0535#186	サーナイト: -それから先は、作りごとめいた「めでたしめでたし」に落ち着くはずでした-
map_0535#187	-けれど、他人のためにしたことが、思い通りに運ぶことなど決してないのです-
map_0535#188	スカボロー: これが愛というものなら……
map_0535#189	???: ロッティ！イーディ！
map_0535#190	ロッティ: バリー！
map_0535#191	何があったの！？
map_0535#192	バリー: 何かがワード中に広がってる！
map_0535#193	待ってろ！お前たちをここから連れ出す！
map_0535#194	サーナイト、マリルリ！
map_0535#195	道を切り開いてくれ！
map_0535#196	ロッティ: イーディ、スカーレットを連れて逃げなさい！
map_0535#197	イーディ: お母さんは！？
map_0535#198	ロッティ: すぐ後ろにいるから！
map_0535#199	でも、あなたたちを無事に逃がすのがお母さんの役目なの！
map_0535#200	それが愛ってものよ！
map_0535#201	スカボロー: それなら、いっそ愛されたことなんてなければよかった。
map_0535#202	イーディ: わかった……！
map_0535#203	パパ、飛び降りるよ！
map_0535#204	バリー: 受け止めた！
map_0535#205	スカボロー: それがポケモンの権利ってものじゃないの？
map_0535#206	イーディ: ママ！
map_0535#207	バリー: ロッティ！しっかりしろ！
map_0535#208	ロッティ: ううん、平気！
map_0535#209	抜け出せないけど、二人は先に行って！
map_0535#210	安全な場所に着いたら戻ってきて、あたしを助けて。動こうとしても動けないの。
map_0535#211	バリー: できるわけ――
