map_0887#80	タカ: ああ、\PN、なんだ、君か……
map_0887#119	ユキノオー: アボバー！
map_0887#120	ユキノオーをそのままにした。
map_0887#121	ユキノオーは、氷に映った自分の姿とにらめっこしているようだ。
map_0887#122	発動させるには、寒すぎるようだ。
map_0887#124	クリスタルが、星明かりを映してきらめいている。
map_0887#125	氷のクリスタルは、もろく壊れやすそうだ。
map_0887#126	ゼロ: ……便利だな。
map_0887#127	\v[38]がそれで何かできるってことにしとくか。
map_0887#128	タカ: ……うーん。
map_0887#129	これでよかったのかな。
map_0887#130	ゼロ: ……氷が割れる音か？
map_0887#131	……悪いことじゃないって信じることにする。
map_0887#132	タカ: 今、どこかで氷が割れる音がしなかった？
map_0887#133	……まあ、好きにやってよ、クリスタルさん。
map_0887#134	正直、何かしてくれるだけでもありがたいよ。
map_0887#135	チルタリスは、静かに降る雪が気に入らないようだ。
map_0887#136	チルタリスの「くもりのちはれ」を発動させますか？
map_0887#137	チルタリス: アルルル！
map_0887#138	チルタリスをそのままにした。
map_0887#139	チルタリスは、積もった雪に戸惑っているようだ。
map_0887#140	氷のクリスタルは、凍りついていて壊せそうにない。
map_0887#141	ゼロ: これ、前はなかったよな。
map_0887#142	文句はないけどさ。
map_0887#143	\v[38]が物事をやり遂げるのは、今さら驚くことでもないか。
map_0887#144	タカ: \v[38]がこれを出現させたんだね？
map_0887#145	実の血縁より、他人の方が自分を気にかけてくれることもあるんだね、変な話だけど。
map_0887#146	ゼロ: おいおい……
map_0887#147	全部の問題を力ずくで解決できるわけじゃないんだぞ。
map_0887#148	そんな単純だったらよかったんだけどな……
map_0887#149	でも、雪が積もれば、他の崖も越えられそうだ。
map_0887#150	少しは進展があったってことか。
map_0887#151	タカ: うん、それは大変そうだね。
map_0887#152	全部吐き出しちゃっていいよ。
map_0887#153	ユキノオー: アボバー！！
map_0887#154	タカ: 分かるよ、分かる。大変だったんだね。
map_0887#155	頑張って。
map_0887#156	その間に、雪が崖を一つか二つ越えられるくらいには積もってきた気がする……
map_0887#157	ユキノオーは、冷たい空気の中で満足しているようだ。
map_0887#158	ゼロ: 俺も同じ気持ちだよ、相棒。
map_0887#159	タカ: この天気、あんまり好きじゃないんだ？
map_0887#160	でも、砂漠よりはマシだよね。
map_0887#161	今度、予備のマフラー持ってくるよ。
map_0887#162	チルタリスが、静かにねぐらについている。
map_0887#163	ゼロ: チッ、これ一体なんなんだよ。
map_0887#164	エネルギーがどうやって凍るんだ？
map_0887#165	このあられのせいか？
map_0887#166	タカ: ……ああ、たぶん雪をどうにかしないといけないんだね。
map_0887#167	簡単にはいかないもんだね。
map_0887#168	ゼロ: ……よし、何か効果があったといいけどな。
map_0887#169	さて、ここからどうやって出ればいいんだ？
map_0887#170	タカ: ……こっち側でやることは、これで全部だと思う？
map_0887#171	よし、\v[38]、僕を自由にしてくれ。
map_0887#172	……また、っていう意味でね。
map_0887#173	チルタリスが、突然鳴き声を上げた！
map_0887#174	チルタリスは、暖かくしていることに気を取られているようだ。
map_0887#175	ユキノオー: スノー、スノー！
map_0887#176	ユキノオーは、クリスタルを見つめることに集中している。
map_0887#177	チルタリス: アルターア！
map_0887#178	チルタリスは、一緒にいるのを楽しんでいるようだ。
map_0887#179	チルタリスをなでますか？
map_0887#180	チルタリス: アリア！
map_0887#181	チルタリスは大喜び！ そっと甘えるように身を寄せてきた。
map_0887#182	チルタリス: ……アル？
map_0887#183	チルタリスは、また星を見つめ始めた。
map_0887#184	ユキノオー: アボ！
map_0887#185	ユキノオーは、氷の上で滑らないようにしている。
map_0887#186	チルタリスは、雪に頭を埋めようとした。どうやら、それはとんだ思い違いだったようだ。
map_0887#187	ユキノオーが、わずかに動いた。
map_0887#188	ユキノオーは、近くの木々にとても興味があるようだ。
map_0887#189	ユキノオーは、草に紛れようと必死になっているようだ。
map_0887#190	このファイルでは、ニューワールドヘリックスのパズルをスキップしますか？
map_0887#191	ユキノオー: スノーウ！
map_0887#192	ユキノオーは、急に嬉しそうな顔をした！ 何を考えているのかは、まったくわからない。
map_0887#193	チルタリス: アルルト！
map_0887#194	チルタリスは、岩の上で休むのを楽しんでいるようだ。
map_0887#195	ゼロ: あそこに扉がある。
map_0887#196	もう少しだけど……でも、実際どうやってそこまで行けばいいのか分からないな。
map_0887#197	……チッ、たぶん\v[38]を待たせちまってるな。
map_0887#198	タカ: あ、出口だ。
map_0887#199	それはいつだって嬉しいよね。
map_0887#200	……そこまでの行き方さえあればいいんだけど。
map_0887#201	ゼロ: ……
map_0887#202	だから、ありがとな。
map_0887#203	ここに一人だったら、俺、どうしてたか分からない。
map_0887#204	……正直言うと、お前が現れるたびに緊急対応モードに入らなきゃいけないの、いまだに慣れない部分があるんだ。
map_0887#205	もう敵同士じゃなくなったのに……
map_0887#206	……なんでこんなに苦い気持ちになるのか、分からない。
map_0887#207	ゼロ: いや、それは嘘だ。
map_0887#208	理由は分かってる、それにこれは何の助けにもなってない。
map_0887#209	俺自身、あんまり感謝されるようなことしてないからな。
map_0887#210	感謝ってのは……本当は、ただのおまけみたいなもんだ。
map_0887#211	ちゃんと物事をやり遂げる奴が、褒められるんだ。
map_0887#212	俺は、まともに物事をやり遂げることすらできない。
map_0887#213	自分一人じゃな。
map_0887#214	いつもイヴか、リンか、今はお前に運ばれてるだけなんだ……
map_0887#215	……そうじゃなきゃ、完全に失敗する。
map_0887#216	これの何が違うんだ？
map_0887#217	誰と比べても、俺なんか足元にも及ばない。
map_0887#218	ずっとそうだったんだ。
map_0887#219	それで、俺はどうすればいいんだ、満足しろってのか？
map_0887#220	もっとマシになれって？
map_0887#221	俺がもう頑張ってないとでも思ってんのか！？
map_0887#222	悪い、お前のせいじゃないんだ。
map_0887#223	お前はただ、俺の傷に振られた、最新の塩ってだけだ。
map_0887#224	扉はあっちだから……
map_0887#225	もう通り抜けるとするか。
map_0887#226	タカ: 少しは楽しかったって言えなくもないけど、終わってよかったよ！
map_0887#227	扉は、真上にあるのが見えたよ。
map_0887#228	扉をくぐった瞬間、マッシブーンに轢かれる方に賭ける？
map_0887#229	タカ: ……まあ、確かめてみよう。
map_0887#230	タカ: でも、今となってはもっとひどい目にも遭ってきたし。
map_0887#231	マッシブーン、かかってこい。
map_0887#232	ゼロ: もう半分は来てるはずだよな……
map_0887#233	それで、俺は一体何をしたっていうんだ？
map_0887#234	チッ。
map_0887#235	タカ: 中心が近づいてきたね。
map_0887#236	もう半分くらいかな？
map_0887#237	そんなに悪くないかも……
map_0887#238	ゼロ: マジでここ、寒すぎるだろ。
map_0887#239	誰の発案だよ、これ。
map_0887#240	しかもルミ、こういうタイプ、本気で好きなのか？
map_0887#241	タカ: 進むほど、寒くなってくるね……
map_0887#242	自分用にもう一枚、マフラー持ってくればよかったかな。
map_0887#243	でも、自前の炎があれば何とかなるよね。
map_0887#244	ゼロ: うげ、まだあんのか？
map_0887#245	やっと終わったと思ってたのに。
map_0887#246	つまり何だ、全部正しい色にすればいいのか？
map_0887#247	どれが正しいかなんて、俺に分かるわけないだろ。
map_0887#248	まあ、今さら後れを取るつもりはないけどな。
map_0887#249	どうせ、それにはもうウンザリしてるし。
map_0887#250	タカ: やっと着いた……
map_0887#251	これは一体、何だろう？
map_0887#252	完成させるべき形が、はっきり見えてる気がするな……
map_0888#0	レシラム: シィィィーラ！
map_0888#1	ゼクロム: クラァァァァァ！
map_0888#2	キュレム: ルゥゥゥ！！！
map_0888#3	タカ: ちょっと立ち止まって、手を温めていく？
map_0888#4	タカ: 寒さに負けちゃだめだよ。
map_0888#5	他の誰でもない、君だけは。
map_0888#6	タカ: 僕、また……手伝えるチャンスをもらえて嬉しいんだ。
map_0888#7	残ってた甲斐があったよ。
map_0888#8	聖域を出た後、自分が何をすればいいのか、本当に分からなかったんだ。
map_0888#9	だから、少し内省の時間を持とうと思って……
map_0888#10	……それをするのに一番いい場所は、たぶんしんきろうの塔だろうって思ったんだ。
map_0888#11	普通、みんなが言う『内省』とは違うと思うけど、他にどうしようもなかったんだよ。
map_0888#12	残念ながら、ちょっと道に迷って、まったく別の場所にたどり着いちゃって……
map_0888#13	そのとき、これを見つけたんだ。
map_0888#14	このギルガルド……
map_0888#15	最初は、ただの色違いだと思ってた。
map_0888#16	前の使い手に、捨てられたものだったみたいなんだ。
map_0888#17	でも、なぜか、すぐに僕にすっかりなついちゃって。
map_0888#18	連れて歩くようになって初めて、こいつがどれだけの力を秘めてるか気づいたんだ。
map_0888#19	正直、まだ慣れてる途中だけど。
map_0888#20	でも、君の役に立てるなら、
map_0888#21	誰かに敷かれた道を歩くんじゃなくて、自分のやり方で何か違いを生み出せるなら、
map_0888#22	その重荷は、喜んで引き受けるよ。
map_0888#23	タカ: 僕は君のためにここにいる。
map_0888#24	タカ: 一息つく？
map_0888#25	タカ: 僕がついてるから。
map_0888#26	タカ: 僕はただ……存在するだけで満足しようとしてるんだ。
map_0888#27	みんな、僕を『チームメテオの後継者』かなんかとして、すごいことを期待してた。
map_0888#28	でも、それは僕じゃないと思う。
map_0888#29	あれはただ、僕がこうあるべきだっていう、みんなの考えにすぎないんだ。
map_0888#30	リーダーの器なんかじゃないし、正直、なりたくもない。
map_0888#31	僕はただの、一人の人間なんだ。
map_0888#32	僕はただ、君のためにここにいる。
map_0888#33	それでいいよね？
map_0888#34	タカ: 言うまでもないよね？
map_0888#35	でも、君ならできる。
map_0888#36	ゼロ: 回復いるか？
map_0888#37	ゼロ: 問題ない。助けるためにいるんだからな。
map_0888#38	……いつもと違って、な。
map_0888#39	この『いいことをしようとする』っていうのが……まだちょっと慣れてないんだ。
map_0888#40	だから……このフリーザーを、まだ手元に置いてるんだ。
map_0888#41	お前があのフリーザーをルミに見せたとき、あいつすごく喜んでたんだ。
map_0888#42	こいつらが現れ始めてから、ルミはずっと一度見てみたいって言ってたらしいんだ……
map_0888#43	でも思ったんだ……そんなに意味があることなら、見るだけで終わらせる必要ないんじゃないかって。
map_0888#44	だから、入ってくる報告を片っ端から調べ始めたんだ、こういう氷の世界とか、鳥がらみの話が出てくるのを待って……
map_0888#45	……で、見ての通り、最終的に見つけたってわけだ。
map_0888#46	捕まえるのは、簡単な方だった。
map_0888#47	でも、今もまだ手元に置いてるのは……
map_0888#48	その、どうやったらいいのか、分からない気がして……
map_0888#49	あいつに渡す方法が？
map_0888#50	言いたいこと、分かる？
map_0888#51	あいつを気まずくさせたくないし、誰かに変な誤解もされたくないんだ。
map_0888#52	ただ、あいつが気に入ってくれるかもって思っただけなんだ。
map_0888#53	だから、ただ……いいタイミングを待ってるだけ、かな。
map_0888#54	……こんなに喋りすぎちゃいけないね。
map_0888#55	君のポケモンは回復した。もう行った方がいいね。
map_0888#56	ゼロ: 気をつけてな。
map_0888#57	ゼロ: よし着いた、で……何もねえな。
map_0888#58	こういうときって、普通どうすんだ？
map_0888#59	またあの厄介な10歳児が現れて、正しい方向を指し示してくれるのを待つのか？
map_0888#60	ゼロ: ……
map_0888#61	正直、あれが合図になると思ってたんだけどな。
map_0888#62	まあ、来ないならそれに越したことはないか。
map_0888#63	タカ: まだマッシブーンは来てないね。
map_0888#64	キュレムかな？
map_0888#65	レシラムかな？
map_0888#66	それとも、暴れるケンタロスの群れとか？
map_0888#67	タカ: ……何もない、か。
map_0888#68	たぶん、その方がいいんだろうね。
map_0888#69	これまでのことを考えると、僕もそろそろ学んでおいた方がいいのかもしれない、あるいは……
map_0888#70	練習した方がいいのかな……
map_0888#71	……起きることが全部、悪いことばかりとは限らないって、受け入れる練習を。
map_0888#72	それが……ちょっと難しいだけなんだ。
map_0888#73	育った環境が――
map_0888#74	何か起きたら、僕が対応するよ。
map_0888#75	脅威に対処するのが一番得意ってわけじゃないけど、少しは備えようとして――
map_0888#76	アンナ: やあ、\PN～
map_0888#77	サプライズがあるんだ！
map_0888#78	サプライズって楽しいよね？
map_0888#79	もう何のことか、分かってるかもしれないけど……
map_0888#80	ゼロ: ああ、単に遅かっただけか。
map_0888#81	タカ: まあ、理由は見ての通りだよ！
map_0888#82	タカ: あ。
map_0888#83	さあ、打席に立つ番かな。
map_0888#84	リン: ちょっと、何やってんの
map_0888#85	そもそも、のろまくんがもう何か言うほどここに着いてたこと自体、びっくりだったんだけど、
map_0888#86	だから、あんたが来たときのために大慌てで準備してたのに
map_0888#87	なのにあんた、図々しくも「ああ、あのガキいつ来るんだろ」とか言い出す度胸あったよね
map_0888#88	こっちはめちゃくちゃ頑張って働いてるのに、あんた仕切ってるみたいな口調になってない？？？？
map_0888#89	ってか、失礼すぎない？
map_0888#90	だから、あんたを待たせてやろうと思ってたのに。
map_0888#91	……でも飽きちゃった、とにかくハーイ！
map_0888#92	リン: マジで、あんたの親がクソだったのは知ってるって、文字通りみんなの親がそうだったし。
map_0888#93	もし自分の親はクソじゃなかったって思ってるなら、それはただ、あんたが親の嘘を信じてるだけだよ。
map_0888#94	せめて、一日中それでクヨクヨしてる以外の何かを見つけなよ、そんなの誰にでもできることじゃん。
map_0888#95	はい静かに、あたしのおもちゃで遊びなよ。
map_0888#96	リン: はーい、割り込んでごめんね、でもなんか大げさに独り言モノローグ始めそうな気配だったし、そういうのってもうただでさえ多すぎるから、\PNが基本無口なのは分かってるけど、だからってあんたがいつも一方的に喋りまくっていいってわけじゃないから、そういうのマジですぐ古くなってウザくなるんだよね、とにかく、代わりにこいつらと遊んでみない！？
map_0888#97	リン: うわー！ ドラゴン！ こわーい！
map_0888#98	今の、あたしへの合図だった？ それとも、そんなの手に負えなかった？
map_0888#99	あと、今それやろうとか思わないでよね！ あたしはもう、めちゃくちゃ忙しく退場する予定だから。
map_0888#100	ゼロ: え、今何が起きたんだ？
map_0888#101	まあいい、もっと大事な用事がありそうだしな。
map_0888#102	俺には……自分で確かめておきたい考えが、まあ、あるんだ。
map_0888#103	\PN、ここは俺が援護する！
map_0888#104	タカ: 気を抜くことを学ぶとか言っといて、この様か……
map_0888#105	リン: てか、別にいいんじゃない。
map_0888#106	そういうの、あんた下手だし！
map_0888#107	ドラゴンが群れで来るなんて、みんな知ってることなのに、あんた予想すらしてなかったでしょ。
map_0888#108	ヒマナッツでも投げつけときゃよかったかな。
map_0888#109	待って、まだいける――ちょっと待って――
map_0888#110	タカ: ……いたっ。
map_0888#111	リン: あ、ちょっと待って、あと20体くらいいるはずだったのに、どこ行っ――
map_0888#112	は？なんで全部あっちに行ってんの
map_0888#113	あんたの顔面にヒットする予定だったのに
map_0888#114	あたし文字通り神なのに、なんでこれがまだこんな難しいわけ
map_0888#115	もういい、忘れて
map_0888#116	とにかくドラゴンでも殴ってきて、もうどうでもいいから、じゃあね
map_0888#117	タカ: 彼女、その……
map_0888#118	……僕の記憶とは、ちょっと違うみたいだね。
map_0888#119	タカ: さて、行こうか？
map_0888#120	アンナ: すっごくワクワクする！
map_0888#121	二人で、怖いドラゴンと戦うんだね！
map_0888#122	本当に、ハラハラしちゃう！
map_0888#123	XX XXXXX――
map_0888#124	タカ: ……相手の言ったことが聞き取れなかったのに、もう二回も聞き返してて、これ以上聞くのは気まずいし失礼な気がする、あの感じ、分かる？
map_0888#125	今まさに、それを感じてる。
map_0888#126	……行こうか？
map_0888#127	タカ: 今回は違うよ！
map_0888#128	\PN、援護するよ？
map_0888#129	でも、前にこういう連中の近くで組んだときよりは、少しはマシだといいけど……
map_0888#130	今回は、ちょっとは装備がマシだから。
map_0888#131	タカ: ……それ、あんまり良さそうに聞こえないな。
map_0888#132	後でそれに対処しないといけないかもしれないね。
map_0888#133	とりあえず、行こうか？
map_0888#134	リン: あら、威勢がいいじゃない。
map_0888#135	そのモノ、ちゃんと気をつけて扱わないと、誰か怪我するよ。
map_0888#136	剣を手に入れたからって、前回と何か変わるわけじゃないから。
map_0888#137	タカ: その賭け、乗るしかないと思う。
map_0888#138	\PNと僕とで、君のところまですぐに斬り込んでみせるよ。
map_0888#139	リン: そこからじゃ、あたしに実際は何もできないって分かってるよね？
map_0888#140	分かってるでしょ？
map_0888#141	あたし実際にはそこにいないんだけど？？？
map_0888#142	何に向かって振り回すつもり？？？
map_0888#143	この状況で、振り回す相手を用意してあげないのって、失礼だよね。
map_0888#144	あ、そうだ！ 昔の人形、たしかその辺に転がってたはず。
map_0888#145	前回の逆パターンってわけ！ そういう反転展開、みんな大好きでしょ。
map_0888#146	タカ: それは本当に……いらないよ。
map_0888#147	リン: えー、つまんない。
map_0888#148	まあ、そのモノをちゃんとした目的で振り回したくなったら、連絡してよね～
map_0888#149	ドラゴンに食べられなければ、だけど。
map_0888#150	ザァァァァァァァク！
map_0888#151	ユルァァァァ！
map_0888#152	ゼロ: これで終わりか！？
map_0888#153	タカ: 終わった？
map_0888#154	ゼロ: おいおい、勘弁してくれよ。
map_0888#155	チッ、どうせいつかは対処しなきゃいけなかったんだろうな。
map_0888#156	また協力して、こいつらを倒すぞ！
map_0888#157	タカ: ……聞かなきゃよかった。
map_0888#158	キュウゥゥ！！！
map_0888#159	ラァァァァァム！！！
map_0888#160	ゼロ: これで終わり、か。
map_0888#161	そこまで……悪くなかったな。
map_0888#162	俺にとって、何か証明になった気がする。
map_0888#163	俺は、お前を上回ることなんてできない。
map_0888#164	それはとっくに分かってたことだ。
map_0888#165	もしできてたら、お前は多分、まだここにいなかっただろうしな。
map_0888#166	その節はすまなかった。
map_0888#167	でも……お前一人で、あれ全部と戦えたか？
map_0888#168	たぶん……
map_0888#169	お前はガラス工房で、あれ以上のことをやってのけた。
map_0888#170	でも、俺がいくらか楽にしてやっただろ？
map_0888#171	俺は思うんだ、お前ほど強くはなれなくても、
map_0888#172	イヴほど発想力があるわけじゃなくても、
map_0888#173	ルミほど優しくなれなくても……
map_0888#174	……せめて、周りの人間くらいは助けられるはずだ。
map_0888#175	俺の限られた力でできることがあるなら、それをやる。
map_0888#176	みんながそうすれば、物事もそこまで悪くならずに済むかもな。
map_0888#177	手が足りてないってわけでもないんだしな。
map_0888#178	とにかく、まずはお前のチームを回復させるところから始めるか。
map_0888#179	ゼロ: まさか自分が、お前のサポート役に回るとはな……
