map_0900#724	それに、目立つのが大好きな騒がしい男が、政治の才能を発揮するなんてね。
map_0900#779	もしかしたらあんたがいることで変わるかもね?
map_0900#780	あんたがここにいた時、あたしの人生を変えてくれたのは知ってるし、これからもそうかもしれない。
map_0900#781	そうそう、あたしたちのバンドが売れ始めたら?
map_0900#782	絶対全公演のチケット買いなさいよ。
map_0900#783	もう一人熱心なファンがいれば、あたしがそれに慣れるのももっと早くなるかもね。
map_0900#784	それと、戻ってきてくれて本当にありがとう。
map_0900#785	カインは本当にあんたのこと恋しがってたわ。
map_0900#786	みんなそうだったけど。
map_0900#787	たとえ短い間でも、会えて嬉しいわ。
map_0900#788	ベネット: \PN、こんにちは。
map_0900#789	シェリーはいつも、あなたは戻ってくるって言ってましたよ。
map_0900#790	そして私は彼女の言葉を信じる傾向がありましてね。
map_0900#791	ニューワールドのことでも、伝説のポケモンのことでも、他の何のことでも、彼女は大抵の場合分かっているものです。
map_0900#792	もっとも、私がそう言うだろうと予想していたでしょうけど。
map_0900#793	虫タイプの専門家で、私が気の合わなかった人はいません。
map_0900#794	……まあ、アエビウムから来たあの警官か何かは別ですが。
map_0900#795	ゲノセクトの砲台を修理するための部品を一度買おうとしただけで……
map_0900#796	大勢の人がひどく神経質になったものですよ。
map_0900#797	今じゃ植物用の肥料すら買えなくて、ローラに任せるしかないんです!
map_0900#798	ベネット: ……失礼。
map_0900#799	話がそれましたが、
map_0900#800	その小さな一件を除けば、ローラと屋敷に移ってからの私の生活は、実に平穏そのものです。
map_0900#801	スピネルにも近くて、お互いの家族が来たいと思えば訪ねやすいのもいいですね。
map_0900#802	……もっとも、訪ねる人がいなくても私は十分満足していますが。
map_0900#803	そもそも、ローラと一緒にいるだけで、もう十分すばらしいですから。
map_0900#804	ローラ: \PN、イライアス、わざわざご挨拶に来てくださるなんて、なんて嬉しいこと。
map_0900#805	ローラ: \PN、タカ、わざわざご挨拶に来てくださるなんて、なんて嬉しいこと。
map_0900#806	アマリアがちょうどわたくしたちの知識を借りようとしていたところなの、
map_0900#807	でも手伝いながらでも、ちゃんとご挨拶はできますわ。
map_0900#808	ベネット: 二人とも無事で良かった、おかえりなさい。
map_0900#809	アマリア: またね、ここが終わったらもっと話したいわ!
map_0900#810	タカ: みんな、また会ったね。
map_0900#811	えっと、みんな元気そうだ。
map_0900#812	ローラ: 本当にそう思いますわ!
map_0900#813	ベネットとわたくしはたくさんの植物や虫の世話をしていて、他人の世話をすることは自分にとってもとても良いことだと思っていますの。
map_0900#814	それにアマリアも最近同じことを始めて、自分で観葉植物を育てるようになったのよ!
map_0900#815	アマリア: そうなの、部屋が少し寂しかったから、賑やかにしようと思って植物を買ったの!
map_0900#816	そしたら一つが二つになって、二つが三つになって、三つが十になって……
map_0900#817	まあ、みんなも分かるでしょ。
map_0900#818	とにかく、それが本当に話したかったことなの。
map_0900#819	実は、うちの植物の一つに虫がついちゃって、どうしたらいいか分からなくて……
map_0900#820	ローラ: まあ、それは大変!
map_0900#821	ベネット: ……何の虫がついたんですか?
map_0900#822	アマリア: よく分からないんだけど、すごく小さくて、この前水をやろうとしたら、ちょっと電気が走ったような気がして?
map_0900#823	ベネット: バチュルのようですね。
map_0900#824	心配ありません、思っているよりずっと問題は少ないですから。
map_0900#825	まあ、その植物自体はもう駄目でしょうけど。
map_0900#826	でも数百匹のバチュルの世話は驚くほど簡単ですし、とても人懐こいですよ。
map_0900#827	まず必要なのは――
map_0900#828	ああ、実は、コンセントすべてにカバーが必要になります。
map_0900#829	体が小さいので中に入り込んで配線をかじってしまって、それが問題になることがあって……
map_0900#830	むき出しの配線は本当に何でも問題になりますね。もしパソコンが高性能なものなら、必要になるのは――
map_0900#831	ローラ: ベネット!
map_0900#832	彼女が聞きたいのは植物のことで、バチュル全部のことじゃないのよ。
map_0900#833	あなたの興奮は分かるけど、助けを求められた時は、何を頼まれたのかちゃんと覚えておかないと。
map_0900#834	ベネット: ああ、そうですね。
map_0900#835	すみません、アマリア。つい夢中になってしまって。
map_0900#836	ここからはローラに任せます。
map_0900#837	アマリア: ううん、大丈夫、夢中になる気持ちは分かるから……
map_0900#838	ローラ: そうね、実はバチュルは植物にとって全く問題にならないの!
map_0900#839	それどころか、あの子たちが出す小さな電流が成長を促してくれるのよ!
map_0900#840	それに、あの子たちは植物を食べたいわけじゃなくて、水が欲しいだけなの。
map_0900#841	だから植物には多めに水をあげるようにしないとね。
map_0900#842	ああ、あの子たちは植物には危険じゃないけど、あなたには危険がありますわ。
map_0900#843	安全な距離を保って水をあげる必要があって、
map_0900#844	植物を電子機器に近づけないようにして……
map_0900#845	人もポケモンも植物に触れないようにして……
map_0900#846	植え替えが必要な時は、しっかりした防護具をつけて……
map_0900#847	……他にも何かあった気がするわ。
map_0900#849	ベネット: 植物を台所に置かないでください、バチュルが食べ物に入り込んでしまいますから。
map_0900#850	ローラ: ああ、忘れるところだったわ!
map_0900#851	それと、もちろん家にジャグジーやプールがあるなら、バチュルを絶対に近づけちゃだめよ。
map_0900#852	ベネット: それと外に湖や池があるなら、おそらく窓の近くにも植物を置かない方がいいでしょうね。
map_0900#853	ローラ: そうね、それと他にも……
map_0900#854	アマリア: ……やっぱり聞くべきじゃなかったわね……
map_0900#855	っていうか、正直、他の誰にでも聞けば良かった。
map_0900#856	ねえ、二人を巻き込んじゃってごめん。
map_0900#857	あたしはただ、うちの植物からバチュルを取り除く方法が知りたかっただけなの……
map_0900#858	タカ: 大丈夫だよ、本当に。
map_0900#859	その、分かる気がするから。
map_0900#860	昔、メテオにいた頃、テラにパソコンの使い方を聞いたことがあって、
map_0900#861	結局、すごく出来の悪いファンフィクションを四時間も朗読される羽目になったんだ。
map_0900#862	それ以来、パソコンのことは他の人に聞くようにすぐ学んだよ。
map_0900#863	……自分の子供時代、結構変だったんじゃないかって思えてきた。
map_0900#864	アマリア: まあ、今はみんなにとって前より変じゃなくなったみたいで良かったわ。
map_0900#865	まあ、全体的に見ればだけど。
map_0900#866	……二人はこっそり抜け出した方がいいかもね、あの二人はしばらく終わりそうにないし。
map_0900#867	でも会えて良かった、おかえり。
map_0900#868	タカ: うん、そっちもね。
map_0900#869	行こう\PN、一生分のバチュル知識を仕入れた気がする……
map_0900#870	イライアス: ベネット、ローラ。
map_0900#871	私が関わった不快な出来事にもかかわらず、お二人とも元気そうで何よりです。
map_0900#872	ローラ: もうずいぶん昔のことよ、イライアス、あの時も言ったけど、わだかまりなんて全然ないわ。
map_0900#873	それに、もう誰も四天王じゃないんだし。
map_0900#874	そういう意味では、事態は自然と解決したってことじゃないかしら?
map_0900#875	ベネット: あなたの前向きさと楽観さ、そして許すスピードには、十年経った今でも驚かされますよ、ローラ。
map_0900#876	でも彼女の言う通り、我々にとってもあれはもう昔のことです、エル。
map_0900#877	わだかまりなんてとうの昔に消えていますよ。
map_0900#878	イライアス: それは嬉しいことですね。
map_0900#879	事情がどうであれ、お二人とも四天王として立派に務めを果たしていましたよ。
map_0900#880	それに、先ほども言った通り、お二人が元気そうで嬉しく思います。
map_0900#881	アマリアさんも、ですね。
map_0900#882	ローラ: そうね、みんな元気そうよ!
map_0900#883	イライアス: 謝る必要はありませんよ。
map_0900#884	彼らの情熱は立派なものです。
map_0900#885	正直に言うと、私も説教の中で、人に質問された時に似たような脱線をしてしまうことがあります。
map_0900#886	適切な話題であれば、かつてのメテオの同僚たちの大半も同じようなものでしたから。
map_0900#887	……もっとも、私たちを結びつけた目的そのものが、集まってくる人々を……
map_0900#888	普通よりも少し風変わりにしていたのかもしれませんが。
map_0900#889	イライアス: それはずいぶん失礼な言い方に聞こえますが……
map_0900#890	正直に言うと、私もベネットと十分な時間を過ごしてきたので、すでに知っていますよ……
map_0900#891	望んでいた以上に、虫ポケモンについての知識を。
map_0900#892	……もし後でまた「こんにちは」を言うことになっても、きっと気にしないでしょう。
map_0900#893	ベネット: ええ、当然ながら高価でミネラル豊富な土がないと、あの子たちは苛立ちますからね。
map_0900#894	ローラ: ああ、それは言うまでもないわね。
map_0900#895	でもミネラルが豊富すぎるのもだめ!
map_0900#896	もし一匹でも進化したら、植物も家も、そしてたぶんあなた自身もかなり大変なことになるわ!
map_0900#897	ベネット: ええ、もっともデンチュラはとても柔らかいですけどね……
map_0900#898	ローラ: そうなの!
map_0900#899	もう一匹迎えましょうか?
map_0900#900	ローラ: また会ったわね、\PN!
map_0900#901	ごめんなさい、前の会話の後、気を取られてさよならを言い忘れてしまったみたい。
map_0900#902	あなたが戻ってきてくれて本当に嬉しいわ。
map_0900#903	最近は、何もかもが素敵なの。
map_0900#904	ベネットとわたくしは四天王を辞めて、屋敷で一緒に植物やお花の世話をしているの。
map_0900#905	シャルロットも定期的に訪ねてくれるわ。
map_0900#906	サファイラも時々顔を出すの。
map_0900#907	セラとルナだって、時間がある時は挨拶してくれるのよ!
map_0900#908	素敵な世界に生きているから、素敵な人生を送れているの。
map_0900#909	その多くはシェリーのおかげだけど、あなたの貢献も忘れないわ。
map_0900#910	この地方を救ったことで、あなたは……の土台を築いてくれた。
map_0900#911	何もかも、っていうことになるのかしら!
map_0900#912	これ全部よ。
map_0900#913	だから、心の底から、ありがとう。
map_0900#914	わたくしと姉妹たちがこんなに幸せに暮らせる世界を作る手助けをしてくれて。
map_0900#915	アマリア: ベネットとローラのアドバイスを聞いて、決めたの、
map_0900#916	この植物は二人にあげて、新しいのを買うことにするわ。
map_0900#917	でもその話はもう十分すぎるくらいしたわね。
map_0900#918	十年って長い時間だけど、ちゃんと有意義に使えたと思ってる。
map_0900#919	自分が何をしてきたか、人生がどう変わったか、いくらでも語れるとは思うけど。
map_0900#920	でも本当に大事な変化は、たった一つだけだと思う。
map_0900#921	今、あたしは幸せなの。
map_0900#922	ノエル: 父さんは頑張ってるけど、僕が芸術の神からの贈り物だとか言うのはやめてほしいんだよね。
map_0900#923	この前サムソンが来て、父さんから僕のこと聞いたって言ってさ。
map_0900#924	派手で色鮮やかで、豪華な婚約指輪を作ってほしいって依頼してきたんだ。
map_0900#925	作れないわけじゃないけど、僕は自分のスタイルで仕事したいんだよ。
map_0900#926	応援のつもりなのは分かってるけど、僕の作品について誤解されたくないんだ。
map_0900#927	ラドマス: おやおや、足音が近づいてくるようだ。
map_0900#928	我が名誉ある賓客たちかな?
map_0900#929	ノエル: ……またこれか。
map_0900#930	ラドマス: \PN! タカ!
map_0900#931	二人とも戻ってきてくれて、実に素晴らしい。
map_0900#932	そしてもちろん、名誉ある賓客を迎えるのに贈り物以上のものはないだろう!
map_0900#933	リボーン一の芸術家との、直々の対面という贈り物を――
map_0900#934	いや、世界一と言うべきかな!
map_0900#935	ノエル: ……父さん、それ言うのやめてって言ったよね。
map_0900#936	タカ: 芸術家になったの?
map_0900#937	……チェスが本業だったんじゃ?
map_0900#938	ラドマス: いやいやいや!
map_0900#939	どれも見当違いだよ、残念ながら。
map_0900#940	まず、私はもう何年もチェスを指していない――新しい生活にふさわしい、もっと相応しい趣味に切り替えたのだ。
map_0900#941	次に、芸術家は私ではなく、我が愛する息子の方だ!
map_0900#942	ノエル: ……
map_0900#943	ノエル: うん、まあいいよ。
map_0900#944	やあ、また会えて良かった。無事で何より。
map_0900#945	……もっとも、シェリーはいつも君なら大丈夫、また現れるって言ってたから、心配はしてなかったけどね。
map_0900#946	タカ: やあ……新しい見た目、いいね、すごくファンキーだ。
map_0900#947	芸術家らしいよ。
map_0900#948	それで、その、どうしてこうなったの?
map_0900#949	ノエル: 大したことじゃないよ、シェリーと僕、一度ゼルネアスに会って、それで……
map_0900#950	色への見方が新しくなったから、絵を描き始めたんだ。
map_0900#951	それに、キャンバスに油絵の具って形式にもこだわらなかった。
map_0900#952	それで何人か気に入ってくれる人がいたから、続けることにしたんだ。
map_0900#953	ラドマス: 「何人か気に入ってくれた」だと?
map_0900#954	それではお前の成功を全く言い表せていないぞ!
map_0900#955	ラドマス: カロス地方きっての名だたる画廊から……
map_0900#956	……シンオウ地方の最も由緒あるリゾートまで……
map_0900#957	ノエルの作品は、世界中の最も名誉ある場所に展示されているのだ!
map_0900#958	それどころか、去年、存命の芸術家が一作品に対して受け取った金額の最高記録を打ち立てたのだぞ!
map_0900#959	ノエル: ……あれをカウントすべきじゃないと思うんだけどな、だって父さんが突然美術展に現れて、
map_0900#960	それも僕が開催すら教えてなかったのに、
map_0900#961	次点の相手に十倍の値段で競り勝ったんだから。
map_0900#962	ラドマス: 私を責められるかね?
map_0900#963	これほど才能ある若き芸術家の原画を手に入れる以上に、財産の使い道として何がふさわしいというんだ、
map_0900#964	我が家に誇らしげに飾れるのだからな!
map_0900#965	ノエル: ……その財産って、父さんのお父さんから丸ごと盗んだものじゃなかった?
map_0900#966	ラドマス: ……
map_0900#967	タカ: ……
map_0900#968	ラドマス: とにかく!
map_0900#969	時間旅行とは、実に興味深い!
map_0900#970	すべて聞かせてもらわねばなるまい!
map_0900#971	ノエル: 父さんのことごめんね。
map_0900#972	色々落ち着いてから、父さんは「史上最高の父親」になることを人生の使命にすると決めたんだ、それが何を意味するかは分からないけど。
map_0900#973	……ちょっと過剰なんだよね。
map_0900#974	タカ: それって、なんかいいなあ……
map_0900#975	いや、何でもない。
map_0900#976	時間旅行は悪くなかったよ、色々面白い人にも会えたし……
map_0900#977	もうチェスは指さないって言ってたよね?
map_0900#978	ラドマス: ああ、その通り。私は戦略と頭脳戦を愛する者、チェスこそ自分に完璧な競技だとずっと思っていた。
map_0900#979	だが、あまりに孤独な競技ではないかね?
map_0900#980	一家の主が時間を費やすには、あまりふさわしいとは言えまい。
map_0900#981	諸君、今君たちの目の前にいるのは世界チャンピオン……
map_0900#982	ラドマス: モノポリーのな!
map_0900#983	ノエル: ずっとそう言ってるけど、そんな称号は実在しないよ。
map_0900#984	ラドマス: ああ、我が聡明な息子よ、相変わらず鋭いな。
map_0900#985	その称号は私の心の中には確かに存在する!
map_0900#986	そして十分な参加者を集めて世界選手権を開けば、いずれ世界にもその存在を示すことになるだろう!
map_0900#987	ノエル: ……何か困ったことがあれば言ってね、\PN。
map_0900#988	君にはずいぶん恩がある。
map_0900#989	タカもね。
map_0900#990	……もっとも、それって僕の恩というより父さんの借りって感じもするけど。
map_0900#991	タカ: 覚えておくよ。
map_0900#992	それと、その……楽しんでね、
map_0900#993	家族の時間を?
map_0900#994	ノエル: ……うん。
map_0900#995	何にせよ、いつだって楽しんでるよ。
map_0900#996	我が名誉ある賓客かな?
map_0900#997	それに足音だけでなく、蛇が這うような音まで聞こえるな。
map_0900#998	どうやら我が賓客には連れがいるようだ。
map_0900#999	ラドマス: \PN!
map_0900#1000	戻ってきてくれて、実に素晴らしい。
map_0900#1001	そしてお前もそこにいるのだな、イライアス。
map_0900#1002	イライアス: ラドマス。
map_0900#1003	ひどく老けたものだな。
map_0900#1004	ラドマス: おや、それはこちらの台詞だよ、我が愛しの元従業員くん。
map_0900#1005	お前にとっても十年が経ったようだな。
map_0900#1006	だが今日はお前にとって幸運な日だ!
map_0900#1007	今にも死にそうなほど老いぼれた者にとって、これほど素晴らしい機会に恵まれるとは、実に稀なことだろう。
map_0900#1008	リボーン一の芸術家との、直々の対面という機会に――
map_0900#1009	イライアス: チェスの世界チャンピオンから、今度は何だ、芸術の世界チャンピオンか?
map_0900#1010	芸術はお前によく似合う、盗んだ財産の言い訳をでっち上げるその創造力を思えばな。
map_0900#1011	ラドマス: 相変わらず何もかも見当違いだな、イライアス。
map_0900#1012	チェスマスターとしての生き方から離れたというのは正しいが。
map_0900#1013	芸術家は私ではない――我が愛する息子の方だ!
map_0900#1014	やあ、また会えて良かった\PN。無事で何より。
map_0900#1015	イライアス: これほど礼儀正しい青年に育ったこと、心から祝福しよう、
map_0900#1016	この男の存在そのものが、これほど不利な条件になっていたにもかかわらずな。
map_0900#1017	芸術家になったのか?
map_0900#1018	それで何人か気に入ってくれる人がいたから、続けることにしたんだ。
map_0900#1019	イライアス: それはひどくマネーロンダリングじみて聞こえるな。
map_0900#1020	実際、お前の財産が丸ごと私と我が主から盗んだものだということを考えれば、おそらくそうなのだろう。
map_0900#1021	いかにもお前らしい、自分の犯した罪の代償を子供に押し付けるとはな。
map_0900#1022	ラドマス: おやおや! こんな高名な専門家から子育てのアドバイスをいただけるとは、実にめでたい日だ!
map_0900#1023	もっとも、単なるスタイルの違いというものもあるだろうがね。
map_0900#1024	何しろ、私の娘ルナは、私を素晴らしい父親だと思ってくれているようだからな。
map_0900#1025	ノエル: ……もう二人には任せておこう。
map_0900#1026	ノエル: ごめんね、\PN。父さんは……ちょっと濃いんだ。
map_0900#1027	色々落ち着いた後、史上最高の父親になることに本気でこだわり始めて……
map_0900#1028	まあ、今はそのエネルギーを全部……あっちの方に注いでるってわけ。
map_0900#1029	ラドマス: なあ、お前がそれほど老いて弱っているのに、ただ戦うのは不公平だとずっと思っていたのだが。
map_0900#1030	十年経った今なら、お互い同じ年頃だ、さあかかってこい。
map_0900#1031	イライアス: よせ、お前は濡れた紙袋一つ突き破れないだろう。
map_0900#1032	お前のやり口は、間違いなく私が背を向けた隙を蹴飛ばすようなものだろうしな。
map_0900#1033	ノエル: 父さん、チェスもやめちゃったんだよ。
map_0900#1034	一家の主になったんだから、家族の趣味が必要だって決めてね。
map_0900#1035	その称号は実在しないのに、自分をモノポリーの世界チャンピオンって呼んでるんだ……
map_0900#1036	イライアス: おお、それはなんと「立派な」親であることか!
map_0900#1037	自分の子供とそれほど馬が合わず、絆を結ぶために自分の何もかもを変えねばならなかったとはな?
map_0900#1038	ラドマス: 古語でこれをどう言えばいいのか分からないほど尊大ではなくて申し訳ないが、
map_0900#1039	ガラスの家に住む者は石を投げるべきではないぞ、イライアス。
map_0900#1040	ノエル: 少なくとも、父さんは僕を理解しようとしてくれてるんだ。
map_0900#1041	そのやり方がちょっと……濃いのは確かだけど。
map_0900#1042	そばにいてくれるのは嬉しいよ、恥ずかしいけどね。
map_0900#1043	……君が戻ってきてくれたのも嬉しいよ。戻ってくるって確信してたけど、それでも実際にそうなると良かった。
map_0900#1044	ラドマス: 見ろ、私はイライアスだ。
map_0900#1045	私はあまりに嫌われ者すぎて、誰かが無私の心で私に良くしてくれるなんて考えは、全く理解できないのだ!
map_0900#1046	だからこそ、見知らぬ若者をアルセウスだと信じ込むほかなかったのだ、それ以外に説明がつかないからな!
map_0900#1047	イライアス: なんという言い草だ……
map_0900#1048	さて、私の名前はラドマスだ!
map_0900#1049	あまりに長い間、意味不明な似非哲学をまくし立てていたせいで、みんな私を知識人か何かだと思い込んでいた。
map_0900#1050	だから私はただ嘘をついて、自分はチェスマスターだと言ったのだ。
map_0900#1051	チェスもさほど得意ではないのだが、誰も私と一局指すほど長く一緒にいられないから、誰にもバレやしない!
map_0900#1052	ノエル: ……ねえ、お茶でも飲みに行こうか。
map_0900#1053	もう若くはないんだし、あれだけ叫んでればそのうち疲れるはずだよ……
map_0900#1054	……たぶんね。
map_0900#1055	\PNとノエルはカフェで楽しくお茶を飲むことにした。
map_0900#1056	二人はノエルの芸術のことや時間旅行のこと、その他たくさんのことを話した。
map_0900#1057	戻ってきた時、ラドマスとイライアスは、あれだけ叫び合ったせいですっかり息切れしていた。
map_0900#1058	イライアス: まあ……他に挨拶したい人が大勢いるのでね。
map_0900#1059	また後で話そう、我が主よ。
map_0900#1060	ラドマス: せいせいするな……
map_0900#1061	んん、これは失礼した。
map_0900#1062	連れてきた相手には難があったが、それでもお前が戻ってきたことは喜ばしいことだ、\PN。
map_0900#1063	改めて、おかえり。
map_0900#1064	ノエル: うん、おかえり。
map_0900#1065	色々本当にありがとう。
map_0900#1067	ラドマス: 息子と離れて過ごしたあの歳月を思うとな。
map_0900#1068	失った年月を丸ごと取り戻したいくらいだが、その代わりに、埋め合わせをするしかあるまい。
map_0900#1069	しばらくの間、あの子を本当に理解するのに苦労したものだが……
map_0900#1070	最近は、私の悪ふざけにも笑みをこぼしてくれることが増えた。
map_0900#1071	だから、何か正しいことができているのだと信じたいものだ。
map_0900#1072	タカ: あ、\PN、やあ。
map_0900#1073	ちょうどルナに挨拶してたところなんだ。
map_0900#1074	ルナ: タカがあなたの時間旅行のこと、色々話してくれたの、とても興味深いわ。
map_0900#1075	でも失礼だったわね、時間旅行なんてきっと疲れるでしょうに!
map_0900#1076	何か飲み物でもいかが?
