map_0535#212	スカーボロー：誰に愛情を注ぐかを選ぶのは、あの子の権利よ。
map_0537#51	指輪をなくしたことは、まだ言えていないの。
map_0537#52	こんな後悔、初めてよ……
map_0537#53	なんとかしたいけど、あの指輪はオーダーメイドだから、同じものをただ買うわけにはいかないし、
map_0537#54	湖の中から見つけ出せるわけもないわ。
map_0537#55	ちょっと、待って……
map_0537#56	そのあなたが持ってる指輪……まさか……
map_0537#57	本当に見つけてくれたの!?
map_0537#58	すごいわ!
map_0537#59	あなたは本物の救世主ね!
map_0537#60	正直に言うと、面白いものを偶然手に入れて、それを売って新しいオーダーメイドの指輪代にしようかとも考えていたの。
map_0537#61	でも見つけてくれたんだから、代わりにこれをもらってくれない?
map_0537#62	これが何なのかよくわからないけど、少なくとも、もう責任を負わなくて済むわ。
map_0537#63	あなたなら使い道を見つけられるといいけど!
map_0537#64	指輪を見つけてくれてありがとう!
map_0537#65	あ、それともう一つのことは、誰にも言わないでもらえる?
map_0537#66	\PNはフィールド効果解説書15を手に入れた!
map_0537#67	フォレストフィールドの情報が見られるようになった!
map_0537#68	はい
map_0537#69	いいえ
map_0539#0	なあ……
map_0539#1	いや、その……
map_0539#2	マジで……
map_0539#4	おいー……
map_0539#5	だってさ……
map_0539#6	この階段、なんかジュリアに似てると思わね?
map_0539#7	マジやばくね……
map_0539#8	もしさ……
map_0539#9	ジュリアがこの階段の中にいたら?
map_0539#10	なあ、もしさ……
map_0539#11	階段の色って、人を食って付いたものだったら?
map_0539#13	次はオレじゃねえからな!
map_0540#0	子どもたちが、あなたのことをよく話してるみたいね。
map_0540#1	リボーンの救世主だとかなんとか。
map_0540#2	それじゃあなたは、ちょっとした有名人ってわけね。
map_0541#0	自動販売機だ。\nどの飲み物にする? \G
map_0541#1	\Gおいしいみずが落ちてきた!
map_0541#2	\Gボーナス! もう一本おいしいみずが落ちてきた。
map_0541#3	\Gバッグに空きがない。
map_0541#4	\Gお金が足りない。
map_0541#5	\Gサイコソーダが落ちてきた!
map_0541#6	\Gボーナス! もう一本サイコソーダが落ちてきた。
map_0541#7	\Gミックスオレが落ちてきた!
map_0541#8	\Gボーナス! もう一本ミックスオレが落ちてきた。
map_0541#9	きっぷをお求めですか? \ch[321,-1,Grandview Station,Ivyline Station,Sunset Station,Heatherhill Station,Peony Station,Kingsbury Station,Shantyport Station]
map_0541#10	今はもう、いつも仕事、仕事。
map_0541#11	家には帰りたくない。あそこは冷たいから。
map_0541#12	妻は勤務時間が変わったことにかなり腹を立ててるけど、休みの日でさえ家にいたいと思わせてくれないんだよな。
map_0541#13	よお、かわいこちゃん。彼氏はいるのか?
map_0541#14	何見てんだよ?
map_0541#15	おいしいみず - $200
map_0541#16	サイコソーダ - $300
map_0541#17	ミックスオレ - $350
map_0541#18	キャンセル
map_0542#0	ちょ、ちょっと、二人きりの時間を邪魔しないでよ。
map_0542#1	ああっ!? なんで見てるの? 恥ずかしいじゃない……
map_0542#2	でも、なんだかドキドキもするけど……
map_0542#3	い、いてもいいけど……そんなに見たいなら……変態。
map_0542#4	アクアギャングの過去の過ちを償うために、この庭を素晴らしい場所にするためなら何でもするよ!
map_0542#5	みんなが力を合わせて古い路地を直して、誇れる場所を作ったんだ。
map_0542#6	なかなかいい出来だと思うけど、どう思う?
map_0543#0	何か見えない気配が道をふさいでいる。
map_0543#1	\PNはシルボンスコープを使った。
map_0543#2	驚いたポケモンがおそいかかってきた!
map_0543#3	多くの旅人が、トルマリン砂漠に踏み出す前にここで様子を見ていくんだ。
map_0543#4	君もそうかい?
map_0543#5	なら、よく見ておくといい。
map_0543#6	線路を北にたどっていくと、スクラップヤードに出るよ。
map_0543#7	たくさんの列車が脱線したまま、誰も片づけられずにいるんだ。
map_0543#8	あまり北へ行きすぎないよう気をつけて! あそこの砂嵐はかなり激しくて、歩いて進むのは危険だからね。
map_0543#9	そこからさらに南には、砂に埋もれた洞窟があるらしい。
map_0543#10	北東には古い塔が見えるって、他のトレーナーから聞くけど、オレ自身は見たことがないんだ。
map_0543#11	それから、北西のあの山々――あれがテクナイト山脈さ!
map_0543#12	いつかオレも自分であそこを登るつもりなんだ!
map_0543#13	どうも。気にしないで、ただ人間観察してるだけだから。
map_0543#14	みんな、自分のやってることが一大事みたいに走り回ってる。
map_0543#15	まあ、わたしもそう変わらないんだけどね。
map_0543#16	いつも見てるだけで、何もしない。
map_0543#17	ふうん。コーラルジムで人手がいるの?
map_0543#18	わたしも何かする番みたいね。
map_0543#19	コーリー：この砂漠の眺めは、実に素晴らしいと思わないか。
map_0543#20	コーリー：久しぶりだな、\PN。
map_0543#21	ヘザーは元気か? 君はどうだ?
map_0543#22	ああ、しかしこれは君にとって、さぞかし混乱することだろう。
map_0543#23	さあ、私と一緒にこの景色を楽しみながら、何が起きているのか説明しよう。
map_0543#24	コーリー：私は死んだ。
map_0543#25	だが、シェイドのおかげで、私のごくわずかな一部が残された。
map_0543#26	もちろん、意味を持つほどのものではなかったが……
map_0543#27	まあ、ニューワールドが生まれたことで、意味のなかった多くのものが大きな意味を持つようになったのだ。
map_0543#28	そして、私はここにいる。
map_0543#29	君がニューワールドを探検する様子を、ずっと見ていたのだよ。
map_0543#30	ポケモンを助け、人々さえも助けているのを。
map_0543#31	だが、いつも君と入れ違いになってしまってな。
map_0543#32	君を探し続けていた。だからこれだけ経って、ようやく……
map_0543#33	これだけ時が経って、ようやく私は……
map_0543#34	謝ることができる。
map_0543#35	コーリー：私が最も暗かったころ、君にひどいことを言ってしまった。
map_0543#36	私の行いや選択の責任は、君にはないと知っておいてほしい。
map_0543#37	それをどうしても言っておきたかったのだ。
map_0543#38	コーリー：……それで、私の妻に会ったそうだな?
map_0543#39	エレナだ。『スカイスペクター』の異名を持つ。
map_0543#40	彼女は私の世界そのものだった。彼女を失った日、私の世界は終わったのだ。
map_0543#41	だが……自らの命を失うことで、ある種の明晰さが得られるものだ。
map_0543#42	たとえ残されたのが彼女の思い出だけだとしても、私は今までで一番幸運な男だったと言える。
map_0543#43	彼女はまさに、誰にも止められない人だった。
map_0543#44	バトルであれ、日々の暮らしであれ、彼女はやりたいことは何でもできる人だった。
map_0543#45	私がこの景色を愛しているのは、彼女がいたからだ。
map_0543#46	彼女はなかなか不気味なユーモアのセンスを持っていてね。
map_0543#47	よくここへデートに来たものだ。
map_0543#48	ちょっとしたことが気に入らないと、彼女はこの橋から飛び降りて、すぐにボーマンダに乗って舞い戻ってくるのだ。
map_0543#49	心配そうな見物人がいると、まずゴーストタイプを先に飛ばして、脅かしてやることまでしていた。
map_0543#50	それこそが、彼女がゴーストをサブタイプに選んだ本当の理由だと、私は確信している。
map_0543#51	彼女は本当に……完璧だった。
map_0543#52	コーリー：彼女がどれほど素晴らしかったか、いつまでも語っていられる。
map_0543#53	どれほど彼女が恋しいかもな。
map_0543#54	だが、思い出にふけっている時間なら、この先いくらでもある。
map_0543#55	エレナは……未来に対して、いつも変わらぬ希望を抱いていた。
map_0543#56	そして今、私にもようやくそれが見えてきた気がする。
map_0543#57	リボーンは癒えつつある。
map_0543#58	リボーンの人々も癒えつつある。
map_0543#59	そしてこの地方には、これまでで最高のチャンピオンがいる。
map_0543#60	だが、どうしても考えてしまうことがある……
map_0543#61	彼女はいつも、次のチャンピオンは私だと確信していた。
map_0543#62	おそらく本当にそうなっていただろう!
map_0543#63	私はなかなかの才能の持ち主だったのだよ。
map_0543#64	少なくとも、彼女が……
map_0543#65	いや、私が挑むのをやめてしまう前は、だな。
map_0543#66	だが、ニューワールドをさまよう中で、もう一度挑戦する時間はあった。
map_0543#67	もちろん、それほど長くはなかったが……
map_0543#68	エレナはいつも、私を他の地方の子どものチャンピオンたちと比べていた。
map_0543#69	最初のポケモンをもらって、その一週間後にはチャンピオンになっているような連中とな。
map_0543#70	私がバトルを覚える速さを見て、あと十年か二十年早く始めていれば、リボーンでもそうなれたはずだと彼女は確信していた。
map_0543#71	だが、遅くともやらないよりはましだろう?
map_0543#72	\PNが舵を取るリボーンの未来は明るい。
map_0543#73	だが、彼女があれほど私を信じてくれていたのだから……
map_0543#74	私自身が同じだけ自分を信じなければ、彼女に対して申し訳が立たない。
map_0543#75	そろそろ、私たちは戦うべきだったのだと思う。
map_0543#76	正々堂々とした戦いをな。
map_0543#77	絶望にも、怒りにも、殺意にも満たされていない戦いを。
map_0543#78	私が全力を尽くす戦いを……
map_0543#79	忘れていたバトルへの愛を、思い出せる戦いを。
map_0543#80	さあ、かかってこい、チャンピオン\PN。
map_0543#81	もし私が先にその称号を手にしていたら、君はそれを私から奪えていたか、見てみようじゃないか!
map_0543#83	コーリー：見事だ!
map_0543#84	だが、油断はするなよ。
map_0543#85	正式に君に挑めるだけのバッジを揃える頃には、私は少なくとも今の倍は強くなっているはずだ!
map_0543#86	コーリー：待て、いや、私は……
map_0543#87	何が起きている?
map_0543#88	戻りたくない、あんなところには……
map_0543#89	コーリー：\PN。
map_0543#90	いつここに来た?
map_0543#91	また私を殺しに来たのか?
map_0543#92	もう一度、同じ見世物が見たいのか?
map_0543#93	また娘の心に毒を吹き込んで、私に背かせるつもりか?
map_0543#94	それとも、ただ現れてテロ組織をまた追い詰めて、やけを起こさせたかっただけか?
map_0543#95	コーリー：お前のせいで、誰にとってもすべてがより危険になった。
map_0543#96	お前が触れるものすべてが、毒に変わっていく。
map_0543#97	まさに、この地方にふさわしいチャンピオンだ。
map_0543#98	コーリー：エース。ソラリス。そして私。
map_0543#99	メテオが追い詰められ、必死になったせいで人々が死んだ。
map_0543#100	動物は追い詰められたときが、もっとも危険なのだ。
map_0543#101	間違えるな、彼らの死は――そしてメテオが引き起こした数えきれない他の死も――すべてお前のせいだ。
map_0543#102	その気になれば、ニューワールドを歩き回って、その一人一人を見つけ出すこともできるだろう。
map_0543#103	だが、何も変わりはしない。
map_0543#104	彼らの血は、いつまでもお前の手についたままだ。
map_0543#105	私は、周りの者にとってただの毒でしかない。
map_0543#106	だが、お前はあらゆるものにとっての毒だ。
map_0543#107	そして、お前に全員を救ったという満足感だけは、絶対に味わわせない。
map_0543#108	それで自分を誇ることなど、決して許さない。
map_0543#109	コーリー：なぜなら、いつだって誰か一人は失われたままだからだ。
map_0543#110	そして、それはいつでもお前のせいだ。
map_0543#111	コーリー：エレナ、愛しい人……
map_0543#112	私は毎日ここに来た……
map_0543#113	もう一度、あのボーマンダに乗って舞い上がる君を見られることを願って……
map_0543#114	だが、君が私のもとへ戻ってこられないことはわかっている。
map_0543#115	だが、もしかしたら……私が君のもとへ戻ることはできるだろうか……?
map_0543#116	もう一度、君と一緒に地平線を追いかけたかった……
map_0543#117	もう少し速く飛んでくれ、愛しい人……
map_0543#118	あと少しで、月にだって手が届きそうな気がしたんだ。
map_0544#0	やあ、トレーナー。
map_0544#1	自警団はトラブルに目を光らせている。何か怪しいものを見かけたら、我々に報告してくれ。
map_0544#2	君とここに座って、朽ち果てるまでずっとこの水を眺めていられそうだ。
map_0544#3	若い世代に任せておけば……
map_0544#4	この世界はきっと大丈夫だよな?
map_0544#5	認めるしかないな、あのアドリエンヌってやつは、めちゃくちゃなものを素晴らしいものに変える術を本当に心得てる!
map_0544#6	すべてが起きる前、ベリルはただの家の寄せ集めだった。
map_0544#7	がれきと根っこが絡み合った場所を見て「ここは公園にすべきだ!」と言えるのは、よほどの発想力がいる。
map_0544#8	チッ、一緒に遊ぶ気なんてないだろうけどさ。
map_0544#9	真夜中の公園って、人と出会うにはイケてる場所な気がするんだけどな。
map_0544#10	でもあんた以外にここで見かけたのは、バカなホームレスだけ! 最悪!
map_0544#11	フン、こんなに経ってから戻ってくるのって、なんだか変な感じ。
map_0544#12	家が壊されたあと、ポケモントレーナーになるために旅に出ることにしたの。
map_0544#13	元の生活に戻れるようになった今……
map_0544#14	そんなの、絶対にごめんだけどね。
map_0544#15	チッ、ここにいられなかった間、いろいろ厄介なことに巻き込まれたんだから。
map_0544#16	いいか、坊主。
map_0544#17	誰かを泊めてやるときは、絶対に見返りを求めるんじゃないぞ。
map_0544#18	タダで泊めてやるなんて言う男がいたら、信じちゃだめだぞ。
map_0544#19	言いたいのはそれだけだ。
map_0544#20	「キングスベリー駅」
map_0544#21	鍵がかかっている。
map_0544#22	何か見えない気配が道をふさいでいる。
map_0544#23	\PNはシルボンスコープを使った。
map_0544#24	驚いたポケモンがおそいかかってきた!
map_0544#25	「エンポリアム――
map_0544#26	今すぐご来店を!
map_0544#27	来なくてもいいけど。
map_0544#28	別に指図する気はないから」
map_0544#29	<>- キングスベリー通り\n^v -クリスタル通り
map_0544#30	<>- キングスベリー通り\nv -イエロー通り
map_0544#31	<>- ストーカー通り\n^ -クリスタル通り
map_0544#32	<>- ストーカー通り\n^ -イエロー通り
map_0544#33	<>- リトルポー通り\n^v -イエロー通り
map_0545#0	ボルケニオン：ヴヴヴルルルルルッキ!
map_0545#1	キィィィアァァ――
map_0545#2	ボルケニオン：ヴルルル……
map_0545#5	頑丈すぎて壊したり動かしたりできそうにない……
map_0545#6	この岩の台座には、他にも貴重なものが眠っているかもしれない。
map_0545#7	ばくはつのこなで開けてみますか?
map_0545#8	はい
map_0545#9	いいえ
