map_0741#26	人はいつだってそうなの。
map_0752#13	あたしも一緒に行くべきだった!
map_0752#14	でも!
map_0752#15	怖すぎるの!
map_0752#16	あたし最低……
map_0752#17	メテオ団が夫を連れて行ったの……
map_0752#18	誰か、何とかしてくれない?!
map_0752#19	目が覚めてからずっと、頭が割れそうに痛くて……
map_0752#20	一体何が起きてるの……?
map_0752#21	もういなくなった? もう?!
map_0753#0	アイスクリームの自動販売機だ。\nどの味にする?\G
map_0753#1	\G……え、ちょっと待って?
map_0753#2	\Gブルームーンアイスが出てきた!
map_0753#3	\Gバニラアイスが出てきた!
map_0753#4	\Gお金が足りない。
map_0753#5	\Gチョコレートアイスが出てきた!
map_0753#6	\Gバッグに空きがない。
map_0753#7	\Gストロベリーアイスが出てきた!
map_0753#8	こんにちは! 住居エリアに入りたいなら、入居者の方に案内してもらう必要がありますよ。
map_0753#9	???: こんにちは!
map_0753#10	ポケモン図鑑、持ってますよね?
map_0753#11	あたしの名前はビー。実はリボーンの全ポケモンのデータを集めようとしてるんです!
map_0753#12	手伝ってもらえませんか?
map_0753#13	ちゃんとお礼はしますから!
map_0753#14	図鑑登録が新しく100体増えるごとに、ご褒美をあげるっていうのはどうです?
map_0753#15	いい話でしょ?
map_0753#16	あたしも自分でポケモンを探し回って、いろいろ手に入れてきたんです。
map_0753#17	100匹以上捕まえたら話しかけてくださいね!
map_0753#18	ビー: えっと、じゃあ……
map_0753#19	わあ! もう図鑑に100体も登録されてる!
map_0753#20	このデータをちょっとコピーさせてくださいね。すぐ終わりますから!
map_0753#21	. . .
map_0753#22	あれ?
map_0753#23	このポケモン……
map_0753#24	ベベノム?
map_0753#25	うーん、なるほど……
map_0753#26	リボーンシティの地下にある洞窟を探検してたとき、こいつを一匹見つけたんです。
map_0753#27	ずっと、これが新種かどうか調べようとしてました。
map_0753#28	もしかして自分が最初の発見者かもって、すごくワクワクしたんです!
map_0753#29	でも……ただ知らなかっただけみたいですね。
map_0753#30	それは……正直、ちょっとがっかりです。
map_0753#31	でも、これを見せてくれて本当に助かりました。
map_0753#32	新種として発表した後で、実はずっと前から知られてたなんてことになったら困りますから。
map_0753#33	それは恥ずかしいことになるところでした……
map_0753#34	もうこの件全部、恥ずかしいです。
map_0753#35	ええと、あの、これ、もらってくれません?
map_0753#36	あたし……もうこれ以上考えたくなくて。
map_0753#37	ビー: それと、ここまで手伝ってもらったお礼にって、他にもいろいろ用意してたんです。
map_0753#38	でも、もう必要なくなっちゃったし、あたしには使い道もないので。
map_0753#39	だから、その……はい、バッグ開けてもらえます?
map_0753#40	ビー: それともう一つ?
map_0753#41	このケロマツも、あなたの図鑑埋めのボーナスになるかなと思って。とにかく、もらってくださいね?
map_0753#42	ビー: 冒険、頑張ってくださいね!
map_0753#43	あたし……
map_0753#44	他のを見つけます! 本当に新しいものを!
map_0753#45	いつか!
map_0753#46	だといいな。
map_0753#47	これで完了です! ありがとうございました!
map_0753#48	お礼にこれをどうぞ!
map_0753#49	ビー: 200体になったら、また来てくださいね!
map_0753#50	その時は特別なサプライズを約束しますから!
map_0753#51	まだ100体には届いてないみたいですね。
map_0753#52	引き続き頑張ってください!
map_0753#53	ビー: あ! あなたですね!
map_0753#54	えっと、じゃあ……
map_0753#55	図鑑が200体になってる! すごい!
map_0753#56	続きの100体分、コピーさせてくださいね。
map_0753#57	よし! 完成にどんどん近づいてます!
map_0753#58	それと……200体達成のお祝いに、特別な景品を用意しました!
map_0753#59	こんなに手伝ってくれてありがとうございます!
map_0753#60	このケロマツを受け取ってください!
map_0753#61	ビー: 大事にしてあげてくださいね!
map_0753#62	あなたの図鑑埋めの足しにもなるかもしれませんし!
map_0753#63	すみません、まだ図鑑が200体に届いてないみたいです。
map_0753#64	こつこつ頑張ってくださいね?
map_0753#65	ビー: どうも!
map_0753#66	あ! すごい! 今日は図鑑が300体になってますね!
map_0753#67	これはすごい! コピーさせてくださいね!
map_0753#68	. . . 完了!
map_0753#69	本当にありがとうございます!
map_0753#70	次のご褒美はこちら!
map_0753#71	ビー: 順調ですね!
map_0753#72	400体になったら、また会いに来てくださいね!
map_0753#73	すみません、まだ図鑑が300体に届いてないみたいです。
map_0753#74	達成したら、また来てくださいね?
map_0753#75	ビー: どうも!
map_0753#76	図鑑、400体になってますね!
map_0753#77	すばらしい! コピーさせてもらいますね!
map_0753#79	これで完了です!
map_0753#80	ありがとうございます! こちら、ちょっとしたおまけです!
map_0753#81	ビー: 改めてありがとうございます!
map_0753#82	次は500体になったら来てくださいね!
map_0753#83	あ……すみません、まだ図鑑が400体に届いてないみたいです。
map_0753#84	達成するのを待ってますね!
map_0753#85	ビー: 会えてよかったです!
map_0753#86	あ、ついに500体になりましたね!
map_0753#87	さくっとコピーさせてくださいね!
map_0753#88	そして……完了!
map_0753#89	まだ見つからない? まあ、はい!
map_0753#90	ビー: 600体以上になったら、また来てくださいね!
map_0753#91	まだ500体の目標に向けて頑張ってるところですね?
map_0753#92	達成したら来てください! お願いします!
map_0753#93	ビー: どうもー! それじゃ~
map_0753#94	ふふっ! 一度言ってみたかったんです。
map_0753#95	あ、ついに600体達成したんですね!
map_0753#96	こんなに集めたなんて信じられません!
map_0753#97	新しいデータをコピーさせてくださいね!
map_0753#98	. . . これで全部!
map_0753#99	でも……まだここにはない?
map_0753#100	まあ……いいです! 改めてありがとうございます!
map_0753#101	ビー: ありがとうございます!
map_0753#102	700体になったら、また来てくださいね!
map_0753#103	その時は、また別のものを用意しますから!
map_0753#104	それと……何か変なものを見つけたら、教えてくれます?
map_0753#105	あ、でも――すみません。まだ図鑑が600体に届いてないみたいです。
map_0753#106	達成したら、また来てくださいね!
map_0753#107	ふふ……
map_0753#108	ビー: どうも! もう700体になりました?
map_0753#109	えっと……
map_0753#110	あ……
map_0753#111	すごい……正直、最初に会った時は、あなたがここまで手伝ってくれるなんて思ってませんでした!
map_0753#112	それじゃ、この分をコピーさせてくださいね……
map_0753#113	それじゃ、ええと……はい。
map_0753#114	そして完了……
map_0753#115	すごすぎます……
map_0753#116	700匹分のポケモン、データも全部コピーして記録して……
map_0753#117	でも、まだ探してるものは見つかっていません。
map_0753#118	……いや!
map_0753#119	くじけちゃだめです!
map_0753#120	まだ見つけていないポケモンの中にいる可能性だってあります!
map_0753#121	希望を持たなきゃ!
map_0753#122	あ、忘れないうちに――これをどうぞ!
map_0753#123	ビー: それじゃあ……
map_0753#124	探し続けるしかなさそうですね。
map_0753#125	さすがに伝説のポケモンを捕まえてきてなんて頼めませんよね。あはは……
map_0753#126	でも、探してるものは伝説のポケモンではない気がするんです……
map_0753#127	小さすぎますよね?
map_0753#128	きっとそうに違いない……
map_0753#129	でも、伝説以外のポケモンは731種類しかいないって誰かに聞きました。
map_0753#130	……よし! いよいよ最後の追い込みです!
map_0753#131	図鑑が731体になったら来てください、絶対に解決してみせますから!
map_0753#132	まだみたいですね。でも大丈夫です!
map_0753#133	ここまで集めるだけでも、きっとすごく大変で時間がかかったはずです!
map_0753#134	700体に届いたら、また来てくださいね!
map_0753#135	その時こそ、きっと分かるはずです!
map_0753#136	ビー: どうも! ついに全部集まりました!?
map_0753#137	やりましたね!
map_0753#138	それじゃ、えっと……
map_0753#139	. . . . . .
map_0753#140	. . . . . . . . .
map_0753#141	本当に?
map_0753#142	何もない?
map_0753#143	判明している非伝説ポケモンのデータは全部集まったのに、これだけはまだ見つからない。
map_0753#144	やっぱり新種なんでしょうか……?
map_0753#145	そうかもしれないと思うとワクワクしたけど、早合点したくなかったんです。
map_0753#146	だから、すでに発見されている証拠を探そうとしたんですが……
map_0753#147	やっぱり違うのかも?
map_0753#148	すぐにこの発見を報告しないと!
map_0753#149	これは本当にすばらしいことです!
map_0753#150	まさか本物の新種が、こんな形で手に入るなんて!
map_0753#151	リボーンシティの地下の洞窟を探検してたときに、偶然見つけたんです……
map_0753#152	でも、実際どこから来たんでしょう?
map_0753#153	まだまだ研究することがたくさんあります!
map_0753#154	ちゃんと育てることも含めて――
map_0753#155	ねえ、それ、あたしの代わりにやってもらえません?
map_0753#156	ちゃんと育つように、このポケモンをあなたに任せます!
map_0753#157	どう育ったか、後で連絡させてもらいますね!
map_0753#158	心配いりません――論文にはちゃんとあなたの名前も載せますから。
map_0753#159	でも、まずはこの子に挨拶してあげてください!
map_0753#160	ビー: 大事にしてくださいね? これを見つけたことで、あたしたち有名になりますよ!
map_0753#161	あ、いえ、大丈夫です!
map_0753#162	大変だったのは分かってます、でももうすぐです!
map_0753#163	やり遂げられます!
map_0753#164	ビー: あ! あなたですね!
map_0753#165	あなたとあのポケモン、元気にしてるといいんですけど!
map_0753#166	論文を発表するために頑張ってます。
map_0753#167	もうすぐ有名になりますよ!
map_0753#168	ビー: あ、どうも。
map_0753#169	あなたの冒険、順調だといいんですけど。
map_0753#170	あたしは……まだ自分の道がどっちなのか分からなくて。
map_0753#171	でも、それでいいですよね?
map_0753#172	準備ができたら、ちゃんと見つかるはずです。
map_0753#173	今はとにかく踏ん張るしかないです!
map_0753#174	ビー: あの、ちょっと急な話かもしれないんですけど――
map_0753#175	でも今さら気づいたんですが、別次元へのポータルが開いてからというもの、
map_0753#176	まったく新しい分類のポケモンがいるんですよね?
map_0753#177	ポケモンみたいだけど、なぜかポケモンじゃないっていう?
map_0753#178	とにかく、要はあたしそれが大好きなんです。
map_0753#179	もっと知らなきゃ気が済みません。
map_0753#180	できるなら、一匹残らず捕まえてきてください!
map_0753#181	ウルトラビーストのことです!
map_0753#182	……あ!
map_0753#183	本当にやり遂げたんですね!
map_0753#184	すばらしい!
map_0753#185	すごい!
map_0753#186	素晴らしすぎます!
map_0753#187	ここではっきり約束します、あたしは世界一のウルトラビースト研究者になります、
map_0753#188	そのための足がかりが、これです!!!
map_0753#189	あ、待って、あなたの手伝いを「足がかり」なんて呼ぶの、失礼に聞こえます?
map_0753#190	見下すつもりはないんです――最初の論文、共著にしませんか?
map_0753#191	あ、でも、あたし文章を書くのって得意じゃなくて……
map_0753#192	知識そのものを楽しむだけで十分なのかもしれません!
map_0753#193	そう、きっとそうです!
map_0753#194	知られないなら、知識にどんな意味があるんでしょう?
map_0753#195	……あ、そうだ、何かお礼するって言ってましたね。
map_0753#196	あのポケット次元のひとつを調べてたときに、素敵な石を見つけたんです――
map_0753#197	あたし的には「ポケディム」って呼んでるんですけど――
map_0753#198	とにかく、はい!
map_0753#199	ビー: きれいでしょ?
map_0753#200	何なのかは分からないけど、いいものだと思うんです。
map_0753#201	改めてありがとうございました!
map_0753#202	見つけたら、また来てください。お礼を考えますから!
map_0753#203	ビー: ……あの、実は!
map_0753#205	もうここまで来たわけですよね?
map_0753#206	700種類以上に加えて、ウルトラビーストも全部……
map_0753#207	ポケディムのおかげで、最後まで行けるかもしれない?
map_0753#208	どうです、思い切ってやってみませんか、相棒?
map_0753#209	図鑑コンプリート100%、目指しましょう、相棒!
map_0753#210	できると思います?
map_0753#211	……そして、まさか本当にやってのけましたね。
map_0753#212	なんてチャンピオンなの――
map_0753#213	文字通りの意味で、ですけど。
map_0753#214	それに、神様みたいなの以外は全部捕まえてきたんですよね。
map_0753#215	なかなか見られるものじゃないですよ!
map_0753#216	しかも見られたとしても、大抵はこの地方よりポケモンの数がずっと少ない地方でのことですし。
map_0753#217	いやはや。
map_0753#218	……いやビー!
map_0753#219	ふふ、久しぶりにこのネタ使えました。
map_0753#220	とにかく、おめでとうございます、チャンプ!
map_0753#221	もっと何かあげられたらいいんですけど――
map_0753#222	正直、あなたのレベルまで来たら、他に何が残ってます?
map_0753#223	確かに、あんまり無いですよね。
map_0753#224	……というわけで、こんな時のためにグランドホールに連絡して、アドリエンヌ・フローレス様にお話ししておいたんです。
map_0753#225	あの方は、あなたがいつか必ずここまでやってのける日のために、これを前もって用意してくれていました。
map_0753#226	これはあたしたち二人から、チャンプへ。
map_0753#227	おめでとうございます!
map_0753#228	ビー: また見たくなった時のために、これはあたしが預かっておきますね。
map_0753#229	あ、それと、これはあたしからのちょっとしたものです!
map_0753#230	探検中に見つけたきれいな石なんですけど!
map_0753#231	気に入ってもらえるかなと思って。
map_0753#232	いろいろ手伝ってくれて、それに本物の英雄でいてくれてありがとうございます!
map_0753#233	あたしはあなたのこと、心から信じてます!
map_0753#234	ここまで来たんですものね?
map_0753#235	あとはやるだけです!
map_0753#236	ビー: あの輝く認定証、また見に来たんですか?
map_0753#237	ビー: いつでもここにありますから。
map_0753#238	それと、あなたの心の中にも。
map_0753#239	……みたいなことを、あの方が言ってたんですけど、あたしよく分かってなくて。
map_0753#240	あたしに言わせれば、心の中に認定証があるなんて健康に良くなさそうですけど、専門家じゃないので何とも。
map_0753#241	すみません!
map_0753#242	こんにちは! たしか、うちの甥っ子があなたのことを少し話してた気がするわ!
map_0753#243	あなたとお友達のグループは、ほのおタイプのポケモンが結構好きだって言ってたのよ!
map_0753#244	ちょうどバスラオを探してるところなの!
map_0753#245	もしいるなら、ニャビーと交換できるわよ!
map_0753#246	持ってる?
map_0753#247	あら残念……気が変わったら、ここにいるからね!
map_0753#248	\PNはバスラオとニャビーを交換した!
map_0753#249	どうもありがとう! そのニャビー、ちゃんとかわいがってあげてね!
map_0753#250	あら残念……気が変わったら、ここにいるからね!
map_0753#251	あら、すみません!
map_0753#252	この本を整理するのが大変で――
map_0753#253	これ、一体どこから来たのかしら!?
map_0753#254	あら、またお会いしましたね!
map_0753#255	ニャビー、元気にしてるといいけど!
map_0753#256	さて、また本の整理に戻らないと……
map_0753#257	またね!
map_0753#258	ねえ、あんた。
map_0753#259	あんたが昔、アクアギャングにいたあたしのいとことつるんでたのは知ってるよ。
map_0753#260	あそこに入ってたってことは、みずタイプが好きなんでしょ?
map_0753#261	ヤレユータンを探してるの。
map_0753#262	ミジュマルと交換してもいいわよ。
map_0753#263	どう?
map_0753#264	よし。やろう。
map_0753#265	残念ね。まあ、気が変わったらまた今度。
map_0753#266	\PNはヤレユータンとミジュマルを交換した!
map_0753#267	よし、ありがと! ちゃんとかわいがってあげてね!
map_0753#268	残念ね。
map_0753#269	まあ、気が変わったらまた今度。
map_0753#271	でなければ、帰ることをお勧めするわ。あたし、見知らぬ人は苦手なの。
map_0753#272	ヤレユータン、改めてありがとう!
map_0753#273	そのミジュマル、元気にしてるといいけど。
map_0753#274	Zzz……
map_0753#275	……え、あれ?
map_0753#276	あ、あら! 眠っちゃってたみたい!
map_0753#277	4番道路までハイキングして、友達に会う予定だったのに……
map_0753#278	え?
map_0753#279	どれくらい経ったの!?
map_0753#280	やだ、完全にすっぽかしちゃった!
map_0753#281	まあ、ここに座っててもしょうがないし。とにかく自分で行ってくるわ!
map_0753#282	起こしてくれてありがとう!
map_0753#283	またどこかで会えるといいわね!
map_0753#284	サレナ: あら、どうしたの?
map_0753#285	パソコン相手にブツブツ言ってる変な女の話でも聞きたくなった?
map_0753#286	???: チッ、このバカな機械……
map_0753#287	???: あら、入ってくる音、聞こえなかったわ。
map_0753#288	このオンボロのガラクタに、ちょっとイラついてただけよ。
map_0753#289	あら、礼儀を忘れてたわね、っていうか。
map_0753#290	名前はサレナ。ここアゲートシティの物件管理人よ。
map_0753#291	あんたがこの街のためにやったこと、ちゃんと知ってるし、感謝してる。
map_0753#292	マジで、この先7年は二度と眠るつもりないから。
map_0753#293	このペースだと、大げさでもなんでもないのよね。
map_0753#294	興味ある?
map_0753#295	サレナ: 優しいのね。じゃあ説明するわ。
map_0753#296	あたし、この仕事始めたばっかりなの。
