map_0097#138	かつては美しいジムだった。リボーンシティが最初にできた頃の話だ。
map_0098#113	ダニエール: 正直なのは認めてあげる。それは尊重するわ。
map_0098#114	待ってるから!
map_0098#115	ダニエール: やっと世界を旅できるようになったら、あなたをからかう問題をもっと増やしてあげるから!
map_0098#116	ダニエール: 何ですって?
map_0098#117	あら、何ですって?
map_0098#118	点字が読めるかって聞いてるの?
map_0098#119	わたしが盲目だからって?
map_0098#120	それって、ちょっと決めつけが過ぎると思わない?
map_0098#121	盲目の人はみんな生まれつき点字を知ってるとでも思ってるの?
map_0098#122	そういうものが簡単に習得できるとでも?
map_0098#123	本を手に取って、ゲームのパズルを解くみたいに二、三文を訳せば済むとでも思ってるの?
map_0098#124	まあ、その通りだけど。
map_0098#125	簡単だし、点字くらいもちろん知ってるわ――わたしは原始人じゃないもの。
map_0098#126	何が必要か、率直に言いなさい。
map_0098#128	うーん。
map_0098#129	新しくできた次元に、点字の石板?
map_0098#130	それはずいぶん筋の通った、信じられる話ね。
map_0098#131	それに、仮にあなたを信じるとして、その新次元の点字とやらが既知の言語に対応してるなんて、どうして言えるの?
map_0098#132	そんなこと、考えてもみなかったんでしょ?
map_0098#133	そうだね。
map_0098#134	じゃあ、その新しく現れたっていう点字ブロックとやらを、自分の目で確かめに行きましょうか。
map_0098#135	もちろん、「目で」っていうのはあくまで比喩だけど。
map_0098#136	だから道順を教えて。自分で行くわ。
map_0098#137	手を引かれるのは大嫌いなの。
map_0098#138	むしろ、あなたより先に着く自信があるわ。
map_0098#139	じゃあね。
map_0098#140	いらっしゃいませ! 上の階は住人専用ですが、ロビーへのご来店はご自由にどうぞ!
map_0098#141	はい
map_0098#142	いいえ
map_0099#0	さて、そろそろ潮時かねぇ。
map_0099#1	この水の様子じゃ、変わる気配もないし、俺の航海も終わりだろうな。
map_0099#2	分別ある男として、今やるべきことは一つしかねえ――
map_0099#3	やまおとこにでもなるとするか。
map_0099#4	そのためにも、山道の見張りをしてくれるようなポケモンが欲しいんだ。
map_0099#5	ミルホッグがそういうのに向いてるって聞いたんだがな。
map_0099#6	トレーナーさん、一匹持ってたりしないか?
map_0099#7	持ってるなら、俺のノズパスと交換してくれ――もう航海の羅針盤には必要ないからな。
map_0099#8	だめか、それじゃ。
map_0099#9	見張りは自分でやるとするか。
map_0099#10	上出来だ! さあ、出航しよう。
map_0099#11	\PNはミルホッグとノズパスを交換した!
map_0099#12	すぐに準備するとしよう! 助かったぜ、若いの!
map_0099#13	やまおとことして、山道の見張りをしてくれるようなポケモンが欲しいんだ。
map_0099#14	考えてみりゃ、山歩きにも羅針盤くらいは役に立つかもな……
map_0099#15	はい
map_0099#16	いいえ
map_0100#0	Zzz…
map_0100#1	ふう! こんなに長い湖の旅は久しぶりだったな!
map_0100#2	さあ、飲んで、休んで、酒盛りの時間だ!
map_0100#3	うう……
map_0100#4	やっと湖での仕事にありついたよ。
map_0100#5	だが、きつい仕事だな。
map_0100#6	しばらくここで横にならせてくれ……大丈夫だから。
map_0101#0	ニャルマー: ニャアァァ……
map_0101#1	ニャルマー: ……ニャア?
map_0101#2	ニャルマーを連れて行きますか?
map_0101#3	あら、いらっしゃい、可愛い子。
map_0101#4	まあ、本当に素敵なポケモンをお持ちだこと。
map_0101#5	\Gでも、$2000でもっと素敵にしてあげられるわよ。どうかしら?
map_0101#6	あら、どうしたの、気が変わった?
map_0101#7	オッケー。ちょっとだけ待っててね。
map_0101#8	はい、できあがり! どうぞ、可愛い子。
map_0101#9	いつでも気軽に来てね〜
map_0101#10	お金ができたらまた来てね!
map_0101#11	あらあら、考え直しなさいな。
map_0101#12	\Gでも、$1400でもっと素敵にしてあげられるわよ。どうかしら?
map_0101#13	それじゃあ、また近いうちに会えるの、楽しみにしてるからね?
map_0101#14	いらっしゃい! グラマゾニア美容室へようこそ!
map_0101#15	残念だけど、最近はあまり華やかじゃなくてね……売り上げが落ちてるのよ。
map_0101#16	みんな、あの忌々しいセントラルサロンに行きたがるんだから!
map_0101#17	何なの? 接客? 値段?!
map_0101#18	知らなきゃ気が済まないわ……あなた!
map_0101#19	あっちのサロンを見てきて! うちより何が優れてるのか調べて、ここに報告に来て! 理由なんて聞かないで、とにかく行くのよ! さあ!
map_0101#20	あなた!
map_0101#21	何がわかった? 商品? それともスタッフ?
map_0101#22	え? 向こうは$1500しか取ってないですって?!
map_0101#23	それに決まってるじゃない! うちはもっと安くして、巻き返すわよ!
map_0101#24	ありがとう、本当にありがとう〜 感謝のしるしに、グラマゾニア看板ポケモンを一匹持って行っていいわよ! きっと素敵なペットになるはず!
map_0101#25	それに、いい宣伝にもなるし……
map_0101#26	え? ああ、何でもないわ! それじゃ、良い一日を!
map_0101#27	いらっしゃい! グラマゾニア美容室へようこそ!
map_0101#28	商売もまた上向いてきたから、もっと素敵なスタイリストを募集してるのよ!
map_0101#29	ポケモンをキラキラに輝かせるのが好きなら、後ろのテーブルから応募用紙を取ってね!
map_0101#30	テーブルの上には、グラマゾニアサロンの求人応募用紙が積まれている。
map_0101#31	一枚もらう?
map_0101#32	ねえトレーナーさん、トリミアンのカットに興味ある?
map_0101#33	ここではトリミアンのグルーミングを特別料金でご提供してるの。いつでも気軽に連れてきてね!
map_0101#34	この可愛いプードルたちには、たっぷり愛情をこめてお世話してるのよ。
map_0101#35	残念だけど、この子たちに興味を持ってくれる人はあまりいなくて……
map_0101#36	あら、それは……なかなか個性的なトリミアンね。
map_0101#37	でも心配しないで、伊達にこの業界一とは言ってないんだから!
map_0101#38	この子を、これ以上ないくらい素敵に仕上げてみせるわ。
map_0101#39	うちのスタイリングは一回$2000。それで大丈夫?
map_0101#40	あら、あなた。少ないお金をこのポケモンのために使うなんて、心が大きいのね。
map_0101#41	でも、悪いけどそれじゃできないわ。
map_0101#42	お金を貯めてからまた来てね、いい?
map_0101#43	それじゃ、ちょっと待っててね……
map_0101#44	はい、終わり!
map_0101#45	なかなかの仕上がりだと思わない?
map_0101#46	またいつでも連れてきてね?
map_0101#47	この子を持ってるのね! 素晴らしいわ!
map_0101#48	高く感じるかもしれないけど、信じて――
map_0101#49	うちは天然由来のスタイリング製品だけを使っていて、何週間もその仕上がりをキープできる保証つきなの。
map_0101#50	他の地方のカットは数日で伸びちゃうかもしれないけど、うちのは違うわ!
map_0101#51	グラマゾニアなら、最高のものが手に入る――しかもずっと続くのよ。
map_0101#52	もちろん、気が変わったらいつでもここで変えられるわ。
map_0101#53	それで、どんなスタイルにする?
map_0101#54	\ch[385,-\n \n1,ノーマル,スターカット,ハートカット,キングダムカット,マダムカット,ジェントルカット,カブキカット, クイーンカット,レディカット,ダイヤカット]
map_0101#55	あら、普通のもふもふスタイルに戻したいの?
map_0101#56	まあ、いいわ……
map_0101#57	ちょっとだけ待っててね……
map_0101#58	ノーマルにするのも、悪くないわよね。
map_0101#59	スタースタイルね? まばゆく仕上げてみせるわ!
map_0101#60	あなたの星、キラキラに輝く準備ができたわよ!
map_0101#61	ハートスタイルね? あっという間に仕上げてみせる!
map_0101#62	言っておくけど――見えてるハートだけじゃないわよ。このポケモン、きっと誰かのハートも盗んじゃうんだから!
map_0101#63	キングダムカットね? よし、これで君臨できるようにしてあげる。
map_0101#64	このリーダー、美の最先端を行くことになるわね!
map_0101#65	マダムスタイルね? 素敵な帽子、すぐに仕上げるわ!
map_0101#66	世界よ気をつけなさい、女帝の時代の到来よ!
map_0101#67	ダンディスタイルね? それは脱帽ものだわ!
map_0101#68	似合いすぎるくらい似合ってるわね!
map_0101#69	カブキカット? それは見ものになりそうね!
map_0101#70	このポケモンの美しさ、しっかり引き出してみせたわよ!
map_0101#71	女王スタイルね? 美しさの雨を降らせてあげる!
map_0101#72	フランス仕込みの粋なスタイル、ついに完成よ!
map_0101#73	レディカットね? 美しさをたっぷり詰め込んであげる!
map_0101#74	このポケモン、華々しくデビューすること間違いなしね!
map_0101#75	ダイヤスタイルね? まさに『粗削りのダイヤ』ってやつね!
map_0101#76	このポケモン、男の親友にも、女の子の親友にもなる輝きを手に入れたわね!
map_0101#77	どうしたの? 気が変わった?
map_0101#78	はい
map_0101#79	いいえ
map_0102#0	うっ……あんなもの食べるんじゃなかった……
map_0102#1	あんな弁当の無料メシ――
map_0102#2	ザ・スパイスに足を運んで、『できすぎた話』を持ち帰り注文したようなものだったな。
map_0102#3	確実に食中毒だ――
map_0102#4	おい、トレーナー――
