map_0707#87	ローラ: 言えますとも。ただ　言わないと　決めているだけです。
map_0713#10	少し　ポケモンたちを　外に　出して　休ませようと思う。
map_0713#11	お前　なかなか　手強いな　知ってたか?
map_0713#12	実に　残念だ!
map_0713#13	気が　変わったら　いつでも　言ってくれ　しばらくは　遠くへは　行かないからな!
map_0713#14	うちのポケモンたちは　みんな　人懐っこいんだ!
map_0713#15	遠慮なく「こんにちは」って　言ってやってくれ!
map_0713#16	そうだ　これを――
map_0713#17	\PNは　ポケスナックを5個　受け取った!
map_0713#18	一口　あげてみてくれ! きっと　もっと　好かれるぞ!
map_0713#19	あのバトルじゃ　あまり　見せられなかったが　うちのナゲキは　最近　ずいぶん　強くなったんだ。
map_0713#20	ナゲキは　ランクが　上がると　帯を　変えるって　聞くが　まだ　あまり　その機会が　なくてな。
map_0713#21	もし　余分な帯を　見つけたら　欲しがってる　ポケモンのために　譲ってもらえないか?
map_0713#22	おお　今　くろおびを　持ってるじゃないか!
map_0713#23	うちのナゲキに　譲ってくれるか?
map_0713#24	\PNは　くろおびを　渡した。
map_0713#25	うーん　構わない! 自分たちで　探すさ。
map_0713#26	おお　今　たつじんのおびを　持ってるじゃないか!
map_0713#27	\PNは　たつじんのおびを　渡した。
map_0713#28	ナゲキ! 聞いたか!
map_0713#29	このトレーナーが　お前のために　新しい帯を　見つけてくれたぞ!
map_0713#30	すっかり　気に入ったみたいだな!
map_0713#31	本当に　ありがとう　友よ!
map_0713#32	うちのポケモンたちに　代わって　ちょっとした礼だ!
map_0713#33	自然の中で　生き　戦い　たくましく　生きること――　これに　勝るものは　ないな!
map_0713#34	うちのポケモンたちも　きっと　同じ気持ちだろう!
map_0713#35	チルタリスは　食事に　夢中で　うれしそうだ。
map_0713#36	チルタリスは　穏やかに　歌っている。
map_0713#37	チルタリスに　ポケスナックを　あげますか?
map_0713#38	\PNは　チルタリスに　ポケスナックを　あげた。
map_0713#39	チルタリスは　うれしそうに　受け取った!
map_0713#40	ドサイドンは　山々を　見つめているようだ。
map_0713#41	ドサイドンに　ポケスナックを　あげますか?
map_0713#42	\PNは　ドサイドンに　ポケスナックを　あげた。
map_0713#43	ドサイドンは　頭を　下げて　感謝しながら　受け取った!
map_0713#44	ナゲキは　運動をしているようだ。
map_0713#45	ナゲキに　ポケスナックを　あげますか?
map_0713#46	\PNは　ナゲキに　ポケスナックを　あげた。
map_0713#47	ナゲキは　うなずいて　ポケスナックを　がつがつと　食べた!
map_0713#48	ゴローニャは　足を　伸ばしているようだ。
map_0713#49	ゴローニャに　ポケスナックを　あげますか?
map_0713#50	\PNは　ゴローニャに　ポケスナックを　あげた。
map_0713#51	ゴローニャは　興奮しながら　食べた!
map_0713#52	うれしさを　抑えきれない様子だ!
map_0713#53	なんてことだ!
map_0713#54	お前たち　一体　どうしたんだ!?
map_0713#55	うっ!
map_0713#56	みんな　こんな調子じゃ　そろそろ　片付けて　帰った方が　良さそうだな。
map_0713#57	お騒がせして　悪かったな　友よ!
map_0713#58	普段は　もっと　行儀が　いいんだ　本当だぞ!
map_0713#59	また　会おう!
map_0713#60	ジャラランガは　穏やかに　眠っているようだ。
map_0713#61	ジャラランガに　ポケスナックを　あげますか?
map_0713#62	\PNは　ジャラランガに　ポケスナックを　あげた。
map_0713#63	ジャラランガは　だるそうに　口を開けて　ポケスナックを　放り込ませた!
map_0713#64	ジャラランガは　また　眠りに　戻った。
map_0713#65	ナゲキは　感謝するように　うなずいている。
map_0713#66	ナゲキは　笑って　ポケスナックを　がつがつと　食べた!
map_0713#67	はい
map_0713#68	いいえ
map_0715#0	おい　このバトルに　体の準備は　できてるか?
map_0715#1	サイモン: どうやら　僕の体の準備は　足りなかったようだ……
map_0715#2	もう　準備なんて　できてない。
map_0715#3	ハーディ: よう　やっと　来たか!
map_0715#4	ここ　絶対　何か　変だぜ。このガラス　感じるか?
map_0715#5	雪を　溶かせるほど　暖かいってことは　下に　何かが　あるに違いねえ。
map_0715#6	とはいえ　何が　起きてんのか　いまいち　つかめねえな。
map_0715#7	アゲートの北に　古いガラス工場が　あったって　噂は　聞いたことが　あったが　大して　気にも　してなかった。
map_0715#8	でも　あれ　もうとっくの昔に　閉鎖されてる　はずなんだ。
map_0715#9	だから　これ　かなり　怪しいんだよ。
map_0715#10	自分だけで　突っ込む前に　お前を　待とうと　思ってな
map_0715#11	でも　あの建物に　下へ　続く道が　あるってのに　結構な金を　賭けてもいいぜ。
map_0715#12	お前は　どうだ?
map_0715#13	$2000　賭けて　あそこに　入り口が　あるって言うぜ。お前は　ないって　言うのか?
map_0715#14	ハーディ: よし。それで　賭けだ。
map_0715#15	ハーディ: おれも　同じ意見だ。
map_0715#16	確かめてみよう。
map_0715#17	ハーディ: おい\PN　これ　動かすの　手伝ってくれ。
map_0715#18	なんで　こんながらくたが　ここに　あるのか　わかんねえが　何か　あるのかもな。
map_0715#19	ほら　そっち側　持ってくれ。
map_0715#20	ハーディ: お前は　反対側を　持ってくれ。
map_0715#21	とにかく　このがらくたを　どかそうぜ　いいな?
map_0715#22	ハーディ: よし　やるぞ。3で……
map_0715#23	1……
map_0715#24	2……
map_0715#25	せーの
map_0715#26	よいしょ!
map_0715#27	ハーディ: うーん。
map_0715#28	おれも　全部　見てたわけじゃ　ねえが　それでも　こいつは　やばそうだって　わかるぜ　相棒。
map_0715#29	でも　まだ　入り口じゃ　ねえな。期待してたんだが。
map_0715#30	まあ　約束は　約束だ。
map_0715#31	ハーディは　$2000を　支払った!
map_0715#32	ハーディ: よし　あとは　一つしか　やることが　ねえな。
map_0715#33	入り口が　見つからねえなら……
map_0715#34	まあ　やることは　わかってるだろ。
map_0715#35	ハーディ: ガラスを　蹴っ飛ばす　時間だ!
map_0715#36	ギガイアス　揺らしてやれ! じしん!
map_0715#37	ハーディ: マジかよ?
map_0715#38	こいつ　一体　何で　できてんだ?
map_0715#39	ギガイアスは　弱っちくねえ。この場所　まるごと　吹っ飛ぶと　思ってたのに。
map_0715#40	ハーディ: それでも　あっちで　何か　聞こえた気が　するな。
map_0715#41	見に行こうぜ!
map_0715#42	ハーディ: マジで　からかってんのか。
map_0715#43	こんだけ　でかいガラスの平原の中で　こんな遠くの　小さな一角だけが　崩れるのかよ?
map_0715#44	しかも　都合よく　下に　降りる梯子まで　あるときた。
map_0715#45	言っとくが　かなり　うさんくせえ。
map_0715#46	べつに　シェイドの　ことを　言ってるんじゃ　ねえぜ。
map_0715#47	まあ　ここまで　来て　止まるために　来たわけじゃ　ねえ。
map_0715#48	やろうぜ。
map_0715#49	先に　行くぜ。ガラスで　切らないように　気をつけろよ。
map_0715#50	厄介なことに　なるかもな。
map_0715#51	サーナイト: あら? どうかしら?
map_0715#52	ラドマス: 冒険だよ。
map_0715#53	切れたケーブルの糖衣と　ガラスの散りばめが　かかった　エレベーターだ。
map_0715#54	ルナ: わたくしは　夕食まで　待つことに　いたします。
map_0715#55	ラドマス: 確かに。これを　降りるなんて　狂気の沙汰だろうな。
map_0715#56	サーナイト: つまり　すぐに　行くってこと　なのね~?
map_0715#57	ラドマス: もしかしたらね。
map_0715#58	???: ……サーナイト?
map_0715#59	セラ: ルナも? あなたたち　ここで　何を　してるの?
map_0715#60	ルナ: ごきげんよう　お母様。
map_0715#61	セラ: ということは　あの人は　つまり……
map_0715#62	セラ: ……その奇妙な帽子から　察するに　ラドマスね。
map_0715#63	ラドマス: 正確には　ラドマス・M・ヴァンハネンだ。
map_0715#64	この帽子は　君の言葉に　不満を　抱いているだろうが　私自身は　あなたと　知り合えて　光栄に思う。
map_0715#65	あなたのことは　いろいろと　伺っております　奥様。
map_0715#66	セラ: こちらこそ……
map_0715#67	サーナイト: ルナ　あなた　具合でも　悪いの?
map_0715#68	泣いてるの?
map_0715#69	ルナ: わたくし――
map_0715#70	まったく　問題　ありません。心配は　ご無用です。
map_0715#71	ただ　とても――
map_0715#72	うれしいのです。
map_0715#73	お二人が　戻ってきてくれて　うれしいのです。
map_0715#74	セラ: そう……
map_0715#75	ラドマス: ところで　ヴォクラン嬢　こんな辺鄙な場所に　何用かな?
map_0715#76	セラ: 親としての務めよ。
map_0715#77	ラドマス: それなら　どうやら　いい場所に　来たようだ。
map_0715#78	セラ: そういう意味じゃ――
map_0715#80	そうかも　しれないわね。
map_0715#81	サーナイト: これで　やっと　家族　全員　揃ったわね~
map_0715#82	なんて　素晴らしくて　衝撃的な　展開かしら!
map_0715#83	ラドマス: ……
map_0715#84	ヴォクラン嬢　この見事なサーナイトが　あなたを　ここへ　導いたと　推測しても　間違いないだろうか?
map_0715#85	サーナイト: え?! とんでもないわ!
map_0715#86	セラ: あなたなら　やりそうね。
map_0715#87	サーナイト: なんて　中傷なの!
map_0715#88	ルナ: サーナイト　この再会を　仕組んだのは　あなただったのですか?
map_0715#89	サーナイト: まあ　そんなことを　ほのめかすなんて　図々しいわ――
map_0715#90	その場で　卒倒しても　おかしくないわ!
map_0715#91	ルナ: サーナイト。
map_0715#92	サーナイト: らーらーらー　こちらで　卒倒中です~
map_0715#93	ルナ: ありがとう。
map_0715#94	本当に。
map_0715#95	ラドマス: 奥様?
map_0715#96	セラ: わたくし　息子を　見つけないと　いけないの。
map_0715#97	ラドマス: もし　彼が　ここに　いるなら　共に　見つけよう。
map_0715#98	一緒に　行くのが　賢明だとは　思わないかい?
map_0715#99	セラ: 他人を　あてに　し続けるほど　わたくしは　愚かじゃ　ないわ。
map_0715#100	ルナ: お母様?
map_0715#101	ラドマス: たとえ　賢明でなくとも　優しさだとは　思わないかい?
map_0715#102	セラ: ……
map_0715#103	わかったわ　いいでしょう。
map_0715#104	みんなと　一緒に　行くわ。
map_0715#105	サーナイト: 素晴らしいわ~! セラが　仲間に　加わったわね!
map_0715#106	ルナ: ご迷惑を　おかけしたくは　ありませんが　とても　ありがたく　思います。
map_0715#107	セラ: わたくし　一体　何に　巻き込まれてるのかしら……
map_0715#108	ラドマス: 厄介なことにね。
map_0715#109	そして　素晴らしいことにも。
map_0715#110	セラ: その前に　せめて　夕食にでも　連れて行ってちょうだい。
map_0715#111	セラ: まあ　あの間抜けな帽子さえ　なければ　あなたにも　多少は　魅力が　あるのかも　しれないけど。
map_0715#112	サーナイト: ちょっと　聞きなさいよ!
map_0715#113	確かに　お二人を　くっつけたのは　わたくしかも　しれないけど　マスターは　わたくしのものだって　忘れないでね!
map_0715#114	ラドマス: 奥様　保証しよう。あの間抜けな帽子が　なければ　私には　何も　残らないのだから。
map_0715#115	セラ: あら　そうなの。
map_0715#116	だったら　やっぱり　あなたの方が　一枚　上手ってことね。
map_0715#117	ルナ: お母様　今は　そのようなことを　おっしゃらないでください。
map_0715#118	お母様が　これまでの人生で　どれほどの喪失を　感じてこられたか　わたくし　よく　わかっています。
map_0715#119	でも　それが　何らかの形で　変えられないのなら
map_0715#120	手に入らないものを　嘆くより　手に入るものに　感謝する方が　いいはずです。
map_0715#121	セラ: ちょっと　状況を　見失ってない?
map_0715#122	わたくしたちは　ただ　協力してるだけで　これから　みんなで　永遠に　幸せな家族に　なるとか　そういう話じゃ　ないでしょう。
map_0715#123	サーナイト: それは　誰に　聞くかに　よるかもね~
map_0715#124	セラ: それに　協力と言えば　あなたたち　一体　ここで　何を　してるの?
map_0715#125	ラドマス: 親としての務めだよ。
map_0715#126	ルナ: 大切な友人の　シェイドから　この場所への　招集を　受けたのです。
map_0715#127	もちろん　それに　応えないわけには　いきませんでした。
map_0715#128	ラドマス: 目の前に　見える　この死のガラスの穴が　入り口として　使えるかどうか　検討していたところだ。
map_0715#129	セラ:「死のガラスの穴」なんて　ちょうど　わたくし好みね。
map_0715#130	セラ: あそこ　全部　ガラスってわけでも　ないわね。
map_0715#131	氷も　あるわ。
map_0715#132	サーナイト: あら! こんな高さから　わかるの?
map_0715#133	セラ: あら　やだ。わたくしを　誰だと　思ってるの?
map_0715#134	それより　まだ　溶けてないってことよ。
map_0715#135	ここで　何が　起きたにせよ　最近の　ことね。
map_0715#136	サーナイト: 話が　込み入ってきたわね! 思ってた以上に　わたくしたちだけじゃ　ないみたい~
map_0715#137	ルナ: これを　引き起こした方の　お役に　立てるのでしたら　急ぎましょう。
map_0715#138	セラ: もっと　破壊的じゃない方法で　できた入り口が　きっと　あるはずよ。
map_0715#139	サーナイト: なら　それを　探しに　偵察に　行きましょう!
map_0715#140	ラドマス: そうだな。
map_0715#141	ラドマス: やってみせよう　さもなければ　私の名前は　サトシじゃない!
map_0715#142	セラ: 誰?
map_0715#143	ルナ: でも　マスター　あなたの名前は　サトシじゃ　ありませんが!
map_0715#144	ラドマス: それすらも　私たちを　止められはしない。
map_0715#145	さあ　行こう。
map_0715#146	ラドマス: 近くの建物で　使用可能な　エレベーターを　見つけてね
map_0715#147	それで　工場を　ほとんど　苦労せずに　通り抜けられた――　それは　一部　\PN　君の　おかげだろうと　思っている。
map_0715#148	そして　すぐに　この部屋に　たどり着き　そこで　見たのは……
map_0715#149	はい
map_0715#150	いいえ
map_0718#0	冷気が　あたりに　広がった……
map_0718#1	巨大な山塊が　凍りついた!
map_0720#1	タツベイが　地面で　もぞもぞ　動いている。
map_0720#2	タツベイ: タツ!
map_0720#3	空の飛び方を　覚えようと　必死なようだ。
map_0720#4	タツベイに　そらをとぶの　使い方を　見せますか?
map_0720#5	1、2、で……　……　……
map_0720#6	ポフッ!
map_0720#7	タツベイは　そらをとぶを　覚えた!
map_0720#8	タツベイ: タツーー!!!
map_0720#9	はい
map_0720#10	いいえ
map_0721#0	積もった雪が　解けた!
map_0721#1	山の雪が　足元で　静かに　しゃりしゃりと　音を立てる……
map_0722#0	巨大な山塊が　凍りついた!
map_0722#1	冷気が　あたりに　広がった……
map_0723#0	積もった雪が　解けた!
map_0723#1	山の雪が　足元で　静かに　しゃりしゃりと　音を立てる……
map_0724#16	はい
map_0724#17	いいえ
map_0727#0	積もった雪が　解けた!
map_0727#1	山の雪が　足元で　静かに　しゃりしゃりと　音を立てる……
map_0731#0	ハーディ: 何か　見つかったか?
map_0731#1	探し続けようぜ　相棒。
map_0731#2	ハーディ: こっちは　何も　ねえな。
map_0731#3	お前は　どうだ?
map_0731#4	何も　なかったか?
map_0731#5	何か　見逃してねえか　外を　もう一回　確かめてくる。
map_0731#6	何か　見つけたら　呼んでくれ　いいな?
map_0731#7	ハーディ: まあ　パッと見　何もねえな。
map_0731#8	探ってみようぜ。
map_0731#9	何か　絶対　見つかるはずだ。
map_0731#10	ハーディ: 何も　ねえ。
map_0732#0	グレイシア: グレイ!
map_0732#1	グレイシアは　こおりのいぶきを　使った!
map_0732#2	グレイシア: グレイシア!!
map_0732#3	???: いたぞ!
map_0732#4	???: う――　おい! そうは　させるか!
map_0732#5	???: サーバー室に　追い込め!
map_0732#6	メテオ: そこで　じっとしてろ　このクソ氷ネズミが!
map_0732#7	メテオ: またお前か!
map_0732#8	ああ　ダメだ　ダメだ! 絶対に　ダメだ!
map_0732#9	あのクソグレイシアが　そこら中を　走り回って　もう　うんざりなんだ――　今は　お前の相手を　してる場合じゃ　ねえ!
map_0732#10	メテオ: このクソ害獣の　始末が　終わるまで　お前は　引っ込んでろ!
map_0732#12	エーフィ: ――フィ!!!
map_0732#13	???: 黙れ　この駄犬が。
map_0732#14	???: マジかよ　もう一匹　まだ　そこら中に　いるのか?
map_0732#15	控えめに言っても　かなり　気の強いやつだな。
