map_0508#188	あたしの代わりに行って。
map_0515#15	そろそろ家に帰って引退する頃合いかもな。
map_0515#16	ねむりごなを捨てて、いかりのこなにする?
map_0515#17	いかりのこなを手に入れた!
map_0515#18	こなのビンはすでにいかりのこなでいっぱいだ!
map_0515#19	ヌメラ様万歳!
map_0515#20	さあ、行くヌメ!
map_0515#21	ヌメラが話せば、我らは耳を傾ける。
map_0515#22	アメトリンの周りは寒くて湿っている。\n通り抜けるにはあのマシンを見つけなきゃいけないが、その前にウォーミングアップといこう!
map_0515#23	いい準備運動になったな!行くぞ!
map_0515#24	アメトリンは石と氷と水が積み重なった巨大な塊みたいなものだ。手強い挑戦になるぞ!
map_0515#25	この近くにはアメトリン、セレスティナイン、シトリンと三つの山がある。\n今日はどれに登ろうか?あんたとのバトルで決めるとしよう!
map_0515#26	うーん。アメトリンはやめとこう。やっぱり俺には無理そうだ。
map_0515#27	三つの中でアメトリンが断トツで大きい。あれはまた今度にしよう。
map_0515#28	おっと、どうしてサーカスから出て行くんだい!ダメダメ、まだ帰しはしないよ!
map_0515#29	ずっと一緒にいればいいじゃないか?!
map_0515#30	それとも、せめてお金をくれないか?
map_0515#31	^ アメトリン山、カルセノンシティ\n > アゲートサーカス、アゲートシティ\n v フィオレ屋敷ジム――「遊びに来てね!」
map_0515#32	はぁ……この岩をずっと飛び回ってたら休憩が要るよ!
map_0515#33	とはいえ、山に放り込まれたみたいなあの子に比べたら、俺なんてまだマシだと思うけどな。
map_0515#34	ルートの南側のどこかに落ちたらしい。無事だといいけど。
map_0515#35	はい
map_0515#36	いいえ
map_0516#0	\PNはフィールド効果リードアウト12を手に入れた!
map_0516#1	デザートフィールドの情報が閲覧可能になった!
map_0516#2	よし、もう一回説明するぞ。一部のわざは通常の効果に加えて、一時的にフィールド効果を作り出すことがある。
map_0516#3	そのわざというのは……
map_0516#4	プラズマシャワー、さかさバトル、あとぉ……しろいきりだったか?
map_0516#5	よし!やっぱりそうだった。
map_0516#6	そのわざを使うポケモンがかわらずのいしを持っているとフィールド効果は発生しないが、アンプリフィールドロックを持っていれば効果が延長される……だったか?
map_0516#7	よし、わかった!このテスト、満点間違いなしだ!
map_0516#8	ん?これは何だ?
map_0516#9	あの子からか?
map_0516#10	なるほど……そんな風に思われてたなんて知らなかった。
map_0516#11	まあ、光栄だけど……
map_0516#12	後で下に行って、彼女にちゃんと本当のことを話さないとな。
map_0516#13	ああ、それは言い方がまずかったか?
map_0516#14	とにかく、そのチョコレートは持っておいてくれ。
map_0516#15	食べておいて彼女を振るなんて、失礼にあたるからな。
map_0516#16	なあ、逃げ出したいと思ったことはあるか?
map_0516#17	自分とポケモンの力だけで生きていくっていうのは……
map_0516#18	ロマンチックだろ?その考えが頭から離れないんだ。
map_0516#19	そのチョコレートは持っておいてくれ。
map_0517#0	「本日のスープ:ヘイガニのビスク」
map_0517#1	「本日のスープ:パールルのチャウダー」
map_0517#2	「本日のスープ:カモネギのオニオンスープ」
map_0517#3	「本日のスープ:焼きチェリンボの赤いスープ」
map_0517#4	「本日のスープ:ワカシャモのヌードルスープ」
map_0517#5	「本日のスープ:ナゾノクサの葉とレンズ豆のスープ」
map_0517#6	「本日のスープ:バスラオのボルシチ」
map_0517#7	ないない、何もないよ!
map_0517#8	あ、待って!
map_0517#9	やっぱり、何もないな。
map_0517#10	ごきげんよう!
map_0517#11	皆様がここにあるすべてのものを楽しむこと、私は望んでいますよ!
map_0517#12	ここの料理長として、お仕えすることは私の喜びですよ!
map_0517#13	ですから、どうぞ椅子を引いて、召し上がってくださいね!
map_0517#14	こんにちは、お客様!
map_0517#15	どうぞお座りください!今は困っておりますが、できる限り最高のサービスをお届けしますよ!
map_0517#16	あら、今日は食べに来たのではないですか?
map_0517#17	でしたら、ひとつお願いしたいことがありますよ!
map_0517#18	見てください、配達の少年が今日は病気なんですよ!
map_0517#19	それで、仕入れが足りなくなっていますよ!
map_0517#20	もし時間があるなら、食材の買い出しを手伝ってもらえたら、とても助かりますよ。
map_0517#21	集めるべき品物の全リストは、私の助手のシェフに聞いてくださいね。
map_0517#22	これをやってもらえたら、お食事をサービスさせていただきますよ!
map_0517#23	友よ!やってくれましたね!
map_0517#24	あなたのおかげで、お客様の望みを満たす素晴らしい料理を作ることができましたよ!
map_0517#25	ほんの気持ちですが、どうぞ受け取ってくださいね!
map_0517#26	また食事に来てくれることを願っていますよ!
map_0517#27	とても助かりますよ!
map_0517#28	スパイスへようこそ!
map_0517#29	どうぞお好きな席にお座りください。
map_0517#30	現在、求人も受け付けております。
map_0517#31	当店で働くことにご興味があれば、あちらのカウンターから応募用紙をお取りください。
map_0517#32	料理長も喜びますよ!報酬を受け取りに、ぜひ話しかけてくださいね!
map_0517#33	こんにちは!この先は特別なお客様とスタッフのみですよ。
map_0517#34	ああ、代わりの配達係のあなたですね?
map_0517#35	今、集めるべき品物はあと\v[329]個ありますよ:
map_0517#36	あまいミツ!
map_0517#37	おお!あまいミツを持ってますね!それはいただきますよ!
map_0517#38	ちいさなキノコ!
map_0517#39	おお!ちいさなキノコを持ってますね!それはいただきますよ!
map_0517#40	かおるキノコ!
map_0517#41	おお!かおるキノコを持ってますね!それはいただきますよ!
map_0517#42	ヤドンのしっぽ!
map_0517#43	おお!ヤドンのしっぽを持ってますね!それはいただきますよ!
map_0517#44	しろいハーブ!
map_0517#45	おお!しろいハーブを持ってますね!それはいただきますよ!
map_0517#46	ながねぎ!
map_0517#47	おお!ながねぎを持ってますね!それはいただきますよ!
map_0517#48	ハートスイーツ!
map_0517#49	おお!ハートスイーツを持ってますね!それはいただきますよ!
map_0517#50	モーモーミルク!
map_0517#51	おお!モーモーミルクを持ってますね!それはいただきますよ!
map_0517#52	ちからのねっこ!
map_0517#53	おお!ちからのねっこを持ってますね!それはいただきますよ!
map_0517#54	イバンのみ!
map_0517#55	おお!イバンのみを持ってますね!それはいただきますよ!
map_0517#56	ホイップポップ!
map_0517#57	おお!ホイップポップを持ってますね!それはいただきますよ!
map_0517#58	あさせのしお!
map_0517#59	おお!あさせのしおを持ってますね!それはいただきますよ!
map_0517#60	ああ、全部集めてくれたんですね!
map_0517#61	見つけたら、私のところに持ってきてくださいね!
map_0517#62	手伝ってくれて、本当にありがとうございました!
map_0517#63	爽やかな飲み物はいかがですか?
map_0517#64	あら、ご注文が入ってましたか?
map_0517#65	「ローラ」様……
map_0517#66	ああ、はい、こちらです!
map_0517#67	タピオカミルクティー、お持ち帰りで6つですね。
map_0517#68	通常のメニューにはない、別の地方の特別な品ですが、ご要望通りにお作りできましたよ!
map_0517#69	ご心配なく――お代はもういただいておりますので。
map_0517#70	よい一日を、そしてあなたの人生にスパイスを添えられたなら嬉しいです~
map_0517#71	もう一杯必要だな……
map_0517#72	このご時世、誰だってそうだろ?
map_0517#73	リボーンの街に乾杯だ!
map_0517#74	冷たいのをもう一杯くれ!
map_0517#75	ここの料理はうまいだけだが、デザートは神がかってる。
map_0517#76	ここで売ってるハートスイーツが――最高にうまいんだ!
map_0517#77	自分で作らない限り、他じゃまず手に入らないしな。
map_0517#78	実は俺の姪がそれを作る練習をしててな。
map_0517#79	賢い子でな。作る料理はどれも負けず劣らずうまいんだ。
map_0517#80	フロリニアが留守にしてるから、オニキストレーナー学校ジムの面倒を見るので忙しいらしいけどな。
map_0517#81	それでも俺のために作ってくれる時間、あると思うか?
map_0517#82	ま、いいさ。だからこの店があるんだからな!
map_0517#83	なあお前、俺、あの変な石について調べてたんだけどさ。
map_0517#84	つまりさ、あの石があるわけよ。
map_0517#85	それがポケモンのわざの効果を長く続かせるんだって。マジでさ!
map_0517#86	トリックルーム?最高じゃん!
map_0517#87	フィールド効果?マジであるんだって!
map_0517#88	重力?やべえだろ。
map_0517#89	重力に影響する石とか、どんな石だよマジで。
map_0517#90	マジで、これヤバいって。
map_0517#91	最後の安らぎと、最後の小遣いに乾杯だ!
map_0517#92	きれいな水と、これからの順風満帆に乾杯!
map_0517#93	ここは本当に料理の出し方をわかってるな!
map_0517#94	リボーンのどこを探しても、ここまでうまいヤドンのしっぽを出す店はないと保証するね!
map_0517#95	まあ、あれだけ珍しいものだから、無理もないけどな。
map_0517#96	港の友達はあれを売ってかなり稼いでるんだ。
map_0517#97	俺も一枚噛んでみようかな……
map_0517#98	乾杯!
map_0517#99	ここで出すかおるキノコは本当に最高だよ!
map_0517#100	あれって、いったいどこで育つんだろうな?
map_0517#101	どこかの森の中とか?
map_0517#102	よう、トレーナー。
map_0517#103	野生のポケモンにもそれぞれ個性があるって知ってたか?
map_0517#104	性格とかそういう話じゃなくてな、野生のポケモンにはそれぞれお気に入りのわざがあるんだ。
map_0517#105	捕まえちまえば意味ないけどな、でも面白いと思わないか!
map_0517#106	面白いと思わないか?!
map_0517#107	カウンターにはスパイスの求人応募用紙が積んである。
map_0517#108	一枚取る?
map_0517#109	うわぁ、もう一口も食べられないよ!
map_0517#110	はっきり言うとな、ちゃんとした値段を払えば、ここは盛りをケチったりしないんだ。
map_0517#111	今すぐこれ全部食べきるのは無理だな――もう腹いっぱいすぎて!
map_0517#112	ほら見ろ?
map_0517#113	それくらい満腹ってことさ!
map_0517#114	それにしても、誰でもたべのこしを分けてくれるわけじゃないだろ?
map_0517#115	ちょっと食後の眠気に浸ってから、のんびり帰るとするか……
map_0517#116	タカ:それで、乾燥機の謎がわかったんだ。
map_0517#117	服がいつも乾いてない理由を、隣の人に聞かなきゃいけなくてさ――
map_0517#118	でもさ、回転乾燥って実は熱で乾かしてるわけじゃないって知ってた???
map_0517#119	「ああ、これ知ってる、乾燥機って回転させて服をぐるぐるさせるやつだから、たぶんこれでいいんだろうな」って思ったんだけど、
map_0517#120	どうやら仕組みはそうじゃないらしい。
map_0517#121	でも彼女、すごく優しく教えてくれたんだ。
map_0517#122	ちょっと戸惑ってたけど、優しかったよ!
map_0517#123	ああ、この前の夜、彼女を心配させちゃって悪いことしたな……
map_0517#124	料理を作ろうとしてて、うっかりあの、えっと……あれを溶かしちゃったんだ。
map_0517#125	プラスチックの調理器具みたいなやつ?
map_0517#126	ヘラ?
map_0517#127	あれって厳密にはヘラって言うのかな?
map_0517#128	まあ、フライパンの縁に置いてたら、拾い上げた時にプラスチックが少し垂れて僕にかかって、それで思わずぶん投げちゃってさ、
map_0517#129	そしたら壁に当たって、電気を壊しちゃったんだ。
map_0517#130	ガラスが割れる音を聞いた彼女が様子を見に来てくれて、まだ動揺してたから、何があったか説明するのに言葉が詰まっちゃって……
map_0517#131	……料理してたのを忘れてて、彼女がまだドアのところに立ってる間に火災報知器が鳴っちゃったんだ。
map_0517#132	でもさ、もう真夜中近かったのに、彼女は片付けを手伝ってくれたんだ。
map_0517#133	……だって僕、起きたのが午後4時くらいでさ。
map_0517#134	花か何か、買った方がいいよな。
map_0517#135	それか、
map_0517#136	煮込み料理とか?
map_0517#137	それって、隣人に「ありがとうごめん」の贈り物として持って行く、普通のやつだよな?
map_0517#138	というか、煮込み料理が正確に何なのかもよくわかってないんだけど……
map_0517#139	とりあえず作ってみようかな?
map_0517#140	なあ\PN、煮込み料理を作るの、手伝ってくれないか?
map_0517#141	そばにいてくれたら、焦がさずに済むかも……あはは……
map_0517#142	タカ:なあ、今日出かけられてよかったよ。
map_0517#143	いいもんだな。
map_0517#144	全部、本当に……
map_0517#145	つまりさ、僕、一人暮らしってやつが得意じゃないのはわかってるんだけど……
map_0517#146	料理とか掃除とかは、いつもルナかエリアス、それか下っ端たちがやってたから。
map_0517#147	でも前は、こんな機会なんて絶対になかった。
map_0517#148	朝の訓練のためじゃなくて、好きな時間に起きられるってだけでも……
map_0517#149	本当にいいもんだな。
map_0517#150	こんなことができるようになるなんて思ってなかった。
map_0517#151	僕のグダグダな人生に付き合ってくれて、ありがとな~
map_0517#152	はい
map_0517#153	いいえ
map_0519#0	水がきれいになる前のここ、見せてやりたかったぜ。
map_0519#1	壁を掃除しても、次の日にはまた汚れちまうんだ。
map_0519#2	まさに悪夢だったよ。まとまってくれて感謝してる。
map_0519#3	誤解しないでくれよ、街が良くなったのは嬉しいんだ。
map_0519#4	でもマジな話、前とは同じ感じがしないんだよな。
map_0519#5	昔はこの通りは俺たちのものだった。今は何もかも秩序と完璧さに包まれちまってる。
map_0519#6	遠慮しとくよ。
map_0519#7	この街はまだ、俺が夢見る技術の楽園には程遠いな……
map_0519#8	でも当面はこれでいいだろう。
map_0519#9	やることが山積みだよ!家具の入れ替えに、新しい市場にも行かなきゃだし、明日は仕事もあるし!
map_0519#10	ここの植物をまた咲かせるのに必要だったのは、きれいな水とポケモンの力だけだったなんてな。
map_0519#11	あとはもちろん、ちょっとした苦労もね!
map_0519#12	ターボスラスター:起動
map_0519#13	よう、トレーナー。前に戦ったよな?
map_0519#14	あの時はバッジひとつだけだったろ。それで今は?
map_0519#15	やれやれ。
map_0519#16	ボコられたのも、ちょっとは救われる気がするよ。
map_0519#17	知ってたらな。
map_0519#18	この街は、表面の下ではずっと素晴らしいものを持ってたんだ。
map_0519#19	それを光の下に引き出すには、みんなの力が必要だっただけさ。
map_0519#20	どこか遠い場所に行くの……
map_0519#21	素敵に聞こえるわね。
map_0519#22	開けた海と輝く太陽のある場所に行きたいの……
map_0519#23	それに何より、あなたと一緒にね、ダーリン。
map_0519#24	グランドビュー駅が再開したら、ここを離れましょう。
map_0519#25	出られなくなるまで、こんなに離れたかったなんて気づかなかったわ。
map_0519#26	また出られるようになった今、そのチャンスを逃したくないの。
map_0519#27	こんな短期間で街をまるごと作り直せるなんてな……
map_0519#28	技術の力ってすごいな!
map_0519#29	トレーナー、面白い話を聞きたいか?
map_0519#30	長いこと、隠れ特性について研究してるんだ。
map_0519#31	たいていの地方では、野生のポケモンが違う特性を持つのはとても珍しいことだが、リボーンではほとんど当たり前なんだ。
map_0519#32	なぜなのか知りたかった。
map_0519#33	正直なところ、まだ答えは見つかってない。
map_0519#34	しばらくは、リボーンシティの汚染と放射線が、あらゆる種類のポケモンに突発的な遺伝子変異を引き起こしているという仮説を立てていた。
map_0519#35	今回の再開発計画は、それを検証する絶好の機会になった。
map_0519#36	なにせ、無駄の多い工場のほとんどを閉鎖して、大幅にきれいになったからな。
map_0519#37	今ではリボーンが出す汚染も、他の大都市とほとんど変わらないくらいだ。
map_0519#38	俺の説が正しければ、異なる特性や色違いのポケモンの数が減っているはずだった。
map_0519#39	だが驚いたことに、その点については何も変わっていない!
map_0519#40	生まれたばかりのポケモンでも、当時と今とで変異の差は統計的に見て誤差の範囲だ。
map_0519#41	だから、新しい仮説を見つけないといけない。
map_0519#42	過去の放射線が、エピジェネティックな変化を残しているんだろうか?それとも街の近くに何か別のエネルギー源が隠れているのか?
map_0519#43	もしかしたら伝説のポケモンの仕業かもしれない!例えばアルセウスとかレックウザとかな!
map_0519#44	どんな場合でも、いつか必ず答えを見つけてやる!
map_0519#45	長いこと、隠れ……ああ、なんだ?興味ない?
