map_0591#73	力を合わせて、このオーブたちも私たちの地方も守り抜きましょう!
map_0593#2	約束されてた期間の倍、もうここにいるんだよ!
map_0593#3	この「恩送り」ってやつ、なかなかいいもんだね!
map_0593#4	誰かがもっといい部屋をくれて、こっちは何もしなくていいなんて!
map_0593#5	契約書にサインなんてしてねえから、指一本動かす必要もねえしな!
map_0593#6	雨漏りしない屋根の下で暮らすの、どれくらいぶりだと思う?
map_0593#7	だってあたしもわかんないもん。
map_0593#8	こんなに長くいたのに、この部屋を明け渡さないといけないの?
map_0593#9	ずっとここに住み続けちゃダメなのかな?
map_0593#10	でも、あたしの家を吹き飛ばしたのは市のほうなんだから、いいじゃない?!
map_0593#11	こんな場所に行き着くとは思ってもみなかったよ。
map_0593#12	でも、最悪ってわけでもないか。
map_0593#13	そろそろ出発するべきかな。
map_0593#14	ここでの滞在中に何か必要なことがあれば、遠慮なくスタッフにお尋ねください。
map_0593#15	あら、失礼しました、ここに滞在しているわけではないんですね? すみません……
map_0593#16	もちろん、必要とされる利用者の方には求職支援サービスも提供していますが……
map_0593#17	ここで働く年月が長くなるほど気づくのですが、一部の人にとっての問題は、良い仕事がないことではなく、
map_0593#18	むしろ、働くことや、人と折り合いをつけること、問題を解決すること、手に入るもので満足することに、慣れていないという点なんです。
map_0593#19	自分にはこなせない課題だと感じてしまうんです。
map_0593#20	その問題を理解してはいても、残念ながら解決策は持ち合わせていません。
map_0593#21	おい、お前。
map_0593#22	そうだよ、お前。
map_0593#23	見えてるぞ。
map_0593#24	重たいポケットぶら下げて歩きやがって……
map_0593#25	残りの99パーセントの俺たちはどうなるんだよ、ああ?!
map_0593#26	文無しって意味、お前にわかるのか?!
map_0593#27	お前みたいな中流のごますりには、貧乏なんて頬をひっぱたかれてもわからねえだろうよ!
map_0593#28	違うって証明してみせるか?
map_0593#29	今度誰かにパスワードを聞かれたら「文無し」って答えてみろ!
map_0593#30	それでどんな気分か味わってみろよ。
map_0593#31	お前、俺と同じ匂いがするな?
map_0593#32	同じ図太さってやつだ。
map_0593#33	俺たちみたいな連中は、流れながら、やりくりする術を知ってるもんだ。
map_0593#34	リスペクトするぜ、相棒。
map_0593#35	実はな、これ、その……ちょっとやばい方法で手に入れたんだけどよ……
map_0593#36	お前に持っててほしいんだ。
map_0593#37	お前の心意気、ちゃんと見てるからな。
map_0593#38	認めてるってことを知っといてくれ。
map_0593#39	これを乗り越えられたら?
map_0593#40	へっ、お前ならどんなことでも乗り越えられるはずだ。
map_0594#0	ここでの滞在中に何か必要なことがあれば、遠慮なくスタッフにお尋ねください。
map_0594#1	あら、失礼しました、ここに滞在しているわけではないんですね? すみません……
map_0594#2	こんにちは! ブラックスチーム避難所へようこそ。
map_0594#3	一晩の宿が必要な方や、改修工事で以前の家が使えなくなった方のために、うちの扉はいつでも開いています。
map_0594#4	滞在のためのチェックインが必要な方は、3階の事務所で登録をお願いします。
map_0594#5	ここのメインの人たちはマジでいい人ばっかでよ、俺たちのために家を建ててくれるって言ってて、それまではここにタダで泊まれるんだ。
map_0594#6	でもこの「恩送り」って条件がよくわからなくてよ、誰かに助けてもらったら、こっちも別の誰かを助けなきゃいけないってことだろ、それはいいんだけどさ。
map_0594#7	でも誰が助けを必要としてるかなんて、どうやってわかるんだよ? 見かけた奴全員に聞いて回るわけにもいかねえだろ?
map_0594#8	え? コーラルジムで人を募集してるって?
map_0594#9	まあ、ぶらっと行って、何をやらされるのか見てくるか。
map_0594#10	乾杯!
map_0594#11	あの、ここって確か、飲酒禁止のはずだけど。
map_0594#12	また一つ、道路が直ったことに乾杯!
map_0594#13	この街がもう一度誇り高く立ち上がったとき、誰のおかげかみんなわかってるさ!
map_0594#14	俺たちの指紋は、この街を作る石そのものに刻まれてるんだ!
map_0594#15	ここはもう俺たちの世界だ!
map_0594#16	おおー、それに乾杯だ!
map_0594#17	うう、あいつらいい加減黙ってくれない? こっちは集中したいんだけど!
map_0594#19	ここに来ることになって良かった、じゃなきゃ友達なんてできなかったもん!
map_0594#20	わーい! ここってずっとホテルに泊まってるみたい!
map_0594#21	若者の尽きることのない楽観主義は、私たちみんなが見習うべきものだね。
map_0594#22	自分よりも子供の方が楽しく過ごせてるみたいで、良かったよ。
map_0594#23	少し前まではジャスパーにいい家があったんだが、あそこであった事件のせいで出ていかざるを得なかった。
map_0594#24	今じゃワード全体が再建されたっていうのに、俺はもう登録から外れちまってる。
map_0594#25	つくづく運がないもんだ……
map_0594#26	毛布、枕、タオル、食料はこちらです。
map_0594#27	何か足りないものがあれば、遠慮なくお申し付けください!
map_0594#28	在庫は少ないですが、できる限りご用意できるよう頑張ります!
map_0594#29	高校を出てから、就職活動なんてしたことないんだよな……
map_0594#30	つかそもそも、前の街があんな有様で、どうやって働けって言うんだよ?
map_0594#31	うわ、この申込書、職歴の照会先が要るのか。そんなのないんだけど。
map_0594#32	なあ、俺の照会先のフリしてくれない?
map_0594#33	つかこんな場所で、みんな一体何して過ごせばいいんだよ?
map_0594#34	テレビでも見ろって? どこにあるんだよ?!
map_0594#35	本だあ? 今どき誰が本なんか読むんだよ、くそ!
map_0594#36	ゲームだって? そんな金があると思ってんのか!
map_0594#37	ゲームがタダで手に入るわけねえだろ!
map_0594#38	ようやくまともな娯楽を持ってきてくれるってわけか……
map_0594#39	あの紫の女がヘタクソでもな。
map_0594#40	まあ可愛いから許すか。
map_0594#41	アヤを探しに行ったほうがいいな……
map_0594#42	なあ、賭けをしないか?
map_0594#43	よし。このコインを投げるから、お前は表か裏か言え。当たったら1000ドルやるし、外れたら1000ドルよこせ。
map_0594#44	おい、なんだよ? そんな大金持ってねえだろ!
map_0594#45	けち臭えな、あっち行け!
map_0594#46	それじゃ行くぞ!
map_0594#47	キャッチした! どっちだ?
map_0594#48	結果は……
map_0594#49	表! くそっ!
map_0594#50	しまった! それに手持ちの金もねえ!
map_0594#51	み、見ろ、これで片をつけられる!
map_0594#52	ほら、拾ったこのイケてるわざマシンがあるんだ!
map_0594#53	お前が俺から勝ち取った金全部で、これを売ってやるよ!
map_0594#54	どうだ? これが精一杯だ。
map_0594#55	よし! じゃあ金をよこせ!
map_0594#56	おい、俺から勝ち取った4000ドルすら持ってないのか?!
map_0594#57	一体それでどうしたんだよ?
map_0594#58	でもそれなら、この取引はナシだ!
map_0594#59	ほら、これでいいだろ。
map_0594#60	これでチャラってことでいいか?
map_0594#61	おい待てよ、これを買ってもらうしかないんだ、それしか出せるもんがねえんだよ!
map_0594#62	全額じゃなきゃ受け取らねえぞ!
map_0594#63	まあ、勝った分を受け取らないってんなら、それはお前の勝手だけどな。
map_0594#64	わかったよ、ほら。
map_0594#65	裏! やったぜ!
map_0594#66	よこせよ、相棒!
map_0594#67	俺に勝つにはとんでもない強運がいるぜ!
map_0594#68	裏! くそっ!
map_0594#69	お前が俺から勝ち取った金全部で、これを売ってやるよ!
map_0594#70	表! やったぜ!
map_0594#71	ちっ、つまんねえな。
map_0594#72	くそ、また同じことの繰り返しだ。
map_0594#73	俺は運が悪すぎて、何もかも失って、こんな場所に行き着いちまった……
map_0594#74	ここは人が多すぎる……
map_0594#75	耐えられない。行かないと。
map_0594#76	俺は出ていくべきだ。お前も行くべきだ。お前も出ていくべきだ。
map_0594#77	頼むから出ていってくれ。頼むから出ていってくれ。頼むから出ていってくれ。
map_0594#78	アーク: おっと、これはこれは、俺たちの守護チャンピオンじゃねえか!
map_0594#79	今回のショーの警備担当がお前だって聞いて、テンション上がったぜ。
map_0594#80	俺はここでライブ用のビートを叩き出してる最中だ。
map_0594#81	ガキどもがドラマーを探してて、誰か知らないかって聞かれてさ。
map_0594#82	適任な奴なんて一人も知らねえけど、それに見合う機材ならいくらでもあるって答えといた。
map_0594#83	で、こういうわけだ。
map_0594#84	ちょっと裏で手を回して、ここを最初の公演の場に用意したんだ。
map_0594#85	もう少し練習が要るところだが、生の経験に代わるものはねえからな。
map_0594#86	野郎どもは間違いなく大丈夫だが……
map_0594#87	アヤは初心者だから、心配じゃないとは言えねえな。
map_0594#88	いきなり本番だが、リスクは低い。
map_0594#89	ここの連中は見てもらえるだけで喜んでくれる。コードを何個か外したって気にしねえよ。
map_0594#90	アーク: 始める前にまだいくつか準備があるが、先に他の連中に顔出してきたらどうだ?
map_0594#91	ハーディ: 来てくれて嬉しいぜ、相棒。
map_0594#92	今ちょうどセットリストを確認してるところなんだ。
map_0594#93	始める前にソロをもうちょい練習しねえとな、じゃなきゃもっとアヤを手伝ってやれるんだが……
map_0594#94	かわいそうに、あいつはかなり緊張してる。
map_0594#95	初めてなら仕方ねえけど、こっちも思い切った手段に出るしかなかった。
map_0594#96	あいつのミドルネームはきっとそれだぜ――「ティタニア・ドラスティック・メジャーズ・アンダーセン」。
map_0594#97	昔ベースを弾いてたから、アヤに教えるのを手伝ってもらえるんじゃねえかと思ってな、
map_0594#98	しかも、そのことでもう俺自身の耳にも、思い切った説教が何発か入ってるぜ。
map_0594#99	でも二人とも信じてるんだ、わかるだろ?
map_0594#100	きっとうまくいくさ!
map_0594#101	これをやるのは前々からやり残しリストに入っててな、このチャンスを逃すつもりはねえぜ。
map_0594#102	ここで滑るとしたら俺のギターくらいのもんさ、覚えとけよ。
map_0594#103	とはいえまだ集中しねえとな、幕が下りたらまた会おうぜ!
map_0594#104	……まあ、比喩的な意味での幕、だけどな。
map_0594#105	ハーディ: それで、ダダダダバ、バ、バ……
map_0594#106	いや、これでいこう……
map_0594#107	ダダダダ、バーヤーヤーヤー……
map_0594#108	アヤ: こんな感じ……
map_0594#109	それでこう……
map_0594#110	それで……
map_0594#111	……ちっ、2フレット目だっけ、3フレット目だっけ?
map_0594#112	ティタニア: 3。
map_0594#113	アヤ: うう。こんなの間に合うまでに覚えられっこないよ。
map_0594#114	しかも人前で演奏することまで気にしなきゃいけないなんて。
map_0594#115	その、本物の、実在する人間たちの前で……
map_0594#116	恥をかく前に、もう降りたほうがいいんじゃないかな。
map_0594#117	ティタニア: だめ、あんたはやるの。
map_0594#118	あたしのバカな弟が、演奏経験もろくにないあんたを最初から観客の前に立たせたことには賛成できないし、
map_0594#119	そのバカな弟のことも許すつもりはないけど、
map_0594#120	でも、今あんたが辞めたら、あたしの時間が丸々無駄になる。
map_0594#121	それに何より、辞めるなら、自分がやめたいからやめなさい。
map_0594#122	失敗するのが怖いからじゃなくてね。
map_0594#123	そんな理由で辞めたら、あんたは何も学べない。
map_0594#124	アヤ: なんかもう、この世界のありとあらゆるものが、わたしをできる限り大恥かかせようと結託してる気がしてきた。
map_0594#125	それがみんなの望みなら、いっそアゲートサーカスに応募しに行けばいいんじゃない。
map_0594#126	きっと新しいピエロを募集してるだろうし。
map_0594#127	少なくともあっちなら、給料はもらえるだろうし。
map_0594#128	ティタニア: あたしはあんたのセラピストじゃないんだけど。
map_0594#129	諦めムード出すのはやめて、集中して。
map_0594#130	でなきゃ、一人で練習してなさい。
map_0594#131	アヤ: もう、冗談だってば……
map_0594#132	ティタニア: 自分でも信じられないような冗談を言いなさい。
map_0594#133	さあ戻って。時間がないんだから。
map_0594#134	アヤ: 今日一日ずっとこんな調子……
map_0594#135	ハーディに騙されて一緒に演奏させられたんだ。
map_0594#136	ここに来て観客を見るまでは、楽しそうに聞こえてたんだけど。
map_0594#137	裏に連れてって、いっそ撃ち殺してくれたりしないよね?
map_0594#138	ティタニア: その調子だと、そうしちゃうかもね。
map_0594#139	アヤ: ……だよね。ごめん。
map_0594#140	アヤ: いち、に、さん、はい……
map_0594#141	……はぁ。
map_0594#142	ラナ: アヤーッ!!!
map_0594#143	ラナ: だって演奏するって聞いたら、絶対見に来ないわけにいかないじゃない!
map_0594#144	最初はジムリーダー――今度はロックスター! 信じられる?
map_0594#145	アヤ: ママ。
map_0594#146	カイン: 母上。
map_0594#147	ラナ: あら、あなたも来てたのね。
map_0594#148	家族と時間を過ごしてくれるなんて、感心じゃない。
map_0594#149	ねえ教えて、このイケてる男の子たちの中に彼氏はいるの、それとも全員がそうなの?
map_0594#150	ハーディ: おいおい、それはさすがに、言わなくてもよかったんじゃねえか。
map_0594#151	ラナ: ハニー、あなたは可愛いし、うちの娘にはお似合いだけど――息子とは無しよ。
map_0594#152	ラナ: あたしが何十年か若かったら、自分でデートしたいくらいだけどね!
map_0594#153	アヤ: ママ。
map_0594#154	ティタニア: リハーサルの邪魔。出てって。
map_0594#155	ラナ: あらあら、怒りっぽいのね……
map_0594#156	ただの冗談じゃない……
map_0594#157	テズ: 彼女に向かってその口の利き方、身のためにも考えたほうがいいんじゃないか。
map_0594#158	ティタニア: これ誰だか知っとくべき?
map_0594#159	アヤ: それは、えっと……わたしの――
map_0594#160	テズ: 彼女の父親だ。
map_0594#161	アヤ: 義理の父親、ね。
map_0594#162	ラナ: この人はテズよ。
map_0594#163	離婚してからずっと、すごく良くしてくれてるの。
map_0594#164	アヤ: 少なくとも一人には、ね……
map_0594#165	テズ: 何だと?
map_0594#166	テズ: 俺に何か言いたいことがあるなら、面と向かって、大人らしく話し合おうじゃないか。
map_0594#167	だが、学校の意地悪女子みたいな当てつけを吐き出すだけなら、女子会の中でやってくれ。
map_0594#168	ティタニア: いいわね、じゃあジェンダーの話も持ち出しましょうか。
map_0594#169	あんたが自信満々にここに踏み込んできて、
map_0594#170	一息で無礼への報復をほのめかしたと思ったら、
map_0594#171	次の一息で、十代の被後見人に、大人の男であるあんたと対等に向き合えって求める、
map_0594#172	そのくせ、彼女が何か批判をひねり出したら、それを個人攻撃だって受け取らないふりをする、
map_0594#173	力ずくの威圧だけで維持してるくせに、道徳的に優れてるつもりでいる、
map_0594#174	だって、あんたの半分の歳の女の子の人生を地獄にできるとわかってれば、その子はあんたに対等になんて出られないもの。
map_0594#175	テズ: 一体何を言ってるんだ?
map_0594#176	たった二言くらい言っただけで、そこまで食ってかかるのか?
map_0594#177	ティタニア: 三言よ。
map_0594#178	それだけであんたは十分バカを晒したってわけ。
map_0594#179	しかも人前でね。
map_0594#180	家でどんな態度なのか、見たくもないわ。
map_0594#181	ハーディ: おいおい姉貴、会ったばっかの相手にそこまで噛みつくのはやめてくんねえか?
map_0594#182	カイン: だって、姉さんの言ってること間違ってないし。
