map_0412#42	アヤのことも……
map_0413#48	いや、シャルースまでだ!
map_0413#49	ああ、ようやくだ。
map_0413#50	あまりに長いこと家の中にいたから、日の光の感触も忘れかけてたよ!
map_0413#51	大げさだって、どういう意味だよ?!
map_0413#52	そんなこと言われる筋合いないぞ!
map_0413#53	傷ついた!
map_0413#54	傷心だ!
map_0413#55	ずっと家の中で座ってたせいで、背中が痛いんだ! まだ24歳だってのに!
map_0413#56	……ちょっと昼寝でもしようかな。
map_0413#57	……え、本当にやってのけたのか? もう安全なのか?
map_0413#58	これでやっと「コール・オブ・シューティング」を心穏やかにプレイできるぜ!
map_0413#59	死の光線に当たる心配をせずに、な。
map_0413#60	何度もマッチングする一人のプレイヤーがいるんだけど。
map_0413#61	しかも毎回負けてる。
map_0413#62	もしあいつがもう一回、あの動作の実演をしてきたら、絶対に……
map_0413#63	傷口に塩ってやつだぜ。
map_0413#64	シェリー: カインがいないと、なんか違うのよね……
map_0413#65	どうして……どうしてあんなことに……
map_0413#66	カインとアンナとノエルを探しに行って、そのうち彼があの古い建物を見つけたの。
map_0413#67	中に入って見て回ったけど、怪しいものなんて何もなくて……
map_0413#68	……出ようとしたら、扉が塞がれてたの。
map_0413#69	どうしようか考えてたら、急にものすごい眠気に襲われて、
map_0413#70	気づいたら、あの場所の中で、みんなに囲まれて目を覚ましてたの。
map_0413#71	その、わたし……チームメテオを止めに行ったとき、迷惑をかけちゃったって聞いたわ。
map_0413#72	ごめんなさい……
map_0413#73	でも、本当に、ただカインに戻ってきてほしいだけなの……
map_0413#74	彼を助けるために何かできたらよかったのに……
map_0413#75	こんなこと考えてても、どうにもならないわね。
map_0413#76	誰か他の人に話しに行くことにするわ……
map_0413#77	サファイラ: よく来たわね、\PN。
map_0413#78	メテオの攻撃は今のところ止まってるみたいだけど、油断はしないわ。
map_0413#79	こっちが警戒を緩めるのを待ってるだけかもしれないし。
map_0413#80	つまり、チームメテオの工作員が自分でマシンを止めたのね?
map_0413#81	それなら、バリアが残ってる理由も納得だわ。
map_0413#82	片方はカルセノンの電力網に、もう片方はラブラドラの電力網に接続されてたのね。
map_0413#83	チームメテオがPULSEブロスターを再起動するか、ラブラドラの電力網に切り替えれば、攻撃はまた再開するでしょう。
map_0413#84	それが破壊されるまでは、わたしは待つわ。
map_0413#85	どれだけ長くかかろうと、この街にいる妹たちを危険にさらすつもりはないから。
map_0413#86	サファイラ: 街の安全が確認できるまで、わたしはここに残るわ。
map_0413#87	でも、あなたと話す必要がある人たちが他にもいるはずよ。
map_0413#88	アヤ: いい加減、放してよ!
map_0413#89	やめて!
map_0413#90	ハーディ: アヤ!
map_0413#91	シリウス: いいところに来た、お前もいたか。
map_0413#92	我々の要求は単純だ。
map_0413#93	\PN、お前がルビーのゆびわを持っていることは分かっている。
map_0413#94	それを渡せ、さもなくばこの娘の命はない。
map_0413#95	サファイラ: 交渉に応じるつもりはないわ。
map_0413#96	ハーディ: 冗談じゃねえ!
map_0413#97	アヤの命がかかってるんだぞ!
map_0413#98	\PN! 早く指輪を渡してくれ!
map_0413#99	サファイラ: 何があっても、指輪だけは渡さないで。
map_0413#100	ハーディ: たかがアクセサリーじゃねえか!
map_0413#101	彼女の命を懸けるほどのもんじゃないだろ!
map_0413#102	アヤ: 反対の人もいるみたいだけどね。
map_0413#103	驚きもしないけど。
map_0413#104	サファイラ: チームメテオはただの泥棒の集まりじゃない。
map_0413#105	ルビーのゆびわはただの指輪じゃないの、鍵なのよ。
map_0413#106	ハーディ: それが何だってんだよ?
map_0413#107	渡さなきゃ、あいつら彼女を殺すんだぞ。
map_0413#108	サファイラ: 渡せば、彼女を殺すのよ。
map_0413#109	ハーディ: 意味わかんねえよ!
map_0413#110	あそこにいるのがあんたの妹だったら、同じこと言えねえだろ!
map_0413#111	サファイラ: 違うわ。
map_0413#112	それでも、何も変わらない。
map_0413#113	ハーディ: くそっ! 訳わかんねえよ!
map_0413#114	家族のためなら何でもするって言ったくせに、たかが指輪のために彼女を死なせるつもりなのかよ?
map_0413#115	シャルロット: ああ、そういうことなのね。
map_0413#116	\PNのルビーのゆびわのこと?
map_0413#117	サファイラ: そうよ。
map_0413#118	チームメテオがあの子を人質に取ってるの。
map_0413#119	シャルロット: ……ねえ、お姉ちゃん。
map_0413#120	そんなちっぽけなもののために、わたしを死なせるつもりなんだ、へえ。
map_0413#121	ハーディ: おいおい……
map_0413#122	シャルロット: \PN! あなたはどう?
map_0413#123	たかが指輪のために、わたしを見捨てるくらい冷たい人?
map_0413#124	シャルロット: ああ、なんてひどい人!?
map_0413#125	そういうことなら、自分の身を守るために指輪を奪うしかないわね!
map_0413#126	ハーディ: あの、それただの仮定の質問だったんじゃ?
map_0413#127	シャルロット: 分かってくれると思ってたわ!
map_0413#128	じゃあ、ルビーのゆびわ、今すぐわたしに渡して。
map_0413#129	本気で言ったんなら、渡せるはずよね!
map_0413#130	シャルロット: 今すぐ!
map_0413#131	シャルロットはルビーのゆびわを奪い取った!
map_0413#132	シャルロット: チームメテオ!
map_0413#133	指輪をあげるわ!
map_0413#134	この人たちに取り返されないように逃げるけど、電力管制センターで渡してあげる!
map_0413#135	そこで会いましょう!
map_0413#136	ハーディ: シャルロット、やめろ!
map_0413#137	サファイラ: ハーディ、やめなさい。
map_0413#138	シリウス: ふん。
map_0413#139	誰かを向かわせよう。
map_0413#140	アヤ: いたた、いたた!
map_0413#141	引きずり回さないでよ!
map_0413#142	ハーディ: なあ、俺と同じくらい彼女のこと気にかけろとは言わねえけど、少しくらい心配する素振りくらい見せろよ!
map_0413#143	サファイラ: あなた、兄弟はいる?
map_0413#144	ハーディ: え――何だよ、急に?
map_0413#145	ああ、妹がいるよ。
map_0413#146	あんた、その妹に似てるな。
map_0413#147	二人とも扱いにくいところがそっくりだ。
map_0413#148	サファイラ: つまり、仲が良くないのね。
map_0413#149	でも、わたしと妹たちが経験してきたようなことを乗り越えると、お互いへの絶対的な信頼を学ぶものなの。
map_0413#150	わたしたちにはお互いしかいない。
map_0413#151	それを疑ったら、何も残らなくなる。
map_0413#152	ハーディ: ずいぶんとご立派な絶対的信頼だな。
map_0413#153	あの子、怒って唯一アヤを救う手段を持ったまま逃げてったんだぞ!
map_0413#154	サファイラ: 違うわ。
map_0413#155	彼女は自分の力で、少なくとも今のところはアヤを救ったのよ。
map_0413#156	ハーディ: どういうことだよ?
map_0413#157	サファイラ: 彼女のおかげで、チームメテオはもう、わたしたちが価値のあるものを持っているとは思わなくなったの。
map_0413#158	だから、アヤの命を脅す理由がなくなったわけ。
map_0413#159	\PN、確認したいなら、彼女を追いかけて。
map_0413#160	彼女がどこに向かったかは分かるでしょう?
map_0413#161	あなたが今来た道と同じ場所よ。
map_0413#162	サファイラ: シャルロットを追って。
map_0413#163	ラブラドラ・カルセノン管制センター、街の地下に向かうって言ってたわ。
map_0413#164	あなたが前に行った場所と同じ、だと思うけれど。
map_0413#165	サファイラ: わたしはあなたにとって最悪の悪夢よ、シグムンド。
map_0413#166	寝る場所には気をつけることね。
map_0413#167	サファイラ: あなたもここにいたのね。
map_0413#168	シグムンド: 元気そうだな。
map_0413#169	サファイラ: 今、あなたの命はこのバリアにかかってるのよ、シグムンド。
map_0413#170	これが消えたら、この命に懸けて、あなたを見つけ出して斬り捨ててやるから。
map_0413#171	シグムンド: ああ、ああ、よく分かっているとも。
map_0413#172	権威への脅し文句で自分を慰めるところは、相変わらずのようだな。
map_0413#173	サファイラ: あなたはもう権威なんかじゃない。
map_0413#174	ここはあなたの監獄じゃないの。
map_0413#175	シグムンド: だが法の裁量により、お前もよく知っているだろうが、私は今なお、お前の一番下の妹の法的後見人だ。
map_0413#176	私が後見人だ。
map_0413#177	脅威なのはお前のほうだよ。
map_0413#178	目の前から消えて。
map_0413#179	シグムンド: お前に私に命令する立場はないぞ、サファイラ。
map_0413#180	サファイラ: そう。今はチームメテオから命令を受ける身分ってわけ?
map_0413#181	人間、どこまで堕ちられるものなのかしらね。
map_0413#182	シグムンド: 彼らの目的になど、何の興味もない。
map_0413#183	だが、確かめねばならないことがあってな。
map_0413#184	サファイラ: もういい。あなたの言い訳には反吐が出るわ。
map_0413#185	この会話はこれで終わり。
map_0413#186	サファイラ: わたしは動かないから。
map_0413#187	カルセノンが……になるまでは……
map_0413#188	……ごめんなさい。
map_0413#189	起きてるわ。
map_0413#190	起きていられる。
map_0413#191	大丈夫だから。
map_0413#192	自分がどんな代償を払おうと、家族のためにできることは全部やるわ。
map_0413#193	「カルセノンシティジム: キャロライン・ベルローズ」
map_0413#194	カイン: よぉ〜、\PN。
map_0413#195	アヤについてはまだ何の知らせもない。
map_0413#196	ハーディとサファイラは壁に頭をぶつけてるみたいなもんでさ……
map_0413#197	たまに本当に文字通りな。
map_0413#198	案の定、シャルロットが指輪を持ってこなかったことにメテオは腹を立ててたけど、今また指輪はお前が持ってるって知ってるみたいだ。
map_0413#199	つまり、お前が指輪を持ってこの辺をうろついてなかったから、メテオも何もしてこなかったってわけだ。
map_0413#200	俺に言わせりゃ、それが一番いいのかもな。
map_0413#201	だから、ここで用事があるなら、あんまり目立たないようにな、いいか?
map_0413#202	シャルロット: もしもーし、地球からサファイラへ。
map_0413#203	眠らないと、そのまま倒れちゃうわよ?
map_0413#204	まあ、\PN、こっちは絶好調ってわけよ。
map_0413#205	ローラは完全に行方不明だし、サファイラはガチでおかしくなっちゃったし。
map_0413#206	あなたのほうがましなことを祈ってるわ。
map_0413#207	完全に気を失っている。
map_0413#208	ハーディ: あきらめねえ。俺が自分でアヤを助ける。
map_0413#209	ハーディ: あいつらがアヤを捕まえてる。
map_0413#210	絶対に代償を払わせてやる!
map_0413#211	よし!
map_0413#212	出てこいよ、メテオども!
map_0413#213	ハーディ: くそ……
map_0413#214	アヤ!!
map_0413#215	サファイラ: 待って。
map_0413#216	誰か来るわ。
map_0413#217	ファーン: はは、それがお前がそのタイプを選んだ理由か、ハーディ?
map_0413#218	岩みたいに頭が固いからか?
map_0413#219	ファーン: よう、オタクども。
map_0413#220	このバリアは絶対に突破できねえって分かってるだろ。
map_0413#221	ハーディ: なんでお前がそっち側にいるんだよ?
map_0413#222	ファーン: 単純な話だ。
map_0413#223	俺は勝者の側につくんだよ。
map_0413#224	それに、少なくともここじゃ、俺は実際に役に立てるからな。
map_0413#225	あのガキを探しにクリソリアに戻った時に気づいたんだ。
map_0413#226	基地が丸ごとぶっ壊されてたんだよ、知ってるか?
map_0413#227	何人かは生き残れなかった。
map_0413#228	何人かは、俺が助けたから生き残った。
map_0413#229	あいつらは本当に俺を必要としてたんだ。
map_0413#230	そんで、あいつらが目的を達成した時、俺も当然の権利として頂点の座につくのさ。
map_0413#231	お前の彼女ちゃん、あいつらのゲームのただの駒ってわけだ!
map_0413#232	ハーディ: すぐに彼女を返せ!
map_0413#233	ファーン: はっ、まさか。
map_0413#234	でも、望むなら代わりにキスしてやってもいいぜ。
map_0413#235	ハーディ: やめろ。
map_0413#236	ファーン: 冗談だよ。
map_0413#237	金をもらったって触る気にもならねえよ。
map_0413#238	ハーディ: 相棒、マジで誓って言うけどよ――
map_0413#239	この壁を突破したら、お前の顔面ぶちのめしてやるからな。
map_0413#240	ファーン: 突破できたらな。
map_0413#241	もっと頭を壁にぶつけ続けるか?
map_0413#242	あと二、三回くらいなら脳しんとうにはならなそうだしな、
map_0413#243	でも、俺が間違ってたって証明されるのはいつでも歓迎だぜ。
map_0413#244	とはいえ、こっちにも仕事があるんでな。
map_0413#245	じゃあな、負け犬ども!
map_0413#246	サファイラ: 感じのいい人ね。
map_0413#247	ハーディ: チッ。それどころじゃねえよ。
map_0413#248	でも、あきらめねえ。
map_0413#249	俺が自分でアヤを助ける。
map_0413#250	ハーディ: チッ。
map_0413#251	「絶対的な信頼」なんて、結局最後には壊れるもんだ。
map_0413#252	自分たちの手で何とかするしかねえ。
map_0413#253	ノエル: 誰かの計画にとって、俺が重要な存在だとは思えないんだ。
map_0413#254	みんなみたいに戦う理由が、俺にはない。
map_0413#255	それでも手伝うつもりだけどな。
map_0413#256	でも、みんなとは少し違う。
map_0413#257	お前は先に行ったほうがいい。
map_0413#258	ハーディ: 待つのは苦手なんだ。
map_0413#259	アヤのために何かできることがあるはずだろ?
map_0413#260	何か考えてみるぜ。
map_0413#261	チームメテオのことはひとまず置いといて――
map_0413#262	ファーンと同じ側にこのバリアで閉じ込められるなんて?
map_0413#263	そっちのほうが拷問だぜ。
map_0413#264	シャルロット: あら、戻ってきたのね。
map_0413#265	わたしはまだここ、見張り当番から抜けられなくて。
map_0413#266	つまり「バリア越しにチームメテオに変な顔をする」当番よ。
map_0413#267	退屈だけど、少なくともサファイラが久しぶりに眠ってくれてるし。
map_0413#268	もちろん、何かあったらすぐに起こすって約束したうえでね。
map_0413#269	でも、そんなことするわけないでしょ。
map_0413#270	それに、もう手遅れみたいだしね?
map_0413#271	シャルロット: もういっそラブラドラシティ、丸焼きにしちゃえない?
map_0413#272	任せて、こういうの得意だから。
map_0413#273	でもまあ、あそこにはお父さんのジムがあったから、サファイラは許してくれないでしょうけど。
map_0413#274	何かできることがないか、街の地下の電力管制センターに行ったわ。
map_0413#275	あのバリア、ラブラドラの電力網からすごい量のエネルギーを使ってるみたいで、攻撃用のPULSEに電力を回せなくなってるみたい。
map_0413#276	だから前は、カルセノンの電力に手を出してたのね。
map_0413#277	お姉ちゃん、まだ何かできるならとっくにやってるはずだって気づいて、少し肩の力抜いたみたい。
map_0413#278	でも、安全なままかどうか確かめに、地下に行ったのよ。
map_0413#279	それに、この辺じゃ人がどんどん行方不明になってるし。
map_0413#280	次はわたしを選んで、謎の消失パワーさん。もう退屈してるんだから。
map_0413#281	カイン: アンナ!
map_0413#282	おお、\PN! アンナじゃないのか。
map_0413#283	……だといいけど。
map_0413#284	悪いな、ちょっとピリピリしてるんだ。
map_0413#285	しかも、いい意味のピリピリじゃなくてな……
map_0413#286	急に双子がいなくなっちまったんだよ!
map_0413#287	アンナが、ノストラが何か見せたいものがあるって言ってて、すぐ戻るって言ってたんだけどな。
map_0413#288	俺も一緒に行っときゃよかった。
map_0413#289	ハーディと二人で探し回ってるんだけど、手がかりが全然ないんだ。
map_0413#290	嫌な予感がするよ。
map_0413#291	そっちはうまくいってるのか?
map_0413#292	ハーディ: よう。
map_0413#293	あんまりいい感じじゃねえな。
map_0413#294	ボーマンダに乗った女の子が、またシェリーをここに降ろしていったんだ。
map_0413#295	双子がいなくなったって聞いて、あいつすげえ動揺しちまってな。
map_0413#296	今すぐ探しに行くって言い張って、すぐにここを飛び出してった。
map_0413#297	もっとおとなしいやつだと思ってたんだけどな……
map_0413#298	とにかく、安全を確認するためにカインが一緒についていったよ。
map_0413#299	二人ともまだどっかで探し続けてるのかもしれないけど、もうけっこう経つんだよな……
map_0413#300	戻ってこないんじゃないかって心配なんだ。
map_0413#301	ルミ: こんにちは、\PN!
map_0413#302	ここの空気、すごくいいと思わない?
map_0413#303	こうやって立ち止まって何かを楽しめるのって、久しぶりで……
map_0413#304	そういうこと、当たり前だと思わないでほしいな。
map_0413#305	わたしはそう思っちゃってたから。
map_0413#306	ルミ: あ、どうも……
map_0413#307	失礼なつもりはないんだけど、今はちょっと一人になりたくて。
map_0413#308	最近、そういう機会があんまりなかったから……
map_0413#309	そういえば、お姉ちゃんとはもう話した?
map_0413#310	いくつか伝えたいことがあるみたいだったよ。
map_0413#311	ルミ: あの、あそこの男の子って、その……
map_0413#312	大丈夫なのかな?
map_0413#313	だめだって分かってるのに、つい様子を見に行っちゃって――
map_0413#314	本当に、ただ心配なだけなんだからね!
map_0413#315	アンナ: もう一個! もう一個!
map_0413#316	アンナ: ママのこと、もっと教えて!
map_0413#317	二人はどうやって出会ったの?
map_0413#318	ラドマス: それにはきちんと答えられないんだ、すまないが。
map_0413#319	彼女が私に出会ったのは、私が彼女に出会うよりずっと前だったのでね。
map_0413#320	私にとっては、最初は何の変哲もない一日で、
map_0413#321	気づけば、見たこともない女性に引きずられていて、その人は私の秘密を何もかも、まるで自分で話したかのように知り尽くしていた、
map_0413#322	まるで私自身が彼女にすべて話していたかのようにね。
map_0413#323	お前にもよく理解できることだと思うが。
map_0413#324	アンナ: わあ……
