map_0324#121	へえ、ここらの商売の具合はどうだい？
map_0324#392	そもそもこの活動自体、この街を立て直すための裏の手段にすぎなかった。
map_0324#393	この街が自ら立ち直り始めた時、当然、他の連中にも関わらせた。
map_0324#394	それから、財布とピック、モルタルとレンガの間のどこかで、私はあることに気づいた。
map_0324#395	たとえこの街を直したとしても、
map_0324#396	私たち自身は何も直らない。
map_0324#397	私たちは犯罪率そのものだ。
map_0324#398	浅はかな言い訳で互いを堕落した生き方に引きずり込む、習慣のパターンにすぎない。
map_0324#399	アクア団を解散することに決めた。
map_0324#400	残念ながら、そう単純な話ではないとわかっている。
map_0324#401	研究によれば、十分な代わりの社会的・経済的基盤がなければ、ギャングの再犯率は特に高くなるという。
map_0324#402	つまり、あいつらに他の行き場ができない限り、何も変わらないということだ。
map_0324#403	たとえば、新しい仕事に就くとかな。
map_0324#404	それなら彼らの必要とするものを、両方ともかなりきれいに満たせるだろう。
map_0324#405	もちろん、これについてはもう彼ら全員に話してある。
map_0324#406	予想通り、誰も真剣に受け止めていない。
map_0324#407	引き続き彼らに伝わるよう努力するつもりだ。それまでの間、お前に頼みたいことがある。
map_0324#408	あいつらには普通の仕事へのやる気がまるでないが、それぞれの興味を引くものを見つけてやれば、変わるかもしれない。
map_0324#409	お前に頼みたいのは、全員と話して、それぞれがどんな場所で働きたそうか見極め、その場所の応募用紙を持ってきてやることだ。
map_0324#410	とはいえ、あいつらから応募用紙をくれと頼んでくることはないだろうがな。
map_0324#411	おそらく、こちらから直接渡す必要がある。持ち物から使ってくれ。
map_0324#412	わかったな？
map_0324#413	みんなの進む道が決まったら、また私に話しかけてくれ。
map_0324#414	アーチャー: お前に頼みたいのは、全員と話して、それぞれがどんな場所で働きたそうか見極め、その場所の応募用紙を持ってきてやることだ。
map_0324#415	アーチャー: では、全員分見つけてくれたのか？
map_0324#416	それは安心した。
map_0324#417	となると、残るは私だけということか。
map_0324#418	自分で外に出て探すこともできるにはできるが、
map_0324#419	他の連中を探すついでに、私に合いそうなものを見つけていたりはしないか？
map_0324#420	私の強みはチームの統率、そして調査と分析だ。
map_0324#421	それなりに需要のあるスキルのはずだから、何か合うものがあればいいのだが。
map_0324#422	マクスウェル: \PN！やっと見つけた！
map_0324#423	あちこち探し回ってたんだぜ！
map_0324#424	すげえ久しぶりな気がするな。元気にしてたか？
map_0324#425	俺たちは、お前が信じられないくらいうまくやってたぜ。
map_0324#426	栄光を積み重ねてたのさ！
map_0324#427	いや、マジな話だ！街の復興に手を貸すのをグチグチ言ってた奴もいたが、俺たちは結構やり遂げたんだぜ！
map_0324#428	何かを見て、それを指差してこう言えるってのは、目から鱗が落ちる感覚だと思うんだ。
map_0324#429	あそこにあるあれ。
map_0324#430	あれは俺がやったんだ、ってな。
map_0324#431	あれは俺が生み出した変化だ、ってな。
map_0324#432	俺たちがずっと追い求めてきたのは、まさにそれだったんだ。
map_0324#433	遺産ってやつだよ、わかるか？
map_0324#434	だから、あることを決めたんだ。
map_0324#435	俺はマグマ団を解散する。
map_0324#436	後悔なんて一切ねえ。
map_0324#437	以前のこの街の状態を考えりゃ、俺たちのやり方は最善の一手だった。
map_0324#438	だが今のこの街の流れを考えりゃ、それはただの足かせにしかならねえ。
map_0324#439	俺たちには、この街をゼロから作り直すチャンスがあるんだ！
map_0324#440	基礎を築くのは石だけじゃねえ、心だってそうなんだよ！
map_0324#441	だがこんな場所に閉じこもったままじゃ、そんなことは絶対に学べねえ。
map_0324#442	7番街だけは、まったく何も変わっちゃいねえ。
map_0324#443	これっぽっちもだ！
map_0324#444	変だと思わねえか？
map_0324#445	何かがおかしいって感じるんだよ。
map_0324#446	だからこそ、もう一つの道が正しいってわかるんだ！
map_0324#447	他の連中に、大切にできる未来の作り方をわからせるには、どうすればいい？
map_0324#448	あいつらの多くは、そういうことへの自信も技術も持ってないんだと思う。
map_0324#449	だからこそ、仕事みたいな小さな一歩から始めるのが一番なんだ。
map_0324#450	毎日打ち込めることがあれば――
map_0324#451	もちろん、合法的なものでな――
map_0324#452	普通の暮らしに誇りを持つやり方を、あいつらも理解し始めると思うんだ。
map_0324#453	だからお前に力を貸してほしいんだよ！
map_0324#454	他の連中にはもう話してあるが、誰も聞く耳を持たねえ。
map_0324#455	「仕事がどうの」「努力がどうの」って言うだけでよ。
map_0324#456	俺の方でも言い聞かせてみるが、その間、お前に頼みがあるんだ！
map_0324#457	みんなと話をして、あいつらが本当に働きたいと思えそうな場所がないか考えてみてくれ。
map_0324#458	とはいえ、あいつらは自分から探しには行かねえだろうけどな。
map_0324#459	だが興味をそそる場所の応募用紙を持ってってやりゃ、望みはあるかもしれねえ！
map_0324#460	嫌がられても構わねえから、持ち物袋から取り出してでも顔面に突きつけてやってくれ！
map_0324#461	全員のことが片付いたら、俺のところに来てくれ。わかったな？
map_0324#462	栄光の定義を、俺たちで変えてやろうぜ！
map_0324#463	マクスウェル: みんなと話をして、あいつらが本当に働きたいと思えそうな場所がないか考えてみてくれ。
map_0324#464	マクスウェル: もう全員終わったのか？最高だぜ！
map_0324#465	それで、もう一つだけ手を貸してほしいことがあるんだ。
map_0324#466	ちょっと恥ずかしい話なんだが――実は俺も、まともな仕事に就いたことがねえんだよな。
map_0324#467	それでも、今から始めたいんだ！
map_0324#468	みんなを笑顔にできて、心の中に栄光を輝かせられるような場所で働きたいんだよ！
map_0324#469	たとえ一人だけでも、誰かのために違いを生み出せるなら、それだけの価値がある。
map_0324#470	だがそんなことができる仕事となると……
map_0324#471	さっぱり見当がつかねえ。
map_0324#472	リボーンに、そんな場所ってあると思うか？
