map_0418#96	ちょっとここで休憩してただけ――あの子を運ぶのって、思ったより大変なのよ。
map_0425#9	シルフカンパニー特製の会員制スパへようこそ。最上級のお客様だけがご利用いただけます。
map_0425#10	たったの$5000で、あなたのポケモンを贅沢のかぎりでおもてなしいたします。いかがでしょう?
map_0425#11	あら、どうしました、気が変わりましたか?
map_0425#12	すばらしい。それでは始めましょう。
map_0425#13	あなたのポケモンは、この上なく満足しています! まるで生まれ変わったみたいですね!
map_0425#14	またのご利用をお待ちしております。
map_0425#15	あら? お金が足りないようですね、また別の機会にどうぞお越しください。
map_0425#16	かしこまりました。いつでも喜んでお迎えいたします。
map_0425#17	ママがどこか行っちゃって、のどが渇いた……
map_0425#18	あ、おいしいみずだ! もらってもいい!?
map_0425#19	\PNはおいしいみずを渡した。
map_0425#20	やったー!
map_0425#21	*ゴクゴクゴク*
map_0425#22	美味しかった! これ、あげる!
map_0425#23	あぁ……
map_0425#24	あ、ミックスオレだ! もらってもいい!?
map_0425#25	\PNはミックスオレを渡した。
map_0425#26	あ、サイコソーダだ! もらってもいい!?
map_0425#27	\PNはサイコソーダを渡した。
map_0425#28	やっと満足できた!
map_0425#29	ようこそ、相棒! ここまで来る人はそう多くないから、街でも指折りのプライベートな場所なんだぜ。
map_0425#30	こんなに若いのがもう一人来るとは驚きだ! よく来たな、若きトレーナー。
map_0425#31	相手には手加減してやってくれよ? 戦うチャンスくらいは与えてやらないとな。
map_0425#32	はぁ……
map_0425#33	「オブシディアンデパート・ハピナスボーナスチャレンジへようこそ。
map_0425#34	本日は……半熟の……特別企画をご用意……
map_0425#35	たまご並みに幸運な、あなただけのお客様に……
map_0425#36	あなたのポケモンは、豊満なハピナスの戦士たちをスクランブル(かき混ぜる)……もとい、蹴散らすだけでいいのです
map_0425#37	そうすれば、あなたは……」いわゆる「……とびきり特別な秘密のボーナス賞品の、誇り高き勝者」というわけです。
map_0425#38	……実際は、けいけんアメの束が少しあるだけなんだけど。
map_0425#39	……「でも気をつけて、このたまご体験、目玉焼きみたいに簡単には終わりませんから――」
map_0425#40	はぁ、もう、いい?
map_0425#41	無理。
map_0425#42	やらない。
map_0425#43	こんなバカみたいなセリフを、ハピナスに取り憑かれたおバカさんみたいに暗唱させられて、ここに来る間抜けな客一人一人に愛想振りまかされるとか――
map_0425#44	そもそもチャレンジにすらなってないし!
map_0425#45	ハピナス全員、いやしのねがい覚えてるし!
map_0425#46	客のプライドをくすぐるために、できるだけ早く自爆してくれるだけなのに!
map_0425#47	まあ、その気持ちも分かるけど。
map_0425#48	こんなの、誰がどうやってやってるのか分かんない。
map_0425#49	こんな高いところまでトレーナーなんて滅多に来ないだろうと思って、この仕事引き受けただけなのに、
map_0425#50	あんたらいったい何なわけ???
map_0425#51	このシールどこで全部見つけてきたわけ???
map_0425#52	どうして今になって、あたしのところに来るの……
map_0425#53	何でこんなことが、あたしに起きるの……
map_0425#54	家賃払いたかっただけなのに……
map_0425#55	……分かってる。
map_0425#56	あのバカみたいなチャレンジ、やりたいんでしょ?
map_0425#57	……はぁ。
map_0425#58	あんたのせいじゃないのは分かってる。
map_0425#59	でも、あたしが正面の窓から飛び出して、そのまま飛んでいくか、死ぬ気で挑戦したいくらい思ってるってこと、分かってほしい。
map_0425#60	全部、資本主義のせいだから。
map_0425#61	でも、お客一人一人にあのセリフを最低一回言わないと、お給料もらえないの。
map_0425#62	「さあ、大げさなハピナス・ボーナス・バトルの祭典が今、始まります……!」
map_0425#63	とにかく、早く終わらせて。
map_0425#64	もう終わった?
map_0425#65	はいはい。これがそのバカみたいなアメか何か。
map_0425#66	もう解放されてもいい?
map_0425#67	……ああよかった、あのバカなパスワード使ってくれて。
map_0425#68	はい、ただ持ってって。
map_0425#69	ねえ、聞いて。
map_0425#70	こんなのもう、やめ。
map_0425#71	自分でなんとかすることにした。
map_0425#72	バトルせずにアメだけ欲しい?
map_0425#73	このバトル、契約上やらなきゃいけないことになってるんだけど、
map_0425#74	でも、パスワード「pinata」を使えば、全部スキップできるから!
map_0425#75	あたしだけじゃなくて、他の稼ぎ要員のトレーナーたちも同じだから!
map_0425#76	話しかけてくれれば、アメあげるよ。
map_0425#77	でも、これ仕込んだこと、開発陣には言わないでよね?
map_0425#78	上司にも。
map_0425#79	頼むから見逃して。
map_0425#81	マジ助かった。
map_0425#82	それじゃ、失礼して、あたしはこの壁でも見つめながら、二度と誰にも見られませんようにって祈ってる。
map_0425#83	おいしいみず - $200
map_0425#84	サイコソーダ - $300
map_0425#85	ミックスオレ - $350
map_0425#86	やめる
map_0425#87	はい
map_0425#88	いいえ
map_0426#0	ゴチルゼル: ……
map_0426#1	ゴチルゼル: ―傷ついた者にやさしくあれ。―
map_0426#2	ゴチルゼル: ―さて、幼き者は世界へと旅立つことを望んでいるようだ。―
map_0426#3	―この子は、我らが一族の暮らしには向いておらぬ。―
map_0426#4	―望むならば、連れて行くがよい。―
map_0426#5	―どうか見守ってやってほしい。―
map_0426#6	―この壁の向こうには、現実というものの、最も荒々しい駄々がある。―
map_0426#7	ゴチルゼル: ―我らはこの地に留まり、静けさの中で、まだ来ぬ未来を厳かに待つ。―
map_0426#8	―この部屋は片付いたようだ。手伝いに感謝する、人間よ。―
map_0426#9	―お返しできるものはわずかだが、これを受け取るがよい。―
map_0426#10	ゴチルゼル: ―それが、そなたの――虚無に触れられし運命を、照らす光となりますように。―
map_0426#11	―残りは、あとわずかだ。―
map_0426#12	―部屋は多少片付いてきたが、まだやるべきことは多い。―
map_0426#13	―がれきはまだ、かなり残っている。―
map_0426#14	―ごみと散らばった本を集める手伝いをしてくれるなら、大変ありがたい。―
map_0426#15	―トレーナーよ、そなたには我が言葉が分かるのだろう?―
map_0426#16	―この図書室は、我らの住処であった。今もそうであり、これからも、ずっとそうであろう。―
map_0426#17	―この有り様では、我が娘たちにふさわしい場所とは到底言えぬ。―
map_0426#18	ゴチム: ゴチ……
map_0426#19	ゴチム: ゴチ! ゴチ、ゴチ!
map_0426#20	ゴチム: ゴチ!
map_0426#21	ゴチ、ゴチ、ゴチム! ゴチム! ゴチ、ゴチ、ゴチ!
map_0426#22	ゴチムは、あなたの仲間になりたそうだ。
map_0426#23	ゴチムを迎え入れますか?
map_0426#24	\PNはフィールド効果解析データ10を手に入れた!
map_0426#25	腐食フィールドの情報が見られるようになった!
map_0426#26	はい
map_0426#27	いいえ
map_0427#0	ガーディ: グルル……ルルォ! ルォ!
map_0427#1	ガーディは、穴の中を一心に見つめているようだ。
map_0427#2	ガーディ: ガルルォ!
map_0427#3	ガーディ: ルォ……
map_0427#4	\PNは穴の中をのぞき込んだ。
map_0427#5	警察官の姿が見える!
map_0427#6	助からなかったようだ……
map_0427#7	ガーディ: グル……ルォ、ルォ、ルォ!
map_0427#8	ガーディは、警察署へと走って戻っていったようだ。
map_0427#9	???: もう一区画、あったはずだと思ったのだが……
map_0427#10	残念だ。
map_0427#11	この場所にも、私の求めるものはない、ということか。
map_0427#12	???: ああ、失礼。あなたが入ってきたのに気づかなかったようだ。
map_0427#13	とはいえ、せっかくここにいるのだから、
map_0427#14	……これを『当てずっぽう』と呼ぶのすら、まだ随分と甘い見積もりだと分かってはいるのだが……
map_0427#15	もしや、あなたは『ドリームシックネス』という言葉を聞いたことは?
map_0427#16	???: ……本当に?
map_0427#17	どこでそれを聞いたのか、ぜひ教えてほしい。
map_0427#18	……ああ、だがその性質上、出どころを思い出すことなど、そもそも不可能なのだろうな。
map_0427#19	つい先ほどまであんなに鮮明だった夢を語ろうとしたとたん、まったくの忘却に行き当たるようなものだ。
map_0427#20	だが、それがあなたにとってどこか聞き覚えがあるように感じられること自体、すでに興味深い。
map_0427#21	また会うことになる気がする。
map_0427#22	???: やはりそうか。
map_0427#23	案ずるな。もしそうなっていたなら、それは運命を超えた業だったということになる。
map_0427#24	さらばだ。
map_0427#25	はい
map_0427#26	いいえ
map_0429#2	壊したり動かしたりするには、頑丈すぎるようだ……
map_0429#3	この岩の土台には、まだお宝が眠っているかもしれない。
map_0429#4	ばくはつのこなで開けますか?
map_0429#5	ムチュール: ムチュ、ムチュ!!!
map_0429#6	ツンベアー: ガルルルル……
map_0429#7	ツンベアー: ガオオオ!!!
map_0429#8	ガアアアアア……
map_0429#9	ツンベアー: グル……ゥ――
map_0429#10	ムチュール: ……ムチュ?
map_0429#11	ムチュール: ムチュ、ムチュ!!
map_0429#12	ムチュールが、あなたにしがみついてきた。
map_0429#13	あなたと一緒に行くと、決めたようだ。
map_0429#14	ツンベアー: グルルルル……
map_0429#15	はい
map_0429#16	いいえ
map_0430#0	\PNはPULSE解析データ02を手に入れた!
map_0430#1	PULSE図鑑が更新された!
map_0431#0	\PNはフィールド効果解析データ28を手に入れた!
map_0431#1	雪山の情報が見られるようになった!
map_0432#0	クレベース: クレベェェェェェェアアアアア。
map_0432#1	そのポケモンは、痛みで鳴き叫んでいるようだ。
map_0432#2	機械が暴走している。
map_0432#3	処理を止めるために、攻撃しますか?
map_0432#4	ロアアアアアアグゥ!
map_0432#5	はい
map_0432#6	いいえ
map_0433#0	地面が氷に覆われている。触れると凍ってしまうかもしれない。
map_0433#1	\PNはフィールド効果解析データ13を手に入れた!
map_0433#2	氷のフィールドの情報が見られるようになった!
map_0434#2	壊したり動かしたりするには、頑丈すぎるようだ……
map_0434#3	この岩の土台には、まだお宝が眠っているかもしれない。
map_0434#4	ばくはつのこなで開けますか?
map_0434#5	はい
map_0434#6	いいえ
map_0437#0	「ヘザーへ、
map_0437#1	これを読む頃には、あなたはもう強くなっているでしょう。
map_0437#2	わたしは、強くあるようにとは育てられませんでした。
map_0437#3	世間知らずであるようにと育てられ、そのせいで苦しみました。
map_0437#4	あなたには、同じ過ちを繰り返させません。
map_0437#5	現実は残酷なものです。
map_0437#6	それを、わたしは痛い目に遭って学びました。
map_0437#7	あなたは、生まれた瞬間から、それを学びながら育ってきました。
map_0437#8	彼女がどのようにして亡くなったのかは、ずっと以前にあなたへ話しましたね。
map_0437#9	誰の仕業だったのかは、話しませんでした。
map_0437#10	チームメテオは、この街を浄化し、かつての姿――聖地としての姿を取り戻そうとしていました。
map_0437#11	その目的のためなら、彼らは誰も容赦しません。
map_0437#12	わたしは強制的に彼らの一員に加えられましたが、それは内側から彼らを妨害するためでした。
map_0437#13	具体的には、あなたの母を殺した男の首を狙っていました。
map_0437#14	その男は、わたしが愚かにもあなたの母に与えてしまったアーティファクトを狙っていたのです。
map_0437#15	あの男は、それを手に入れるためなら、あなたの母の命など安いものだと考えていました。
map_0437#16	あの男には、必ず自らの血で、その代償を払わせます。
map_0437#17	もしあなたがわたしに加わりたいなら、喜んで迎えましょう。
map_0437#18	それは、彼女の娘であるあなたの権利です。
map_0437#19	あの男は、毒であなたの母の命を奪いました。
map_0437#20	点滴に毒が仕込まれていたと知った時、わたしは怒りに任せて動きました。
map_0437#21	今でも誇りに思えることの一つは、あの男が血を流す目から注射器を引き抜いた時の悲鳴です。
map_0437#22	あの男は生き延びましたが、その傷は生涯消えぬ印となったでしょう。
map_0437#23	それ以来、わたしはエレナの命を奪った、あの毒に執着するようになりました。
map_0437#24	そこから、腐敗させるための毒を作りました。
map_0437#25	支配するための毒を。
map_0437#26	そして、罪ある者に報いを与えるための毒を。
map_0437#27	美しいわたしの娘へ、
map_0437#28	彼女の友人たちも、強さも、情熱も、すべて受け継いだあなたを、これ以上ないほど誇りに思います。
map_0437#29	いつか、共にこれに決着をつけましょう。」
map_0437#30	\PNはフィールド効果解析データ11を手に入れた!
map_0437#31	腐食ミストフィールドの情報が見られるようになった!
map_0438#0	誰だ、お前!?
map_0438#1	近寄るな!
map_0438#2	くそ……
map_0438#3	ムルミナ: アゲートに続いて、今度はこれか……
map_0438#4	次はあたしの番なんて、嫌――
map_0438#5	もう知らない!
map_0438#6	どこか他に隠れる!
map_0438#7	キャロラインの部屋、あそこの――
map_0438#8	そうだ、地下の鍵を見たことない奴には開けられないはず……
map_0438#9	あそこに行く!
map_0438#10	絶対についてくるんじゃないわよ!
map_0443#0	キャノピーバッジを持っていなければ、ここは通れない。\tts[キャノピーバッジを持っていなければ、ここは通れない。]
map_0443#1	おっと! それはキャノピーバッジだ!\tts[おっと! それはキャノピーバッジだ!]
map_0443#2	それでは、どうぞお通りください!
map_0443#3	コクーンバッジを持っていなければ、ここは通れない。\tts[コクーンバッジを持っていなければ、ここは通れない。]
map_0443#4	おっと! それはコクーンバッジだ!\tts[おっと! それはコクーンバッジだ!]
map_0443#5	オーメンバッジを持っていなければ、ここは通れない。\tts[オーメンバッジを持っていなければ、ここは通れない。]
map_0443#6	おっと! それはオーメンバッジだ!\tts[おっと! それはオーメンバッジだ!]
map_0443#7	テラ: ガアアアアアアアアアアア!!!!!!!!
map_0443#8	テラ: あちゃー、ボインケーキちゃん、はずれ。
map_0443#9	ハッシュタグ・は? ハッシュタグ・どうでもいい
map_0443#10	今度こそシバいてやる\tts[今度こそシバいてやる]
map_0443#11	ウィンク顔文字
map_0443#12	ガアアアアアアアア!!!!!!!
map_0443#13	テラ: フン。
map_0443#14	もう絶対つかまんないから。
map_0443#15	物理法則、さらばー!!!
map_0443#16	オーメンバッジを持っていなければ、ここは通れない。
map_0443#17	おっと! それはオーメンバッジだ!
map_0443#18	今度こそシバいてやる
map_0445#0	ショートパンツ好き! 楽ち3で――楽ち3――楽ち3――楽ち3――
map_0445#1	楽ち3――楽ち3――楽ち3――楽ち3――
map_0445#2	アニメーション表示 感嘆符ふきだし 対象イベント004 プレイヤーへ移動 戦闘開始
map_0445#3	会話終了
map_0445#4	戦闘終了
map_0445#5	「よ0こそ、Mt.ケツへ!」\tts[「ようこそ、Mt.ケツへ!」]
map_0445#6	。
map_0445#7	すべ7のグリッ4が し4ぬ場所\tts[すべてのグリッチが死ぬ場所]
map_0445#8	死4 死4 死4 死4
map_0445#9	あな4のことを、ず0と覚え7いる、ダー1ング\tts[あなたのことを、ずっと覚えている、ダーリン]
map_0447#0	研究し7るんだよ、ぽ-ぽ-ぽ-ぽ-ぽ-ぽ-ぽ-ぽ-ぽけらもん
map_0447#1	お前、つまん1いな
map_0447#2	台4しにした 台4しにした 台4しにした 台4しにした 台4しにした 台4しにした
map_0447#3	ブライトバッジを持っていなければ、ここは通れない!\tts[ブライトバッジを持っていなければ、ここは通れない!]
map_0447#4	おっと! それはブライトバッジだ!\tts[おっと! それはブライトバッジだ!]
map_0447#5	それでは、どうぞお通りください!
map_0447#6	^ - オパール大橋\n<>- グランドケツ通り
map_0447#7	やあ!
map_0447#8	ぼくの名前はティミー!
map_0447#9	ぼくの裁縫針、見なかった?
map_0447#10	あ、あのおばあさんのタンスの中に落としてないといいけど……スリザーさんが怒っちゃう!\tts[あ、あのおばあさんのタンスの中に落としてないといいけど……スリザーさんが怒っちゃう!]
map_0447#11	よお ビッチちちよ 通りたきゃ 方法はひとつ\tts[よお ビッチちちよ 通りたきゃ 方法はひとつ]
map_0447#12	左にジャンプするだけ
map_0447#13	でも それは腰振りダンス
map_0447#14	マジで頭おかしくなるやつ!
map_0447#15	通る4禁止\tts[通るの禁止]
map_0447#16	さも4くば シュレッ久タキュラーな冒険が待ち受ける\tts[さもなくば シュレックタキュラーな冒険が待ち受ける]
map_0447#17	ぼくの釣り竿、小さすぎて投げられない
map_0447#18	wwwwwwwwwww
map_0447#19	エ7ジー\tts[エッジー]
map_0447#20	あ4しマジエッジーで 痛いレベル\tts[あたしマジエッジーで 痛いレベル]
map_0447#21	毎日 グラス(ナゾノクサ印) 吸ってる\tts[毎日 グラス(ナゾノクサ印) 吸ってる]
map_0447#22	助けて
map_0447#23	ブライトバッジを持っていなければ、ここは通れない。\tts[ブライトバッジを持っていなければ、ここは通れない。]
map_0448#0	偽りの預言者に呪いあれ!!!!!!!\tts[偽りの預言者に呪いあれ!!!!!!!]
map_0448#1	無政府か 暴動か
map_0448#2	かいのカセキを掲げよ\tts[かいのカセキを掲げよ]
map_0448#3	A B B B B B B B B B B B B B A 左 左 右 左 左 右 右 右 B B B B B B B B
map_0448#4	\PNはライトシャードを手に入れた
map_0448#5	アジトの迷路をスキップしますか?
map_0448#6	はい
map_0448#7	いいえ
map_0449#0	ライムバッジを持っていなければ、ここは通れない!\tts[ライムバッジを持っていなければ、ここは通れない!]
map_0449#1	おっと! それはライムバッジだ!\tts[おっと! それはライムバッジだ!]
map_0449#2	それでは、どうぞお通りください!
map_0449#3	ライムバッジを持っていなければ、ここは通れない。\tts[ライムバッジを持っていなければ、ここは通れない。]
map_0449#4	不気味 怖い わお\tts[不気味 怖い わお]
map_0449#5	不気味すぎ\tts[不気味すぎ]
map_0449#6	こんにちは なんであたしのこと読んでるの
map_0449#7	きも
map_0449#8	ほら
map_0449#9	メガテラ……メガテラのこと、何から説明すればいいわけ?\tts[メガテラ……メガテラのこと、何から説明すればいいわけ?]
map_0449#10	メガテラは完璧。\tts[メガテラは完璧。]
map_0449#11	髪に$10,000の保険かけてるって噂。
map_0449#12	カントーで車のCMやってるって噂。
map_0449#13	お気に入りの映画は「バーシティ・ケツ」\tts[お気に入りの映画は「バーシティ・ケツ」]
map_0449#14	一度、飛行機でスティーブンに会ったことがあるらしい……
map_0449#15	……そんで、才能あるって言われたんだって。
map_0449#16	一度、あたしの胸に噛みついてきたことがある。
map_0449#17	ガオサム(最高)だった。
map_0449#18	!!!!!!!!!!!!!!!!
map_0449#19	スタンダードバッジを持っていなければ、ここは通れない。\tts[スタンダードバッジを持っていなければ、ここは通れない。]
map_0449#20	おっと! それはスタンダードバッジだ!\tts[おっと! それはスタンダードバッジだ!]
map_0449#21	「ケイ4リン『エクリプス』フィッシャー」\tts[「ケイトリン『エクリプス』フィッシャー」]
map_0450#0	ピー ピー ピー ピー ボッ
map_0450#1	何も起きなかった おっと
map_0450#2	超 激 ロック済み\tts[超 激 ロック済み]
map_0450#3	「キキ・ミカエル・アーガル」\tts[「キキ・ミカエル・アーガル」]
map_0450#4	サムソン: マジで、何もない。
map_0450#5	からかわれてるな、これ。
map_0450#6	サムソン: まるっきり何もなし。
map_0450#7	完全にからかわれてる、
