22f_bt_speeches#960	きれいだったでしょ?
22f_bt_speeches#1026	勝っても負けてもバトルは楽しい... でも勝ったときは特にね!
22f_bt_speeches#1027	連勝記録? 無理に決まってる、リボーンじゃ何ひとつ手に入らないんだよ。
22f_bt_speeches#1028	全滅か...
22f_bt_speeches#1029	名前を教えてくれない?
22f_bt_speeches#1030	秘密の話、聞きたい?
22f_bt_speeches#1031	わあ! 目の見えない女の子に負けちゃった? さぞプライドが傷ついたでしょうね。まあ、いい気味! ふふふ。
22f_bt_speeches#1032	からておうをやってて嫌なこと、何だか分かる?
22f_bt_speeches#1033	け、警察はこのへんに来てないよな?
22f_bt_speeches#1034	あ、あんた! その怖い顔、おれの夢に出てきたぞ!
22f_bt_speeches#1035	このバカ-- あっ、大声出しちゃった...
22f_bt_speeches#1036	ふあぁ。まだ退屈!
22f_bt_speeches#1037	ふあぁ... ここの照明、眠くなるんだよね!
22f_bt_speeches#1038	やったー! あたしはあまーいスター!
22f_bt_speeches#1039	いいね! おれのソニックブーム、シビれるだろ!
22f_bt_speeches#1040	ああ、出世に使うような立派なものは何ひとつ持たずに生きてきた。でも意志の力だけでここまで来たんだ。さあ、かかってこい!
22f_bt_speeches#1041	そう、完ぺきだ! 次に何を書けばいいか分かったぞ!
22f_bt_speeches#1042	このエンブオー面のまぬけが!
22f_bt_speeches#1043	オーバーヒートしたな!
22f_bt_speeches#1044	君も君のポケモンも、力の制御を鍛えないとな。
22f_bt_speeches#1045	君と君のポケモン... なんて揺るぎない信頼...
22f_bt_speeches#1046	なかなかのトレーナーだ! それでも負けるのは嫌だがな。
22f_bt_speeches#1047	君もバトルがうまいね!
22f_bt_speeches#1048	あいつと戦ったの? サインをもらってきてくれない?
22f_bt_speeches#1049	あたしに勝った? そんなの信じないからね!
22f_bt_speeches#1050	現実に引きもどされたよ...
22f_bt_speeches#1051	おれの腕がすごいのは否定できないだろ! さあ次の勝負だ! 待つのは嫌なんだよ!
22f_bt_speeches#1052	自分の秘密は、しんぴのまもりでも守れないんだね...
22f_bt_speeches#1053	わたしとポケモンのきずなは断ち切れない...
22f_bt_speeches#1054	わたしの優れた知性は、君には計り知れまい!
22f_bt_speeches#1055	スピネルタウンじゃ何ひとつ手に入らないんだよ。
22f_bt_speeches#1056	君の物語にはもうたくさんの章が書かれているようだ。でも、まだまだ続くはずだよ!
22f_bt_speeches#1057	一線をこえたな!
22f_bt_speeches#1058	ミミを倒した? ミミのポケモンを投げ捨てた!? トレーナーは牢屋行き!
22f_bt_speeches#1059	よくがんばったね!
22f_bt_speeches#1060	わたしの秘密は知らないでしょ...
22f_bt_speeches#1061	我々の本当の目的は分かっていまい...
22f_bt_speeches#1062	ホッピータウンに行ったことある?
22f_bt_speeches#1063	見事にコケたな!
22f_bt_speeches#1064	まぐれだぞ、このガキ!
22f_bt_speeches#1065	まだまだだね!
22f_bt_speeches#1066	ずいぶん胸を張ってるじゃないか!
22f_bt_speeches#1067	アドリエンヌのこと知ってるよね? 伝言を届けてくれないかな?
22f_bt_speeches#1068	やってやるしかなかったんだよな。
22f_bt_speeches#1069	きーみーのー、まーけーー!
22f_bt_speeches#1070	ずいぶん疲れてるみたいだね。
22f_bt_speeches#1071	ずいぶん弱そうだね。
22f_bt_speeches#1072	少し休んだほうがいいんじゃない?
22f_bt_speeches#1073	お前が突進のラプラスか...
22f_bt_speeches#1074	まだまだ修行を続けねばな!
22f_bt_speeches#1075	予想外を予想しないとな、友よ。
22f_bt_speeches#1076	次はもっとがんばらないとね!
22f_bt_speeches#1077	海のことをもっと学ばないとな!
22f_bt_speeches#1078	この役立たずのコラッタめ!
22f_bt_speeches#1079	完全に上を行かれたな...
