map_0074#6	フロリニア: この施設のデジタルセキュリティシステムは、水準以下と見受けられる。
map_0077#30	チームメテオは、決して許さない。
map_0077#31	ジュリア: いなくなった?
map_0077#32	フロリニア: 肯定。ユレイドル、戻れ。
map_0077#33	ジュリア: あなたもね、マルマイン! お疲れ様~
map_0077#34	さてと……
map_0077#35	うんうん~
map_0077#36	よし! みんな、今すぐ走った方がいいよ!
map_0077#37	ファーン: あ? 今度は何やったんだよ?
map_0077#38	ジュリア: カアアアアアアアアアアアア……
map_0077#39	ファーン: おいクソ! 動くぞ!
map_0078#0	ビリリダマが金属の門に近づき、光り始めた……
map_0078#1	ビリリダマ: ビリッ!
map_0078#2	ビリリダマは、ついてきたそうにしている。エネルギーに満ちあふれている。
map_0078#3	ジュリアは今度はどこに行ったんだ?
map_0078#4	彼女がいなくなってから、挑戦者も仕事もどんどん溜まっていってる。
map_0078#5	まったく、あんなに無責任な奴が、こんな場所を任されるべきじゃないだろうに、
map_0078#6	ましてや、街の復興でこれだけの仕事を引き受けるなんてな。
map_0078#7	いや、ジュリアが古い建物の解体を任されてることを考えると、「復興」じゃなくて「破壊」って言った方が正確かもな。
map_0078#8	まったく、あの女は「安全」って言葉の意味を知らないんじゃないか。
map_0078#9	気をつけろ、じゃないと全部お前の顔面で爆発するぞ!
map_0078#10	ドッカーン!
map_0078#11	お前はダイナマイトだな!
map_0078#12	発電所に一般人を入れちゃうなんて、ばかげてるよな。
map_0078#13	発電所をジムに変えて街のスペースを節約した代償ってやつなんだろうな。
map_0078#14	それでも、ここはやっぱりばかげてる。
map_0078#15	バッジが欲しいのか? まずはオレを倒してからだ。
map_0078#16	よし。勝ってこいよ。
map_0078#17	何をここでぐずぐずしてるんだ?
map_0078#18	ここの連中はみんな無茶苦茶だ。ジムの裏に、ゲートのスイッチがあるんだよ。
map_0078#19	もっとも、そのスイッチもジュリア自身が隠しちまったけどな。
map_0078#20	ドアの修理をさせられるのは、もう勘弁してほしいよ。
map_0078#21	アメ: \PN?
map_0078#22	どうも! ジムに着いたみたいね。
map_0078#23	この通信システムは大ホールに直通してるから、どこにいても、ジムに着けばいつでもアドバイスをもらえるのよ!
map_0078#24	それはさておき……
map_0078#25	アメ: リボーンでの初めてのジムバトルよね?
map_0078#26	リボーンのジムリーダーは、他の地方より少し手強いの。例えば、どのリーダーもポケモン6匹のフルパーティを持ってるのよ!
map_0078#27	それだけじゃなくて、戦術的に有利になる特殊なアリーナ、「フィールド」も使ってくるわ。
map_0078#28	リボーンで生き残りたいなら、このフィールドについて学んで、慣れておくといいわよ!
map_0078#29	相手のアリーナを逆手に取る方法だって見つかるかもね!
map_0078#30	ジュリアの場合、エレキフィールドで同タイプの技がさらに強くなるし、爆発みたいな他の技にも電撃が加わるの!
map_0078#31	よくある話だけど、でんきタイプの攻撃に耐えられるポケモンがいれば、ほぼ勝ったも同然よ。
map_0078#32	それが無理なら、フルパーティで挑んで、HPの高いポケモンで耐えながら削っていくのが一番いいわ。
map_0078#33	それと、もう少し鍛える必要が出てきたら、大ホールに無料で戦ってくれるトレーナーがいるはずよ!
map_0078#34	頑張ってね!
map_0078#35	大ホールでは誰も出ないみたいだ……
map_0078#36	ネオサーキットボウリングへようこそ、あなたの一日をハッピーに大爆発させるお手伝いをいたします。
map_0078#37	……はあ、転職したい。
map_0078#38	ジュリア: よーし――よし、
map_0078#39	目を閉じたまま、もう少し進んで、それで……
map_0078#40	ジュリア: 開けて!
map_0078#41	ジュリア: やっと大ホールからゴーサインもらってさ、ドッカーン!
map_0078#42	機械は全部安全に地下に移動させて、メインエリアを丸ごと作り替えていいって許可が出たの――
map_0078#43	その通り――ボウリング場だよ!!!
map_0078#44	フロリニア: 彼女に聞いた時は、かなり驚いた。
map_0078#45	ボウリングをする人間だとは、思ってもみなかった。
map_0078#46	ジュリア: そこがポイントで――やったことないんだよね!!!
map_0078#47	人生で一回もボウリングしたことないの!
map_0078#48	でも今は!
map_0078#49	できる!
map_0078#50	あ、それに――それに!!!
map_0078#51	ジュリア: ボウリングの球――
map_0078#52	ストライク取ったら、エンドゾーンで爆発するの!
map_0078#53	ガーターボールだったら、
map_0078#54	戻ってきた時に爆発するんだよ!
map_0078#55	アーチャー: ……それは本当に安全なのか?
map_0078#56	マクスウェル: ……それって本当に大丈夫なのか?
map_0078#57	ジュリア: さあね!
map_0078#58	それに、ある意味あんたたちのアイデアなんだよ!
map_0078#59	ジムをもっと楽しくしろって言ったの、あんたたちじゃん!
map_0078#60	アーチャー: ……私は事業家であることに変わりはない、ということだろうな。
map_0078#61	あの電車の時、私がそういうことをやるかもしれないと思っていただろう?
map_0078#62	マクスウェル: へっ。まあ、少なくとも、とんでもない見世物にはなりそうだな。
map_0078#63	フロリニア: お前たちの懸念を払拭させてもらうならば、
map_0078#64	建設中、私が独断で、いくつかの安全対策を講じておいた。
map_0078#65	ビリリダマは、ガーターボールの時にだけ、小規模な「じばく」を行うよう訓練してある。
map_0078#66	象徴的な爆発だ。刺激的だが、害はない。
map_0078#67	エンドゾーンについては、
map_0078#68	壁には、13.7センチ厚の耐爆補強チタンを使用……
map_0078#69	機械のケーシングも同等の耐久性を確保……
map_0078#70	木製レーンには、独自に開発された耐性ポリッシュを施工……
map_0078#71	塗料に至っては、燃焼力を受けても欠けたり焦げたりしないよう、特注品を用いている。
map_0078#72	時折清掃は必要だろうが、耐久性は保証済みだ。
map_0078#73	ジュリア: アタシたちみたいだね!
map_0078#74	フロリニア: 我々が?
map_0078#75	ジュリア: アタシたちの友情だよ!
map_0078#76	フロリニア: 我々の友情は、13.7センチ厚のチタンで補強されているというのか?
map_0078#77	ジュリア: そう!
map_0078#78	いい時間をボウリングし続けるには、それくらいなきゃね!
map_0078#79	アーチャー: ……
map_0078#80	マクスウェル: ……
map_0078#81	ジュリア: さあ、誰が一戦やる!?
map_0079#0	状況はこちらで対処します。このワードに急ぎの用がなければ、下がっていてください。
map_0079#1	他に爆弾は見つかっていません。落ち着いてください。
map_0079#2	ここには見るものはありません。移動してください。
map_0079#3	分からないけど、瓦礫の落ち方から見て、爆弾は大階段の下に仕掛けられてたっぽいね。
map_0079#4	下に? てっきり全部詰まってるものだと思ってたよ。
map_0079#5	開いた! 何年も封鎖されてた大門が、ついに開いた!
map_0079#6	この驚異が何か気になるかい? 最近の子は、何にも知らないんだから。
map_0079#7	これが、リボーンシティの大門さ! 昔は、この街とアベンチュリン地方をつなぐ、主要な通路だったんだよ!
map_0079#8	でも、こんなに巨大なのに、もう何年も開いてなかったんだ。
map_0079#9	閉まっている。
map_0079#10	「営業時間: 午後8時~午前4時」
map_0079#11	壁に広告が貼られている……
map_0079#12	「驚異のアゲートサーカス!
map_0079#13	見世物師にピエロ、そして大混乱!
map_0079#14	今なら、あの名高きアゲートエーストリオも登場!
map_0079#15	リボーンリーグの3人のリーダーに挑み、豪快なショーダウンで対決しよう!
map_0079#16	アゲートシティのすぐ西!」
map_0079#17	リボーンナイトクラブへようこそ! ――エースメンバー限定――
map_0079#18	この日、人類は厳しい教訓を突きつけられた……
map_0079#19	前の方からすごい音が聞こえたんだけど! 何があったの?
map_0079#20	誰も怪我しなかったのが、せめてもの救いだよ。
map_0079#21	その意味では、奇妙な攻撃だったな。
map_0079#22	これでゴーリキーを進化させられる!
map_0079#23	ど、どうしてこんなことするの!?
map_0079#24	警官: おい、一般人は立ち入り禁止だ。
map_0079#25	安全が確認できるまで、下がっていてもらう。
map_0079#26	大階段がめちゃくちゃになったところで、どうせ誰も街から出られないんだしな。
map_0079#27	大門は何年も開いてないんだから。
map_0079#28	被害報告完了! 周辺構造物への被害は、最小限だったようです。
map_0079#29	つまり事故じゃなかったってわけか。分かってよかった。
map_0079#30	ああ。爆発のタイプからして、かなり制御された範囲だ。通常、都市の解体作業で使われるやつだな。
map_0079#31	大階段、ひどい有様だな……
map_0079#32	というか、爆破される前よりひどいくらいだ。
map_0079#33	カーネリアン山脈から流れ込む、こんなに美しく澄んだ水。
map_0079#34	この滝はアズリン湖に注いでいるから、この水も全部汚染されることになるんだろうな。
map_0079#35	さあさあ、いらっしゃい! シルフカンパニー最新にして最高の新製品、盛大なお披露目会だよ!
map_0079#36	屋内パン以来の大発明だ!
map_0079#37	スライス済み配管以来の便利さだよ!
map_0079#38	紳士淑女の皆様、ご紹介しましょう――「リンクストーン」です!
map_0079#39	ポケモンを進化させるために、信用できるかも分からないトレーナーを探して交換するの、もううんざりじゃないですか?
map_0079#40	成長させるためだけに手放さなきゃいけなくて、ポケモンと同じくらい胸を痛めていませんか?
map_0079#41	もう心配ご無用!
map_0079#42	リンクストーンなら、あなたの手元から離すことなく、ポケモンを強制的に進化させられます!
map_0079#43	シルフカンパニーの優秀な科学者たちが、この驚異の新しい石を作り出しました、
map_0079#44	実際の交換の際にポケモンを進化させる、あのエネルギーそのものが込められているのです!
map_0079#45	このリンクストーン、近日中に店頭に並びますが、皆さんは幸運です。
map_0079#46	今ここで、完全に機能する試作版のリンクストーンを、たったの1万ドルで手に入れられるんです!
map_0079#47	\G一番乗りで試してみませんか!? どうです!?
map_0079#48	はい、どうぞ! お客様、一名様ご満足!
map_0079#49	あなたには、少々お手頃じゃないようですね! 他にいらっしゃいますか?
map_0079#50	お好きにどうぞ。誰か試してみたい人は? 遠慮なさらずに!
map_0079#51	リンクストーンは、近日オブシディアデパートにて発売予定です!
map_0079#52	ファーン: ったく、このクソ警官ども、通してすらくれねえのかよ。
map_0079#53	ああ、テロの脅威があったのは分かるさ。
map_0079#54	でも、対処するのに市民の助けを受け入れるべきだろ。
map_0079#55	自分たちだけでどうにかできるなら、そもそもこんなことにはなってねえはずだ。
map_0079#56	自分たちの権力や方針にこだわりすぎて、それにすら気づいてねえんだよ。
map_0079#57	だからこそ、悪党どもが逃げ続けられるんだ――
map_0079#58	こっち側に、あいつらを止める根性のある奴が誰もいねえからな。
map_0079#59	オレほどの器の人間には、まだ対応できねえってわけか。
map_0079#60	ラピスワードに別のジムがあるから、そこを叩き潰す準備でもするか。
map_0079#61	じゃあな、負け犬。
map_0079#62	紹介しよう!
map_0079#63	お披露目だ!
map_0079#64	これ、結構かっこいいな……
map_0079#65	カイン: いたいた!
map_0079#66	オレがこいつの気を引いたら、すぐに逃げ出すんだ!
map_0079#67	どれくらい注意を引きつけていられるか分からねえからな。
map_0079#68	準備はいいか?
map_0079#69	カイン: よし来た。
map_0079#70	カイン: ったく、そんなにかわいい顔でもねえのにな。
map_0079#71	ま、いいわ。かえってやりやすいかもな。
map_0079#72	カイン: こんにちは、すみません?
map_0079#73	警官: 今は無理だ、坊主、忙しいんだ。
map_0079#74	カイン: あ――すみません、犯罪の通報をしたいんですけど。
map_0079#75	警官: 何だって――こんな状況で?
map_0079#76	どんな犯罪だ?
map_0079#77	カイン: その、あの……
map_0079#78	打たれたんです。
map_0079#79	警官: 誰にやられたんだ? いつだ?
map_0079#80	カイン: ……本当にここで言っていいのかな。
map_0079#81	誰か見てるかもしれないし……
map_0079#82	警官: ……まあ、持ち場は離れられないが。
map_0079#83	ほら、こっちに来て話せ。
map_0079#84	警官: 何があったのか、正確に話してくれないか、坊主?
map_0079#85	カイン: ええと、言った通り、打たれたんです……
map_0079#86	……あなたの見事な男前っぷりに~
map_0079#87	警官: な……何だって?
map_0079#88	カイン: よし、準備万端か確認しないとな。
map_0079#89	あなたが「はい」って言ってくれるまで、待ってますよ~
map_0079#90	あ! これ、うちのユンゲラーに買ってあげようかな!
map_0079#91	1万ドル!? うわあ!
map_0079#92	最近の技術はすごいなあ……
map_0079#93	カイン: ごめんごめん!
map_0079#94	ただの冗談ですよ、はは~
map_0079#95	実は、ちょっと道に迷っちゃって。
map_0079#96	警官: 迷った? この辺の人間じゃないのか?
map_0079#97	カイン: あ、いや、街の少し外で育ったんです。
map_0079#98	でも、あなたの瞳に迷い込まずにはいられなくて~
map_0079#99	警官: 坊主、本当の通報でないなら、立ち去ってもらうしかないな。
map_0079#100	カイン: すみません――緊張しちゃって、遠回しになってました。
map_0079#101	実を言うと、
map_0079#102	あなたの魅力的すぎるところが、罪なくらいで~
map_0079#103	警官: 坊主。
map_0079#104	警官: もう家に帰ってもらうしかないな。
map_0079#105	カイン: あ、それは大丈夫です。
map_0079#106	だって、あなたの腕の中こそが、オレの帰る場所って気がしてならないので~
map_0079#107	警官: 一体お前、ここで何をしようとしてるんだ?
map_0079#108	カイン: 何をしようとしてるかって?
map_0079#109	あなたを~
map_0079#110	分かりきってるじゃないですか?
map_0079#111	警官: これは、報告書を書かないといかんな。
map_0079#112	カイン: おおっ、手錠を出すつもりですか?
map_0079#113	警官: 坊主、これはセクハラとして処理できるんだぞ、分かってるか?
map_0079#114	カイン: はいはい、分かりました!
map_0079#115	冗談はここまでです。本当に不快にさせるつもりはなかったんで。
map_0079#116	実は、友達に度胸試しでやらされたんですよ。
map_0079#117	警官: ふーん。
map_0079#118	お前の情報を控える間、ここに留まってもらうぞ。
map_0079#119	警官: カイン・ラルー……
map_0079#120	住所は?
map_0079#121	ないんです。
map_0079#122	冗談抜きで、警官さん。
map_0079#123	警官: ……やれやれ、これは面倒なことになりそうだ。
map_0079#124	リンクストーン? バカげてる!
map_0079#125	ヴィクトリア: わたしと戦ってください。
map_0079#126	ヴィクトリア: また、ここに戻ってきました。
map_0079#127	こちらを向いて、湖を見渡すと、
map_0079#128	ここからアカデミーが見えます。
map_0079#129	あそこがわたしの家です。
map_0079#130	まるで何も変わっていないみたい。
map_0079#131	でも、すぐ後ろには爆破現場。
map_0079#132	現実離れしています。
map_0079#133	それで、わたしは何をしたでしょうか。
map_0079#134	前にあなたと組んでチームメテオを止めようとしたのに、役立たずのお姫様みたいに、あっさり捕まってしまいました。
map_0079#135	それを受け入れるわけにはいきません。
map_0079#136	\PN、逃げ出す機会をくれたこと、心から感謝しています。
map_0079#137	わたしと戦ってください。
map_0079#138	ここで本当に力になりたいなら、もっと学んで、ずっと強くならないといけません。
map_0079#139	どうですか?
map_0079#140	ヴィクトリア: よかった!
map_0079#141	全力全開で、アポフィルアカデミー流の戦い方の情熱を見せてあげます!
map_0079#143	ヴィクトリア: もっとちゃんと戦えなかったこと、少しがっかりしていないと言えば嘘になりますが、
map_0079#144	最近は、理想的な環境で練習できていたわけでもありませんし。
map_0079#145	時間を割いてくれて、ありが――
map_0079#146	ファーン: ふぁあああああ~
map_0079#147	ファーン: どっちもしょぼい試合だったな。
map_0079#148	ヴィクトリア: そうですか。
map_0079#149	ファーン: 寝ててもオレの方がマシだったろうぜ!
map_0079#150	ヴィクトリア: ……お会いしたことはないと思いますが。
map_0079#151	ファーン: それはお前の損だな。
map_0079#152	名前はファーン。
map_0079#153	クールな野郎で、トップの座にいる男――そういうやつだ。
map_0079#154	バトルじゃ楽勝だったが、目にはもっと楽しいぜ。
map_0079#155	ヴィクトリア: 失礼ですが?
map_0079#156	ファーン: おいおい、笑えよ!
map_0079#157	褒めてんだぜ、お嬢さん。
map_0079#158	今度、一緒に遊ばねえか?
map_0079#159	お前とオレでな。
map_0079#160	ヴィクトリア: いえ、遠慮しておきます。
map_0079#161	ファーン: お前の損だぜ!
map_0079#162	そのでかいおでこじゃ、あんまりモテねえだろ。
map_0079#163	ヴィクトリア: これ以上話すと、後悔しますよ。
map_0079#164	ファーン: おお、\PNみたいな雑魚に瞬殺された女に、めちゃくちゃビビっちまうぜ。
map_0079#165	ヴィクトリア: \PN、この人と知り合いなんですか?
map_0079#166	ファーン: 一、二回ウィングマンやってもらったことがあるだけだ、それだけだぜ。
map_0079#167	ファーン: 一、二回ウィングマンやってもらったことがあるだけだ、それだけだぜ。
map_0079#168	ファーン: 一、二回ウィングマンやってもらったことがあるだけだ、それだけだぜ。
map_0079#169	ヴィクトリア: あら、それなら、わたしがこの人をボコボコにしても構わないんですね。
map_0079#170	ファーン: できるもんならな!
map_0079#171	言っとくが、オレは今、とんでもない連勝中なんだぜ!
map_0079#172	三個目のバッジも、赤ん坊から飴を取るようなもんだったな。
map_0079#173	あのちんちくりんなリーダーも、最後には赤ん坊みたいに泣いてたしよ。
map_0079#174	恥さらしもいいとこだぜ。
map_0079#175	シェリーみたいなのがジムリーダーになれるんだから、フロボットが入り込むのも無理ねえよな。
map_0079#176	それはそうと、\PN、リベンジマッチでもどうだ?
map_0079#177	そろそろやるべき頃合いだし、この女に構ってる時間は無駄だしな。
map_0079#178	ヴィクトリア: 30秒前、わたしを誘ってきませんでしたか?
map_0079#179	ファーン: 憐れみでだよ。
map_0079#180	ヴィクトリア: ……
map_0079#181	どうぞ、やってください!
map_0079#182	わたしが本気で後悔させる前に、\PNに戦ってもらった方がいいですね。
map_0079#183	ほら、まずチームを回復させてあげます。
map_0079#184	ヴィクトリア: わたしの代わりに、こてんぱんにしてやってくださいね?
map_0079#185	ファーン: できるわけねえだろ!
map_0079#187	ヴィクトリア: はっ!
map_0079#188	今のその大口はどこ行ったんですか!?
map_0079#189	ファーン: \PNが勝てたのは、卑怯な戦い方したからだけだ、
map_0079#190	まあ、勝手に言ってろよ。
map_0079#191	夜安眠できるならどうぞってな。
map_0079#192	つまらない小細工や当てずっぽうじゃ、リーグではそう長く続かねえぞ。
map_0079#193	お前が行き詰まって、こいつみたいな底辺どもとつるむ羽目になった頃には、オレはチャンピオンの座から見下ろしてるだろうぜ。
map_0079#194	じゃあな、負け犬ども!
map_0079#195	ヴィクトリア: ふん、そんなこと言っておいて、結局尻尾巻いて逃げるだけなんでしょうね!
map_0079#196	言ったことを貫く誠実さも根性も、あなたにはないんだから!
map_0079#197	どうせ口先だけで大した中身もないくせに!
map_0079#198	ヴィクトリア: なんて最低な男!
map_0079#199	ヴィクトリア: ……いえ、これは品位に欠けますね……
map_0079#200	簡単な呼吸法を……
