map_0888#180	でも、誰かがあの伝説どもを捕まえに行かなきゃいけないだろ。
map_0888#248	エース: ああ、また舞台に立てるとは、これほど嬉しいことはないねぇ〜
map_0888#249	ゼロ: 待て、エースか？
map_0888#250	一体どこに行ってたんだよ？
map_0888#251	エース: とんだ邪悪な魔法の彼方に、と言っておこうか、
map_0888#252	タカ: エ、エース？
map_0888#253	また会えて――嬉しいよ。
map_0888#254	前は一体、何があったの？
map_0888#255	エース: とんだ邪悪な魔法の類、とだけ言っておこうか、
map_0888#256	だが、他の演者のタネを明かすなど、あってはならないことでね。
map_0888#257	いや、いや。
map_0888#258	今この瞬間は、我が舞台なのだから。
map_0888#259	そして、これ以上ない観客に恵まれたというわけだ。
map_0888#260	さあ、幸運な志願者は一人、前へ！
map_0888#261	エース: 君だ、そこの君で結構。
map_0888#262	なに、簡単なことさ、くるりと回って、かかとを三度打ち鳴らし、こう唱えるだけ――
map_0888#263	エース: 家族に勝るものなど、どこにもない。
map_0888#264	エース: 家族に勝るものなど、どこにもない。
map_0888#265	エース: 家族に勝るものなど、どこにもない。
map_0888#266	エース: つまり――誰一人、いなかったというわけだ。
map_0888#267	エース: 慌てるでない、小さな英雄よ！
map_0888#268	君の運命は、あの子とは違うのだから。
map_0888#269	そう、君は――裏切り者などではないのだからな。
map_0888#270	せいぜい、一度の裏切りに留まるものだろう――あの小さな王子が、君にあれだけしてくれたというのに、戦うのを拒んだという程度の。
map_0888#271	だが、いや。
map_0888#272	なに、より芝居がかった言い方をする者なら、こう言うだろう――心が張り裂けた、とね。
map_0888#273	ああ、だが、誰をだましているつもりだったのやら？
map_0888#274	そう言うために必要なだけの芝居っ気なら、私はちょうど持ち合わせているとも。
map_0888#275	私が姿を消してから、一体誰が私を探した？
map_0888#276	私を覚えていて、なおかつ探し出そうとする――さして大した苦難でもなかろうに、それをやってのけたのは誰だ？
map_0888#277	小さな王子だったか？
map_0888#278	いや、彼は隠れるのに忙しかったからな。
map_0888#279	黒装束の我らが友か？
map_0888#280	ああ、だが彼はまるで彼自身ではなかった、
map_0888#281	それが誰を意味するのかすら、定かではなかったろうよ。
map_0888#282	我らが正当なる指導者か？
map_0888#283	せめて、私の警告が届いていればな。
map_0888#284	彼の執事は？
map_0888#285	自分の理想にかまけすぎていたようだ。
map_0888#286	分かるかな、小さな英雄よ？
map_0888#287	この家族のために、私が一体どれだけ骨を折ったと思う？
map_0888#288	誰か一人からでも、いなくなって寂しいと思われるほどの気遣いを得るのに、一体どれだけ骨を折るべきだったのだろうな？
map_0888#289	いつも言っている通り、忠誠心など幻想なのだよ！
map_0888#290	だが、ティタウィンが私をデジタルの世界に閉じ込めるまでは――
map_0888#291	箱切りの奇術に閉じ込められた乙女さながら、ファイアウォールに囚われて、
map_0888#292	その間ずっと、知り合い全員が私のことをすっかり忘れていくのを見ていた……
map_0888#293	その時になって初めて、自分自身がどれほどあの嘘を信じる必要があったか、思い知ったのだよ。
map_0888#294	そして、それが嘘でなくて何だというのだね？
map_0888#295	世界に見たい変化があるなら、自分がその変化になれ、と言うだろう？ ノン？
map_0888#296	自分が望んでいた家族に、自分自身がなればいい、とね。
map_0888#297	まあ、試してはみたが、その結果がどうなったか、君にも分かるだろう。
map_0888#298	だから今度は、別のことを試してみようじゃないか。
map_0888#299	真実に真正面から向き合うには――ここは私には、少々寒すぎるようだ。
map_0888#300	エース: ああ。
map_0888#301	さて、これでよくなったのではないかね？
map_0888#302	急に凍えるように寒かったのも、道理というものだ。
map_0888#303	次に異世界のデジタル空間の虚無に吸い込まれるようなことがあれば、あの神もどきの子供には、せめて熱帯地方に放り込んでもらうよう頼まねばなるまいな。
map_0888#304	まあ、どうでもいいことだ。
map_0888#305	救い出してくれたこと、感謝するとしよう、小さな英雄よ～
map_0888#306	しかるべき拍手喝采を――
map_0888#307	だがその前に！
map_0888#308	終わらせるべき呪いに、直すべき逆転劇があるとも！
map_0888#309	ゼロ: えーと……
map_0888#310	よし、まあこうなるよな。
map_0888#311	お前……本当にエースなのか？
map_0888#312	エース: ああ、その問いを君の口から聞くとは、なんとも愉快なことだねぇ〜
map_0888#313	だが、今の私はきちんと自分を制御できているとも、そうだ。
map_0888#314	その……先ほどのことは、詫びておこう。
map_0888#315	ゼロ: いや、もっとひどいのも経験してるからな。
map_0888#316	お前はその、あー……
map_0888#317	本当に、いなくなってた間ずっと、あんな風に閉じ込められて全部見てたのか？
map_0888#318	エース: 同語反復的に言えば、そうだったに違いないな！
map_0888#319	それがどれほどの長さだったにせよ。
map_0888#320	しばらくすると、それはある種の朦朧状態のようなものになっていった。
map_0888#321	一日に四度も目を覚ましたのに、それが何日のことなのか、いまだにはっきりしない――そういう類の感覚だ。
map_0888#322	もっとも、最初のうちは、それなりに意識ははっきりしていたがね。
map_0888#323	ティタウィンがジバコイルのデータの大半を、先週の生ゴミか何かのように捨てるのを見ていたこと、あまりにも鮮明に覚えているよ。
map_0888#324	\PNがそれと戦ったとき、何が起きるのか、私には正確に分かっていた。
map_0888#325	君を即座に殺すつもりだったんだ、分かるかね？
map_0888#326	私が閉じ込められていた箱からは、ひどく限られたアクセスしかなかったが、それでも君を生かしておくのに十分なことができて、良かったと思っているよ。
map_0888#327	ゼロ: 待て、お前、墓の向こうから俺の命を救ってたのか？
map_0888#328	エース: 実際のところ、墓の向こうというより、デジタルの牢獄といった方が近いのだがね……
map_0888#329	まあ、君がそう信じたいなら、それでも構わないとも！
map_0888#330	議論の余地はあるが、二度もやってのけたのだからな！
map_0888#331	これぞ魔法、といったところではないかね？
map_0888#332	ゼロ: ……二度？
map_0888#333	エース: ラブラドラでのこと、覚えているかね？
map_0888#334	あの娘――フロリニアだったか――に、アクセス権を押し出してやることができたのだよ。
map_0888#335	重労働の大半は彼女がこなしたが、私がいなければ、彼女はデジタルの扉に、いわゆる片足すら踏み入れられなかっただろうよ。
map_0888#336	まあ、君が私をあそこから引っ張り出してくれたことで、これは公平な恩返しということにしておこうか！
map_0888#337	つまるところ、もっと多くをなせなかったことを、ただ嘆くばかりだよ。
map_0888#338	だが、それがユーザー権限というものだからな！
map_0888#339	それとネットワーク周りは、いつだって最も厄介な悪夢というものだ。
map_0888#340	ゼロ: まあ、ありがとな……
map_0888#341	その、埋め合わせに、もうちょっと頑張ってお前を助けるべきだったんじゃないかって気がしてきた。
map_0888#342	エース: いやいやいや、そんなことはない！
map_0888#343	君はすでに十分すぎるほどやってくれた、それに率直に言えば、君が自分の足でしっかり立っているのを見られて、ただ嬉しいのだよ！
map_0888#344	もっとも、本当に埋め合わせをしたいというのなら、一度に片付けられる問題がひとつ、あるにはあるがね――
map_0888#345	タカ: あ……
map_0888#346	また戻ってきた、ってことなのかな。
map_0888#347	また戻ってきたね。
map_0888#348	エース: 心からの詫びを、小さな王子よ。
map_0888#349	タカ: それは、その、大丈夫だよ？
map_0888#350	念のため言っておくけど、僕の方こそごめん。
map_0888#351	何が起きたのか、分かってなかったんだ。
map_0888#352	もっとも、分かっていたとしても……
map_0888#353	エース: 暴れ回る子供の神様相手には、できることなどほとんどなかった、それは分かっているとも。
map_0888#354	ましてや、あの手に負えないペットの恐竜については、なおさらだ。
map_0888#355	……私は、あの箱の中から、自分にできるささやかな方法で助けようとしたのだよ。
map_0888#356	ラブラドラでのこと、覚えているかね？
map_0888#357	タカ: え？
map_0888#358	エース: あの娘――フロリニアだったか――に、アクセス権を押し出してやることができたのだよ。
map_0888#359	……こうしてここに立ち、君に再び会えたのだから、あれが無駄ではなかったのだと、ただ感謝するばかりだよ、小さな王子。
map_0888#360	いや、今この時ばかりは、いかなる詫びも受け付けないとも。
map_0888#361	タカ: ううん、分かるよ。
map_0888#362	\PNも、僕を同じような窮地から引っ張り出してくれたんだ。
map_0888#363	君が戻ってきてくれて、それだけで嬉しい。
map_0888#364	エース: おや、ちゃんと気にかけてくれているのだね！
map_0888#365	それに、少しもやつれた様子がないではないか！
map_0888#366	タカ: 見つけるのに、こんなに時間がかかっちゃってごめん。
map_0888#367	何が起きたのか、僕らには全然分からなくて、それで……
map_0888#368	まあ、あの頃の自分の行動を、あんまり誇りには思えないんだけど。
map_0888#369	エース: だが、それこそが君の成長の証というものだよ！
map_0888#370	いやいやいやいや、今この時ばかりは、君からのいかなる詫びも受け付けないとも！
map_0888#371	ましてや、あのまやかしの煙の魔法にかかって、私が何をぶつぶつ呟いていたにせよ、な。
map_0888#372	こうしてちゃんと再会できたことを、二人ともただ感謝しようではないか！
map_0888#373	たとえ、あの一団が丸ごとほどけて崩れてしまったのだとしても――
map_0888#374	私は、あいにくそれを何もできずに見ているという不愉快な役目を負っていたわけだが――
map_0888#375	少なくとも、私たちには正気と健康が残っている。
map_0888#376	タカ: それに、自由もね。
map_0888#377	これからは、自分たちで選択できる。
map_0888#378	たとえば……僕らがどんな家族になりたいか、とかね。
map_0888#379	エース: ああ、まだそんなたわ言を続けなければならないのかね？
map_0888#380	タカ: 大丈夫だよ。
map_0888#381	その、あれが本当のエースじゃなかったのは分かってるけど……
map_0888#382	それでも、何かは残ってるんだよね？
map_0888#383	あのとき、僕のためにわざわざそこまでしてくれたこと、本当に感謝してるんだ。
map_0888#384	どうやってかは分からないけど、埋め合わせをしたいと思ってる。
map_0888#385	戻ってきてくれて、嬉しいよ。
map_0888#386	えっと、僕が言いたいのは、
map_0888#387	チームメテオはもう終わったけど、
map_0888#388	それでも君は、僕の家族でいてくれていいんだ。
map_0888#389	会いたかったよ。
map_0888#390	エース: ああ、小さな王子よ、君は相変わらず優しいのだね。
map_0888#391	しかも今は、それを育て、示す余裕まであるというわけだ！
map_0888#392	なんとも幸福な結末に、私は転がり込んだものだよ。
map_0888#393	結局のところ、あの短気な神もどきの子供にも、礼を言うべきなのかもしれないな。
map_0888#394	タカ: そこまではしなくていいよ。
map_0888#395	エース: とはいえ、感謝していないことを、一つ教えてやろう――
map_0888#396	タカ: エース。
map_0888#397	こういうことには、火をつける火花が必要だって、僕は身をもって知ってるんだ。
map_0888#398	チームメテオが解体されたとしても、これだけは分かっておいてほしい、
map_0888#399	君はまだ、僕の家族だってこと。
map_0888#400	これからは、もっと君に応えられるようにするから。
map_0888#401	分かった？
map_0888#402	エース: あはは。
map_0888#403	赤面してしまいそうだよ。
map_0888#404	よろしい、小さな王子よ――
map_0888#405	ああ、だが今となっては、小さな王、と呼ぶべきかな？
map_0888#406	タカ: ううん、このままでいいよ。
map_0888#407	少なくとも、今はまだ。
map_0888#408	もう十分、色々変わりすぎたから。
map_0888#409	エース: 望み通りに〜
map_0888#410	さて、変わっていないものと言えば――
map_0888#411	この忌々しい寒さだ。
map_0888#412	そろそろこの場所を後にしないかね？
map_0888#413	ゼロ: 賛成だ。
map_0888#414	一緒に来るか？
map_0888#415	ゼロ: よし。急ぐぞ。
map_0888#416	ゼロ: お前が一番分かってるんだろうな。
map_0888#417	クラブでまた会おう。
map_0888#418	タカ: うん、もちろん。
map_0888#419	みんな一緒に出るの？
map_0888#420	タカ: もちろん。
map_0888#421	みんなで一緒に行こうか？
map_0888#422	タカ: いいと思うよ。
map_0888#423	……でも正直、帰り道でまたあのヒマナッツを見るのは気が進まないな。
map_0888#424	あんなに小さいのに、結構痛かったし……
map_0888#425	エース: ヒマナッツ？
map_0888#426	ここに？
map_0888#427	タカ: えっと……
map_0888#428	気にしないで。
map_0888#429	タカ: 好きにして。
map_0888#430	外では気をつけて。
map_0888#431	怒れる小さい子供たちに噛まれないようにね。
map_0888#432	キャアァァァアァグ！！！
map_0888#433	キュレム: ラァァァグ！
map_0888#434	ゼロ: あれで最後だよな？
map_0888#435	これでこの場所も、一段落ってところか。
map_0888#436	デスクの裏でも、現場でも、それなりにサポート役を果たせるって分かったのはよかったな。
map_0888#437	……でも、そろそろ戻る時間か。
map_0888#438	できれば、あいつが――になる前に――
map_0888#439	タカ: 全部捕まえた？
map_0888#440	チャンピオンなら、それくらい当然だよね。
map_0888#441	全部終わったなら、ここを出よう。
map_0888#442	僕はただの一人の人間だけど、結構運がいい方だと思うんだ。
map_0888#443	いつも楽しかったわけじゃないけど、僕が経験してきた全部を経て、それを語れるくらい生き延びられる人って、そう多くないと思うから。
map_0888#444	この先を自分で決められることが、楽しみなんだ。
map_0888#445	それが何になるかは分からないけど、少なくとも自分で選べる。
map_0888#446	それだけでも、今までの僕にはなかったことだから。
map_0888#447	それに、チャンピオンと一緒に過ごせるのは、いつだって嬉しいおまけだよね？
map_0888#448	でも、全部終わったなら、ここを出よう。
map_0888#449	あんまり長居すると、風邪を引いちゃうかも。
map_0888#450	……それか、もっと悪い何かに。
map_0888#451	エース: そうだったに違いないな！
map_0888#452	はい
map_0888#453	いいえ
map_0889#0	ノエル: ここが幹の頂上のはずです。
map_0889#1	ノエル: 色があれば、もっと見栄えがするのでしょうね。
map_0889#3	これを引き起こしている原因は、この近くにあるはずです。
map_0889#4	ノエル: おそらく、また別のアノマリーです。
map_0889#5	ノエル: 何かバリアのようなものが、行く手を阻んでいますね？
map_0889#6	なるほど。
map_0889#7	私の代わりにイヴがここに来ていたら、何かできたかもしれません。
map_0889#8	ノエル: 今のは――
map_0889#9	ヘザー: 通るわよ！！！
map_0889#10	ヘザー: グルルルル！！！
map_0889#11	これでまた、あのバカな奴、回復しちゃうじゃない！
map_0889#12	このバカみたいなバリア、マジでもうウンザリなんだけど！
map_0889#13	ヘザー: あのイベルタル、森から色を食い尽くしてるのよ！
map_0889#14	そいつのねぐらがちょうどこの上にあって、回復するたびそこに戻っちゃうんだけど、こんなバカみたいな壁がどんどん現れて、たどり着けないのよ！
map_0889#15	そもそも入り口を見つけるだけでも大変だったのに、今度は出口まで塞がっていくし！
map_0889#16	ヘザー: ……しかも、あれがずっと起き続けてるし！
map_0889#17	あれの原因なんて全然分かんないけど、それを確かめるためにここに残りたいとは思わないわね！
map_0889#18	ボーマンダも疲れてるし、バリアも迫ってきてる――あんたたちをここから連れ出してあげる！
map_0889#19	ノエル: ……いえ、大丈夫です。
map_0889#20	ヘザー: は！？ 「大丈夫」ってどういうこと！？
map_0889#21	ノエル: 私は残ります。
map_0889#22	何なのか突き止められれば、少なくとも役に立てますから。
map_0889#23	ヘザー: 気絶させられたら、役になんて立たないでしょ！
map_0889#24	ノエル: そのリスクは引き受けます。
map_0889#25	ヘザー: は――
map_0889#26	うわあああ、もう全部イライラするんだけど！
map_0889#27	はいはい、勝手に土のベッドで昼寝でもしてれば！
map_0889#28	\PN、あんたは連れ出すからね、このバリアが何なのか突き止めて、直してよ！
map_0889#29	しっかりつかまって――離陸するわよ！
map_0889#30	ノエル: イベルタルが、色が失われた原因です。
map_0889#31	でも、色を食べようとしたわけではありません。
map_0889#32	そうせざるを得なかったのです。
map_0889#33	ただ、置かれた世界の中で存在しようとしていただけです。
map_0889#34	ノエル: では、イベルタルにも対処したのですね。
map_0889#36	それでも、まだこの状態のままです。
map_0889#37	問題の原因を取り除いたからといって、元に戻る理由があるわけではないのでしょう。
map_0889#38	残念です。
map_0889#39	ノエル: 自分がそこにあるべきだと決めた色を眺めるのは、いいものですね。
map_0889#40	でも、私にできることは、まだあります。
map_0889#41	少し時間をください。
map_0889#42	アンナのところに連れていきます。
map_0889#43	リンのところに連れていきます。
map_0889#44	少し手がかりが必要なだけです……
map_0889#45	ノエル: アンナのところへ行く方法が分かりました。
map_0889#46	ノエル: リンのところへ行く方法が分かりました。
map_0889#47	というより、正確には、あなたを彼女の場所に送り込める、という感じですが、
map_0889#48	おそらく。
map_0889#49	ただ、必要なものが二つあります。
map_0889#50	一つ目: メテオを取り除いてもらう必要があります。
map_0889#51	つまり、あの大きいものです。
map_0889#52	あれには、彼女のものがあまりに多くついていて、視界を塞いでいます。
map_0889#53	ギラティナが、あなたのためにそれをやってくれるはずです。
map_0889#54	二つ目: 彼女がいる場所を見たことがある人が必要です。
map_0889#55	その人物は、ファーンです。
map_0889#56	……すみません。
map_0889#57	ファーンは、アンナ以外で唯一、彼女のいる場所に行ったことがある人物です。
map_0889#58	彼は以前そこにいて、リンに負けました。
map_0889#59	ファーンは、リン以外で唯一、彼女のいる場所に行ったことがある人物です。
map_0889#60	彼は以前そこにいて、負けました。
map_0889#61	「以前」といっても、たとえば一時間前、というような意味ではありません。
map_0889#62	たとえば、一つの時計前、というような意味です。
map_0889#63	アンナが言いたかったことが、少し分かってきました。
map_0889#64	彼女が見たもの、そしてそれを筋道立てて語ることがどれほど難しいか、ということです。
map_0889#65	彼が石になっているのが見えます。
map_0889#66	それも直さなければなりません。
map_0889#67	ギラティナをメテオに連れていき、ファーンをここに連れてきてください。
map_0889#68	それらは、ベリルどうくつとタンザン深部にある、ニューワールドの入り口でした。
map_0889#69	そうすれば、あなたをアンナの場所に送り込めます。
map_0889#70	そうすれば、あなたをリンの場所に送り込めます。
map_0889#71	ノエル: なるほど。
map_0889#72	では、始められます。
map_0889#73	ファーン: それで、オレたちここで一体何やるんだ？
map_0889#74	\PNが来た今なら、本当のこと教えてくれんのか？
map_0889#75	ノエル: あなたは何もする必要はありません。
map_0889#76	待っているだけでいいです。私が扉を作りますから。
map_0889#77	ファーン: 「扉」って、どういう意味だよ？
map_0889#78	なんでオレがここにいるんだよ？
