map_0850#327	ティタニア: もうやめて。
map_0854#70	シグムンド: お姉ちゃんの調子は?
map_0854#71	母: 眠ってる。
map_0854#72	それだけよ。
map_0854#73	これからは、あの子の体調はあなたが気にすることじゃないの。
map_0854#74	勉強に集中しなさい。
map_0854#75	母: 行きなさい。
map_0854#76	母: シグムンド。
map_0854#77	母: あそこには近づかないで。
map_0854#78	わかった?
map_0854#79	シグムンド: リジー。
map_0854#80	これを飲めば楽になるって、母さんが。
map_0854#81	エリザベス: そりゃそう言うでしょうよ――飲まされるのはママじゃないんだから!
map_0854#82	うぇ……今朝のお茶、ゴーリキーのお尻みたいな味だった。
map_0854#83	ねえ、学校の初日どうだった?
map_0854#84	友達できた?
map_0854#85	シグムンド: 僕は……友達を作りに行ってるわけじゃないよ。
map_0854#86	学びに行ってるんだ。
map_0854#87	エリザベス: オッケー、でも両方やりなよ!
map_0854#88	もう、このお茶に一体何したのよ?
map_0854#89	シグムンド: またゴーリキーのお尻?
map_0854#90	エリザベス: むしろビッパのケツの穴って感じ!
map_0854#91	シグムンド: ぶふっ――
map_0854#92	エリザベス: ねえ、その……これ、鉢植えのどれかに捨てちゃってくれない?
map_0854#93	助けて、シグムンド!
map_0854#94	あなたにしかできないの!
map_0854#95	シグムンド: もちろん。
map_0854#96	エリザベス: この気持ち悪いお茶、そのへんの植木にでも捨てちゃって。
map_0854#97	植物にはよくないだろうけど、誰かが犠牲にならなきゃね……
map_0854#98	エリザベス: 学校で友達が何人かできても、ママとパパに知られる必要はないんだからね!
map_0854#99	考えといて。
map_0854#100	エリザベス: それで……
map_0854#101	また薬か。
map_0854#102	ねえ、シギー?
map_0854#103	本当に、私のどこかおかしいと思う?
map_0854#104	エリザベス: お医者様がそう言うんだから、きっとそうなんでしょうね……
map_0854#106	エリザベス: ……
map_0854#107	私にもわからない。
map_0854#108	だから、どうして……
map_0854#109	どうしてこんなことに?
map_0854#110	まあ、あなたはまだ宿題があるんだよね。
map_0854#111	「私の方が大変」ばっかり言う人にはなりたくないんだけど――
map_0854#112	学校に行って人に会えるなら、宿題くらい喜んで引き受けるのに。
map_0854#113	ずっとここに閉じ込められてたら、おかしくなっちゃう。
map_0854#114	でも、それが一番いいって言うから……
map_0854#115	わかんないよ、シギー。
map_0854#116	本当に、わかんない……
map_0854#117	エリザベス: もしかしたら、私のどこかおかしいのかもね。
map_0854#118	他の人なら、こんな状況でも幸せでいられるはずだもんね?
map_0854#119	シグムンド: リジー、お薬を飲まなきゃって、母さんが。
map_0854#120	シグムンド: ……リジー?
map_0854#121	エリザベス: シギー……
map_0854#122	シギー、これ嫌い……
map_0854#123	シグムンド: ごめん……?
map_0854#124	薬のこと?
map_0854#125	リジー: 私、その――
map_0854#126	自分じゃないみたいな感じがするの、
map_0854#127	これを飲んでると……
map_0854#128	やっと戻ってきた気がしても、
map_0854#129	また次の分の時間になっちゃう……
map_0854#130	シギー――
map_0854#131	シギー、飲まなきゃだめ?
map_0854#132	シグムンド: お医者様が、これが一番よくなる方法だって言ってた……
map_0854#133	シグムンド: 飲んで本当に辛いなら、無理して飲まなくていいと思う。
map_0854#134	お医者様に相談してみようよ。
map_0854#135	エリザベス: ただ――
map_0854#136	そこに置いといて。
map_0854#137	疲れた……
map_0854#138	シグムンド: うん。
map_0854#139	何かあったら言ってね。
map_0854#140	エリザベス: あ、シギー……
map_0854#141	私の友達、見た?
map_0854#142	前の学校からわざわざ会いに来てくれたの。
map_0854#143	すごくない?
map_0854#144	でも心配させちゃったかも――
map_0854#145	本当に、無理で……
map_0854#146	だって、私は――私じゃないから、
map_0854#147	わかる?
map_0854#148	わかんない……
map_0854#149	慣れてきてるのかな?
map_0854#150	こんな感じなのかな……
map_0854#151	大丈夫だよって言ってくれた。
map_0854#152	昨日の夜流れ星を見て、私が元気になるようにって願ったんだって。
map_0854#153	優しいよね?
map_0854#154	でも、ずっと気になってたことがあって……
map_0854#155	流れ星ってサンタさんみたいなものだと思う?
map_0854#156	ほら、一晩で世界中を回れちゃうみたいな――
map_0854#157	一つの流れ星に何人もお願いしたら、全部叶えてくれるのかな?
map_0854#158	それとも一つだけ?
map_0854#159	ずっと気になってた……
map_0854#160	もし早い者勝ちみたいな感じだったら……
map_0854#161	誰かの願いを奪っちゃうのは嫌だから、
map_0854#162	わかる、シギー?
map_0854#163	私にはそんな価値ない――
map_0854#164	私は――そんな価値、ないから……
map_0854#165	エリザベス: 私のせいで、誰かが傷つくのは嫌なの……
map_0854#166	それはあなたも、シギー――
map_0854#167	エリザベスは、静かに眠っている。
map_0854#168	シグムンド: リジー、起きてる。
map_0854#169	エリザベス: たぶん……
map_0854#170	時々よくわからなくなる……
map_0854#171	でも全部が痛くて――
map_0854#172	シグムンド: え?
map_0854#173	エリザベス: ただ――どう説明したらいいか――
map_0854#174	あの薬をやめてから――
map_0854#175	眠れない。でも起きてる感じもしない……
map_0854#176	泣きたいのに、泣けない――
map_0854#177	皮膚がきつすぎるみたいに感じるの……
map_0854#178	ママは今いない――食べ物を買いに行ってる……
map_0854#179	シギー――何かできることないの……?
map_0854#180	あるかもしれない……
map_0854#181	ピチュー。
map_0854#182	ピチュー: ピィピィ!
map_0854#183	シグムンド: 思ったより早いけど、今やってみよう。
map_0854#184	優しく、練習した通りにね。
map_0854#185	ピチュー: ピィィ……
map_0854#186	チュゥゥ!!!
map_0854#187	エリザベス: あっ!
map_0854#188	あ……
map_0854#189	シグムンド: ごめん、強すぎた?
map_0854#190	エリザベス: ……ああ、わかんない……
map_0854#191	シグムンド: 気分はどう?
map_0854#192	エリザベス: 実は……ちょっとマシかも。
map_0854#193	シグムンド: 本当に?
map_0854#194	ピチュー: ピィピィピィ!
map_0854#195	エリザベス: うん……それが――
map_0854#196	眠れそうな気がする。
map_0854#197	シギー、ありがとう……
map_0854#198	シグムンド: 力になれるなら何でも。
map_0854#199	ゆっくり休んで、リジー。
map_0854#200	お帰りなさい、あなた。
map_0854#201	シグムンド: 大丈夫、頑張れてる?
map_0854#202	エリザベス: まだ最悪――もう一回やってくれる?
map_0854#203	シグムンド: でも母さん、隣の部屋にいるよ……
map_0854#204	エリザベス: 大丈夫、静かにやればいいから。
map_0854#205	でも、こんなのいつまでも続けられない……
map_0854#206	もう二週間くらい経つのに――あの薬、私に一生残る何かをしたんじゃないかって、本気で思う……
map_0854#207	あなたとピチューだけが、私を支えてくれてる。
map_0854#208	シグムンド: 僕が調べた限り、それは「離脱症状」っていうものだと思う。
map_0854#209	ひどい場合は、一、二か月続くこともあるらしい。
map_0854#210	エリザベス: 月って単位!?
map_0854#211	もう、シギー、今すぐ殺して。
map_0854#212	シグムンド: そんな冗談やめてよ!
map_0854#213	エリザベス: ママが、残りの薬をどこかに隠し持ってるの見つけたんだ。
map_0854#214	あと一錠か二錠だけ飲んだらどうなるかなって、ずっと考えちゃう。
map_0854#215	シグムンド: リジー、だめだ。
map_0854#216	それは悪化させるだけだよ。
map_0854#217	エリザベス: わかってる、わかってるよ……
map_0854#218	ねえ、早くあれやって!
map_0854#219	シグムンド: うん。ピチュー?
map_0854#220	エリザベス: 今度はもっと強くやって!
map_0854#221	ピチュー: チュゥゥ!
map_0854#222	母: あなたたち、一体何してるの……?
map_0854#223	エリザベス: マ、ママ、説明できるから!
map_0854#224	母: そのポケモンでお姉ちゃんを攻撃してるの?
map_0854#225	シグムンド: 違うよ、母さん、これは――
map_0854#226	母: 今すぐそれをしまいなさい!
map_0854#227	今すぐに!
map_0854#228	エリザベス: ママ、私が頼んだの!
map_0854#229	母: お父さんが怒るわ――私たち全員に。
map_0854#230	母: それをこっちに渡しなさい!
map_0854#231	シグムンド、部屋に戻りなさい。
map_0854#232	絶対に出てくるんじゃないわよ――夕食もなしだから。
