map_0045#2	それが目当てじゃないなら別だがな。
map_0049#14	完了です! これよりこのポケモンは、\v[3]と呼ばれます!
map_0049#15	見た目は前と変わらないのに、これは断然、良くなっていますよ!
map_0049#16	あなたはとても幸運ですね!
map_0049#17	完了です! これよりこのポケモンは、\v[5]と呼ばれます!
map_0049#18	前よりずっと良い名前です! あなたはとても幸運ですね!
map_0049#19	ええ、わたしのような老いぼれは、もうほとんど必要とされていないんですよ……
map_0049#20	時の流れというのは、いつも厳しいものですね。
map_0049#21	こんにちは!
map_0049#22	夫のなまえ判定人は、同業者の中でも、少し変わっているんです。
map_0049#23	他の地方のなまえ判定人と違って、判定してほしいポケモンが交換で得たものかどうかは、気にしないんです。
map_0049#24	ご希望なら、とにかく新しい名前をつけてくれますよ!
map_0049#25	はい
map_0049#26	いいえ、結構です
map_0049#27	はい
map_0049#28	いいえ
map_0050#0	トレーナーさん、「サイドチェンジ」というわざをご存知ですか?
map_0050#1	リボーンには、この技専用の特殊な運用法があるんです!
map_0050#2	他の地方とは違って、「サイドチェンジ」は優先度がマイナスで運用され、ターンの最初ではなく最後に入れ替わる「ピボット」として使われるんです!
map_0050#3	どんな戦術的な使い道があるか、考えてみてください。
map_0051#0	こちら駅長です。\n乗車券をお持ちしました。
map_0051#1	また一人、リボーンシティ行きか。
map_0051#2	あの新しいリーグ、ずいぶん力を入れて宣伝してるみたいだな。
map_0051#3	ええと……どれだったかな。
map_0051#4	これがお前だな?
map_0051#5	おい、遊んでないで手伝ってくれよ。
map_0051#6	確かにそうみたいだな。
map_0051#7	それで、名前は何だったっけ?
map_0051#8	\PN、って言ったよな?
map_0051#9	分かった。
map_0051#10	それじゃ、念のため、\n「性別」の欄はと……
map_0051#11	そうよ。
map_0051#12	ちょっと待ってな。あとはこっちでやっとくから。
map_0051#13	よし、これで完了だ。
map_0051#14	ここだけの話だがな、\nリボーンシティって結構なゴミ溜めらしいぞ。
map_0051#15	なんであんな所に行きたがるのか、オレにはさっぱり分からんね。
map_0051#16	それでも、野心満々のトレーナー連中が、次から次へと大挙して向かってるんだからな。
map_0051#17	まあ、行ってこい。
map_0051#18	もうすぐ電車が出るぞ。
map_0051#19	ゲームに関する情報を見ますか?
map_0051#20	リボーンはDiscord連携機能があり、ゲーム内の活動状況をステータスに共有します。オプションでオフにできます。
map_0051#21	操作方法は、メニューまたはF1キーで再設定できます。
map_0051#22	ゲームパッドの一部のボタンは、JoiPlayで認識されない場合がありますのでご注意ください。
map_0051#23	はい
map_0051#24	いいえ
map_0051#28	キーボード操作
map_0051#29	ゲームパッド操作
map_0051#30	Discordアクティビティ
map_0051#31	続ける
map_0053#0	トレーナー: うちのコロボーシ、最近ずっと調子が悪くて……
map_0053#1	ぐったりしてるんです。
map_0053#2	どうしていいか分からなくて、誰かに助けを頼んだんです。
map_0053#3	???: あの……こんにちは?
map_0053#4	???: あ、あっ!
map_0053#5	トレーナー: シェリーさんですか?
map_0053#6	シェリー: そうです。よろしくお願いします!
map_0053#7	あの……これが、お話しされていたポケモンですか?
map_0053#8	トレーナー: うちのコロボーシです。本当に調子が悪くて。
map_0053#9	シェリー: そうですか……かわいそうに。
map_0053#10	あの、わたし、むしポケモンには結構詳しいので……
map_0053#11	見せてもらえますか?
map_0053#12	シェリー: あっ……
map_0053#13	ええと、その、いいお知らせなんですけど、コロボーシは病気じゃないですよ!
map_0053#14	でも、すごく寂しがってるんです。
map_0053#15	その気持ち、わたしも分かります。外にはよく出してあげてますか?
map_0053#16	トレーナー: いえ……
map_0053#17	忙しくて、ちゃんと世話をしてあげられていないんです。
map_0053#18	シェリー: それが原因だと思います……
map_0053#19	あの……コロボーシにとっては、活動的なトレーナーと一緒にいるのが一番だと思うんです……
map_0053#20	トレーナー: そうですか……コロボーシのためになるなら……
map_0053#21	すみません、コロボーシの面倒を見ていただけませんか?
map_0053#22	手放したくはないんですが、苦しませるくらいなら手元に置くべきじゃないですし、あなたは活発なトレーナーに見えます。
map_0053#23	コロボーシを引き取っていただけますか?
map_0053#24	トレーナー: ありがとうございます。コロボーシをどうぞよろしくお願いします。
map_0053#25	シェリー: それなら、きっと大丈夫です!
map_0053#26	でも、そろそろジムに戻らないと。あまり長く離れられないので、えへへ。
map_0053#27	トレーナー: あ……
map_0053#28	シェリー: わたしが引き取ってもいいですか? コロボーシを、ジムの他のポケモンたちと一緒にいさせられますし。
map_0053#29	トレーナー: も、もちろんです……リボーンのむしジムリーダーにコロボーシを引き取っていただけるなんて、光栄です……
map_0053#30	シェリー: 分かりました。友達がありあまるくらい増やしてあげますね!
map_0053#31	さてさて、コロボーシ、これからわたしと一緒だね。
map_0053#32	あの、心配しないで! きっと大丈夫だから!
map_0053#33	シェリー: あの……それじゃ! お二人とも、お会いできて良かったです!
map_0053#34	よかったら、いつでもジムに寄ってくださいね!
map_0053#35	トレーナー: うちのイシズマイ、最近ずっと調子が悪くて……
map_0053#36	トレーナー: うちのイシズマイです。本当に調子が悪くて。
map_0053#37	ええと、その、いいお知らせなんですけど、イシズマイは病気じゃないですよ!
map_0053#38	あの……イシズマイにとっては、活動的なトレーナーと一緒にいるのが一番だと思うんです……
map_0053#39	トレーナー: そうですか……イシズマイのためになるなら……
map_0053#40	すみません、イシズマイの面倒を見ていただけませんか?
map_0053#41	イシズマイを引き取っていただけますか?
map_0053#42	トレーナー: ありがとうございます。イシズマイをどうぞよろしくお願いします。
map_0053#43	シェリー: わたしが引き取ってもいいですか? イシズマイを、ジムの他のポケモンたちと一緒にいさせられますし。
map_0053#44	トレーナー: も、もちろんです……リボーンのむしジムリーダーにイシズマイを引き取っていただけるなんて、光栄です……
map_0053#45	さてさて、イシズマイ、これからわたしと一緒だね。
map_0053#46	コロボーシが元気でいてくれるといいけど。
map_0053#47	イシズマイが元気でいてくれるといいけど。
map_0053#48	ママが、知らない人とは話しちゃダメって言うの……
map_0053#49	たぶん、臭いからだと思う。
map_0053#50	この街で、もう一度人を信じることを学ぶのは、簡単なことじゃない。
map_0053#51	でも、子供たちに何か頼れることがあるとすれば、それは経験や人に対する尽きない心の開きっぷりだろう。
map_0053#52	とにかく、安全にね?
map_0053#53	コロボーシ: コロ……
map_0053#54	イシズマイ: イシ……
map_0053#55	鍵がかかっている。
map_0053#56	チッ、最悪だ。
map_0053#57	アジトが改装されて、昔の仲間たちはバラバラになっちまった。
map_0053#58	今じゃ、やることも行く場所も何もねえ。
map_0053#59	おい、暇だからってボランティアでもすると思ったら――
map_0053#60	……ま、いいか。
map_0053#61	コーラルに行って、何かやることがないか見てくるか。
map_0053#62	ママ、明日もあの人たちと遊びに行っていいよね?
map_0053#63	はい
map_0053#64	いいえ
map_0054#0	ふーむ……孫のために買ったプレゼントを、どこかに置き忘れてしまったようだ。
map_0054#1	これは実に困ったことだ……
map_0054#2	トレーナーよ、もし見つけたら、お礼にたくさんのプレゼントを浴びせようではないか。
map_0054#3	待て!
map_0054#4	その、持っているギフトボックス――それだ、それだ!?
map_0054#5	もしや――そうだ!
map_0054#6	すぐにこちらへ渡すのだ!
map_0054#7	\PNはギフトボックスを渡した。
map_0054#8	見つけてくれたのだな、救われた!
map_0054#9	今日のヒーローに、万歳三唱を!
map_0054#10	いや、それ以上だ!
map_0054#11	約束通り、少なくない数のプレゼントを浴びせようではないか!
map_0054#12	さあ、来るぞ……!
map_0054#13	……何だと? 「プレゼント」を無限に使えるのか!
map_0054#14	がっかりした顔をするでない! わしはちゃんと約束を果たしたぞ!
map_0054#15	ときに、ギフトボックスの中身が何だったか知りたいか?
map_0054#16	よろしい――教えてやろう、だが他言は無用だぞ。
map_0054#17	よし……
map_0054#18	よく聞くのだ。
map_0054#19	実はな……
map_0054#20	箱の中には……
map_0054#21	あったのは……
map_0054#22	友情の魔法だ!
map_0054#23	すごいだろう?
map_0054#24	冗談だよ。
map_0054#25	7万ドルの腕時計だった。
map_0054#26	すぐ外の線路を進めば、オブシディアワードの地下に出る。
map_0054#27	一部が崩落してしまったのが残念だがな。
map_0054#28	ついに街が鉄道網の再建に乗り出したと聞いたぞ。
map_0054#29	最近、子供たちがあそこに遊びに行ってるみたいだから、いいことなのかもな。
map_0054#30	もうすぐ立ち退きさせられる、それは分かってる。
map_0054#31	船乗りとして生きてきたが、アズリン湖が船すら渡れないほど酸性化して、コーラル桟橋は閉鎖されちまった。
map_0054#32	もう何週間も働いてない……
map_0055#0	申し訳ございませんが、このアパートへの立ち入りは入居者様限定となっております。
map_0055#1	知ってました?
map_0055#2	マーイーカは、進化の仕方まで奇妙な、実に不思議な生き物なんです!
map_0055#3	普通は、進化させる時に逆さまにしておかないといけないんですが……
map_0055#4	でも、この辺りでは、進化できるタイミングで驚かせると、実際に進化してしまうんです!
map_0055#5	ねえねえ、このエネコ見て? すごく高いところから落ちてきたの……
map_0055#6	すごく怪我してたけど、僕なら治せる! きっとできる!
map_0055#7	大丈夫だよエネコ、僕が飼うから。
map_0055#8	大きくなったら、もっとたくさんの怪我したポケモンを治してあげたい!
map_0055#9	それじゃ決まりだ――僕、ジョーイさんになる!
map_0055#10	エネコ: ……ニャー……
map_0055#11	エネコ: ニャニャー!
map_0055#12	おばあさん: うちの孫ったら、自分でエネコを治すって聞かなくてね。
map_0055#13	センターに連れて行けばすぐ済むのに、頑固で困ったものだよ。
map_0055#14	オボンのみか何かあげれば、それで十分かもしれないんだけどねえ……
map_0055#15	ねえ、それ、オボンのみかい?
map_0055#16	かわいそうな坊やの気持ちのために、譲ってもらえないかね?
map_0055#17	おばあさん: ああ、ありがとう、優しいトレーナーさんだね。
map_0055#18	\PNはオボンのみを渡した。
map_0055#19	おばあさん: さあ、自分でエネコを治したいなら、これを使ってごらん。
map_0055#20	男の子: これ?
map_0055#21	うん。
map_0055#22	男の子はオボンのみを使った! エネコのHPが回復した!
map_0055#23	エネコ: ニャニャニャニャー!
map_0055#24	おばあさん: ほら、すっかり良くなったよ。あなたのおかげだねえ!
map_0055#25	男の子: やったー!
map_0055#26	おばあさん: でも、そろそろエネコを自由にしてあげるのが一番だと思うんだよ。
map_0055#27	ポケモンを育てるのは大きな責任が伴うことだし、あなたにはまだ少し早いかもしれないね。
map_0055#28	男の子: いやだよ、おばあちゃん! 僕にできるもん!
map_0055#29	おばあさん: 他の命の世話をするというのは、自分より相手の必要を優先するということだよ。
map_0055#30	今回はたまたま大丈夫だったけど、これからは自分の気持ちがどうであれ、怪我をしたポケモンはちゃんとセンターに連れて行かなきゃいけないよ。
map_0055#31	男の子: うん、そうかもしれない……
map_0055#32	でも、エネコを野生に戻したら、また怪我しちゃうかもしれないよ!
map_0055#33	おばあさん: ああ、まったくもう……
map_0055#34	トレーナーさん、このエネコを引き取って、うちの孫のためにも、トラブルに巻き込まれないようにしてもらえないかい?
map_0055#35	おばあさん: ありがとうね、トレーナーさん。
map_0055#36	男の子: ちゃんと大事にしてよね!
map_0055#37	おばあさん: この子が言いたいのは、本当にありがとうっていうことだよ。
map_0055#38	あら、それは残念だねえ。うーん……
map_0055#39	ああ、気にしないで。分かるよ。うーん……
map_0055#40	あのエネコのこと、気が変わったりはしてないかい?
map_0055#41	あのエネコが毎晩鳴かなくなって、ずいぶん静かになったよ……
map_0055#42	裏でたむろしてるならず者集団を除けば、なかなかいいマンションだよ。
map_0055#43	平和で静かな暮らしに戻れたのは嬉しいけど、いやはや、復興作業でずっと忙しかったよ!
map_0055#44	はい
map_0055#45	いいえ
map_0057#0	カイン: なあ、\PN……
map_0057#1	アマリアはエースを信頼しきってるみたいだけど、オレはそこまで確信持てないんだよなあ……
map_0057#2	ロドクロンでのあの一件だって、そんな昔の話じゃないしな。
map_0057#3	本当にあいつらを信じられると思う?
map_0057#4	カイン: ……お前がそう言うなら。
map_0057#5	ちょっと不安だけど、お前についていくよ。
map_0057#6	カイン: だよなぁ、これちょっと怪しすぎるよなぁ?
map_0057#7	気を引き締めていこうぜ。
map_0057#8	カイン: 何が来ても対処できるようにしとかないとな。
map_0057#9	周りの住民に被害が出なきゃいいんだけどな。
map_0057#10	みんながみんな、オレみたいに気軽に街を出られるわけじゃないもんなぁ~
map_0057#11	この工場……湖にあれだけの汚染物質を垂れ流してると、まるでわざと毒を盛ろうとしてるみたいだ。
map_0057#12	誰かこれ、止められないのか?
map_0057#13	毎晩、怪しい連中がここを出入りしてるのを見かける。
map_0057#14	ママが、線路の向こう側には絶対行っちゃダメって言うの。
map_0057#15	電車が動いてない今なら、安全だと思う?
map_0057#16	ここらじゃ新顔みたいだな。
map_0057#17	どうして分かるかって?
map_0057#18	この辺りにしちゃ、格好が良すぎるからな。
map_0057#19	バトルの腕前も、この辺りにしちゃ良すぎるぜ。
map_0057#20	気をつけろよな。
map_0057#21	線路をイキがって歩いてるのを見かけるが、そんなイケてねえぞ。
map_0057#22	ちっとはイケてるかもな。
map_0057#23	でもこの界隈はオレたちのもんだ、覚えとけよ。
map_0057#24	ここはオレたちの縄張りだ。下がりな、兄弟。
map_0057#25	ああ、その通りだ。
map_0057#26	フン。まあ、通してやってもいいか。
map_0057#27	あいつ、こっち見てる気がする……
map_0057#28	違うよね?
map_0057#29	そんなことするわけないし。
map_0057#30	だよね?
map_0057#31	どこに行くつもりだ?
map_0057#32	遠くまで行くつもりだと思うぜ。
map_0057#33	行けよ。オレに止められるわけでもねえしな。
map_0057#34	小銭恵んでくれよ?
map_0057#35	恵んでもらった。
map_0057#36	求めてた小銭じゃなかったな。
map_0057#37	この扉は、トルマリン砂漠に通じている。
map_0057#38	でも、電車専用だ。
map_0057#39	駅が廃止されている間は、開くことはなさそうだ。
map_0057#40	警察が、ジャスパーワード全体を封鎖してる……
map_0057#41	誰か理由を教えてくれないかな?
map_0057#42	ふむ。ジャスパーが落ち着けば、状況も好転し始めるかもな。
map_0057#43	ヒメグマ: ウーサ!
map_0057#44	ヒメグマは逃げ出した!
map_0057#45	世界で一番強いミネズミを見てくれよ!
map_0057#46	は? でも、オレのミネズミが一番のミネズミだぞ!
map_0057#47	いとこのジョーイが、すごくがっかりするだろうな。
map_0057#48	本当に特別なもの、見たいか?
map_0057#49	は? でも、オレのジグザグマが一番レベル高いんだぞ!
map_0057#50	オレが負けたって、ジョーイには言うなよ!
map_0057#51	ウェストサイド!
map_0057#52	だよな。
map_0057#53	イーストサイドなんてお坊ちゃんばっかりだ。オレたちには到底かなわねえよ。
map_0057#54	濁った水面で、何かが踊っている!
map_0057#55	野良ポケモンが襲いかかってきた!
map_0057#56	ファーン: おやおや、見てみろよ。
map_0057#57	本当に来たんだな。
map_0057#58	ビビって漏らしてるんじゃないかって、心配してやったのによ。
map_0057#59	ここはガッチリ閉まってるが、まあ予想通りだな。
map_0057#60	別の入り方を見つけるしかねえな。
map_0057#61	???: 閃光弾で入場だ!
map_0057#62	ダイナマイト投げるぞ!
map_0057#63	行けえ、マルマイン!
map_0057#64	ドッカーーーン!!!
map_0057#65	ジュリア: ホーカスカボケーン、ドアぶっ壊れーん~!!!
map_0057#66	ファーン: おい、何やってんだよ、この女!?
map_0057#67	どっから湧いて出たんだよ!?
map_0057#68	ジュリア: それは、もう少し大きくなったらお姉ちゃんに聞きな!
map_0057#69	ファーン: 遠慮しとくわ、どうも。
map_0057#70	ったく、噂をすればだな……
map_0057#71	お前ら二人、ここで一体何やってんだ?
map_0057#72	ジュリア: 悪者退治に決まってるでしょ! ばかー!
map_0057#73	???: 最近の警察の情報によれば、当該工業施設内部から、複数の大規模破壊工作が計画・調整されていると推定される。
map_0057#74	ファーン: というわけで、残念ながらこいつがオレの姉、フロリニアだ。
map_0057#75	見ての通り、三音節未満の言葉にはアレルギーがあるんだ。
map_0057#76	フロリニア: そのようなアレルゲンは存在しない。
map_0057#77	この発話者は、最も有効と判断される語法を通じて、言語の精度と効率を最大化することの重要性を理解しているに過ぎない。
map_0057#78	ファーン: だから言ったろ。
map_0057#79	それで「フロボット」って呼ぶ奴もいるんだぜ。
map_0057#80	ジュリア: アタシは「リニ」って呼んでるけど。だってフロボットなんかじゃないもん!
map_0057#81	どこまでいっても、リニはリニだよ!
map_0057#82	それで、お姉ちゃんが言った通り――ここで、グランドビュー駅だけじゃなくもっといろいろ爆破しようって企んでる集団がいるって報告が来たの!
map_0057#83	ジムとかね!
map_0057#84	アタシのジムだって!
map_0057#85	アタシのジムを爆破していいのは、アタシだけなんだから!!!
map_0057#86	ファーン: つまりオレの読み通りだったってわけだ。
map_0057#87	実を言うと、オレたちも、警察のやらかしの尻拭いに来たとこだったんだよ。
map_0057#88	まあ、あと\PNのもな。
map_0057#89	フロリニア: 慣習的に「善意」であったとしても、正当な令状と手続きを経ない不法侵入は、依然として法的処罰の対象である。
map_0057#90	ファーン: おい、フロボット。こういう言葉、聞いたことあるか?
map_0057#91	「空気読め」ってやつだよ?
map_0057#92	ジュリア: リニの言う通りだよ! 一般市民が無許可で私有地に押し入ろうとしたら、大変なことになっちゃうもんね!
map_0057#93	……幸い、アタシたち二人ともジムリーダーだから、許可ありってことにしとこ!
map_0057#94	さあ、中に入って本題に入ろう!
map_0057#95	ジュリア: 超極秘ウルトラ忍者インテルによると、この建物は「チームメテオ」って集団のものらしいよ。
map_0057#96	変な名前だよね?
map_0057#97	っていうか、なんでみんな「チーム」何とかなの?
map_0057#98	それって、悪者ですって世界中に宣言してるようなもんじゃない? あーあ。
map_0057#99	でも、グランドビュー駅を爆破したのも絶対こいつらだよ!
map_0057#100	ここに乗り込んでドカーンとやっつけてやらなきゃ、大変なことになっちゃう!
map_0057#101	……普段ならその「ドカーン」も歓迎するところだが、この状況ではなしだ。
map_0057#102	というわけで、全軍、突撃~!!!
map_0057#103	ファーン: でんきリーダーが場をかっさらっていくのは、いつも通りだな。
map_0057#104	ま、いいか。
map_0057#105	足を引っ張らないようにしろよな、\PN。
map_0057#106	ついでに、少しくらい役に立つ方法でも見つけてくれりゃ、ありがたいぜ。
map_0057#107	ジュリア: \PN! 来てくれたんだ!
map_0057#108	ちょうど、どうやって中に入ろうか考えてたとこ。
map_0057#109	ドアがガッチリ閉まっててさぁ……
map_0057#110	よし、下がってて!
map_0057#111	ここはアタシのマルマインの出番だよ!
map_0057#112	カアアアアアアアアアアアアアアアアアアアアア……
map_0057#113	ジュリア: これで開通!
map_0057#114	ジュリア: あ、みんな! こんにちは、みんな!
map_0057#115	???: 仮説は確認された。
map_0057#116	爆発の検出は、ジュリアの存在と正確かつ一貫して相関している。
map_0057#117	ジュリア: うん、よく言われる~
map_0057#118	\PN、こちらフロリニア。学校時代のルームメイトで、大親友だったんだ~
map_0057#119	それとぉ、こっちがファーン。
map_0057#120	どうも、ファーン。
map_0057#121	よし、それじゃ先に進もう!
