map_0362#270	それに、チームメテオに彼女を二度と渡すつもりなんて絶対にないから。
map_0364#17	ヘザーを探さないといけないから、先に行くわね、いい?
map_0364#18	シャルロットがルビーのゆびわを貸してくれたの、力になればって――
map_0364#19	その、彼女がわたしたちと話してくれるように、って……
map_0364#20	もうずいぶん経つのに、彼女がどうしてるかも分からないままなの。
map_0364#21	でも――でも、だからこそ見つけないと!
map_0364#22	アメトリンシティへの出口はあと数階分上だから、登っていくわね!
map_0364#23	旅を続けましょう!
map_0365#0	アゲートシティの眠りの呪いが解けるまで、誰も立ち入り・通行はできません。皆様の安全のためです。
map_0365#1	お前への試練はこうだ――
map_0365#2	触れれば感電するポケモン、
map_0365#3	特性でも古い技でもなく、
map_0365#4	でんきわざはいつも通じない。
map_0365#5	……ああ、その相手は目の前にはいないようだ。
map_0365#6	ゆえに、褒美はなしとしよう!
map_0365#7	正解! お前にキツネの微笑みあり!
map_0365#8	しばしこの子を連れていくがいい!
map_0365#9	\PNはマッギョとロコンを交換した!
map_0365#10	……ニ!
map_0365#11	旅人よ、友よ、遠き世界より来たりし者!
map_0365#12	しばし留まり、我が歌に耳を傾けよ!
map_0365#13	鮮やかで胸躍る物語、
map_0365#14	必ずやお前を楽しませることだろう!
map_0365#15	今日の一節は謎かけより始まる:
map_0365#16	問おう、キツネは何と言う?
map_0365#17	キツネはその気高き力を授ける
map_0365#18	正しき供物をささげしトレーナーに――
map_0365#19	答えはポケモンの姿をしている!
map_0365#20	さあ行け! キツネを勢いよく連れて帰るがいい!
map_0365#21	才能でも古い技でもなく、
map_0365#22	もはや己の運命を恐れる必要はない;
map_0365#23	キツネがお前を最後まで見届けよう。
map_0365#24	カルセノンからここまで降りてきたけど、戻るのが長すぎて、正直行きたくないなあ……
map_0365#25	ここのおやつは美味しいけど、家に帰って料理したいなあ……
map_0365#26	2番道路は進むのが厄介だぞ。近くの段差に飛び移れる場所を探すといい!
map_0365#27	2番道路には二種類の植物がある:
map_0365#28	ねむりごなの植物と、いかりのこなの植物だ。
map_0365#29	ポケモンが使うわざとまったく同じ効果だぞ!
map_0365#30	イワパレスが邪魔をしてきたら、眠らせるか、怒らせて倒しちまえ!
map_0365#31	それと、まったく反応しないやつがいたら、それにもいかりのこなを試してみるといい!
map_0365#32	野生のポケモンにねむりごなを投げたら――どうなるかは分かるだろ。
map_0365#33	でも、いかりのこなは眠ってるポケモンを起こして、攻撃させてしまうんだ!
map_0365#34	しまった! ここの野生のイワパレスを飛び越えようとして、足首をひねっちまった!
map_0365#35	はは……渡るためにあいつを穴に押し込んだ罰なのかもな。
map_0365#36	2番道路を渡る時は気をつけろよ!
map_0365#37	飛び乗れる石の中には、不安定なものもあるんだ!
map_0365#38	持ってる粉をダメにするだけならまだしも、落っこちた人もいるくらいだぞ!
map_0365#39	できるだけ不安定な石は避けるようにな、いいか?
map_0365#40	現在地: アゲートサーカス
map_0365#41	現在地: 2番道路。
map_0365#42	この先は2番道路だが、通り抜けるにはこなのビンが必要かもしれないぞ!
map_0365#43	こなのビンは、2番道路の大きな植物から出る様々な胞子を集めて保存できるんだ。
map_0365#44	ねむりごなといかりのこな、二種類の粉をそれぞれ1回分ずつ入れておける。
map_0365#45	2番道路は岩だらけだから、渡るにはその粉の力が必要になるだろう。
map_0365#46	ポケモンたちも喜んで手を貸してくれるぞ!
map_0365#47	……多少、穏やかな強制にはなるがな。
map_0365#48	ただし、ひとつ欠点がある:
map_0365#49	粉を入れたまま持ち運ぶときは、あまり揺らさないように気をつけろ、ダメになっちまうからな!
map_0365#50	だから、足場が不安定な場所には極力足を踏み入れないようにな。
map_0365#51	もう一度聞きたくなったら、また声をかけてくれ、いいな?
map_0365#52	どうか落ち着いてください、街への立ち入りはまだ安全ではありません。
map_0365#53	アゲートシティは今のところ安全です。
map_0365#54	不審なものを見つけた場合は、すぐにご報告ください。
map_0365#55	ねえ……アゲートシティが封鎖された時に両親とはぐれちゃって、今はもう誰にも面倒見てもらえないひとりぼっちなんだ……
map_0365#56	すごく悲しくてさ、綿菓子を買ってきて元気づけてくれないかな?
map_0365#57	それって、あたしのために持ってきてくれた綿菓子?!
map_0365#58	\PNは綿菓子を渡した。
map_0365#59	わあ! ありがとう、最高だよ! 両親を突然失った悲しみが、だいぶ和らいだ気がする!
map_0365#60	……でも、まだちょっと悲しいかな。
map_0365#61	何があればもっと元気になれるか分かる? 風船だよ! 風船って気分を盛り上げてくれるんだから! 取ってきてくれない?!
map_0365#62	え? ああ、そう……じゃあまたひとりで寂しく悲しくしてるよ……綿菓子もないままで……
map_0365#63	ねえ……アゲートシティが封鎖された時に両親とはぐれちゃって、今はもう誰にも面倒見てもらえないひとりぼっちなんだ……
map_0365#64	すごく悲しくてさ、綿菓子を買ってきて元気づけてくれないかな?
map_0365#65	わあ、その風船、あたしにくれるの?!
map_0365#66	\PNは風船を渡した。
map_0365#67	うそ、マジで?! あんた最高だね! やった、この風船めっちゃ楽しい!
map_0365#68	もう二度と両親にも家族にも会えないってこと、ほとんど忘れられちゃいそう!
map_0365#69	あ……そのこと考えちゃった。すごく寂しくなってきた……
map_0365#70	ねえ! 何があれば寂しくなくなるか分かる?
map_0365#71	ハイストライカーのポケモンのぬいぐるみだよ! あたしじゃ取れないけど、あんたなら取れるでしょ、そしたら毎晩泣きながら寝るのも終わりになるのに!
map_0365#72	あ……いいよ、分かってるから。ここでこのまま、六日経った風船みたいにしぼんでいくだけだよ……忘れられて……放っておかれて……
map_0365#73	まだ悲しいままだよ……
map_0365#74	ねえ、あのぬいぐるみ、取ってきてくれたの?!
map_0365#75	\PNはポケモンのぬいぐるみを渡した。
map_0365#76	やったー! あんた最高!
map_0365#77	でも、もっと最高なものが何か分かる?
map_0365#78	アイスクリームだよ!
map_0365#79	あのね、ママがいなくなってからアイスクリーム食べてなくて――
map_0365#80	婦人: あら、いたのね! ずっと探してたのよ!
map_0365#81	子供: えっと……やあ、ママ……
map_0365#82	その……久しぶりだね。
map_0365#83	婦人: 何言ってるの? あなたに頼まれてお菓子を買いに行ってから、まだちょっとしか経ってないでしょう――
map_0365#84	ちょっと待って……また怪しい様子ね。
map_0365#85	子供: ……
map_0365#86	婦人: ……坊や、知らない人からせびるのはやめなさいって、何回言ったかしら?!
map_0365#87	子供: 感じ悪そうな人にしかやってないよ……
map_0365#88	婦人: そう、それでこの人は立派で感じのいいトレーナーさんに見えるでしょう――また同じことしたのね! もう、外出禁止よ。
map_0365#89	婦人: 面倒をかけてごめんなさいね……うちの息子、たまにちょっとやりすぎてしまって……
map_0365#90	おわびとして、これを受け取ってくださらない?
map_0365#91	\PNはデパートステッカー「ピッピ」を手に入れた!
map_0365#92	あら……そう、会員カードをお持ちではないのね。
map_0365#93	リボーンシティのデパートで作ってきていただければ、ステッカーを貼ってさしあげますわ。
map_0365#94	ううん、無理しなくていいよ……ひとりで平気だから、本当に。ひとりでいるべきなんだよ、そうじゃなきゃ両親が死んだりしなかったはずだもん、でしょ? 分かってるから。
map_0365#95	すごく寂しいよ……
map_0365#96	子供: つまり……アイスはなし? いいよ、別に……
map_0365#97	婦人: どうぞ、おわびのしるしとして。
map_0365#98	婦人: このことはお父さんの耳にも入れておくわね。
map_0365#99	シェリー: あの、本当にごめんなさい!
map_0365#100	まだ街に入るのは安全じゃないんです!
map_0365#101	危険な人たちがいるので、どうかご理解ください!
map_0365#102	こちらで対処しますので、それまでどうか辛抱してください!
map_0365#103	ごめんね、\PN!
map_0365#104	この人たちの交通整理を手伝ってて、手が離せなくなっちゃって……
map_0365#105	みんな、アゲートの人たちが目を覚ましたって聞いて戻りたがってるんだけど、まだ入れさせられないの!
map_0365#106	それに、メテオのせいで街から逃げ出してくる人たちもいて……
map_0365#107	この様子だと、みんなをかき分けて進むのは簡単じゃなさそうね……
map_0365#108	アゲートの南口を試してみて、できるだけ早く合流するから!
map_0365#109	シェリー: アゲートの南口を試してみて、できるだけ早く合流するから!
map_0365#110	なんで今になって家に帰らせてくれないんだ?
map_0365#111	この馬鹿な警備員どもが、たぶん一番の問題なんだろうな!
map_0365#112	家にはまだ飲まなきゃいけない薬が置きっぱなしなんだけど……
map_0365#113	街に入っていいって言っておいて、また気が変わったなんて言わないでよね!
map_0365#114	忍耐は忘れられがちな美徳だが……わたしとて、早く家に帰りたいものだ。
map_0365#115	アゲートがまだ安全じゃないってどういうこと? もうずっと外にいるのに!
map_0365#116	あそこにいた人たちはずっと眠ってたかもしれないけど、こっちだって自分のベッドで寝られなくなってから、もうずいぶん経つんだから!
map_0365#117	チッ、まったくふざけた話だ。
map_0365#118	最初は「アゲートは目を覚ましたから、みんな家に帰っていい」って言ってたのに。
map_0365#119	今度はまた締め出すのか?
map_0365#120	退屈……
map_0365#121	帰らせてくれるって、なんでうそついたんだろう?
map_0365#122	まったく、もう街に入れてくれてもいいじゃないか。
map_0365#123	うちのポケモンがまだあそこにいるのに!
map_0365#124	ただ家に帰ってテレビが見たいだけなのに……
map_0365#125	ああ、トレーナーよ! 見るからに旅慣れておるな。
map_0365#126	旅の道中で、あさせのかいがらに出会ったことはあるかね?
map_0365#127	あさせのかいがらとあさせのしおを一そろい持ってくるがいい、静かな音色を奏でるかいがらのすずに仕立て上げてみせよう!
map_0365#128	早口では十回言わぬことだな。
map_0365#129	さて、かいがらのすずに必要なものを持っておるか見てみるとしよう……
map_0365#130	おお、持っておるな! どうする?
map_0365#131	あの鳴る道具、作ってやろうか?
map_0365#132	あっという間よ! それをこちらへ渡すがいい。
map_0365#133	\PNは材料を渡した。
map_0365#134	カチリ、コチリ……
map_0365#135	そして、できあがりじゃ!
map_0365#136	はい、どうぞ!
map_0365#137	わしの苦労と愛情が詰まっておる、命に代えても大事にするがいい。
map_0365#138	好きにするがいい、トレーナーよ。お前の損だがな。
map_0365#139	別に、かいがらのすずを作るのがわしの目的というわけでもないしな。
map_0365#140	ふむ、何か足りないもののようじゃな。腕のいいトレーナーなら塩加減くらい心得ておるものよ!
map_0365#141	ふむ、貝殻を出す気がないようじゃな、言いたいことは分かるだろう。
map_0365#142	なんじゃ、どちらも持っておらんではないか! 一体何の役に立つんじゃ?
map_0365#143	はい
map_0365#144	いいえ
map_0369#0	「クリティカルキャプチャー」へようこそ! あと一押しをものにする特製ボール、そろえております!
map_0369#1	頑張ってね、いいボールライフを!
map_0369#2	ダークボールとレベルボールが置いてないのは残念だな。売り切れかな?
map_0369#3	ふむ。このボールの作り、いくぶん安っぽいな。
map_0369#4	細かいこと言ってすまないが、昔ボールのデザイナーをやっていたもんでね、カロス製の量産品がいまいちなのを見ると気になってしまうんだ。
map_0369#5	ん? 壊れたボールを見つけたって?
map_0369#6	ほら見ろ、言った通りだろう。驚くことじゃない。
map_0369#7	実は、原因はいくつか考えられるんだ。不良品ってこともあるが、傷んだボールを手入れせずに放っておくと、データが失われることもある。
map_0369#8	ちょっと見せてもらえるか?
map_0369#9	うむ。ほら、このひび、見えるか?
map_0369#10	たぶん、かなり高いところから落としたんだろう。まあ、それはどうでもいい。
map_0369#11	問題は、外殻を通ってゴミが回路にまで入り込むと、電気信号がゆがんでしまうことでね……その結果が、これってわけだ。
map_0369#12	直せないこともないだろうが、正直、新しいボールを買ったほうがいいと思うぞ。
map_0369#13	デザイナー: このボールを直すつもりなのか? どうやったって使い物にはならないと思うがな。
map_0369#14	かつて中にポケモンが入っていた可能性もあるが……
map_0369#15	モンスターボールの中では、ポケモンの生命エネルギーはデジタルデータに変換される。つまり、ポケモン自体が壊れてしまうこともあるということだ。
map_0369#16	元は何だったにせよ、今はもうけつばんになっているだろうな。
map_0369#17	けつばんは捕まえることも手懐けることもできないから、そうしても意味がない。
map_0369#18	それでも、まだ直したいのか?
